	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.RWS6.0226.SM.2XCA9	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.PW2O.0526.SM.2I3DX	GTEX.12WSA.1026.SM.5EGHN	GTEX.UJMC.0726.SM.3GADX	GTEX.13OW8.1726.SM.5L3GO	TCGA.33.4589.01A.01R.1443.07
THSD7A	1.31	8.85	0.0	5.82	0.49	6.11	30.56	34.26	6.16	105.89	83.45	32.36	29.48	35.25	15.34	80.01	10.39	40.36	63.45	79.45	28.24	2.16	90.14	35.76	31.9	24.99	43.94	8.19	45.53	60.82	115.97	56.28	35.0	3.29
TMEM41B	403.5	201.25	353.59	373.81	441.64	555.41	884.29	1250.98	587.13	733.19	802.41	748.61	1111.82	808.0	909.17	1001.93	733.19	1199.98	759.08	1583.71	1487.87	791.35	1733.13	1295.13	728.11	988.12	480.04	785.88	2047.0	743.43	1066.48	1295.13	1709.26	325.29
TRIM13	224.97	204.07	253.23	275.28	121.79	0.0	0.44	423.61	373.81	271.48	381.68	540.19	665.29	518.15	633.73	624.99	444.72	674.59	450.94	860.08	802.41	493.56	1183.45	738.29	447.82	819.3	389.72	420.68	967.76	353.59	1233.75	836.53	1111.82	299.25
UNKL	82.87	21.63	42.11	111.21	104.42	0.0	0.73	163.28	187.71	197.09	279.14	99.43	406.31	351.14	63.45	470.14	201.25	267.73	218.79	728.11	246.28	62.12	612.11	599.49	241.19	269.6	209.84	260.38	595.34	265.87	607.87	312.0	688.78	94.01
USP30	186.4	209.84	148.09	135.24	163.28	0.0	0.21	242.88	181.28	215.77	191.67	164.42	256.78	206.94	121.79	265.87	166.73	384.34	181.28	323.03	353.59	123.5	432.53	406.31	206.94	356.05	121.79	102.25	387.02	193.01	307.69	214.27	379.04	106.63
VAMP4	170.25	256.78	232.94	175.07	171.45	0.0	0.56	236.21	154.42	248.0	234.57	253.23	414.87	277.2	139.07	397.93	221.86	395.18	293.07	395.18	373.81	111.99	441.64	543.96	208.38	211.31	211.31	110.43	480.04	157.68	514.56	400.71	567.1	346.29
XPC	287.01	98.73	163.28	117.6	151.22	0.0	0.65	279.14	348.71	684.02	780.44	507.46	543.96	563.18	297.17	559.28	463.65	981.29	679.29	1104.13	651.58	341.51	808.0	723.08	656.11	656.11	309.83	211.31	748.61	878.17	872.1	718.08	995.0	60.82
YPEL1	11.55	3.11	0.95	1.35	0.58	0.0	0.24	82.29	14.35	182.55	153.34	81.71	128.79	229.72	18.7	309.83	16.88	199.85	77.79	127.89	30.78	33.54	258.57	248.0	108.9	127.89	17.51	9.2	208.38	148.09	339.14	119.26	120.1	5.32
ZNF25	33.06	24.11	29.27	13.32	16.03	0.0	0.39	138.1	74.58	134.3	153.34	129.69	164.42	88.26	71.5	202.66	91.41	258.57	141.02	122.64	148.09	57.89	208.38	267.73	98.04	114.36	112.77	63.0	190.34	85.22	180.02	155.5	130.6	31.67
ZNF439	31.45	5.63	7.28	20.56	6.21	0.0	0.53	147.06	74.58	94.01	151.22	155.5	255.0	143.01	25.54	301.33	140.04	237.86	94.01	201.25	76.17	39.79	341.51	389.72	67.59	104.42	41.81	46.84	339.14	108.14	232.94	297.17	182.55	5.73
ZNF652	444.72	87.65	320.8	138.1	180.02	149.12	73.54	547.75	224.97	507.46	361.04	371.22	981.29	521.76	180.02	571.05	283.05	620.67	547.75	830.75	514.56	256.78	860.08	785.88	361.04	358.54	293.07	348.71	995.0	500.46	1135.2	555.41	780.44	64.8
ZNF766	142.01	71.5	139.07	138.1	124.37	0.0	0.41	114.36	102.97	107.38	111.21	206.94	208.38	124.37	49.56	199.85	120.1	285.03	197.09	226.54	191.67	102.97	312.0	262.2	150.17	118.43	204.07	111.21	171.45	122.64	343.89	218.79	162.14	45.21
