	GTEX.U4B1.1226.SM.4DXT7	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.Y111.1726.SM.4SOIQ	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.RNOR.1326.SM.48FDE	GTEX.145MN.1126.SM.5RQJB	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13OW6.1426.SM.5L3EU	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.13OW8.2226.SM.5K7Z4	GTEX.T2IS.0926.SM.4DM5B	GTEX.148VJ.1126.SM.5NQBZ	TCGA.38.4625.01A.01R.1206.07	GTEX.12696.2226.SM.5EQ65	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.12C56.0526.SM.5FQST	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.12WSJ.0926.SM.5P9JD	GTEX.OIZH.1526.SM.3NB1J	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.PWN1.2026.SM.48TD9	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
DNASE1	69.03	98.04	105.89	102.25	113.56	138.1	239.52	684.02	511.0	603.67	165.57	656.11	389.72	447.82	511.0	536.45	514.56	733.19	260.38	432.53	351.14	555.41	514.56	432.53	674.59	497.0	379.04	356.05	518.15	87.03	0.0	88.26	62.12	229.72	99.43	181.28	409.15	480.04	163.28	181.28	111.99	336.79	224.97	63.45	258.57	140.04	258.57	120.94	231.32	105.15	87.03	81.14	117.6	255.0	122.64	295.11	172.65	295.11	116.78	40.64	158.79	133.36	109.66
DTX3	1268.46	1651.0	1015.93	1183.45	1304.15	3955.48	1467.37	3325.99	3467.27	3665.02	2178.83	3794.3	2400.97	2133.97	2976.74	3467.27	2976.74	3665.02	1733.13	2682.69	2701.35	2451.44	2104.58	3081.75	3212.66	3190.46	2895.31	2485.67	3081.75	2739.08	0.0	759.08	283.05	529.06	329.84	1977.24	2384.37	2956.17	1313.23	1030.12	813.63	2664.15	1295.13	1662.49	2935.74	1572.76	2451.44	1023.0	1781.89	1233.75	1066.48	1127.35	1216.75	2997.45	1001.93	1870.53	2209.26	2682.69	1709.26	1001.93	1417.35	909.17	902.89
EED	265.87	195.72	287.01	267.73	220.32	269.6	244.57	547.75	476.71	995.0	463.65	460.44	346.29	432.53	536.45	536.45	540.19	480.04	234.57	432.53	591.22	500.46	642.59	414.87	463.65	518.15	366.09	529.06	511.0	463.65	0.0	231.32	223.41	170.25	178.77	239.52	379.04	518.15	242.88	204.07	186.4	279.14	279.14	156.59	309.83	194.36	301.33	171.45	189.02	264.03	173.85	187.71	121.79	583.07	198.47	223.41	454.09	361.04	177.53	224.97	265.87	236.21	253.23
EGFL8	198.47	218.79	132.44	224.97	158.79	738.29	511.0	1950.0	1388.16	2104.58	1304.15	2255.7	1191.69	647.07	1427.22	1529.73	1498.22	1794.29	423.61	1304.15	1066.48	1427.22	785.88	764.36	1304.15	1561.89	1216.75	995.0	1359.57	1104.13	0.0	79.45	241.19	392.44	395.18	507.46	642.59	780.44	124.37	181.28	136.19	579.04	181.28	214.27	309.83	229.72	521.76	166.73	293.07	251.48	173.85	125.24	121.79	703.28	116.78	232.94	392.44	463.65	204.07	172.65	435.55	262.2	169.07
EXD3	137.14	137.14	97.36	120.1	120.1	228.13	540.19	1359.57	1662.49	1167.14	909.17	1896.65	1199.98	591.22	848.22	1242.34	1044.52	1397.83	444.72	1508.65	1407.55	785.88	1059.11	981.29	1225.22	1250.98	974.5	1059.11	1159.07	1378.57	0.0	161.02	195.72	301.33	248.0	507.46	532.74	638.15	305.55	195.72	127.0	579.04	299.25	246.28	279.14	264.03	384.34	283.05	217.27	379.04	285.03	138.1	129.69	559.28	214.27	190.34	392.44	341.51	239.52	197.09	253.23	305.55	165.57
FAM211B	253.23	327.56	256.78	273.37	348.71	420.68	759.08	759.08	836.53	1143.1	521.76	866.07	633.73	483.38	769.69	796.86	575.03	703.28	320.8	651.58	688.78	521.76	503.95	543.96	759.08	961.07	638.15	599.49	819.3	493.56	0.0	343.89	127.0	87.65	161.02	733.19	713.11	713.11	153.34	126.12	115.97	620.67	289.02	159.9	325.29	289.02	447.82	131.51	215.77	127.0	241.19	133.36	229.72	808.0	145.02	312.0	195.72	277.2	221.86	88.88	215.77	108.9	43.63
FAM27E3	25.35	12.09	15.34	19.82	10.55	54.33	28.65	166.73	131.51	131.51	165.57	204.07	117.6	74.06	95.34	149.12	100.13	138.1	35.76	189.02	98.04	33.78	149.12	95.34	148.09	125.24	149.12	96.68	96.68	100.13	0.0	14.89	2.63	8.13	19.25	35.0	69.52	79.45	14.45	5.68	11.91	38.67	15.8	6.01	4.46	8.13	14.45	4.66	11.47	10.47	16.51	10.08	10.08	41.22	22.1	25.54	49.91	7.34	7.57	1.25	24.28	4.43	8.38
FAM98C	363.56	277.2	214.27	303.44	351.14	327.56	297.17	603.67	616.37	507.46	293.07	551.56	723.08	384.34	713.11	547.75	403.5	599.49	417.77	587.13	417.77	486.75	591.22	353.59	480.04	698.41	555.41	525.39	713.11	316.37	346.29	291.04	249.73	185.11	241.19	457.25	460.44	591.22	414.87	246.28	323.03	426.57	195.72	253.23	289.02	412.0	575.03	299.25	356.05	269.6	281.09	289.02	314.17	629.35	309.83	260.38	215.77	336.79	444.72	187.71	409.15	251.48	277.2
FBXL6	299.25	180.02	111.21	151.22	147.06	264.03	381.68	743.43	473.41	842.36	429.54	825.0	325.29	312.0	500.46	521.76	403.5	669.92	339.14	514.56	392.44	507.46	400.71	379.04	511.0	567.1	412.0	403.5	629.35	500.46	0.0	190.34	209.84	177.53	169.07	426.57	703.28	493.56	191.67	251.48	204.07	373.81	343.89	146.03	312.0	264.03	307.69	199.85	262.2	155.5	206.94	122.64	206.94	438.59	309.83	194.36	88.26	353.59	242.88	162.14	167.9	169.07	244.57
FBXO44	293.07	327.56	265.87	291.04	269.6	529.06	679.29	1081.39	1286.18	1467.37	1286.18	1259.69	1295.13	651.58	1191.69	1378.57	967.76	941.27	583.07	928.3	1216.75	1088.92	1295.13	896.64	775.05	1259.69	954.43	802.41	1081.39	947.83	309.83	381.68	169.07	295.11	164.42	353.59	866.07	1757.34	470.14	177.53	182.55	759.08	208.38	320.8	438.59	665.29	1001.93	329.84	117.6	271.48	198.47	353.59	120.94	571.05	215.77	466.88	743.43	262.2	287.01	158.79	392.44	314.17	144.01
FUK	212.78	152.28	88.88	125.24	131.51	171.45	267.73	693.58	409.15	511.0	454.09	703.28	291.04	279.14	438.59	603.67	444.72	684.02	248.0	575.03	409.15	389.72	423.61	417.77	563.18	540.19	414.87	366.09	476.71	435.55	0.0	125.24	180.02	147.06	166.73	197.09	356.05	358.54	170.25	111.99	104.42	231.32	159.9	108.14	198.47	166.73	205.5	108.14	169.07	92.7	89.51	94.67	93.35	346.29	136.19	144.01	124.37	208.38	202.66	113.56	190.34	226.54	137.14
GATAD1	329.84	301.33	336.79	518.15	441.64	674.59	759.08	1350.18	1088.92	1030.12	748.61	1447.15	1037.29	775.05	1233.75	1001.93	934.76	934.76	518.15	1175.27	1519.15	1066.48	1151.06	1143.1	915.51	1151.06	738.29	1159.07	1001.93	1427.22	483.38	454.09	201.25	181.28	215.77	571.05	656.11	995.0	373.81	295.11	343.89	612.11	518.15	244.57	403.5	447.82	579.04	267.73	353.59	187.71	129.69	187.71	283.05	551.56	187.71	303.44	1081.39	339.14	314.17	381.68	389.72	511.0	346.29
GGA2	532.74	583.07	647.07	555.41	514.56	860.08	583.07	1135.2	842.36	1397.83	902.89	941.27	915.51	1111.82	1250.98	1277.29	1104.13	1447.15	753.83	974.5	1322.37	1183.45	1066.48	954.43	1127.35	1508.65	954.43	1030.12	1159.07	785.88	507.46	603.67	432.53	860.08	356.05	476.71	728.11	1088.92	463.65	514.56	486.75	748.61	656.11	432.53	679.29	497.0	1023.0	454.09	429.54	571.05	414.87	397.93	423.61	1037.29	540.19	684.02	890.44	738.29	595.34	457.25	470.14	500.46	454.09
GLI4	202.66	303.44	228.13	177.53	194.36	392.44	463.65	1073.91	1369.04	1407.55	651.58	1407.55	1096.5	366.09	860.08	1030.12	718.08	1037.29	567.1	1015.93	802.41	559.28	708.18	693.58	878.17	1066.48	842.36	656.11	854.13	591.22	0.0	204.07	205.5	173.85	262.2	708.18	780.44	633.73	363.56	265.87	163.28	532.74	162.14	358.54	366.09	438.59	473.41	303.44	236.21	293.07	173.85	239.52	215.77	518.15	260.38	373.81	403.5	503.95	432.53	224.97	264.03	412.0	316.37
GPSM1	155.5	94.67	159.9	129.69	153.34	316.37	316.37	759.08	836.53	1199.98	941.27	954.43	651.58	363.56	723.08	825.0	708.18	693.58	336.79	660.68	493.56	796.86	775.05	460.44	884.29	878.17	651.58	551.56	753.83	457.25	0.0	120.94	114.36	283.05	232.94	145.02	303.44	872.1	122.64	142.01	65.72	318.57	497.0	133.36	267.73	129.69	231.32	183.82	226.54	366.09	251.48	64.34	94.01	769.69	157.68	185.11	384.34	181.28	239.52	177.53	273.37	224.97	199.85
GRTP1	108.9	224.97	112.77	102.97	69.52	185.11	231.32	297.17	392.44	432.53	194.36	295.11	373.81	258.57	368.65	356.05	339.14	341.51	323.03	264.03	287.01	343.89	265.87	279.14	271.48	336.79	348.71	417.77	389.72	435.55	0.0	149.12	195.72	77.25	95.34	194.36	171.45	441.64	334.46	104.42	228.13	329.84	221.86	229.72	400.71	285.03	255.0	118.43	159.9	202.66	109.66	164.42	154.42	460.44	142.01	279.14	248.0	260.38	339.14	86.43	100.13	81.71	239.52
GSTM2	854.13	3039.3	1295.13	1066.48	1233.75	4298.64	8305.36	23169.48	23330.64	24832.5	19348.38	31432.17	20451.65	8778.97	19754.96	26067.14	14971.21	20030.74	7537.18	16045.82	18052.61	14971.21	15392.14	19482.97	12853.63	27174.14	14867.79	15499.21	16611.71	17804.06	0.0	1832.01	1059.11	1417.35	3081.75	7695.57	7382.04	7032.37	928.3	395.18	376.41	4769.75	1883.54	1781.89	1151.06	2193.99	4671.57	2004.85	764.36	1883.54	575.03	435.55	540.19	3955.48	500.46	612.11	7537.18	1977.24	878.17	483.38	559.28	1167.14	275.28
HAGHL	25.91	33.54	12.0	18.84	17.38	85.82	57.89	379.04	361.04	392.44	301.33	579.04	406.31	70.01	480.04	633.73	176.29	373.81	65.72	384.34	217.27	234.57	329.84	191.67	348.71	426.57	231.32	241.19	147.06	193.01	0.0	31.9	12.09	24.81	12.93	133.36	124.37	201.25	30.34	21.32	24.81	70.01	126.12	49.91	51.71	22.92	81.14	48.87	22.75	52.82	28.04	16.75	18.29	55.1	45.85	25.17	149.12	49.91	29.7	39.22	34.75	77.79	54.33
HCG27	31.22	22.75	19.68	16.51	6.21	45.21	23.08	163.28	220.32	187.71	163.28	171.45	111.21	53.57	194.36	232.94	120.1	148.09	42.71	128.79	162.14	64.8	102.97	211.31	74.58	265.87	170.25	111.99	164.42	120.1	0.0	2.01	10.08	19.39	10.24	50.27	72.52	71.0	16.63	12.27	7.17	40.64	19.39	8.85	14.24	3.99	31.9	9.41	8.78	2.58	7.28	4.17	12.64	66.65	10.47	7.63	34.02	68.55	1.99	3.53	32.59	16.63	6.11
HCN3	30.12	38.4	31.67	33.78	22.59	43.02	59.13	172.65	98.04	172.65	47.17	147.06	120.1	86.43	145.02	180.02	119.26	139.07	56.28	101.54	132.44	85.22	84.63	74.58	103.69	155.5	117.6	111.99	161.02	104.42	0.0	12.55	13.42	46.5	18.84	108.14	71.5	75.11	28.86	19.11	28.65	72.52	24.81	23.25	72.01	34.75	107.38	16.51	35.5	31.0	16.03	21.94	22.59	91.41	31.9	58.3	33.3	64.8	24.46	28.24	41.81	19.11	21.94
HDAC6	656.11	872.1	525.39	447.82	463.65	974.5	1662.49	2645.74	2573.36	2520.38	1909.85	3190.46	1844.76	2004.85	2240.11	3168.41	2573.36	2956.17	1806.78	2682.69	2645.74	2682.69	2271.4	2915.45	3515.68	2976.74	2627.46	2061.24	2271.4	2090.03	0.0	1143.1	1175.27	1167.14	860.08	1467.37	1617.0	2075.59	759.08	1008.9	587.13	1322.37	1378.57	1340.84	1870.53	1191.69	1183.45	836.53	1242.34	1467.37	785.88	591.22	860.08	1295.13	860.08	1044.52	1498.22	1639.59	1277.29	723.08	723.08	1096.5	620.67
HINFP	309.83	186.4	228.13	287.01	293.07	409.15	500.46	1008.9	647.07	954.43	733.19	1008.9	514.56	665.29	733.19	796.86	698.41	921.88	476.71	693.58	825.0	616.37	753.83	480.04	819.3	808.0	748.61	703.28	813.63	878.17	0.0	341.51	220.32	226.54	177.53	420.68	587.13	708.18	248.0	249.73	348.71	529.06	466.88	265.87	373.81	371.22	361.04	241.19	262.2	269.6	373.81	241.19	226.54	579.04	297.17	353.59	389.72	454.09	277.2	241.19	406.31	237.86	256.78
HRH4	1.68	4.31	1.75	4.7	1.75	0.48	1.36	19.97	1.99	2.01	1.36	2.94	3.06	4.31	9.2	5.23	4.66	4.1	1.68	1.93	3.44	2.07	1.99	0.99	1.99	3.92	12.18	5.87	6.52	2.56	0.0	0.17	0.04	2.05	1.77	1.91	2.07	5.82	0.65	1.03	0.3	4.43	3.82	0.69	3.32	0.65	3.99	0.71	0.32	0.31	0.29	0.29	1.06	1.83	0.66	1.36	1.01	1.89	1.41	0.0	1.07	1.06	0.44
IFT172	325.29	248.0	228.13	303.44	264.03	480.04	486.75	1583.71	1674.06	1936.53	1250.98	2032.85	825.0	616.37	1832.01	1883.54	1277.29	1685.71	426.57	1151.06	1721.16	947.83	1096.5	1561.89	928.3	1467.37	1081.39	1498.22	1378.57	915.51	0.0	231.32	275.28	232.94	376.41	1259.69	902.89	1594.73	226.54	486.75	289.02	819.3	346.29	316.37	493.56	547.75	961.07	253.23	521.76	420.68	229.72	201.25	142.01	1066.48	232.94	532.74	1081.39	511.0	397.93	138.1	351.14	258.57	289.02
INTS3	567.1	392.44	536.45	738.29	759.08	1167.14	1467.37	2701.35	2335.28	2537.92	1498.22	2935.74	1467.37	2163.77	2434.5	2915.45	2417.67	3146.52	1437.15	2537.92	2701.35	2303.12	1991.0	2451.44	2104.58	2701.35	2224.63	2061.24	2287.2	1721.16	532.74	486.75	555.41	842.36	547.75	1104.13	1551.09	1447.15	769.69	759.08	599.49	1388.16	312.0	423.61	1096.5	884.29	1457.23	825.0	743.43	909.17	571.05	493.56	723.08	1331.57	684.02	866.07	1417.35	872.1	802.41	518.15	723.08	780.44	802.41
KAT2A	432.53	708.18	285.03	373.81	363.56	607.87	1151.06	2875.3	2468.49	3564.78	1794.29	3372.43	2417.67	1233.75	2119.22	2537.92	2163.77	2720.15	1277.29	2451.44	2451.44	2417.67	2319.15	1844.76	2384.37	2434.5	2351.53	2163.77	2255.7	1950.0	0.0	239.52	723.08	872.1	638.15	1242.34	1331.57	1477.58	483.38	591.22	301.33	1208.34	305.55	444.72	674.59	656.11	909.17	490.14	500.46	583.07	417.77	269.6	325.29	1096.5	638.15	587.13	1208.34	769.69	543.96	473.41	547.75	915.51	698.41
KCTD13	248.0	178.77	150.17	199.85	195.72	281.09	299.25	819.3	708.18	748.61	503.95	872.1	518.15	303.44	616.37	656.11	473.41	753.83	318.57	624.99	463.65	571.05	454.09	414.87	624.99	713.11	583.07	540.19	603.67	555.41	0.0	318.57	159.9	162.14	138.1	444.72	525.39	616.37	251.48	195.72	173.85	540.19	361.04	211.31	287.01	295.11	371.22	239.52	277.2	293.07	187.71	171.45	231.32	616.37	249.73	181.28	215.77	371.22	249.73	175.07	450.94	175.07	223.41
KLC4	493.56	511.0	420.68	651.58	633.73	629.35	791.35	1295.13	1304.15	1551.09	595.34	1437.15	934.76	915.51	1304.15	1857.6	1127.35	1427.22	532.74	1023.0	1250.98	866.07	954.43	1295.13	1427.22	1286.18	1199.98	961.07	1388.16	928.3	0.0	460.44	229.72	332.14	241.19	842.36	753.83	872.1	303.44	327.56	309.83	591.22	253.23	264.03	563.18	429.54	748.61	262.2	389.72	318.57	228.13	343.89	264.03	748.61	281.09	454.09	444.72	400.71	420.68	201.25	543.96	327.56	323.03
KLHDC1	59.97	44.57	61.25	80.01	85.22	166.73	136.19	204.07	202.66	191.67	161.02	155.5	147.06	173.85	226.54	231.32	199.85	185.11	133.36	185.11	283.05	177.53	169.07	195.72	149.12	211.31	178.77	242.88	191.67	164.42	0.0	86.43	40.36	46.18	42.11	133.36	143.01	275.28	120.94	48.52	48.52	241.19	66.65	130.6	79.45	116.78	117.6	88.26	57.49	63.0	45.21	60.82	37.59	107.38	31.22	100.13	177.53	102.25	62.12	73.03	48.87	57.08	31.67
KPNA5	105.15	53.57	141.02	181.28	129.69	158.79	104.42	158.79	161.02	255.0	151.22	163.28	108.9	151.22	228.13	228.13	169.07	176.29	88.88	134.3	173.85	191.67	127.0	143.01	155.5	193.01	164.42	182.55	181.28	154.42	47.84	127.89	101.54	98.04	163.28	197.09	163.28	157.68	101.54	110.43	95.34	214.27	178.77	151.22	141.02	186.4	171.45	108.14	110.43	87.65	68.07	115.16	91.41	163.28	66.65	125.24	151.22	112.77	121.79	63.0	78.89	100.13	45.21
L3MBTL1	57.49	52.45	52.08	72.52	92.7	182.55	246.28	420.68	397.93	444.72	295.11	432.53	384.34	414.87	591.22	698.41	525.39	633.73	255.0	470.14	486.75	536.45	559.28	525.39	575.03	651.58	423.61	339.14	376.41	536.45	0.0	64.34	63.45	60.39	25.17	214.27	242.88	395.18	149.12	115.16	50.27	277.2	99.43	132.44	244.57	156.59	279.14	67.12	82.87	69.52	42.41	38.4	61.68	674.59	52.45	98.04	346.29	159.9	281.09	30.34	115.16	38.95	28.86
LENG8	1191.69	1208.34	674.59	1268.46	854.13	2835.7	4704.07	8778.97	11345.82	11504.21	9409.14	10659.59	7433.4	5255.91	6294.04	11035.54	6983.79	10368.08	4481.23	9540.5	8022.41	8598.28	6745.86	7180.15	10659.59	10883.59	9025.81	6426.31	9025.81	8538.88	0.0	583.07	819.3	961.07	651.58	2720.15	3982.99	3665.02	1081.39	1519.15	559.28	3665.02	3060.45	1583.71	2319.15	1605.83	2255.7	1359.57	1359.57	2417.67	988.12	500.46	1259.69	5147.73	961.07	866.07	4152.18	3081.75	1378.57	1508.65	1628.26	1794.29	961.07
LIME1	87.65	46.18	16.03	23.59	39.79	43.63	182.55	1051.79	457.25	633.73	480.04	1250.98	529.06	175.07	591.22	656.11	503.95	575.03	193.01	435.55	435.55	395.18	476.71	237.86	567.1	547.75	397.93	511.0	514.56	279.14	0.0	57.49	239.52	170.25	251.48	466.88	713.11	733.19	182.55	100.13	51.35	376.41	234.57	61.68	242.88	96.68	289.02	142.01	76.17	205.5	169.07	65.72	45.85	307.69	110.43	128.79	145.02	314.17	279.14	43.02	69.03	85.22	90.14
LRP5L	65.26	27.25	23.59	63.89	56.68	91.41	144.01	387.02	323.03	129.69	376.41	518.15	223.41	149.12	346.29	279.14	264.03	277.2	120.94	336.79	269.6	267.73	255.0	239.52	204.07	293.07	221.86	262.2	212.78	316.37	0.0	47.5	34.75	28.45	55.89	116.78	137.14	171.45	58.71	46.18	22.43	126.12	89.51	26.28	44.57	53.19	48.18	43.02	39.22	60.82	28.04	17.38	52.82	83.45	78.89	78.34	165.57	52.45	33.54	40.64	84.63	100.13	50.98
LRRC24	12.45	10.0	5.36	10.08	18.97	37.32	53.19	162.14	116.78	121.79	76.17	182.55	116.78	19.11	115.97	67.12	58.3	92.7	64.8	70.01	76.71	145.02	65.72	36.27	52.08	129.69	68.07	52.08	92.05	42.71	0.0	22.75	23.08	33.54	30.12	84.04	34.02	108.14	52.45	32.36	28.04	67.59	40.64	41.81	96.68	77.25	105.89	34.75	40.36	90.14	46.84	22.59	11.04	67.12	20.41	56.28	51.71	75.11	88.88	19.82	14.89	20.41	10.79
LRRC34	58.3	49.56	35.76	33.78	54.33	68.07	56.28	95.34	120.1	135.24	54.33	77.79	80.57	88.88	94.01	161.02	88.88	173.85	65.72	73.54	122.64	117.6	56.68	116.78	110.43	107.38	66.65	53.57	60.39	61.68	0.0	32.36	48.52	51.71	49.91	67.59	144.01	117.6	64.34	36.79	43.02	228.13	29.48	43.02	28.04	48.52	97.36	50.63	67.12	23.76	16.03	40.36	20.26	80.01	32.36	100.83	59.13	32.13	57.08	53.19	28.04	64.8	48.18
LRRC37B	138.1	41.81	98.73	133.36	114.36	202.66	211.31	432.53	389.72	392.44	289.02	575.03	305.55	295.11	466.88	361.04	397.93	483.38	234.57	490.14	591.22	341.51	341.51	420.68	293.07	351.14	303.44	444.72	397.93	432.53	0.0	111.21	98.73	148.09	112.77	186.4	299.25	392.44	143.01	140.04	173.85	223.41	246.28	141.02	173.85	152.28	199.85	183.82	170.25	64.8	103.69	93.35	140.04	253.23	109.66	140.04	275.28	132.44	135.24	123.5	159.9	142.01	109.66
LRSAM1	511.0	693.58	426.57	559.28	547.75	878.17	403.5	708.18	679.29	1225.22	575.03	884.29	540.19	507.46	674.59	713.11	525.39	616.37	447.82	616.37	595.34	476.71	651.58	616.37	713.11	669.92	525.39	575.03	698.41	473.41	0.0	318.57	287.01	708.18	400.71	878.17	688.78	896.64	336.79	314.17	285.03	493.56	271.48	253.23	579.04	447.82	651.58	316.37	435.55	293.07	373.81	332.14	295.11	511.0	281.09	497.0	616.37	400.71	466.88	314.17	480.04	476.71	351.14
MAPRE3	423.61	638.15	275.28	521.76	389.72	587.13	934.76	1685.71	1378.57	1651.0	1208.34	1561.89	1540.37	848.22	1896.65	1870.53	1104.13	1651.0	860.08	1605.83	1685.71	1030.12	1359.57	1508.65	1340.84	1639.59	1551.09	1259.69	1417.35	2434.5	211.31	429.54	1832.01	2047.0	1023.0	780.44	836.53	1832.01	264.03	140.04	199.85	808.0	587.13	500.46	753.83	616.37	616.37	223.41	336.79	228.13	136.19	190.34	175.07	1175.27	241.19	376.41	2468.49	647.07	299.25	155.5	293.07	373.81	171.45
MED24	713.11	514.56	728.11	595.34	612.11	967.76	1151.06	2240.11	2384.37	3190.46	2104.58	2796.65	1073.91	1111.82	1529.73	2400.97	1639.59	2555.58	1104.13	1977.24	1427.22	1896.65	2148.82	2434.5	2255.7	2018.8	1781.89	1447.15	2163.77	1594.73	1417.35	679.29	1508.65	1268.46	1936.53	1268.46	1870.53	2224.63	543.96	813.63	591.22	860.08	1183.45	624.99	1447.15	813.63	802.41	981.29	1104.13	866.07	796.86	473.41	579.04	988.12	878.17	884.29	2319.15	1508.65	612.11	775.05	836.53	1199.98	1096.5
MIB2	438.59	587.13	463.65	444.72	603.67	753.83	1322.37	3564.78	2935.74	2434.5	2573.36	4123.49	2664.15	902.89	2555.58	2875.3	1870.53	2777.33	1225.22	2895.31	2193.99	2682.69	2163.77	1508.65	2976.74	3081.75	2417.67	1467.37	2417.67	1508.65	0.0	305.55	995.0	1277.29	1674.06	2061.24	2032.85	2835.7	656.11	583.07	447.82	1561.89	460.44	679.29	1111.82	1259.69	1697.45	718.08	808.0	1340.84	780.44	339.14	521.76	1794.29	665.29	1008.9	1844.76	1721.16	1277.29	444.72	878.17	587.13	521.76
MICA	599.49	406.31	223.41	395.18	450.94	872.1	808.0	1388.16	1757.34	2075.59	1427.22	1407.55	1044.52	587.13	1529.73	1437.15	1397.83	1268.46	466.88	1111.82	961.07	1417.35	1143.1	1023.0	1008.9	1008.9	890.44	1417.35	947.83	1388.16	0.0	497.0	124.37	612.11	409.15	503.95	1359.57	909.17	269.6	202.66	223.41	603.67	256.78	211.31	273.37	204.07	387.02	361.04	297.17	198.47	171.45	239.52	318.57	878.17	571.05	289.02	1175.27	260.38	223.41	135.24	457.25	202.66	158.79
MROH7	73.03	94.67	43.32	58.71	43.02	141.02	303.44	780.44	1119.56	830.75	848.22	1051.79	1023.0	476.71	842.36	1143.1	665.29	902.89	363.56	336.79	981.29	738.29	909.17	1059.11	848.22	981.29	928.3	423.61	974.5	764.36	0.0	18.43	12.09	4.21	14.89	381.68	470.14	808.0	38.12	56.68	19.82	356.05	63.45	103.69	100.13	58.3	171.45	45.85	126.12	113.56	19.39	17.77	4.31	237.86	22.92	21.78	486.75	289.02	45.85	29.91	15.91	53.57	13.72
MUS81	780.44	1088.92	775.05	780.44	884.29	1331.57	1286.18	1757.34	1950.0	2163.77	1977.24	2004.85	1519.15	1397.83	1733.13	1806.78	1617.0	2061.24	1417.35	1628.26	1909.85	1806.78	1617.0	1674.06	1883.54	2032.85	1781.89	1551.09	1936.53	1001.93	0.0	679.29	607.87	607.87	802.41	1268.46	1437.15	1467.37	872.1	669.92	796.86	1135.2	808.0	633.73	1127.35	753.83	1119.56	884.29	884.29	718.08	684.02	629.35	825.0	1183.45	825.0	967.76	769.69	1295.13	866.07	1066.48	1066.48	890.44	961.07
MUTYH	218.79	186.4	181.28	191.67	149.12	253.23	400.71	866.07	591.22	825.0	878.17	890.44	483.38	444.72	934.76	808.0	669.92	860.08	460.44	633.73	490.14	753.83	373.81	420.68	718.08	753.83	591.22	642.59	791.35	454.09	0.0	234.57	215.77	209.84	279.14	438.59	490.14	376.41	327.56	260.38	215.77	466.88	214.27	273.37	273.37	295.11	346.29	307.69	208.38	305.55	199.85	157.68	183.82	373.81	224.97	211.31	242.88	332.14	339.14	307.69	295.11	267.73	232.94
NISCH	660.68	480.04	718.08	988.12	836.53	1519.15	3419.52	2895.31	2485.67	2520.38	2682.69	3146.52	2645.74	2502.97	3146.52	3540.14	2915.45	3540.14	2224.63	3443.31	3349.13	3372.43	3901.01	3564.78	2976.74	3614.55	2537.92	2319.15	2627.46	5006.93	0.0	1104.13	753.83	1159.07	607.87	1447.15	1685.71	2209.26	1088.92	836.53	612.11	1519.15	1286.18	587.13	1540.37	1286.18	1709.26	1111.82	743.43	1127.35	813.63	532.74	684.02	1551.09	860.08	1008.9	2255.7	1350.18	1242.34	567.1	796.86	713.11	612.11
