	TCGA.DK.AA6X.01A.12R.A42T.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.FU.A57G.01A.11R.A26T.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.55.7570.01A.11R.2039.07	TCGA.55.7724.01A.11R.2170.07	TCGA.21.1075.01A.01R.0692.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.N5.A4RT.01A.11R.A28V.07
HNRNPA3	5403.7	4328.55	6294.04	11584.24	5872.48	9945.68	4123.49	7032.37	8658.09	3901.01	1857.6	3614.55	2400.97	2417.67	3325.99	3742.05	4181.07	5791.62	2645.74	2417.67	3491.39	4481.23	3589.58	3690.52	4575.41	3491.39	3491.39	3018.3	3589.58	3874.05	2573.36	2935.74	3982.99	3280.18	3443.31	3564.78	2384.37	3372.43	3212.66	4181.07	4268.94	3768.09	3716.2	2224.63	2468.49	3303.0	2701.35	2835.7	2451.44	3060.45	2573.36	2240.11	2997.45	2573.36	2287.2	3190.46	2664.15	2855.44	2119.22	1350.18	2609.3	2209.26	2434.5	10440.2	7642.41	7130.55	5555.65	4543.8	5329.3	4836.35	3614.55	5292.48	3794.3	5995.9	4181.07	3820.7	12764.83	8901.53
HNRNPL	5995.9	5954.47	6983.79	8538.88	7280.4	8658.09	4769.75	5913.33	8134.41	4181.07	4239.45	4607.24	4937.99	4152.18	4152.18	4239.45	5555.65	5292.48	3280.18	4543.8	5006.93	5183.54	4543.8	4836.35	4671.57	4268.94	4481.23	4388.98	4575.41	4671.57	4671.57	4419.52	4704.07	4481.23	4268.94	4769.75	4802.93	4239.45	4607.24	5594.3	4736.79	5076.84	4419.52	4152.18	3768.09	4181.07	4123.49	3820.7	3589.58	3874.05	3928.15	3665.02	3614.55	3847.29	3794.3	3794.3	3955.48	3820.7	2701.35	1963.57	2417.67	3564.78	2209.26	7966.99	7081.29	7032.37	6471.02	4802.93	5672.41	4972.34	4769.75	5403.7	5441.3	5711.87	4869.99	5255.91	8305.36	13123.73
HNRNPR	1447.15	2468.49	2367.9	4152.18	2061.24	3146.52	1806.78	2835.7	2997.45	1529.73	718.08	1498.22	981.29	1081.39	1096.5	1359.57	1233.75	1561.89	1104.13	961.07	1407.55	1806.78	1369.04	1487.87	1551.09	1407.55	1594.73	1350.18	1417.35	1477.58	1096.5	1369.04	1583.71	1498.22	1417.35	1427.22	1037.29	1407.55	1369.04	1477.58	1594.73	1561.89	1477.58	753.83	1081.39	1417.35	1143.1	1225.22	1143.1	1268.46	1059.11	1111.82	1159.07	1159.07	928.3	1286.18	1127.35	1159.07	607.87	463.65	660.68	928.3	718.08	4095.0	2178.83	1991.0	1781.89	1662.49	1697.45	1447.15	1605.83	2224.63	1498.22	1857.6	1551.09	1662.49	2682.69	3168.41
HSPA14	620.67	480.04	387.02	603.67	567.1	543.96	473.41	480.04	890.44	348.71	432.53	339.14	438.59	169.07	199.85	283.05	387.02	540.19	620.67	336.79	323.03	470.14	358.54	348.71	403.5	363.56	358.54	323.03	318.57	346.29	368.65	341.51	327.56	299.25	327.56	412.0	397.93	293.07	447.82	325.29	339.14	363.56	336.79	123.5	325.29	332.14	314.17	246.28	297.17	312.0	244.57	275.28	271.48	329.84	334.46	314.17	255.0	307.69	71.0	175.07	120.94	92.7	109.66	902.89	555.41	583.07	447.82	371.22	400.71	470.14	368.65	476.71	423.61	412.0	543.96	490.14	1167.14	1015.93
KHDRBS1	2758.13	2163.77	2997.45	3768.09	2104.58	2915.45	2417.67	3190.46	3303.0	1769.57	1001.93	2018.8	1340.84	1119.56	1350.18	1183.45	1259.69	2287.2	1350.18	1277.29	1857.6	2148.82	1721.16	1857.6	2018.8	1583.71	1757.34	1605.83	1733.13	1639.59	1508.65	1709.26	1844.76	1819.35	1857.6	1721.16	1304.15	1639.59	1977.24	1806.78	1844.76	1963.57	1757.34	890.44	1437.15	1870.53	1561.89	1529.73	1617.0	1662.49	1407.55	1487.87	1605.83	1540.37	1359.57	1674.06	1572.76	1605.83	490.14	441.64	842.36	679.29	915.51	3060.45	2224.63	2032.85	2032.85	2032.85	1769.57	1594.73	1832.01	2193.99	1561.89	1697.45	1685.71	1963.57	3212.66	3564.78
MAGOHB	748.61	1066.48	651.58	638.15	624.99	813.63	470.14	718.08	1259.69	332.14	403.5	305.55	490.14	185.11	339.14	242.88	255.0	299.25	723.08	251.48	293.07	476.71	262.2	339.14	327.56	264.03	275.28	260.38	312.0	371.22	376.41	305.55	246.28	279.14	269.6	316.37	336.79	265.87	339.14	353.59	301.33	295.11	264.03	159.9	236.21	249.73	244.57	251.48	206.94	262.2	267.73	177.53	223.41	244.57	269.6	212.78	258.57	197.09	199.85	221.86	242.88	236.21	341.51	1008.9	791.35	1322.37	320.8	353.59	316.37	463.65	400.71	733.19	251.48	406.31	283.05	463.65	708.18	1183.45
MARCKS	3325.99	2520.38	3349.13	1685.71	2701.35	5672.41	1685.71	1331.57	1844.76	753.83	175.07	540.19	447.82	262.2	264.03	279.14	281.09	2417.67	733.19	260.38	356.05	555.41	511.0	713.11	896.64	371.22	400.71	305.55	728.11	444.72	441.64	414.87	579.04	633.73	406.31	540.19	432.53	457.25	1037.29	486.75	703.28	941.27	555.41	417.77	244.57	769.69	205.5	301.33	507.46	318.57	371.22	198.47	234.57	215.77	341.51	620.67	327.56	329.84	119.26	146.03	669.92	82.29	177.53	1277.29	2367.9	3257.52	334.46	480.04	339.14	651.58	595.34	511.0	316.37	303.44	193.01	281.09	967.76	2485.67
MED10	1167.14	1519.15	884.29	563.18	808.0	1216.75	693.58	954.43	941.27	470.14	490.14	567.1	571.05	262.2	307.69	387.02	559.28	764.36	941.27	483.38	409.15	616.37	536.45	511.0	612.11	373.81	444.72	444.72	444.72	476.71	521.76	403.5	470.14	500.46	466.88	511.0	547.75	444.72	529.06	507.46	473.41	551.56	447.82	543.96	518.15	518.15	438.59	463.65	392.44	514.56	435.55	412.0	432.53	447.82	466.88	406.31	460.44	435.55	285.03	271.48	540.19	145.02	684.02	1135.2	718.08	1662.49	878.17	703.28	785.88	660.68	660.68	567.1	928.3	591.22	629.35	808.0	1088.92	1561.89
METAP1	1674.06	1561.89	1794.29	1628.26	1757.34	2303.12	764.36	884.29	1127.35	575.03	738.29	642.59	713.11	406.31	486.75	708.18	480.04	647.07	1023.0	718.08	830.75	796.86	733.19	753.83	718.08	624.99	698.41	674.59	693.58	713.11	753.83	878.17	674.59	703.28	669.92	791.35	759.08	656.11	769.69	759.08	642.59	830.75	669.92	361.04	583.07	607.87	660.68	555.41	563.18	591.22	633.73	525.39	674.59	679.29	638.15	559.28	616.37	665.29	307.69	186.4	256.78	293.07	215.77	1950.0	1044.52	1844.76	414.87	521.76	547.75	583.07	563.18	551.56	490.14	525.39	363.56	514.56	872.1	660.68
MIS18BP1	432.53	271.48	406.31	441.64	376.41	343.89	400.71	343.89	426.57	170.25	66.18	92.7	98.73	75.11	48.18	69.03	194.36	289.02	169.07	64.34	91.41	158.79	87.65	118.43	143.01	84.04	110.43	98.04	84.04	127.0	112.77	97.36	94.67	100.13	120.94	114.36	88.26	67.12	173.85	88.88	140.04	115.16	128.79	33.54	76.17	145.02	68.55	75.64	92.7	82.29	76.17	64.34	55.49	87.03	88.88	108.14	62.12	56.68	16.27	15.8	57.08	17.25	58.3	348.71	400.71	218.79	248.0	172.65	229.72	226.54	194.36	244.57	204.07	305.55	187.71	236.21	283.05	305.55
MORF4L2	4802.93	6037.61	5633.22	6699.25	5791.62	7382.04	4903.87	7280.4	9474.59	3820.7	5255.91	3982.99	4972.34	2682.69	2855.44	2956.17	4358.66	5219.6	5831.91	4328.55	3303.0	4450.27	3614.55	3820.7	4328.55	4298.64	4123.49	4010.71	4123.49	4450.27	4836.35	4095.0	3564.78	3874.05	3589.58	4328.55	4181.07	3419.52	4937.99	3491.39	4358.66	4671.57	3901.01	2451.44	3820.7	3614.55	3515.68	2976.74	3146.52	3395.89	2935.74	3395.89	3325.99	3372.43	3303.0	4066.71	2739.08	3303.0	2537.92	2047.0	2485.67	2335.28	3303.0	7857.29	5633.22	8363.13	4481.23	4152.18	4210.15	4972.34	4481.23	8421.31	4450.27	5219.6	4736.79	5183.54	11504.21	10883.59
MRFAP1L1	2104.58	2468.49	2163.77	1605.83	1697.45	2468.49	1477.58	1397.83	1991.0	1437.15	1437.15	1417.35	1427.22	1023.0	1286.18	1259.69	1909.85	1498.22	1359.57	1135.2	1457.23	1407.55	1350.18	1457.23	1572.76	1295.13	1427.22	1388.16	1487.87	1674.06	1427.22	1304.15	1498.22	1551.09	1467.37	1529.73	1417.35	1340.84	1457.23	1295.13	1322.37	1733.13	1487.87	743.43	1322.37	1277.29	1151.06	1111.82	1313.23	1225.22	1233.75	1051.79	1286.18	1242.34	1250.98	1111.82	1388.16	1286.18	633.73	1225.22	915.51	555.41	679.29	1819.35	1437.15	1183.45	1159.07	1674.06	1487.87	1794.29	1457.23	2018.8	1340.84	1709.26	1674.06	1936.53	1639.59	1977.24
MTBP	82.29	145.02	114.36	155.5	87.65	88.26	63.89	72.52	231.32	28.65	9.93	18.03	11.47	13.72	13.52	15.68	24.46	37.05	31.9	15.34	20.41	51.71	19.39	17.0	20.26	15.68	25.72	23.59	16.51	22.92	24.63	22.92	14.45	16.51	23.08	24.99	18.56	17.51	19.53	15.34	15.45	25.54	24.81	1.83	14.89	23.08	15.0	16.51	18.84	13.03	22.1	9.93	8.25	13.72	21.47	20.11	6.41	12.36	3.86	7.82	4.24	2.27	4.17	155.5	62.56	172.65	42.11	24.81	23.08	36.53	27.25	29.48	28.04	29.7	30.56	17.25	157.68	139.07
NIPBL	854.13	854.13	532.74	466.88	647.07	708.18	674.59	457.25	599.49	343.89	123.5	323.03	141.02	209.84	237.86	332.14	356.05	379.04	299.25	217.27	363.56	346.29	332.14	323.03	403.5	297.17	423.61	312.0	293.07	379.04	214.27	460.44	358.54	346.29	363.56	348.71	193.01	348.71	217.27	305.55	320.8	343.89	420.68	34.02	262.2	351.14	249.73	251.48	293.07	293.07	307.69	236.21	265.87	309.83	248.0	305.55	307.69	273.37	46.84	208.38	198.47	171.45	241.19	785.88	802.41	521.76	591.22	595.34	708.18	591.22	579.04	753.83	703.28	665.29	551.56	555.41	679.29	947.83
NSMCE2	785.88	1059.11	429.54	796.86	473.41	669.92	612.11	802.41	1059.11	470.14	928.3	503.95	785.88	371.22	320.8	397.93	500.46	466.88	713.11	624.99	381.68	426.57	409.15	438.59	463.65	540.19	426.57	493.56	450.94	454.09	718.08	441.64	432.53	384.34	420.68	518.15	1023.0	387.02	660.68	567.1	420.68	521.76	450.94	265.87	384.34	400.71	483.38	346.29	356.05	353.59	332.14	371.22	454.09	414.87	466.88	336.79	376.41	438.59	175.07	143.01	303.44	366.09	185.11	733.19	791.35	1081.39	540.19	540.19	540.19	529.06	503.95	358.54	483.38	514.56	466.88	571.05	759.08	819.3
NUF2	287.01	371.22	334.46	384.34	229.72	229.72	94.01	173.85	1015.93	8.51	6.78	7.28	7.88	3.38	9.2	8.13	10.39	54.72	10.88	8.92	3.11	172.65	8.51	8.78	19.82	5.41	5.36	5.19	10.31	6.46	8.38	6.16	7.63	5.68	8.58	8.13	11.13	4.31	11.04	7.51	6.73	8.92	8.71	1.11	3.56	8.25	6.41	5.96	5.41	2.92	4.39	6.62	7.11	5.36	7.69	6.73	5.63	6.78	0.0	2.12	9.41	1.58	3.72	753.83	198.47	688.78	14.78	4.35	7.11	13.62	8.06	17.13	11.47	6.01	9.06	8.38	500.46	674.59
NUP107	1037.29	665.29	934.76	529.06	1081.39	718.08	507.46	486.75	693.58	279.14	169.07	269.6	201.25	187.71	186.4	226.54	293.07	262.2	301.33	180.02	209.84	373.81	221.86	229.72	297.17	214.27	237.86	231.32	242.88	332.14	182.55	305.55	232.94	265.87	289.02	256.78	205.5	218.79	241.19	273.37	232.94	271.48	293.07	108.9	185.11	265.87	186.4	164.42	183.82	221.86	202.66	158.79	197.09	211.31	221.86	234.57	181.28	194.36	94.67	70.01	111.21	81.14	83.45	1088.92	638.15	647.07	463.65	285.03	381.68	400.71	264.03	403.5	651.58	351.14	363.56	320.8	1322.37	1397.83
NUP37	1427.22	1044.52	698.41	896.64	616.37	884.29	426.57	463.65	713.11	318.57	457.25	307.69	426.57	353.59	334.46	376.41	363.56	389.72	423.61	267.73	341.51	507.46	307.69	363.56	336.79	314.17	353.59	353.59	389.72	363.56	339.14	343.89	327.56	373.81	309.83	423.61	387.02	351.14	412.0	318.57	363.56	444.72	373.81	236.21	325.29	323.03	267.73	291.04	297.17	283.05	297.17	217.27	312.0	293.07	332.14	273.37	275.28	265.87	167.9	182.55	224.97	95.34	143.01	1963.57	713.11	1313.23	314.17	438.59	371.22	432.53	389.72	669.92	389.72	400.71	366.09	389.72	947.83	1388.16
PARPBP	301.33	293.07	353.59	241.19	108.14	251.48	56.28	111.99	432.53	32.59	31.45	25.17	52.08	16.15	22.75	16.27	34.26	51.35	41.22	30.78	22.92	97.36	28.24	36.53	36.01	28.04	25.17	27.05	27.44	22.1	35.25	28.65	25.35	21.47	27.05	24.81	34.26	23.93	52.82	32.82	29.91	42.41	19.25	6.62	15.22	38.4	25.72	24.28	22.92	24.28	22.43	21.94	16.15	19.68	24.28	24.11	11.21	19.39	3.17	3.41	7.22	2.89	7.88	1143.1	180.02	403.5	17.77	26.86	12.0	26.1	12.36	29.48	26.86	20.41	14.35	10.24	363.56	476.71
PFDN4	2148.82	1519.15	1250.98	1498.22	2609.3	1883.54	1259.69	1397.83	2193.99	417.77	808.0	587.13	718.08	486.75	339.14	579.04	525.39	1066.48	866.07	521.76	612.11	1081.39	656.11	759.08	708.18	575.03	490.14	529.06	665.29	529.06	941.27	518.15	620.67	674.59	567.1	693.58	759.08	669.92	1183.45	575.03	665.29	1059.11	620.67	447.82	486.75	555.41	473.41	490.14	438.59	490.14	532.74	336.79	463.65	503.95	536.45	466.88	532.74	466.88	85.22	148.09	283.05	389.72	190.34	2400.97	1295.13	1870.53	563.18	624.99	878.17	563.18	599.49	463.65	679.29	651.58	397.93	780.44	1950.0	2537.92
POLR2G	3491.39	4181.07	3081.75	2591.27	3257.52	3168.41	2148.82	2855.44	2976.74	1757.34	2875.3	1733.13	2664.15	2047.0	1697.45	1572.76	2061.24	2193.99	1923.14	1883.54	1487.87	2148.82	1639.59	2018.8	1936.53	1662.49	1551.09	1896.65	1832.01	1757.34	2133.97	1477.58	1697.45	1674.06	1709.26	2193.99	2537.92	1662.49	1977.24	1832.01	2163.77	2119.22	1757.34	1977.24	1540.37	1794.29	1806.78	1769.57	1388.16	1605.83	1651.0	1467.37	1519.15	1487.87	1674.06	1369.04	1628.26	1551.09	1225.22	1008.9	1208.34	679.29	1540.37	3639.7	3443.31	3716.2	1651.0	1936.53	1304.15	2032.85	1857.6	2335.28	1769.57	1757.34	2047.0	1769.57	2835.7	4836.35
PPHLN1	1407.55	1111.82	1225.22	1199.98	995.0	1183.45	825.0	954.43	1143.1	723.08	808.0	785.88	813.63	665.29	684.02	728.11	1151.06	769.69	961.07	679.29	624.99	796.86	684.02	780.44	802.41	656.11	743.43	753.83	785.88	775.05	791.35	698.41	718.08	738.29	679.29	813.63	878.17	620.67	909.17	693.58	802.41	854.13	718.08	536.45	660.68	759.08	674.59	595.34	595.34	651.58	571.05	551.56	620.67	647.07	591.22	723.08	587.13	656.11	363.56	255.0	376.41	299.25	403.5	1111.82	1135.2	1378.57	638.15	738.29	769.69	708.18	647.07	1059.11	703.28	854.13	759.08	813.63	1233.75	1551.09
PPP1CC	3124.78	2777.33	2434.5	2997.45	2119.22	2018.8	2777.33	2224.63	2573.36	1369.04	1388.16	1286.18	1447.15	674.59	830.75	947.83	1250.98	2133.97	1674.06	1388.16	1605.83	1685.71	1498.22	1437.15	1529.73	1369.04	1529.73	1378.57	1467.37	1359.57	1639.59	1551.09	1417.35	1369.04	1467.37	1417.35	1605.83	1350.18	2209.26	1572.76	1322.37	1745.2	1427.22	733.19	1066.48	1427.22	1340.84	1096.5	1259.69	1081.39	1037.29	1111.82	1359.57	1225.22	1088.92	1159.07	1191.69	1295.13	583.07	620.67	947.83	473.41	529.06	2720.15	2645.74	2915.45	1651.0	1605.83	1561.89	1583.71	1540.37	1733.13	1519.15	1651.0	1268.46	1551.09	2303.12	3639.7
PRIM1	341.51	186.4	224.97	454.09	356.05	164.42	248.0	156.59	693.58	81.14	81.71	62.12	90.77	61.25	60.82	39.5	101.54	212.78	119.26	66.18	77.79	237.86	49.91	66.65	63.45	49.56	82.29	78.34	94.67	72.01	72.01	80.57	79.45	105.89	59.13	100.83	106.63	79.45	88.88	76.17	75.64	112.77	92.05	29.06	80.57	100.83	50.98	49.56	82.87	38.95	81.14	32.82	63.45	62.56	66.18	71.5	70.01	63.89	35.25	49.56	58.3	36.27	27.25	414.87	295.11	532.74	107.38	114.36	89.51	164.42	164.42	167.9	127.89	155.5	80.01	147.06	229.72	660.68
PRIM2	180.02	180.02	94.01	212.78	180.02	173.85	97.36	141.02	299.25	56.68	45.21	56.68	55.89	46.5	53.57	35.76	81.71	86.43	88.88	45.85	50.98	85.82	57.08	54.72	53.57	57.08	43.94	49.56	49.21	51.71	37.59	55.1	56.68	52.45	53.95	57.08	54.33	53.19	75.64	59.55	53.95	63.45	57.08	37.85	44.57	66.18	49.56	40.93	45.85	37.59	43.02	48.87	45.21	42.41	41.81	52.82	40.36	42.71	41.52	9.7	57.89	31.22	27.44	211.31	136.19	255.0	49.56	73.54	53.19	101.54	84.63	107.38	51.71	115.97	54.33	80.01	281.09	409.15
PSMD10	1378.57	1467.37	1167.14	1331.57	1096.5	1733.13	1111.82	1437.15	1909.85	860.08	1208.34	890.44	988.12	575.03	802.41	703.28	967.76	1378.57	1119.56	860.08	947.83	1001.93	848.22	934.76	921.88	842.36	819.3	947.83	890.44	928.3	1015.93	802.41	854.13	915.51	860.08	988.12	1008.9	808.0	1199.98	896.64	915.51	981.29	872.1	567.1	819.3	819.3	808.0	764.36	748.61	780.44	669.92	708.18	785.88	825.0	791.35	791.35	753.83	796.86	312.0	269.6	361.04	237.86	320.8	1594.73	1551.09	2133.97	785.88	808.0	878.17	780.44	928.3	1111.82	808.0	974.5	866.07	967.76	1844.76	1551.09
PTGES3	7537.18	5006.93	6381.92	10084.54	7331.05	5076.84	6250.56	5995.9	6607.01	3847.29	4769.75	4639.29	4836.35	3349.13	3874.05	3639.7	3168.41	4152.18	5517.27	3982.99	4802.93	5517.27	3982.99	5006.93	4607.24	3768.09	3982.99	4298.64	5006.93	4736.79	5479.15	4671.57	3928.15	4450.27	4152.18	4869.99	4358.66	4481.23	6164.49	4268.94	4210.15	5791.62	4419.52	2627.46	4152.18	3847.29	3820.7	3794.3	4210.15	4298.64	3847.29	3690.52	3901.01	3443.31	3928.15	4010.71	3901.01	3716.2	2520.38	2004.85	2758.13	2384.37	2609.3	9876.98	7280.4	10084.54	4210.15	4671.57	4095.0	4095.0	4972.34	5441.3	3491.39	4512.4	4481.23	4419.52	6652.97	9088.59
PTPN2	1183.45	764.36	796.86	1081.39	738.29	836.53	603.67	559.28	1066.48	371.22	400.71	417.77	409.15	275.28	248.0	281.09	318.57	532.74	518.15	307.69	320.8	414.87	420.68	379.04	503.95	318.57	384.34	341.51	341.51	400.71	366.09	363.56	371.22	316.37	307.69	409.15	356.05	320.8	480.04	435.55	441.64	454.09	381.68	186.4	332.14	417.77	332.14	289.02	289.02	376.41	297.17	264.03	316.37	283.05	325.29	334.46	221.86	271.48	113.56	283.05	197.09	314.17	265.87	620.67	1322.37	1936.53	748.61	684.02	583.07	723.08	743.43	708.18	656.11	688.78	555.41	669.92	1397.83	860.08
RAD51AP1	379.04	373.81	214.27	312.0	177.53	320.8	78.89	197.09	1529.73	36.53	26.1	22.26	38.4	22.92	23.42	23.76	37.59	72.01	64.34	15.56	12.74	186.4	32.59	25.54	31.45	37.05	29.48	23.76	30.56	13.52	34.51	23.93	25.35	24.28	31.9	30.56	35.0	22.75	57.89	30.78	23.59	29.27	28.65	10.55	15.8	35.5	23.42	19.53	21.32	18.43	20.86	16.75	16.88	23.08	22.75	42.71	13.12	18.97	6.78	18.84	18.03	0.57	1.6	543.96	218.79	738.29	26.67	19.53	49.56	73.03	64.8	38.12	26.47	28.86	34.02	28.04	500.46	624.99
RAD51C	688.78	728.11	836.53	836.53	595.34	660.68	591.22	698.41	1191.69	361.04	397.93	343.89	389.72	258.57	336.79	279.14	403.5	447.82	460.44	253.23	312.0	547.75	325.29	406.31	361.04	323.03	414.87	339.14	397.93	381.68	336.79	348.71	400.71	368.65	348.71	376.41	376.41	334.46	392.44	417.77	373.81	409.15	363.56	264.03	376.41	291.04	336.79	329.84	329.84	312.0	332.14	264.03	343.89	291.04	320.8	249.73	279.14	305.55	176.29	182.55	150.17	217.27	158.79	934.76	713.11	1104.13	346.29	426.57	262.2	371.22	406.31	432.53	267.73	361.04	277.2	529.06	860.08	1044.52
RCC2	2255.7	2609.3	2627.46	2956.17	2417.67	4066.71	974.5	2104.58	3303.0	555.41	198.47	583.07	305.55	363.56	447.82	490.14	327.56	967.76	409.15	366.09	457.25	866.07	490.14	587.13	684.02	368.65	470.14	450.94	480.04	551.56	323.03	518.15	595.34	514.56	503.95	507.46	329.84	536.45	450.94	543.96	559.28	480.04	547.75	579.04	460.44	651.58	366.09	507.46	500.46	571.05	521.76	392.44	397.93	432.53	490.14	612.11	432.53	441.64	128.79	256.78	371.22	51.35	91.41	3372.43	1447.15	1540.37	366.09	679.29	454.09	466.88	397.93	406.31	607.87	674.59	587.13	563.18	3146.52	2520.38
RFC3	341.51	229.72	209.84	432.53	195.72	381.68	185.11	392.44	603.67	108.14	74.06	100.13	99.43	88.88	96.68	92.7	96.01	111.99	97.36	59.97	76.17	205.5	87.03	111.99	111.21	104.42	101.54	92.05	96.01	96.01	89.51	85.22	96.68	109.66	94.67	93.35	96.68	77.25	118.43	91.41	100.83	110.43	85.22	44.25	82.87	92.7	77.25	76.71	76.17	77.79	69.03	66.18	68.55	75.64	74.58	87.65	62.56	76.17	64.8	54.72	50.27	59.97	53.57	620.67	185.11	400.71	190.34	145.02	185.11	106.63	87.65	130.6	158.79	121.79	130.6	145.02	1081.39	547.75
RHNO1	1167.14	1143.1	1167.14	1143.1	1008.9	915.51	457.25	651.58	1127.35	514.56	381.68	406.31	435.55	341.51	312.0	336.79	258.57	466.88	764.36	323.03	332.14	620.67	457.25	392.44	368.65	381.68	395.18	351.14	373.81	423.61	334.46	334.46	450.94	406.31	381.68	420.68	426.57	450.94	555.41	426.57	441.64	412.0	397.93	551.56	353.59	480.04	346.29	395.18	379.04	397.93	447.82	373.81	273.37	309.83	339.14	417.77	351.14	366.09	70.01	44.89	138.1	28.86	128.79	836.53	743.43	1143.1	470.14	514.56	540.19	480.04	532.74	902.89	490.14	432.53	532.74	595.34	1015.93	1051.79
RPAP3	1008.9	688.78	392.44	555.41	480.04	511.0	387.02	507.46	723.08	358.54	258.57	299.25	291.04	224.97	217.27	264.03	323.03	246.28	336.79	241.19	301.33	384.34	307.69	356.05	376.41	253.23	346.29	297.17	305.55	366.09	291.04	373.81	314.17	339.14	325.29	312.0	277.2	291.04	334.46	346.29	305.55	400.71	329.84	34.75	258.57	293.07	256.78	236.21	258.57	260.38	265.87	228.13	267.73	277.2	249.73	277.2	193.01	246.28	40.07	74.58	232.94	120.1	115.97	802.41	466.88	595.34	343.89	417.77	244.57	295.11	409.15	490.14	301.33	426.57	332.14	316.37	813.63	1199.98
SARNP	2758.13	2018.8	1844.76	2645.74	2720.15	2758.13	1674.06	2664.15	2047.0	1268.46	2018.8	1487.87	1857.6	1044.52	1088.92	1304.15	1487.87	1508.65	1561.89	1259.69	1119.56	1467.37	1378.57	1388.16	1529.73	1407.55	1135.2	1397.83	1295.13	1529.73	1467.37	1104.13	1388.16	1268.46	1242.34	1628.26	1832.01	1119.56	1674.06	1498.22	1477.58	1991.0	1519.15	1286.18	1295.13	1191.69	1216.75	1127.35	954.43	1250.98	1199.98	890.44	1151.06	995.0	1135.2	1044.52	1001.93	1015.93	591.22	825.0	1051.79	733.19	775.05	3060.45	2032.85	1950.0	2018.8	1427.22	1594.73	1733.13	1844.76	1963.57	1477.58	1844.76	1651.0	1909.85	2855.44	3491.39
