	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.A7.A6VY.01A.12R.A33J.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N
MRPL14	2555.58	4358.66	1322.37	2976.74	1397.83	2303.12	1963.57	1397.83	2351.53	3395.89	988.12	1709.26	1295.13	1529.73	2520.38	981.29	1832.01	1662.49	1605.83	1359.57	2255.7	796.86	2287.2	2915.45	1023.0	2701.35	884.29	2520.38	890.44	1662.49	2895.31	1819.35	612.11	679.29	426.57	441.64	460.44	579.04	660.68	532.74	1073.91	1023.0	423.61	1127.35	591.22	884.29	718.08	708.18	921.88	872.1	651.58	341.51	603.67	571.05	674.59	780.44	1350.18	551.56	3280.18	708.18	753.83	2271.4	813.63	327.56	808.0
MRPS12	1540.37	2400.97	1104.13	1832.01	896.64	1143.1	995.0	1286.18	2451.44	1427.22	1388.16	1250.98	693.58	1023.0	780.44	860.08	1233.75	921.88	1044.52	1066.48	1233.75	532.74	1167.14	1697.45	759.08	1467.37	583.07	1909.85	660.68	1259.69	1023.0	1295.13	356.05	426.57	244.57	273.37	327.56	371.22	371.22	305.55	497.0	624.99	269.6	842.36	412.0	379.04	400.71	414.87	547.75	409.15	279.14	189.02	412.0	417.77	426.57	392.44	1073.91	423.61	1639.59	301.33	283.05	1191.69	551.56	341.51	490.14
MRPS26	3280.18	2178.83	1950.0	5479.15	1561.89	2271.4	974.5	1359.57	1359.57	3081.75	2335.28	1963.57	1135.2	954.43	1936.53	1191.69	1709.26	1477.58	1781.89	1191.69	1909.85	848.22	1051.79	2935.74	1304.15	3564.78	860.08	4123.49	981.29	1529.73	1697.45	2193.99	629.35	575.03	432.53	387.02	507.46	591.22	616.37	444.72	836.53	860.08	339.14	1498.22	967.76	819.3	616.37	915.51	1066.48	684.02	503.95	444.72	884.29	543.96	563.18	802.41	1191.69	934.76	1950.0	579.04	1073.91	1857.6	748.61	392.44	723.08
MRPS34	5366.37	3874.05	3820.7	10084.54	1639.59	3982.99	4388.98	3768.09	6745.86	5791.62	3190.46	4010.71	1977.24	2119.22	3146.52	2591.27	4181.07	2997.45	2997.45	1977.24	3768.09	988.12	2701.35	3349.13	2468.49	3303.0	1457.23	2537.92	1467.37	2485.67	4123.49	4607.24	813.63	813.63	521.76	612.11	395.18	764.36	753.83	483.38	1397.83	1498.22	336.79	2255.7	1135.2	1242.34	1015.93	1295.13	1119.56	1111.82	967.76	764.36	1709.26	769.69	780.44	1059.11	1259.69	1191.69	3874.05	738.29	1388.16	2555.58	1259.69	764.36	1111.82
NDUFS6	35609.13	5751.61	2104.58	3235.01	1529.73	2384.37	981.29	1407.55	4836.35	3901.01	2119.22	1844.76	1519.15	2682.69	1322.37	2104.58	2255.7	2335.28	1605.83	1477.58	1594.73	579.04	2271.4	2720.15	1313.23	3874.05	1037.29	2417.67	1191.69	2367.9	3146.52	1397.83	587.13	633.73	463.65	575.03	206.94	616.37	525.39	351.14	896.64	872.1	212.78	2061.24	463.65	624.99	878.17	791.35	708.18	981.29	723.08	277.2	890.44	669.92	587.13	1119.56	1519.15	780.44	3325.99	426.57	759.08	1757.34	1143.1	429.54	607.87
NOC2L	2133.97	1388.16	1437.15	1733.13	1331.57	2451.44	890.44	1277.29	1923.14	2935.74	1044.52	1781.89	669.92	764.36	1073.91	688.78	1583.71	878.17	1583.71	1081.39	759.08	642.59	1685.71	1167.14	1417.35	1781.89	1059.11	1369.04	934.76	1127.35	909.17	1388.16	624.99	536.45	329.84	348.71	450.94	567.1	476.71	358.54	1051.79	884.29	299.25	1096.5	1015.93	884.29	698.41	688.78	1159.07	529.06	1015.93	503.95	1008.9	836.53	878.17	1733.13	1233.75	988.12	1127.35	473.41	1208.34	848.22	748.61	738.29	890.44
NUBP2	1950.0	2061.24	2255.7	6516.03	921.88	2485.67	1909.85	1870.53	3820.7	3280.18	2434.5	3103.19	842.36	1457.23	1769.57	825.0	2287.2	1127.35	1639.59	1467.37	1369.04	769.69	1268.46	2591.27	1286.18	1781.89	872.1	1350.18	813.63	1757.34	1447.15	2502.97	470.14	476.71	348.71	309.83	297.17	423.61	376.41	293.07	819.3	808.0	202.66	1225.22	540.19	669.92	454.09	738.29	684.02	854.13	403.5	248.0	1143.1	633.73	684.02	769.69	890.44	825.0	3212.66	208.38	813.63	1769.57	819.3	563.18	791.35
NUDT1	1639.59	1991.0	674.59	1605.83	1268.46	1477.58	389.72	486.75	2240.11	1111.82	872.1	819.3	483.38	813.63	423.61	693.58	1331.57	647.07	497.0	819.3	529.06	289.02	836.53	1286.18	514.56	2319.15	400.71	1896.65	703.28	1159.07	540.19	981.29	287.01	281.09	273.37	285.03	223.41	244.57	379.04	212.78	473.41	476.71	173.85	647.07	277.2	426.57	444.72	389.72	301.33	638.15	397.93	248.0	476.71	307.69	497.0	591.22	423.61	368.65	1745.2	253.23	1477.58	769.69	620.67	134.3	503.95
OXLD1	1081.39	1857.6	1662.49	1936.53	759.08	1662.49	842.36	808.0	2178.83	1242.34	1447.15	1313.23	480.04	638.15	988.12	262.2	1467.37	587.13	1259.69	995.0	928.3	373.81	848.22	1369.04	629.35	860.08	438.59	780.44	511.0	1340.84	647.07	802.41	348.71	295.11	224.97	165.57	145.02	253.23	217.27	201.25	493.56	547.75	137.14	728.11	358.54	583.07	392.44	460.44	480.04	371.22	264.03	52.82	497.0	603.67	339.14	447.82	363.56	551.56	808.0	127.89	316.37	1519.15	463.65	163.28	336.79
PKMYT1	1487.87	1870.53	432.53	2591.27	269.6	2004.85	334.46	579.04	3124.78	1447.15	656.11	312.0	275.28	307.69	336.79	134.3	559.28	102.97	208.38	921.88	186.4	29.7	563.18	1369.04	156.59	981.29	118.43	665.29	186.4	511.0	258.57	612.11	11.91	10.0	1.62	5.87	24.99	16.63	18.97	25.54	156.59	43.32	17.51	136.19	72.01	314.17	73.03	53.19	54.72	66.65	204.07	16.39	42.11	14.56	49.56	87.65	78.89	97.36	48.18	80.57	111.21	107.38	36.27	6.67	84.04
POLD1	1151.06	1277.29	595.34	1268.46	480.04	1628.26	171.45	384.34	1605.83	825.0	713.11	656.11	244.57	312.0	397.93	209.84	551.56	167.9	521.76	684.02	339.14	295.11	466.88	1277.29	309.83	878.17	204.07	733.19	277.2	514.56	295.11	283.05	197.09	129.69	78.89	63.45	186.4	226.54	152.28	95.34	363.56	217.27	67.12	403.5	289.02	323.03	329.84	190.34	194.36	195.72	314.17	117.6	373.81	166.73	176.29	500.46	170.25	258.57	341.51	94.67	283.05	420.68	195.72	237.86	403.5
PPM1G	4181.07	4010.71	1540.37	3146.52	1844.76	3690.52	1572.76	2255.7	2485.67	3372.43	1340.84	1709.26	1745.2	2047.0	1662.49	2384.37	1605.83	1674.06	1628.26	2224.63	1617.0	1242.34	2287.2	3325.99	1844.76	2075.59	1651.0	2997.45	1857.6	1487.87	1540.37	1583.71	1135.2	1066.48	764.36	808.0	848.22	1051.79	1175.27	836.53	1457.23	1551.09	679.29	1806.78	872.1	866.07	1605.83	1313.23	830.75	1286.18	1457.23	995.0	1313.23	1359.57	1119.56	1417.35	2287.2	1088.92	2018.8	1104.13	1183.45	1819.35	1628.26	1030.12	1096.5
PPP1R35	785.88	1617.0	1594.73	2209.26	599.49	1073.91	426.57	363.56	981.29	1457.23	473.41	1605.83	366.09	426.57	698.41	193.01	1119.56	371.22	728.11	583.07	583.07	417.77	587.13	1508.65	493.56	1030.12	379.04	1208.34	329.84	928.3	753.83	656.11	271.48	195.72	132.44	116.78	204.07	186.4	185.11	183.82	237.86	323.03	172.65	599.49	279.14	325.29	291.04	277.2	381.68	303.44	320.8	99.43	423.61	267.73	232.94	387.02	229.72	435.55	1044.52	73.54	432.53	642.59	224.97	148.09	217.27
PPP4C	10014.87	7230.1	3103.19	7537.18	2739.08	3955.48	4671.57	2664.15	4543.8	6699.25	2997.45	3690.52	1936.53	3103.19	2178.83	2915.45	5872.48	2816.11	4704.07	3372.43	2935.74	2004.85	1709.26	3589.58	2400.97	3564.78	1896.65	2956.17	1697.45	2777.33	2133.97	4575.41	1208.34	1259.69	785.88	902.89	909.17	1023.0	1277.29	1081.39	1794.29	1991.0	934.76	2133.97	1008.9	1286.18	1359.57	1397.83	1427.22	1909.85	1467.37	332.14	1733.13	1447.15	1096.5	1467.37	1963.57	1529.73	2816.11	1143.1	1322.37	2915.45	2119.22	854.13	1350.18
RALY	3639.7	4937.99	3467.27	8134.41	3280.18	4512.4	2400.97	3716.2	4769.75	7589.61	4769.75	3257.52	2287.2	3212.66	2758.13	3081.75	3124.78	3794.3	3146.52	3039.3	3212.66	2303.12	3665.02	5872.48	3018.3	4298.64	2664.15	4450.27	2209.26	2875.3	2591.27	3982.99	2178.83	1977.24	1721.16	1639.59	1572.76	1991.0	2351.53	1583.71	2502.97	2645.74	1572.76	3168.41	2240.11	2178.83	2047.0	2434.5	1909.85	4704.07	2956.17	2224.63	2255.7	1896.65	2163.77	2451.44	3564.78	1806.78	4607.24	1651.0	2434.5	2915.45	2240.11	2351.53	3212.66
RHOD	2537.92	2004.85	1030.12	2451.44	587.13	896.64	748.61	1519.15	651.58	2240.11	836.53	934.76	457.25	1037.29	1769.57	466.88	909.17	860.08	603.67	909.17	764.36	490.14	890.44	633.73	1104.13	830.75	607.87	1857.6	651.58	988.12	1233.75	961.07	414.87	406.31	275.28	172.65	277.2	329.84	346.29	318.57	358.54	642.59	223.41	896.64	540.19	718.08	373.81	693.58	860.08	376.41	599.49	128.79	409.15	309.83	435.55	647.07	400.71	251.48	3303.0	170.25	595.34	1175.27	525.39	279.14	490.14
RNASEH2A	2319.15	1605.83	583.07	1781.89	1233.75	1883.54	728.11	536.45	2287.2	1359.57	974.5	665.29	624.99	579.04	884.29	679.29	848.22	698.41	567.1	974.5	518.15	346.29	941.27	1977.24	444.72	921.88	376.41	1745.2	297.17	1088.92	1044.52	1359.57	256.78	232.94	128.79	155.5	229.72	279.14	277.2	170.25	426.57	457.25	177.53	543.96	318.57	400.71	279.14	387.02	323.03	447.82	329.84	256.78	348.71	151.22	264.03	743.43	244.57	275.28	764.36	218.79	612.11	395.18	381.68	221.86	536.45
RPUSD1	866.07	718.08	684.02	2895.31	273.37	1127.35	660.68	525.39	1340.84	1059.11	713.11	884.29	253.23	366.09	511.0	256.78	660.68	796.86	387.02	441.64	540.19	264.03	417.77	967.76	336.79	551.56	199.85	503.95	271.48	490.14	497.0	825.0	175.07	172.65	92.05	70.51	126.12	148.09	139.07	113.56	265.87	232.94	79.45	299.25	183.82	205.5	239.52	212.78	202.66	211.31	169.07	61.25	277.2	289.02	239.52	194.36	237.86	223.41	297.17	109.66	211.31	486.75	246.28	143.01	211.31
SCAND1	1437.15	2739.08	2163.77	7642.41	759.08	2335.28	941.27	896.64	2303.12	4298.64	3982.99	1628.26	679.29	866.07	1923.14	733.19	1685.71	1143.1	1529.73	764.36	1322.37	688.78	854.13	1936.53	1175.27	1540.37	599.49	3018.3	1001.93	1909.85	961.07	1651.0	336.79	463.65	186.4	287.01	183.82	285.03	281.09	239.52	329.84	563.18	170.25	1151.06	336.79	444.72	444.72	244.57	567.1	529.06	283.05	29.48	551.56	521.76	412.0	341.51	1259.69	417.77	2148.82	81.71	480.04	1268.46	507.46	152.28	551.56
SDF2L1	1697.45	1844.76	842.36	2935.74	884.29	1806.78	1008.9	860.08	1498.22	1529.73	529.06	642.59	738.29	587.13	684.02	563.18	796.86	902.89	1199.98	1044.52	759.08	295.11	1001.93	1008.9	688.78	1295.13	547.75	2956.17	1498.22	703.28	2400.97	473.41	193.01	181.28	67.59	80.57	82.29	157.68	226.54	108.9	457.25	429.54	101.54	928.3	251.48	220.32	361.04	176.29	525.39	295.11	273.37	77.25	371.22	275.28	414.87	480.04	808.0	332.14	860.08	125.24	309.83	559.28	323.03	177.53	229.72
SLC25A39	7642.41	6745.86	3614.55	5441.3	3901.01	3081.75	3874.05	3039.3	12589.08	6294.04	4152.18	3540.14	2502.97	3060.45	2502.97	2240.11	2935.74	2451.44	3491.39	3955.48	4639.29	1844.76	4937.99	5995.9	2224.63	3589.58	2119.22	4575.41	1896.65	3303.0	3540.14	2915.45	1447.15	1477.58	928.3	1023.0	954.43	1183.45	1359.57	1119.56	1794.29	2303.12	848.22	2271.4	1529.73	1111.82	1088.92	1662.49	1417.35	1225.22	1447.15	540.19	1721.16	981.29	1369.04	2163.77	2367.9	1639.59	3303.0	728.11	2047.0	2645.74	1819.35	1225.22	1844.76
SLX1A	4512.4	2163.77	785.88	4010.71	291.04	934.76	947.83	708.18	1628.26	3467.27	872.1	1662.49	173.85	571.05	96.68	503.95	967.76	967.76	346.29	543.96	529.06	157.68	466.88	915.51	299.25	1313.23	149.12	915.51	251.48	743.43	470.14	1104.13	144.01	87.65	120.94	152.28	131.51	234.57	162.14	165.57	297.17	173.85	117.6	620.67	75.64	209.84	438.59	126.12	285.03	392.44	108.14	98.73	123.5	59.55	25.91	140.04	170.25	218.79	454.09	66.18	265.87	281.09	334.46	46.18	106.63
SNRNP25	2209.26	2047.0	1457.23	5076.84	638.15	1806.78	1340.84	1685.71	2502.97	2997.45	954.43	1781.89	629.35	764.36	954.43	1175.27	1437.15	1119.56	1044.52	1015.93	743.43	507.46	1175.27	1844.76	884.29	1208.34	708.18	1477.58	389.72	1250.98	1794.29	2451.44	400.71	567.1	457.25	329.84	234.57	384.34	381.68	336.79	599.49	651.58	281.09	791.35	587.13	397.93	429.54	981.29	429.54	460.44	283.05	426.57	642.59	483.38	291.04	1023.0	366.09	521.76	2351.53	361.04	836.53	1769.57	409.15	486.75	466.88
SPC24	532.74	651.58	68.55	808.0	180.02	371.22	46.84	92.7	341.51	417.77	190.34	38.12	98.73	83.45	118.43	69.03	114.36	54.72	53.95	209.84	97.36	11.55	166.73	165.57	33.78	198.47	53.57	262.2	74.06	90.77	198.47	132.44	6.73	9.34	7.94	6.67	14.45	21.63	15.34	15.68	47.84	13.32	8.32	50.63	3.47	99.43	20.86	23.08	14.14	50.27	50.63	2.53	23.76	24.46	6.41	12.64	7.75	14.78	5.63	8.65	18.16	26.47	18.29	31.22	11.82
SSNA1	3491.39	3395.89	2417.67	2976.74	2664.15	3874.05	1605.83	1175.27	2319.15	2935.74	2875.3	2739.08	1417.35	1950.0	2047.0	1369.04	2502.97	1794.29	2018.8	1819.35	1794.29	909.17	1551.09	2591.27	1896.65	2855.44	1151.06	2976.74	1378.57	2520.38	1806.78	1378.57	698.41	693.58	497.0	493.56	346.29	656.11	559.28	392.44	1304.15	1191.69	283.05	1519.15	708.18	934.76	802.41	688.78	941.27	1023.0	848.22	395.18	1111.82	718.08	775.05	1111.82	954.43	902.89	4512.4	490.14	928.3	2855.44	1208.34	647.07	1037.29
STK32C	366.09	483.38	320.8	928.3	202.66	316.37	195.72	92.7	253.23	444.72	819.3	209.84	89.51	206.94	217.27	91.41	336.79	129.69	312.0	316.37	454.09	96.68	183.82	356.05	220.32	457.25	165.57	769.69	217.27	193.01	287.01	275.28	102.97	119.26	73.54	96.01	70.51	134.3	110.43	54.72	172.65	163.28	52.08	301.33	106.63	118.43	156.59	189.02	128.79	159.9	114.36	127.0	253.23	123.5	191.67	88.88	72.01	237.86	414.87	130.6	131.51	309.83	242.88	172.65	130.6
STRA13	1870.53	4388.98	2485.67	5517.27	1628.26	3325.99	1844.76	2075.59	5751.61	5555.65	3443.31	2417.67	1127.35	1508.65	2485.67	563.18	2303.12	1769.57	1781.89	2609.3	1096.5	642.59	1628.26	2664.15	1331.57	3589.58	1242.34	1651.0	1096.5	2090.03	1551.09	1896.65	575.03	470.14	267.73	271.48	327.56	450.94	525.39	325.29	1127.35	1051.79	307.69	1498.22	688.78	1066.48	551.56	775.05	785.88	890.44	389.72	202.66	896.64	738.29	483.38	1322.37	1781.89	813.63	4419.52	348.71	1037.29	2935.74	599.49	457.25	665.29
THOP1	1437.15	813.63	813.63	884.29	363.56	860.08	819.3	423.61	769.69	1369.04	1096.5	974.5	463.65	309.83	656.11	780.44	684.02	435.55	1407.55	665.29	591.22	320.8	624.99	1119.56	518.15	796.86	363.56	748.61	299.25	656.11	473.41	909.17	279.14	236.21	108.9	142.01	182.55	253.23	220.32	127.0	521.76	511.0	117.6	547.75	642.59	366.09	334.46	624.99	480.04	291.04	373.81	194.36	571.05	281.09	429.54	679.29	480.04	366.09	633.73	120.1	961.07	647.07	339.14	267.73	379.04
TIMM13	3146.52	4095.0	3081.75	2537.92	1674.06	2573.36	2047.0	1199.98	3690.52	4769.75	3349.13	3190.46	1304.15	1819.35	1561.89	1143.1	3820.7	1819.35	2609.3	2573.36	2255.7	1001.93	1594.73	3467.27	1519.15	4481.23	1250.98	2875.3	1233.75	2701.35	1757.34	2796.65	698.41	587.13	353.59	457.25	381.68	647.07	674.59	414.87	1397.83	1066.48	251.48	1857.6	1015.93	988.12	743.43	1066.48	1044.52	638.15	733.19	397.93	1015.93	612.11	961.07	934.76	1794.29	780.44	3589.58	493.56	748.61	2287.2	1066.48	629.35	1191.69
TIMM17B	3060.45	2796.65	1119.56	4869.99	1407.55	1529.73	1081.39	1477.58	2976.74	2895.31	1529.73	1709.26	954.43	1233.75	1529.73	1447.15	1781.89	1359.57	1397.83	1081.39	1242.34	928.3	1467.37	3303.0	1088.92	1437.15	896.64	1407.55	693.58	1963.57	748.61	1651.0	669.92	599.49	412.0	429.54	395.18	567.1	616.37	435.55	819.3	1023.0	327.56	954.43	738.29	890.44	511.0	525.39	961.07	785.88	616.37	389.72	769.69	642.59	591.22	1216.75	967.76	769.69	2915.45	571.05	1208.34	1487.87	723.08	575.03	1015.93
TMEM160	688.78	1183.45	400.71	884.29	152.28	381.68	229.72	334.46	555.41	555.41	273.37	463.65	112.77	253.23	169.07	183.82	242.88	248.0	224.97	181.28	194.36	100.13	226.54	351.14	277.2	307.69	161.02	656.11	232.94	339.14	616.37	273.37	53.19	106.63	85.82	66.65	41.22	84.63	82.87	64.8	147.06	127.0	36.27	341.51	74.06	205.5	224.97	109.66	253.23	167.9	99.43	31.0	281.09	61.25	145.02	120.94	85.22	124.37	211.31	25.17	228.13	159.9	134.3	40.07	54.33
TOMM40	3146.52	1950.0	1044.52	1662.49	974.5	1757.34	825.0	1397.83	2627.46	1551.09	1208.34	1044.52	830.75	1111.82	633.73	1051.79	1104.13	1127.35	1001.93	1286.18	1183.45	547.75	1340.84	2367.9	1015.93	1313.23	796.86	2178.83	638.15	1023.0	1359.57	1250.98	387.02	381.68	202.66	214.27	277.2	320.8	348.71	265.87	836.53	665.29	236.21	1001.93	361.04	470.14	395.18	379.04	518.15	463.65	400.71	287.01	616.37	525.39	379.04	665.29	1477.58	543.96	928.3	409.15	432.53	753.83	567.1	363.56	403.5
TSR3	2367.9	2701.35	1662.49	4419.52	915.51	2664.15	1331.57	1617.0	2875.3	2224.63	1662.49	2417.67	848.22	1208.34	961.07	934.76	2061.24	1233.75	1340.84	1096.5	1233.75	612.11	1709.26	2047.0	1427.22	1950.0	866.07	1111.82	896.64	1594.73	1304.15	1745.2	500.46	665.29	579.04	518.15	336.79	511.0	525.39	363.56	884.29	759.08	258.57	1304.15	674.59	547.75	854.13	753.83	723.08	1044.52	651.58	454.09	764.36	679.29	629.35	669.92	660.68	669.92	2090.03	291.04	607.87	1151.06	961.07	713.11	842.36
UBE2S	6607.01	4736.79	785.88	4388.98	866.07	4512.4	638.15	2032.85	4903.87	2875.3	1508.65	769.69	555.41	651.58	718.08	866.07	1277.29	438.59	703.28	1407.55	796.86	368.65	2163.77	2915.45	595.34	1487.87	612.11	3665.02	447.82	1233.75	1551.09	1551.09	232.94	253.23	103.69	136.19	264.03	221.86	146.03	239.52	698.41	447.82	202.66	529.06	249.73	435.55	253.23	376.41	241.19	400.71	432.53	33.3	206.94	234.57	201.25	403.5	808.0	260.38	1896.65	96.68	466.88	878.17	389.72	94.01	332.14
UFSP1	75.64	64.34	100.83	182.55	32.82	96.68	65.26	70.01	69.52	103.69	36.79	111.21	43.32	28.65	190.34	8.78	89.51	48.52	60.82	32.59	57.08	26.28	19.39	116.78	68.55	65.26	23.42	165.57	65.26	74.06	60.82	76.17	14.35	18.16	18.16	27.25	15.11	15.8	13.52	25.35	21.16	26.28	10.63	52.08	17.25	13.72	43.32	29.91	24.46	28.65	19.97	6.67	32.13	23.08	14.78	14.45	22.75	29.91	50.27	14.14	20.26	44.25	49.21	39.22	20.71
