	GTEX.11GSP.0726.SM.5986L	GTEX.111VG.0726.SM.5GIDC	TCGA.56.8082.11A.01R.2247.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.7737.01A.11R.2118.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.AJ.A3NE.11A.11R.A22K.07
FAM89A	660.68	432.53	511.0	43.02	121.79	55.49	59.55	115.16	106.63	189.02	89.51	149.12	90.14	72.01	111.99	50.63	144.01	180.02	106.63	99.43	186.4	123.5	73.54	81.14	224.97	44.57	81.14	111.21	119.26	169.07	244.57	92.05	94.67	162.14	150.17	212.78	47.84	132.44	111.21	82.29	33.3	40.36	143.01	32.13	85.22	55.1	71.0	40.36	87.65	47.5	159.9	47.5	77.79	120.94	52.08	59.55	36.27	91.41	75.11	138.1	119.26	120.1	109.66	253.23	518.15
FGF18	503.95	583.07	194.36	1.5	14.89	2.58	1.13	8.06	6.31	24.28	11.55	17.64	10.63	48.87	9.41	4.9	19.53	52.82	17.38	9.27	10.88	22.92	6.67	6.46	224.97	5.68	1.99	2.29	11.13	52.82	48.87	14.45	3.44	62.12	4.46	22.26	8.38	18.03	6.84	20.86	2.51	8.38	31.67	3.35	2.68	5.59	5.92	3.26	10.63	3.35	17.77	8.13	26.28	29.91	11.38	3.35	5.59	4.39	7.46	13.93	53.57	14.78	21.63	81.71	220.32
FGR	2133.97	612.11	2367.9	52.82	71.5	23.42	16.75	77.79	59.13	162.14	85.22	74.06	62.12	132.44	40.07	44.89	218.79	96.01	117.6	52.45	161.02	99.43	55.49	45.53	269.6	81.71	72.01	46.5	63.0	182.55	228.13	64.8	53.19	180.02	44.89	166.73	78.89	121.79	97.36	131.51	23.76	12.18	134.3	82.87	36.27	53.19	34.26	28.86	40.64	43.32	76.71	57.49	87.03	108.14	82.87	27.25	43.63	31.0	74.06	133.36	66.65	108.9	54.72	599.49	356.05
FHL2	1923.14	2417.67	642.59	334.46	1397.83	172.65	60.39	1304.15	1963.57	2520.38	1832.01	1388.16	1175.27	1397.83	665.29	194.36	2303.12	3103.19	674.59	599.49	2367.9	1417.35	466.88	444.72	2434.5	616.37	409.15	397.93	616.37	2417.67	3257.52	1259.69	1467.37	2627.46	713.11	1551.09	915.51	988.12	1369.04	1508.65	75.64	318.57	2627.46	343.89	656.11	624.99	395.18	339.14	543.96	591.22	1437.15	429.54	890.44	1977.24	656.11	297.17	503.95	1572.76	2224.63	3146.52	3257.52	1977.24	2163.77	1923.14	6561.36
FHL5	351.14	287.01	224.97	9.41	34.02	2.34	12.93	12.74	8.06	10.08	7.94	7.63	13.93	29.06	27.05	8.38	75.11	38.95	9.41	8.38	38.95	20.86	8.71	9.34	176.29	13.42	18.97	6.11	25.17	39.79	39.79	6.41	8.45	85.22	9.48	50.27	28.24	23.42	18.43	29.7	4.24	14.14	42.41	8.99	16.63	4.62	53.57	1.93	28.24	19.68	5.23	17.77	34.26	36.79	17.9	2.81	5.77	23.76	19.82	27.84	31.67	31.67	21.01	187.71	108.9
FOSL1	7911.95	915.51	7331.05	18.43	34.02	1.53	78.34	56.68	947.83	540.19	40.93	234.57	35.5	195.72	5.54	10.39	105.15	848.22	253.23	22.59	703.28	480.04	17.38	12.0	1832.01	194.36	3.29	5.92	32.13	559.28	684.02	19.82	11.13	460.44	9.63	113.56	10.24	198.47	102.97	72.52	4.24	6.67	444.72	13.42	4.54	28.65	5.19	8.25	37.85	20.11	493.56	39.79	43.02	150.17	31.45	3.14	2.29	8.51	20.11	1268.46	507.46	41.52	75.64	2520.38	1437.15
FOSL2	4671.57	4639.29	5479.15	299.25	708.18	476.71	555.41	591.22	1991.0	1477.58	665.29	1044.52	878.17	1447.15	514.56	384.34	791.35	3212.66	1313.23	371.22	2682.69	1674.06	525.39	305.55	4328.55	4123.49	540.19	320.8	665.29	2976.74	2240.11	327.56	438.59	2997.45	205.5	1044.52	389.72	902.89	974.5	2148.82	343.89	279.14	3124.78	327.56	473.41	368.65	285.03	244.57	647.07	316.37	1225.22	647.07	493.56	1127.35	603.67	287.01	379.04	392.44	1183.45	3419.52	2163.77	587.13	674.59	2468.49	6699.25
FOXC2	123.5	70.01	38.67	4.46	6.94	0.48	0.0	4.98	3.76	5.36	1.36	4.31	1.73	7.4	4.58	1.31	8.45	8.78	6.94	2.46	16.63	3.47	0.93	3.66	56.28	7.06	1.73	2.05	1.39	15.68	19.39	3.14	1.31	25.91	8.38	25.54	5.19	8.58	5.54	11.38	1.0	1.16	6.73	1.28	0.93	2.05	9.06	0.54	4.43	3.14	5.28	2.14	5.63	9.85	4.28	0.0	0.99	3.82	5.87	9.06	5.68	5.96	0.55	48.18	11.04
GADD45A	5076.84	3564.78	4181.07	157.68	291.04	103.69	201.25	198.47	1331.57	665.29	309.83	361.04	291.04	780.44	339.14	182.55	423.61	1487.87	299.25	98.04	1030.12	297.17	155.5	389.72	2209.26	429.54	125.24	130.6	187.71	1242.34	1277.29	215.77	242.88	1143.1	211.31	400.71	215.77	285.03	414.87	255.0	363.56	161.02	612.11	151.22	191.67	171.45	212.78	123.5	197.09	155.5	486.75	297.17	258.57	511.0	249.73	133.36	162.14	283.05	305.55	2004.85	1059.11	366.09	426.57	3039.3	7032.37
GADD45B	21617.82	14765.09	23492.92	1001.93	2701.35	587.13	1583.71	1721.16	16269.83	5112.16	3280.18	12160.22	1540.37	10512.82	1250.98	1015.93	1794.29	7130.55	21320.18	854.13	6887.62	5292.48	1540.37	2739.08	25887.07	8421.31	802.41	583.07	1135.2	17317.18	8479.89	1417.35	1037.29	9344.14	974.5	3639.7	660.68	1551.09	5076.84	8305.36	738.29	503.95	6561.36	890.44	723.08	1551.09	1044.52	620.67	941.27	1030.12	3955.48	5913.33	5112.16	6037.61	1617.0	447.82	928.3	1127.35	2976.74	17558.94	15607.02	2271.4	1037.29	11827.67	9344.14
GEM	2895.31	3303.0	1551.09	64.8	438.59	18.43	46.5	206.94	579.04	371.22	303.44	884.29	381.68	1397.83	80.57	57.08	490.14	1088.92	441.64	115.97	1081.39	444.72	86.43	65.72	1551.09	447.82	37.85	59.55	583.07	1135.2	1605.83	120.94	135.24	1561.89	77.25	438.59	180.02	392.44	514.56	748.61	28.86	37.59	642.59	141.02	84.63	73.54	108.14	44.89	209.84	162.14	368.65	95.34	226.54	633.73	157.68	27.64	68.07	96.68	217.27	1378.57	866.07	363.56	187.71	1662.49	3540.14
GJA4	1216.75	764.36	1037.29	114.36	164.42	34.51	56.28	66.18	158.79	127.89	133.36	197.09	110.43	351.14	212.78	79.45	256.78	194.36	299.25	108.9	497.0	166.73	108.9	107.38	819.3	204.07	37.85	70.01	83.45	297.17	684.02	97.36	40.07	466.88	155.5	264.03	289.02	220.32	151.22	258.57	71.5	53.95	181.28	154.42	59.97	88.26	87.03	39.22	103.69	169.07	79.45	305.55	246.28	251.48	186.4	26.28	61.25	86.43	31.45	287.01	170.25	151.22	96.01	1023.0	1674.06
GPR3	72.01	86.43	64.34	6.73	7.88	0.73	7.94	3.76	43.32	50.27	9.7	15.56	11.04	30.12	2.07	3.44	32.59	70.01	28.24	1.22	63.0	57.89	1.95	1.25	121.79	19.25	6.16	17.0	14.03	45.85	53.19	4.46	4.21	65.72	1.58	9.41	11.04	18.16	24.46	20.11	2.14	3.96	46.5	5.54	3.06	2.32	2.29	1.87	10.31	5.54	41.81	6.67	8.13	25.54	1.93	1.41	1.3	3.69	8.99	45.85	49.56	9.2	5.23	217.27	78.34
GSDMC	13.12	36.27	45.85	1.57	3.79	0.71	0.0	0.43	10.71	50.27	1.71	5.96	0.0	2.68	0.0	0.0	3.76	9.06	4.24	0.0	4.43	3.66	0.84	5.63	25.72	2.1	0.0	1.64	0.47	24.28	19.53	4.98	2.51	33.54	2.05	3.79	1.27	5.63	2.1	4.03	0.0	0.39	6.62	0.83	0.84	1.23	1.22	0.8	0.87	0.43	5.32	0.0	1.28	11.82	2.89	1.1	1.77	1.62	0.85	28.24	4.28	2.58	3.76	12.64	6.31
HAPLN3	633.73	669.92	941.27	29.7	95.34	10.88	14.67	47.17	99.43	239.52	87.03	88.88	57.89	151.22	26.67	38.67	199.85	175.07	57.89	32.13	167.9	80.01	27.84	27.05	567.1	79.45	19.11	45.21	48.87	334.46	341.51	112.77	93.35	267.73	56.28	199.85	49.56	123.5	131.51	83.45	6.36	8.78	102.25	42.41	37.59	34.51	53.57	15.45	30.78	43.02	104.42	47.17	50.27	130.6	78.34	15.45	24.28	72.52	45.53	228.13	175.07	80.01	51.35	447.82	785.88
HAS1	363.56	194.36	223.41	0.0	0.0	2.56	0.0	0.0	4.03	3.0	1.99	1.53	2.34	12.93	0.0	0.41	2.27	10.96	5.15	1.16	3.59	7.82	1.53	0.0	57.49	3.08	0.42	0.0	0.84	42.11	7.4	0.77	0.79	62.56	3.41	4.62	1.19	1.55	1.93	5.28	0.0	0.0	7.46	0.77	0.0	0.0	1.14	0.4	0.0	0.78	4.39	1.2	0.0	2.73	1.51	0.0	0.0	0.0	1.16	4.9	4.7	0.42	0.0	145.02	86.43
HAS2	1119.56	1183.45	902.89	3.63	9.13	0.88	0.65	3.08	40.07	13.42	6.89	11.55	5.68	41.52	1.1	4.5	24.28	77.25	7.46	2.78	14.78	31.67	3.11	3.53	40.36	17.13	0.72	3.79	3.72	43.02	28.65	4.1	5.23	48.18	2.76	10.96	7.51	18.56	16.75	18.43	0.77	0.91	45.21	4.06	1.04	3.11	1.03	1.66	2.48	3.41	26.47	3.26	1.79	20.71	3.44	1.23	1.48	2.66	12.55	30.34	14.03	3.89	23.59	49.91	48.18
HIC1	651.58	332.14	642.59	23.25	81.71	8.51	49.91	42.41	150.17	105.89	93.35	126.12	149.12	277.2	71.5	43.02	305.55	297.17	72.52	76.71	183.82	126.12	70.01	94.01	708.18	187.71	25.54	43.32	101.54	389.72	204.07	112.77	96.68	392.44	64.34	172.65	105.89	187.71	152.28	262.2	16.15	18.43	183.82	57.49	55.1	64.34	47.5	24.99	66.65	57.08	102.97	73.54	85.82	187.71	84.63	19.11	55.1	34.75	63.0	309.83	171.45	94.67	41.22	273.37	563.18
HRH1	373.81	397.93	371.22	6.78	21.63	1.97	3.66	29.7	25.17	178.77	13.32	16.75	16.15	35.0	13.52	7.51	74.58	140.04	16.27	7.22	31.9	48.87	8.13	9.34	312.0	36.79	6.41	8.13	24.28	33.78	232.94	11.21	16.15	44.89	19.97	47.5	24.81	76.17	22.92	43.02	3.32	8.78	40.36	16.75	23.08	4.58	12.93	5.63	14.89	16.15	138.1	22.43	6.11	23.25	15.56	6.36	8.45	10.55	17.51	31.67	21.94	18.7	15.34	198.47	1216.75
ICAM1	29736.59	17804.06	45072.75	94.01	414.87	33.3	74.58	158.79	497.0	928.3	314.17	507.46	232.94	1135.2	98.04	115.97	381.68	1059.11	587.13	133.36	603.67	363.56	171.45	66.18	1529.73	624.99	99.43	120.1	215.77	1397.83	703.28	271.48	198.47	633.73	108.14	860.08	144.01	395.18	264.03	412.0	68.55	46.5	612.11	99.43	269.6	110.43	180.02	305.55	117.6	89.51	974.5	305.55	80.57	444.72	137.14	341.51	265.87	102.97	82.87	629.35	426.57	175.07	107.38	3820.7	5147.73
IER3	9606.86	6121.9	8479.89	176.29	872.1	17.9	57.49	567.1	2997.45	974.5	995.0	1551.09	651.58	1037.29	110.43	56.68	540.19	2224.63	703.28	232.94	1295.13	698.41	283.05	158.79	2976.74	1662.49	105.15	144.01	336.79	2796.65	2895.31	275.28	438.59	2997.45	145.02	1467.37	226.54	295.11	575.03	780.44	62.12	31.9	1417.35	571.05	175.07	299.25	107.38	114.36	134.3	518.15	967.76	483.38	343.89	1674.06	543.96	73.03	171.45	228.13	555.41	7230.1	2090.03	629.35	1111.82	3103.19	11909.94
IER5	1781.89	878.17	2701.35	98.73	124.37	35.76	35.76	112.77	414.87	166.73	214.27	293.07	249.73	172.65	64.34	47.5	236.21	358.54	151.22	85.82	327.56	224.97	86.43	113.56	551.56	232.94	62.56	66.65	136.19	651.58	460.44	116.78	125.24	543.96	107.38	339.14	111.99	205.5	258.57	332.14	58.71	31.45	334.46	123.5	59.97	84.63	35.5	47.84	98.73	114.36	202.66	123.5	348.71	265.87	111.21	28.04	74.06	98.04	138.1	1059.11	420.68	201.25	171.45	426.57	961.07
IER5L	85.82	182.55	116.78	64.8	74.06	55.89	34.51	24.81	231.32	96.68	80.57	204.07	43.63	341.51	14.14	14.67	153.34	65.26	146.03	15.56	111.21	99.43	99.43	33.06	318.57	175.07	26.28	21.01	15.8	406.31	143.01	161.02	38.67	361.04	78.34	121.79	51.71	104.42	76.71	124.37	35.0	10.16	146.03	46.18	30.12	71.0	31.67	21.94	20.86	69.03	126.12	59.97	92.05	212.78	234.57	29.48	38.67	13.72	16.88	212.78	44.25	29.7	23.93	301.33	1008.9
IL1B	1883.54	909.17	2240.11	16.03	41.81	2.16	1.01	8.92	69.03	136.19	38.67	105.15	41.81	37.32	6.46	8.78	21.94	384.34	23.59	16.63	87.65	78.34	26.47	5.96	158.79	170.25	2.36	9.85	9.78	138.1	110.43	13.72	21.47	105.89	10.16	291.04	10.79	16.39	43.63	187.71	3.5	0.95	265.87	12.27	2.58	6.41	14.14	9.2	4.5	9.78	41.81	34.51	14.24	154.42	16.75	5.92	5.63	19.53	10.63	86.43	53.19	69.52	14.03	379.04	525.39
IL6	33224.42	13123.73	46986.85	11.04	162.14	2.1	15.45	13.32	813.63	226.54	92.05	137.14	100.13	1183.45	3.0	19.82	76.17	1781.89	775.05	15.45	384.34	363.56	24.11	20.56	5633.22	279.14	1.93	3.11	55.1	2935.74	514.56	20.41	16.51	1909.85	5.63	830.75	8.06	56.68	217.27	248.0	5.19	3.29	412.0	31.45	1.87	27.64	14.03	9.63	34.26	14.56	232.94	167.9	82.29	206.94	39.22	1.66	5.06	4.58	15.91	1583.71	460.44	55.49	23.76	4239.45	1721.16
IRF1	6426.31	7966.99	16045.82	429.54	791.35	162.14	500.46	318.57	3039.3	2271.4	780.44	1896.65	656.11	1159.07	256.78	307.69	1030.12	3280.18	2895.31	438.59	1008.9	2319.15	379.04	217.27	5255.91	2384.37	209.84	341.51	353.59	4152.18	1896.65	915.51	1023.0	1594.73	289.02	1216.75	265.87	1111.82	967.76	1950.0	135.24	104.42	3235.01	325.29	480.04	353.59	323.03	218.79	217.27	447.82	2104.58	583.07	579.04	1135.2	412.0	295.11	381.68	343.89	343.89	2335.28	2976.74	503.95	486.75	1340.84	4704.07
ITPKC	3794.3	1199.98	7485.11	543.96	476.71	239.52	575.03	529.06	3395.89	1936.53	559.28	718.08	441.64	775.05	457.25	412.0	669.92	1639.59	836.53	371.22	1936.53	1096.5	346.29	483.38	3039.3	884.29	389.72	423.61	371.22	2796.65	1233.75	551.56	511.0	1369.04	518.15	684.02	368.65	447.82	629.35	490.14	397.93	223.41	909.17	438.59	432.53	514.56	403.5	329.84	503.95	414.87	1096.5	486.75	450.94	583.07	595.34	473.41	384.34	460.44	718.08	2682.69	1909.85	536.45	559.28	1936.53	1697.45
JDP2	2434.5	974.5	2451.44	190.34	283.05	65.72	48.18	180.02	571.05	231.32	339.14	343.89	303.44	497.0	226.54	173.85	454.09	500.46	253.23	140.04	559.28	327.56	202.66	175.07	698.41	426.57	141.02	124.37	194.36	599.49	607.87	206.94	293.07	698.41	226.54	420.68	265.87	403.5	414.87	483.38	89.51	77.79	599.49	169.07	167.9	241.19	92.05	186.4	209.84	275.28	269.6	209.84	320.8	571.05	172.65	123.5	197.09	253.23	406.31	1304.15	575.03	432.53	567.1	1277.29	1378.57
JOSD1	2075.59	1208.34	1191.69	387.02	563.18	332.14	441.64	403.5	921.88	599.49	497.0	497.0	514.56	651.58	348.71	366.09	521.76	1015.93	540.19	397.93	780.44	743.43	336.79	312.0	902.89	928.3	392.44	412.0	444.72	713.11	785.88	371.22	500.46	921.88	346.29	555.41	587.13	529.06	426.57	743.43	435.55	301.33	1030.12	497.0	400.71	373.81	389.72	376.41	507.46	376.41	679.29	450.94	368.65	764.36	536.45	387.02	473.41	392.44	536.45	1167.14	624.99	521.76	490.14	981.29	1268.46
JUND	15392.14	11035.54	10014.87	3467.27	3443.31	1709.26	3103.19	3491.39	14461.21	3325.99	5366.37	9344.14	4152.18	7032.37	2758.13	1923.14	4298.64	2777.33	11112.3	1583.71	5517.27	6983.79	3372.43	4903.87	13215.02	6079.61	2075.59	1359.57	2895.31	12076.21	7803.01	3124.78	2956.17	11424.74	2758.13	4836.35	2451.44	7382.04	5329.3	11827.67	2758.13	1457.23	5112.16	2997.45	1977.24	5147.73	1781.89	1572.76	3280.18	5112.16	6840.04	6250.56	4152.18	6516.03	5555.65	2119.22	1733.13	1199.98	2573.36	18819.27	5954.47	2178.83	2645.74	8421.31	7749.1
KBTBD2	941.27	1066.48	1183.45	132.44	277.2	221.86	215.77	246.28	395.18	368.65	258.57	285.03	327.56	400.71	187.71	209.84	327.56	540.19	361.04	221.86	406.31	283.05	234.57	201.25	536.45	341.51	251.48	208.38	323.03	447.82	444.72	157.68	275.28	483.38	224.97	341.51	275.28	305.55	281.09	325.29	318.57	187.71	429.54	343.89	205.5	167.9	198.47	211.31	246.28	248.0	420.68	242.88	178.77	409.15	262.2	183.82	214.27	277.2	327.56	400.71	466.88	329.84	267.73	884.29	1350.18
KCTD10	2645.74	2018.8	1540.37	293.07	612.11	339.14	389.72	432.53	713.11	1023.0	583.07	718.08	583.07	660.68	447.82	490.14	703.28	1662.49	476.71	384.34	915.51	995.0	497.0	363.56	1304.15	753.83	423.61	470.14	656.11	995.0	941.27	493.56	629.35	1191.69	297.17	954.43	603.67	780.44	579.04	915.51	287.01	291.04	1225.22	457.25	470.14	348.71	414.87	258.57	529.06	493.56	796.86	463.65	536.45	780.44	511.0	521.76	327.56	638.15	638.15	684.02	1030.12	775.05	551.56	1322.37	1540.37
KDM6B	4268.94	2163.77	4903.87	154.42	271.48	157.68	395.18	204.07	693.58	638.15	244.57	397.93	379.04	395.18	214.27	249.73	309.83	819.3	624.99	223.41	915.51	698.41	217.27	164.42	1457.23	1051.79	201.25	199.85	198.47	872.1	432.53	154.42	275.28	915.51	211.31	587.13	285.03	379.04	358.54	454.09	295.11	98.73	967.76	264.03	295.11	214.27	314.17	283.05	189.02	316.37	497.0	255.0	190.34	429.54	366.09	279.14	277.2	215.77	260.38	909.17	351.14	185.11	165.57	1233.75	1806.78
KLF10	2796.65	2061.24	3467.27	123.5	432.53	79.45	242.88	318.57	1806.78	656.11	400.71	909.17	417.77	896.64	86.43	64.34	389.72	3235.01	620.67	226.54	1832.01	802.41	109.66	80.01	1781.89	995.0	75.11	105.15	334.46	1991.0	1225.22	171.45	279.14	1857.6	178.77	842.36	231.32	616.37	497.0	633.73	102.97	52.82	2303.12	169.07	101.54	92.05	295.11	128.79	201.25	155.5	954.43	273.37	166.73	988.12	182.55	130.6	130.6	189.02	260.38	2090.03	2502.97	575.03	400.71	2701.35	3081.75
KLF6	5954.47	3372.43	7230.1	133.36	387.02	157.68	447.82	450.94	2956.17	780.44	624.99	988.12	669.92	718.08	358.54	297.17	395.18	2367.9	2537.92	248.0	2976.74	1457.23	277.2	493.56	2148.82	1397.83	293.07	158.79	571.05	3982.99	1745.2	103.69	368.65	2032.85	149.12	928.3	229.72	353.59	743.43	4298.64	381.68	156.59	1583.71	253.23	363.56	253.23	173.85	148.09	507.46	295.11	660.68	1508.65	460.44	764.36	409.15	289.02	312.0	262.2	647.07	4239.45	1407.55	356.05	295.11	6607.01	3235.01
KLK3	9.85	0.79	2.61	1345768.59	1005860.33	450134.56	1116072.03	1212874.47	800198.39	845824.19	887875.81	1163466.92	1116072.03	687022.54	925580.18	1063212.58	800198.39	489177.0	1255646.43	1187913.85	502929.67	1093103.58	1139523.1	919186.72	475800.4	1100706.72	659036.03	881742.8	1327240.99	400098.69	318292.9	1147449.11	925580.18	139508.13	1412675.8	672883.8	1238359.56	1327240.99	1196176.45	851707.37	746611.43	757033.75	589853.66	1063212.58	736332.6	1212874.47	1238359.56	985160.01	1048575.0	1345768.59	828417.36	1472666.19	1229805.58	649962.87	1019901.63	696613.03	800198.39	894051.48	1019901.63	499455.67	834179.46	985160.01	1063212.58	110.43	8.65
LGALS12	44.25	122.64	11.21	1.06	0.36	0.29	0.68	0.0	0.78	0.0	2.43	4.82	2.78	4.28	0.38	1.13	2.32	7.75	2.16	0.74	4.21	7.22	2.32	0.0	18.29	1.53	0.0	0.0	1.2	8.99	4.06	3.89	0.36	14.45	1.5	1.93	2.39	40.07	12.27	0.79	0.0	0.97	6.31	1.1	0.73	1.51	0.35	1.45	1.57	0.72	2.01	0.0	1.57	4.13	0.73	0.0	0.0	1.31	0.0	1.89	2.41	0.65	0.27	4.24	10.55
LIF	2855.44	1388.16	4268.94	21.16	50.63	3.38	14.56	9.85	147.06	138.1	59.13	211.31	36.53	447.82	8.06	21.16	63.0	480.04	100.83	15.8	384.34	547.75	23.08	20.26	884.29	208.38	13.22	12.0	25.91	902.89	199.85	24.46	21.32	532.74	7.94	480.04	27.64	258.57	77.25	123.5	9.2	2.12	343.89	13.03	7.17	23.59	19.68	10.31	12.0	15.91	116.78	31.67	28.04	162.14	70.51	7.82	15.11	6.21	10.08	444.72	56.68	38.95	10.39	540.19	1561.89
LMNA	47974.16	21026.65	29531.18	2303.12	3060.45	2075.59	1104.13	2935.74	12329.98	5555.65	3190.46	4419.52	2451.44	4903.87	2664.15	1781.89	4210.15	9088.59	3190.46	2119.22	6561.36	6516.03	2319.15	2047.0	15180.22	5872.48	1457.23	2193.99	2319.15	7749.1	7911.95	3280.18	3589.58	10225.32	3060.45	5041.77	3665.02	7911.95	3716.2	6164.49	1167.14	1277.29	13681.08	2335.28	2384.37	2367.9	1806.78	1561.89	2303.12	2739.08	4671.57	2997.45	2875.3	4358.66	2255.7	1883.54	1844.76	2400.97	3467.27	14361.31	8363.13	3589.58	3103.19	16045.82	12160.22
LRRC32	8305.36	7857.29	12415.75	267.73	420.68	50.27	130.6	341.51	563.18	607.87	244.57	848.22	356.05	1151.06	476.71	102.25	674.59	703.28	591.22	381.68	954.43	723.08	164.42	201.25	1674.06	633.73	142.01	182.55	356.05	669.92	1819.35	339.14	99.43	921.88	363.56	583.07	629.35	1242.34	204.07	791.35	117.6	139.07	595.34	325.29	162.14	305.55	201.25	130.6	281.09	497.0	684.02	511.0	320.8	656.11	361.04	105.15	171.45	148.09	214.27	503.95	842.36	397.93	281.09	2758.13	3443.31
MAFF	5329.3	2061.24	7485.11	444.72	529.06	318.57	808.0	607.87	3325.99	1369.04	836.53	1662.49	693.58	896.64	341.51	353.59	684.02	3589.58	4671.57	295.11	3349.13	2004.85	412.0	412.0	5112.16	2367.9	186.4	281.09	400.71	4481.23	2645.74	320.8	688.78	2520.38	202.66	902.89	438.59	693.58	1322.37	2451.44	271.48	163.28	1806.78	363.56	629.35	329.84	283.05	171.45	543.96	368.65	1447.15	647.07	629.35	1167.14	633.73	231.32	567.1	212.78	607.87	5441.3	1757.34	483.38	511.0	3443.31	5329.3
MAFK	6426.31	4903.87	3103.19	466.88	551.56	587.13	748.61	529.06	1909.85	981.29	688.78	981.29	878.17	1191.69	521.76	414.87	915.51	954.43	1044.52	423.61	1487.87	1127.35	435.55	669.92	2502.97	1250.98	406.31	466.88	361.04	1857.6	1340.84	518.15	629.35	1883.54	493.56	995.0	616.37	872.1	759.08	896.64	521.76	376.41	1216.75	591.22	567.1	587.13	532.74	540.19	543.96	718.08	1104.13	507.46	368.65	830.75	1030.12	447.82	679.29	271.48	497.0	2303.12	759.08	420.68	463.65	1304.15	2163.77
MAP3K8	2627.46	2075.59	2351.53	31.22	81.14	15.0	23.25	34.75	155.5	177.53	78.34	65.26	108.9	108.14	17.25	37.05	115.16	368.65	73.03	16.27	256.78	77.25	40.36	27.05	339.14	191.67	24.11	18.43	100.13	392.44	277.2	37.59	41.81	325.29	32.82	309.83	41.81	80.01	68.55	212.78	16.88	22.59	198.47	38.12	22.26	37.85	39.5	32.59	38.95	35.0	79.45	62.12	45.53	78.34	60.82	20.56	72.01	17.13	20.86	435.55	73.03	50.98	41.81	567.1	1167.14
MAT2A	10014.87	7485.11	9215.48	2240.11	2384.37	2303.12	2997.45	3589.58	7180.15	5479.15	3982.99	2816.11	4802.93	3018.3	1936.53	2627.46	3146.52	6294.04	2796.65	2555.58	5076.84	5292.48	2133.97	2224.63	8022.41	3768.09	3124.78	3716.2	2018.8	4639.29	4450.27	2627.46	3901.01	7032.37	2758.13	4903.87	3820.7	2739.08	3768.09	3820.7	2351.53	2434.5	6745.86	3665.02	2240.11	1991.0	3081.75	2209.26	2004.85	2758.13	2997.45	2875.3	2520.38	3103.19	3690.52	2047.0	3325.99	2935.74	3081.75	7331.05	2935.74	3395.89	3768.09	8421.31	6652.97
