	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
CEP170	84.63	239.52	460.44	93.35	82.87	102.25	120.1	83.45	38.4	73.54	108.9	105.15	97.36	242.88	96.68	120.1	82.87	69.03	118.43	406.31	94.67	102.97	55.49	234.57	89.51	78.34	271.48	209.84	73.03	134.3	28.45	90.14	98.04	139.07	178.77	77.79	167.9	44.25	82.87	75.11	82.29	96.01	63.0	87.65	87.03	140.04	79.45	113.56	91.41	182.55	127.0	131.51	148.09	100.83	115.97	78.34	56.68	66.18	59.13	358.54	76.17	102.97	75.11	70.01	136.19	60.82	60.82	115.16	99.43	172.65	57.49	66.65	142.01	75.64	74.58	150.17	72.52	105.15	52.45	197.09	156.59	69.52	108.9	111.99	82.87	164.42	212.78	156.59	127.0	348.71	105.89	239.52	95.34	55.1	587.13	497.0
CHIC1	97.36	82.29	167.9	46.5	58.3	55.89	62.12	38.67	20.41	40.93	47.84	34.75	59.13	127.0	76.71	87.03	59.97	42.41	63.45	137.14	76.17	43.32	41.81	143.01	47.84	50.63	141.02	113.56	61.25	64.34	21.47	54.72	49.21	87.65	98.04	35.5	74.58	36.53	42.41	46.5	49.21	39.22	34.26	52.82	56.68	70.51	43.94	88.26	36.27	82.87	52.08	62.12	77.25	50.98	85.82	52.08	32.13	44.57	61.68	167.9	38.4	42.71	47.17	43.94	91.41	40.93	47.17	41.22	56.68	102.25	45.21	36.79	80.01	45.21	49.21	61.68	37.59	45.21	41.81	102.97	105.15	52.08	72.01	62.56	48.52	94.67	92.7	88.88	76.71	113.56	33.78	111.21	53.19	31.67	191.67	206.94
CHRD	22.1	153.34	297.17	46.18	47.17	75.64	44.89	37.59	23.59	38.67	58.3	70.01	80.57	248.0	53.95	100.83	48.52	29.7	67.12	409.15	23.42	27.64	43.02	332.14	37.05	48.87	327.56	171.45	40.07	113.56	27.25	52.08	63.89	116.78	78.89	36.01	117.6	47.84	68.07	24.99	32.82	61.25	27.05	44.57	35.5	71.0	35.0	51.71	48.52	98.04	120.1	72.01	90.77	45.21	66.18	25.91	42.71	32.59	30.56	273.37	50.27	59.97	41.22	46.18	99.43	12.83	40.36	65.72	51.71	73.54	42.11	50.27	89.51	44.25	23.59	82.87	20.71	77.79	43.94	115.16	68.07	47.17	59.55	98.04	27.64	103.69	249.73	95.34	92.7	241.19	29.91	110.43	69.03	26.86	629.35	125.24
CHST10	16.27	102.97	334.46	19.25	14.24	73.54	29.27	11.55	12.0	13.83	25.72	29.7	38.67	153.34	30.12	49.56	23.59	15.22	49.91	108.9	10.47	18.7	20.86	102.97	13.72	29.7	104.42	121.79	22.43	66.18	3.89	12.55	41.52	76.17	78.34	8.78	100.13	9.93	33.06	16.88	8.85	24.99	8.58	18.03	31.9	45.53	9.93	55.89	11.04	99.43	27.05	41.22	37.59	16.27	43.94	8.38	11.04	14.89	5.41	110.43	21.16	40.64	11.04	13.62	104.42	10.71	21.47	18.97	27.25	46.5	12.36	12.83	73.54	10.96	11.73	56.68	8.0	17.9	7.63	69.52	53.19	8.45	44.89	49.91	30.78	72.01	116.78	49.21	66.65	89.51	17.25	108.9	10.08	7.51	305.55	212.78
COL12A1	84.04	928.3	4038.61	153.34	143.01	305.55	220.32	140.04	43.32	83.45	248.0	239.52	285.03	1111.82	343.89	500.46	234.57	73.03	269.6	1617.0	66.18	98.73	94.67	1199.98	163.28	185.11	1697.45	656.11	197.09	665.29	64.8	131.51	525.39	629.35	703.28	143.01	1059.11	92.7	201.25	100.83	60.39	279.14	80.57	218.79	170.25	473.41	78.89	483.38	103.69	934.76	307.69	218.79	285.03	164.42	444.72	162.14	77.25	90.77	66.18	1199.98	110.43	244.57	74.58	126.12	802.41	50.63	93.35	195.72	336.79	872.1	71.0	85.82	529.06	79.45	142.01	329.84	74.58	150.17	90.77	796.86	642.59	88.88	279.14	540.19	228.13	698.41	1008.9	341.51	429.54	1104.13	88.26	748.61	177.53	68.07	3081.75	2004.85
COL21A1	12.27	161.02	1322.37	7.0	69.52	27.64	43.02	9.34	6.62	8.13	32.36	22.92	48.18	211.31	48.18	102.97	27.05	4.86	30.34	166.73	20.41	24.99	26.67	164.42	34.51	32.13	185.11	159.9	30.56	31.0	4.17	14.03	27.25	87.03	100.13	10.0	32.13	10.0	40.64	8.38	8.06	58.71	4.7	18.56	17.9	60.39	13.72	93.35	13.83	103.69	62.12	29.06	33.54	24.99	59.55	5.68	9.34	10.55	9.13	162.14	27.84	48.52	11.3	17.38	65.26	11.64	10.24	17.51	35.0	69.03	8.25	17.64	40.64	13.22	37.85	55.1	13.62	18.03	6.01	92.7	68.55	18.16	60.39	56.68	41.52	82.87	72.01	135.24	113.56	87.65	7.69	105.15	10.47	4.94	329.84	1059.11
COL28A1	54.72	201.25	379.04	39.79	56.28	51.71	36.01	37.59	22.43	30.12	33.06	20.86	45.21	387.02	76.71	108.9	56.68	32.13	61.68	647.07	23.25	48.87	24.99	476.71	73.03	92.05	583.07	131.51	108.14	70.51	21.01	74.06	87.03	65.72	141.02	49.56	81.71	38.67	76.71	45.21	31.9	69.03	28.45	31.22	37.59	182.55	51.71	60.39	35.25	98.73	150.17	23.76	94.67	61.25	91.41	38.4	84.04	29.91	45.21	466.88	53.19	57.89	87.03	31.22	143.01	30.34	40.64	26.86	80.57	94.67	31.9	38.95	101.54	49.91	59.55	111.99	36.01	50.63	35.25	150.17	218.79	33.3	81.71	101.54	52.82	107.38	146.03	123.5	101.54	441.64	27.64	120.1	27.64	21.94	674.59	878.17
CPT1C	36.01	175.07	269.6	34.51	31.22	75.11	31.45	38.4	26.28	29.7	46.84	63.0	42.71	115.97	31.45	53.95	60.82	22.43	69.52	269.6	18.7	37.85	26.1	170.25	21.16	53.57	198.47	151.22	22.59	91.41	43.32	30.12	63.45	74.06	56.28	31.0	79.45	19.53	63.0	13.22	19.25	54.72	16.75	43.63	27.05	58.71	21.01	32.13	35.76	91.41	58.71	40.07	31.67	40.64	37.85	24.63	22.1	11.91	8.85	194.36	34.02	58.3	23.08	18.43	93.35	16.75	22.92	24.99	30.56	84.63	35.5	32.59	50.98	9.56	26.86	69.52	13.93	25.54	9.06	72.01	54.72	8.58	53.95	65.26	41.52	78.89	156.59	82.29	76.71	180.02	20.11	97.36	42.71	16.88	242.88	122.64
CTNNA3	1.14	31.22	532.74	4.06	3.38	10.55	4.78	3.03	0.52	0.88	14.67	3.11	4.54	35.25	12.27	7.94	7.82	0.91	7.94	23.93	0.95	3.92	2.66	49.56	5.54	7.82	49.21	21.63	2.58	7.11	0.57	3.89	4.86	13.83	9.48	1.22	26.28	4.62	5.11	1.81	1.81	2.29	1.46	4.9	2.53	8.19	0.95	7.94	1.27	23.93	3.29	7.69	18.84	4.66	6.57	1.89	1.51	0.87	4.24	37.05	2.92	5.63	0.88	1.87	18.84	1.69	1.71	4.86	8.51	7.17	2.23	1.55	10.16	0.87	1.28	9.63	0.0	6.52	0.54	11.38	12.45	2.27	6.78	4.9	8.78	23.76	36.27	11.38	8.58	29.27	1.51	28.04	5.63	0.59	124.37	166.73
CWF19L2	75.11	131.51	231.32	120.94	76.17	132.44	103.69	83.45	65.26	91.41	127.0	97.36	111.99	145.02	97.36	133.36	94.67	84.63	119.26	180.02	84.04	90.14	76.71	180.02	72.01	108.9	181.28	155.5	101.54	102.97	65.72	96.01	102.97	145.02	194.36	71.5	105.15	63.45	116.78	99.43	91.41	104.42	60.82	98.04	81.71	111.21	64.8	137.14	83.45	120.94	105.15	120.94	136.19	94.01	139.07	94.01	52.08	77.25	90.14	180.02	69.52	105.15	73.03	84.04	144.01	98.73	96.68	101.54	102.97	147.06	68.07	80.57	120.94	78.89	87.03	112.77	55.49	102.97	66.65	154.42	126.12	107.38	125.24	123.5	114.36	114.36	162.14	151.22	142.01	157.68	78.89	173.85	83.45	62.12	244.57	293.07
CYS1	7.51	301.33	674.59	41.52	49.56	75.64	48.87	40.36	31.9	22.1	126.12	83.45	53.57	603.67	79.45	97.36	106.63	19.25	97.36	348.71	33.06	21.78	30.12	283.05	36.01	77.79	271.48	165.57	38.67	93.35	18.56	31.67	91.41	212.78	120.1	22.75	223.41	25.72	57.08	25.35	27.44	52.45	13.93	36.27	54.33	87.65	23.59	75.64	27.25	211.31	43.02	64.8	85.82	32.36	71.0	33.78	37.05	37.85	31.22	525.39	34.02	44.89	17.0	41.52	224.97	25.91	43.63	49.91	80.57	108.9	37.32	29.27	169.07	23.08	14.78	98.04	29.7	19.53	20.11	127.89	111.99	25.72	80.57	72.52	175.07	248.0	571.05	67.59	136.19	190.34	24.63	265.87	35.76	21.94	723.08	403.5
DDR2	35.25	802.41	2627.46	162.14	127.0	318.57	248.0	78.89	33.06	86.43	191.67	183.82	175.07	796.86	412.0	351.14	161.02	55.89	287.01	842.36	66.18	100.13	108.9	909.17	123.5	162.14	738.29	713.11	143.01	470.14	32.13	92.7	211.31	665.29	1159.07	73.54	698.41	65.72	255.0	42.41	84.04	134.3	66.65	176.29	84.04	457.25	54.33	368.65	88.88	559.28	273.37	134.3	297.17	121.79	307.69	94.67	53.95	74.58	32.36	902.89	102.25	275.28	58.71	91.41	543.96	53.57	73.54	172.65	244.57	884.29	85.82	53.19	463.65	66.65	79.45	325.29	63.89	178.77	47.17	511.0	743.43	60.39	239.52	323.03	141.02	493.56	688.78	267.73	555.41	688.78	53.57	860.08	105.15	35.25	1135.2	2271.4
DFNA5	20.86	127.89	336.79	33.3	24.63	74.58	59.97	19.25	13.42	35.0	39.5	61.25	51.35	232.94	46.5	74.06	38.67	8.19	72.52	163.28	6.62	23.42	36.27	165.57	21.94	52.45	190.34	120.94	24.46	42.41	38.95	47.17	52.82	122.64	75.64	36.27	102.97	8.99	43.32	11.38	13.32	28.24	15.56	15.34	24.46	77.79	22.26	85.22	34.26	149.12	58.3	31.67	59.13	34.51	114.36	13.72	16.39	18.97	19.97	187.71	26.86	39.5	39.22	23.42	98.73	5.5	25.91	17.38	47.84	125.24	19.39	13.52	59.13	19.53	21.63	65.26	18.03	39.5	13.52	94.01	112.77	20.56	40.36	55.89	33.78	88.88	242.88	48.18	77.25	149.12	33.54	165.57	34.26	6.67	389.72	217.27
DMD	28.45	679.29	2935.74	80.57	90.77	202.66	151.22	48.87	34.26	50.27	161.02	102.97	172.65	738.29	239.52	256.78	118.43	54.72	190.34	624.99	61.25	52.08	66.65	647.07	108.9	141.02	607.87	341.51	109.66	260.38	29.7	84.63	221.86	358.54	555.41	43.63	473.41	51.35	170.25	59.13	50.98	118.43	57.49	95.34	98.04	336.79	45.53	343.89	65.72	450.94	198.47	105.89	220.32	89.51	301.33	68.55	45.53	48.18	59.13	669.92	85.82	183.82	47.5	109.66	343.89	57.08	57.89	119.26	212.78	536.45	64.34	53.19	334.46	45.21	95.34	212.78	34.75	62.56	61.68	400.71	543.96	48.52	239.52	214.27	147.06	323.03	409.15	269.6	507.46	500.46	50.98	583.07	58.71	31.22	1104.13	2434.5
DNM1	50.98	206.94	289.02	87.03	102.97	239.52	66.65	215.77	49.21	63.0	150.17	205.5	61.25	351.14	62.56	122.64	36.01	37.59	133.36	447.82	36.01	102.97	55.89	81.71	75.64	129.69	351.14	279.14	61.68	128.79	38.4	127.0	116.78	151.22	108.9	76.17	226.54	29.27	279.14	138.1	63.89	59.13	46.84	109.66	88.88	248.0	71.0	124.37	100.83	199.85	303.44	116.78	163.28	85.82	264.03	61.25	40.93	37.05	27.25	473.41	62.12	137.14	55.89	68.07	211.31	39.5	82.29	64.8	58.71	149.12	40.36	46.18	113.56	53.19	43.63	248.0	55.89	121.79	52.45	166.73	171.45	56.28	88.26	146.03	42.11	144.01	218.79	182.55	123.5	389.72	42.41	262.2	102.25	41.81	854.13	265.87
DOCK7	172.65	264.03	267.73	163.28	176.29	183.82	193.01	164.42	133.36	187.71	162.14	197.09	195.72	265.87	194.36	204.07	173.85	124.37	172.65	327.56	258.57	158.79	157.68	312.0	208.38	180.02	299.25	267.73	175.07	190.34	100.13	178.77	181.28	197.09	287.01	143.01	206.94	155.5	176.29	191.67	172.65	153.34	172.65	204.07	191.67	232.94	148.09	211.31	172.65	262.2	206.94	191.67	217.27	182.55	253.23	195.72	115.16	162.14	183.82	309.83	175.07	154.42	143.01	191.67	242.88	166.73	162.14	163.28	195.72	211.31	165.57	157.68	202.66	164.42	166.73	212.78	161.02	167.9	173.85	246.28	220.32	182.55	195.72	181.28	201.25	234.57	309.83	246.28	232.94	305.55	135.24	277.2	159.9	132.44	361.04	358.54
DTNA	18.16	603.67	1651.0	92.7	85.22	89.51	182.55	36.27	21.78	89.51	116.78	85.22	100.83	679.29	190.34	201.25	198.47	38.95	115.97	412.0	29.91	77.25	63.89	591.22	95.34	73.03	878.17	327.56	35.5	353.59	21.78	44.25	172.65	480.04	271.48	55.1	647.07	74.06	138.1	44.89	32.82	87.03	61.68	72.52	54.33	187.71	49.56	295.11	57.89	441.64	130.6	82.87	212.78	43.94	161.02	91.41	39.79	84.04	43.63	633.73	51.35	119.26	46.18	66.65	379.04	26.1	36.01	97.36	218.79	406.31	68.55	55.1	147.06	45.21	46.18	72.52	27.64	59.13	18.7	206.94	441.64	63.45	119.26	208.38	119.26	198.47	642.59	162.14	403.5	642.59	30.56	493.56	84.04	50.27	1769.57	1467.37
DZIP1	28.45	262.2	848.22	60.39	43.63	87.03	71.5	37.05	32.36	43.32	78.89	69.52	88.88	244.57	87.65	84.63	73.03	24.28	103.69	289.02	18.03	42.11	38.4	320.8	49.91	84.63	450.94	181.28	62.56	123.5	21.01	33.54	76.71	172.65	187.71	31.67	130.6	17.38	84.63	25.35	31.67	69.03	22.59	45.53	37.05	128.79	31.0	103.69	37.32	223.41	84.04	70.51	125.24	37.59	75.64	29.7	25.91	35.25	24.63	323.03	34.75	54.33	29.7	39.22	126.12	20.26	33.3	58.71	64.34	211.31	35.0	26.1	117.6	16.75	31.22	100.83	18.16	27.25	23.08	136.19	145.02	21.94	82.29	82.29	62.56	135.24	212.78	88.26	125.24	269.6	42.71	183.82	36.79	22.92	500.46	575.03
ECM2	7.28	115.97	229.72	24.28	19.82	100.13	47.84	23.59	16.39	19.97	61.25	42.11	32.36	384.34	33.06	30.78	30.78	12.93	62.12	532.74	21.16	46.84	8.71	198.47	16.03	38.67	312.0	120.1	29.48	31.0	20.11	32.36	37.05	127.89	67.59	27.84	70.01	20.86	45.85	16.15	25.91	26.86	20.71	30.12	36.53	52.82	7.57	43.02	21.01	102.25	30.78	35.0	57.89	43.94	61.25	38.12	16.51	16.75	20.86	529.06	29.91	36.27	14.78	14.45	156.59	10.55	24.46	37.85	36.79	83.45	6.06	11.38	78.89	22.75	8.25	120.1	18.84	46.84	10.08	99.43	116.78	12.83	35.76	37.32	81.14	108.9	143.01	83.45	58.71	217.27	19.11	72.52	28.45	14.14	329.84	457.25
EFS	15.11	334.46	674.59	55.1	65.26	94.01	62.12	37.32	28.45	36.53	87.03	113.56	91.41	406.31	80.01	126.12	59.55	19.25	115.16	444.72	30.12	52.45	61.25	336.79	58.3	98.73	423.61	202.66	52.82	187.71	17.9	37.59	98.04	202.66	171.45	29.48	132.44	31.9	116.78	40.64	42.71	80.01	31.45	42.11	43.63	128.79	27.44	82.87	41.81	202.66	117.6	68.07	126.12	48.87	90.14	21.47	29.48	29.06	22.59	441.64	45.21	66.18	23.25	48.18	142.01	22.75	40.64	58.71	57.49	126.12	38.95	38.12	135.24	39.5	30.12	131.51	29.91	51.35	38.4	137.14	129.69	25.91	96.68	131.51	69.03	182.55	236.21	152.28	155.5	287.01	27.84	234.57	49.91	21.63	1081.39	420.68
ELOVL2	0.74	6.89	20.11	1.27	0.87	1.3	2.43	0.0	0.01	0.04	1.48	0.28	1.07	4.24	3.06	2.81	0.54	0.0	1.01	15.34	1.17	0.08	1.04	8.51	0.31	2.36	7.34	3.14	3.53	2.03	0.0	0.85	3.29	2.84	7.82	0.04	3.14	0.03	2.97	0.3	1.06	2.39	0.27	2.2	0.52	3.06	0.35	2.25	0.06	8.65	1.41	0.04	1.93	1.03	3.99	0.6	0.3	0.03	0.34	18.03	0.55	2.1	0.29	1.1	3.41	0.08	0.51	0.28	0.04	7.34	0.02	0.32	1.08	0.04	1.14	1.31	0.29	0.04	0.02	5.15	3.82	0.35	4.9	2.23	1.16	2.63	10.0	3.79	4.31	2.2	0.8	10.39	0.05	0.06	21.16	17.25
ENOX1	10.24	161.02	1051.79	10.08	16.15	39.79	28.04	5.73	5.23	4.03	33.06	20.26	31.45	162.14	47.84	54.33	27.64	4.21	38.4	79.45	7.46	7.06	16.51	157.68	11.55	32.36	131.51	62.12	23.93	82.87	3.2	5.77	44.25	67.12	84.04	4.13	75.64	2.18	32.36	5.28	9.13	24.63	3.69	16.88	14.24	50.98	4.39	56.28	9.78	87.65	29.91	24.28	49.56	9.13	44.57	4.54	3.56	5.36	3.82	103.69	10.08	28.86	3.76	20.26	80.01	5.96	6.11	19.39	35.5	60.82	10.24	4.17	36.79	3.47	11.91	45.85	3.79	7.63	5.23	71.5	68.55	3.0	43.94	39.5	31.0	68.07	94.01	32.82	80.01	76.71	9.56	108.9	7.57	2.43	177.53	480.04
EVC	10.96	113.56	486.75	35.0	25.72	62.56	42.41	15.45	6.31	16.15	42.71	40.93	41.81	201.25	45.53	78.89	29.91	10.08	47.5	175.07	20.86	17.13	16.63	155.5	26.47	35.5	198.47	87.65	26.86	83.45	5.87	19.25	43.63	120.94	161.02	13.12	111.99	8.51	50.27	17.77	16.88	28.45	12.93	19.39	17.64	78.34	15.68	56.68	15.56	141.02	49.21	55.89	73.03	15.68	73.54	13.83	18.16	11.82	8.71	147.06	19.68	40.64	9.85	21.63	115.97	11.82	25.72	34.02	50.63	133.36	18.03	13.62	76.71	11.04	21.32	74.58	12.27	19.82	10.55	90.77	116.78	12.64	52.45	64.34	29.91	129.69	167.9	79.45	119.26	162.14	11.64	135.24	20.86	5.15	389.72	316.37
FAM198B	66.18	323.03	571.05	161.02	105.15	139.07	193.01	129.69	93.35	150.17	187.71	132.44	100.83	571.05	156.59	202.66	141.02	69.52	182.55	2104.58	208.38	193.01	125.24	780.44	107.38	211.31	543.96	253.23	142.01	239.52	46.84	176.29	172.65	341.51	244.57	100.13	389.72	72.52	142.01	111.21	130.6	109.66	60.82	171.45	154.42	204.07	42.11	157.68	147.06	279.14	165.57	157.68	314.17	126.12	224.97	140.04	69.52	97.36	128.79	1350.18	75.64	139.07	53.19	97.36	285.03	85.82	102.97	100.83	228.13	287.01	122.64	65.26	152.28	67.59	76.17	141.02	102.25	92.7	105.15	273.37	336.79	76.71	161.02	155.5	256.78	289.02	753.83	239.52	285.03	902.89	115.16	547.75	100.83	37.05	612.11	733.19
FAM26E	3.38	24.46	81.14	8.19	9.06	16.75	9.78	6.21	2.76	6.67	12.83	7.51	9.2	32.36	21.78	17.9	8.78	3.03	11.73	81.14	7.22	8.32	6.11	27.44	5.73	15.22	71.0	17.64	6.46	18.43	2.84	8.32	10.16	21.47	18.7	4.66	52.08	4.86	9.93	8.45	4.54	7.51	6.16	10.47	10.08	16.15	2.12	7.88	5.73	43.02	10.88	7.17	14.56	8.78	9.85	6.62	3.17	6.78	3.2	62.12	6.94	7.34	4.98	4.74	33.06	1.97	5.23	7.0	14.24	20.11	5.36	3.32	16.75	3.59	3.5	8.0	5.28	7.11	3.96	23.42	21.32	3.56	8.65	10.24	18.43	24.28	75.11	12.55	15.11	73.54	6.78	36.01	8.51	1.58	59.13	50.63
FARP1	301.33	1225.22	2193.99	698.41	483.38	780.44	503.95	438.59	363.56	291.04	759.08	441.64	571.05	1745.2	656.11	684.02	532.74	426.57	733.19	1950.0	339.14	575.03	379.04	1259.69	389.72	599.49	1151.06	723.08	414.87	693.58	281.09	341.51	921.88	909.17	830.75	384.34	1662.49	450.94	497.0	403.5	218.79	323.03	384.34	441.64	438.59	616.37	232.94	536.45	500.46	1233.75	728.11	376.41	764.36	466.88	420.68	406.31	329.84	334.46	318.57	1561.89	551.56	543.96	224.97	426.57	1073.91	420.68	358.54	441.64	575.03	733.19	376.41	450.94	435.55	361.04	307.69	476.71	450.94	332.14	417.77	748.61	780.44	470.14	587.13	497.0	532.74	674.59	1844.76	555.41	825.0	2032.85	460.44	1286.18	480.04	287.01	1388.16	1709.26
FBXL7	17.64	256.78	866.07	53.57	38.4	73.54	66.65	41.52	24.11	42.41	72.52	59.97	84.63	229.72	97.36	133.36	69.03	35.5	66.18	262.2	26.28	41.81	36.79	224.97	52.82	49.21	293.07	178.77	53.57	115.97	15.91	38.4	45.53	175.07	236.21	34.02	137.14	24.81	81.71	35.76	25.35	73.54	26.67	57.08	39.79	121.79	20.86	170.25	38.95	183.82	91.41	48.87	125.24	47.17	100.13	40.93	29.7	30.56	23.93	232.94	45.85	72.52	28.04	40.36	122.64	22.59	36.79	48.52	76.71	228.13	40.36	25.17	93.35	34.02	38.4	75.64	26.86	53.19	37.59	134.3	167.9	29.91	98.04	105.89	43.94	100.13	132.44	110.43	176.29	191.67	31.67	205.5	41.81	17.13	368.65	395.18
FGF2	35.5	170.25	555.41	16.03	21.01	47.84	43.63	9.93	6.73	11.82	32.36	27.25	51.35	132.44	63.45	61.25	43.94	9.41	41.52	159.9	15.34	15.68	14.89	205.5	25.72	30.34	166.73	172.65	24.99	72.52	8.13	13.12	46.5	85.82	106.63	16.39	100.83	8.99	34.02	11.13	10.0	37.59	9.34	23.42	16.15	47.17	8.38	87.03	18.56	90.77	50.63	29.48	55.89	23.93	65.26	16.63	8.51	12.74	9.2	167.9	14.56	43.63	9.41	19.39	77.79	10.88	11.21	27.84	49.21	111.21	15.22	10.24	58.71	10.47	19.82	43.94	6.62	19.82	8.65	86.43	107.38	12.09	55.49	53.95	30.12	96.68	112.77	70.01	106.63	135.24	9.34	119.26	15.45	6.41	260.38	607.87
FGFR1OP2	373.81	607.87	599.49	460.44	299.25	607.87	441.64	332.14	318.57	429.54	438.59	361.04	426.57	674.59	384.34	414.87	395.18	295.11	490.14	738.29	476.71	327.56	348.71	679.29	316.37	376.41	723.08	698.41	432.53	503.95	323.03	423.61	400.71	587.13	638.15	368.65	514.56	301.33	351.14	441.64	389.72	389.72	358.54	473.41	414.87	457.25	379.04	587.13	435.55	518.15	414.87	400.71	563.18	389.72	483.38	353.59	327.56	285.03	293.07	830.75	444.72	403.5	353.59	420.68	612.11	358.54	346.29	387.02	397.93	547.75	332.14	289.02	525.39	339.14	379.04	480.04	273.37	447.82	291.04	620.67	470.14	358.54	373.81	514.56	351.14	507.46	679.29	748.61	514.56	775.05	438.59	713.11	447.82	316.37	988.12	860.08
GLI3	10.31	164.42	723.08	19.53	28.04	57.08	45.21	14.03	5.15	10.08	43.02	29.48	38.12	156.59	69.03	92.7	24.11	9.93	46.5	126.12	11.04	16.03	24.28	128.79	28.04	33.54	113.56	94.01	28.24	90.14	4.17	18.16	55.49	95.34	183.82	12.55	92.05	8.32	40.07	8.06	8.92	32.82	11.91	20.86	17.0	63.0	7.46	67.59	13.32	145.02	43.94	33.54	52.82	17.64	81.71	13.83	11.91	14.45	4.86	136.19	12.93	38.4	9.63	23.59	87.03	4.35	10.63	24.81	40.64	126.12	18.7	8.99	61.68	10.63	19.68	63.45	8.78	15.0	11.55	74.06	105.89	10.39	49.56	53.57	25.17	91.41	98.04	54.33	110.43	101.54	8.85	172.65	13.62	6.06	127.0	470.14
