	TCGA.E9.A228.01A.31R.A157.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RV.01A.12R.A28M.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.BH.A0C7.01B.11R.A115.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07
SPIDR	909.17	1242.34	1151.06	1167.14	1487.87	1073.91	1340.84	1697.45	1467.37	1551.09	521.76	518.15	872.1	435.55	397.93	463.65	1015.93	450.94	387.02	595.34	842.36	429.54	514.56	703.28	507.46	511.0	872.1	567.1	928.3	525.39	423.61	579.04	480.04	884.29	339.14	830.75	1066.48	698.41	441.64	314.17	293.07	389.72	432.53	679.29	563.18	802.41	660.68	728.11
SQLE	1832.01	2047.0	4575.41	1605.83	1081.39	595.34	1001.93	1662.49	1096.5	1508.65	173.85	116.78	480.04	63.0	74.58	142.01	356.05	90.77	65.72	214.27	323.03	87.03	111.21	164.42	108.9	71.0	480.04	107.38	307.69	96.68	69.52	60.39	124.37	246.28	103.69	320.8	255.0	460.44	180.02	140.04	113.56	75.64	195.72	204.07	154.42	115.97	236.21	0.0
SYNE4	403.5	420.68	612.11	595.34	316.37	708.18	599.49	293.07	366.09	244.57	0.68	43.02	186.4	3.82	8.85	13.03	253.23	2.29	2.68	164.42	212.78	3.89	29.27	113.56	4.66	3.14	186.4	40.07	217.27	4.58	5.92	8.71	107.38	88.88	11.64	23.42	71.0	214.27	24.99	17.0	18.03	8.99	24.63	111.21	116.78	35.25	14.45	0.0
SYT7	638.15	1745.2	878.17	1304.15	599.49	1037.29	567.1	738.29	825.0	866.07	85.82	140.04	332.14	68.55	78.34	91.41	454.09	71.0	63.45	579.04	450.94	64.8	148.09	255.0	91.41	103.69	332.14	124.37	327.56	73.54	81.71	56.28	92.7	303.44	60.39	132.44	409.15	759.08	84.63	36.79	77.79	67.59	140.04	154.42	198.47	126.12	166.73	0.0
TICRR	85.22	80.01	64.8	77.79	95.34	29.7	29.06	38.67	69.52	53.19	7.34	9.34	15.56	3.53	6.41	6.41	16.15	5.92	2.63	12.0	14.03	5.96	6.46	10.63	9.63	6.89	15.56	6.62	20.11	8.13	6.46	5.23	5.02	6.67	0.96	13.42	48.87	24.46	7.88	13.12	1.91	3.5	5.02	66.65	15.34	31.22	8.0	0.0
YIPF1	1277.29	1529.73	1457.23	854.13	3372.43	1104.13	1639.59	1119.56	808.0	1417.35	753.83	638.15	769.69	595.34	567.1	775.05	884.29	713.11	607.87	1191.69	813.63	624.99	651.58	785.88	567.1	660.68	769.69	633.73	909.17	563.18	638.15	507.46	723.08	764.36	575.03	674.59	373.81	1127.35	633.73	1037.29	486.75	660.68	842.36	764.36	599.49	599.49	555.41	0.0
ZNF165	150.17	65.72	110.43	53.19	57.49	65.72	79.45	148.09	122.64	166.73	9.93	29.06	70.51	5.02	16.63	11.38	67.12	7.46	10.08	51.71	68.07	15.45	19.25	108.9	10.71	14.56	70.51	26.67	88.88	14.14	10.24	10.71	30.12	37.32	22.26	22.92	43.94	71.5	17.9	11.55	11.38	8.71	26.67	34.75	44.25	19.97	11.3	0.0
ZNF296	71.0	75.64	103.69	64.8	66.65	190.34	115.16	40.64	45.85	82.87	6.46	5.32	22.43	5.63	1.85	4.21	47.17	5.77	0.89	14.89	37.85	5.41	13.83	24.11	9.85	5.5	22.43	5.11	20.26	3.59	7.17	5.5	18.84	12.0	10.0	6.01	11.38	31.0	5.02	6.11	7.28	2.41	12.0	14.89	13.12	5.77	27.84	0.0
ZNF703	10808.41	4671.57	1583.71	8538.88	1233.75	2287.2	1572.76	3955.48	2956.17	2240.11	366.09	384.34	2119.22	518.15	264.03	371.22	723.08	269.6	363.56	435.55	669.92	206.94	329.84	480.04	295.11	336.79	2119.22	607.87	575.03	329.84	379.04	361.04	785.88	376.41	202.66	255.0	417.77	723.08	934.76	36.27	96.68	226.54	1151.06	307.69	246.28	791.35	902.89	100.83
ZNF765	195.72	185.11	189.02	193.01	248.0	123.5	197.09	97.36	125.24	149.12	88.26	87.65	151.22	72.01	72.01	96.01	138.1	121.79	72.01	106.63	183.82	87.03	75.11	113.56	114.36	87.65	151.22	113.56	159.9	90.77	63.0	67.59	102.97	84.04	115.97	126.12	189.02	143.01	88.26	148.09	129.69	67.59	96.68	189.02	108.14	157.68	116.78	0.0
