	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.11P7K.1826.SM.5HL5A	GTEX.ZDTS.2726.SM.5L3E2	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13VXT.1826.SM.5KM2F	GTEX.13OVL.2726.SM.5J2MP	GTEX.12WSL.1226.SM.5DUXE	GTEX.Y111.1726.SM.4SOIQ	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZAB4.1226.SM.5CVN5	GTEX.ZPU1.1326.SM.57WE1	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.ZPCL.1226.SM.4WWFF	GTEX.U3ZN.1826.SM.4DXUY	GTEX.OHPM.0726.SM.3LK7A	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.T2IS.0926.SM.4DM5B	GTEX.ZE7O.0826.SM.57WCP	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
RP11-268J15.5	8.85	9.78	10.88	8.0	24.81	25.54	28.86	7.51	7.57	23.25	69.03	63.89	71.0	57.49	37.05	157.68	47.84	63.89	42.11	134.3	11.73	133.36	49.21	71.5	84.63	85.22	157.68	134.3	103.69	34.02	140.04	14.78	120.94	33.78	94.01	63.0	154.42	80.01	10.79	42.41	16.51	21.16	111.21	117.6	19.53	12.45	12.45	36.27	62.12	36.27	15.11	17.51	26.47	7.0	9.2	7.57	3.69	8.38	6.01
SAPCD1	27.64	7.17	8.78	24.28	45.21	33.78	21.63	19.68	23.93	20.11	107.38	78.89	87.65	38.67	86.43	281.09	57.08	221.86	121.79	316.37	24.81	400.71	47.84	208.38	223.41	251.48	351.14	251.48	147.06	38.67	202.66	24.63	129.69	44.57	163.28	94.67	248.0	166.73	23.76	70.51	10.47	38.4	202.66	217.27	31.0	10.55	38.4	74.58	105.15	101.54	19.53	26.86	92.05	8.71	6.57	1.45	7.75	0.91	7.94
SLC25A14	183.82	171.45	228.13	152.28	258.57	215.77	262.2	151.22	199.85	153.34	334.46	241.19	239.52	194.36	305.55	341.51	316.37	336.79	309.83	395.18	217.27	389.72	277.2	228.13	262.2	312.0	389.72	432.53	267.73	166.73	348.71	234.57	441.64	237.86	285.03	223.41	417.77	265.87	151.22	291.04	209.84	171.45	368.65	743.43	205.5	183.82	209.84	256.78	262.2	220.32	318.57	217.27	251.48	159.9	165.57	147.06	103.69	121.79	156.59
SLC25A45	77.79	55.49	74.58	84.04	182.55	96.68	88.88	30.12	91.41	42.11	62.56	139.07	166.73	206.94	136.19	435.55	143.01	202.66	106.63	236.21	53.19	193.01	186.4	125.24	215.77	373.81	262.2	327.56	244.57	115.97	241.19	72.01	212.78	84.63	180.02	400.71	305.55	215.77	49.91	140.04	95.34	147.06	199.85	400.71	137.14	53.19	76.71	101.54	231.32	154.42	121.79	156.59	197.09	80.01	59.55	81.14	84.63	84.63	134.3
SPG7	698.41	743.43	836.53	723.08	1183.45	1183.45	1397.83	915.51	620.67	808.0	1143.1	1023.0	1313.23	909.17	1519.15	2400.97	1135.2	3794.3	1447.15	2627.46	1073.91	3146.52	1322.37	2591.27	2075.59	2701.35	2976.74	2976.74	2240.11	1051.79	2502.97	854.13	2224.63	1096.5	2163.77	1583.71	3395.89	2178.83	967.76	1111.82	688.78	1268.46	2417.67	2255.7	909.17	759.08	825.0	1073.91	1477.58	1250.98	995.0	836.53	813.63	417.77	497.0	400.71	409.15	642.59	884.29
STON2	41.22	28.24	47.84	28.24	67.12	59.13	38.12	8.0	39.79	18.97	208.38	256.78	51.71	38.95	53.57	158.79	72.01	63.45	25.35	57.08	10.31	100.83	51.71	47.17	70.01	118.43	87.65	108.14	55.89	50.63	60.39	53.19	62.12	30.12	117.6	51.71	108.14	59.13	16.75	63.89	17.9	22.1	64.34	134.3	39.79	18.7	22.59	63.0	24.11	40.64	27.25	22.75	32.82	34.51	11.82	14.24	63.45	45.21	34.51
TARBP1	152.28	110.43	145.02	127.89	371.22	241.19	224.97	98.04	171.45	229.72	202.66	409.15	277.2	124.37	417.77	854.13	514.56	669.92	353.59	1023.0	92.7	1268.46	289.02	674.59	825.0	1225.22	1340.84	1066.48	921.88	329.84	836.53	171.45	902.89	223.41	525.39	529.06	1208.34	896.64	166.73	389.72	120.94	195.72	854.13	698.41	277.2	116.78	301.33	444.72	400.71	612.11	242.88	387.02	231.32	93.35	131.51	73.03	84.04	95.34	241.19
TIGD1	46.84	17.77	51.35	56.28	40.07	47.17	50.98	11.38	28.24	22.1	59.13	67.59	36.53	28.24	45.53	73.54	77.25	86.43	55.89	64.8	15.91	131.51	53.95	49.91	69.03	102.25	73.03	77.25	84.04	63.45	114.36	37.59	49.91	46.18	43.63	83.45	84.04	105.89	26.86	47.84	19.11	38.95	110.43	161.02	38.67	29.27	26.86	53.57	106.63	80.01	42.41	59.55	19.97	19.68	7.34	14.24	12.64	19.82	18.84
TMEM260	124.37	97.36	117.6	128.79	172.65	175.07	116.78	87.65	171.45	81.71	120.1	251.48	165.57	111.21	159.9	320.8	206.94	167.9	127.89	236.21	116.78	248.0	137.14	107.38	167.9	277.2	248.0	249.73	224.97	129.69	297.17	143.01	229.72	162.14	175.07	144.01	253.23	204.07	104.42	156.59	126.12	140.04	214.27	301.33	167.9	183.82	156.59	195.72	159.9	163.28	87.65	115.16	106.63	153.34	69.03	95.34	111.99	159.9	140.04
TNFRSF14	435.55	571.05	616.37	366.09	1781.89	2047.0	1135.2	718.08	902.89	954.43	1167.14	1216.75	1572.76	1051.79	1832.01	7230.1	1721.16	4704.07	1662.49	4836.35	1066.48	6652.97	1950.0	3349.13	4450.27	4543.8	4869.99	5147.73	4388.98	1059.11	4328.55	708.18	4038.61	995.0	2502.97	2835.7	6745.86	3768.09	543.96	1427.22	503.95	1359.57	3874.05	5041.77	1417.35	693.58	1143.1	1519.15	1583.71	974.5	1111.82	753.83	1104.13	536.45	371.22	514.56	450.94	1088.92	808.0
TRIM27	417.77	389.72	460.44	460.44	656.11	543.96	511.0	457.25	397.93	447.82	759.08	486.75	591.22	381.68	624.99	915.51	647.07	961.07	599.49	718.08	507.46	1104.13	684.02	703.28	764.36	1044.52	1066.48	961.07	941.27	511.0	808.0	540.19	902.89	521.76	1015.93	579.04	1037.29	703.28	486.75	595.34	463.65	575.03	884.29	1001.93	638.15	624.99	540.19	583.07	713.11	521.76	476.71	346.29	371.22	417.77	400.71	320.8	403.5	429.54	432.53
UBA7	454.09	438.59	249.73	339.14	1127.35	842.36	830.75	457.25	791.35	525.39	743.43	842.36	1322.37	713.11	1225.22	5183.54	1844.76	4543.8	1199.98	3103.19	620.67	4512.4	1561.89	2796.65	3235.01	5076.84	4481.23	3124.78	3124.78	813.63	2485.67	665.29	3874.05	1059.11	2627.46	2520.38	5479.15	2555.58	441.64	1417.35	511.0	775.05	3639.7	6121.9	1175.27	379.04	366.09	928.3	1286.18	748.61	928.3	713.11	718.08	409.15	287.01	208.38	476.71	316.37	713.11
UTP6	842.36	819.3	941.27	775.05	836.53	995.0	738.29	825.0	785.88	967.76	1259.69	1313.23	941.27	890.44	1015.93	1551.09	813.63	995.0	1183.45	1427.22	780.44	1909.85	775.05	1135.2	1151.06	1304.15	1529.73	1487.87	1331.57	830.75	1447.15	928.3	1487.87	848.22	1001.93	718.08	1081.39	1167.14	759.08	647.07	780.44	813.63	1208.34	1268.46	599.49	878.17	688.78	1023.0	1037.29	1001.93	616.37	642.59	921.88	713.11	728.11	575.03	473.41	518.15	620.67
ZNF385C	7.51	9.7	9.13	13.22	21.94	17.38	15.68	2.81	23.93	5.23	11.3	21.63	15.8	13.03	20.56	56.68	35.0	15.34	27.64	83.45	9.78	62.12	9.63	32.13	65.26	44.89	72.01	75.64	36.53	22.59	39.5	7.75	61.25	13.22	18.56	36.01	52.08	64.8	8.65	14.89	7.82	8.85	100.13	159.9	52.08	26.67	44.89	30.56	27.05	8.92	27.25	20.71	16.15	8.13	9.85	1.57	5.96	2.34	2.94
ZNF44	137.14	137.14	198.47	199.85	197.09	167.9	211.31	111.21	167.9	88.26	150.17	183.82	217.27	165.57	237.86	323.03	271.48	236.21	224.97	291.04	118.43	708.18	161.02	182.55	221.86	356.05	381.68	438.59	318.57	189.02	406.31	134.3	211.31	217.27	381.68	204.07	316.37	417.77	117.6	185.11	98.04	206.94	348.71	351.14	208.38	178.77	106.63	269.6	267.73	237.86	151.22	195.72	149.12	120.1	47.84	46.5	99.43	109.66	127.89
ZNF789	157.68	64.34	98.73	109.66	236.21	208.38	271.48	108.9	211.31	181.28	507.46	218.79	215.77	122.64	218.79	543.96	351.14	518.15	329.84	511.0	139.07	703.28	169.07	361.04	358.54	406.31	684.02	607.87	332.14	155.5	438.59	154.42	423.61	163.28	447.82	348.71	540.19	417.77	142.01	281.09	67.59	164.42	480.04	351.14	199.85	176.29	208.38	271.48	389.72	332.14	157.68	205.5	170.25	58.71	44.57	49.21	58.3	61.68	118.43
