	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
CPED1	41.22	33.54	53.95	57.89	40.07	166.73	23.25	23.42	29.48	15.45	143.01	74.58	0.0	128.79	81.71	178.77	193.01	329.84	269.6	447.82	316.37	224.97	547.75	395.18	320.8	1051.79	866.07	738.29	1159.07	988.12	226.54	651.58	890.44	684.02	277.2	220.32	336.79	1733.13	854.13	693.58	575.03	872.1	813.63	521.76	540.19	738.29	540.19	1051.79	120.1	848.22	1733.13	536.45	656.11	1059.11	599.49	954.43	177.53	22.92	283.05	599.49	476.71	318.57	37.05	52.08	32.13	8.58	33.78
CTNNAL1	974.5	78.89	518.15	1037.29	703.28	234.57	559.28	660.68	555.41	679.29	866.07	559.28	1721.16	660.68	934.76	872.1	780.44	679.29	2520.38	3212.66	896.64	2417.67	3589.58	2032.85	1769.57	3515.68	4038.61	3955.48	3303.0	4181.07	1733.13	2163.77	3491.39	1427.22	2796.65	1111.82	1259.69	7180.15	2796.65	1794.29	3690.52	2303.12	3901.01	1111.82	3928.15	1769.57	2255.7	2224.63	1594.73	3395.89	3235.01	2739.08	2701.35	4972.34	2163.77	1844.76	1605.83	583.07	1519.15	2682.69	3146.52	2193.99	981.29	723.08	713.11	713.11	896.64
CTSO	148.09	231.32	285.03	187.71	215.77	289.02	91.41	100.83	33.78	120.1	186.4	435.55	0.0	555.41	500.46	543.96	688.78	708.18	995.0	1119.56	902.89	1001.93	1023.0	1467.37	759.08	796.86	2816.11	3190.46	2627.46	3235.01	660.68	1519.15	2976.74	860.08	1175.27	1350.18	1104.13	4388.98	3349.13	1304.15	2032.85	1639.59	2255.7	1030.12	1216.75	1733.13	802.41	1208.34	813.63	3372.43	2351.53	728.11	1923.14	2255.7	1151.06	1487.87	967.76	305.55	884.29	1369.04	1225.22	1104.13	164.42	202.66	265.87	138.1	134.3
CXorf24	53.57	43.02	64.34	20.26	21.32	68.55	42.41	45.21	114.36	61.25	33.54	18.29	0.0	47.84	20.56	59.13	34.51	43.02	57.49	77.25	41.81	43.02	55.89	46.5	28.04	79.45	72.52	134.3	119.26	112.77	44.57	82.29	86.43	78.34	78.34	54.72	48.52	126.12	123.5	122.64	85.22	111.99	85.22	117.6	132.44	65.72	58.71	58.71	38.67	100.83	87.65	82.29	70.01	35.5	44.89	58.3	101.54	26.47	41.81	66.18	69.52	60.82	41.52	55.1	30.34	12.27	43.94
CYBRD1	307.69	525.39	511.0	708.18	395.18	281.09	269.6	269.6	60.39	53.19	267.73	764.36	0.0	1023.0	571.05	1721.16	1617.0	1508.65	2915.45	5555.65	4010.71	2193.99	3982.99	3303.0	4066.71	3982.99	4836.35	8022.41	23009.42	8658.09	1561.89	5041.77	6207.38	5831.91	3690.52	3491.39	1896.65	8305.36	6792.79	7230.1	9474.59	5831.91	7857.29	10883.59	5711.87	4802.93	1685.71	5791.62	1508.65	6294.04	5711.87	3280.18	4512.4	5872.48	3491.39	4512.4	2319.15	417.77	2287.2	5366.37	4903.87	4903.87	209.84	287.01	336.79	62.12	206.94
CYR61	1427.22	2555.58	1977.24	3955.48	3614.55	743.43	103.69	1709.26	444.72	417.77	2400.97	3742.05	0.0	2777.33	2417.67	1709.26	2835.7	3515.68	1551.09	1199.98	8247.98	13968.57	2178.83	11189.6	3901.01	11909.94	75803.72	38697.77	12076.21	34635.37	5672.41	14461.21	65990.84	5555.65	5555.65	5041.77	3491.39	23330.64	46019.85	2119.22	3257.52	4736.79	6983.79	2193.99	4419.52	4972.34	4869.99	8022.41	10585.95	30999.42	27363.16	9945.68	6699.25	13681.08	4328.55	7642.41	7433.4	872.1	13033.07	5292.48	5711.87	3515.68	563.18	723.08	1015.93	854.13	2148.82
DIXDC1	121.79	63.89	102.25	46.84	46.84	107.38	26.47	69.52	49.56	32.59	81.71	68.55	0.0	126.12	47.84	171.45	119.26	156.59	209.84	307.69	218.79	80.01	320.8	256.78	128.79	176.29	244.57	392.44	921.88	693.58	122.64	287.01	384.34	223.41	204.07	183.82	236.21	842.36	503.95	371.22	351.14	511.0	444.72	429.54	142.01	395.18	220.32	395.18	124.37	457.25	748.61	346.29	381.68	242.88	204.07	277.2	223.41	52.82	173.85	285.03	323.03	289.02	67.12	108.14	69.03	13.32	66.18
DMGDH	2.23	8.99	15.8	1.43	6.84	4.9	3.96	9.63	0.91	14.14	5.54	15.56	0.0	55.1	28.65	27.44	8.25	6.78	9.13	22.1	21.47	8.85	23.42	103.69	15.56	8.51	100.83	28.24	48.52	22.59	3.35	37.59	77.25	10.0	54.33	45.85	24.46	56.28	19.25	8.06	17.64	55.1	35.0	33.78	14.14	22.92	25.72	15.68	31.22	47.17	102.97	4.31	3.23	21.94	2.78	22.1	28.86	24.46	24.11	16.27	18.43	18.56	10.55	6.84	17.9	3.82	10.88
EFCC1	6.36	38.4	23.42	12.09	5.92	74.58	18.43	6.73	15.91	73.54	5.15	165.57	0.0	51.71	9.48	33.06	241.19	170.25	248.0	457.25	336.79	332.14	651.58	934.76	80.57	363.56	3060.45	1417.35	693.58	2032.85	180.02	1991.0	2664.15	368.65	753.83	105.89	283.05	2485.67	1651.0	444.72	1397.83	1685.71	743.43	507.46	1225.22	718.08	356.05	733.19	100.13	2645.74	1977.24	435.55	1963.57	403.5	551.56	277.2	256.78	36.53	166.73	251.48	447.82	314.17	64.34	42.71	18.29	27.44	6.11
EID1	1151.06	2148.82	2520.38	1757.34	2609.3	3212.66	2148.82	4010.71	866.07	733.19	3280.18	2468.49	0.0	3847.29	2835.7	5006.93	2997.45	1991.0	6250.56	5633.22	4481.23	4038.61	4937.99	4010.71	2271.4	1909.85	5872.48	7485.11	9945.68	6561.36	2645.74	5872.48	5954.47	2976.74	6250.56	5255.91	3564.78	9409.14	6935.54	6516.03	4937.99	4671.57	5954.47	5913.33	4358.66	4358.66	2061.24	4903.87	3146.52	6699.25	8305.36	3614.55	5711.87	3928.15	3081.75	3325.99	4543.8	1857.6	3614.55	5292.48	3280.18	3564.78	2664.15	1030.12	1721.16	2400.97	1963.57
EIF4E3	52.08	211.31	169.07	26.86	31.45	116.78	38.12	120.94	34.75	29.48	129.69	195.72	0.0	341.51	150.17	295.11	325.29	253.23	647.07	708.18	348.71	571.05	921.88	320.8	287.01	1059.11	1066.48	1733.13	1259.69	1023.0	181.28	503.95	928.3	728.11	638.15	236.21	323.03	1250.98	1037.29	884.29	921.88	660.68	1001.93	500.46	483.38	414.87	379.04	1030.12	232.94	967.76	743.43	665.29	629.35	764.36	660.68	738.29	441.64	108.14	457.25	753.83	693.58	444.72	121.79	223.41	150.17	81.71	66.18
EMCN	167.9	96.68	197.09	63.0	139.07	45.21	118.43	123.5	30.56	16.03	104.42	77.25	71.5	105.15	73.54	154.42	470.14	441.64	1540.37	1437.15	651.58	2537.92	1304.15	579.04	417.77	1096.5	4903.87	4152.18	2816.11	1572.76	1447.15	2915.45	1617.0	1844.76	2417.67	2502.97	830.75	4903.87	4802.93	2664.15	2451.44	3168.41	1561.89	1304.15	3589.58	733.19	3146.52	808.0	688.78	1721.16	1242.34	941.27	1674.06	4095.0	2895.31	1697.45	830.75	103.69	555.41	1963.57	1369.04	830.75	107.38	111.21	54.72	41.81	32.59
EPB41L5	255.0	275.28	63.0	105.15	77.79	158.79	79.45	108.14	295.11	199.85	50.27	1111.82	0.0	1104.13	151.22	441.64	669.92	429.54	934.76	1073.91	595.34	325.29	1870.53	607.87	353.59	728.11	934.76	3372.43	830.75	387.02	575.03	1119.56	1268.46	1015.93	447.82	283.05	258.57	1709.26	1397.83	819.3	2047.0	902.89	902.89	1628.26	791.35	1304.15	476.71	1572.76	265.87	1977.24	555.41	1225.22	579.04	2061.24	848.22	567.1	438.59	684.02	656.11	1030.12	1304.15	967.76	358.54	275.28	221.86	514.56	158.79
FAM115A	273.37	620.67	255.0	223.41	316.37	909.17	110.43	318.57	473.41	406.31	137.14	189.02	0.0	197.09	237.86	128.79	343.89	351.14	265.87	271.48	293.07	258.57	583.07	529.06	191.67	409.15	974.5	1151.06	1191.69	1242.34	289.02	591.22	825.0	518.15	775.05	703.28	493.56	830.75	1015.93	718.08	1051.79	764.36	878.17	638.15	463.65	483.38	567.1	981.29	334.46	825.0	638.15	791.35	819.3	387.02	429.54	423.61	503.95	379.04	318.57	423.61	563.18	665.29	149.12	356.05	480.04	202.66	182.55
FAM13C	19.25	23.93	36.27	9.63	31.9	18.97	39.22	50.98	12.36	9.06	29.48	11.91	0.0	27.25	15.22	29.27	71.5	96.68	185.11	122.64	136.19	68.07	318.57	148.09	61.68	63.89	642.59	591.22	872.1	595.34	97.36	575.03	629.35	444.72	312.0	316.37	191.67	748.61	536.45	599.49	287.01	409.15	277.2	595.34	253.23	281.09	142.01	348.71	50.63	387.02	660.68	320.8	395.18	108.14	109.66	189.02	264.03	17.64	162.14	234.57	199.85	265.87	28.45	27.05	5.63	3.82	11.21
FAM162B	33.3	31.9	21.32	78.34	21.47	54.72	46.5	31.9	13.83	4.98	27.64	43.02	0.0	99.43	23.59	262.2	172.65	191.67	896.64	813.63	281.09	854.13	1936.53	1250.98	457.25	251.48	2701.35	2090.03	583.07	1781.89	277.2	2997.45	1628.26	1159.07	536.45	403.5	500.46	1794.29	1794.29	1023.0	2384.37	1081.39	941.27	1081.39	1572.76	490.14	575.03	1159.07	156.59	1617.0	1183.45	884.29	624.99	363.56	1225.22	525.39	878.17	59.55	249.73	981.29	366.09	432.53	17.13	38.95	4.39	13.62	5.96
FAM26E	24.63	8.32	25.35	3.66	34.26	14.03	4.31	18.16	5.23	3.32	28.86	25.17	0.0	9.41	27.25	16.75	25.35	22.43	52.08	52.08	28.04	38.95	95.34	33.06	2.2	7.34	94.01	125.24	82.29	215.77	29.06	80.01	67.12	49.21	143.01	61.68	55.49	147.06	92.05	81.71	82.29	72.52	105.15	73.54	39.5	50.27	43.63	33.3	61.25	66.65	104.42	58.3	50.27	21.47	12.36	48.52	82.29	8.51	34.26	66.18	54.72	39.22	9.78	7.57	9.63	1.55	18.97
FARP1	2119.22	1369.04	305.55	688.78	1709.26	1059.11	392.44	525.39	1159.07	921.88	620.67	665.29	218.79	248.0	483.38	371.22	1015.93	1175.27	1001.93	684.02	915.51	1388.16	6887.62	2502.97	1030.12	988.12	2061.24	3928.15	1175.27	2335.28	1378.57	2777.33	1950.0	2777.33	1051.79	878.17	2047.0	2335.28	1819.35	2224.63	3540.14	1437.15	1498.22	1721.16	2351.53	2664.15	1896.65	4802.93	1295.13	3325.99	780.44	1857.6	2119.22	2739.08	1794.29	1066.48	1991.0	878.17	775.05	928.3	1651.0	1572.76	647.07	348.71	748.61	1199.98	967.76
FHL5	3.5	24.46	40.07	5.63	4.58	4.03	16.75	11.91	6.16	4.31	0.54	21.78	0.0	39.79	6.46	46.18	100.83	143.01	412.0	358.54	239.52	171.45	299.25	159.9	24.81	258.57	1159.07	1096.5	3564.78	674.59	148.09	603.67	703.28	543.96	199.85	218.79	194.36	995.0	967.76	1277.29	426.57	348.71	718.08	759.08	368.65	182.55	199.85	267.73	128.79	426.57	211.31	314.17	275.28	358.54	108.14	638.15	183.82	24.99	251.48	703.28	303.44	202.66	21.32	37.05	6.26	6.73	7.22
FKBP9	748.61	1175.27	764.36	1794.29	1350.18	1340.84	169.07	1015.93	1745.2	1909.85	620.67	1583.71	947.83	612.11	1216.75	518.15	1143.1	1059.11	1073.91	1286.18	1143.1	1467.37	2796.65	1605.83	791.35	921.88	2609.3	2855.44	3690.52	3039.3	1781.89	3349.13	2701.35	1991.0	3235.01	3124.78	2434.5	3419.52	4123.49	2384.37	2485.67	2816.11	3168.41	2384.37	2502.97	2777.33	2075.59	2255.7	2303.12	2758.13	2367.9	2384.37	2047.0	2193.99	1977.24	2119.22	2502.97	1806.78	1268.46	1572.76	1963.57	1991.0	1008.9	1427.22	1407.55	684.02	1331.57
FMO3	275.28	6.67	30.78	5.96	14.35	11.04	3.69	307.69	6.94	8.25	16.63	226.54	0.0	262.2	163.28	400.71	113.56	127.0	371.22	529.06	669.92	400.71	665.29	698.41	141.02	185.11	896.64	1030.12	796.86	2255.7	228.13	1104.13	3716.2	1096.5	403.5	753.83	92.7	1008.9	995.0	1909.85	514.56	764.36	2148.82	896.64	493.56	429.54	273.37	1923.14	199.85	587.13	1857.6	808.0	1844.76	1073.91	242.88	748.61	1030.12	46.84	447.82	909.17	457.25	373.81	51.35	25.17	10.08	0.6	8.13
FOXF1	73.54	220.32	148.09	500.46	97.36	137.14	113.56	37.59	80.57	152.28	15.0	39.22	0.0	40.64	47.17	97.36	312.0	476.71	444.72	842.36	842.36	1733.13	1407.55	764.36	403.5	866.07	2935.74	5751.61	521.76	1216.75	511.0	2609.3	2997.45	1388.16	830.75	358.54	381.68	1277.29	4972.34	1268.46	3690.52	718.08	748.61	1037.29	941.27	591.22	679.29	1359.57	638.15	2133.97	2032.85	961.07	1331.57	426.57	1127.35	346.29	819.3	55.89	599.49	503.95	1037.29	376.41	173.85	175.07	19.68	21.32	22.26
FOXP2	7.28	13.22	22.92	0.31	2.32	4.66	3.66	7.63	4.74	4.24	0.0	3.63	0.0	10.0	25.72	27.05	50.63	30.34	43.02	38.67	29.48	31.0	96.68	126.12	45.21	186.4	80.01	42.41	95.34	81.71	2.94	23.25	329.84	44.89	31.0	72.52	25.72	291.04	249.73	47.84	60.82	234.57	42.11	126.12	24.63	94.67	14.14	204.07	18.29	88.26	363.56	131.51	67.59	117.6	17.51	29.06	24.28	12.18	36.01	53.19	51.71	44.25	3.86	6.11	28.04	0.64	1.01
FRMD3	3.86	30.12	16.27	49.21	3.63	45.53	19.39	14.56	11.82	2.05	14.56	2.71	0.0	20.26	12.18	12.18	60.39	43.32	142.01	125.24	87.65	78.89	242.88	41.22	59.13	44.57	486.75	500.46	361.04	289.02	30.78	106.63	215.77	177.53	204.07	110.43	29.7	423.61	285.03	170.25	189.02	153.34	187.71	178.77	98.04	105.15	53.19	275.28	43.94	371.22	156.59	334.46	209.84	183.82	82.87	51.35	124.37	8.19	50.27	154.42	211.31	106.63	10.55	71.5	10.79	6.57	3.23
FXYD6	139.07	231.32	1467.37	138.1	463.65	283.05	281.09	111.21	84.04	178.77	334.46	460.44	329.84	417.77	450.94	389.72	1397.83	1340.84	1457.23	2976.74	2271.4	2209.26	3820.7	2935.74	1369.04	2224.63	5594.3	4358.66	4869.99	7857.29	2061.24	9088.59	5076.84	10585.95	3955.48	2875.3	1963.57	5831.91	5954.47	3212.66	17197.56	8778.97	5076.84	3564.78	6471.02	5255.91	3690.52	5329.3	1977.24	5831.91	4450.27	2018.8	6337.83	4607.24	2591.27	3928.15	7695.57	289.02	1639.59	3168.41	2956.17	1857.6	169.07	101.54	703.28	90.14	163.28
FZD1	107.38	152.28	87.65	62.12	176.29	146.03	60.82	387.02	73.54	71.5	155.5	450.94	0.0	208.38	500.46	177.53	267.73	229.72	466.88	547.75	426.57	289.02	723.08	387.02	159.9	212.78	2163.77	1104.13	1259.69	1594.73	138.1	1088.92	1697.45	629.35	1066.48	624.99	353.59	2163.77	2303.12	1030.12	1143.1	1151.06	866.07	1096.5	909.17	514.56	223.41	454.09	144.01	1295.13	1030.12	1340.84	941.27	320.8	264.03	287.01	555.41	108.9	239.52	540.19	723.08	599.49	52.45	45.21	239.52	199.85	314.17
GAB1	140.04	90.14	58.3	38.4	41.81	117.6	209.84	97.36	127.0	142.01	22.1	80.01	0.0	106.63	190.34	71.5	264.03	242.88	271.48	242.88	191.67	107.38	679.29	334.46	234.57	226.54	830.75	1277.29	796.86	629.35	283.05	400.71	1037.29	647.07	559.28	532.74	258.57	1583.71	1340.84	587.13	1225.22	764.36	532.74	559.28	591.22	575.03	409.15	483.38	111.99	591.22	934.76	915.51	423.61	599.49	441.64	432.53	285.03	156.59	237.86	387.02	603.67	450.94	86.43	149.12	140.04	70.01	144.01
GBP4	633.73	463.65	915.51	547.75	57.89	1378.57	320.8	46.18	44.89	30.56	878.17	67.59	1233.75	197.09	423.61	595.34	620.67	514.56	974.5	1295.13	836.53	1175.27	3690.52	1233.75	981.29	743.43	2796.65	5711.87	848.22	5633.22	575.03	2895.31	2224.63	2758.13	1651.0	769.69	647.07	4210.15	3515.68	2319.15	2976.74	1313.23	947.83	1498.22	3060.45	1313.23	1369.04	1628.26	507.46	1639.59	2047.0	1183.45	2485.67	2682.69	3665.02	1388.16	1331.57	255.0	934.76	1721.16	2018.8	1183.45	149.12	97.36	543.96	40.36	182.55
GFRA1	8.85	18.97	69.52	0.31	2.32	14.35	265.87	358.54	2.16	15.56	1.13	5.82	6.21	11.91	2.29	20.86	36.53	15.91	60.39	73.54	61.68	55.49	46.5	64.8	65.26	218.79	82.29	100.83	698.41	221.86	43.32	81.71	205.5	223.41	100.83	80.57	22.1	327.56	172.65	110.43	72.52	403.5	132.44	82.87	139.07	264.03	28.24	373.81	13.52	265.87	246.28	183.82	110.43	140.04	49.91	218.79	48.52	2.66	53.95	50.63	53.19	55.1	6.16	177.53	6.06	3.82	2.2
GIPC2	47.84	158.79	18.97	53.19	2.66	14.45	29.48	6.16	84.04	47.17	36.79	3.41	0.0	8.99	2.36	7.46	36.27	27.84	111.21	165.57	63.89	51.35	19.97	74.58	13.03	67.12	802.41	299.25	718.08	271.48	25.54	100.13	796.86	82.87	101.54	66.18	34.75	599.49	961.07	371.22	94.67	165.57	84.63	109.66	182.55	109.66	65.26	49.91	50.27	186.4	214.27	264.03	106.63	45.53	180.02	49.56	124.37	6.41	73.03	98.04	119.26	85.82	248.0	105.89	34.51	1.55	16.75
GNG11	161.02	95.34	297.17	559.28	269.6	78.34	162.14	183.82	64.34	46.5	796.86	651.58	0.0	3168.41	305.55	476.71	651.58	447.82	2895.31	3794.3	1159.07	3540.14	3235.01	2004.85	1119.56	708.18	4836.35	4066.71	3349.13	5479.15	1628.26	4450.27	3982.99	2018.8	2816.11	1540.37	1733.13	11267.44	4481.23	3467.27	13215.02	2997.45	3928.15	3168.41	4903.87	2271.4	2997.45	1498.22	1322.37	4481.23	4038.61	2664.15	3190.46	2148.82	3103.19	954.43	1605.83	299.25	934.76	2047.0	1340.84	1388.16	249.73	169.07	120.1	83.45	409.15
GPM6B	76.71	78.89	28.65	10.71	201.25	171.45	38.12	95.34	5.5	25.17	13.93	327.56	0.0	189.02	35.0	108.14	194.36	170.25	460.44	587.13	454.09	180.02	320.8	267.73	121.79	323.03	723.08	551.56	928.3	961.07	126.12	178.77	1119.56	307.69	157.68	209.84	223.41	1073.91	974.5	454.09	909.17	967.76	1015.93	1617.0	493.56	229.72	279.14	599.49	136.19	529.06	738.29	212.78	860.08	633.73	423.61	368.65	183.82	42.41	191.67	759.08	503.95	316.37	13.12	13.22	97.36	164.42	127.89
GPR21	3.14	1.04	6.57	0.0	4.86	1.85	1.31	7.46	1.53	0.0	0.0	7.4	0.0	1.35	1.69	0.0	6.06	3.82	3.03	13.83	6.11	3.99	2.14	3.92	0.0	10.88	5.54	4.43	26.67	4.7	2.73	8.45	5.87	1.25	4.03	14.56	3.76	13.22	3.29	5.23	2.61	16.51	8.99	5.11	1.87	9.56	2.71	4.66	8.45	9.27	6.46	7.28	0.2	6.94	7.94	3.79	2.48	0.0	7.75	8.71	1.93	1.53	0.0	0.97	0.95	1.17	5.41
GPRASP2	43.63	50.98	81.71	21.94	53.19	32.59	19.82	61.25	27.84	22.26	70.51	49.21	0.0	120.1	69.52	68.07	112.77	85.82	131.51	139.07	138.1	120.1	94.67	121.79	88.26	100.13	297.17	209.84	312.0	346.29	80.01	159.9	327.56	198.47	356.05	139.07	87.65	412.0	392.44	124.37	351.14	426.57	215.77	363.56	255.0	384.34	108.9	201.25	134.3	228.13	267.73	198.47	301.33	145.02	214.27	180.02	208.38	48.87	128.79	149.12	169.07	214.27	18.84	33.78	102.97	24.81	46.5
HOMER1	140.04	51.71	25.91	38.67	63.45	183.82	72.01	81.14	93.35	50.27	19.97	116.78	146.03	104.42	57.49	39.79	43.94	63.89	87.03	96.68	67.12	71.0	234.57	73.03	169.07	144.01	125.24	470.14	108.9	53.95	105.15	164.42	150.17	120.94	113.56	59.97	46.5	253.23	164.42	120.1	123.5	177.53	89.51	84.63	241.19	54.33	105.89	251.48	105.89	299.25	224.97	95.34	106.63	395.18	105.15	164.42	64.34	256.78	63.45	105.15	98.04	144.01	35.5	125.24	157.68	61.25	128.79
HPCAL4	0.64	0.71	11.73	0.0	0.66	0.32	0.0	2.18	0.0	0.6	5.87	63.45	0.0	65.26	4.17	6.36	6.57	14.67	6.21	26.86	37.32	39.5	212.78	6.26	11.21	6.26	53.95	135.24	5.68	195.72	44.57	264.03	82.29	26.67	13.03	1.36	3.72	120.94	25.17	8.71	32.82	5.28	34.51	3.96	23.08	5.92	10.31	33.54	6.16	97.36	21.16	12.83	59.97	36.27	54.72	21.32	2.97	45.85	6.11	8.78	35.0	9.06	0.0	1.28	2.32	0.27	0.0
HTR1B	7.51	3.11	4.31	0.58	3.56	1.55	0.0	7.22	1.43	1.43	24.81	1.77	0.0	1.06	1.03	1.07	1.19	1.2	2.23	5.06	2.58	7.11	4.5	3.63	0.0	3.63	9.27	13.72	31.9	7.69	1.79	10.31	8.65	10.96	6.62	1.97	6.67	13.42	13.32	9.56	5.73	11.21	18.03	5.59	5.28	18.29	6.62	4.62	7.94	9.13	23.08	7.11	4.1	6.89	1.51	0.6	8.19	0.65	7.28	5.63	9.93	1.68	1.79	6.73	2.27	0.0	2.51
IGF1R	114.36	197.09	39.22	72.01	262.2	194.36	28.65	403.5	87.03	145.02	186.4	114.36	61.25	61.25	46.18	55.49	114.36	150.17	108.14	126.12	141.02	114.36	329.84	406.31	78.34	400.71	138.1	356.05	273.37	444.72	147.06	194.36	543.96	379.04	171.45	59.55	253.23	665.29	417.77	358.54	497.0	511.0	309.83	460.44	392.44	387.02	423.61	341.51	101.54	221.86	363.56	265.87	299.25	138.1	293.07	283.05	147.06	209.84	132.44	88.26	291.04	275.28	69.03	96.68	107.38	67.12	96.68
IGSF10	1.6	5.87	20.41	3.66	13.93	1.55	11.73	6.21	5.87	0.45	2.86	21.16	0.0	21.32	7.82	67.59	256.78	226.54	305.55	414.87	361.04	228.13	802.41	1216.75	31.22	226.54	3103.19	660.68	1059.11	1498.22	112.77	1551.09	1313.23	521.76	1295.13	480.04	620.67	2555.58	2609.3	698.41	1883.54	2119.22	1909.85	764.36	1088.92	902.89	466.88	743.43	244.57	1268.46	2032.85	1015.93	1001.93	669.92	267.73	738.29	348.71	12.45	248.0	595.34	775.05	591.22	0.0	6.26	214.27	5.28	26.47
IL7R	358.54	143.01	860.08	1359.57	88.26	180.02	22.43	151.22	7.17	20.41	29.48	136.19	444.72	438.59	480.04	325.29	902.89	878.17	759.08	1991.0	1304.15	540.19	2451.44	327.56	412.0	4095.0	2739.08	7803.01	356.05	5872.48	1331.57	1477.58	6037.61	1709.26	414.87	1407.55	656.11	6471.02	1023.0	5791.62	1388.16	1051.79	4298.64	4903.87	1151.06	334.46	473.41	1037.29	1745.2	4358.66	2627.46	8598.28	2777.33	3349.13	1832.01	5076.84	1378.57	271.48	1487.87	1674.06	2875.3	1304.15	89.51	115.16	54.72	4.7	43.02
ITGA8	24.81	95.34	43.94	5.11	20.26	54.72	73.54	18.43	2.16	7.63	13.72	86.43	0.0	55.89	44.57	78.89	149.12	180.02	273.37	409.15	325.29	291.04	603.67	463.65	129.69	507.46	1250.98	1286.18	1111.82	1605.83	239.52	1081.39	988.12	532.74	435.55	780.44	759.08	1350.18	1662.49	607.87	1008.9	1259.69	1685.71	769.69	708.18	651.58	476.71	890.44	303.44	1295.13	6121.9	441.64	620.67	693.58	432.53	457.25	620.67	23.08	460.44	536.45	785.88	473.41	30.56	35.5	11.64	5.73	9.85
JAM2	71.5	98.73	275.28	59.97	67.59	21.78	454.09	46.18	29.27	17.25	136.19	87.65	0.0	101.54	75.64	111.99	397.93	348.71	454.09	607.87	559.28	1369.04	1733.13	825.0	466.88	669.92	2720.15	2777.33	1991.0	3124.78	392.44	1551.09	1721.16	813.63	1096.5	638.15	802.41	3419.52	2855.44	1477.58	1551.09	1870.53	4671.57	1008.9	1651.0	1088.92	1191.69	1233.75	281.09	3190.46	1322.37	2047.0	1529.73	1242.34	1304.15	723.08	733.19	82.29	743.43	1268.46	1059.11	1008.9	35.0	32.59	82.29	20.86	31.0
