	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.13FTX.0526.SM.5IFGS	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.O5YV.1026.SM.3LK72	GTEX.13QJ3.1726.SM.5RQK9	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.13OVI.2626.SM.5KM4T	GTEX.14DAQ.1426.SM.5RQJD	GTEX.W5WG.1626.SM.4LMKG	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.PLZ4.1626.SM.3P618	GTEX.11P81.0826.SM.5P9GR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.YEC3.2526.SM.4YCDN	GTEX.N7MT.0326.SM.48TDP	GTEX.14E1K.1226.SM.5S2PD	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.ZPCL.1426.SM.57WEC	GTEX.P4PQ.0626.SM.3NMCU	GTEX.OIZG.1026.SM.3LK5X	GTEX.14AS3.0626.SM.5QGQD	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
NUDT5	1529.73	1529.73	1437.15	2004.85	1572.76	2319.15	1242.34	2004.85	1313.23	1199.98	1183.45	1350.18	1733.13	1151.06	2193.99	1498.22	1286.18	974.5	902.89	1104.13	854.13	1208.34	961.07	753.83	842.36	830.75	848.22	947.83	780.44	791.35	1183.45	674.59	961.07	1008.9	1037.29	1104.13	1259.69	954.43	1096.5	808.0	1208.34	941.27	1183.45	1088.92	1044.52	629.35	1111.82	1051.79	1001.93	1104.13	1259.69	1447.15	1208.34	1369.04	1359.57	981.29	1487.87	2720.15	2032.85	1896.65	1417.35	1208.34	1651.0	1757.34
NUP93	813.63	796.86	915.51	1295.13	802.41	1437.15	941.27	1295.13	1340.84	981.29	830.75	872.1	1378.57	785.88	1697.45	780.44	743.43	483.38	493.56	656.11	486.75	708.18	417.77	616.37	476.71	525.39	497.0	587.13	651.58	728.11	884.29	507.46	703.28	381.68	802.41	612.11	860.08	698.41	620.67	813.63	802.41	587.13	753.83	660.68	647.07	351.14	728.11	669.92	514.56	769.69	954.43	1183.45	934.76	638.15	1023.0	748.61	1277.29	1191.69	1685.71	1233.75	1023.0	1216.75	1175.27	1233.75
NUTF2	2090.03	2720.15	2591.27	4038.61	4388.98	4575.41	2075.59	3690.52	3039.3	2682.69	2090.03	2645.74	4181.07	3081.75	4769.75	2682.69	1870.53	1111.82	1359.57	1487.87	1008.9	1277.29	1015.93	1111.82	1167.14	1277.29	764.36	1397.83	954.43	1628.26	1322.37	1015.93	1350.18	1242.34	1135.2	1135.2	1551.09	1340.84	1295.13	1044.52	1551.09	1030.12	1540.37	1151.06	1477.58	1059.11	1051.79	1572.76	1437.15	1397.83	1923.14	2451.44	1628.26	1991.0	1806.78	1674.06	2061.24	3395.89	2224.63	3665.02	2451.44	2133.97	2163.77	2287.2
PCNA	6337.83	3794.3	1936.53	2520.38	3103.19	6887.62	2915.45	4607.24	2591.27	4095.0	1745.2	2047.0	3235.01	1639.59	5517.27	2032.85	1857.6	1427.22	808.0	1662.49	995.0	1757.34	1175.27	1388.16	1051.79	941.27	1073.91	1498.22	1397.83	1331.57	2209.26	1167.14	1909.85	674.59	1697.45	830.75	2271.4	1508.65	2209.26	1111.82	2537.92	1037.29	1757.34	1457.23	1487.87	1143.1	1051.79	1977.24	1359.57	1540.37	2816.11	3124.78	2664.15	2701.35	2855.44	1977.24	2956.17	4972.34	5441.3	2935.74	2758.13	2119.22	3235.01	2627.46
PDSS1	150.17	305.55	239.52	368.65	420.68	291.04	271.48	151.22	220.32	170.25	144.01	239.52	193.01	162.14	303.44	341.51	181.28	158.79	113.56	159.9	100.13	139.07	159.9	176.29	81.14	133.36	96.68	102.25	180.02	129.69	187.71	130.6	164.42	172.65	191.67	147.06	209.84	173.85	143.01	143.01	218.79	181.28	191.67	212.78	161.02	115.16	176.29	212.78	139.07	181.28	248.0	231.32	189.02	251.48	234.57	191.67	232.94	353.59	267.73	356.05	187.71	267.73	291.04	301.33
POLE3	1073.91	1340.84	1081.39	1583.71	1350.18	1540.37	1322.37	1096.5	1529.73	1250.98	1151.06	1378.57	1322.37	1066.48	1628.26	1277.29	941.27	819.3	759.08	813.63	616.37	915.51	961.07	1037.29	629.35	547.75	559.28	872.1	909.17	638.15	1216.75	802.41	866.07	429.54	796.86	518.15	1313.23	967.76	988.12	579.04	1183.45	612.11	848.22	974.5	785.88	444.72	819.3	1096.5	723.08	902.89	1159.07	1427.22	1295.13	1757.34	1359.57	1044.52	1508.65	3146.52	1674.06	1331.57	1286.18	1359.57	1008.9	1733.13
PPIL1	718.08	743.43	521.76	902.89	723.08	1378.57	665.29	947.83	607.87	583.07	493.56	547.75	796.86	432.53	866.07	928.3	381.68	480.04	318.57	258.57	205.5	518.15	438.59	341.51	318.57	258.57	194.36	457.25	339.14	316.37	532.74	376.41	480.04	353.59	460.44	273.37	603.67	387.02	480.04	273.37	555.41	267.73	447.82	476.71	426.57	249.73	339.14	511.0	323.03	547.75	769.69	954.43	612.11	830.75	674.59	540.19	819.3	1331.57	679.29	928.3	660.68	703.28	1104.13	684.02
PSMA3	2720.15	3540.14	2591.27	3168.41	4937.99	3901.01	2956.17	4512.4	3168.41	2895.31	2609.3	3103.19	3639.7	2956.17	4388.98	2875.3	2047.0	1639.59	1540.37	2303.12	1242.34	2193.99	1923.14	2224.63	1199.98	1378.57	1733.13	1583.71	1991.0	1540.37	2997.45	1674.06	2335.28	1561.89	2240.11	1350.18	2193.99	2193.99	1977.24	1709.26	2384.37	1583.71	1909.85	2485.67	1583.71	1407.55	1870.53	2451.44	1540.37	2047.0	3039.3	3564.78	2777.33	3874.05	3349.13	2303.12	3257.52	5872.48	4328.55	3081.75	2701.35	3146.52	2739.08	4543.8
PSMA4	2997.45	3901.01	2976.74	4328.55	4836.35	6337.83	4210.15	4481.23	3847.29	4210.15	3018.3	3639.7	4869.99	4388.98	4388.98	3325.99	2384.37	1977.24	1923.14	2664.15	1936.53	2573.36	2240.11	2224.63	1685.71	1662.49	2163.77	2047.0	2075.59	1963.57	2976.74	1769.57	2367.9	1832.01	2335.28	1857.6	2895.31	2502.97	2796.65	1909.85	3018.3	1923.14	2502.97	2224.63	2351.53	1883.54	1721.16	2468.49	1909.85	2664.15	2915.45	3768.09	3190.46	4607.24	3614.55	2875.3	3491.39	6983.79	5112.16	3716.2	3564.78	4239.45	3847.29	5479.15
PSMA5	2816.11	5594.3	2335.28	3081.75	2895.31	3982.99	2400.97	4481.23	2591.27	2335.28	2303.12	2915.45	2956.17	2997.45	5329.3	2485.67	2451.44	1950.0	1819.35	2090.03	1250.98	2163.77	1923.14	1950.0	1331.57	1447.15	1674.06	1950.0	1447.15	1313.23	2520.38	1561.89	2434.5	1477.58	1991.0	1427.22	2796.65	2119.22	2163.77	1819.35	2133.97	1457.23	2193.99	2148.82	2032.85	1369.04	1709.26	2319.15	1769.57	2417.67	2434.5	3540.14	2816.11	4575.41	3874.05	2384.37	3235.01	6294.04	3443.31	5555.65	2796.65	2875.3	3395.89	4095.0
PSMB2	1286.18	1519.15	1295.13	1794.29	1551.09	1896.65	1233.75	1733.13	1674.06	1639.59	1199.98	1963.57	1781.89	1331.57	2502.97	1250.98	884.29	785.88	669.92	796.86	457.25	738.29	764.36	896.64	536.45	497.0	620.67	759.08	819.3	656.11	981.29	656.11	791.35	555.41	842.36	559.28	1023.0	808.0	780.44	616.37	1073.91	536.45	866.07	836.53	728.11	432.53	684.02	1015.93	633.73	753.83	1051.79	1477.58	1044.52	961.07	1286.18	1015.93	1286.18	2367.9	1519.15	1369.04	1467.37	1304.15	1378.57	1685.71
PSMC1	2485.67	2664.15	2367.9	2796.65	2400.97	3742.05	2319.15	3146.52	3039.3	2367.9	2148.82	2796.65	3303.0	2627.46	3060.45	2555.58	1844.76	1794.29	1794.29	2240.11	1295.13	2148.82	2004.85	2537.92	1340.84	1081.39	1350.18	2032.85	2047.0	1447.15	1950.0	1794.29	2271.4	1159.07	2061.24	1340.84	2271.4	2351.53	2193.99	1477.58	2520.38	1208.34	1950.0	2018.8	1709.26	1159.07	1685.71	2573.36	1639.59	1909.85	2645.74	2915.45	2485.67	3443.31	2451.44	2502.97	3103.19	4450.27	3716.2	2835.7	2835.7	3395.89	3665.02	3614.55
PSMC2	1594.73	2163.77	2119.22	2075.59	1721.16	2047.0	2255.7	1963.57	2537.92	2133.97	1745.2	1923.14	2591.27	2303.12	4358.66	1617.0	1487.87	1208.34	1151.06	1233.75	842.36	1572.76	1519.15	1674.06	775.05	780.44	1104.13	1477.58	1447.15	995.0	1594.73	1167.14	1617.0	884.29	1674.06	796.86	1769.57	1388.16	1529.73	1044.52	1950.0	830.75	1529.73	1508.65	961.07	698.41	1127.35	1674.06	1081.39	1397.83	1832.01	2148.82	2032.85	2271.4	1950.0	1697.45	2148.82	3982.99	3081.75	2104.58	2193.99	2434.5	2384.37	2502.97
PSMC3	2451.44	2855.44	3103.19	4512.4	2816.11	5672.41	3847.29	4358.66	3103.19	2796.65	2555.58	4152.18	3901.01	3768.09	5517.27	3060.45	2367.9	1662.49	1685.71	2119.22	1369.04	2303.12	1870.53	2319.15	1397.83	1617.0	1369.04	2451.44	1991.0	1709.26	2303.12	1651.0	2609.3	1331.57	2032.85	1427.22	2303.12	2303.12	1950.0	1295.13	2335.28	1457.23	2090.03	1963.57	1769.57	1427.22	1923.14	2384.37	2032.85	1909.85	2591.27	3794.3	2701.35	3589.58	2875.3	2682.69	3639.7	4328.55	4095.0	2434.5	3395.89	3190.46	3639.7	2895.31
PSMC4	1487.87	3280.18	2417.67	2609.3	2119.22	2935.74	2367.9	2935.74	2400.97	2148.82	1857.6	2816.11	3168.41	2351.53	2835.7	2119.22	1697.45	1331.57	1242.34	1437.15	854.13	1331.57	1208.34	1378.57	1066.48	1066.48	1044.52	1508.65	1199.98	1104.13	1697.45	1023.0	1745.2	1088.92	1540.37	1183.45	1745.2	1259.69	1313.23	1295.13	1685.71	878.17	1447.15	1529.73	1259.69	1151.06	1233.75	1572.76	1519.15	1388.16	2032.85	2485.67	2104.58	2133.97	2417.67	1628.26	2367.9	3372.43	2777.33	3103.19	2400.97	2468.49	2682.69	3039.3
PSMG1	1350.18	1286.18	1073.91	1909.85	1745.2	2255.7	1388.16	1583.71	1819.35	941.27	1059.11	1388.16	1508.65	1135.2	1963.57	1286.18	974.5	785.88	708.18	934.76	674.59	825.0	921.88	764.36	791.35	633.73	836.53	769.69	633.73	802.41	1096.5	708.18	1135.2	571.05	954.43	743.43	995.0	974.5	848.22	525.39	1250.98	723.08	1167.14	961.07	819.3	463.65	961.07	1066.48	497.0	1081.39	1437.15	1745.2	1111.82	1572.76	1313.23	995.0	1745.2	2591.27	1870.53	1870.53	1151.06	1397.83	1119.56	1427.22
PUF60	2796.65	2319.15	3349.13	3349.13	3190.46	3081.75	2303.12	4095.0	3146.52	3874.05	2573.36	4123.49	2935.74	2720.15	3589.58	2682.69	2485.67	1757.34	2032.85	1923.14	1104.13	1844.76	1572.76	1794.29	1605.83	1286.18	1208.34	2075.59	1769.57	1519.15	2224.63	1806.78	2163.77	1331.57	2148.82	1487.87	2468.49	1733.13	1806.78	1183.45	2090.03	1135.2	1757.34	2271.4	1991.0	1104.13	1936.53	2255.7	2417.67	2255.7	2796.65	3491.39	2400.97	2502.97	2935.74	2255.7	3039.3	3491.39	3665.02	4328.55	3349.13	4066.71	3820.7	4010.71
RANBP1	4181.07	3614.55	3847.29	5517.27	5329.3	8134.41	3395.89	5329.3	3820.7	4450.27	2855.44	4607.24	6607.01	3491.39	5751.61	3794.3	2400.97	1769.57	1286.18	2178.83	1259.69	2163.77	1437.15	1508.65	1617.0	1498.22	1250.98	1651.0	1551.09	1757.34	2400.97	1331.57	2645.74	1437.15	1923.14	1388.16	2645.74	1936.53	2075.59	2075.59	2555.58	1572.76	2163.77	2119.22	2287.2	1457.23	1870.53	2434.5	1639.59	2178.83	2664.15	3847.29	2573.36	2468.49	2739.08	2090.03	3665.02	6207.38	3928.15	5441.3	3564.78	2739.08	3280.18	3716.2
RRP36	974.5	1359.57	1322.37	1685.71	1388.16	1991.0	1151.06	1674.06	1233.75	1359.57	1151.06	1295.13	1572.76	1225.22	1159.07	1313.23	1044.52	1037.29	934.76	947.83	603.67	1001.93	1030.12	775.05	656.11	748.61	476.71	884.29	791.35	743.43	988.12	708.18	981.29	974.5	890.44	915.51	1295.13	743.43	825.0	587.13	1127.35	693.58	974.5	1073.91	981.29	909.17	819.3	1037.29	947.83	1135.2	1242.34	1519.15	1259.69	1225.22	1331.57	1088.92	1313.23	1923.14	1397.83	1617.0	1081.39	1498.22	2032.85	2255.7
RRP9	318.57	389.72	518.15	981.29	872.1	1096.5	486.75	866.07	518.15	521.76	334.46	708.18	723.08	603.67	1015.93	638.15	371.22	224.97	289.02	248.0	177.53	301.33	183.82	361.04	267.73	220.32	165.57	239.52	206.94	253.23	303.44	205.5	314.17	180.02	244.57	193.01	373.81	277.2	239.52	214.27	301.33	191.67	264.03	353.59	309.83	267.73	320.8	356.05	251.48	329.84	540.19	733.19	483.38	295.11	555.41	289.02	642.59	759.08	480.04	1259.69	500.46	432.53	476.71	551.56
RSU1	825.0	1331.57	1769.57	1794.29	1745.2	1583.71	1617.0	1794.29	1709.26	1437.15	1340.84	1551.09	1340.84	1508.65	1674.06	1259.69	1331.57	954.43	753.83	915.51	559.28	1151.06	884.29	743.43	764.36	599.49	738.29	1073.91	713.11	1030.12	909.17	607.87	961.07	1001.93	1104.13	733.19	1216.75	802.41	854.13	842.36	1081.39	954.43	1088.92	1167.14	967.76	759.08	808.0	1167.14	723.08	796.86	1127.35	1529.73	1331.57	1313.23	1508.65	1111.82	1233.75	2434.5	1870.53	1685.71	1457.23	1030.12	1378.57	1457.23
RUVBL1	1037.29	819.3	1001.93	1697.45	1487.87	1268.46	967.76	1359.57	1313.23	1572.76	688.78	967.76	1359.57	884.29	2591.27	1037.29	555.41	536.45	450.94	503.95	348.71	559.28	470.14	457.25	476.71	392.44	356.05	595.34	305.55	438.59	599.49	329.84	633.73	305.55	490.14	507.46	796.86	423.61	708.18	463.65	656.11	379.04	607.87	571.05	665.29	366.09	480.04	633.73	503.95	743.43	780.44	1277.29	830.75	669.92	995.0	638.15	1073.91	1407.55	1151.06	2384.37	1191.69	743.43	1233.75	1037.29
RUVBL2	2193.99	2384.37	2193.99	2701.35	2855.44	2997.45	1909.85	3081.75	2701.35	2271.4	1806.78	2367.9	2682.69	1551.09	2682.69	1909.85	1781.89	1127.35	1073.91	1268.46	890.44	1208.34	808.0	1286.18	1051.79	1119.56	1096.5	1313.23	1088.92	1167.14	1487.87	995.0	1508.65	890.44	1216.75	1135.2	1561.89	1304.15	1183.45	961.07	1286.18	1081.39	1259.69	1304.15	1313.23	1059.11	1008.9	1540.37	1216.75	1605.83	1794.29	2451.44	1844.76	1662.49	1883.54	1359.57	2367.9	2855.44	2384.37	3847.29	2255.7	2451.44	2240.11	2645.74
SAE1	1498.22	2163.77	2061.24	2209.26	1417.35	2335.28	2720.15	2451.44	3614.55	2018.8	1529.73	1794.29	2400.97	1447.15	2758.13	2224.63	1733.13	1225.22	842.36	1175.27	808.0	1191.69	928.3	1030.12	866.07	796.86	785.88	1183.45	1073.91	1127.35	1359.57	947.83	1225.22	708.18	1096.5	764.36	1304.15	1023.0	1167.14	1030.12	1242.34	830.75	1096.5	1096.5	1001.93	860.08	928.3	1111.82	1127.35	1030.12	1277.29	1583.71	1313.23	1059.11	1259.69	1467.37	1819.35	2664.15	2271.4	1477.58	1709.26	1769.57	1819.35	1697.45
SF3A3	1059.11	848.22	1259.69	1322.37	967.76	1143.1	1175.27	1331.57	1561.89	1487.87	981.29	1304.15	1143.1	1119.56	1498.22	1331.57	967.76	884.29	718.08	688.78	460.44	988.12	988.12	1023.0	559.28	543.96	591.22	902.89	728.11	660.68	1127.35	819.3	954.43	679.29	785.88	507.46	1304.15	759.08	1037.29	547.75	1037.29	500.46	1015.93	785.88	713.11	387.02	791.35	1127.35	764.36	1066.48	1225.22	1331.57	1286.18	921.88	1331.57	1030.12	1143.1	1508.65	1286.18	1378.57	1081.39	915.51	1322.37	934.76
SLBP	1857.6	1143.1	1059.11	1322.37	1594.73	1159.07	909.17	1378.57	1225.22	1498.22	830.75	1268.46	1844.76	860.08	1277.29	902.89	718.08	607.87	543.96	718.08	633.73	802.41	583.07	808.0	616.37	511.0	620.67	660.68	620.67	723.08	860.08	529.06	759.08	507.46	612.11	503.95	941.27	642.59	825.0	713.11	988.12	547.75	802.41	769.69	563.18	728.11	543.96	884.29	500.46	674.59	1151.06	1268.46	1119.56	1167.14	1208.34	934.76	1059.11	1923.14	1674.06	1697.45	836.53	896.64	813.63	1407.55
SNRNP40	476.71	656.11	728.11	967.76	896.64	872.1	769.69	780.44	848.22	954.43	603.67	884.29	909.17	728.11	967.76	842.36	532.74	497.0	353.59	387.02	301.33	480.04	497.0	457.25	336.79	450.94	299.25	476.71	366.09	438.59	521.76	476.71	507.46	341.51	490.14	363.56	708.18	493.56	674.59	450.94	591.22	346.29	587.13	480.04	460.44	363.56	373.81	511.0	414.87	547.75	775.05	1088.92	819.3	941.27	764.36	599.49	941.27	1104.13	878.17	915.51	633.73	934.76	723.08	921.88
SNRPC	2417.67	3874.05	3257.52	3540.14	3039.3	5913.33	2664.15	4736.79	2935.74	3146.52	2537.92	3349.13	3639.7	2796.65	3874.05	2255.7	1883.54	1561.89	1159.07	2119.22	1250.98	1498.22	1225.22	1529.73	1268.46	1304.15	1457.23	1594.73	1519.15	1427.22	2303.12	2004.85	1819.35	1151.06	1594.73	1388.16	1977.24	1896.65	1857.6	1457.23	2148.82	1216.75	1519.15	1991.0	1617.0	866.07	1378.57	2400.97	1529.73	1594.73	2119.22	3564.78	2271.4	3018.3	2417.67	2148.82	3257.52	6250.56	2485.67	3303.0	3018.3	2627.46	2895.31	3280.18
SSRP1	1936.53	1662.49	2047.0	2502.97	2163.77	3742.05	3419.52	2287.2	2555.58	2417.67	1605.83	2240.11	2664.15	1950.0	2591.27	2209.26	1498.22	1407.55	1304.15	1437.15	1051.79	1594.73	1313.23	1508.65	1151.06	961.07	1127.35	1529.73	1378.57	1250.98	1628.26	1268.46	1794.29	802.41	1477.58	1135.2	2075.59	1467.37	1572.76	1183.45	1806.78	941.27	1508.65	1437.15	1359.57	921.88	1388.16	1806.78	1427.22	1583.71	2240.11	2682.69	2090.03	1295.13	2271.4	1870.53	2591.27	2351.53	2287.2	1950.0	2224.63	1909.85	2319.15	2047.0
STRAP	1540.37	2485.67	1896.65	2502.97	2875.3	2720.15	1923.14	2271.4	2240.11	3212.66	1806.78	2104.58	2163.77	1909.85	2796.65	2451.44	1697.45	1697.45	1487.87	1733.13	1208.34	1870.53	1832.01	1909.85	1378.57	1331.57	1561.89	1617.0	1295.13	1037.29	2032.85	1233.75	1605.83	1639.59	1617.0	1617.0	2104.58	1561.89	1870.53	1388.16	1950.0	1350.18	1733.13	1819.35	1709.26	1697.45	1331.57	1757.34	1295.13	1950.0	2591.27	2367.9	2434.5	2468.49	2627.46	1697.45	2119.22	4181.07	2178.83	4038.61	1991.0	2319.15	2502.97	3639.7
TIMM22	181.28	167.9	248.0	332.14	366.09	329.84	180.02	269.6	214.27	211.31	195.72	237.86	244.57	195.72	208.38	277.2	204.07	162.14	164.42	150.17	144.01	193.01	152.28	143.01	161.02	133.36	130.6	204.07	146.03	140.04	176.29	140.04	191.67	123.5	161.02	156.59	212.78	159.9	162.14	90.14	220.32	149.12	164.42	187.71	171.45	120.94	157.68	193.01	181.28	182.55	208.38	267.73	244.57	224.97	237.86	183.82	265.87	384.34	135.24	368.65	244.57	229.72	314.17	224.97
TIMM23	1259.69	1417.35	1322.37	1769.57	1896.65	2591.27	1322.37	1819.35	1359.57	1277.29	1199.98	1407.55	1685.71	1295.13	1551.09	1477.58	1044.52	872.1	988.12	934.76	698.41	1001.93	967.76	1127.35	842.36	665.29	836.53	836.53	830.75	688.78	1268.46	775.05	1119.56	902.89	941.27	866.07	1295.13	1001.93	1191.69	514.56	1216.75	775.05	1104.13	1183.45	878.17	890.44	813.63	1088.92	909.17	1259.69	1519.15	1781.89	1340.84	1572.76	1437.15	1199.98	1674.06	2537.92	1769.57	2271.4	1594.73	1487.87	1757.34	1651.0
TOMM5	2047.0	2835.7	2271.4	2915.45	3212.66	4639.29	2485.67	2875.3	2720.15	2061.24	2061.24	2796.65	2777.33	2400.97	2739.08	2209.26	2047.0	1340.84	1350.18	1427.22	1369.04	1794.29	1477.58	1685.71	1350.18	1477.58	1233.75	1733.13	1417.35	1378.57	1977.24	1529.73	2193.99	1594.73	1674.06	1498.22	2400.97	1819.35	2075.59	1313.23	2319.15	1407.55	1977.24	1697.45	1733.13	1340.84	1540.37	2163.77	1498.22	2209.26	2384.37	3103.19	2351.53	3395.89	2271.4	1628.26	2434.5	7537.18	1950.0	5594.3	2209.26	1639.59	2240.11	2485.67
UMPS	486.75	490.14	473.41	647.07	738.29	587.13	612.11	525.39	723.08	896.64	429.54	555.41	830.75	470.14	915.51	718.08	356.05	426.57	379.04	312.0	395.18	473.41	518.15	423.61	253.23	417.77	226.54	466.88	332.14	366.09	514.56	420.68	607.87	373.81	518.15	363.56	769.69	414.87	432.53	185.11	559.28	348.71	579.04	444.72	379.04	341.51	432.53	540.19	336.79	642.59	674.59	981.29	688.78	595.34	599.49	555.41	842.36	713.11	808.0	813.63	620.67	1096.5	802.41	1175.27
USP39	603.67	1183.45	1037.29	954.43	921.88	921.88	872.1	1037.29	981.29	1066.48	808.0	1127.35	1313.23	1008.9	1250.98	866.07	902.89	698.41	620.67	688.78	551.56	713.11	638.15	629.35	529.06	420.68	547.75	728.11	633.73	563.18	780.44	551.56	656.11	612.11	587.13	507.46	802.41	536.45	703.28	603.67	723.08	470.14	651.58	638.15	607.87	466.88	647.07	656.11	536.45	780.44	764.36	934.76	860.08	854.13	842.36	723.08	896.64	1008.9	591.22	1216.75	981.29	679.29	688.78	954.43
UTP11L	1096.5	928.3	909.17	1216.75	1674.06	1369.04	1030.12	1037.29	1286.18	1175.27	785.88	967.76	1081.39	1051.79	1135.2	1225.22	825.0	791.35	575.03	780.44	457.25	718.08	583.07	796.86	392.44	466.88	679.29	718.08	638.15	599.49	796.86	483.38	728.11	547.75	674.59	651.58	961.07	703.28	872.1	511.0	890.44	525.39	890.44	743.43	669.92	571.05	551.56	780.44	684.02	915.51	1175.27	1313.23	1008.9	921.88	1044.52	785.88	1081.39	1769.57	1001.93	1572.76	967.76	1127.35	1008.9	1417.35
