	TCGA.A7.A3J1.01A.11R.A213.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARN.01A.21R.A41B.07	TCGA.XJ.A9DI.01A.11R.A37L.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	GTEX.147GR.0726.SM.5S2PL
METTL3	1037.29	802.41	1417.35	1051.79	1208.34	1030.12	769.69	1143.1	1175.27	599.49	860.08	1286.18	988.12	1037.29	902.89	1001.93	961.07	802.41	1277.29	258.57	343.89	260.38	463.65	312.0	249.73	239.52	260.38	185.11	432.53	231.32	314.17	193.01	287.01	197.09	186.4	232.94	165.57	400.71	395.18	226.54	267.73	279.14	329.84	285.03	400.71	149.12	463.65	234.57	305.55	204.07	307.69	142.01	223.41	339.14	271.48	0.0	921.88	1417.35	693.58	551.56	1268.46
MFSD6L	85.82	40.36	10.63	177.53	29.91	27.05	70.51	62.56	10.16	16.88	42.11	57.49	24.28	24.28	21.01	121.79	4.13	51.71	12.64	2.53	0.75	3.26	23.76	1.06	4.46	0.0	27.44	1.39	5.11	2.48	0.0	0.0	0.45	0.43	0.47	0.0	3.92	11.47	2.12	2.63	1.6	10.55	1.48	1.77	0.0	0.0	39.79	1.45	1.5	0.0	2.34	0.58	0.0	0.45	2.51	0.0	125.24	40.64	102.25	30.56	301.33
MNT	476.71	194.36	291.04	507.46	361.04	376.41	353.59	406.31	204.07	202.66	329.84	371.22	460.44	493.56	373.81	406.31	343.89	343.89	351.14	77.79	98.04	92.7	164.42	34.75	117.6	115.16	123.5	70.01	103.69	52.82	57.89	151.22	90.14	118.43	73.54	57.89	151.22	151.22	89.51	156.59	90.14	111.99	113.56	78.89	77.79	140.04	161.02	124.37	73.03	95.34	76.17	74.58	164.42	72.01	70.01	0.0	242.88	281.09	205.5	171.45	312.0
MST1R	262.2	234.57	389.72	1066.48	218.79	208.38	521.76	406.31	234.57	137.14	251.48	483.38	297.17	961.07	341.51	316.37	218.79	312.0	353.59	4.21	8.19	19.97	14.14	16.39	23.93	0.16	19.11	12.18	24.28	11.38	5.02	5.32	0.0	17.13	4.35	26.86	0.0	18.29	20.26	1.99	20.26	20.56	8.85	10.39	6.52	1.38	25.91	0.0	3.32	38.67	1.0	0.04	0.67	18.56	16.88	0.0	748.61	158.79	94.01	26.28	103.69
MSTO1	1340.84	813.63	1551.09	1857.6	1015.93	1015.93	2104.58	1628.26	753.83	896.64	1030.12	1096.5	1378.57	2271.4	961.07	1757.34	842.36	1015.93	1369.04	177.53	373.81	293.07	320.8	327.56	547.75	521.76	202.66	279.14	348.71	202.66	314.17	334.46	193.01	221.86	246.28	149.12	780.44	718.08	435.55	406.31	251.48	169.07	208.38	353.59	909.17	248.0	1259.69	258.57	206.94	514.56	543.96	64.34	202.66	217.27	269.6	1073.91	1417.35	1030.12	921.88	830.75	1233.75
MUM1	988.12	860.08	1457.23	836.53	981.29	785.88	825.0	1111.82	1233.75	587.13	1208.34	1295.13	1199.98	1259.69	988.12	1030.12	825.0	679.29	1167.14	358.54	808.0	429.54	780.44	258.57	490.14	518.15	529.06	406.31	395.18	698.41	265.87	511.0	529.06	314.17	211.31	336.79	248.0	708.18	536.45	543.96	373.81	529.06	587.13	633.73	748.61	426.57	514.56	454.09	703.28	624.99	669.92	267.73	595.34	665.29	638.15	366.09	825.0	1066.48	599.49	483.38	813.63
MZF1	547.75	285.03	1051.79	688.78	616.37	647.07	607.87	660.68	460.44	255.0	723.08	785.88	928.3	713.11	555.41	591.22	341.51	366.09	688.78	99.43	169.07	111.99	199.85	55.89	134.3	106.63	181.28	76.17	244.57	105.15	83.45	64.34	177.53	95.34	58.3	112.77	111.21	229.72	186.4	131.51	130.6	99.43	150.17	47.84	189.02	76.17	299.25	183.82	117.6	135.24	176.29	84.04	140.04	253.23	108.14	0.0	395.18	748.61	551.56	381.68	1519.15
NEIL1	796.86	381.68	2163.77	1216.75	1447.15	961.07	1159.07	1963.57	1037.29	223.41	1259.69	1167.14	988.12	1277.29	1088.92	878.17	400.71	642.59	1498.22	173.85	529.06	332.14	444.72	143.01	102.97	148.09	260.38	185.11	154.42	460.44	121.79	139.07	447.82	297.17	175.07	379.04	102.25	249.73	208.38	221.86	473.41	323.03	332.14	258.57	320.8	190.34	106.63	265.87	486.75	182.55	295.11	312.0	356.05	486.75	223.41	0.0	563.18	1583.71	698.41	656.11	848.22
NEURL4	473.41	201.25	500.46	463.65	660.68	563.18	392.44	684.02	320.8	150.17	441.64	616.37	532.74	684.02	466.88	669.92	325.29	249.73	583.07	131.51	161.02	93.35	163.28	84.63	159.9	111.21	144.01	108.9	122.64	145.02	66.65	58.71	152.28	148.09	98.73	83.45	132.44	176.29	234.57	155.5	149.12	146.03	142.01	137.14	269.6	98.73	158.79	62.56	157.68	108.14	152.28	32.82	139.07	185.11	145.02	0.0	429.54	665.29	334.46	387.02	679.29
NISCH	1757.34	1088.92	1685.71	1350.18	1909.85	1857.6	1806.78	2240.11	1529.73	921.88	2163.77	1883.54	1397.83	1407.55	1498.22	1540.37	1135.2	1059.11	2664.15	348.71	490.14	348.71	738.29	217.27	426.57	287.01	366.09	253.23	450.94	420.68	289.02	269.6	483.38	285.03	246.28	412.0	221.86	486.75	555.41	334.46	521.76	389.72	432.53	460.44	373.81	291.04	466.88	371.22	400.71	307.69	379.04	220.32	379.04	507.46	348.71	0.0	1199.98	2240.11	1477.58	1477.58	1950.0
NLGN2	457.25	164.42	429.54	432.53	409.15	503.95	403.5	303.44	356.05	224.97	346.29	403.5	389.72	896.64	371.22	426.57	316.37	198.47	575.03	50.98	64.8	81.14	156.59	5.68	76.71	129.69	54.72	24.81	77.79	30.12	10.16	76.17	59.55	48.52	23.25	77.25	114.36	281.09	135.24	22.92	155.5	24.28	22.1	64.8	47.17	29.91	111.99	107.38	114.36	58.3	155.5	17.64	55.1	116.78	117.6	0.0	291.04	591.22	170.25	127.0	201.25
NPIPA1	1059.11	1378.57	2777.33	1183.45	1936.53	1923.14	1175.27	1870.53	1857.6	728.11	1870.53	2004.85	1331.57	1467.37	1467.37	1467.37	1857.6	1259.69	1923.14	127.0	656.11	289.02	540.19	182.55	371.22	334.46	403.5	173.85	555.41	366.09	218.79	224.97	343.89	181.28	198.47	194.36	239.52	579.04	693.58	363.56	400.71	275.28	346.29	231.32	339.14	215.77	629.35	329.84	435.55	264.03	483.38	104.42	242.88	547.75	314.17	0.0	1233.75	2018.8	1081.39	1088.92	2319.15
NYNRIN	232.94	130.6	59.97	190.34	159.9	187.71	128.79	178.77	107.38	65.26	149.12	135.24	117.6	82.87	129.69	113.56	181.28	45.21	176.29	29.7	33.3	16.88	400.71	21.63	48.52	206.94	45.53	18.29	24.11	185.11	94.01	34.75	75.64	89.51	13.72	49.21	5.19	43.32	45.85	17.64	37.85	49.91	90.77	55.89	21.01	21.63	36.79	12.27	28.04	33.54	41.81	29.91	50.63	183.82	28.65	0.0	242.88	202.66	221.86	120.1	318.57
ORAI2	656.11	432.53	329.84	718.08	444.72	373.81	708.18	346.29	368.65	480.04	559.28	361.04	403.5	486.75	595.34	808.0	476.71	503.95	466.88	37.32	83.45	36.01	371.22	28.04	309.83	120.94	47.17	74.58	78.34	147.06	32.82	63.45	40.07	63.89	60.82	156.59	180.02	88.88	104.42	40.64	20.41	52.08	49.56	90.77	55.1	42.11	395.18	10.08	17.64	55.49	18.56	7.28	94.01	31.45	47.5	171.45	392.44	309.83	275.28	211.31	463.65
ORM1	68.07	26.28	18.7	6516.03	0.0	0.0	15.11	32.82	11.21	111.21	1.43	1.57	67.12	2777.33	6.94	205.5	30.78	14.67	6.26	1864037.21	1524599.69	1890058.21	2156109.97	1282030.25	4136558.78	3676749.88	3070409.25	2691538.19	1482909.4	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	3313672.43	3780117.42	4165330.83	2986448.72	2082664.91	3313672.43	2617937.91	2654482.97	5572911.22	8505707.6	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	0.0	51.35	493.56	1715263.94	3223059.86	24.99
PACS2	808.0	567.1	1268.46	896.64	1088.92	1096.5	1208.34	1350.18	1030.12	684.02	1199.98	1437.15	872.1	1397.83	1023.0	1051.79	830.75	878.17	1225.22	194.36	376.41	221.86	358.54	132.44	265.87	159.9	246.28	167.9	363.56	262.2	87.65	169.07	255.0	289.02	103.69	194.36	149.12	236.21	343.89	206.94	202.66	218.79	234.57	204.07	341.51	167.9	220.32	246.28	211.31	223.41	226.54	166.73	251.48	301.33	242.88	0.0	1340.84	1191.69	915.51	785.88	1233.75
PDLIM4	1397.83	460.44	2573.36	2004.85	1350.18	2835.7	808.0	1769.57	2163.77	1508.65	547.75	1832.01	1977.24	1806.78	1259.69	791.35	759.08	759.08	2240.11	6.94	13.22	17.38	94.01	3.2	37.05	8.92	80.01	105.15	583.07	7.88	8.19	41.81	5.87	18.29	1.2	2.23	7.22	14.67	19.82	34.26	28.04	62.56	0.31	49.21	6.67	4.5	176.29	42.71	4.1	14.35	1.08	6.06	23.93	13.72	27.25	0.0	1359.57	2047.0	688.78	414.87	476.71
PKD1	921.88	490.14	1529.73	909.17	1487.87	1508.65	1159.07	1745.2	896.64	500.46	1437.15	1639.59	1151.06	1286.18	1111.82	1233.75	1023.0	802.41	1561.89	133.36	348.71	98.73	371.22	136.19	480.04	271.48	279.14	167.9	305.55	293.07	85.82	198.47	397.93	193.01	59.13	218.79	223.41	356.05	444.72	248.0	226.54	307.69	334.46	318.57	256.78	217.27	423.61	74.06	237.86	289.02	295.11	88.26	255.0	312.0	303.44	0.0	842.36	1594.73	470.14	400.71	1304.15
PLD6	137.14	81.71	73.54	171.45	81.14	113.56	71.5	102.25	59.97	98.73	63.45	82.87	103.69	79.45	85.82	115.97	95.34	56.68	120.1	61.25	52.82	40.36	60.82	20.26	25.72	28.65	20.71	10.31	42.11	30.56	27.44	19.11	61.68	19.11	32.36	46.18	9.48	25.54	45.53	29.48	43.02	23.42	29.06	42.11	20.56	24.46	30.78	46.5	46.5	18.97	35.25	28.04	21.32	64.34	31.0	0.0	87.03	198.47	189.02	152.28	93.35
PPOX	872.1	363.56	1477.58	1015.93	785.88	748.61	819.3	1268.46	995.0	406.31	848.22	961.07	860.08	1519.15	825.0	819.3	444.72	703.28	934.76	152.28	211.31	223.41	299.25	157.68	153.34	128.79	231.32	106.63	193.01	334.46	102.97	96.68	244.57	218.79	115.16	197.09	89.51	195.72	194.36	86.43	205.5	158.79	231.32	150.17	177.53	162.14	120.1	170.25	155.5	120.1	226.54	163.28	258.57	197.09	199.85	0.0	713.11	759.08	555.41	571.05	802.41
PRPF3	1259.69	1583.71	2032.85	2178.83	1268.46	1216.75	2758.13	1572.76	1447.15	1331.57	1477.58	2018.8	1369.04	2133.97	1721.16	1662.49	941.27	1733.13	1508.65	214.27	476.71	327.56	426.57	187.71	363.56	197.09	242.88	171.45	563.18	441.64	381.68	182.55	297.17	226.54	155.5	189.02	199.85	320.8	318.57	368.65	220.32	264.03	371.22	334.46	612.11	193.01	429.54	353.59	246.28	381.68	500.46	154.42	178.77	287.01	204.07	0.0	1628.26	1369.04	890.44	684.02	1508.65
PTPRS	1023.0	343.89	647.07	708.18	688.78	555.41	785.88	679.29	420.68	277.2	842.36	503.95	412.0	928.3	529.06	305.55	305.55	444.72	665.29	56.68	170.25	92.7	242.88	15.22	194.36	6.62	371.22	93.35	60.39	112.77	25.35	97.36	42.41	260.38	10.39	145.02	103.69	34.51	70.01	121.79	44.89	175.07	291.04	111.99	16.39	55.49	13.72	84.04	62.56	228.13	9.85	46.5	368.65	172.65	248.0	406.31	392.44	1088.92	941.27	713.11	738.29
PYCR2	2240.11	1183.45	2303.12	2956.17	1674.06	1651.0	2193.99	3103.19	1685.71	1427.22	1369.04	2335.28	1417.35	2609.3	1936.53	1950.0	1233.75	2956.17	1757.34	753.83	1023.0	896.64	967.76	1225.22	2090.03	854.13	813.63	860.08	1295.13	723.08	620.67	616.37	738.29	896.64	559.28	693.58	775.05	1369.04	1467.37	974.5	738.29	819.3	842.36	825.0	1378.57	738.29	1397.83	947.83	688.78	848.22	967.76	497.0	698.41	941.27	848.22	0.0	2915.45	2018.8	2271.4	902.89	1277.29
RABL2A	547.75	312.0	967.76	587.13	629.35	493.56	796.86	656.11	529.06	289.02	651.58	780.44	435.55	490.14	620.67	599.49	423.61	403.5	928.3	54.33	117.6	99.43	127.0	44.57	126.12	107.38	77.79	46.84	117.6	69.52	98.73	43.63	178.77	37.32	50.63	120.94	42.41	132.44	154.42	73.03	102.97	63.89	78.34	101.54	173.85	43.02	163.28	103.69	159.9	80.57	132.44	90.14	71.0	178.77	68.55	0.0	571.05	679.29	423.61	327.56	884.29
RABL2B	854.13	616.37	1208.34	1096.5	860.08	738.29	674.59	669.92	796.86	397.93	890.44	651.58	854.13	896.64	854.13	624.99	486.75	713.11	780.44	176.29	253.23	206.94	221.86	122.64	271.48	162.14	131.51	105.15	193.01	103.69	202.66	100.83	220.32	124.37	119.26	180.02	74.58	301.33	332.14	150.17	221.86	151.22	171.45	244.57	241.19	99.43	269.6	134.3	231.32	121.79	197.09	87.65	170.25	318.57	176.29	0.0	547.75	775.05	518.15	363.56	1081.39
RAPGEF3	718.08	332.14	1001.93	928.3	860.08	723.08	403.5	1216.75	463.65	368.65	1111.82	1508.65	493.56	341.51	934.76	412.0	209.84	518.15	1111.82	22.92	64.34	28.65	131.51	13.12	82.87	31.9	59.13	26.1	39.79	27.05	32.36	30.34	38.95	21.78	12.0	40.07	20.56	56.28	69.03	21.63	45.21	26.1	24.28	59.55	32.82	17.77	113.56	35.5	33.54	27.05	20.71	16.51	40.93	88.26	29.91	0.0	444.72	307.69	299.25	669.92	1883.54
RBM5	3212.66	2555.58	3443.31	2178.83	3060.45	2591.27	3081.75	3443.31	2875.3	1769.57	3491.39	3690.52	2287.2	2367.9	2627.46	2777.33	2271.4	1819.35	3716.2	514.56	842.36	563.18	848.22	287.01	571.05	438.59	624.99	397.93	1191.69	579.04	543.96	356.05	748.61	417.77	500.46	454.09	591.22	679.29	688.78	629.35	629.35	629.35	563.18	521.76	785.88	429.54	708.18	490.14	665.29	400.71	728.11	507.46	563.18	733.19	480.04	0.0	1883.54	3639.7	2061.24	1477.58	2956.17
RGL2	1963.57	1322.37	6079.61	5366.37	3768.09	2609.3	3190.46	5147.73	3395.89	1487.87	5711.87	4937.99	2400.97	2485.67	3665.02	4481.23	1870.53	2976.74	4239.45	277.2	543.96	275.28	1340.84	163.28	348.71	384.34	281.09	183.82	583.07	571.05	214.27	181.28	480.04	285.03	140.04	642.59	158.79	723.08	417.77	209.84	540.19	376.41	303.44	373.81	483.38	201.25	400.71	108.9	343.89	183.82	366.09	143.01	563.18	543.96	316.37	0.0	1477.58	2875.3	2163.77	1733.13	3235.01
RIN1	221.86	64.8	244.57	209.84	193.01	264.03	159.9	220.32	273.37	95.34	145.02	256.78	185.11	287.01	178.77	161.02	82.87	169.07	287.01	13.72	32.13	21.94	63.45	16.51	96.01	28.86	48.52	23.59	157.68	12.93	16.27	28.86	13.93	42.71	20.71	8.25	32.59	30.78	43.02	84.04	12.55	16.51	6.84	23.08	31.0	12.09	165.57	8.92	3.44	21.63	32.36	3.2	20.26	20.86	13.03	417.77	429.54	226.54	251.48	144.01	81.71
RNF187	8134.41	5292.48	7857.29	8421.31	4903.87	5076.84	7081.29	8658.09	6471.02	7589.61	4639.29	7642.41	5633.22	7382.04	6381.92	7180.15	5633.22	5913.33	5479.15	3540.14	7803.01	3589.58	2895.31	2720.15	8134.41	2627.46	2701.35	1870.53	6079.61	3325.99	2739.08	1757.34	2468.49	2997.45	2645.74	2193.99	2976.74	7433.4	17317.18	2935.74	2090.03	3303.0	4736.79	2451.44	4123.49	2178.83	5555.65	3589.58	2796.65	2061.24	3874.05	3280.18	1870.53	3928.15	7642.41	0.0	6745.86	6337.83	7180.15	9540.5	5329.3
RP11-268J15.5	279.14	79.45	1119.56	400.71	242.88	99.43	108.9	616.37	275.28	75.64	119.26	595.34	182.55	211.31	132.44	295.11	145.02	77.79	223.41	8.19	12.27	8.78	16.27	2.66	11.64	0.18	10.39	1.48	50.98	3.2	4.98	3.82	5.5	5.96	0.0	4.74	7.75	8.78	21.78	6.57	5.19	7.34	6.94	5.41	1.27	1.51	14.03	5.23	2.53	3.29	3.59	0.4	8.19	4.54	8.92	0.0	194.36	150.17	47.17	22.92	224.97
RP11-295P9.3	460.44	218.79	480.04	271.48	384.34	309.83	493.56	463.65	239.52	316.37	353.59	466.88	358.54	353.59	299.25	536.45	295.11	143.01	463.65	30.12	86.43	49.21	127.89	24.46	57.08	31.22	48.18	31.45	100.13	58.71	40.36	34.02	53.95	34.75	18.56	55.1	33.78	98.04	71.0	71.0	61.25	66.18	75.11	41.52	124.37	27.05	102.25	61.68	34.75	38.67	77.79	13.32	35.25	80.01	45.85	0.0	371.22	325.29	132.44	135.24	571.05
RP11-93B14.6	1.71	2.25	0.69	4.66	2.97	2.23	2.84	1.03	0.71	0.85	1.2	0.68	0.39	2.05	2.25	2.16	1.14	1.01	1.04	0.58	0.82	0.64	0.97	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.45	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.39	0.48	0.97	0.0	0.0	0.0	14.45	1.58	0.0	0.0	1.27
SFI1	1225.22	373.81	1447.15	848.22	1008.9	660.68	802.41	759.08	813.63	253.23	1030.12	1407.55	934.76	1268.46	728.11	842.36	536.45	269.6	884.29	53.95	126.12	99.43	163.28	21.78	97.36	69.03	99.43	34.51	108.9	123.5	31.22	35.0	90.77	57.49	39.79	65.72	96.01	120.94	147.06	43.63	117.6	90.14	62.56	65.72	206.94	66.65	161.02	97.36	82.29	36.01	104.42	51.35	88.88	157.68	31.22	0.0	616.37	764.36	368.65	348.71	775.05
SGSM2	1605.83	723.08	2018.8	1857.6	2609.3	2335.28	1832.01	2895.31	1417.35	444.72	1605.83	2537.92	2303.12	2935.74	1991.0	1745.2	1250.98	1529.73	1745.2	110.43	271.48	185.11	450.94	57.08	237.86	248.0	204.07	100.13	178.77	579.04	81.71	111.21	291.04	123.5	177.53	244.57	743.43	285.03	281.09	201.25	258.57	161.02	199.85	226.54	297.17	128.79	269.6	157.68	220.32	163.28	299.25	87.65	248.0	148.09	182.55	0.0	698.41	2119.22	2178.83	1697.45	1936.53
SPTBN4	163.28	64.34	55.89	132.44	68.07	67.12	54.72	40.07	55.49	42.11	109.66	64.8	279.14	89.51	53.95	87.03	53.57	52.45	83.45	22.1	26.28	19.39	35.76	1.97	1.6	42.71	8.71	29.91	15.91	12.83	9.13	7.28	49.91	17.0	9.27	29.7	3.14	3.23	26.1	27.44	21.32	2.51	8.38	20.41	33.78	9.56	83.45	5.5	57.49	50.27	56.28	41.81	12.09	9.93	27.64	0.0	52.45	82.29	43.32	49.91	73.54
STAT6	3168.41	2555.58	2895.31	2434.5	2627.46	2224.63	1709.26	3146.52	1594.73	1757.34	2591.27	2537.92	2485.67	1870.53	2367.9	2777.33	1870.53	1628.26	3124.78	1529.73	2119.22	1059.11	3060.45	698.41	1685.71	1066.48	1096.5	981.29	2520.38	1733.13	728.11	791.35	1674.06	1286.18	813.63	1216.75	791.35	1628.26	2032.85	1119.56	2287.2	1551.09	995.0	1037.29	1769.57	1467.37	1242.34	961.07	1896.65	698.41	1295.13	532.74	1477.58	2133.97	1286.18	1721.16	2915.45	3168.41	3614.55	2303.12	2303.12
STK36	796.86	698.41	954.43	934.76	743.43	607.87	1001.93	1037.29	674.59	460.44	934.76	1088.92	813.63	1233.75	525.39	791.35	575.03	379.04	947.83	138.1	150.17	152.28	178.77	49.91	163.28	73.03	148.09	75.64	146.03	121.79	99.43	76.71	309.83	152.28	63.89	104.42	56.28	255.0	258.57	83.45	249.73	117.6	151.22	178.77	185.11	59.13	312.0	82.29	187.71	74.06	161.02	44.25	209.84	262.2	154.42	0.0	1044.52	915.51	295.11	293.07	1104.13
SWAP70	633.73	1066.48	587.13	616.37	848.22	733.19	890.44	543.96	571.05	947.83	1015.93	583.07	423.61	466.88	802.41	819.3	830.75	909.17	764.36	151.22	108.9	112.77	255.0	158.79	191.67	110.43	147.06	162.14	228.13	91.41	175.07	105.15	127.0	155.5	185.11	125.24	104.42	132.44	129.69	100.13	111.99	198.47	119.26	99.43	59.55	176.29	177.53	84.63	68.55	81.71	55.1	78.89	191.67	122.64	134.3	417.77	371.22	466.88	205.5	242.88	563.18
SYNGAP1	336.79	208.38	297.17	441.64	358.54	339.14	283.05	309.83	148.09	166.73	392.44	329.84	341.51	215.77	305.55	688.78	241.19	307.69	426.57	12.36	35.5	19.68	175.07	15.68	117.6	22.26	39.79	17.51	85.82	14.67	25.72	31.45	48.18	44.89	31.0	57.89	19.82	41.52	90.14	25.35	61.25	65.72	43.32	64.8	18.7	19.39	226.54	31.0	28.24	26.67	16.15	10.79	32.82	51.35	48.87	0.0	231.32	242.88	61.68	67.59	314.17
TAZ	543.96	389.72	878.17	551.56	748.61	624.99	624.99	896.64	543.96	358.54	759.08	878.17	603.67	967.76	555.41	743.43	547.75	429.54	785.88	260.38	409.15	264.03	307.69	194.36	289.02	215.77	256.78	202.66	275.28	237.86	155.5	141.02	295.11	253.23	133.36	162.14	149.12	351.14	279.14	236.21	242.88	211.31	281.09	236.21	301.33	159.9	368.65	260.38	293.07	211.31	312.0	166.73	242.88	371.22	265.87	0.0	842.36	941.27	493.56	450.94	934.76
TBC1D25	341.51	251.48	218.79	279.14	295.11	336.79	289.02	426.57	281.09	229.72	253.23	320.8	279.14	234.57	336.79	267.73	275.28	314.17	295.11	166.73	163.28	96.01	146.03	55.89	199.85	132.44	110.43	121.79	271.48	96.68	63.0	153.34	136.19	133.36	108.14	74.58	267.73	244.57	178.77	130.6	190.34	152.28	119.26	114.36	101.54	99.43	169.07	105.89	135.24	89.51	94.01	120.94	170.25	176.29	144.01	0.0	265.87	293.07	181.28	181.28	237.86
TBKBP1	204.07	95.34	262.2	190.34	368.65	224.97	198.47	265.87	246.28	193.01	180.02	264.03	178.77	186.4	236.21	218.79	94.01	124.37	275.28	37.59	74.58	21.01	134.3	11.38	47.5	17.25	38.67	21.01	112.77	19.11	15.11	15.34	40.07	26.47	10.0	43.02	9.41	67.59	64.34	25.72	34.75	36.01	28.04	31.45	39.5	16.15	64.34	22.59	37.05	18.7	17.51	12.55	52.82	34.02	34.26	0.0	228.13	348.71	170.25	194.36	232.94
THBS3	854.13	603.67	2400.97	1225.22	967.76	981.29	1583.71	1674.06	866.07	599.49	796.86	1059.11	1143.1	1857.6	941.27	1388.16	688.78	848.22	995.0	133.36	206.94	169.07	242.88	56.68	112.77	109.66	120.94	90.77	115.16	121.79	103.69	70.01	224.97	135.24	55.49	135.24	44.89	234.57	199.85	154.42	193.01	107.38	136.19	153.34	116.78	81.14	173.85	206.94	214.27	83.45	231.32	103.69	133.36	228.13	123.5	0.0	1030.12	1073.91	351.14	571.05	954.43
TTLL3	934.76	500.46	1407.55	684.02	1081.39	890.44	1073.91	967.76	723.08	387.02	791.35	1073.91	612.11	1127.35	819.3	1023.0	620.67	660.68	1151.06	52.08	96.01	74.06	215.77	26.86	101.54	50.27	85.22	33.3	153.34	94.67	45.85	21.78	104.42	52.08	28.65	59.55	73.54	115.16	74.06	66.18	158.79	100.83	75.11	84.04	55.49	44.89	103.69	95.34	51.35	69.52	99.43	39.5	87.03	92.7	71.0	0.0	780.44	1477.58	693.58	423.61	1369.04
TUB	175.07	112.77	52.45	170.25	90.77	153.34	159.9	50.98	87.65	36.27	66.18	75.11	87.65	37.59	72.52	114.36	43.94	57.49	115.97	3.17	19.25	8.85	43.94	2.71	17.9	4.46	13.83	3.11	11.38	7.63	10.63	7.63	9.34	11.38	0.13	5.73	4.74	29.7	7.28	6.52	2.63	26.67	5.5	3.69	1.03	1.23	15.56	8.85	11.64	12.83	0.89	2.84	7.17	9.78	17.9	0.0	55.1	170.25	76.71	43.63	389.72
TUBGCP6	718.08	312.0	1104.13	718.08	995.0	896.64	571.05	769.69	595.34	244.57	1044.52	796.86	872.1	995.0	775.05	723.08	339.14	708.18	1051.79	164.42	329.84	164.42	301.33	90.14	248.0	169.07	267.73	191.67	395.18	236.21	125.24	133.36	293.07	198.47	115.97	194.36	182.55	214.27	251.48	242.88	164.42	217.27	220.32	264.03	346.29	164.42	271.48	220.32	211.31	253.23	236.21	141.02	277.2	249.73	204.07	0.0	791.35	1081.39	785.88	854.13	1216.75
USP21	1001.93	718.08	1340.84	1225.22	825.0	872.1	1183.45	1561.89	1015.93	708.18	723.08	1066.48	854.13	1225.22	748.61	988.12	603.67	1066.48	1066.48	108.14	262.2	167.9	264.03	73.54	167.9	157.68	126.12	82.29	183.82	166.73	76.17	90.14	223.41	82.87	114.36	142.01	90.77	220.32	234.57	115.97	220.32	123.5	110.43	155.5	212.78	73.03	239.52	92.05	177.53	82.87	181.28	53.57	110.43	218.79	127.0	0.0	890.44	866.07	629.35	525.39	954.43
