	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4700.11A.01R.1541.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.X4EO.1126.SM.4QARQ	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.R5.A805.01A.11R.A36D.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.HU.A4GX.01A.12R.A251.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB
NRM	229.72	209.84	400.71	262.2	172.65	81.71	95.34	131.51	109.66	106.63	108.9	113.56	229.72	540.19	209.84	108.14	165.57	64.34	182.55	92.05	389.72	1096.5	872.1	212.78	693.58	454.09	444.72	718.08	138.1	312.0	206.94	176.29	336.79	314.17
NUF2	218.79	105.15	133.36	113.56	190.34	13.93	9.63	19.39	9.2	9.56	1.14	11.64	14.89	44.25	8.51	2.12	1.39	3.82	1.77	1.31	205.5	309.83	358.54	110.43	136.19	262.2	332.14	147.06	22.59	34.02	17.9	49.56	13.42	50.27
OSBPL7	934.76	1378.57	1437.15	1104.13	1487.87	25.35	94.67	75.64	72.52	57.49	36.53	75.64	97.36	217.27	116.78	23.08	17.25	14.03	26.1	17.0	1208.34	1617.0	575.03	1059.11	718.08	329.84	1088.92	583.07	226.54	708.18	785.88	808.0	241.19	624.99
PCNA	2895.31	2090.03	1674.06	1709.26	2434.5	860.08	1001.93	1104.13	1697.45	1096.5	974.5	1388.16	995.0	1088.92	1001.93	470.14	571.05	507.46	305.55	525.39	2400.97	3018.3	2485.67	2018.8	2468.49	5633.22	2915.45	3443.31	656.11	1561.89	1216.75	915.51	1208.34	1437.15
POLE2	217.27	120.1	190.34	149.12	176.29	15.34	28.65	50.27	69.03	46.5	5.45	35.76	41.81	47.5	11.04	58.71	40.64	42.41	39.5	11.3	314.17	305.55	435.55	138.1	229.72	295.11	303.44	265.87	98.04	67.12	54.33	78.34	44.25	71.0
POLQ	60.39	37.59	50.98	33.78	56.28	1.81	0.97	5.23	1.62	3.35	0.0	3.92	3.17	6.36	3.03	0.09	4.31	0.01	0.02	0.36	88.88	73.54	95.34	41.22	70.01	69.03	150.17	38.67	9.78	18.56	10.24	7.63	4.98	15.45
PRC1	866.07	674.59	536.45	642.59	934.76	117.6	106.63	162.14	86.43	215.77	59.97	185.11	241.19	289.02	51.71	31.9	32.59	34.02	29.27	44.89	738.29	1175.27	1030.12	555.41	753.83	536.45	1397.83	988.12	171.45	231.32	185.11	249.73	206.94	309.83
PRR11	143.01	90.77	87.65	73.03	124.37	22.1	8.06	15.45	17.77	14.56	0.0	12.0	38.12	85.82	16.27	4.66	14.35	1.64	1.73	3.0	277.2	129.69	182.55	198.47	170.25	120.94	305.55	186.4	30.12	81.71	28.04	84.63	15.8	64.34
RAD51AP1	285.03	177.53	111.21	163.28	177.53	21.16	17.13	39.22	63.45	43.32	13.93	34.51	70.01	50.98	32.59	18.84	8.99	8.65	6.16	4.66	183.82	693.58	126.12	141.02	224.97	438.59	417.77	273.37	48.18	64.34	23.42	28.45	38.4	60.39
RDM1	59.13	50.98	33.54	63.45	36.01	5.32	0.48	6.11	1.99	7.11	0.0	7.22	6.26	23.42	2.97	2.81	2.39	5.11	0.0	4.13	80.01	119.26	61.68	15.22	40.93	52.08	24.99	14.35	6.06	8.32	10.55	12.45	0.0	9.06
RECQL4	318.57	376.41	412.0	194.36	450.94	75.11	141.02	87.03	161.02	102.97	78.34	236.21	48.18	112.77	29.91	110.43	94.01	22.26	82.87	20.11	500.46	753.83	698.41	567.1	275.28	684.02	748.61	228.13	49.21	73.03	70.01	57.08	57.89	151.22
RFC4	426.57	267.73	392.44	161.02	373.81	118.43	202.66	185.11	212.78	255.0	165.57	255.0	226.54	356.05	187.71	99.43	190.34	82.29	111.21	57.08	540.19	543.96	836.53	435.55	698.41	743.43	669.92	688.78	234.57	307.69	180.02	191.67	320.8	381.68
RRM1	713.11	518.15	463.65	470.14	543.96	438.59	269.6	583.07	660.68	543.96	275.28	525.39	529.06	361.04	366.09	281.09	170.25	165.57	131.51	164.42	1151.06	872.1	447.82	536.45	454.09	684.02	698.41	647.07	435.55	543.96	620.67	412.0	529.06	563.18
RTKN2	67.59	49.91	35.5	41.81	56.28	2.66	5.23	4.7	1.58	1.89	6.16	1.45	5.36	7.63	8.92	0.0	1.62	0.0	0.0	0.0	21.78	69.03	39.79	26.86	68.55	40.36	57.89	38.67	19.97	13.93	18.16	13.32	7.94	33.06
SASS6	63.89	40.07	60.39	29.91	42.41	31.22	16.27	26.28	25.91	14.67	10.96	25.17	29.48	28.45	28.45	3.86	15.8	9.06	2.25	3.5	94.67	58.3	98.73	66.65	59.13	141.02	164.42	71.0	17.51	39.79	45.21	28.45	67.59	60.39
SCAI	42.11	38.67	38.12	39.5	44.25	34.51	10.47	34.02	25.72	20.26	20.11	51.35	27.05	24.63	43.02	16.51	29.7	8.45	17.9	7.75	47.84	119.26	86.43	44.57	82.29	45.53	135.24	72.52	19.25	52.45	55.49	35.0	37.32	48.87
SFT2D2	251.48	231.32	190.34	218.79	185.11	91.41	112.77	111.21	209.84	112.77	105.15	89.51	96.01	202.66	241.19	132.44	123.5	171.45	123.5	141.02	397.93	563.18	180.02	303.44	392.44	309.83	412.0	265.87	204.07	221.86	180.02	128.79	214.27	241.19
SGOL1	57.49	72.01	75.11	46.84	82.87	8.85	9.06	12.18	4.78	8.0	3.89	7.22	9.41	18.03	5.45	1.13	3.56	0.0	8.38	2.84	185.11	109.66	162.14	111.99	78.89	197.09	267.73	144.01	16.03	28.45	22.26	14.78	35.5	42.11
SGOL2	66.18	55.89	43.94	40.93	54.33	7.94	7.11	11.64	17.0	7.0	14.45	13.83	29.7	26.28	13.32	5.36	6.16	5.59	0.0	0.99	139.07	74.06	107.38	82.87	96.68	54.72	135.24	73.54	20.26	26.1	24.11	23.93	24.63	53.57
SIPA1L1	830.75	599.49	579.04	743.43	842.36	316.37	323.03	293.07	536.45	293.07	373.81	255.0	241.19	780.44	684.02	251.48	348.71	341.51	387.02	563.18	1088.92	1350.18	1159.07	647.07	921.88	890.44	909.17	656.11	543.96	1322.37	866.07	607.87	503.95	669.92
SKA1	89.51	72.52	52.45	43.94	71.5	3.59	8.19	10.88	6.78	8.99	0.54	8.25	9.41	19.82	2.01	1.69	0.0	1.33	0.0	1.36	143.01	37.32	60.82	87.65	45.21	68.55	171.45	164.42	13.72	21.94	12.64	11.55	19.97	30.78
SKP2	195.72	194.36	154.42	152.28	163.28	40.64	35.25	40.07	33.3	44.57	40.93	61.68	58.71	83.45	64.8	154.42	232.94	59.97	12.27	19.11	208.38	490.14	166.73	170.25	193.01	267.73	299.25	332.14	25.91	112.77	150.17	94.67	113.56	206.94
SMC4	559.28	483.38	454.09	414.87	521.76	180.02	339.14	457.25	175.07	212.78	228.13	423.61	312.0	336.79	153.34	50.27	81.71	102.25	98.73	197.09	1685.71	703.28	2271.4	1023.0	860.08	1119.56	1963.57	1208.34	170.25	435.55	358.54	307.69	348.71	483.38
SP2	476.71	356.05	334.46	387.02	314.17	305.55	134.3	218.79	320.8	262.2	197.09	154.42	373.81	194.36	414.87	104.42	78.34	148.09	63.45	131.51	486.75	476.71	417.77	438.59	463.65	389.72	540.19	620.67	412.0	555.41	320.8	366.09	318.57	460.44
SPDL1	228.13	187.71	152.28	152.28	107.38	47.5	35.5	79.45	47.5	49.91	46.18	85.82	101.54	180.02	84.04	40.07	21.16	5.82	17.77	7.82	279.14	305.55	237.86	237.86	299.25	193.01	420.68	165.57	52.82	113.56	100.83	90.77	65.72	126.12
SRC	1447.15	2104.58	1709.26	2018.8	2018.8	551.56	295.11	450.94	995.0	503.95	346.29	432.53	444.72	1023.0	638.15	111.21	256.78	132.44	28.65	69.52	2119.22	4769.75	3081.75	3690.52	1427.22	1639.59	2682.69	3060.45	1977.24	2400.97	1508.65	1498.22	500.46	2018.8
STIL	95.34	163.28	111.21	93.35	124.37	11.64	10.08	9.93	10.0	9.06	8.92	14.56	12.18	23.08	10.96	3.38	10.08	2.86	6.21	1.75	316.37	334.46	136.19	81.71	142.01	239.52	293.07	231.32	19.53	56.68	28.45	23.42	21.78	50.27
STK38	1529.73	1359.57	1369.04	1359.57	1628.26	185.11	90.77	163.28	153.34	120.94	612.11	143.01	281.09	426.57	540.19	152.28	381.68	133.36	107.38	98.73	1096.5	470.14	624.99	688.78	1015.93	733.19	928.3	791.35	258.57	497.0	441.64	447.82	444.72	483.38
TDP1	190.34	164.42	112.77	190.34	178.77	139.07	39.22	117.6	144.01	131.51	59.55	105.15	120.1	159.9	159.9	52.08	57.89	27.84	24.63	38.67	205.5	320.8	211.31	206.94	307.69	287.01	275.28	241.19	135.24	154.42	118.43	138.1	129.69	146.03
TIMELESS	277.2	301.33	239.52	139.07	271.48	120.94	116.78	128.79	224.97	106.63	112.77	130.6	132.44	172.65	137.14	84.04	150.17	91.41	46.5	78.34	368.65	251.48	684.02	291.04	392.44	473.41	738.29	389.72	115.97	189.02	154.42	122.64	79.45	182.55
TMEM62	743.43	684.02	651.58	638.15	738.29	476.71	406.31	297.17	191.67	224.97	246.28	307.69	271.48	279.14	273.37	269.6	376.41	260.38	341.51	297.17	633.73	591.22	583.07	457.25	551.56	791.35	819.3	660.68	303.44	463.65	409.15	339.14	202.66	400.71
TMPO	921.88	890.44	713.11	759.08	825.0	358.54	281.09	493.56	808.0	583.07	353.59	358.54	1151.06	426.57	536.45	316.37	620.67	275.28	99.43	575.03	1225.22	1662.49	1001.93	954.43	1023.0	2224.63	2240.11	1159.07	432.53	679.29	728.11	567.1	595.34	909.17
TONSL	172.65	166.73	165.57	133.36	172.65	15.45	18.56	23.93	40.07	16.88	13.83	24.99	19.11	28.86	23.76	10.16	33.54	9.34	6.26	8.25	201.25	629.35	258.57	177.53	111.99	224.97	392.44	161.02	48.87	80.01	84.63	70.51	52.82	119.26
TOP2A	1191.69	813.63	693.58	679.29	981.29	51.71	27.44	75.11	55.49	68.55	15.22	62.56	127.0	277.2	14.03	16.03	14.89	14.78	10.31	11.3	1447.15	6561.36	3190.46	674.59	921.88	1250.98	1844.76	1340.84	63.89	218.79	88.88	389.72	22.1	262.2
TOPBP1	353.59	316.37	336.79	297.17	400.71	209.84	127.89	201.25	163.28	212.78	150.17	283.05	299.25	228.13	163.28	76.17	120.94	41.22	120.94	71.0	579.04	497.0	463.65	450.94	748.61	551.56	915.51	450.94	169.07	320.8	211.31	297.17	224.97	293.07
TPX2	521.76	493.56	361.04	307.69	511.0	30.78	43.02	46.5	48.52	61.25	4.7	71.5	80.01	148.09	9.48	29.91	27.84	17.25	6.89	54.33	420.68	525.39	902.89	281.09	429.54	555.41	825.0	769.69	28.04	99.43	38.4	142.01	85.82	130.6
TRIM59	89.51	83.45	65.72	46.84	84.63	17.9	35.5	37.59	28.65	24.11	31.0	48.87	71.5	73.54	27.84	2.61	4.78	7.06	17.51	0.71	138.1	150.17	223.41	94.01	107.38	199.85	199.85	87.65	33.54	49.21	61.25	48.87	68.07	84.04
TRIP13	85.82	110.43	90.14	91.41	82.87	14.89	7.82	17.13	17.38	17.25	11.13	24.46	40.36	76.71	22.1	1.93	3.5	3.14	14.14	2.89	226.54	226.54	327.56	218.79	264.03	211.31	181.28	215.77	23.25	80.01	80.01	32.82	72.01	71.5
TTC13	450.94	698.41	486.75	476.71	669.92	70.01	57.08	81.71	49.21	38.12	67.59	64.8	77.79	211.31	102.25	71.0	103.69	68.55	89.51	36.79	490.14	507.46	303.44	412.0	507.46	197.09	802.41	429.54	152.28	348.71	291.04	273.37	178.77	237.86
TTLL4	264.03	361.04	450.94	264.03	473.41	106.63	100.13	82.87	176.29	58.3	241.19	66.18	125.24	356.05	176.29	81.14	301.33	353.59	529.06	248.0	703.28	1199.98	1199.98	669.92	642.59	624.99	1015.93	703.28	389.72	490.14	392.44	426.57	159.9	507.46
UNC93B1	1199.98	1030.12	1183.45	1015.93	1277.29	279.14	361.04	376.41	379.04	277.2	146.03	156.59	150.17	536.45	307.69	264.03	171.45	202.66	123.5	158.79	1457.23	1794.29	1023.0	1709.26	1331.57	2047.0	1628.26	2224.63	587.13	928.3	813.63	934.76	486.75	848.22
VANGL1	78.34	120.1	80.57	117.6	120.1	41.52	68.07	43.63	113.56	41.81	39.5	54.72	43.32	118.43	127.0	23.59	28.45	31.45	17.25	38.95	199.85	159.9	84.63	182.55	215.77	137.14	191.67	115.16	68.55	191.67	80.01	55.89	127.89	159.9
VWA3B	41.52	65.26	46.84	50.27	75.11	0.0	0.0	1.38	0.38	0.0	0.0	0.46	0.42	3.99	1.45	10.71	3.59	0.73	6.31	0.75	49.21	78.34	10.63	93.35	4.31	22.43	39.22	31.67	12.74	40.07	24.99	21.32	6.73	28.45
WDHD1	116.78	53.57	26.47	36.53	67.12	37.59	21.94	43.94	47.17	29.27	35.25	29.27	46.5	29.27	43.63	17.38	9.06	11.13	21.47	6.31	82.87	139.07	120.1	55.89	143.01	129.69	172.65	110.43	23.93	25.91	24.28	24.81	53.57	30.34
WDR62	71.0	66.18	58.71	38.67	68.07	7.69	9.27	9.56	12.09	13.42	1.11	15.22	12.27	18.29	10.63	3.11	3.14	4.24	3.56	2.84	82.29	93.35	172.65	76.17	61.25	105.15	205.5	73.03	13.93	24.46	11.38	13.12	4.66	36.79
WDR76	92.7	69.52	44.89	41.22	75.64	28.45	33.06	25.91	37.32	36.79	20.26	27.05	44.57	75.64	33.3	5.11	12.45	4.86	9.2	5.96	137.14	166.73	55.89	111.99	150.17	96.01	237.86	87.03	56.68	63.89	37.85	53.57	46.84	74.06
XRCC2	30.56	17.0	27.05	15.22	33.3	2.71	2.89	10.88	8.78	6.67	2.36	8.25	10.79	9.06	9.41	0.0	0.29	0.0	0.0	0.25	57.89	70.01	50.27	30.56	59.97	76.71	92.05	30.78	7.22	11.13	6.52	5.06	10.79	18.7
ZNF695	10.16	28.04	47.5	26.28	34.75	5.32	1.93	8.92	1.2	5.68	1.46	12.93	5.36	3.59	5.45	1.16	0.0	0.0	0.0	0.0	53.19	27.44	37.32	24.81	15.56	47.17	23.08	70.01	0.0	6.01	1.83	15.22	2.12	34.02
