	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
CCHCR1	135.24	76.71	130.6	0.0	0.53	126.12	228.13	287.01	356.05	363.56	620.67	587.13	348.71	723.08	432.53	813.63	470.14	348.71	679.29	660.68	249.73	551.56	575.03	283.05	379.04	379.04	808.0	503.95	332.14	251.48	490.14	587.13	633.73	438.59	256.78	384.34	323.03	429.54	466.88	255.0	281.09	376.41	223.41	583.07	947.83	866.07	647.07	967.76	743.43	450.94	507.46	389.72	521.76	466.88	633.73	314.17	872.1	693.58	332.14	743.43	395.18	854.13	511.0	409.15	583.07	441.64	334.46	808.0	480.04	466.88	429.54	503.95	511.0	327.56	476.71	346.29	273.37	656.11	246.28	466.88	703.28	620.67	836.53	432.53	575.03	486.75	483.38	638.15	555.41	291.04	616.37	334.46	279.14	718.08	934.76	307.69
CENPT	318.57	444.72	329.84	0.0	1.17	400.71	395.18	368.65	314.17	466.88	884.29	1159.07	587.13	819.3	599.49	1322.37	791.35	470.14	629.35	1143.1	575.03	748.61	947.83	473.41	753.83	647.07	1467.37	902.89	366.09	403.5	591.22	1242.34	796.86	813.63	480.04	830.75	529.06	825.0	507.46	480.04	642.59	620.67	351.14	866.07	1135.2	1277.29	1304.15	1175.27	1081.39	961.07	656.11	603.67	713.11	775.05	1001.93	441.64	902.89	981.29	490.14	1183.45	723.08	1233.75	961.07	532.74	981.29	414.87	629.35	1008.9	521.76	1127.35	688.78	896.64	447.82	563.18	872.1	575.03	348.71	567.1	559.28	536.45	1277.29	1340.84	1561.89	486.75	529.06	1030.12	571.05	796.86	934.76	813.63	1159.07	679.29	624.99	967.76	1487.87	414.87
CEP164	149.12	75.64	88.26	183.82	684.02	48.87	262.2	332.14	262.2	218.79	525.39	417.77	358.54	518.15	251.48	518.15	291.04	307.69	403.5	450.94	351.14	305.55	624.99	373.81	246.28	346.29	651.58	447.82	271.48	295.11	438.59	466.88	395.18	432.53	320.8	450.94	381.68	361.04	320.8	325.29	327.56	379.04	234.57	412.0	420.68	518.15	547.75	529.06	384.34	387.02	343.89	293.07	373.81	400.71	457.25	232.94	612.11	480.04	279.14	591.22	303.44	525.39	260.38	356.05	346.29	346.29	260.38	507.46	373.81	540.19	403.5	536.45	371.22	277.2	490.14	361.04	279.14	376.41	195.72	334.46	460.44	599.49	559.28	265.87	406.31	599.49	253.23	450.94	532.74	251.48	460.44	248.0	283.05	373.81	708.18	273.37
CIDEB	58.71	934.76	108.14	0.0	0.58	85.22	93.35	120.1	100.13	103.69	232.94	356.05	169.07	253.23	197.09	336.79	141.02	234.57	152.28	316.37	169.07	205.5	323.03	106.63	221.86	28.04	285.03	142.01	150.17	182.55	256.78	336.79	111.99	275.28	146.03	151.22	142.01	275.28	316.37	182.55	195.72	190.34	117.6	320.8	327.56	368.65	376.41	180.02	152.28	285.03	305.55	260.38	265.87	165.57	269.6	289.02	265.87	199.85	116.78	511.0	256.78	293.07	226.54	199.85	273.37	186.4	110.43	305.55	166.73	353.59	197.09	191.67	133.36	163.28	205.5	361.04	176.29	50.98	145.02	144.01	301.33	194.36	346.29	234.57	154.42	249.73	176.29	185.11	186.4	144.01	438.59	234.57	113.56	334.46	299.25	136.19
CNTROB	376.41	239.52	348.71	0.0	0.77	361.04	417.77	480.04	397.93	414.87	848.22	708.18	563.18	796.86	518.15	785.88	713.11	587.13	674.59	947.83	595.34	575.03	819.3	743.43	426.57	791.35	1175.27	848.22	514.56	521.76	660.68	909.17	703.28	603.67	543.96	679.29	599.49	616.37	688.78	563.18	547.75	629.35	480.04	854.13	872.1	947.83	860.08	1143.1	866.07	764.36	656.11	503.95	718.08	656.11	808.0	463.65	921.88	860.08	480.04	995.0	753.83	1066.48	669.92	587.13	896.64	480.04	599.49	769.69	733.19	1001.93	688.78	921.88	536.45	647.07	967.76	497.0	514.56	642.59	518.15	551.56	974.5	1081.39	1081.39	571.05	547.75	947.83	647.07	1044.52	769.69	718.08	775.05	521.76	567.1	753.83	1268.46	638.15
COL23A1	4.9	8.06	16.27	0.0	0.41	4.28	723.08	376.41	297.17	607.87	2555.58	16045.82	1721.16	1437.15	9673.69	15607.02	1806.78	728.11	909.17	5517.27	384.34	13776.25	4869.99	780.44	4268.94	1059.11	12502.12	2682.69	142.01	842.36	2956.17	10225.32	2104.58	3124.78	1977.24	521.76	954.43	4152.18	2240.11	1304.15	583.07	902.89	486.75	2835.7	15285.81	3639.7	6745.86	5441.3	6607.01	8247.98	2400.97	1407.55	5831.91	1583.71	8778.97	928.3	4388.98	9025.81	215.77	3901.01	915.51	4328.55	2367.9	896.64	4937.99	1594.73	1250.98	3639.7	1447.15	9540.5	1498.22	1572.76	1487.87	1806.78	3901.01	1268.46	417.77	251.48	460.44	780.44	7642.41	4038.61	3491.39	896.64	1044.52	3081.75	579.04	1923.14	6207.38	5041.77	9945.68	7537.18	532.74	6652.97	6079.61	802.41
COL27A1	156.59	153.34	180.02	0.0	0.93	22.92	72.52	29.06	32.13	47.5	361.04	209.84	271.48	486.75	209.84	633.73	191.67	87.03	185.11	511.0	187.71	346.29	197.09	38.4	239.52	172.65	595.34	121.79	129.69	100.83	155.5	181.28	100.13	271.48	92.7	197.09	251.48	114.36	193.01	118.43	161.02	170.25	135.24	429.54	490.14	748.61	497.0	551.56	309.83	303.44	301.33	138.1	90.14	161.02	543.96	128.79	395.18	323.03	69.52	341.51	101.54	229.72	295.11	231.32	201.25	202.66	165.57	285.03	361.04	271.48	107.38	323.03	181.28	125.24	447.82	88.88	90.77	336.79	63.89	74.58	688.78	420.68	525.39	107.38	142.01	249.73	339.14	193.01	305.55	105.15	289.02	162.14	109.66	283.05	607.87	78.34
COLCA1	3.82	0.05	3.32	0.0	0.18	0.53	164.42	126.12	67.59	159.9	220.32	209.84	80.57	138.1	312.0	403.5	157.68	76.17	65.26	163.28	100.83	221.86	417.77	146.03	126.12	251.48	234.57	195.72	61.68	91.41	384.34	423.61	265.87	131.51	35.76	57.49	70.01	158.79	239.52	51.71	73.54	85.22	28.86	106.63	579.04	309.83	392.44	271.48	312.0	193.01	149.12	42.71	450.94	102.97	583.07	165.57	173.85	239.52	71.5	612.11	84.04	204.07	358.54	38.95	140.04	48.52	115.16	371.22	68.07	587.13	87.65	217.27	34.26	74.58	136.19	98.04	101.54	49.56	59.13	193.01	406.31	156.59	275.28	73.54	166.73	155.5	60.82	299.25	665.29	343.89	368.65	172.65	14.24	161.02	180.02	100.13
COLCA2	0.99	0.0	9.06	0.0	0.53	5.36	105.89	65.26	38.4	82.29	376.41	633.73	120.1	199.85	353.59	802.41	195.72	73.54	152.28	332.14	164.42	145.02	511.0	111.99	246.28	187.71	400.71	264.03	191.67	136.19	351.14	703.28	420.68	163.28	98.04	96.68	111.99	287.01	361.04	48.52	123.5	80.01	64.34	293.07	447.82	412.0	536.45	368.65	607.87	371.22	186.4	18.97	426.57	95.34	514.56	215.77	323.03	669.92	56.28	567.1	93.35	518.15	212.78	70.01	444.72	66.65	195.72	624.99	88.88	718.08	91.41	381.68	111.99	121.79	295.11	119.26	64.8	108.14	51.35	141.02	351.14	336.79	1044.52	127.89	312.0	343.89	101.54	358.54	559.28	312.0	769.69	194.36	43.02	312.0	368.65	169.07
CRIPAK	68.55	41.52	85.82	0.0	0.82	3.82	83.45	120.94	127.89	88.26	244.57	189.02	112.77	273.37	115.16	241.19	144.01	110.43	208.38	214.27	134.3	117.6	197.09	206.94	108.14	176.29	381.68	226.54	90.77	120.94	153.34	217.27	199.85	198.47	134.3	193.01	128.79	202.66	127.89	134.3	157.68	171.45	78.89	195.72	161.02	285.03	318.57	224.97	373.81	115.16	127.0	161.02	185.11	232.94	194.36	91.41	204.07	175.07	189.02	244.57	111.21	226.54	199.85	164.42	206.94	115.16	204.07	178.77	161.02	251.48	279.14	156.59	122.64	92.7	149.12	122.64	113.56	122.64	173.85	193.01	173.85	339.14	195.72	114.36	275.28	183.82	150.17	239.52	156.59	133.36	236.21	136.19	132.44	171.45	220.32	101.54
CUBN	4.7	0.0	0.52	0.0	0.24	0.96	26.1	18.43	33.54	41.22	107.38	107.38	73.54	94.01	70.01	145.02	70.01	43.63	29.7	108.14	43.32	68.07	82.29	43.94	66.18	62.56	81.14	75.11	63.89	44.57	55.49	147.06	59.97	87.65	38.95	40.64	29.91	89.51	64.34	37.59	67.59	49.56	30.56	95.34	87.65	108.9	127.0	110.43	77.25	111.21	65.72	40.07	84.63	44.57	90.14	44.25	69.52	82.29	63.89	94.67	48.87	97.36	87.03	49.21	95.34	31.9	25.54	106.63	51.35	150.17	71.0	127.0	45.53	45.53	100.13	59.55	36.27	72.52	16.88	39.79	154.42	185.11	143.01	58.71	77.79	146.03	45.21	73.03	80.57	49.56	90.77	72.01	56.68	89.51	126.12	32.36
DPH7	191.67	162.14	231.32	0.0	0.93	224.97	511.0	551.56	470.14	387.02	785.88	769.69	432.53	753.83	476.71	967.76	463.65	397.93	454.09	909.17	420.68	514.56	884.29	384.34	595.34	483.38	866.07	819.3	426.57	358.54	480.04	890.44	575.03	688.78	429.54	470.14	400.71	587.13	511.0	426.57	490.14	486.75	368.65	688.78	825.0	878.17	947.83	909.17	769.69	660.68	555.41	483.38	563.18	551.56	651.58	400.71	780.44	872.1	476.71	836.53	473.41	842.36	660.68	460.44	660.68	381.68	373.81	848.22	392.44	928.3	473.41	825.0	406.31	414.87	769.69	555.41	351.14	497.0	358.54	441.64	842.36	1143.1	1059.11	395.18	454.09	808.0	423.61	540.19	698.41	599.49	836.53	503.95	466.88	743.43	1081.39	341.51
DTX3	49.56	7.28	56.28	0.0	0.78	148.09	954.43	1073.91	854.13	665.29	1487.87	1313.23	954.43	1467.37	842.36	1674.06	1175.27	896.64	1111.82	1427.22	941.27	1096.5	1467.37	915.51	808.0	1151.06	1844.76	1199.98	802.41	813.63	1015.93	1467.37	1225.22	1167.14	802.41	1242.34	769.69	1081.39	1216.75	921.88	1119.56	854.13	748.61	1583.71	1551.09	1662.49	1437.15	2004.85	1870.53	1167.14	1096.5	884.29	1191.69	1111.82	1143.1	890.44	1583.71	1369.04	830.75	1794.29	1008.9	1674.06	1111.82	1151.06	1250.98	743.43	1119.56	1498.22	884.29	1721.16	1225.22	1447.15	866.07	738.29	1674.06	848.22	733.19	902.89	909.17	1030.12	1757.34	1832.01	1963.57	902.89	1268.46	1417.35	1081.39	1594.73	1331.57	1397.83	1733.13	954.43	785.88	1216.75	2400.97	825.0
EFS	122.64	0.26	53.57	0.0	0.95	150.17	163.28	91.41	48.18	143.01	339.14	579.04	368.65	656.11	420.68	679.29	361.04	81.71	229.72	624.99	293.07	518.15	633.73	57.08	500.46	87.65	775.05	780.44	140.04	155.5	323.03	674.59	209.84	389.72	195.72	171.45	303.44	480.04	283.05	153.34	161.02	244.57	58.3	693.58	878.17	647.07	525.39	860.08	426.57	764.36	303.44	183.82	579.04	132.44	624.99	242.88	633.73	642.59	104.42	435.55	180.02	567.1	563.18	198.47	460.44	303.44	277.2	432.53	232.94	669.92	295.11	426.57	178.77	197.09	346.29	253.23	175.07	199.85	147.06	89.51	928.3	490.14	480.04	189.02	189.02	460.44	239.52	269.6	435.55	429.54	669.92	543.96	262.2	620.67	674.59	165.57
ELP2	651.58	836.53	941.27	0.0	0.8	909.17	808.0	954.43	769.69	1037.29	909.17	961.07	738.29	1498.22	884.29	1183.45	1044.52	769.69	785.88	1167.14	785.88	884.29	1417.35	954.43	748.61	1151.06	1617.0	928.3	934.76	836.53	974.5	988.12	1001.93	954.43	775.05	928.3	785.88	819.3	915.51	785.88	1044.52	909.17	647.07	941.27	1044.52	1208.34	909.17	1331.57	1151.06	890.44	947.83	759.08	909.17	961.07	954.43	808.0	1199.98	1199.98	813.63	1191.69	728.11	1151.06	764.36	733.19	830.75	854.13	802.41	1388.16	738.29	1044.52	947.83	1331.57	890.44	703.28	1183.45	1059.11	1111.82	780.44	819.3	780.44	961.07	1183.45	1662.49	842.36	884.29	1135.2	764.36	1183.45	1111.82	909.17	915.51	759.08	842.36	872.1	1378.57	743.43
EXOC7	1277.29	866.07	500.46	0.0	0.8	447.82	1286.18	1104.13	1159.07	1286.18	1950.0	1991.0	1437.15	1923.14	1529.73	2193.99	1498.22	1572.76	1277.29	2148.82	1104.13	1896.65	2119.22	1709.26	1605.83	1844.76	2777.33	1883.54	1242.34	1437.15	1781.89	2335.28	1467.37	1806.78	1191.69	1662.49	1242.34	1733.13	1844.76	1437.15	1242.34	1487.87	1242.34	2148.82	2664.15	2816.11	2224.63	2335.28	2104.58	2240.11	1936.53	1175.27	2018.8	1388.16	2075.59	1268.46	2119.22	2119.22	1397.83	2119.22	1378.57	2417.67	2018.8	1529.73	2004.85	1628.26	1397.83	2303.12	1447.15	2400.97	1697.45	2400.97	1427.22	1111.82	2271.4	1572.76	1685.71	1407.55	1286.18	1529.73	2240.11	2271.4	2701.35	1259.69	1651.0	2133.97	1572.76	1923.14	2104.58	1685.71	2502.97	1674.06	1487.87	2090.03	2609.3	1225.22
FAM160A2	395.18	320.8	341.51	0.0	0.77	135.24	684.02	591.22	500.46	454.09	1350.18	1447.15	743.43	1498.22	753.83	1277.29	791.35	802.41	842.36	1437.15	713.11	1135.2	1427.22	791.35	703.28	738.29	1963.57	1477.58	872.1	679.29	961.07	1498.22	1037.29	934.76	854.13	703.28	540.19	830.75	884.29	669.92	947.83	909.17	688.78	1159.07	1477.58	1819.35	1467.37	2119.22	1498.22	1081.39	954.43	723.08	1143.1	802.41	1073.91	624.99	1066.48	1447.15	620.67	1216.75	785.88	1286.18	1250.98	902.89	1295.13	679.29	934.76	1605.83	684.02	1639.59	954.43	1508.65	651.58	780.44	1268.46	780.44	651.58	669.92	915.51	808.0	1583.71	1819.35	1639.59	830.75	1044.52	1417.35	703.28	1119.56	1331.57	842.36	1268.46	1030.12	708.18	1350.18	2004.85	743.43
FAM193B	279.14	332.14	651.58	0.0	1.45	141.02	536.45	633.73	346.29	341.51	1340.84	1127.35	733.19	1304.15	679.29	1572.76	967.76	620.67	928.3	1519.15	723.08	848.22	1594.73	743.43	848.22	1331.57	1896.65	915.51	738.29	599.49	819.3	1340.84	1199.98	1119.56	665.29	1059.11	567.1	890.44	769.69	583.07	1044.52	825.0	454.09	1313.23	1407.55	1304.15	1508.65	2627.46	1331.57	1008.9	860.08	665.29	915.51	928.3	1066.48	575.03	1199.98	1322.37	684.02	1397.83	1059.11	1313.23	1066.48	738.29	1096.5	583.07	848.22	1259.69	921.88	1572.76	836.53	1037.29	819.3	575.03	1127.35	603.67	503.95	813.63	665.29	579.04	1572.76	2224.63	2271.4	698.41	1008.9	1487.87	764.36	1757.34	1111.82	1191.69	1104.13	620.67	759.08	1250.98	1909.85	466.88
FBLN7	30.34	37.32	111.21	0.0	0.25	28.24	172.65	277.2	281.09	332.14	521.76	1151.06	629.35	1268.46	1397.83	896.64	373.81	409.15	368.65	988.12	842.36	1250.98	332.14	220.32	1051.79	775.05	791.35	559.28	237.86	244.57	432.53	607.87	307.69	232.94	283.05	356.05	358.54	1233.75	373.81	392.44	376.41	825.0	320.8	503.95	1540.37	1088.92	1199.98	423.61	743.43	1350.18	595.34	660.68	1111.82	206.94	1151.06	507.46	1561.89	723.08	587.13	624.99	194.36	1023.0	1059.11	476.71	551.56	521.76	441.64	802.41	214.27	412.0	271.48	1277.29	323.03	291.04	1313.23	503.95	220.32	392.44	532.74	397.93	785.88	753.83	575.03	412.0	529.06	1044.52	403.5	444.72	1066.48	473.41	954.43	1498.22	264.03	753.83	463.65	325.29
FCHSD1	45.85	17.25	60.39	0.0	0.97	27.64	195.72	140.04	217.27	97.36	525.39	339.14	253.23	988.12	277.2	599.49	262.2	332.14	392.44	299.25	169.07	323.03	624.99	241.19	144.01	289.02	743.43	536.45	146.03	332.14	318.57	426.57	432.53	387.02	241.19	255.0	387.02	329.84	239.52	262.2	289.02	251.48	159.9	420.68	536.45	490.14	753.83	1001.93	599.49	417.77	258.57	191.67	329.84	368.65	387.02	191.67	802.41	583.07	89.51	417.77	241.19	633.73	293.07	438.59	392.44	265.87	165.57	660.68	395.18	633.73	403.5	612.11	384.34	158.79	860.08	226.54	264.03	217.27	195.72	262.2	563.18	651.58	525.39	198.47	387.02	389.72	348.71	414.87	567.1	387.02	486.75	215.77	176.29	325.29	629.35	187.71
FHDC1	9.56	2.12	15.8	0.0	0.0	42.41	132.44	108.14	63.0	239.52	612.11	583.07	325.29	483.38	947.83	660.68	334.46	262.2	309.83	981.29	195.72	339.14	3589.58	376.41	343.89	733.19	2758.13	802.41	334.46	262.2	521.76	674.59	480.04	447.82	307.69	269.6	312.0	748.61	366.09	228.13	204.07	256.78	371.22	521.76	780.44	684.02	854.13	473.41	1059.11	536.45	603.67	289.02	607.87	323.03	928.3	226.54	1359.57	397.93	242.88	525.39	220.32	1583.71	902.89	211.31	529.06	339.14	180.02	583.07	208.38	693.58	373.81	457.25	190.34	148.09	2303.12	358.54	218.79	209.84	74.58	346.29	629.35	392.44	460.44	334.46	466.88	733.19	226.54	312.0	1135.2	450.94	723.08	656.11	232.94	624.99	669.92	334.46
FLT3LG	30.78	84.63	98.73	0.0	0.43	275.28	83.45	135.24	147.06	97.36	229.72	656.11	125.24	287.01	450.94	791.35	229.72	156.59	234.57	341.51	275.28	379.04	563.18	67.12	351.14	107.38	389.72	348.71	156.59	172.65	356.05	438.59	146.03	307.69	154.42	173.85	163.28	591.22	301.33	145.02	208.38	162.14	167.9	297.17	587.13	417.77	624.99	373.81	438.59	595.34	320.8	159.9	281.09	226.54	473.41	218.79	273.37	320.8	147.06	511.0	246.28	460.44	587.13	237.86	620.67	289.02	181.28	371.22	146.03	460.44	208.38	332.14	177.53	211.31	260.38	258.57	169.07	132.44	269.6	76.71	753.83	400.71	733.19	246.28	194.36	303.44	121.79	226.54	379.04	348.71	429.54	256.78	220.32	346.29	507.46	194.36
GFRA3	1.64	0.09	0.0	0.0	0.0	0.48	0.96	0.89	0.0	0.0	7.88	9.06	3.86	10.08	17.38	12.09	3.96	2.36	3.76	21.47	7.46	17.25	8.32	0.0	9.56	2.18	30.78	31.45	3.17	7.34	7.82	11.38	4.1	9.27	4.62	1.66	8.71	48.52	19.53	7.88	2.76	8.32	5.02	2.18	11.3	10.31	16.39	13.42	14.89	25.72	3.29	2.48	11.91	3.41	26.86	6.94	16.39	20.56	0.83	12.45	6.41	37.85	26.28	4.7	10.47	4.03	2.92	15.68	4.98	16.03	4.43	8.78	5.87	6.36	13.93	1.53	10.16	2.18	3.5	3.89	9.27	12.83	23.93	4.54	3.26	18.7	0.32	6.06	20.41	8.58	13.32	5.02	5.73	27.44	21.16	6.62
GNG7	34.26	5.68	72.52	90.14	343.89	12.27	106.63	119.26	129.69	144.01	206.94	289.02	223.41	193.01	217.27	379.04	206.94	141.02	185.11	239.52	201.25	193.01	163.28	111.99	161.02	139.07	208.38	127.0	193.01	164.42	173.85	239.52	140.04	187.71	169.07	237.86	123.5	218.79	214.27	139.07	137.14	137.14	138.1	232.94	279.14	224.97	341.51	187.71	228.13	201.25	215.77	175.07	297.17	197.09	204.07	159.9	176.29	153.34	152.28	262.2	129.69	251.48	256.78	193.01	217.27	165.57	197.09	194.36	116.78	231.32	171.45	206.94	146.03	176.29	153.34	204.07	141.02	180.02	149.12	127.89	190.34	218.79	211.31	173.85	197.09	176.29	152.28	211.31	195.72	379.04	258.57	218.79	145.02	246.28	244.57	149.12
GTF3C5	507.46	320.8	819.3	0.0	0.97	974.5	642.59	728.11	775.05	733.19	1044.52	967.76	813.63	753.83	679.29	1340.84	836.53	759.08	1037.29	981.29	808.0	878.17	1008.9	954.43	775.05	607.87	1477.58	1467.37	769.69	703.28	884.29	1268.46	921.88	842.36	848.22	974.5	723.08	872.1	947.83	733.19	902.89	902.89	775.05	954.43	1015.93	1030.12	1119.56	1304.15	995.0	1044.52	884.29	974.5	896.64	890.44	1015.93	836.53	1008.9	1135.2	688.78	1066.48	974.5	1183.45	836.53	718.08	1023.0	802.41	738.29	1104.13	902.89	1277.29	915.51	1037.29	791.35	836.53	1111.82	921.88	620.67	775.05	878.17	785.88	1250.98	1369.04	1369.04	764.36	764.36	1159.07	796.86	1208.34	941.27	884.29	1143.1	753.83	836.53	995.0	1304.15	688.78
GYLTL1B	9.63	77.25	25.54	0.0	0.53	679.29	450.94	190.34	363.56	356.05	612.11	718.08	518.15	500.46	397.93	638.15	575.03	348.71	339.14	780.44	363.56	521.76	733.19	293.07	563.18	329.84	902.89	988.12	351.14	289.02	624.99	813.63	514.56	412.0	420.68	312.0	457.25	466.88	616.37	447.82	543.96	547.75	205.5	738.29	679.29	890.44	688.78	728.11	511.0	525.39	409.15	514.56	647.07	423.61	497.0	368.65	860.08	995.0	287.01	633.73	656.11	842.36	808.0	571.05	629.35	353.59	825.0	693.58	417.77	819.3	473.41	890.44	450.94	503.95	995.0	423.61	348.71	483.38	457.25	384.34	748.61	1015.93	785.88	473.41	624.99	813.63	441.64	791.35	432.53	543.96	753.83	872.1	395.18	688.78	909.17	432.53
HAUS5	68.55	58.71	119.26	420.68	387.02	157.68	131.51	143.01	232.94	145.02	267.73	269.6	166.73	285.03	166.73	371.22	220.32	155.5	218.79	228.13	198.47	208.38	301.33	177.53	156.59	150.17	400.71	215.77	140.04	159.9	275.28	287.01	223.41	237.86	197.09	195.72	198.47	209.84	260.38	176.29	232.94	204.07	144.01	314.17	275.28	287.01	346.29	395.18	283.05	208.38	190.34	170.25	229.72	277.2	251.48	155.5	316.37	291.04	152.28	309.83	237.86	320.8	239.52	211.31	206.94	189.02	239.52	332.14	220.32	318.57	258.57	285.03	191.67	161.02	336.79	214.27	144.01	159.9	165.57	191.67	348.71	343.89	409.15	175.07	242.88	312.0	170.25	281.09	267.73	177.53	262.2	190.34	163.28	221.86	384.34	208.38
HDAC10	112.77	234.57	275.28	0.0	0.96	181.28	473.41	271.48	412.0	368.65	884.29	1111.82	476.71	713.11	571.05	1304.15	476.71	460.44	616.37	854.13	441.64	575.03	884.29	480.04	551.56	361.04	1037.29	738.29	307.69	420.68	616.37	947.83	688.78	660.68	395.18	583.07	447.82	693.58	536.45	387.02	497.0	591.22	305.55	825.0	1015.93	1259.69	1151.06	954.43	961.07	860.08	642.59	444.72	785.88	529.06	796.86	432.53	954.43	941.27	332.14	780.44	547.75	947.83	759.08	486.75	748.61	379.04	511.0	890.44	579.04	1023.0	638.15	693.58	392.44	466.88	813.63	571.05	291.04	392.44	500.46	450.94	1023.0	1259.69	1151.06	540.19	708.18	819.3	438.59	728.11	791.35	575.03	896.64	591.22	414.87	780.44	1135.2	277.2
HOOK2	748.61	420.68	540.19	0.0	0.85	125.24	1685.71	1561.89	1119.56	1331.57	3280.18	1594.73	2303.12	3325.99	1359.57	2178.83	2485.67	1508.65	3039.3	2935.74	1857.6	1794.29	3443.31	2720.15	1277.29	3039.3	4575.41	3847.29	1561.89	1369.04	2591.27	2384.37	2720.15	2367.9	1870.53	2537.92	2163.77	1331.57	2485.67	1806.78	2047.0	2209.26	1388.16	2591.27	2384.37	3820.7	2664.15	4095.0	2895.31	1617.0	2682.69	1936.53	2485.67	2255.7	2351.53	1331.57	3325.99	3168.41	1977.24	2163.77	2287.2	3716.2	1844.76	1977.24	1685.71	2090.03	1896.65	2193.99	2178.83	3060.45	1745.2	2520.38	1923.14	1487.87	3443.31	1769.57	1757.34	2997.45	2209.26	1769.57	2682.69	3768.09	2434.5	1417.35	2682.69	2573.36	2255.7	3124.78	3018.3	1745.2	2664.15	1857.6	1936.53	2193.99	3955.48	1617.0
