	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.B6.A40B.01A.11R.A239.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.44.3918.01A.01R.A278.07
NHP2	5329.3	4903.87	5479.15	4481.23	3874.05	3491.39	3690.52	7180.15	7032.37	2645.74	2915.45	4419.52	5255.91	3491.39	6037.61	3614.55	3874.05	3018.3	6337.83	4066.71	3901.01	1208.34	3982.99	8658.09	6745.86	4575.41	8134.41	3325.99	2645.74	4419.52	2148.82	6207.38	5791.62	5403.7	1923.14	2400.97	3491.39	1250.98	2271.4	1359.57	2537.92	3325.99	2193.99	3515.68	3419.52	1313.23	3901.01	1977.24	1896.65	1909.85	2090.03	2303.12	1427.22	1594.73	2209.26	3614.55	2018.8	2271.4	2777.33	6652.97	8538.88	1617.0	2004.85	5147.73	1896.65	2627.46	1457.23
NOSIP	1909.85	1883.54	4038.61	1572.76	1378.57	1594.73	642.59	2400.97	2061.24	2240.11	1051.79	1407.55	2816.11	1498.22	1909.85	1369.04	2255.7	507.46	2193.99	1870.53	1977.24	521.76	1883.54	2875.3	1909.85	1199.98	2119.22	1519.15	1295.13	1662.49	915.51	4095.0	2004.85	1819.35	733.19	1127.35	1407.55	665.29	791.35	567.1	1183.45	1175.27	1225.22	1259.69	1277.29	460.44	1594.73	915.51	651.58	1242.34	1167.14	954.43	981.29	358.54	1617.0	1199.98	854.13	1015.93	1286.18	1044.52	4972.34	343.89	1359.57	2287.2	866.07	1066.48	507.46
NUBP2	1950.0	2255.7	6516.03	921.88	1909.85	1870.53	441.64	3820.7	3280.18	2434.5	842.36	1457.23	2777.33	825.0	2287.2	1127.35	1950.0	567.1	2163.77	2061.24	1639.59	684.02	1369.04	3039.3	3820.7	1268.46	2591.27	1286.18	872.1	1350.18	813.63	2997.45	1447.15	1561.89	470.14	764.36	1030.12	309.83	376.41	293.07	819.3	921.88	860.08	860.08	808.0	202.66	1225.22	540.19	669.92	454.09	738.29	684.02	403.5	248.0	1143.1	1001.93	633.73	684.02	769.69	890.44	3212.66	208.38	813.63	1769.57	563.18	791.35	87.65
PIN1	1950.0	1709.26	3443.31	2520.38	583.07	819.3	371.22	2720.15	1870.53	1857.6	988.12	1350.18	2163.77	2090.03	2271.4	1030.12	1936.53	285.03	3060.45	2520.38	1844.76	457.25	1304.15	3901.01	2303.12	1519.15	2104.58	1183.45	890.44	1295.13	915.51	3665.02	1709.26	1015.93	384.34	1008.9	1295.13	417.77	329.84	273.37	854.13	1001.93	1008.9	934.76	669.92	141.02	1583.71	470.14	660.68	500.46	450.94	718.08	493.56	258.57	1008.9	921.88	708.18	503.95	791.35	1081.39	2875.3	232.94	551.56	1857.6	825.0	848.22	258.57
PPP4C	10014.87	3103.19	7537.18	2739.08	4671.57	2664.15	1844.76	4543.8	6699.25	2997.45	1936.53	3103.19	4836.35	2915.45	5872.48	2816.11	3212.66	1639.59	5555.65	4181.07	4704.07	1066.48	2935.74	4239.45	5594.3	1709.26	3589.58	2400.97	1896.65	2956.17	1697.45	4328.55	2133.97	3928.15	1208.34	1313.23	1950.0	902.89	1277.29	1081.39	1794.29	1477.58	1540.37	1674.06	1991.0	934.76	2133.97	1008.9	1286.18	1359.57	1397.83	1427.22	1467.37	332.14	1733.13	1832.01	1447.15	1096.5	1467.37	1963.57	2816.11	1143.1	1322.37	2915.45	854.13	1350.18	1529.73
PSMB10	4038.61	1508.65	3018.3	1628.26	967.76	1277.29	1350.18	1950.0	1583.71	2682.69	915.51	3103.19	2758.13	2485.67	2119.22	1350.18	1733.13	248.0	2119.22	2148.82	2591.27	214.27	2855.44	2224.63	1447.15	1977.24	1388.16	1388.16	1051.79	6745.86	2018.8	4298.64	1487.87	3168.41	842.36	1427.22	1685.71	679.29	738.29	607.87	1331.57	928.3	1183.45	1467.37	1081.39	490.14	1896.65	995.0	1388.16	1183.45	941.27	1794.29	1350.18	414.87	842.36	1388.16	633.73	1127.35	759.08	2119.22	5633.22	587.13	1572.76	1963.57	669.92	2303.12	848.22
PSMC4	2384.37	1628.26	1991.0	1844.76	2090.03	2133.97	2287.2	3955.48	2816.11	2303.12	1832.01	1844.76	2417.67	2609.3	1639.59	2075.59	2434.5	1066.48	2502.97	2609.3	1923.14	796.86	2090.03	2520.38	2032.85	1721.16	2303.12	1350.18	1313.23	2591.27	1447.15	2240.11	2119.22	2935.74	1127.35	1143.1	1447.15	967.76	1015.93	934.76	1397.83	1199.98	1167.14	1467.37	1378.57	780.44	1639.59	764.36	860.08	1066.48	785.88	1030.12	961.07	718.08	1208.34	1151.06	1119.56	1088.92	1304.15	3018.3	1457.23	1331.57	902.89	1498.22	988.12	1277.29	1111.82
PTPN6	1561.89	890.44	2004.85	1651.0	915.51	974.5	1119.56	1437.15	1359.57	1498.22	890.44	1551.09	1498.22	1259.69	890.44	884.29	1001.93	547.75	1242.34	1437.15	1304.15	693.58	947.83	1639.59	1135.2	1242.34	1268.46	872.1	785.88	1407.55	1844.76	1870.53	1096.5	2119.22	525.39	616.37	769.69	358.54	454.09	503.95	796.86	854.13	819.3	928.3	808.0	361.04	1096.5	878.17	753.83	1183.45	1167.14	713.11	1104.13	366.09	842.36	693.58	825.0	483.38	941.27	540.19	1135.2	500.46	1081.39	1037.29	830.75	819.3	947.83
RAD23A	6037.61	2875.3	4358.66	2627.46	2468.49	1605.83	1378.57	4388.98	3419.52	2537.92	1857.6	2367.9	4066.71	1857.6	2485.67	1909.85	3060.45	1508.65	3280.18	3491.39	2520.38	1498.22	2627.46	3665.02	3212.66	4210.15	3690.52	2417.67	1857.6	2240.11	1936.53	3955.48	3540.14	2664.15	1819.35	2468.49	2271.4	2104.58	1857.6	1769.57	2335.28	1963.57	2119.22	2163.77	2090.03	1359.57	2148.82	1477.58	1709.26	1378.57	988.12	2018.8	1594.73	1662.49	1923.14	3742.05	2119.22	1870.53	1844.76	4736.79	3467.27	1757.34	1519.15	2777.33	1674.06	1844.76	842.36
RBM42	2193.99	1896.65	2224.63	1096.5	1159.07	1277.29	1001.93	2591.27	1819.35	2047.0	1104.13	1447.15	2664.15	1233.75	2004.85	1216.75	2701.35	356.05	3018.3	3280.18	1685.71	289.02	1350.18	2875.3	2271.4	1304.15	2835.7	1519.15	1037.29	1963.57	1044.52	3280.18	1250.98	1651.0	733.19	1044.52	1277.29	579.04	651.58	454.09	988.12	981.29	1088.92	1059.11	1008.9	358.54	1467.37	884.29	764.36	921.88	775.05	967.76	813.63	218.79	921.88	1909.85	830.75	909.17	1295.13	1950.0	1697.45	269.6	988.12	902.89	555.41	1008.9	327.56
RUVBL2	3540.14	2178.83	2976.74	1896.65	1909.85	2133.97	995.0	3303.0	2835.7	2400.97	1417.35	1639.59	2835.7	2075.59	1977.24	1605.83	2976.74	703.28	3443.31	2224.63	1936.53	551.56	2451.44	3874.05	2816.11	1709.26	2935.74	1572.76	1350.18	2609.3	1066.48	2835.7	2627.46	2935.74	753.83	1023.0	1529.73	438.59	836.53	529.06	1378.57	1457.23	1167.14	1427.22	1427.22	444.72	1709.26	1015.93	934.76	819.3	1135.2	1191.69	995.0	547.75	1135.2	1651.0	890.44	1001.93	1369.04	2335.28	2796.65	470.14	1295.13	1697.45	660.68	1167.14	384.34
SCAND1	1437.15	2163.77	7642.41	759.08	941.27	896.64	197.09	2303.12	4298.64	3982.99	679.29	866.07	3614.55	733.19	1685.71	1143.1	2090.03	178.77	3491.39	3794.3	1529.73	177.53	1322.37	2240.11	1709.26	854.13	1936.53	1175.27	599.49	3018.3	1001.93	5913.33	961.07	848.22	336.79	595.34	934.76	287.01	281.09	239.52	329.84	555.41	665.29	493.56	563.18	170.25	1151.06	336.79	444.72	444.72	244.57	567.1	283.05	29.48	551.56	1008.9	521.76	412.0	341.51	1259.69	2148.82	81.71	480.04	1268.46	152.28	551.56	15.8
SLC25A39	7642.41	3614.55	5441.3	3901.01	3874.05	3039.3	3060.45	12589.08	6294.04	4152.18	2502.97	3060.45	3280.18	2240.11	2935.74	2451.44	3146.52	2485.67	3372.43	5913.33	3491.39	1015.93	4639.29	9740.98	5594.3	4937.99	5995.9	2224.63	2119.22	4575.41	1896.65	4481.23	3540.14	7032.37	1447.15	1437.15	1721.16	1023.0	1359.57	1119.56	1794.29	1583.71	1709.26	1819.35	2303.12	848.22	2271.4	1529.73	1111.82	1088.92	1662.49	1417.35	1447.15	540.19	1721.16	1844.76	981.29	1369.04	2163.77	2367.9	3303.0	728.11	2047.0	2645.74	1225.22	1844.76	708.18
SMARCA4	2664.15	1757.34	2875.3	2502.97	1183.45	1073.91	1135.2	4123.49	3124.78	1806.78	1304.15	1508.65	2119.22	1844.76	1572.76	1583.71	1819.35	1561.89	2335.28	2090.03	1457.23	1769.57	1617.0	2502.97	2384.37	2468.49	2434.5	1651.0	1417.35	2148.82	1175.27	2090.03	1519.15	2271.4	1143.1	1037.29	1540.37	642.59	1259.69	934.76	1388.16	967.76	1073.91	1457.23	1427.22	1015.93	1529.73	1191.69	1437.15	1037.29	1277.29	1388.16	1529.73	764.36	1175.27	2090.03	1008.9	1322.37	1806.78	1417.35	1088.92	1143.1	1498.22	825.0	981.29	1397.83	669.92
SSNA1	3491.39	2417.67	2976.74	2664.15	1605.83	1175.27	842.36	2319.15	2935.74	2875.3	1417.35	1950.0	3515.68	1369.04	2502.97	1794.29	2061.24	656.11	3212.66	2701.35	2018.8	579.04	1794.29	2591.27	3103.19	1551.09	2591.27	1896.65	1151.06	2976.74	1378.57	4512.4	1806.78	1572.76	698.41	1225.22	1397.83	493.56	559.28	392.44	1304.15	1295.13	1159.07	1167.14	1191.69	283.05	1519.15	708.18	934.76	802.41	688.78	941.27	848.22	395.18	1111.82	1216.75	718.08	775.05	1111.82	954.43	4512.4	490.14	928.3	2855.44	647.07	1037.29	312.0
TIMM13	3146.52	3081.75	2537.92	1674.06	2047.0	1199.98	854.13	3690.52	4769.75	3349.13	1304.15	1819.35	1721.16	1143.1	3820.7	1819.35	1467.37	493.56	4802.93	3847.29	2609.3	642.59	2255.7	7032.37	5403.7	1594.73	3467.27	1519.15	1250.98	2875.3	1233.75	5366.37	1757.34	2255.7	698.41	988.12	1437.15	457.25	674.59	414.87	1397.83	1008.9	1001.93	1191.69	1066.48	251.48	1857.6	1015.93	988.12	743.43	1066.48	1044.52	733.19	397.93	1015.93	830.75	612.11	961.07	934.76	1794.29	3589.58	493.56	748.61	2287.2	629.35	1191.69	197.09
TIMM50	1721.16	1617.0	1313.23	1259.69	1304.15	1051.79	1417.35	2555.58	1572.76	1467.37	896.64	1151.06	1529.73	1322.37	1331.57	1233.75	1857.6	1037.29	1540.37	2193.99	1143.1	738.29	1167.14	2104.58	1508.65	1037.29	1551.09	981.29	974.5	2032.85	785.88	1540.37	1151.06	1721.16	1015.93	961.07	995.0	1001.93	1096.5	954.43	1044.52	842.36	928.3	1051.79	1001.93	934.76	1023.0	995.0	529.06	753.83	915.51	638.15	607.87	974.5	921.88	825.0	802.41	967.76	1183.45	1794.29	2163.77	543.96	896.64	1594.73	642.59	813.63	536.45
TSR3	2367.9	1662.49	4419.52	915.51	1331.57	1617.0	780.44	2875.3	2224.63	1662.49	848.22	1208.34	1923.14	934.76	2061.24	1233.75	1369.04	595.34	1844.76	1721.16	1340.84	260.38	1233.75	2417.67	2573.36	1709.26	2047.0	1427.22	866.07	1111.82	896.64	3564.78	1304.15	1286.18	500.46	825.0	1096.5	518.15	525.39	363.56	884.29	921.88	967.76	915.51	759.08	258.57	1304.15	674.59	547.75	854.13	753.83	723.08	651.58	454.09	764.36	884.29	679.29	629.35	669.92	660.68	2090.03	291.04	607.87	1151.06	713.11	842.36	154.42
U2AF2	3325.99	3018.3	2591.27	3039.3	1651.0	3018.3	1781.89	4802.93	3874.05	3372.43	2133.97	2319.15	3349.13	2148.82	2609.3	2119.22	4123.49	1397.83	3060.45	3639.7	3564.78	785.88	2701.35	5219.6	4358.66	2351.53	4736.79	2796.65	2163.77	2335.28	1745.2	3280.18	2271.4	4095.0	1551.09	1519.15	2271.4	947.83	1199.98	1167.14	2645.74	2384.37	2240.11	2255.7	1977.24	1135.2	2485.67	2451.44	1936.53	1883.54	2240.11	1883.54	2061.24	1183.45	2367.9	2434.5	1991.0	2133.97	2627.46	2400.97	1477.58	1208.34	3540.14	1991.0	1447.15	1977.24	753.83
WDR83	444.72	591.22	555.41	723.08	165.57	193.01	72.52	511.0	389.72	366.09	244.57	320.8	595.34	206.94	412.0	273.37	490.14	70.51	525.39	764.36	346.29	151.22	403.5	651.58	409.15	299.25	277.2	314.17	218.79	255.0	181.28	825.0	473.41	343.89	153.34	191.67	229.72	56.68	99.43	74.58	246.28	267.73	241.19	251.48	191.67	48.18	287.01	209.84	189.02	297.17	221.86	149.12	159.9	95.34	476.71	258.57	244.57	211.31	309.83	132.44	361.04	112.77	463.65	269.6	105.89	182.55	62.56
ZNF444	551.56	1073.91	759.08	450.94	463.65	500.46	177.53	896.64	967.76	612.11	457.25	473.41	1127.35	656.11	713.11	660.68	866.07	343.89	1167.14	764.36	796.86	346.29	748.61	1096.5	1268.46	329.84	1304.15	703.28	392.44	389.72	397.93	1250.98	775.05	1096.5	341.51	320.8	379.04	193.01	353.59	205.5	406.31	450.94	476.71	366.09	426.57	181.28	543.96	486.75	493.56	460.44	460.44	363.56	447.82	127.89	651.58	229.72	293.07	414.87	579.04	182.55	417.77	170.25	1001.93	376.41	265.87	275.28	61.68
ZNF653	262.2	251.48	395.18	255.0	70.01	73.54	40.64	206.94	181.28	228.13	123.5	138.1	273.37	154.42	198.47	161.02	217.27	85.82	264.03	285.03	231.32	117.6	145.02	318.57	329.84	143.01	157.68	190.34	130.6	133.36	98.73	316.37	226.54	176.29	78.34	134.3	139.07	36.53	70.51	71.0	177.53	178.77	116.78	122.64	136.19	98.73	171.45	146.03	84.04	157.68	152.28	153.34	197.09	97.36	124.37	195.72	149.12	152.28	205.5	133.36	187.71	112.77	206.94	172.65	88.26	161.02	36.27
ZNF787	1250.98	665.29	819.3	323.03	242.88	529.06	162.14	1037.29	688.78	532.74	246.28	392.44	791.35	305.55	551.56	297.17	669.92	53.19	896.64	698.41	547.75	129.69	397.93	890.44	693.58	414.87	759.08	346.29	239.52	543.96	287.01	1487.87	371.22	688.78	165.57	267.73	490.14	108.14	126.12	120.94	336.79	289.02	262.2	269.6	180.02	108.9	450.94	253.23	237.86	293.07	170.25	273.37	193.01	44.25	376.41	242.88	206.94	343.89	258.57	297.17	368.65	56.28	429.54	297.17	71.0	215.77	51.71
