	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.2Z.A9J9.01A.11R.A42S.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W
SERPINI2	0.0	0.75	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	9.41	6.16	5.15	50.27	31.0	7.4	8.58	38.95	3.56	5.68	6.62	63.0	14.24	55.89	11.47	10.0	186.4	82.29	0.0	39.79
SFTPA2	0.67	0.74	1.73	0.0	8.51	1.1	5.02	1.13	0.0	2.81	4.7	0.0	6014443.23	4495342.72	4051429.61	4402829.88	3995652.37	3995652.37	3806410.22	3940643.03	4851500.88	5163792.94	3526974.2	5308966.95	3313672.43	5163792.94	2825352.59	2904784.09	2053992.24	3430528.88	4051429.61	958220.73
SLC30A5	624.99	629.35	708.18	457.25	231.32	457.25	376.41	356.05	412.0	234.57	438.59	400.71	941.27	612.11	466.88	629.35	1143.1	651.58	684.02	860.08	551.56	961.07	785.88	543.96	813.63	842.36	503.95	1295.13	884.29	728.11	743.43	1037.29
SLC37A1	187.71	186.4	295.11	40.93	52.45	63.45	55.1	56.68	118.43	40.93	37.59	63.45	1331.57	583.07	738.29	1331.57	674.59	836.53	1119.56	902.89	748.61	890.44	599.49	1477.58	825.0	1447.15	389.72	303.44	620.67	314.17	303.44	555.41
SLMO2	486.75	555.41	651.58	397.93	246.28	358.54	323.03	275.28	262.2	303.44	336.79	234.57	2224.63	656.11	1529.73	854.13	1832.01	1111.82	521.76	1407.55	921.88	1733.13	575.03	796.86	674.59	1135.2	2075.59	1936.53	1923.14	1340.84	1467.37	1242.34
SMAP1	295.11	291.04	293.07	158.79	145.02	185.11	214.27	211.31	244.57	191.67	141.02	112.77	518.15	642.59	733.19	309.83	591.22	363.56	400.71	521.76	435.55	759.08	361.04	389.72	379.04	389.72	934.76	1096.5	728.11	708.18	409.15	514.56
SMCO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.93	0.06	0.0	0.33	0.62	0.0	0.0	0.34	0.38	0.0	0.37	2.23	1.75	0.36	0.32	0.33	0.0
STK17A	133.36	162.14	197.09	117.6	78.89	100.83	63.45	69.03	113.56	77.79	75.11	138.1	2004.85	244.57	1151.06	503.95	866.07	674.59	547.75	723.08	228.13	633.73	371.22	503.95	1350.18	684.02	2148.82	1242.34	1250.98	713.11	2104.58	2104.58
STRIP2	1.97	1.11	2.07	1.53	1.39	2.71	3.23	2.18	4.78	2.97	1.01	1.71	149.12	6.67	40.93	17.13	48.18	43.63	15.11	80.57	10.39	10.47	17.51	5.63	36.01	16.15	10.24	20.11	79.45	16.63	21.32	87.03
TAF13	616.37	473.41	620.67	454.09	429.54	429.54	497.0	400.71	334.46	403.5	543.96	460.44	1769.57	514.56	1183.45	890.44	1369.04	1119.56	785.88	1617.0	616.37	1059.11	595.34	303.44	1572.76	764.36	848.22	1208.34	1844.76	688.78	1519.15	2163.77
TAS2R46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.0	0.0	0.0	0.0	0.45	0.0	3.03	0.0	2.36	0.0	0.0	1.17	0.0	0.0	0.0	0.45	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.38
TAX1BP1	1896.65	1359.57	1407.55	928.3	162.14	866.07	808.0	825.0	764.36	753.83	848.22	642.59	2502.97	2485.67	2520.38	2835.7	1651.0	3039.3	1896.65	1991.0	2335.28	2555.58	1519.15	2520.38	1950.0	1896.65	2796.65	3690.52	3280.18	2609.3	2384.37	2104.58
TC2N	176.29	457.25	373.81	26.86	30.12	13.22	38.67	21.78	11.91	16.51	13.03	14.35	2240.11	708.18	2090.03	698.41	2997.45	1651.0	698.41	1151.06	500.46	1242.34	665.29	878.17	1216.75	988.12	3081.75	2609.3	5041.77	1127.35	941.27	3018.3
TET3	52.45	52.45	41.81	23.76	10.88	19.53	21.63	28.86	36.27	57.08	21.32	23.08	656.11	43.32	312.0	175.07	94.01	123.5	76.17	297.17	152.28	126.12	47.84	108.14	133.36	186.4	122.64	208.38	126.12	83.45	136.19	94.67
TFAP2C	0.31	60.82	37.59	1.03	3.03	1.01	1.0	1.55	0.0	1.23	0.0	2.18	150.17	133.36	83.45	293.07	124.37	283.05	128.79	164.42	105.89	119.26	155.5	301.33	167.9	145.02	77.79	90.77	239.52	242.88	90.77	126.12
TIMM23B	242.88	277.2	343.89	88.88	248.0	59.55	100.13	155.5	301.33	157.68	0.0	74.58	334.46	134.3	420.68	190.34	316.37	264.03	144.01	363.56	366.09	133.36	303.44	289.02	339.14	279.14	466.88	186.4	283.05	89.51	463.65	287.01
TMEM165	785.88	995.0	1059.11	193.01	112.77	163.28	176.29	181.28	327.56	105.89	148.09	128.79	2303.12	1088.92	5329.3	860.08	4210.15	1427.22	1340.84	2032.85	2163.77	1417.35	1199.98	1844.76	2104.58	1639.59	4358.66	4575.41	4543.8	3665.02	1857.6	2061.24
TMEM189-UBE2V1	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.77	0.0	21.47	46.18	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	11.13	8.78	3.72	0.0	3.56	32.36	5.32
TP53RK	87.65	70.01	105.15	82.87	73.03	97.36	72.52	92.05	89.51	84.63	58.71	52.82	260.38	139.07	221.86	305.55	198.47	246.28	244.57	269.6	159.9	318.57	234.57	140.04	262.2	239.52	253.23	273.37	220.32	206.94	277.2	318.57
TRAF4	638.15	595.34	1151.06	775.05	1023.0	738.29	629.35	660.68	536.45	633.73	638.15	759.08	921.88	791.35	2061.24	967.76	2627.46	616.37	878.17	1225.22	860.08	583.07	656.11	1572.76	1127.35	1127.35	1896.65	1242.34	2351.53	2209.26	1073.91	1467.37
TRAPPC13	223.41	205.5	241.19	130.6	84.63	131.51	183.82	167.9	111.21	165.57	136.19	171.45	248.0	289.02	309.83	358.54	301.33	473.41	356.05	379.04	353.59	389.72	363.56	186.4	293.07	204.07	389.72	457.25	497.0	403.5	285.03	511.0
TRNT1	86.43	197.09	201.25	104.42	111.21	114.36	112.77	105.15	87.03	97.36	94.67	85.82	258.57	108.9	246.28	212.78	277.2	339.14	220.32	327.56	195.72	231.32	283.05	167.9	339.14	136.19	356.05	466.88	234.57	173.85	376.41	432.53
TSPAN13	126.12	412.0	595.34	241.19	220.32	305.55	473.41	620.67	165.57	466.88	848.22	497.0	5147.73	9808.75	4575.41	10808.41	7331.05	8718.32	8778.97	4836.35	3372.43	7803.01	8022.41	7130.55	6164.49	2777.33	12764.83	9740.98	9876.98	5041.77	9409.14	5441.3
TXNDC9	412.0	283.05	371.22	214.27	140.04	236.21	275.28	339.14	332.14	281.09	215.77	167.9	679.29	470.14	406.31	620.67	587.13	860.08	780.44	775.05	466.88	785.88	633.73	301.33	866.07	500.46	607.87	1059.11	463.65	567.1	638.15	866.07
UBE2D1	205.5	162.14	186.4	171.45	64.8	117.6	100.83	111.99	117.6	116.78	113.56	86.43	353.59	134.3	384.34	303.44	325.29	307.69	307.69	285.03	260.38	305.55	234.57	169.07	438.59	231.32	376.41	656.11	848.22	356.05	356.05	599.49
VCP	2451.44	2573.36	2319.15	1757.34	2555.58	1781.89	2468.49	2502.97	3103.19	1896.65	2303.12	2032.85	3515.68	3349.13	3103.19	2739.08	7485.11	2451.44	2956.17	5791.62	2468.49	1781.89	1769.57	4038.61	3235.01	2303.12	5594.3	5255.91	6294.04	4095.0	4972.34	5479.15
WNT7B	0.28	0.32	1.6	4.1	3.32	0.99	3.56	1.97	0.91	0.97	0.0	3.41	348.71	343.89	242.88	426.57	693.58	318.57	669.92	358.54	457.25	277.2	242.88	620.67	297.17	872.1	68.07	171.45	358.54	162.14	258.57	476.71
YY1AP1	872.1	1066.48	1037.29	693.58	599.49	599.49	571.05	551.56	728.11	703.28	457.25	808.0	1277.29	830.75	2319.15	909.17	1331.57	1008.9	1015.93	954.43	813.63	928.3	902.89	1340.84	1119.56	1143.1	1806.78	1199.98	2104.58	1936.53	1119.56	872.1
YY2	20.71	19.11	20.71	19.25	18.84	15.8	15.45	15.22	7.63	15.8	35.25	17.77	11.73	17.9	26.28	11.91	26.86	20.71	20.56	38.95	12.27	23.93	13.52	10.96	20.26	16.51	22.59	39.79	19.53	25.72	12.83	23.93
ZC3H15	753.83	733.19	825.0	656.11	246.28	624.99	723.08	679.29	616.37	679.29	642.59	529.06	1199.98	463.65	1313.23	842.36	1175.27	825.0	860.08	769.69	603.67	1073.91	567.1	567.1	1199.98	813.63	1437.15	2271.4	1331.57	1388.16	1340.84	1151.06
ZNF207	1151.06	1583.71	1268.46	651.58	791.35	743.43	748.61	780.44	688.78	595.34	860.08	733.19	1950.0	1340.84	3039.3	1617.0	2645.74	1561.89	1561.89	1639.59	1662.49	1378.57	1397.83	2351.53	1733.13	1081.39	3060.45	2956.17	3018.3	2935.74	1733.13	2400.97
ZNF664	836.53	1008.9	1044.52	521.76	368.65	412.0	547.75	473.41	567.1	529.06	432.53	253.23	1697.45	1286.18	1950.0	1709.26	1191.69	1936.53	1277.29	1191.69	1167.14	2104.58	1183.45	1794.29	1250.98	1378.57	1359.57	2351.53	1909.85	1498.22	1467.37	1023.0
