	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A229.01A.31R.A157.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.E9.A1N5.11A.41R.A14D.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7223.01A.11R.2045.07	TCGA.43.8115.01A.11R.2247.07	TCGA.22.4601.01A.01R.1443.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.N8.A56S.01A.11R.A28V.07
PCYOX1L	231.32	231.32	212.78	229.72	171.45	229.72	206.94	78.89	92.7	65.26	98.73	75.64	40.07	31.45	71.0	45.21	24.99	15.22	63.45	18.03	30.78	26.28	33.3	18.29	34.26	2.56	26.47	30.12	34.26	30.34	61.68	36.79	17.77	56.28	30.34	2.76	13.72	16.88	387.02	277.2	277.2	212.78	251.48
PDLIM7	1977.24	1977.24	1651.0	1781.89	1709.26	2163.77	5672.41	1794.29	2018.8	473.41	1066.48	1135.2	1059.11	579.04	961.07	325.29	262.2	147.06	232.94	108.9	163.28	158.79	336.79	106.63	125.24	221.86	182.55	743.43	287.01	127.0	158.79	279.14	285.03	212.78	295.11	99.43	148.09	107.38	1135.2	3955.48	1594.73	2720.15	4671.57
PFDN1	1844.76	1844.76	1963.57	1617.0	1331.57	1350.18	1322.37	928.3	941.27	954.43	1175.27	830.75	825.0	860.08	748.61	738.29	753.83	543.96	490.14	579.04	507.46	674.59	1135.2	607.87	651.58	229.72	470.14	660.68	819.3	629.35	497.0	599.49	444.72	620.67	703.28	567.1	616.37	571.05	1950.0	1304.15	1143.1	1457.23	2148.82
PIAS3	723.08	723.08	1304.15	1242.34	1331.57	1159.07	1447.15	400.71	435.55	457.25	638.15	348.71	463.65	217.27	329.84	190.34	68.55	100.13	158.79	46.84	113.56	57.08	199.85	94.01	77.79	56.28	109.66	84.63	115.16	115.97	102.97	127.89	68.07	154.42	117.6	28.24	109.66	82.29	1923.14	1359.57	2573.36	1030.12	540.19
PLXNA1	206.94	206.94	490.14	521.76	514.56	591.22	633.73	104.42	126.12	135.24	271.48	208.38	150.17	77.79	131.51	63.0	22.59	11.04	26.86	12.55	16.39	29.7	34.02	14.56	11.21	36.53	22.92	19.82	29.27	40.64	27.44	36.79	33.06	60.82	19.82	1.64	31.0	17.38	842.36	616.37	1268.46	830.75	642.59
PNMA1	583.07	583.07	642.59	624.99	647.07	486.75	1127.35	518.15	301.33	147.06	366.09	224.97	246.28	178.77	231.32	136.19	46.84	49.91	52.45	14.78	33.06	19.25	81.14	20.86	40.07	64.34	39.22	62.56	87.03	78.34	36.01	91.41	25.17	117.6	50.63	26.86	46.18	30.78	928.3	507.46	397.93	854.13	698.41
POLH	166.73	166.73	297.17	199.85	232.94	226.54	166.73	100.83	151.22	84.63	265.87	110.43	155.5	104.42	167.9	110.43	79.45	36.79	88.88	43.94	70.51	59.97	78.34	49.21	50.27	84.04	62.56	78.89	91.41	125.24	114.36	94.01	32.59	121.79	78.89	32.13	54.72	60.39	162.14	167.9	175.07	341.51	137.14
PPME1	890.44	890.44	878.17	854.13	698.41	647.07	909.17	607.87	406.31	318.57	460.44	473.41	406.31	341.51	397.93	287.01	226.54	232.94	189.02	195.72	178.77	229.72	320.8	208.38	221.86	246.28	158.79	236.21	256.78	246.28	232.94	163.28	336.79	185.11	220.32	146.03	202.66	178.77	1143.1	1286.18	1167.14	884.29	1073.91
PPP2R5B	241.19	241.19	221.86	223.41	281.09	332.14	432.53	218.79	320.8	220.32	241.19	281.09	220.32	237.86	241.19	177.53	140.04	108.14	150.17	127.0	105.15	108.14	178.77	118.43	88.26	87.03	87.03	163.28	157.68	148.09	123.5	124.37	129.69	87.65	164.42	85.82	132.44	98.04	166.73	389.72	420.68	348.71	197.09
PRIM2	145.02	145.02	173.85	111.99	113.56	131.51	148.09	106.63	111.99	183.82	221.86	71.5	74.06	48.87	105.15	31.0	33.06	24.81	29.48	21.01	23.76	41.52	18.97	16.63	27.84	28.86	33.06	30.12	34.26	36.53	17.77	36.01	19.11	36.79	50.63	31.22	16.03	18.97	299.25	122.64	201.25	262.2	135.24
PTPN23	511.0	511.0	285.03	457.25	595.34	571.05	669.92	521.76	551.56	497.0	603.67	500.46	476.71	305.55	563.18	242.88	165.57	172.65	229.72	123.5	193.01	102.97	186.4	158.79	212.78	211.31	211.31	221.86	214.27	217.27	180.02	295.11	248.0	209.84	215.77	103.69	197.09	148.09	466.88	429.54	318.57	941.27	583.07
PYGB	2664.15	2664.15	1119.56	3039.3	1745.2	6250.56	1457.23	2075.59	587.13	941.27	1286.18	642.59	642.59	379.04	595.34	314.17	253.23	244.57	124.37	70.51	111.99	154.42	217.27	309.83	143.01	154.42	135.24	137.14	400.71	226.54	151.22	193.01	143.01	237.86	129.69	94.67	111.21	107.38	1096.5	713.11	934.76	1540.37	961.07
QRICH1	921.88	921.88	808.0	1037.29	1304.15	1073.91	1617.0	921.88	860.08	1023.0	1008.9	753.83	802.41	591.22	728.11	551.56	373.81	414.87	708.18	295.11	559.28	295.11	409.15	457.25	438.59	403.5	414.87	490.14	441.64	325.29	583.07	483.38	503.95	571.05	483.38	194.36	450.94	389.72	1037.29	947.83	813.63	1498.22	1167.14
RAB23	256.78	256.78	463.65	228.13	260.38	343.89	629.35	75.11	141.02	95.34	152.28	96.01	31.22	67.59	78.89	39.22	47.84	17.51	33.78	52.45	17.51	25.91	43.02	26.1	16.39	10.08	19.11	30.34	81.14	35.25	23.93	20.11	18.29	45.21	32.13	26.47	52.82	69.03	348.71	277.2	217.27	366.09	395.18
RGL2	1896.65	1896.65	2645.74	1628.26	1923.14	2367.9	2240.11	819.3	1242.34	651.58	1551.09	607.87	1081.39	769.69	1242.34	753.83	197.09	486.75	842.36	551.56	543.96	341.51	353.59	232.94	483.38	713.11	384.34	796.86	287.01	525.39	738.29	684.02	297.17	629.35	587.13	143.01	591.22	371.22	2664.15	1159.07	2133.97	2468.49	1896.65
RIOK1	325.29	325.29	336.79	384.34	381.68	381.68	748.61	297.17	297.17	172.65	356.05	217.27	265.87	226.54	229.72	176.29	125.24	135.24	98.04	80.01	83.45	66.65	115.16	98.73	67.12	152.28	147.06	153.34	124.37	92.05	109.66	84.04	150.17	189.02	148.09	46.18	177.53	129.69	460.44	669.92	656.11	351.14	412.0
RNF41	514.56	514.56	743.43	748.61	872.1	878.17	1088.92	441.64	480.04	325.29	473.41	361.04	341.51	384.34	318.57	376.41	154.42	169.07	155.5	153.34	224.97	175.07	339.14	206.94	186.4	156.59	223.41	172.65	164.42	190.34	190.34	195.72	172.65	244.57	156.59	293.07	201.25	214.27	728.11	679.29	785.88	934.76	684.02
RNF8	403.5	403.5	409.15	325.29	301.33	318.57	830.75	226.54	279.14	361.04	507.46	283.05	698.41	176.29	248.0	197.09	102.25	72.01	139.07	102.97	144.01	101.54	193.01	112.77	111.21	111.21	73.03	153.34	93.35	186.4	126.12	183.82	85.22	186.4	135.24	68.55	115.16	72.52	441.64	426.57	708.18	423.61	503.95
RNMT	460.44	460.44	563.18	540.19	607.87	532.74	896.64	329.84	373.81	540.19	429.54	356.05	395.18	265.87	309.83	305.55	177.53	255.0	269.6	183.82	228.13	234.57	299.25	255.0	283.05	267.73	181.28	244.57	279.14	141.02	303.44	190.34	175.07	301.33	199.85	136.19	297.17	209.84	713.11	373.81	591.22	460.44	802.41
SEPN1	1322.37	1322.37	1487.87	2032.85	1417.35	2287.2	1733.13	1066.48	1008.9	536.45	1159.07	775.05	616.37	518.15	698.41	423.61	228.13	162.14	256.78	202.66	211.31	190.34	224.97	190.34	208.38	182.55	193.01	185.11	190.34	395.18	133.36	432.53	113.56	242.88	237.86	111.21	187.71	223.41	620.67	1950.0	974.5	2417.67	1225.22
SLC26A2	125.24	125.24	177.53	244.57	231.32	283.05	31.45	75.11	45.85	48.18	154.42	56.28	34.02	40.07	82.87	23.42	10.96	4.46	16.63	5.32	6.11	8.65	15.11	23.25	4.43	8.51	8.78	7.88	10.08	12.64	12.83	15.11	9.27	19.11	10.47	2.01	13.22	10.0	102.25	122.64	127.0	156.59	148.09
SLC39A10	318.57	318.57	368.65	368.65	339.14	412.0	497.0	173.85	123.5	118.43	232.94	148.09	54.33	86.43	356.05	70.51	23.59	21.16	172.65	43.94	25.72	43.02	47.5	53.57	17.9	14.67	33.54	29.7	22.1	60.82	143.01	40.93	12.45	92.7	20.11	10.08	27.84	84.63	848.22	285.03	351.14	974.5	612.11
SLC5A6	1081.39	1081.39	1909.85	2335.28	1781.89	2739.08	1331.57	603.67	2367.9	988.12	1119.56	759.08	878.17	693.58	551.56	759.08	368.65	291.04	384.34	314.17	283.05	432.53	371.22	490.14	363.56	381.68	376.41	543.96	255.0	493.56	406.31	466.88	830.75	417.77	460.44	796.86	339.14	265.87	2061.24	1104.13	1135.2	2502.97	1733.13
SLC6A9	155.5	155.5	154.42	152.28	172.65	121.79	141.02	110.43	136.19	56.28	76.17	45.53	63.0	32.36	94.67	22.43	8.32	7.51	9.34	1.73	5.28	3.63	11.82	7.06	4.82	23.59	4.98	4.82	12.64	13.22	1.79	10.55	7.57	15.56	7.28	3.11	15.45	5.54	301.33	316.37	392.44	177.53	480.04
SMARCAL1	409.15	409.15	497.0	392.44	351.14	423.61	346.29	267.73	237.86	258.57	334.46	211.31	287.01	152.28	303.44	197.09	154.42	90.14	155.5	100.83	96.68	120.94	109.66	100.13	173.85	112.77	147.06	172.65	113.56	244.57	70.51	144.01	88.88	169.07	98.73	78.89	158.79	127.89	457.25	267.73	226.54	429.54	339.14
SMARCE1	2915.45	2915.45	4543.8	3372.43	3190.46	3257.52	5147.73	2502.97	1832.01	2075.59	3874.05	1781.89	1857.6	1561.89	2701.35	1407.55	1044.52	825.0	1001.93	1135.2	669.92	988.12	1015.93	775.05	629.35	842.36	860.08	1175.27	1008.9	1844.76	759.08	1561.89	866.07	1388.16	1088.92	624.99	1081.39	854.13	3982.99	2720.15	2855.44	2645.74	2351.53
SMG8	269.6	269.6	312.0	269.6	323.03	291.04	205.5	201.25	182.55	166.73	397.93	201.25	155.5	143.01	164.42	123.5	101.54	87.03	83.45	88.26	52.08	90.14	118.43	96.68	78.34	108.9	96.68	90.14	71.0	156.59	85.82	130.6	84.63	101.54	86.43	49.56	96.68	74.58	397.93	194.36	332.14	195.72	429.54
SOCS7	104.42	104.42	131.51	251.48	343.89	232.94	167.9	65.72	47.84	32.13	84.63	78.34	50.63	23.08	37.59	19.68	5.87	11.13	4.62	6.16	7.82	4.66	7.63	8.45	8.78	8.92	22.75	2.94	4.06	17.51	17.64	11.04	7.28	16.27	4.24	2.58	7.75	4.82	293.07	224.97	218.79	223.41	50.63
SOGA1	206.94	206.94	239.52	305.55	368.65	361.04	518.15	98.73	68.07	38.95	176.29	78.89	59.97	45.53	87.03	33.78	12.64	8.19	41.52	8.13	12.93	4.17	21.16	4.31	11.73	2.76	12.27	13.22	16.88	27.84	9.7	31.67	10.16	16.63	28.65	3.66	13.62	9.7	244.57	289.02	262.2	353.59	329.84
SP2	339.14	339.14	244.57	409.15	536.45	463.65	381.68	275.28	379.04	285.03	384.34	211.31	212.78	221.86	224.97	180.02	130.6	157.68	187.71	130.6	162.14	118.43	146.03	90.14	145.02	155.5	189.02	111.99	127.89	182.55	106.63	211.31	122.64	177.53	185.11	107.38	119.26	116.78	414.87	353.59	253.23	480.04	872.1
SRC	934.76	934.76	718.08	738.29	647.07	748.61	2240.11	384.34	511.0	392.44	934.76	299.25	450.94	265.87	723.08	273.37	209.84	128.79	435.55	49.91	84.04	54.33	114.36	82.29	102.25	145.02	297.17	161.02	206.94	175.07	379.04	116.78	65.72	420.68	147.06	68.55	115.16	82.29	1199.98	941.27	1008.9	3212.66	1662.49
SYNGAP1	264.03	264.03	305.55	228.13	346.29	325.29	780.44	120.1	202.66	40.07	140.04	112.77	77.25	67.59	110.43	91.41	23.25	22.59	40.36	17.77	10.55	6.46	43.02	14.45	9.56	34.02	24.99	53.95	12.27	50.27	46.18	31.0	36.27	38.4	45.21	10.79	52.45	9.63	325.29	291.04	616.37	470.14	638.15
TCF20	381.68	381.68	273.37	366.09	457.25	511.0	435.55	301.33	236.21	189.02	497.0	271.48	334.46	191.67	232.94	143.01	63.45	99.43	82.29	142.01	86.43	111.99	127.0	134.3	84.63	105.15	189.02	88.88	100.13	185.11	95.34	145.02	112.77	131.51	115.97	74.58	108.14	137.14	595.34	616.37	718.08	591.22	432.53
TEAD2	1037.29	1037.29	1331.57	1191.69	915.51	1242.34	854.13	967.76	341.51	194.36	1119.56	406.31	616.37	241.19	312.0	242.88	94.01	30.34	76.71	65.26	40.36	34.75	59.55	16.63	79.45	119.26	57.89	48.18	42.41	64.8	32.59	167.9	53.19	98.04	77.25	232.94	74.06	44.89	1417.35	1277.29	1304.15	460.44	1051.79
TIGD6	211.31	211.31	146.03	156.59	153.34	126.12	80.01	102.97	119.26	92.05	104.42	65.26	80.01	73.03	96.01	70.01	51.35	67.12	39.5	38.4	57.89	53.19	54.72	44.25	52.82	49.91	52.82	32.13	66.18	51.35	47.5	52.82	22.75	65.26	43.94	18.7	29.48	43.63	104.42	85.82	111.99	92.7	129.69
TMEM136	115.97	115.97	134.3	112.77	139.07	103.69	223.41	120.94	56.28	17.51	66.18	38.95	39.22	35.25	39.79	28.65	29.06	18.56	33.54	3.38	8.38	5.59	8.38	6.36	18.97	3.26	3.89	25.91	14.24	15.91	4.94	8.58	9.63	41.52	23.76	3.92	19.82	2.89	125.24	186.4	157.68	68.55	356.05
TMEM55A	162.14	162.14	163.28	281.09	320.8	251.48	285.03	420.68	102.25	77.79	242.88	353.59	137.14	150.17	185.11	97.36	50.98	13.72	82.87	41.22	42.11	27.25	26.47	31.67	38.67	28.04	101.54	57.49	106.63	32.59	38.95	119.26	97.36	208.38	121.79	25.91	29.06	24.81	206.94	142.01	141.02	178.77	262.2
TMEM69	684.02	684.02	698.41	764.36	665.29	941.27	902.89	412.0	497.0	607.87	500.46	486.75	312.0	441.64	358.54	423.61	258.57	251.48	314.17	277.2	323.03	346.29	287.01	376.41	236.21	289.02	215.77	145.02	305.55	312.0	329.84	432.53	142.01	460.44	301.33	172.65	264.03	289.02	728.11	651.58	860.08	1030.12	819.3
TP53BP1	536.45	536.45	836.53	620.67	703.28	738.29	723.08	212.78	215.77	206.94	253.23	244.57	177.53	148.09	244.57	154.42	85.82	91.41	114.36	44.57	91.41	47.84	94.01	34.26	72.52	74.06	73.54	104.42	99.43	110.43	85.82	106.63	74.58	131.51	120.1	31.45	67.12	53.57	1487.87	514.56	928.3	836.53	836.53
TPR	1081.39	1081.39	1073.91	995.0	1066.48	961.07	1331.57	1015.93	775.05	708.18	1111.82	674.59	890.44	587.13	854.13	511.0	264.03	293.07	514.56	267.73	285.03	293.07	239.52	316.37	273.37	423.61	251.48	559.28	264.03	316.37	417.77	587.13	503.95	255.0	379.04	133.36	379.04	159.9	1268.46	866.07	1191.69	1295.13	934.76
TRIM25	629.35	629.35	1008.9	753.83	738.29	518.15	559.28	371.22	395.18	426.57	624.99	466.88	483.38	423.61	273.37	214.27	265.87	111.21	226.54	109.66	194.36	147.06	157.68	103.69	119.26	138.1	140.04	148.09	178.77	145.02	287.01	115.97	283.05	231.32	198.47	87.65	156.59	119.26	567.1	595.34	836.53	825.0	305.55
TTC9C	688.78	688.78	1051.79	728.11	642.59	791.35	836.53	579.04	497.0	579.04	802.41	466.88	511.0	441.64	679.29	441.64	291.04	361.04	414.87	332.14	412.0	389.72	463.65	316.37	343.89	303.44	444.72	309.83	426.57	307.69	376.41	285.03	277.2	497.0	414.87	205.5	532.74	305.55	543.96	660.68	693.58	796.86	819.3
TTLL1	281.09	281.09	180.02	279.14	258.57	267.73	127.0	102.25	126.12	71.5	157.68	75.11	87.65	58.71	77.25	60.39	47.5	44.25	67.12	22.26	19.25	55.89	34.02	30.78	39.79	12.36	47.84	39.22	47.17	74.58	26.67	57.89	18.16	40.36	31.9	22.1	33.06	25.35	175.07	158.79	267.73	86.43	193.01
TTR	25.54	25.54	0.0	0.85	1.2	0.0	77.25	10512.82	32315.87	294926.33	8598.28	67846.12	61146.25	115696.65	169390.27	115696.65	1093103.58	1221310.69	971597.0	1589343.01	978355.0	1556634.79	932018.1	1432396.03	741454.2	2247670.86	2068278.89	857631.47	1442359.14	875652.15	1318073.06	1196176.45	1048575.0	1393227.06	2111737.85	958220.73	1556634.79	1775752.63	0.0	0.0	0.0	450.94	1745.2
TYRO3	98.73	98.73	111.99	90.14	199.85	180.02	476.71	133.36	76.17	20.26	239.52	36.27	127.89	62.56	237.86	61.68	9.41	18.43	54.33	10.0	33.3	10.31	47.84	12.74	8.58	6.01	18.97	30.34	53.57	48.52	10.0	68.55	12.83	35.25	38.67	24.46	7.88	25.91	343.89	301.33	277.2	493.56	583.07
UBE2Q2	547.75	547.75	928.3	733.19	718.08	583.07	493.56	361.04	258.57	189.02	514.56	318.57	397.93	228.13	260.38	153.34	71.0	55.1	69.52	22.1	55.89	43.94	50.63	20.26	59.97	36.53	63.0	66.18	105.89	116.78	32.36	202.66	53.95	291.04	72.01	30.56	60.82	125.24	339.14	466.88	483.38	555.41	536.45
UBXN2A	176.29	176.29	260.38	264.03	283.05	343.89	182.55	242.88	156.59	148.09	264.03	126.12	264.03	154.42	159.9	119.26	111.99	75.11	100.13	92.05	99.43	97.36	130.6	108.9	96.68	51.35	115.16	94.67	133.36	107.38	159.9	117.6	58.3	194.36	96.01	87.03	88.88	175.07	318.57	460.44	277.2	253.23	194.36
UHRF1BP1	141.02	141.02	223.41	126.12	134.3	159.9	102.25	82.29	76.71	120.1	133.36	85.82	116.78	52.82	82.87	46.5	42.11	29.7	20.41	11.73	21.47	22.92	33.3	28.45	14.14	28.86	19.39	31.9	21.32	31.22	36.53	49.21	46.84	43.02	39.5	14.24	39.79	32.59	172.65	166.73	221.86	217.27	98.73
WWC3	341.51	341.51	493.56	423.61	470.14	358.54	307.69	127.89	173.85	141.02	157.68	186.4	99.43	117.6	128.79	105.89	67.12	20.26	65.72	38.12	37.85	34.51	57.49	35.25	41.52	21.01	57.89	57.49	50.98	52.08	90.14	102.25	55.89	59.55	78.34	15.22	53.95	42.41	397.93	441.64	341.51	466.88	348.71
XPOT	583.07	583.07	934.76	733.19	703.28	796.86	1044.52	896.64	466.88	536.45	718.08	708.18	543.96	529.06	713.11	327.56	239.52	177.53	212.78	159.9	208.38	239.52	279.14	366.09	139.07	226.54	336.79	167.9	267.73	244.57	209.84	214.27	291.04	291.04	279.14	148.09	185.11	220.32	3515.68	1896.65	1487.87	1008.9	1277.29
XXYLT1	279.14	279.14	381.68	334.46	209.84	397.93	346.29	164.42	150.17	85.22	239.52	85.82	122.64	66.18	86.43	64.34	22.26	33.54	51.71	18.56	12.0	14.67	69.03	23.42	20.71	21.78	34.51	42.41	60.82	44.89	24.46	54.72	38.12	38.12	36.53	14.67	38.95	35.25	890.44	2485.67	703.28	521.76	575.03
ZFYVE26	237.86	237.86	283.05	267.73	281.09	232.94	140.04	128.79	155.5	144.01	137.14	126.12	120.94	89.51	136.19	82.29	55.89	45.21	65.72	36.53	43.32	46.5	48.87	53.95	31.22	26.67	36.53	58.71	38.95	58.71	55.89	68.07	32.59	53.19	61.25	20.56	34.75	29.27	267.73	180.02	131.51	295.11	123.5
ZKSCAN5	146.03	146.03	214.27	153.34	170.25	172.65	147.06	115.97	109.66	104.42	114.36	78.34	117.6	79.45	102.97	75.64	52.45	85.22	65.26	46.18	56.28	39.22	53.19	43.32	50.98	52.08	57.49	47.17	72.01	52.82	72.52	53.19	59.13	50.98	56.28	15.22	54.72	56.68	307.69	145.02	137.14	220.32	307.69
ZNF544	409.15	409.15	521.76	470.14	514.56	503.95	521.76	336.79	291.04	186.4	480.04	332.14	376.41	251.48	532.74	273.37	226.54	64.8	226.54	128.79	253.23	412.0	299.25	348.71	283.05	54.33	183.82	157.68	251.48	327.56	164.42	120.1	166.73	253.23	273.37	159.9	142.01	128.79	620.67	825.0	450.94	525.39	915.51
