	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.UY.A78K.01A.11R.A33J.07	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GV.A40G.01A.11R.A23N.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.ZF.A9R3.01A.11R.A38B.07	TCGA.4Z.AA89.01A.11R.A39I.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A5BR.01A.11R.A26T.07	TCGA.XF.A9SK.01A.11R.A42T.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.FD.A3SL.01A.21R.A22U.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1AF.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A83P.01A.11R.A352.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.4Z.AA80.01A.11R.A39I.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.2F.A9KP.01A.11R.A38B.07	TCGA.CF.A27C.01A.11R.A16R.07	TCGA.E7.A85H.01A.11R.A352.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.GD.A2C5.01A.12R.A180.07	TCGA.ZF.A9RM.01A.11R.A38B.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.GC.A3RD.01A.12R.A22U.07	TCGA.E7.A6MD.01A.41R.A352.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.CF.A1HR.01A.11R.A13Y.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.K4.A3WV.11A.21R.A22U.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	TCGA.DS.A1OD.01A.11R.A14Y.07	GTEX.XUJ4.1526.SM.4BONU	GTEX.13W3W.1426.SM.5LU56
LILRB1	164.42	91.41	6.26	32.36	96.01	12.74	13.62	2.92	8.58	15.11	20.86	26.86	4.94	9.78	99.43	73.54	43.94	19.68	17.51	2.63	101.54	39.22	7.57	33.54	6.57	42.71	87.03	72.01	34.51	20.71	56.68	11.3	19.68	29.48	82.87	17.77	39.79	22.1	348.71	15.11	14.89	4.13	29.27	74.58	17.51	7.82	7.06	28.86	26.28	25.35	0.93	21.01	34.51	19.53	51.35	6.52	5.28	28.86	38.95	133.36	81.14	8.78	15.0	87.65	400.71	14.35	1.99	9.63	22.59	58.3	8.25	16.63	32.82	28.86	72.01	117.6	22.26	297.17	105.15	38.4	36.27
LILRB2	151.22	234.57	3.63	20.41	133.36	20.86	6.73	1.2	16.15	29.7	53.19	12.18	3.0	7.11	130.6	212.78	156.59	21.94	8.13	1.5	182.55	9.85	12.74	63.45	5.36	96.01	111.99	190.34	46.18	29.06	125.24	18.03	39.79	73.54	291.04	21.16	128.79	37.05	236.21	15.8	18.7	8.51	34.02	93.35	15.56	5.68	8.65	149.12	24.46	55.89	2.46	15.0	59.13	34.26	55.49	12.64	3.66	79.45	81.14	400.71	114.36	8.19	42.71	162.14	575.03	47.84	1.16	8.13	37.32	53.95	6.36	18.84	127.89	24.99	211.31	336.79	66.65	361.04	183.82	166.73	101.54
LILRB3	130.6	39.5	11.91	7.22	48.52	12.83	15.34	1.79	35.76	27.84	58.71	23.25	5.92	10.96	98.73	102.97	49.56	14.03	21.01	7.57	166.73	21.16	2.81	33.3	1.6	71.0	33.06	175.07	35.76	38.12	46.84	15.91	13.93	63.0	108.14	26.1	43.02	31.0	167.9	14.89	38.95	3.06	33.78	48.52	27.44	11.55	2.2	56.28	30.78	33.54	7.22	17.77	77.79	22.75	28.65	21.47	4.31	71.5	48.52	169.07	62.12	6.73	28.04	60.39	273.37	23.59	15.0	8.13	48.52	68.07	4.78	31.45	115.16	9.63	58.3	75.64	5.92	162.14	127.0	39.5	27.44
LRRC25	123.5	79.45	9.78	10.24	75.64	14.78	8.99	2.66	18.56	22.75	29.27	13.52	7.57	6.06	108.14	120.94	45.21	17.0	8.38	39.79	125.24	11.04	4.17	25.54	2.23	64.34	63.45	100.83	26.47	13.52	73.54	6.46	27.84	68.55	127.0	15.56	63.89	20.56	140.04	7.51	13.93	5.77	21.94	77.79	18.16	3.47	4.98	53.19	14.56	38.4	0.95	6.16	34.51	29.06	39.5	4.35	2.01	40.64	28.86	145.02	77.25	7.0	18.56	81.71	536.45	34.26	3.96	8.13	37.32	42.41	23.42	25.91	109.66	35.5	145.02	186.4	40.36	283.05	77.79	75.11	112.77
LY86	143.01	277.2	3.89	35.0	332.14	24.11	15.22	2.63	23.93	57.89	61.25	48.52	5.59	17.13	239.52	190.34	134.3	40.07	31.22	3.2	518.15	91.41	13.72	51.71	1.28	17.64	130.6	253.23	77.25	46.84	239.52	21.01	99.43	100.13	158.79	58.3	111.99	32.36	633.73	36.53	16.63	6.57	63.45	182.55	23.08	7.17	8.92	43.02	47.5	91.41	3.63	8.19	79.45	45.53	105.89	14.78	9.2	39.79	42.41	208.38	92.05	16.88	29.91	201.25	567.1	48.18	4.78	8.38	33.54	141.02	28.45	53.19	149.12	84.63	264.03	896.64	141.02	785.88	312.0	131.51	314.17
LY96	363.56	441.64	14.03	90.77	400.71	65.72	44.25	25.72	31.9	98.73	181.28	89.51	11.55	49.91	460.44	341.51	155.5	76.71	101.54	68.07	769.69	94.67	27.84	87.03	21.16	132.44	358.54	718.08	155.5	90.14	571.05	70.01	117.6	260.38	595.34	100.13	242.88	87.03	791.35	83.45	55.89	60.39	137.14	603.67	51.71	26.28	21.01	214.27	116.78	151.22	43.63	48.52	145.02	71.0	151.22	43.94	10.88	156.59	190.34	414.87	234.57	29.7	172.65	890.44	1508.65	684.02	22.59	108.9	121.79	217.27	39.22	269.6	314.17	119.26	500.46	665.29	567.1	1697.45	497.0	281.09	486.75
MNDA	153.34	529.06	2.41	32.13	173.85	10.47	9.63	1.77	13.42	24.99	54.72	17.0	7.51	7.63	253.23	122.64	72.52	37.05	16.63	2.63	182.55	26.28	9.27	35.0	14.24	126.12	71.0	161.02	59.13	31.9	122.64	4.62	53.95	82.29	339.14	23.76	127.89	17.77	289.02	5.63	24.81	12.55	71.0	123.5	8.99	4.1	16.51	70.51	17.9	81.71	5.15	11.55	59.97	37.05	76.17	13.83	6.89	92.7	48.87	277.2	145.02	18.7	11.82	185.11	713.11	63.0	5.32	12.27	49.21	88.88	19.53	23.59	57.08	25.54	426.57	785.88	253.23	599.49	251.48	88.88	248.0
MPEG1	791.35	656.11	4.82	29.7	291.04	27.05	8.0	4.39	18.56	60.39	73.03	37.32	3.66	7.94	211.31	255.0	131.51	43.02	14.56	6.41	607.87	57.89	12.74	33.54	5.02	83.45	208.38	197.09	106.63	56.28	177.53	13.72	75.11	104.42	447.82	29.7	201.25	37.59	728.11	31.22	35.25	15.8	45.21	195.72	28.24	8.13	27.44	55.49	39.5	71.5	6.62	13.93	86.43	29.7	189.02	10.47	10.16	68.55	71.5	303.44	138.1	10.88	29.91	171.45	1008.9	69.52	4.78	9.06	71.0	147.06	41.52	48.18	111.99	105.15	1051.79	1685.71	551.56	1030.12	209.84	265.87	381.68
MYO1F	373.81	256.78	24.63	84.04	183.82	44.25	59.97	17.38	75.11	70.51	96.01	80.57	49.21	18.84	205.5	195.72	70.51	76.71	38.95	15.34	287.01	59.97	39.22	69.03	23.25	99.43	182.55	209.84	164.42	190.34	136.19	28.45	69.52	175.07	325.29	59.13	126.12	109.66	447.82	74.06	63.89	18.29	89.51	191.67	57.08	24.28	52.08	112.77	87.03	94.67	12.93	55.1	99.43	61.25	128.79	27.05	31.67	108.14	102.25	334.46	171.45	20.56	62.12	165.57	733.19	60.39	87.65	47.5	63.45	189.02	75.64	64.34	164.42	85.22	183.82	353.59	55.49	314.17	351.14	271.48	171.45
NCF1	674.59	457.25	6.84	33.54	395.18	18.29	25.72	6.67	56.28	43.02	102.97	43.02	6.57	7.69	197.09	186.4	69.52	29.7	19.11	21.01	559.28	130.6	18.56	85.82	21.94	139.07	223.41	172.65	88.88	44.57	138.1	9.85	77.79	59.55	273.37	47.17	138.1	29.7	1051.79	63.89	32.82	14.67	24.11	193.01	23.42	10.0	14.14	153.34	59.13	82.87	8.71	13.32	71.5	46.5	89.51	11.38	8.19	115.16	80.57	616.37	198.47	21.63	81.14	228.13	878.17	46.84	8.13	13.22	30.34	209.84	10.24	43.02	155.5	45.53	117.6	595.34	215.77	173.85	316.37	58.3	267.73
NCKAP1L	91.41	32.13	11.04	22.1	231.32	30.78	8.38	2.94	16.88	35.76	55.1	18.43	2.68	5.54	239.52	147.06	91.41	43.32	18.03	2.36	457.25	45.53	10.08	90.14	4.43	48.52	151.22	115.97	88.88	32.13	241.19	12.36	92.7	133.36	267.73	27.64	135.24	29.27	728.11	26.1	20.86	15.11	39.5	195.72	20.11	4.74	9.93	68.07	32.36	86.43	3.06	8.25	84.63	40.07	89.51	7.75	8.92	76.71	41.81	232.94	144.01	13.62	42.11	124.37	669.92	36.79	2.56	11.04	42.71	127.0	20.11	33.3	68.07	43.02	320.8	665.29	64.34	1870.53	221.86	98.73	316.37
NFAM1	28.24	33.3	2.39	11.82	80.57	5.92	3.35	1.48	6.89	12.45	18.43	6.26	1.33	3.82	75.11	73.03	37.59	11.73	4.03	1.48	62.12	6.06	3.47	15.8	1.89	33.3	28.04	67.12	17.38	10.16	62.56	8.25	19.25	29.48	90.14	10.24	38.95	14.45	107.38	5.92	8.32	4.1	9.56	43.94	8.06	2.51	3.41	30.56	5.96	24.46	3.92	7.11	52.45	11.82	18.56	4.62	1.35	35.25	13.42	127.0	34.51	4.24	11.47	37.32	277.2	12.45	2.25	1.97	17.77	21.01	5.92	6.78	37.59	11.91	68.07	111.21	7.88	135.24	61.25	112.77	44.57
NLRP3	142.01	86.43	2.66	10.71	20.71	3.92	6.57	2.61	2.76	16.75	18.97	3.11	3.89	3.79	30.34	27.84	16.03	4.94	7.63	3.17	43.02	3.76	2.07	4.06	0.65	14.89	22.26	35.0	15.56	12.64	25.72	11.47	10.24	28.24	69.03	3.63	38.4	10.63	51.71	6.16	10.31	2.73	6.01	26.1	4.17	0.96	2.76	21.47	6.31	11.38	2.12	4.39	12.45	4.17	24.63	3.99	1.33	9.78	14.03	59.13	21.16	7.75	3.5	29.27	90.77	14.89	4.7	9.56	31.22	16.27	6.62	5.54	21.78	43.63	153.34	158.79	106.63	154.42	43.32	31.9	147.06
P2RY13	102.25	60.39	0.91	15.68	75.64	4.24	2.97	1.73	2.05	8.58	8.85	4.82	3.26	1.91	45.21	14.78	5.96	13.72	3.99	1.16	61.68	2.27	3.41	13.83	2.18	9.63	19.25	22.1	20.11	10.47	17.51	0.32	10.71	13.83	48.18	6.57	23.25	8.13	34.51	3.41	6.16	1.91	3.89	25.35	4.74	1.87	2.14	8.25	6.62	11.04	1.5	0.69	19.97	7.0	26.1	0.64	2.29	19.97	3.53	37.85	29.91	2.12	1.93	35.0	376.41	7.28	0.57	1.62	4.82	33.3	4.28	7.34	6.16	22.92	198.47	441.64	162.14	195.72	38.12	10.63	54.72
PARVG	595.34	232.94	12.27	86.43	599.49	35.5	29.27	11.64	43.02	74.06	165.57	84.63	10.88	22.43	312.0	273.37	124.37	76.71	47.17	13.42	599.49	154.42	26.47	117.6	12.83	84.04	273.37	358.54	182.55	98.73	231.32	30.12	98.04	146.03	353.59	64.8	143.01	82.29	1001.93	54.72	40.93	22.1	85.82	223.41	46.84	19.68	29.48	165.57	92.7	141.02	6.73	24.99	176.29	92.7	125.24	24.99	19.68	125.24	88.88	420.68	211.31	41.52	98.73	223.41	941.27	75.64	10.08	26.86	69.03	299.25	38.95	86.43	183.82	94.01	172.65	297.17	35.25	521.76	723.08	454.09	454.09
PDCD1LG2	46.18	49.91	1.51	6.11	40.93	3.32	1.69	0.0	3.47	6.41	12.64	2.81	2.97	1.66	43.94	47.17	31.22	17.77	3.44	0.61	62.12	10.16	2.1	15.11	0.97	23.08	28.45	48.87	15.68	6.21	44.25	4.9	9.41	22.43	73.03	6.62	44.25	4.78	74.06	3.44	6.94	5.19	8.19	50.98	8.65	0.97	1.87	19.25	10.39	31.0	0.0	4.1	20.41	4.54	23.42	0.96	0.69	21.32	16.27	92.7	31.45	1.55	12.09	44.57	307.69	7.69	2.25	3.89	10.0	18.97	1.22	18.7	31.67	16.63	295.11	224.97	138.1	61.68	50.63	40.64	181.28
PIK3AP1	108.9	66.65	6.84	5.82	115.97	11.73	4.35	2.05	10.96	16.63	28.65	8.32	5.23	3.32	98.04	92.05	72.52	16.03	8.65	10.63	114.36	38.12	7.22	18.84	4.7	44.25	57.49	51.35	39.22	12.09	82.29	14.03	28.65	42.41	148.09	13.83	71.5	9.85	291.04	11.73	12.83	10.08	24.11	86.43	20.11	17.38	8.0	37.59	15.56	38.95	1.85	13.62	36.27	31.45	54.72	7.4	5.28	35.76	21.16	100.83	74.58	7.28	13.72	86.43	409.15	27.05	9.41	5.5	32.13	58.71	10.63	19.39	39.79	18.7	217.27	507.46	77.25	669.92	121.79	46.84	153.34
PIK3R5	149.12	89.51	4.78	12.55	135.24	8.25	4.7	3.79	7.28	26.86	48.52	18.03	3.96	8.45	105.15	55.89	46.18	29.91	7.75	2.36	130.6	14.03	10.0	16.63	3.79	27.84	55.1	65.26	37.05	21.47	72.01	8.32	24.63	48.87	131.51	10.63	44.25	25.54	154.42	18.56	20.71	9.85	19.53	65.72	13.42	6.57	6.78	36.53	19.68	25.91	1.85	8.51	56.68	17.38	43.02	8.32	4.31	27.64	27.44	98.04	65.72	3.96	20.11	41.22	208.38	16.63	6.41	5.82	23.59	63.89	11.82	23.42	45.85	28.45	118.43	134.3	40.93	234.57	176.29	90.14	74.06
PTPRC	1151.06	232.94	11.04	44.89	460.44	21.32	11.04	2.66	23.08	47.17	88.88	32.59	7.57	9.06	336.79	190.34	176.29	90.77	24.63	6.41	500.46	157.68	26.67	50.98	8.13	69.03	312.0	136.19	275.28	70.01	132.44	10.79	106.63	101.54	660.68	30.34	195.72	47.84	1594.73	35.25	43.02	28.24	42.11	325.29	26.47	9.41	22.75	127.0	48.52	133.36	7.57	10.63	224.97	79.45	172.65	33.3	27.64	90.77	75.11	379.04	205.5	77.25	29.7	205.5	1304.15	61.25	8.92	15.8	37.85	476.71	21.63	59.13	49.56	98.04	420.68	1151.06	146.03	1508.65	830.75	149.12	289.02
RASGRP4	73.03	32.59	0.92	8.45	15.45	5.87	2.68	4.31	3.11	6.73	15.0	4.86	1.66	4.1	28.45	14.56	7.4	8.32	2.48	1.17	64.34	6.01	1.06	7.0	0.65	9.7	27.44	23.93	15.34	10.88	12.18	1.55	12.27	7.17	48.52	4.31	18.03	4.13	38.4	4.35	11.64	0.3	10.96	18.16	4.17	1.58	1.87	9.48	7.4	10.16	0.0	4.1	7.69	3.23	16.51	5.54	0.68	4.78	10.55	21.94	14.35	2.14	4.78	13.32	46.5	10.47	0.58	6.41	10.0	18.97	3.17	6.78	17.25	9.27	76.17	114.36	18.29	178.77	23.93	37.59	38.67
SAMSN1	162.14	123.5	9.2	30.12	197.09	18.03	10.31	3.53	11.73	39.79	80.01	28.65	23.76	23.08	140.04	133.36	208.38	48.18	18.56	4.66	231.32	82.29	10.71	37.85	5.96	81.14	221.86	128.79	105.15	47.5	128.79	21.01	74.06	76.71	275.28	22.75	137.14	36.53	591.22	11.55	39.22	29.7	24.46	147.06	13.12	6.62	6.84	132.44	36.01	108.14	2.76	18.43	132.44	44.57	75.11	35.25	11.47	52.45	80.01	381.68	107.38	13.93	26.67	136.19	547.75	50.27	5.32	10.63	74.06	98.73	16.15	44.89	101.54	28.04	130.6	253.23	27.64	454.09	591.22	127.89	231.32
SASH3	629.35	205.5	5.73	36.01	447.82	27.25	15.34	4.39	28.86	36.79	77.79	44.57	4.31	6.62	260.38	155.5	103.69	69.52	16.39	4.7	480.04	112.77	14.45	59.13	10.0	66.65	291.04	191.67	163.28	50.27	138.1	11.73	82.87	77.25	269.6	40.93	115.16	52.82	1008.9	46.18	36.27	19.68	38.67	195.72	24.99	9.41	17.25	87.65	47.5	102.25	5.45	9.93	120.1	74.58	132.44	13.32	12.45	84.04	53.95	242.88	244.57	20.56	46.18	195.72	698.41	59.97	7.28	15.45	36.01	214.27	22.43	68.55	79.45	70.51	316.37	353.59	34.26	1066.48	403.5	155.5	226.54
SCIMP	62.12	11.82	3.0	6.78	113.56	7.88	4.35	0.0	10.96	8.32	11.3	5.23	0.36	2.2	73.03	56.28	32.36	8.06	5.28	4.06	73.54	11.3	4.82	19.53	0.96	34.51	38.67	49.21	18.97	11.64	68.55	3.38	17.0	28.86	117.6	7.28	44.25	7.28	197.09	12.36	4.86	4.66	16.63	55.89	6.57	4.06	6.16	24.11	14.45	18.97	0.64	4.1	26.47	12.18	23.42	5.87	1.99	37.05	12.0	117.6	37.85	5.73	7.06	50.98	171.45	8.65	0.31	1.0	8.13	46.5	4.74	13.52	22.26	19.11	59.97	94.67	8.45	183.82	77.25	82.29	99.43
SELPLG	1369.04	154.42	10.47	70.51	454.09	48.87	33.54	7.57	36.01	96.01	138.1	87.03	8.58	27.25	395.18	242.88	180.02	101.54	38.12	7.57	878.17	63.89	24.11	75.11	20.56	106.63	303.44	293.07	208.38	88.88	277.2	32.36	115.97	143.01	525.39	77.25	244.57	94.01	713.11	33.54	35.5	31.45	62.56	368.65	50.98	17.13	25.17	229.72	65.26	183.82	7.28	31.9	224.97	75.64	214.27	20.41	19.97	117.6	117.6	525.39	314.17	28.04	92.05	314.17	967.76	72.01	11.21	41.52	66.65	258.57	27.44	114.36	234.57	120.94	547.75	616.37	123.5	921.88	674.59	264.03	305.55
SIGLEC1	389.72	71.0	1.25	18.43	124.37	19.97	1.39	0.92	13.83	13.93	40.07	24.28	5.32	4.43	124.37	92.05	97.36	37.32	9.06	3.53	146.03	10.31	6.94	22.59	2.86	48.52	58.71	269.6	29.7	23.42	57.89	9.85	23.59	57.49	119.26	10.39	57.49	19.39	96.68	12.83	7.4	9.93	74.06	71.5	27.64	5.68	6.52	22.92	7.17	53.57	1.87	8.58	40.93	36.53	73.03	3.76	2.03	38.12	38.67	234.57	63.0	3.08	11.91	55.49	890.44	20.26	0.89	11.64	24.46	43.63	8.71	31.22	39.22	12.83	265.87	423.61	182.55	836.53	218.79	78.89	105.15
SNCG	26800.01	44145.15	12764.83	69271.73	48307.85	35856.82	47974.16	40904.3	33224.42	52497.92	48982.22	47974.16	49666.0	32767.0	47974.16	29531.18	40062.48	71219.26	24832.5	29531.18	27745.15	65082.31	28923.41	51775.15	71714.63	52863.07	82951.62	36106.23	43840.21	63742.91	53973.86	46662.28	52135.28	49322.93	19754.96	36106.23	37121.34	44145.15	19754.96	41763.8	32315.87	39237.98	50709.61	44452.21	25005.23	42346.82	26248.46	33455.53	43840.21	51417.5	33455.53	35363.15	57051.4	33224.42	41188.81	23820.89	34158.52	43537.38	37379.55	75280.1	76330.98	22535.88	36864.92	52497.92	31870.96	68793.23	37379.55	81809.59	37379.55	42054.3	60304.42	48643.87	35363.15	48643.87	36610.26	26431.04	76330.98	53973.86	25530.66	63742.91	158046.64
TLR8	12.0	22.43	0.32	0.0	17.51	1.0	0.68	0.6	0.71	1.95	5.45	1.06	0.0	0.29	37.85	31.22	9.34	2.78	1.25	0.31	26.86	0.4	0.71	4.43	0.33	16.75	10.08	13.03	4.03	2.92	13.52	0.64	5.87	10.0	52.82	2.32	21.94	0.97	43.63	0.33	1.75	1.91	4.24	20.11	0.92	0.65	0.95	18.84	2.25	2.32	0.32	0.0	8.65	4.82	12.18	0.64	0.0	12.74	6.67	63.0	16.03	0.62	2.56	18.97	170.25	5.41	0.3	0.35	5.19	6.36	0.41	2.18	9.63	2.41	25.35	68.55	6.94	62.12	16.27	11.3	13.52
TNFAIP8L2	220.32	92.7	3.89	53.19	214.27	29.27	17.51	5.82	21.16	23.08	51.35	30.78	6.57	6.01	139.07	128.79	59.13	52.45	16.39	7.51	316.37	31.22	8.99	43.63	8.71	84.04	103.69	148.09	59.13	47.17	125.24	10.71	38.4	53.57	133.36	50.63	81.14	45.21	226.54	20.11	18.7	12.0	31.9	90.14	14.67	5.96	15.91	71.0	29.91	78.34	6.62	21.63	66.65	32.82	98.04	5.28	7.88	74.06	22.59	218.79	114.36	23.93	26.47	164.42	571.05	46.5	3.92	15.11	24.63	67.59	14.56	32.82	82.29	55.1	185.11	265.87	54.72	713.11	285.03	82.87	217.27
WDFY4	156.59	74.06	6.78	32.59	246.28	7.51	3.99	1.19	17.38	24.11	21.16	6.26	7.82	4.9	91.41	66.18	27.84	28.24	3.11	6.89	334.46	65.26	6.84	29.7	2.2	24.63	103.69	52.45	47.84	15.56	73.03	5.19	28.45	28.86	145.02	18.43	59.13	9.78	514.56	26.28	13.12	4.39	14.45	88.26	9.78	3.14	7.94	24.99	31.67	26.67	2.14	4.1	46.18	15.91	45.53	11.04	2.66	34.26	17.64	126.12	76.17	5.73	13.62	59.13	148.09	9.93	1.69	6.41	19.97	104.42	5.92	23.25	23.42	38.95	99.43	283.05	62.12	373.81	94.01	77.25	69.52
