	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
RAPGEF2	66.65	43.32	52.08	69.03	52.82	379.04	139.07	231.32	255.0	171.45	163.28	201.25	97.36	166.73	392.44	140.04	291.04	532.74	314.17	490.14	656.11	217.27	265.87	490.14	209.84	409.15	204.07	336.79	113.56	753.83	483.38	1015.93	470.14	429.54	163.28	974.5	158.79	366.09	547.75	723.08	981.29	191.67	738.29	104.42	1167.14	450.94	154.42	476.71	154.42	733.19	660.68	215.77	312.0	543.96	92.05	0.0	0.56	50.63	72.52
RNF14	507.46	368.65	381.68	291.04	182.55	607.87	285.03	693.58	638.15	483.38	607.87	638.15	470.14	503.95	532.74	429.54	603.67	769.69	616.37	698.41	708.18	447.82	500.46	753.83	463.65	624.99	529.06	808.0	438.59	728.11	555.41	941.27	1023.0	764.36	470.14	1119.56	409.15	642.59	974.5	909.17	679.29	679.29	1030.12	454.09	878.17	420.68	409.15	583.07	420.68	1167.14	860.08	406.31	688.78	743.43	536.45	571.05	95.34	289.02	316.37
RTP3	0.0	0.57	0.0	0.0	1.03	454.09	0.0	591.22	389.72	176.29	444.72	358.54	638.15	218.79	791.35	2.36	244.57	1350.18	813.63	733.19	1059.11	808.0	599.49	547.75	559.28	232.94	265.87	466.88	17.25	1757.34	8078.22	420.68	1909.85	1594.73	1044.52	5006.93	224.97	323.03	332.14	1331.57	2032.85	14.14	2591.27	7.82	1225.22	34.75	379.04	155.5	651.58	3690.52	974.5	830.75	2520.38	4298.64	10.79	0.0	0.0	1.07	0.72
SAA1	9808.75	1.23	20030.74	0.0	748.61	1290947.48	25887.07	978355.0	520665.48	417089.23	2343119.96	1715263.94	606436.73	721179.07	1668359.93	129.69	365622.68	912837.43	2845004.48	4194303.0	2126426.15	520665.48	1221310.69	789181.81	2011721.67	3336720.86	3178687.03	1085552.95	54349.29	531605.79	900270.11	998912.34	1012856.65	542775.98	1775752.63	800198.39	1255646.43	1204496.53	701458.36	485798.0	573724.06	672883.8	2097151.0	144427.91	875652.15	517068.97	1535204.12	839981.65	711250.37	74760.09	1229805.58	1364554.84	1327240.99	627822.72	531605.79	0.0	0.57	297.17	155.5
SEC14L4	4.58	62.12	15.68	1.01	0.0	381.68	11.55	220.32	123.5	81.71	123.5	18.16	100.83	127.89	198.47	2.07	191.67	351.14	228.13	287.01	412.0	248.0	309.83	318.57	283.05	204.07	129.69	105.15	2.61	830.75	1936.53	363.56	85.82	35.76	214.27	802.41	30.12	1096.5	172.65	825.0	164.42	55.49	780.44	18.29	656.11	11.21	24.63	156.59	166.73	1508.65	629.35	395.18	241.19	187.71	25.54	0.0	0.0	16.63	0.0
SEMA4G	18.43	72.01	9.63	19.53	10.39	429.54	43.02	291.04	356.05	267.73	909.17	813.63	387.02	312.0	579.04	29.06	486.75	769.69	493.56	802.41	890.44	583.07	775.05	1208.34	379.04	463.65	547.75	665.29	146.03	1487.87	1096.5	703.28	1304.15	563.18	878.17	1277.29	148.09	463.65	1159.07	902.89	540.19	271.48	748.61	204.07	802.41	57.89	307.69	780.44	624.99	1794.29	490.14	412.0	698.41	698.41	69.52	0.0	0.32	145.02	39.79
SHANK2	6.31	2.36	11.38	36.01	4.9	141.02	22.1	127.89	175.07	70.01	90.77	167.9	100.13	130.6	171.45	4.28	241.19	229.72	212.78	204.07	267.73	95.34	141.02	202.66	77.79	234.57	112.77	85.82	14.03	327.56	275.28	759.08	327.56	165.57	287.01	293.07	57.89	536.45	241.19	163.28	301.33	134.3	211.31	77.79	579.04	204.07	212.78	215.77	193.01	237.86	403.5	143.01	136.19	220.32	36.01	0.0	0.11	6.36	13.83
SLC22A9	0.0	0.0	0.29	0.0	0.0	633.73	0.45	256.78	271.48	332.14	289.02	107.38	132.44	201.25	454.09	0.79	187.71	476.71	392.44	414.87	612.11	441.64	547.75	447.82	420.68	384.34	371.22	1051.79	76.71	1498.22	1359.57	941.27	1151.06	684.02	256.78	988.12	98.04	1051.79	473.41	1322.37	1259.69	29.27	3515.68	31.67	909.17	30.12	258.57	1313.23	150.17	1794.29	1519.15	860.08	733.19	723.08	0.0	0.0	0.0	6.41	0.29
SLC2A2	0.0	0.0	0.0	0.0	0.0	7911.95	1.0	1605.83	5954.47	2816.11	3349.13	6164.49	1225.22	2104.58	6250.56	1.69	4239.45	5711.87	6792.79	9474.59	9945.68	6887.62	7749.1	7537.18	5872.48	7280.4	6516.03	4836.35	143.01	24321.43	15180.22	14971.21	12676.65	7966.99	1407.55	43840.21	599.49	5995.9	17197.56	11664.82	14867.79	178.77	23492.92	423.61	11189.6	148.09	3235.01	16045.82	3280.18	41475.31	15934.98	15180.22	12943.04	6983.79	0.44	0.0	0.05	0.0	2.92
SLC31A1	403.5	241.19	279.14	185.11	173.85	1628.26	137.14	587.13	1331.57	679.29	559.28	785.88	435.55	723.08	1199.98	327.56	759.08	1662.49	1447.15	2075.59	1923.14	1216.75	1477.58	1457.23	1340.84	1508.65	1088.92	1870.53	587.13	2004.85	2609.3	2976.74	2104.58	2075.59	1651.0	2835.7	1175.27	1529.73	2400.97	2287.2	2485.67	1127.35	2240.11	450.94	2591.27	981.29	651.58	1685.71	974.5	3124.78	2451.44	1769.57	1857.6	2701.35	1295.13	457.25	343.89	197.09	348.71
SLC35D1	67.12	67.12	78.34	102.97	82.29	1059.11	83.45	281.09	802.41	395.18	403.5	271.48	157.68	271.48	733.19	120.94	395.18	1008.9	688.78	1242.34	1001.93	713.11	896.64	872.1	743.43	934.76	796.86	1313.23	171.45	1487.87	1242.34	1936.53	1583.71	902.89	728.11	1757.34	373.81	988.12	1427.22	1447.15	1417.35	358.54	1685.71	205.5	1583.71	305.55	384.34	1733.13	775.05	1685.71	1477.58	802.41	1225.22	1119.56	363.56	0.0	0.39	32.36	66.65
SLC41A2	155.5	40.07	18.03	32.59	26.86	1397.83	10.16	603.67	780.44	420.68	612.11	460.44	281.09	403.5	1001.93	44.25	514.56	1242.34	563.18	1081.39	1304.15	819.3	1457.23	1350.18	928.3	1081.39	1322.37	1183.45	343.89	2997.45	2777.33	2739.08	1457.23	1191.69	884.29	3690.52	223.41	1286.18	1519.15	1467.37	1277.29	708.18	3349.13	420.68	1250.98	181.28	759.08	1857.6	693.58	2451.44	2645.74	764.36	1397.83	1757.34	264.03	248.0	476.71	142.01	88.26
SLCO1B1	6.41	0.0	4.24	0.0	0.0	2915.45	7.75	860.08	1167.14	1073.91	947.83	1175.27	426.57	921.88	3212.66	3.53	1551.09	2104.58	2319.15	3212.66	3235.01	2335.28	3443.31	3168.41	3018.3	4066.71	2148.82	1844.76	1832.01	5403.7	8598.28	21768.19	11189.6	5076.84	1304.15	51062.33	490.14	511.0	13776.25	6792.79	5633.22	339.14	7857.29	518.15	10225.32	607.87	397.93	20310.37	314.17	23169.48	5112.16	3515.68	6471.02	6037.61	24.11	0.0	0.07	0.0	0.91
SLCO2B1	476.71	19.82	34.75	117.6	32.13	3639.7	172.65	1733.13	2451.44	1909.85	2287.2	2193.99	1685.71	1322.37	3325.99	1359.57	2915.45	5751.61	3212.66	5147.73	4543.8	2796.65	2720.15	5183.54	3168.41	3614.55	3146.52	3190.46	457.25	5995.9	6935.54	7130.55	11827.67	4639.29	5441.3	13586.57	1594.73	4512.4	12676.65	5041.77	5076.84	961.07	11827.67	967.76	5954.47	237.86	2835.7	11504.21	2573.36	16383.0	5479.15	4869.99	4671.57	7180.15	133.36	0.0	0.55	314.17	185.11
SORD	145.02	825.0	669.92	483.38	336.79	7331.05	253.23	2240.11	5751.61	1674.06	2240.11	6381.92	2287.2	2090.03	5633.22	293.07	4450.27	4704.07	8134.41	8778.97	8479.89	6983.79	5995.9	6207.38	4543.8	5517.27	3982.99	8963.45	854.13	12160.22	22380.2	6294.04	10014.87	7230.1	3039.3	34158.52	2319.15	4869.99	19892.37	9945.68	10883.59	988.12	11424.74	791.35	9344.14	486.75	3690.52	15607.02	1844.76	41763.8	9876.98	7331.05	7485.11	6516.03	312.0	0.0	0.35	995.0	239.52
SOWAHB	8.58	3.5	5.28	8.0	84.63	231.32	4.1	106.63	206.94	55.1	95.34	91.41	59.13	103.69	117.6	0.0	100.83	135.24	143.01	267.73	376.41	224.97	190.34	229.72	127.89	189.02	125.24	277.2	43.02	507.46	376.41	438.59	693.58	181.28	242.88	507.46	73.54	165.57	483.38	521.76	450.94	59.13	412.0	30.78	480.04	37.85	105.89	426.57	209.84	607.87	287.01	198.47	395.18	320.8	60.39	0.0	0.0	1.89	12.93
SPHK2	109.66	353.59	77.79	231.32	120.94	309.83	134.3	224.97	224.97	234.57	149.12	224.97	218.79	173.85	507.46	307.69	356.05	486.75	500.46	373.81	376.41	397.93	346.29	435.55	305.55	205.5	220.32	518.15	107.38	780.44	669.92	197.09	669.92	500.46	432.53	521.76	214.27	281.09	417.77	429.54	305.55	249.73	629.35	80.57	392.44	109.66	279.14	470.14	540.19	607.87	514.56	444.72	460.44	511.0	165.57	0.0	0.16	193.01	146.03
SUOX	303.44	312.0	88.88	341.51	81.71	921.88	363.56	559.28	764.36	450.94	753.83	1350.18	679.29	486.75	1457.23	209.84	651.58	866.07	988.12	1313.23	1467.37	1073.91	1340.84	1051.79	995.0	764.36	928.3	1208.34	309.83	1883.54	1870.53	1059.11	2133.97	1242.34	1617.0	1844.76	669.92	660.68	1794.29	1066.48	947.83	595.34	1572.76	460.44	1111.82	303.44	1073.91	1277.29	1037.29	2287.2	1477.58	1322.37	1313.23	1350.18	397.93	0.0	0.16	237.86	351.14
