	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZYW4.1626.SM.5GIE6	GTEX.13OVL.2726.SM.5J2MP	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
FP15737	35.0	22.59	46.18	73.03	73.03	57.89	88.88	96.68	83.45	132.44	76.71	62.12	81.14	126.12	80.57	135.24	155.5	295.11	228.13	543.96	149.12	303.44	185.11	423.61	137.14	297.17	318.57	46.18	332.14	150.17	299.25	309.83	403.5	271.48	339.14	246.28	149.12	149.12	73.03	77.25	116.78	96.68	99.43	127.89	206.94	62.56	74.06	87.65	67.59	31.45	49.21	59.97	24.28	30.12	55.89	12.18	18.16	19.53	123.5
GAS8	262.2	218.79	237.86	262.2	339.14	273.37	275.28	237.86	346.29	248.0	291.04	224.97	279.14	423.61	353.59	444.72	629.35	441.64	679.29	830.75	336.79	616.37	514.56	518.15	511.0	480.04	305.55	409.15	447.82	473.41	532.74	579.04	376.41	500.46	441.64	353.59	470.14	454.09	521.76	353.59	217.27	293.07	316.37	229.72	279.14	265.87	260.38	323.03	303.44	353.59	450.94	353.59	277.2	379.04	299.25	264.03	98.73	256.78	262.2
GIGYF1	176.29	285.03	318.57	384.34	305.55	299.25	420.68	334.46	583.07	318.57	218.79	435.55	476.71	633.73	473.41	624.99	954.43	748.61	1225.22	1023.0	460.44	693.58	1159.07	748.61	785.88	902.89	612.11	341.51	665.29	547.75	775.05	738.29	1023.0	848.22	669.92	435.55	878.17	830.75	723.08	236.21	255.0	334.46	244.57	271.48	260.38	242.88	269.6	414.87	373.81	417.77	417.77	529.06	214.27	249.73	159.9	103.69	181.28	348.71	366.09
GNB3	104.42	61.68	29.27	17.0	38.95	79.45	38.67	44.89	42.41	38.67	35.0	83.45	46.5	141.02	71.0	106.63	162.14	115.97	387.02	361.04	253.23	279.14	241.19	314.17	150.17	194.36	307.69	66.65	260.38	195.72	223.41	426.57	432.53	223.41	228.13	110.43	457.25	295.11	110.43	63.89	22.92	98.04	66.65	74.06	14.56	55.1	44.25	66.18	37.59	79.45	45.53	20.86	22.75	65.72	33.3	24.99	40.64	64.34	48.52
GRIPAP1	444.72	460.44	567.1	547.75	438.59	514.56	647.07	511.0	575.03	583.07	432.53	616.37	679.29	785.88	698.41	733.19	1378.57	698.41	1191.69	909.17	551.56	674.59	981.29	1037.29	928.3	954.43	830.75	511.0	884.29	713.11	896.64	780.44	1030.12	967.76	791.35	629.35	921.88	748.61	967.76	406.31	426.57	457.25	473.41	395.18	435.55	387.02	432.53	521.76	607.87	457.25	575.03	463.65	348.71	688.78	320.8	232.94	275.28	450.94	753.83
GTPBP2	381.68	432.53	414.87	395.18	351.14	395.18	808.0	808.0	624.99	698.41	802.41	1628.26	934.76	1037.29	642.59	1008.9	1674.06	1030.12	1417.35	1183.45	836.53	1151.06	1437.15	1369.04	1286.18	1268.46	1051.79	708.18	1388.16	981.29	1216.75	1191.69	1378.57	1208.34	860.08	802.41	1199.98	1191.69	1073.91	412.0	265.87	429.54	507.46	438.59	325.29	299.25	693.58	629.35	583.07	703.28	514.56	780.44	518.15	551.56	395.18	376.41	529.06	473.41	620.67
GTPBP3	159.9	115.97	146.03	104.42	109.66	111.21	214.27	223.41	244.57	212.78	195.72	389.72	392.44	379.04	163.28	329.84	532.74	435.55	412.0	579.04	363.56	551.56	358.54	551.56	476.71	536.45	457.25	220.32	435.55	346.29	426.57	559.28	669.92	336.79	429.54	273.37	454.09	323.03	339.14	199.85	127.89	206.94	154.42	146.03	246.28	136.19	170.25	217.27	260.38	281.09	198.47	251.48	105.15	158.79	102.97	84.04	157.68	117.6	208.38
ILKAP	703.28	612.11	669.92	693.58	555.41	718.08	934.76	819.3	842.36	884.29	1104.13	571.05	842.36	1001.93	854.13	1073.91	1561.89	1407.55	1508.65	1605.83	1208.34	1331.57	1594.73	1225.22	1467.37	1151.06	1127.35	890.44	1447.15	1143.1	1295.13	1259.69	1295.13	1259.69	1183.45	1183.45	1583.71	1340.84	1015.93	688.78	769.69	785.88	665.29	825.0	616.37	748.61	1015.93	848.22	775.05	599.49	718.08	583.07	497.0	660.68	624.99	607.87	536.45	674.59	981.29
KIF27	29.91	40.64	50.63	66.18	61.68	53.57	80.01	57.08	45.85	65.26	70.01	32.36	94.01	117.6	82.87	98.73	191.67	106.63	98.73	106.63	111.99	237.86	144.01	98.04	189.02	170.25	85.22	63.0	139.07	142.01	194.36	100.13	100.13	86.43	128.79	92.7	111.99	64.8	130.6	67.59	104.42	53.57	50.27	58.3	38.95	46.5	59.55	92.7	56.28	36.53	100.13	82.29	61.68	60.82	48.87	64.8	44.25	74.06	84.04
KMT2B	56.68	89.51	111.99	98.73	107.38	77.25	157.68	87.65	148.09	90.14	68.55	151.22	182.55	209.84	163.28	209.84	295.11	132.44	258.57	181.28	113.56	180.02	297.17	171.45	199.85	175.07	159.9	118.43	171.45	183.82	155.5	189.02	208.38	208.38	139.07	144.01	301.33	206.94	262.2	64.8	102.97	97.36	91.41	64.34	74.58	110.43	69.03	120.1	113.56	142.01	117.6	145.02	121.79	189.02	239.52	98.73	151.22	156.59	186.4
LAT	205.5	56.68	112.77	115.97	65.26	159.9	206.94	279.14	139.07	457.25	348.71	332.14	320.8	406.31	195.72	253.23	995.0	1088.92	1457.23	1794.29	1051.79	961.07	1721.16	1313.23	698.41	1350.18	1208.34	153.34	854.13	470.14	902.89	1286.18	1331.57	780.44	842.36	909.17	1340.84	941.27	423.61	145.02	176.29	395.18	204.07	397.93	68.55	141.02	202.66	191.67	232.94	281.09	59.97	126.12	202.66	312.0	120.1	148.09	224.97	212.78	295.11
LRCH4	414.87	395.18	409.15	329.84	239.52	332.14	934.76	796.86	684.02	902.89	665.29	961.07	981.29	967.76	791.35	961.07	1857.6	1313.23	1909.85	1909.85	967.76	1857.6	1733.13	1781.89	1529.73	1651.0	1617.0	497.0	1457.23	825.0	1572.76	1572.76	1923.14	1781.89	1277.29	1199.98	2090.03	1685.71	1685.71	514.56	403.5	595.34	525.39	429.54	638.15	555.41	674.59	629.35	825.0	738.29	473.41	642.59	412.0	836.53	395.18	473.41	518.15	555.41	1233.75
LRP5L	27.25	23.59	44.89	63.89	26.1	56.68	84.04	50.98	91.41	70.01	78.89	143.01	120.94	115.97	57.49	180.02	289.02	323.03	248.0	518.15	258.57	346.29	253.23	279.14	334.46	277.2	251.48	81.71	281.09	138.1	269.6	204.07	293.07	176.29	221.86	205.5	316.37	182.55	129.69	63.0	55.1	64.8	41.81	83.45	37.32	47.5	73.03	90.77	63.89	106.63	69.03	85.82	22.43	76.17	28.04	17.38	52.82	78.34	52.45
LRRC69	2.48	16.63	3.14	4.39	8.38	26.28	29.48	30.12	29.7	7.34	10.24	23.93	8.0	33.54	18.97	33.54	44.89	41.81	51.71	30.34	7.46	77.79	87.65	55.1	19.53	31.0	33.3	18.29	47.17	43.32	92.05	56.68	81.14	35.0	62.12	45.53	28.24	38.12	29.06	1.99	8.45	4.43	4.03	2.03	12.93	14.56	13.93	28.65	11.47	26.47	9.78	28.65	10.47	9.7	7.75	6.78	12.36	12.93	9.48
LUC7L3	1477.58	1286.18	1685.71	1844.76	1487.87	1697.45	2255.7	2104.58	2502.97	2303.12	2367.9	1794.29	3614.55	3280.18	2758.13	3820.7	8598.28	5872.48	7130.55	5633.22	3540.14	7032.37	8191.0	7695.57	7180.15	7032.37	6840.04	2178.83	6699.25	4802.93	8247.98	6294.04	7642.41	5672.41	5672.41	5041.77	7485.11	5831.91	4543.8	1769.57	2417.67	1991.0	1427.22	1498.22	1378.57	1529.73	2555.58	2816.11	1950.0	3325.99	2520.38	2240.11	759.08	5329.3	698.41	1073.91	1199.98	2224.63	3742.05
MAPK8IP3	236.21	178.77	241.19	285.03	297.17	231.32	642.59	423.61	647.07	490.14	334.46	785.88	1066.48	1304.15	679.29	1304.15	2645.74	1437.15	2104.58	2032.85	1104.13	1977.24	2303.12	1936.53	1870.53	2119.22	1487.87	447.82	1832.01	1183.45	1936.53	1963.57	2367.9	1572.76	1295.13	1457.23	1923.14	1794.29	1304.15	197.09	529.06	264.03	181.28	182.55	155.5	170.25	371.22	583.07	591.22	503.95	563.18	656.11	120.94	579.04	256.78	87.03	198.47	223.41	718.08
MARCH9	153.34	155.5	154.42	162.14	61.25	153.34	264.03	269.6	356.05	273.37	217.27	381.68	381.68	267.73	239.52	312.0	651.58	470.14	397.93	890.44	665.29	651.58	559.28	503.95	500.46	497.0	444.72	273.37	305.55	318.57	497.0	480.04	511.0	371.22	361.04	454.09	785.88	441.64	366.09	277.2	371.22	198.47	231.32	164.42	273.37	206.94	224.97	295.11	264.03	406.31	297.17	320.8	212.78	201.25	229.72	218.79	191.67	242.88	249.73
MCM3AP	559.28	703.28	796.86	647.07	665.29	679.29	995.0	703.28	785.88	808.0	555.41	884.29	848.22	1104.13	941.27	1104.13	1617.0	1259.69	1709.26	1457.23	981.29	1268.46	1605.83	1331.57	1572.76	1583.71	1340.84	713.11	1369.04	1088.92	1159.07	1407.55	1594.73	1331.57	1216.75	1104.13	1359.57	1233.75	1216.75	490.14	454.09	571.05	607.87	599.49	612.11	620.67	587.13	854.13	915.51	728.11	813.63	884.29	915.51	1127.35	521.76	743.43	567.1	928.3	988.12
MDC1	389.72	551.56	299.25	325.29	293.07	297.17	429.54	368.65	507.46	376.41	234.57	454.09	403.5	780.44	466.88	1037.29	808.0	483.38	764.36	642.59	412.0	591.22	718.08	842.36	743.43	1037.29	688.78	361.04	764.36	507.46	529.06	703.28	743.43	555.41	480.04	426.57	723.08	612.11	808.0	301.33	141.02	447.82	414.87	289.02	376.41	381.68	202.66	381.68	473.41	379.04	312.0	356.05	236.21	397.93	463.65	260.38	514.56	215.77	500.46
MDN1	312.0	223.41	323.03	327.56	384.34	221.86	414.87	218.79	325.29	476.71	140.04	414.87	435.55	532.74	368.65	507.46	540.19	684.02	571.05	733.19	503.95	616.37	476.71	733.19	529.06	718.08	599.49	271.48	802.41	397.93	633.73	616.37	503.95	529.06	563.18	420.68	728.11	454.09	348.71	211.31	206.94	202.66	249.73	279.14	229.72	312.0	162.14	329.84	373.81	323.03	218.79	221.86	156.59	193.01	157.68	90.77	120.1	157.68	237.86
MED15	878.17	1088.92	1015.93	1119.56	848.22	1191.69	1437.15	1143.1	1529.73	1175.27	854.13	2148.82	1757.34	1457.23	1225.22	1286.18	1991.0	2287.2	1896.65	2255.7	1721.16	2119.22	1832.01	1950.0	1745.2	1991.0	2075.59	1242.34	1685.71	1583.71	1529.73	1662.49	2240.11	1721.16	1991.0	1733.13	1639.59	1923.14	1909.85	967.76	921.88	1388.16	1104.13	1277.29	921.88	1081.39	703.28	1066.48	1051.79	1594.73	967.76	1268.46	1015.93	1111.82	1208.34	878.17	1447.15	1081.39	1233.75
MED24	514.56	728.11	733.19	595.34	1498.22	612.11	1119.56	1143.1	967.76	1127.35	1119.56	1583.71	1397.83	1322.37	1037.29	1350.18	1883.54	2384.37	2485.67	2796.65	1950.0	1529.73	2335.28	2400.97	1268.46	2555.58	1844.76	848.22	1697.45	1487.87	1427.22	2255.7	2018.8	1477.58	1781.89	1044.52	1594.73	2224.63	1044.52	902.89	688.78	785.88	830.75	733.19	708.18	679.29	748.61	961.07	1143.1	1030.12	848.22	941.27	591.22	1208.34	796.86	473.41	579.04	884.29	1508.65
METTL22	379.04	387.02	314.17	392.44	312.0	441.64	400.71	460.44	612.11	381.68	454.09	738.29	480.04	620.67	480.04	529.06	1119.56	941.27	674.59	842.36	974.5	1059.11	796.86	780.44	884.29	769.69	769.69	480.04	656.11	525.39	842.36	759.08	728.11	591.22	743.43	753.83	703.28	651.58	708.18	438.59	743.43	423.61	320.8	363.56	312.0	389.72	476.71	444.72	420.68	507.46	595.34	466.88	460.44	503.95	309.83	368.65	460.44	575.03	432.53
METTL3	444.72	387.02	417.77	389.72	316.37	417.77	723.08	607.87	713.11	638.15	684.02	656.11	981.29	934.76	825.0	915.51	1583.71	1233.75	1277.29	1467.37	1096.5	1286.18	1250.98	1477.58	1378.57	1467.37	1467.37	642.59	1407.55	1023.0	1340.84	1304.15	1583.71	1104.13	1135.2	1073.91	1151.06	1225.22	928.3	563.18	521.76	698.41	514.56	497.0	595.34	603.67	551.56	624.99	532.74	629.35	583.07	647.07	303.44	559.28	262.2	249.73	336.79	368.65	575.03
MLLT6	529.06	698.41	1037.29	1015.93	1127.35	961.07	1477.58	961.07	1388.16	1159.07	769.69	981.29	1407.55	1936.53	1639.59	2133.97	2720.15	1605.83	5006.93	2875.3	1208.34	2075.59	4010.71	2627.46	1923.14	3303.0	2451.44	1051.79	2502.97	2255.7	2119.22	2609.3	2520.38	3124.78	2032.85	1331.57	1909.85	1781.89	1639.59	591.22	629.35	559.28	708.18	753.83	563.18	438.59	921.88	1331.57	1447.15	1183.45	1437.15	1417.35	575.03	981.29	738.29	414.87	525.39	941.27	1268.46
MPHOSPH8	1044.52	651.58	967.76	1216.75	738.29	1001.93	909.17	791.35	1001.93	934.76	674.59	432.53	866.07	1111.82	1359.57	1369.04	1561.89	1030.12	1697.45	1143.1	684.02	1407.55	1806.78	1350.18	1286.18	1583.71	1407.55	878.17	1487.87	1277.29	1437.15	1233.75	1216.75	1540.37	1225.22	928.3	1159.07	954.43	1268.46	860.08	1127.35	854.13	743.43	819.3	743.43	656.11	713.11	1073.91	748.61	1143.1	1259.69	941.27	633.73	848.22	500.46	738.29	733.19	1066.48	1088.92
MSL3	316.37	356.05	346.29	417.77	275.28	454.09	397.93	521.76	507.46	514.56	759.08	780.44	629.35	723.08	543.96	529.06	884.29	607.87	620.67	825.0	483.38	684.02	591.22	825.0	915.51	785.88	579.04	323.03	878.17	563.18	1037.29	656.11	759.08	708.18	629.35	555.41	848.22	759.08	660.68	356.05	327.56	293.07	373.81	285.03	368.65	361.04	559.28	575.03	483.38	543.96	361.04	466.88	356.05	366.09	275.28	295.11	397.93	480.04	647.07
MYL9	320506.81	475800.4	294926.33	485798.0	248002.34	437825.58	434801.29	456418.21	1800541.22	296977.71	334117.42	636586.81	1070607.81	716197.51	1916442.45	610654.84	176583.6	225066.78	130165.62	133825.1	329517.51	202841.44	149521.18	189257.69	193234.41	184082.4	212926.09	318292.9	169390.27	228208.61	175363.84	228208.61	150561.19	198667.0	233003.78	237899.7	177811.84	209994.66	273275.14	355624.68	363097.14	462789.59	309589.14	327241.36	271387.49	299043.36	375901.76	527933.71	327241.36	324980.94	485798.0	309589.14	215898.44	378516.38	284880.02	316094.29	269512.87	322736.12	368165.8
MYO15A	6.52	8.85	5.36	5.28	12.74	8.85	14.45	16.51	34.26	23.42	22.92	19.97	37.32	87.65	30.12	47.17	67.12	62.12	84.63	94.67	31.45	73.54	68.07	98.04	46.18	89.51	57.89	26.67	38.12	59.97	78.89	58.71	88.26	68.55	46.5	36.27	29.48	41.22	65.26	53.19	25.72	38.4	13.52	25.35	17.9	7.17	23.93	29.27	20.41	34.26	31.9	39.22	7.22	21.94	8.71	15.11	7.57	26.47	9.63
NDOR1	158.79	116.78	92.7	67.12	53.57	90.77	167.9	138.1	152.28	155.5	120.94	186.4	182.55	182.55	148.09	198.47	332.14	256.78	366.09	361.04	204.07	281.09	353.59	309.83	232.94	289.02	236.21	156.59	277.2	175.07	228.13	295.11	265.87	309.83	223.41	193.01	293.07	186.4	249.73	120.94	83.45	148.09	139.07	96.68	109.66	113.56	90.77	137.14	152.28	163.28	131.51	183.82	97.36	138.1	117.6	92.05	118.43	121.79	193.01
NDST2	149.12	176.29	171.45	209.84	186.4	206.94	334.46	293.07	316.37	262.2	384.34	532.74	536.45	825.0	381.68	638.15	764.36	384.34	825.0	567.1	587.13	921.88	521.76	583.07	543.96	723.08	723.08	392.44	665.29	547.75	571.05	688.78	878.17	669.92	651.58	514.56	616.37	521.76	651.58	169.07	129.69	332.14	363.56	275.28	212.78	281.09	283.05	346.29	273.37	312.0	283.05	316.37	361.04	540.19	733.19	221.86	387.02	336.79	583.07
NEURL4	353.59	206.94	273.37	309.83	217.27	283.05	493.56	373.81	547.75	457.25	229.72	525.39	532.74	638.15	483.38	733.19	1044.52	775.05	1242.34	1242.34	775.05	1030.12	1151.06	1208.34	769.69	1104.13	947.83	432.53	995.0	718.08	830.75	1175.27	1023.0	825.0	954.43	753.83	1037.29	819.3	909.17	264.03	241.19	368.65	299.25	361.04	262.2	301.33	303.44	379.04	412.0	376.41	353.59	389.72	185.11	463.65	206.94	154.42	204.07	273.37	529.06
NFATC2IP	267.73	444.72	325.29	376.41	303.44	343.89	579.04	559.28	791.35	575.03	420.68	638.15	647.07	753.83	629.35	769.69	981.29	612.11	928.3	698.41	397.93	738.29	878.17	796.86	785.88	819.3	743.43	336.79	825.0	656.11	698.41	785.88	890.44	785.88	651.58	612.11	785.88	620.67	743.43	232.94	205.5	237.86	277.2	253.23	244.57	248.0	450.94	620.67	575.03	460.44	414.87	473.41	334.46	381.68	236.21	201.25	265.87	353.59	532.74
NFATC4	1407.55	2502.97	2163.77	2351.53	1322.37	2119.22	2287.2	1540.37	3955.48	1594.73	825.0	2335.28	2664.15	4671.57	3443.31	2609.3	3257.52	2090.03	4066.71	2956.17	2384.37	1991.0	3515.68	3325.99	2434.5	2664.15	2004.85	1096.5	2777.33	1757.34	2835.7	2468.49	2855.44	2915.45	2104.58	1806.78	2835.7	1697.45	2018.8	1295.13	1008.9	1023.0	629.35	1008.9	698.41	884.29	1519.15	1605.83	1594.73	1605.83	1477.58	909.17	540.19	995.0	559.28	884.29	688.78	764.36	1111.82
NOL8	228.13	373.81	368.65	379.04	267.73	435.55	426.57	403.5	412.0	438.59	295.11	473.41	575.03	656.11	423.61	457.25	651.58	551.56	616.37	612.11	373.81	521.76	665.29	684.02	703.28	785.88	426.57	373.81	738.29	450.94	866.07	486.75	507.46	603.67	426.57	525.39	825.0	507.46	497.0	285.03	264.03	258.57	309.83	305.55	309.83	303.44	341.51	575.03	323.03	429.54	212.78	334.46	281.09	293.07	283.05	224.97	242.88	285.03	406.31
NOM1	120.94	146.03	189.02	152.28	215.77	145.02	205.5	128.79	211.31	204.07	107.38	156.59	312.0	267.73	283.05	327.56	343.89	239.52	384.34	239.52	169.07	262.2	329.84	232.94	303.44	343.89	217.27	218.79	441.64	358.54	236.21	246.28	320.8	297.17	248.0	223.41	381.68	309.83	206.94	89.51	70.51	111.99	126.12	163.28	83.45	155.5	115.97	231.32	214.27	223.41	169.07	171.45	127.89	155.5	205.5	78.34	148.09	137.14	223.41
NPHP4	36.27	64.34	52.82	46.18	50.27	52.45	94.67	107.38	80.57	72.52	63.89	185.11	176.29	161.02	100.13	119.26	151.22	199.85	197.09	223.41	105.89	141.02	226.54	180.02	149.12	239.52	169.07	76.71	197.09	150.17	148.09	224.97	214.27	173.85	161.02	126.12	113.56	193.01	150.17	59.13	27.25	53.95	68.55	63.89	73.54	43.94	56.28	86.43	88.88	115.97	70.01	105.89	65.72	80.01	85.82	41.81	68.55	111.99	139.07
NPIPB11	9.34	6.21	6.67	8.25	7.94	8.38	24.63	14.78	17.13	24.81	6.94	46.18	30.56	41.52	25.91	52.45	128.79	81.14	58.71	242.88	42.71	229.72	87.65	125.24	105.15	104.42	136.19	17.51	75.11	40.07	120.1	206.94	81.14	52.82	98.73	64.34	61.25	48.18	39.22	6.62	3.96	4.13	5.23	5.87	5.77	4.31	12.27	17.64	21.32	25.72	23.59	13.22	9.41	16.88	14.89	3.41	7.75	12.09	19.11
NPIPB3	423.61	395.18	669.92	764.36	748.61	684.02	1594.73	753.83	2104.58	1561.89	514.56	1605.83	1508.65	2468.49	1059.11	2956.17	3794.3	4903.87	3955.48	6337.83	2855.44	3190.46	3928.15	5292.48	3955.48	4736.79	3190.46	896.64	3212.66	1437.15	4268.94	2895.31	4481.23	3124.78	3419.52	3955.48	3955.48	3372.43	2224.63	423.61	447.82	289.02	395.18	417.77	387.02	332.14	616.37	1340.84	1407.55	518.15	848.22	854.13	212.78	647.07	466.88	140.04	669.92	665.29	1135.2
NPIPB4	206.94	209.84	267.73	277.2	368.65	260.38	819.3	460.44	1044.52	769.69	295.11	1331.57	1183.45	1923.14	698.41	2555.58	2645.74	3018.3	3303.0	3639.7	1427.22	3589.58	2485.67	2485.67	2758.13	3540.14	2609.3	633.73	2739.08	1447.15	3039.3	1685.71	2520.38	2627.46	2384.37	2032.85	3690.52	1467.37	2047.0	283.05	223.41	107.38	217.27	134.3	165.57	133.36	351.14	819.3	808.0	679.29	708.18	660.68	104.42	647.07	429.54	181.28	336.79	376.41	802.41
NXF1	1304.15	967.76	1295.13	1225.22	1304.15	1023.0	2032.85	1233.75	1870.53	1794.29	1242.34	2682.69	2609.3	2682.69	2319.15	2319.15	2555.58	2224.63	4095.0	3847.29	1832.01	1950.0	3847.29	2287.2	2119.22	3018.3	2178.83	1561.89	2645.74	2367.9	2018.8	2178.83	2384.37	3212.66	2777.33	2351.53	2303.12	2485.67	2520.38	981.29	624.99	915.51	1216.75	1286.18	1286.18	995.0	1191.69	1733.13	1639.59	1561.89	1572.76	1662.49	813.63	1844.76	1417.35	1088.92	995.0	1467.37	2004.85
OFD1	214.27	150.17	264.03	256.78	209.84	234.57	334.46	387.02	283.05	503.95	283.05	307.69	441.64	323.03	332.14	500.46	595.34	679.29	633.73	860.08	336.79	490.14	624.99	543.96	480.04	808.0	480.04	348.71	665.29	563.18	785.88	470.14	629.35	497.0	395.18	423.61	563.18	490.14	470.14	314.17	351.14	334.46	301.33	295.11	403.5	271.48	420.68	490.14	454.09	423.61	283.05	269.6	146.03	244.57	146.03	144.01	140.04	169.07	159.9
OGFR	438.59	559.28	525.39	612.11	395.18	575.03	808.0	759.08	995.0	698.41	791.35	1498.22	896.64	866.07	674.59	802.41	1561.89	1427.22	1051.79	1745.2	1259.69	1447.15	1378.57	1250.98	1350.18	1437.15	1044.52	612.11	981.29	819.3	1295.13	1104.13	1216.75	1023.0	1051.79	860.08	1477.58	1167.14	941.27	743.43	813.63	713.11	595.34	753.83	571.05	547.75	540.19	733.19	620.67	961.07	941.27	759.08	612.11	698.41	802.41	624.99	607.87	915.51	780.44
OVGP1	31.22	12.45	16.15	19.68	23.42	26.67	38.95	47.17	49.21	56.68	45.53	72.01	86.43	67.59	39.79	68.07	281.09	186.4	52.82	120.1	148.09	197.09	98.04	202.66	244.57	132.44	118.43	31.0	100.83	80.57	273.37	189.02	231.32	91.41	187.71	113.56	493.56	176.29	159.9	15.8	73.54	36.27	41.81	43.02	57.89	251.48	54.72	64.34	58.3	27.25	24.81	25.91	16.63	29.7	13.12	19.39	17.9	19.97	28.45
PAN2	293.07	236.21	262.2	299.25	212.78	307.69	629.35	518.15	587.13	688.78	511.0	825.0	890.44	1096.5	470.14	1378.57	2777.33	2104.58	2520.38	2739.08	1781.89	2335.28	2956.17	3124.78	1963.57	3103.19	1936.53	642.59	3665.02	1883.54	2875.3	2255.7	2627.46	1844.76	1977.24	1697.45	2287.2	1639.59	1529.73	490.14	387.02	444.72	368.65	483.38	320.8	353.59	540.19	688.78	698.41	511.0	435.55	759.08	212.78	587.13	236.21	143.01	236.21	312.0	708.18
PBX2	775.05	1066.48	1191.69	1044.52	961.07	1111.82	1359.57	1322.37	2209.26	1250.98	915.51	1397.83	1498.22	1508.65	1583.71	1628.26	2319.15	1769.57	2976.74	1857.6	1304.15	1844.76	2537.92	2451.44	1572.76	2032.85	1757.34	1127.35	1781.89	2018.8	1806.78	2209.26	2148.82	1832.01	1733.13	1662.49	1794.29	1628.26	1832.01	785.88	567.1	995.0	974.5	981.29	743.43	934.76	1127.35	1662.49	1561.89	1950.0	1508.65	1322.37	974.5	2351.53	1073.91	1175.27	1119.56	1369.04	2537.92
PCED1A	231.32	204.07	199.85	148.09	186.4	147.06	305.55	406.31	329.84	381.68	316.37	1233.75	490.14	599.49	204.07	583.07	616.37	909.17	1111.82	1322.37	836.53	738.29	1008.9	872.1	466.88	1151.06	878.17	314.17	915.51	651.58	896.64	884.29	1066.48	785.88	808.0	607.87	409.15	665.29	529.06	397.93	301.33	368.65	412.0	389.72	318.57	177.53	351.14	387.02	297.17	450.94	305.55	327.56	172.65	269.6	265.87	152.28	105.15	253.23	305.55
PIDD	193.01	180.02	197.09	102.97	134.3	111.21	206.94	253.23	241.19	234.57	170.25	318.57	395.18	229.72	195.72	414.87	764.36	764.36	563.18	947.83	718.08	669.92	651.58	884.29	624.99	759.08	688.78	183.82	647.07	444.72	723.08	547.75	878.17	543.96	579.04	420.68	866.07	620.67	420.68	214.27	124.37	239.52	123.5	120.94	114.36	111.21	141.02	198.47	269.6	353.59	194.36	212.78	82.29	226.54	78.34	113.56	100.83	155.5	204.07
PLD2	224.97	244.57	169.07	239.52	214.27	221.86	348.71	381.68	387.02	341.51	273.37	3103.19	967.76	802.41	361.04	409.15	728.11	571.05	775.05	902.89	575.03	718.08	607.87	733.19	521.76	866.07	563.18	373.81	624.99	476.71	620.67	723.08	961.07	547.75	583.07	567.1	555.41	638.15	466.88	199.85	265.87	389.72	381.68	409.15	392.44	307.69	269.6	400.71	329.84	438.59	287.01	511.0	303.44	351.14	287.01	135.24	167.9	256.78	629.35
