	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
C3orf83	60.39	75.11	19.25	70.51	110.43	1.71	50.63	45.21	43.63	81.71	42.41	3.69	36.27	105.15	64.34	38.4	47.17	47.17	18.16	66.18	13.93	95.34	73.03	7.63	93.35	57.49	45.21	107.38	16.51	43.02	63.0	70.01	56.68	82.29	51.71	21.94	15.34	87.65	63.89	60.82	52.45	13.52	13.72	29.7	14.67	69.52	38.12	25.17	23.42	1.93	4.62	7.28	29.06	2.92	31.45	12.27	6.67	20.71	24.99	5.36	22.75	57.89	30.78	96.68	31.22	0.0	2.29	29.7	6.57	101.54	12.0	19.25	15.11	0.55	19.82	5.87	10.71	29.06	8.65	11.47	19.39	4.43	12.27	2.14	19.97	50.27	25.91	22.1	3.92	13.93	24.99	11.13	2.51	24.99	8.99	10.63	6.26	16.51	8.65	10.71	22.59	9.48	27.44
CA11	1359.57	1159.07	1242.34	1350.18	1529.73	1322.37	1127.35	579.04	1369.04	1540.37	1447.15	1111.82	2061.24	1304.15	1044.52	698.41	1259.69	1023.0	1322.37	1225.22	1119.56	909.17	1477.58	928.3	988.12	665.29	1498.22	2004.85	1757.34	642.59	1119.56	1225.22	1870.53	1369.04	1208.34	928.3	813.63	954.43	718.08	1081.39	802.41	603.67	361.04	884.29	423.61	397.93	312.0	591.22	536.45	624.99	954.43	1030.12	447.82	791.35	647.07	981.29	463.65	571.05	529.06	559.28	277.2	764.36	400.71	1304.15	860.08	884.29	718.08	587.13	660.68	890.44	612.11	483.38	346.29	1407.55	435.55	769.69	289.02	486.75	400.71	466.88	447.82	197.09	743.43	669.92	429.54	543.96	397.93	256.78	318.57	346.29	353.59	226.54	1008.9	599.49	309.83	287.01	454.09	769.69	1104.13	947.83	842.36	713.11	511.0
CACNG8	0.52	0.89	0.54	0.87	0.53	0.55	1.25	1.69	1.33	1.62	0.92	1.6	1.93	1.66	2.27	0.92	1.6	2.1	1.73	1.3	1.33	0.54	1.51	0.92	0.92	1.03	2.29	1.25	1.25	0.55	1.28	1.35	1.95	0.87	0.53	1.3	1.69	2.32	1.6	1.3	0.55	0.54	2.89	0.06	0.37	0.35	1.25	0.06	0.93	1.64	0.06	0.57	0.32	0.04	0.0	0.6	0.07	0.93	0.64	1.53	0.34	0.0	0.67	0.65	1.55	0.05	0.34	0.66	0.0	0.64	1.23	0.07	0.32	0.64	0.09	1.75	0.06	0.64	0.64	0.0	0.65	0.06	0.32	1.27	0.97	0.36	0.37	0.39	0.35	0.04	1.0	1.51	0.07	1.55	0.05	0.07	0.37	1.45	0.04	0.05	0.88	0.06	0.05
CBX2	50.63	71.0	51.35	115.16	68.07	63.89	75.11	55.49	56.28	80.01	31.0	59.55	73.03	104.42	103.69	34.75	68.07	64.8	44.57	65.72	71.5	58.3	87.03	41.81	52.45	39.5	61.68	100.13	98.73	53.57	43.63	78.34	101.54	111.21	65.72	72.52	90.14	159.9	46.5	95.34	40.07	28.24	26.67	19.82	18.16	31.0	27.05	21.78	23.93	48.52	30.34	12.09	30.56	36.27	18.03	37.85	31.22	26.28	35.76	25.91	20.56	58.3	26.1	33.78	45.21	19.25	37.32	30.34	30.12	32.59	28.04	32.59	23.93	33.06	53.19	26.67	19.82	28.24	32.36	43.32	21.78	55.1	40.93	28.24	33.3	30.34	23.76	14.67	8.99	31.67	39.22	22.43	22.59	34.26	16.63	33.06	24.63	19.25	47.17	38.12	34.51	17.9	28.04
CDH3	1313.23	1794.29	1044.52	2075.59	1167.14	1183.45	1199.98	1628.26	1508.65	1242.34	1135.2	1427.22	854.13	2485.67	1030.12	669.92	1769.57	1551.09	1233.75	1369.04	1388.16	961.07	961.07	1277.29	1769.57	1208.34	1208.34	1806.78	1733.13	934.76	854.13	532.74	1331.57	1277.29	1605.83	1088.92	1030.12	612.11	1059.11	1427.22	728.11	178.77	24.11	69.03	16.63	43.63	14.14	138.1	12.55	55.1	27.25	27.84	23.59	35.0	39.79	44.25	26.47	11.38	108.14	15.11	80.57	91.41	112.77	40.64	151.22	45.53	27.64	13.03	14.14	59.13	28.45	92.05	43.63	112.77	126.12	42.11	65.72	8.13	532.74	52.82	93.35	159.9	43.02	27.64	104.42	34.75	24.28	307.69	44.25	23.59	61.25	195.72	46.84	43.02	26.28	120.94	32.36	29.91	35.76	1295.13	24.28	13.83	10.0
CENPB	1709.26	1277.29	1250.98	1397.83	1259.69	1135.2	1286.18	1350.18	1242.34	1437.15	1250.98	1369.04	1073.91	1378.57	1259.69	902.89	995.0	1427.22	1295.13	1268.46	1378.57	1081.39	1277.29	1216.75	1359.57	1277.29	1151.06	1457.23	1331.57	1350.18	1313.23	1286.18	1208.34	1159.07	1242.34	1151.06	1277.29	1359.57	1277.29	1268.46	1127.35	1250.98	1304.15	954.43	1088.92	1059.11	974.5	995.0	674.59	961.07	934.76	961.07	1001.93	1044.52	743.43	791.35	890.44	1159.07	902.89	1081.39	1096.5	1313.23	934.76	1059.11	878.17	954.43	981.29	1175.27	1135.2	1159.07	1001.93	1143.1	890.44	1498.22	1073.91	1023.0	995.0	1233.75	1628.26	941.27	860.08	902.89	1001.93	1081.39	1104.13	842.36	1477.58	1119.56	934.76	981.29	836.53	1111.82	909.17	854.13	890.44	974.5	915.51	819.3	1159.07	1081.39	934.76	1015.93	1151.06
CEP170B	629.35	748.61	713.11	866.07	713.11	616.37	629.35	780.44	669.92	633.73	624.99	1066.48	444.72	1037.29	669.92	483.38	620.67	698.41	555.41	890.44	915.51	693.58	759.08	575.03	753.83	693.58	603.67	848.22	733.19	638.15	575.03	674.59	796.86	693.58	629.35	954.43	674.59	854.13	656.11	688.78	389.72	457.25	341.51	236.21	351.14	460.44	555.41	395.18	409.15	536.45	267.73	934.76	514.56	389.72	368.65	371.22	563.18	447.82	332.14	444.72	483.38	348.71	346.29	356.05	406.31	612.11	318.57	329.84	327.56	392.44	417.77	287.01	511.0	387.02	540.19	318.57	387.02	334.46	463.65	406.31	295.11	540.19	595.34	376.41	397.93	343.89	371.22	423.61	483.38	409.15	379.04	466.88	318.57	384.34	409.15	412.0	400.71	412.0	493.56	460.44	441.64	379.04	309.83
CHD4	5147.73	4972.34	5183.54	5711.87	5872.48	5112.16	5913.33	5791.62	4802.93	6840.04	3742.05	7433.4	4512.4	6471.02	5995.9	3982.99	5711.87	4903.87	5041.77	5183.54	5633.22	4358.66	6516.03	4543.8	5831.91	4298.64	6426.31	6381.92	6426.31	5219.6	5219.6	4937.99	5633.22	5711.87	5183.54	6079.61	6337.83	4769.75	6164.49	5006.93	4181.07	4210.15	3665.02	2976.74	2664.15	4038.61	3190.46	3349.13	2816.11	3467.27	2537.92	3982.99	2835.7	2224.63	2047.0	2451.44	2682.69	3235.01	2178.83	2935.74	3564.78	3820.7	2976.74	2701.35	2645.74	2209.26	2351.53	3491.39	3515.68	2739.08	2976.74	2915.45	2777.33	2796.65	3515.68	2855.44	2855.44	4802.93	4268.94	3168.41	2417.67	3280.18	2976.74	3794.3	2777.33	3018.3	3665.02	3540.14	2627.46	2537.92	3540.14	3081.75	2133.97	2555.58	2796.65	3325.99	2104.58	2895.31	3372.43	1950.0	3515.68	3212.66	3515.68
CHST2	1844.76	1628.26	808.0	1519.15	1991.0	2351.53	1457.23	1388.16	909.17	748.61	967.76	2935.74	728.11	743.43	693.58	376.41	450.94	1388.16	808.0	1397.83	2384.37	909.17	1870.53	698.41	1781.89	532.74	928.3	2148.82	775.05	591.22	567.1	480.04	1088.92	1104.13	780.44	1519.15	1242.34	1674.06	1242.34	1757.34	813.63	155.5	293.07	175.07	242.88	165.57	444.72	173.85	87.65	414.87	187.71	909.17	85.22	73.03	198.47	164.42	536.45	241.19	470.14	346.29	262.2	551.56	381.68	197.09	493.56	146.03	123.5	500.46	420.68	260.38	309.83	403.5	145.02	301.33	460.44	217.27	255.0	242.88	287.01	186.4	154.42	660.68	241.19	140.04	323.03	113.56	406.31	220.32	262.2	305.55	248.0	248.0	733.19	890.44	110.43	320.8	583.07	80.01	327.56	316.37	181.28	109.66	279.14
CLDN7	4450.27	4512.4	4066.71	5672.41	5995.9	4388.98	6250.56	6037.61	5441.3	4239.45	4937.99	6381.92	4607.24	4066.71	6164.49	3467.27	4010.71	5041.77	3639.7	4543.8	6294.04	4450.27	6792.79	3614.55	5441.3	3665.02	5995.9	4419.52	5366.37	3515.68	4268.94	4836.35	4328.55	7537.18	4419.52	4704.07	7966.99	7230.1	6561.36	6426.31	2796.65	3039.3	2573.36	2976.74	2434.5	5292.48	5219.6	3589.58	3303.0	4328.55	3039.3	4836.35	3901.01	3349.13	2956.17	2351.53	4239.45	3018.3	5076.84	3060.45	4268.94	3768.09	2935.74	2209.26	3039.3	4419.52	2417.67	2855.44	2591.27	4836.35	3716.2	2758.13	2997.45	3614.55	5517.27	2739.08	3515.68	2664.15	5183.54	4066.71	3467.27	4903.87	5183.54	4388.98	4543.8	4358.66	2573.36	5006.93	4123.49	4543.8	4802.93	2720.15	1896.65	2384.37	2400.97	1832.01	4328.55	2351.53	4298.64	4736.79	3081.75	4239.45	2224.63
CTD-3193O13.9	138.1	371.22	214.27	339.14	269.6	206.94	346.29	334.46	193.01	224.97	198.47	256.78	107.38	271.48	154.42	87.65	353.59	139.07	224.97	172.65	218.79	82.29	198.47	201.25	172.65	171.45	244.57	435.55	264.03	153.34	123.5	155.5	277.2	214.27	246.28	214.27	162.14	132.44	127.89	175.07	109.66	22.59	9.85	21.16	7.28	7.34	8.65	28.65	14.14	3.63	10.0	68.55	17.51	31.45	19.97	19.53	5.5	8.58	21.63	21.94	8.38	45.85	10.47	32.82	49.91	46.18	21.94	9.63	18.97	32.36	16.63	38.4	17.25	101.54	7.22	25.17	24.11	11.64	48.18	55.1	27.44	34.26	133.36	20.71	19.53	39.22	13.72	22.1	15.56	12.09	27.64	24.28	59.13	15.91	13.93	16.51	6.46	19.25	22.92	84.04	21.94	15.0	6.26
CTSA	2835.7	2976.74	2645.74	2855.44	2032.85	2303.12	2720.15	2796.65	3515.68	3716.2	2417.67	2591.27	2777.33	2664.15	2875.3	2193.99	2895.31	3690.52	2537.92	3665.02	3280.18	2224.63	2997.45	2997.45	2816.11	3491.39	3039.3	3540.14	2555.58	2004.85	2485.67	2451.44	2682.69	3901.01	2915.45	2502.97	2287.2	3372.43	2537.92	2895.31	2224.63	1662.49	1242.34	1286.18	1295.13	1359.57	1437.15	1617.0	1417.35	3060.45	1477.58	1015.93	1216.75	1685.71	954.43	1350.18	2047.0	1617.0	1477.58	1832.01	1794.29	1745.2	1963.57	1977.24	1936.53	1175.27	1883.54	1639.59	928.3	1359.57	1268.46	1963.57	1781.89	1059.11	1427.22	1628.26	1350.18	1304.15	1733.13	1304.15	1870.53	1617.0	1388.16	1437.15	1331.57	1709.26	1551.09	1583.71	896.64	1277.29	1685.71	1561.89	2061.24	1331.57	842.36	1551.09	1388.16	1745.2	1104.13	1819.35	1572.76	1467.37	1088.92
CTSH	12943.04	15824.9	12943.04	25887.07	17078.76	34158.52	15934.98	15934.98	25005.23	18689.27	14262.1	25354.3	10440.2	10959.3	9279.58	7331.05	16960.78	25708.25	11584.24	19892.37	27363.16	12853.63	22692.63	7331.05	21919.61	5479.15	29327.18	23820.89	13968.57	11664.82	10512.82	5006.93	20593.91	25005.23	11745.96	23330.64	24832.5	6207.38	16157.44	18950.18	10440.2	2018.8	3768.09	2335.28	3280.18	1781.89	753.83	1313.23	507.46	281.09	6426.31	395.18	2627.46	2004.85	693.58	3564.78	1437.15	1015.93	1733.13	2351.53	2133.97	2224.63	836.53	6840.04	11267.44	2335.28	3742.05	2895.31	941.27	2004.85	1268.46	3540.14	2485.67	2032.85	1733.13	7032.37	2193.99	5292.48	7537.18	5633.22	3124.78	1457.23	4181.07	1605.83	1250.98	1378.57	3716.2	2047.0	934.76	2875.3	1259.69	1936.53	2287.2	1477.58	674.59	2701.35	1233.75	4210.15	3039.3	3280.18	3874.05	1519.15	3639.7
DHX32	376.41	444.72	381.68	454.09	551.56	514.56	417.77	420.68	476.71	438.59	395.18	480.04	361.04	384.34	511.0	381.68	395.18	486.75	417.77	409.15	387.02	503.95	381.68	381.68	409.15	387.02	435.55	525.39	412.0	395.18	361.04	327.56	392.44	384.34	473.41	406.31	412.0	371.22	444.72	500.46	420.68	384.34	426.57	353.59	353.59	348.71	316.37	316.37	251.48	366.09	346.29	214.27	289.02	249.73	332.14	343.89	256.78	309.83	351.14	356.05	201.25	265.87	334.46	269.6	271.48	234.57	293.07	348.71	346.29	279.14	299.25	351.14	320.8	327.56	305.55	199.85	339.14	285.03	361.04	356.05	260.38	309.83	273.37	293.07	353.59	244.57	293.07	373.81	381.68	387.02	307.69	329.84	417.77	267.73	332.14	336.79	289.02	320.8	312.0	363.56	353.59	275.28	361.04
DPP4	854.13	1594.73	366.09	825.0	1104.13	1457.23	1008.9	842.36	860.08	540.19	1175.27	1447.15	1313.23	283.05	669.92	656.11	603.67	848.22	884.29	1662.49	1477.58	1977.24	743.43	1030.12	1331.57	444.72	1936.53	514.56	267.73	242.88	518.15	275.28	389.72	836.53	1037.29	947.83	1467.37	1437.15	1159.07	830.75	665.29	33.06	24.81	14.67	8.58	6.06	5.54	13.42	3.32	12.64	12.83	126.12	20.71	19.53	0.95	6.01	48.52	5.06	9.93	57.49	6.73	17.0	12.83	150.17	92.05	10.55	101.54	18.16	13.42	92.7	16.88	21.78	14.56	5.06	4.03	19.68	7.88	96.68	633.73	0.93	19.11	23.08	95.34	25.35	4.58	17.38	98.73	87.65	4.62	5.15	3.38	9.48	34.26	4.43	3.0	9.7	7.82	58.71	8.85	796.86	11.64	50.27	13.72
DUSP4	299.25	366.09	248.0	368.65	258.57	218.79	264.03	967.76	595.34	224.97	387.02	281.09	301.33	373.81	379.04	187.71	137.14	309.83	204.07	361.04	318.57	273.37	299.25	146.03	358.54	153.34	197.09	470.14	229.72	229.72	114.36	244.57	356.05	132.44	327.56	426.57	258.57	688.78	316.37	229.72	70.51	45.85	13.62	23.42	5.73	32.36	40.93	27.44	58.71	98.73	25.35	34.26	41.22	63.45	10.16	28.65	100.13	20.11	21.78	18.56	26.86	51.35	59.55	29.48	37.05	64.8	35.76	37.59	25.91	28.24	24.46	48.87	24.28	46.84	26.67	21.16	48.18	16.15	87.65	33.54	35.0	58.71	20.11	34.26	56.28	40.64	19.82	85.22	28.65	37.05	9.06	25.72	49.91	23.76	7.11	43.63	24.46	36.27	48.52	72.01	15.45	10.79	18.56
ECE1	5292.48	5751.61	3212.66	5751.61	4836.35	4704.07	5112.16	5751.61	6840.04	3349.13	3742.05	4607.24	2163.77	5112.16	4152.18	2796.65	4298.64	4181.07	3742.05	4066.71	5711.87	5219.6	3742.05	3928.15	4607.24	4298.64	5913.33	5479.15	3955.48	4328.55	3081.75	3372.43	3372.43	3257.52	4268.94	4769.75	5517.27	4543.8	3847.29	4607.24	3103.19	1844.76	1388.16	1135.2	1088.92	2451.44	1674.06	1427.22	819.3	2163.77	1225.22	3443.31	1331.57	988.12	988.12	1437.15	1909.85	2400.97	1628.26	1628.26	2061.24	1540.37	1662.49	1295.13	1304.15	1081.39	1331.57	1277.29	2004.85	1322.37	1662.49	2645.74	1104.13	878.17	1883.54	1030.12	1936.53	1628.26	2224.63	780.44	1088.92	866.07	1037.29	1769.57	2104.58	1359.57	3168.41	2609.3	1617.0	1529.73	1594.73	2004.85	1183.45	1008.9	1008.9	1457.23	1617.0	934.76	1819.35	1662.49	1059.11	1030.12	981.29
EIF3B	1806.78	1551.09	1583.71	1540.37	1697.45	1685.71	1583.71	1844.76	1685.71	1551.09	1733.13	1844.76	1540.37	1407.55	1594.73	1457.23	1628.26	1950.0	1794.29	1806.78	2018.8	1572.76	1806.78	1508.65	1709.26	1529.73	1757.34	1605.83	1781.89	1639.59	1697.45	1617.0	1757.34	1594.73	1662.49	1870.53	1832.01	1844.76	2075.59	1457.23	1561.89	1806.78	1519.15	1167.14	1447.15	1529.73	1594.73	1216.75	1359.57	1447.15	1051.79	1407.55	1191.69	1628.26	1277.29	1135.2	1572.76	1540.37	1259.69	1519.15	1709.26	1467.37	1519.15	1277.29	1467.37	1340.84	1151.06	1417.35	1709.26	1331.57	1896.65	1685.71	1388.16	1277.29	1407.55	1322.37	1529.73	1794.29	1857.6	1295.13	1259.69	1397.83	1437.15	1605.83	1540.37	1369.04	2061.24	1857.6	1322.37	1407.55	1322.37	1572.76	1359.57	1498.22	1794.29	1540.37	1397.83	1477.58	1304.15	1457.23	1397.83	1175.27	1143.1
ELMO3	878.17	954.43	1096.5	1059.11	1023.0	1023.0	825.0	753.83	954.43	1015.93	947.83	1066.48	679.29	909.17	896.64	808.0	571.05	775.05	866.07	1081.39	981.29	842.36	743.43	743.43	928.3	718.08	1369.04	974.5	1059.11	679.29	1037.29	825.0	1081.39	860.08	954.43	988.12	921.88	733.19	1159.07	201.25	642.59	476.71	490.14	412.0	511.0	289.02	403.5	351.14	612.11	473.41	376.41	703.28	503.95	395.18	547.75	555.41	599.49	693.58	368.65	490.14	423.61	599.49	417.77	665.29	583.07	669.92	409.15	521.76	384.34	603.67	358.54	297.17	629.35	896.64	486.75	579.04	414.87	473.41	381.68	463.65	511.0	381.68	902.89	493.56	473.41	470.14	314.17	275.28	432.53	417.77	429.54	547.75	802.41	620.67	356.05	316.37	775.05	518.15	808.0	703.28	567.1	454.09	514.56
ENDOD1	529.06	860.08	718.08	1096.5	1427.22	1242.34	1295.13	1304.15	1023.0	1119.56	764.36	1088.92	587.13	1073.91	941.27	426.57	1001.93	733.19	866.07	1259.69	1183.45	1286.18	860.08	591.22	1151.06	718.08	854.13	1350.18	872.1	802.41	624.99	490.14	896.64	728.11	988.12	1233.75	995.0	599.49	974.5	713.11	540.19	305.55	236.21	395.18	297.17	271.48	237.86	507.46	202.66	406.31	447.82	48.87	193.01	366.09	186.4	205.5	486.75	318.57	356.05	211.31	180.02	387.02	269.6	336.79	202.66	211.31	353.59	329.84	133.36	309.83	206.94	366.09	171.45	161.02	312.0	251.48	339.14	251.48	555.41	119.26	356.05	156.59	186.4	201.25	412.0	183.82	460.44	447.82	146.03	111.21	187.71	248.0	674.59	329.84	438.59	318.57	229.72	447.82	260.38	902.89	217.27	211.31	223.41
EPHB3	228.13	228.13	175.07	226.54	162.14	155.5	142.01	255.0	301.33	249.73	90.14	253.23	60.39	218.79	217.27	65.72	165.57	323.03	101.54	162.14	281.09	265.87	191.67	226.54	273.37	115.97	158.79	299.25	166.73	135.24	98.73	94.67	162.14	104.42	201.25	239.52	414.87	178.77	163.28	212.78	232.94	25.72	19.82	22.75	15.91	10.31	17.0	12.74	10.08	6.16	14.67	0.41	43.32	4.62	3.99	31.22	19.11	10.47	22.75	8.0	12.93	15.0	11.13	31.0	53.57	2.48	16.88	53.19	6.73	7.51	10.71	16.88	24.28	7.28	12.45	30.78	7.57	157.68	202.66	8.38	18.7	51.71	12.09	12.55	10.08	13.32	21.32	16.51	15.22	9.41	20.86	22.43	9.7	8.99	11.38	3.29	7.94	10.39	11.04	11.91	76.17	27.44	71.0
ETV4	1572.76	1662.49	1359.57	1322.37	802.41	1104.13	1233.75	1639.59	1242.34	1216.75	842.36	1096.5	808.0	1037.29	1175.27	1030.12	2061.24	1001.93	848.22	1001.93	1175.27	1096.5	974.5	733.19	1639.59	559.28	1088.92	1427.22	1159.07	612.11	376.41	1030.12	1857.6	1199.98	791.35	1427.22	1583.71	444.72	1350.18	1295.13	417.77	110.43	35.76	12.45	21.63	193.01	197.09	44.25	7.46	387.02	73.54	567.1	50.98	18.43	32.13	9.56	241.19	76.71	100.13	94.67	277.2	103.69	72.52	24.63	47.5	20.26	17.77	38.67	45.21	24.63	94.67	237.86	57.08	63.89	299.25	27.64	113.56	34.26	77.25	239.52	9.85	497.0	76.17	34.75	173.85	11.82	70.51	208.38	253.23	343.89	100.13	153.34	85.82	59.13	53.57	246.28	165.57	79.45	307.69	127.0	20.11	28.04	38.12
FAM110C	242.88	279.14	346.29	379.04	397.93	295.11	409.15	450.94	285.03	371.22	256.78	353.59	356.05	426.57	361.04	258.57	387.02	291.04	353.59	358.54	258.57	432.53	363.56	201.25	400.71	158.79	341.51	387.02	320.8	358.54	226.54	314.17	376.41	329.84	229.72	511.0	295.11	253.23	273.37	269.6	201.25	147.06	112.77	180.02	154.42	178.77	204.07	125.24	248.0	248.0	195.72	182.55	152.28	341.51	150.17	265.87	120.1	154.42	172.65	147.06	103.69	273.37	102.97	123.5	170.25	154.42	144.01	142.01	99.43	212.78	100.13	128.79	281.09	132.44	100.13	153.34	185.11	170.25	123.5	167.9	371.22	197.09	269.6	140.04	112.77	358.54	55.1	218.79	215.77	191.67	194.36	127.0	198.47	125.24	166.73	194.36	133.36	244.57	151.22	281.09	228.13	147.06	140.04
FAM84A	116.78	358.54	397.93	218.79	217.27	258.57	314.17	441.64	511.0	262.2	144.01	148.09	237.86	275.28	616.37	234.57	246.28	400.71	234.57	255.0	281.09	224.97	277.2	186.4	348.71	529.06	224.97	316.37	206.94	283.05	181.28	159.9	185.11	164.42	1066.48	269.6	318.57	163.28	400.71	221.86	152.28	53.57	22.43	36.53	36.53	39.5	18.03	23.42	12.36	368.65	18.56	29.06	24.28	47.17	53.95	31.22	71.5	51.35	68.55	49.21	24.46	21.32	31.45	17.25	24.99	138.1	48.87	29.48	54.72	29.27	25.54	53.57	27.25	61.68	64.8	19.82	62.56	30.12	34.75	48.18	127.0	41.81	64.34	49.91	122.64	30.12	69.03	58.71	61.25	26.67	21.01	40.64	48.52	29.91	32.59	99.43	47.84	24.28	30.12	67.12	23.42	11.47	27.84
FLOT2	2319.15	1806.78	1769.57	1519.15	1378.57	1540.37	1697.45	1467.37	1832.01	2148.82	1781.89	1519.15	1870.53	1883.54	1508.65	2133.97	1794.29	2061.24	1639.59	1991.0	1477.58	1407.55	2163.77	1819.35	1605.83	1819.35	2224.63	2520.38	1923.14	1350.18	2119.22	2209.26	1721.16	1322.37	1806.78	1617.0	1540.37	2816.11	1477.58	1437.15	1191.69	1295.13	1277.29	1167.14	1081.39	1313.23	1277.29	1001.93	941.27	1322.37	1030.12	1127.35	872.1	1477.58	1167.14	1001.93	1199.98	1119.56	1111.82	1286.18	1233.75	1561.89	1127.35	1233.75	1487.87	954.43	1104.13	1378.57	1088.92	1127.35	1001.93	1191.69	1066.48	1096.5	1225.22	1015.93	1135.2	1277.29	1781.89	1143.1	1127.35	1322.37	1216.75	1208.34	1407.55	866.07	1259.69	1447.15	1151.06	1322.37	1242.34	1167.14	1340.84	1183.45	896.64	1183.45	1216.75	1030.12	1340.84	2061.24	1322.37	1001.93	1096.5
