	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.V1D1.0926.SM.4JBHQ
INPP5E	0.0	0.66	100.13	134.3	164.42	111.21	101.54	133.36	76.71	173.85	125.24	197.09	90.14	162.14	129.69	307.69	143.01	144.01	183.82	100.83	170.25	119.26	115.97	147.06	88.26	137.14	157.68	127.89	120.1	77.25	92.05	133.36	84.63	120.94	94.67	111.99	90.77	122.64	129.69	94.01	71.0	84.04	122.64	100.83	201.25	117.6	237.86	171.45	136.19	260.38	104.42	165.57	283.05	127.89	162.14	138.1	170.25	84.04	341.51	123.5	204.07	126.12	146.03	100.13	165.57	139.07	128.79	112.77	145.02	142.01	128.79	127.89	127.89	258.57	81.14	77.79	221.86	135.24	114.36	101.54	316.37	120.94	183.82	199.85	150.17	173.85	87.03	143.01	120.1	102.25	120.1	198.47	138.1	141.02	218.79	198.47	120.94	127.0	195.72	117.6	111.21	140.04	109.66	214.27	72.01	108.9	106.63	113.56	155.5	109.66	125.24	332.14
KCNAB3	0.0	0.8	25.54	27.44	48.52	12.83	43.02	27.44	31.22	128.79	34.26	93.35	7.22	30.56	19.11	105.89	41.52	37.59	85.82	11.73	122.64	26.47	79.45	56.28	14.89	47.17	157.68	11.55	54.72	36.53	5.23	40.07	20.56	48.87	17.13	8.25	32.36	18.56	45.21	47.84	11.38	27.05	67.12	229.72	121.79	10.79	99.43	157.68	20.86	120.94	35.25	63.89	275.28	37.85	53.95	70.51	153.34	14.24	151.22	16.63	87.03	25.17	36.01	17.77	52.82	29.27	60.39	14.45	22.43	21.32	33.78	54.33	52.82	66.65	16.75	29.27	82.29	36.53	48.87	32.36	90.14	30.34	80.57	60.39	7.69	52.08	32.59	44.89	21.16	8.25	26.28	98.73	22.92	78.34	157.68	108.14	40.36	65.72	63.0	26.1	17.64	13.22	22.59	119.26	19.39	10.16	15.11	8.92	57.89	5.63	17.77	120.94
KIAA1683	0.0	0.0	36.79	43.94	46.18	19.68	97.36	43.32	36.53	161.02	117.6	79.45	27.05	60.39	39.79	212.78	77.25	42.41	124.37	29.7	68.07	38.4	98.73	79.45	15.11	46.18	68.07	22.26	34.75	17.38	16.39	48.87	36.27	35.25	20.56	54.33	28.65	41.22	31.9	73.54	20.11	30.56	34.51	96.68	78.34	13.72	63.45	202.66	13.22	75.11	28.65	85.22	441.64	21.16	41.22	51.71	155.5	18.97	145.02	77.79	118.43	31.67	36.27	17.77	40.07	19.11	21.63	21.78	66.65	85.82	53.95	38.95	54.33	76.71	13.72	51.71	120.1	45.53	42.41	41.81	96.01	35.0	119.26	82.29	33.78	127.89	28.65	110.43	12.83	35.5	23.59	194.36	30.12	58.71	85.22	96.01	44.89	56.68	52.45	43.02	27.84	44.25	45.21	236.21	13.52	7.4	39.79	27.44	47.17	23.42	27.84	412.0
KLK2	0.0	0.17	246289.25	520665.48	236256.4	249727.34	248002.34	241220.67	391864.76	225066.78	244588.0	249727.34	174152.51	329517.51	225066.78	105727.15	353168.2	292889.12	256748.15	280957.98	280957.98	320506.81	309589.14	236256.4	350728.68	378516.38	233003.78	292889.12	233003.78	334117.42	341137.96	311742.51	378516.38	383800.28	265802.39	236256.4	279017.26	253213.41	209994.66	177811.84	256748.15	303217.87	280957.98	386469.83	205673.01	256748.15	360589.03	253213.41	443937.41	152662.96	338781.54	256748.15	168220.2	286861.53	363097.14	299043.36	225066.78	241220.67	212926.09	294926.33	212926.09	221968.2	329517.51	320506.81	229795.93	373305.21	159145.95	262143.0	316094.29	320506.81	419990.32	284880.02	345900.08	167058.21	334117.42	258533.99	331809.5	324980.94	355624.68	221968.2	437825.58	280957.98	265802.39	233003.78	256748.15	174152.51	253213.41	331809.5	269512.87	273275.14	244588.0	207103.59	249727.34	375901.76	389157.95	365622.68	279017.26	383800.28	402881.61	241220.67	262143.0	269512.87	284880.02	241220.67	322736.12	217400.14	284880.02	267651.2	370726.6	254974.66	223512.12	1950.0
LAT	0.0	0.79	125.24	102.25	169.07	91.41	66.65	102.97	46.5	343.89	115.16	229.72	50.63	295.11	115.16	536.45	159.9	124.37	353.59	49.91	217.27	100.83	155.5	140.04	121.79	176.29	237.86	59.13	169.07	82.29	48.87	134.3	70.01	163.28	91.41	198.47	165.57	124.37	96.68	53.95	101.54	103.69	154.42	239.52	312.0	176.29	249.73	232.94	145.02	612.11	186.4	144.01	444.72	67.12	341.51	237.86	387.02	59.97	536.45	127.89	255.0	78.89	90.14	58.3	111.99	72.52	191.67	41.81	105.89	91.41	116.78	201.25	96.01	264.03	45.53	74.06	190.34	119.26	72.52	101.54	105.89	120.94	309.83	211.31	83.45	293.07	95.34	182.55	94.67	84.63	52.82	307.69	113.56	158.79	381.68	255.0	148.09	137.14	161.02	149.12	65.72	63.89	96.01	384.34	102.97	70.01	79.45	58.3	182.55	59.55	116.78	1127.35
LEAP2	0.0	0.61	23.08	37.85	45.53	12.64	50.98	26.28	34.75	64.34	58.3	60.82	9.48	31.9	28.24	103.69	73.03	33.3	70.51	9.56	115.97	41.81	77.79	69.52	21.94	42.11	57.08	14.24	39.79	23.42	21.47	52.45	50.27	49.56	64.8	21.94	34.26	13.83	50.98	28.86	12.93	15.0	52.82	150.17	130.6	22.59	91.41	61.25	39.5	162.14	45.21	34.75	146.03	13.62	36.53	76.17	140.04	10.39	130.6	10.88	67.59	24.81	59.55	9.7	52.45	76.17	73.03	21.94	35.76	23.08	44.57	62.56	54.72	137.14	48.18	30.12	83.45	49.91	43.94	27.25	151.22	26.1	105.89	91.41	12.09	61.68	45.21	56.68	11.64	16.63	32.59	93.35	11.38	90.14	246.28	90.14	36.01	46.84	79.45	32.36	8.58	23.08	33.06	110.43	35.5	32.82	29.91	11.91	40.93	19.39	13.32	87.65
LSMEM1	0.0	0.59	20.86	27.05	35.0	13.62	20.11	23.25	18.43	37.05	63.89	28.45	14.24	15.68	15.0	89.51	30.56	33.54	14.45	18.97	35.0	88.26	29.7	14.24	16.03	43.02	73.03	8.32	50.27	28.65	14.03	13.42	36.79	64.8	54.72	14.14	24.11	16.39	24.11	22.43	8.71	15.91	19.53	64.8	87.03	52.45	46.18	43.32	23.25	55.1	40.93	18.56	144.01	33.3	28.45	25.54	88.88	12.93	45.53	16.27	29.7	5.87	24.11	16.63	36.01	50.63	59.13	17.25	26.86	25.91	36.79	39.79	52.08	45.85	16.27	40.93	45.21	34.51	13.42	7.57	37.59	27.44	82.29	37.59	26.28	62.56	23.25	23.42	29.06	20.11	18.03	103.69	8.92	44.89	76.17	49.91	52.08	29.7	34.51	10.71	22.26	10.55	26.67	54.72	4.28	9.78	11.13	8.65	27.44	10.39	17.9	59.55
LUC7L	0.0	1.11	435.55	1233.75	1159.07	679.29	1008.9	748.61	748.61	2090.03	961.07	1617.0	366.09	1015.93	616.37	2997.45	1359.57	780.44	1832.01	500.46	1991.0	1119.56	1870.53	1369.04	591.22	1286.18	1757.34	476.71	967.76	1023.0	579.04	1199.98	1037.29	1583.71	830.75	563.18	928.3	348.71	703.28	551.56	395.18	466.88	1225.22	2758.13	1721.16	567.1	1819.35	1477.58	1295.13	3235.01	934.76	1119.56	1208.34	848.22	1135.2	1487.87	2434.5	500.46	1111.82	616.37	1697.45	624.99	967.76	490.14	1295.13	884.29	2240.11	379.04	961.07	743.43	1104.13	1378.57	764.36	1540.37	642.59	587.13	1350.18	1051.79	1073.91	525.39	1794.29	656.11	2104.58	1651.0	591.22	1397.83	748.61	1286.18	406.31	575.03	674.59	2997.45	620.67	1769.57	3039.3	1909.85	836.53	1551.09	1540.37	961.07	473.41	607.87	759.08	2178.83	567.1	723.08	587.13	579.04	1397.83	684.02	426.57	4239.45
MAMDC4	0.0	1.03	33.06	76.71	139.07	26.86	111.21	53.95	59.13	307.69	162.14	173.85	30.78	59.55	71.5	241.19	114.36	47.84	295.11	21.47	287.01	96.68	182.55	150.17	77.79	96.68	208.38	33.54	107.38	108.9	33.54	122.64	49.21	119.26	82.87	47.17	97.36	27.05	57.08	39.79	19.53	23.59	171.45	547.75	265.87	24.28	303.44	157.68	85.82	616.37	44.57	169.07	1096.5	63.0	121.79	146.03	441.64	48.52	426.57	36.79	164.42	57.49	87.65	30.12	108.14	144.01	336.79	28.65	93.35	38.4	100.13	208.38	121.79	381.68	64.8	34.02	198.47	110.43	143.01	44.57	301.33	77.25	167.9	165.57	25.54	232.94	53.95	142.01	51.71	44.89	22.75	204.07	31.67	204.07	358.54	332.14	47.17	175.07	215.77	69.52	32.13	40.36	53.57	277.2	45.53	47.5	24.99	37.59	108.14	20.86	30.78	438.59
MBD6	0.0	1.08	830.75	819.3	934.76	1023.0	954.43	1208.34	1066.48	1304.15	1167.14	1819.35	733.19	1015.93	896.64	1617.0	1015.93	1250.98	1304.15	599.49	1277.29	1199.98	1015.93	967.76	1037.29	1350.18	1059.11	1208.34	1143.1	878.17	896.64	1096.5	967.76	1073.91	830.75	902.89	915.51	591.22	866.07	796.86	642.59	647.07	1175.27	1594.73	1369.04	791.35	1651.0	954.43	1183.45	1674.06	791.35	1023.0	2133.97	988.12	1001.93	1397.83	2119.22	629.35	1340.84	825.0	1313.23	728.11	1199.98	647.07	954.43	1015.93	1447.15	995.0	785.88	872.1	1030.12	1225.22	1199.98	1331.57	896.64	547.75	1896.65	1111.82	1127.35	813.63	1819.35	780.44	1551.09	1242.34	1081.39	2032.85	961.07	921.88	738.29	764.36	825.0	2018.8	896.64	1295.13	1936.53	1685.71	1159.07	974.5	1088.92	521.76	848.22	1143.1	624.99	1561.89	480.04	813.63	1001.93	551.56	1111.82	599.49	819.3	3303.0
MITD1	0.0	0.54	426.57	583.07	688.78	454.09	1183.45	366.09	525.39	688.78	397.93	651.58	518.15	579.04	406.31	836.53	769.69	599.49	607.87	279.14	713.11	525.39	540.19	647.07	503.95	595.34	679.29	312.0	642.59	567.1	299.25	595.34	591.22	633.73	559.28	547.75	665.29	412.0	629.35	454.09	536.45	397.93	563.18	941.27	785.88	802.41	928.3	529.06	642.59	1216.75	651.58	571.05	769.69	571.05	571.05	693.58	785.88	320.8	638.15	423.61	813.63	514.56	473.41	503.95	599.49	543.96	1340.84	379.04	543.96	426.57	447.82	563.18	518.15	1051.79	718.08	447.82	819.3	454.09	607.87	693.58	656.11	403.5	728.11	575.03	480.04	842.36	642.59	500.46	301.33	379.04	432.53	738.29	507.46	796.86	866.07	785.88	507.46	642.59	674.59	616.37	363.56	323.03	497.0	567.1	607.87	341.51	307.69	389.72	563.18	332.14	414.87	1183.45
MSANTD1	0.0	0.37	0.91	1.73	3.56	0.89	4.28	3.76	1.69	6.62	3.47	5.41	0.91	5.15	3.72	7.63	6.46	3.66	6.06	2.36	6.84	4.46	4.35	6.16	2.25	3.38	6.16	1.43	4.17	3.0	0.89	6.01	2.71	2.76	4.1	2.81	4.94	3.35	6.06	4.86	0.0	1.85	2.23	3.99	13.52	2.18	6.84	5.82	6.62	4.86	2.94	3.72	22.59	3.17	4.58	5.06	9.13	2.32	7.28	3.41	5.02	2.81	3.14	2.73	4.7	1.93	9.06	2.36	3.2	4.1	1.43	5.73	4.98	10.71	2.23	3.79	7.06	3.63	3.14	3.82	7.51	3.32	4.28	1.48	1.38	4.58	2.76	3.59	2.36	1.38	2.78	5.63	1.38	8.13	17.64	10.88	2.27	6.94	4.31	3.08	1.75	1.39	2.78	15.68	1.85	1.83	3.99	2.27	5.96	1.77	0.89	22.26
MSANTD2	0.0	0.61	94.01	90.77	134.3	69.52	85.22	84.04	85.82	182.55	134.3	161.02	68.07	99.43	83.45	323.03	113.56	117.6	166.73	48.87	189.02	132.44	151.22	155.5	75.64	120.94	204.07	84.04	114.36	72.01	52.45	140.04	95.34	150.17	111.99	65.72	86.43	54.72	108.9	72.01	59.97	54.72	125.24	236.21	214.27	77.79	164.42	133.36	78.89	376.41	106.63	117.6	197.09	103.69	106.63	161.02	218.79	57.49	206.94	69.52	193.01	87.03	127.89	68.07	132.44	135.24	178.77	57.08	86.43	75.64	108.9	141.02	118.43	189.02	78.34	86.43	165.57	108.9	100.13	98.04	206.94	80.57	146.03	167.9	67.12	141.02	113.56	119.26	51.35	61.25	78.34	232.94	69.52	152.28	249.73	224.97	90.14	111.21	159.9	103.69	73.54	98.73	96.01	206.94	86.43	61.25	63.0	65.72	146.03	83.45	90.77	738.29
MUS81	0.0	0.72	536.45	698.41	896.64	470.14	503.95	603.67	571.05	909.17	866.07	769.69	420.68	674.59	511.0	1259.69	775.05	642.59	780.44	457.25	967.76	890.44	728.11	656.11	518.15	748.61	830.75	583.07	651.58	669.92	435.55	679.29	500.46	764.36	591.22	518.15	551.56	551.56	521.76	470.14	392.44	529.06	808.0	928.3	902.89	551.56	1127.35	656.11	753.83	1023.0	693.58	743.43	1883.54	642.59	748.61	759.08	836.53	551.56	334.46	563.18	974.5	547.75	638.15	559.28	703.28	1295.13	1059.11	525.39	583.07	642.59	591.22	688.78	785.88	915.51	483.38	551.56	896.64	579.04	633.73	497.0	1001.93	555.41	954.43	830.75	633.73	836.53	500.46	703.28	395.18	423.61	551.56	921.88	620.67	698.41	967.76	941.27	808.0	733.19	866.07	698.41	575.03	587.13	708.18	974.5	567.1	536.45	647.07	511.0	769.69	529.06	571.05	1286.18
MXD3	0.0	1.16	80.01	167.9	305.55	31.67	102.97	57.08	173.85	287.01	373.81	170.25	44.57	138.1	56.68	373.81	154.42	77.79	202.66	73.03	143.01	139.07	376.41	136.19	83.45	172.65	363.56	18.56	172.65	177.53	28.65	134.3	94.67	229.72	54.33	75.11	129.69	117.6	121.79	91.41	19.97	46.5	193.01	336.79	327.56	70.01	269.6	237.86	246.28	547.75	159.9	163.28	656.11	75.64	195.72	152.28	620.67	100.13	417.77	92.7	265.87	48.52	123.5	62.56	158.79	202.66	186.4	51.71	193.01	104.42	161.02	198.47	376.41	221.86	45.21	46.5	249.73	88.88	128.79	54.33	205.5	87.03	332.14	262.2	61.25	395.18	109.66	164.42	144.01	100.83	48.87	234.57	115.16	206.94	591.22	269.6	149.12	191.67	170.25	87.03	33.54	47.17	52.08	341.51	45.85	51.35	19.11	28.04	72.52	31.9	33.78	348.71
NPIPA1	0.0	1.33	825.0	954.43	1030.12	595.34	633.73	981.29	830.75	1950.0	1359.57	2104.58	669.92	1628.26	1250.98	2018.8	1628.26	567.1	1639.59	848.22	2047.0	884.29	1350.18	2119.22	915.51	1242.34	2485.67	441.64	1096.5	1191.69	547.75	1175.27	808.0	1427.22	791.35	500.46	860.08	825.0	507.46	813.63	559.28	669.92	854.13	2400.97	1991.0	389.72	1909.85	1259.69	842.36	3467.27	825.0	1286.18	2645.74	902.89	1208.34	1167.14	2835.7	733.19	2384.37	921.88	1508.65	796.86	1051.79	743.43	1963.57	1066.48	1617.0	591.22	988.12	981.29	1143.1	1216.75	1407.55	2271.4	947.83	1159.07	1369.04	1119.56	1407.55	780.44	2682.69	934.76	1605.83	1745.2	616.37	1883.54	1304.15	1757.34	836.53	629.35	842.36	2468.49	555.41	1183.45	2417.67	1561.89	1081.39	1407.55	2255.7	1208.34	587.13	629.35	878.17	2537.92	389.72	444.72	780.44	1286.18	1331.57	476.71	595.34	2720.15
NUP85	0.0	1.0	559.28	825.0	896.64	579.04	660.68	713.11	616.37	1008.9	748.61	967.76	460.44	748.61	642.59	1378.57	785.88	620.67	928.3	607.87	1059.11	764.36	1104.13	813.63	698.41	769.69	1225.22	490.14	753.83	753.83	599.49	703.28	620.67	688.78	633.73	543.96	616.37	567.1	703.28	642.59	521.76	665.29	947.83	1001.93	1175.27	780.44	830.75	718.08	660.68	1467.37	884.29	902.89	1628.26	718.08	728.11	708.18	1313.23	638.15	1340.84	656.11	1073.91	665.29	679.29	559.28	890.44	825.0	928.3	518.15	780.44	633.73	693.58	743.43	708.18	967.76	638.15	567.1	884.29	753.83	791.35	684.02	909.17	559.28	1037.29	1119.56	591.22	1242.34	674.59	941.27	483.38	532.74	748.61	748.61	603.67	941.27	988.12	1322.37	651.58	713.11	1059.11	759.08	633.73	511.0	808.0	890.44	769.69	532.74	432.53	595.34	988.12	551.56	551.56	1304.15
OBSL1	0.0	0.85	1378.57	1977.24	2591.27	1498.22	1175.27	1733.13	1697.45	2739.08	2148.82	2573.36	909.17	1923.14	1111.82	2835.7	2224.63	1322.37	2209.26	1551.09	2178.83	2047.0	2104.58	1721.16	1467.37	2178.83	2537.92	1662.49	1909.85	2319.15	1594.73	2119.22	1359.57	1757.34	1487.87	1304.15	1540.37	1651.0	1286.18	813.63	988.12	1191.69	2047.0	1159.07	2400.97	1175.27	3325.99	1936.53	2351.53	3372.43	1457.23	2075.59	3874.05	1963.57	2835.7	1697.45	2701.35	1066.48	2434.5	1896.65	2319.15	1015.93	1950.0	1268.46	1857.6	1183.45	2502.97	1127.35	1561.89	1350.18	1233.75	1936.53	1769.57	2163.77	1457.23	988.12	2193.99	1857.6	1936.53	1175.27	2520.38	1407.55	2148.82	2240.11	1340.84	2400.97	1159.07	1757.34	759.08	1457.23	1259.69	3103.19	1662.49	1397.83	2796.65	2720.15	1806.78	2032.85	1977.24	1127.35	1225.22	1697.45	1359.57	3103.19	988.12	1487.87	1991.0	1286.18	1963.57	1286.18	1561.89	6935.54
ORAOV1	0.0	0.82	287.01	607.87	703.28	400.71	309.83	432.53	376.41	785.88	802.41	669.92	229.72	483.38	358.54	587.13	647.07	348.71	460.44	368.65	547.75	575.03	1167.14	457.25	309.83	507.46	679.29	387.02	476.71	532.74	356.05	450.94	473.41	395.18	307.69	309.83	363.56	441.64	420.68	281.09	295.11	297.17	595.34	698.41	693.58	299.25	629.35	579.04	713.11	679.29	497.0	507.46	988.12	420.68	514.56	563.18	825.0	309.83	1073.91	441.64	629.35	339.14	423.61	279.14	633.73	583.07	532.74	384.34	373.81	307.69	473.41	620.67	612.11	543.96	412.0	351.14	669.92	470.14	603.67	305.55	708.18	376.41	836.53	507.46	447.82	599.49	363.56	490.14	194.36	287.01	423.61	728.11	454.09	1208.34	775.05	620.67	500.46	514.56	647.07	366.09	400.71	389.72	351.14	490.14	429.54	368.65	392.44	327.56	555.41	353.59	303.44	693.58
PIDD	0.0	1.01	185.11	435.55	466.88	173.85	236.21	248.0	309.83	575.03	543.96	507.46	92.7	277.2	199.85	514.56	320.8	244.57	412.0	208.38	466.88	332.14	441.64	244.57	246.28	329.84	591.22	191.67	336.79	348.71	103.69	373.81	289.02	432.53	226.54	159.9	279.14	170.25	185.11	212.78	64.8	128.79	293.07	412.0	507.46	120.1	323.03	368.65	301.33	934.76	332.14	312.0	587.13	236.21	346.29	441.64	748.61	183.82	460.44	220.32	532.74	111.99	327.56	218.79	409.15	256.78	466.88	224.97	320.8	183.82	395.18	400.71	366.09	490.14	223.41	78.89	466.88	327.56	339.14	156.59	447.82	258.57	555.41	417.77	194.36	547.75	166.73	314.17	152.28	151.22	148.09	616.37	226.54	514.56	665.29	587.13	271.48	341.51	353.59	154.42	143.01	279.14	185.11	698.41	118.43	206.94	156.59	134.3	271.48	152.28	166.73	679.29
PILRB	0.0	1.31	389.72	848.22	3060.45	283.05	1268.46	796.86	836.53	2591.27	2240.11	1950.0	217.27	884.29	587.13	2875.3	1135.2	551.56	1870.53	193.01	2075.59	1015.93	4358.66	1104.13	669.92	1331.57	1674.06	361.04	1561.89	1008.9	231.32	1733.13	1119.56	1457.23	629.35	231.32	848.22	256.78	629.35	500.46	143.01	281.09	1359.57	3665.02	2004.85	265.87	2591.27	1023.0	1073.91	2956.17	1167.14	1233.75	2720.15	587.13	1183.45	1806.78	2645.74	368.65	3039.3	384.34	2384.37	417.77	1167.14	307.69	1081.39	1340.84	1794.29	249.73	1081.39	571.05	1135.2	1331.57	1051.79	2645.74	769.69	339.14	1674.06	909.17	1104.13	379.04	2997.45	708.18	2178.83	2591.27	297.17	1936.53	688.78	1143.1	260.38	414.87	366.09	2303.12	497.0	1832.01	5219.6	3467.27	775.05	2047.0	1745.2	532.74	329.84	460.44	480.04	1936.53	262.2	260.38	397.93	275.28	1066.48	297.17	279.14	3614.55
PLA2G6	0.0	0.91	543.96	607.87	1015.93	438.59	441.64	651.58	738.29	1487.87	1191.69	1268.46	381.68	607.87	638.15	1870.53	759.08	669.92	1295.13	583.07	1259.69	638.15	1794.29	854.13	563.18	679.29	1030.12	432.53	738.29	665.29	339.14	819.3	595.34	665.29	450.94	332.14	599.49	297.17	629.35	543.96	376.41	511.0	616.37	974.5	921.88	312.0	842.36	1143.1	438.59	995.0	432.53	1015.93	1467.37	447.82	819.3	629.35	1104.13	351.14	836.53	638.15	1008.9	536.45	860.08	511.0	738.29	423.61	647.07	642.59	612.11	293.07	825.0	656.11	684.02	1119.56	417.77	536.45	738.29	738.29	775.05	438.59	1519.15	599.49	890.44	941.27	432.53	1191.69	603.67	703.28	447.82	346.29	379.04	1662.49	426.57	967.76	2104.58	1561.89	536.45	703.28	872.1	483.38	599.49	703.28	529.06	1313.23	277.2	392.44	532.74	599.49	616.37	314.17	423.61	3982.99
PPT2-EGFL8	0.0	0.83	24.46	38.12	100.13	21.78	18.29	25.72	29.27	130.6	72.01	90.77	7.22	40.93	27.44	231.32	80.57	43.02	63.0	18.16	120.94	69.52	90.14	73.54	24.28	78.89	150.17	18.7	76.17	33.54	15.8	53.95	58.3	55.89	38.67	16.88	45.53	23.93	29.48	20.71	6.78	19.68	63.0	220.32	154.42	13.72	161.02	80.57	54.33	215.77	70.51	65.72	87.65	46.5	62.12	67.12	108.9	15.68	28.45	33.06	115.97	17.25	34.26	12.83	54.72	37.85	100.83	24.28	63.0	19.82	57.08	69.52	52.82	134.3	52.82	13.22	123.5	36.27	52.82	18.7	131.51	39.22	87.03	88.26	9.93	90.14	28.24	63.45	12.18	22.1	19.39	161.02	24.81	94.01	101.54	181.28	40.93	75.64	57.89	45.21	26.28	48.18	35.76	132.44	28.04	11.13	3.89	32.13	64.8	18.16	22.43	119.26
