	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.BC.A10T.01A.11R.A131.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.62.8395.01A.11R.2326.07	TCGA.73.7498.01A.12R.2187.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.D7.8574.01A.13R.2343.13
SETD1B	214.27	145.02	175.07	202.66	255.0	223.41	154.42	125.24	199.85	101.54	161.02	111.99	120.1	127.0	201.25	56.28	44.25	78.34	137.14	239.52	114.36	231.32	241.19	229.72	87.03	124.37	80.57	234.57	123.5	197.09	244.57	241.19	89.51	102.25	79.45	74.06	150.17	101.54	144.01	128.79	112.77	100.13	111.21	55.49	107.38	79.45	81.71	49.56	88.88	45.53	42.41	105.89	255.0	232.94	703.28	651.58	599.49	551.56
SLC7A6	66.65	169.07	223.41	293.07	133.36	127.89	414.87	30.78	115.97	32.36	67.12	76.71	32.59	145.02	189.02	16.88	69.03	63.89	40.36	48.87	26.67	256.78	212.78	113.56	80.57	120.1	14.14	251.48	40.07	88.88	52.82	123.5	37.05	18.84	19.68	16.15	31.45	36.79	17.77	32.13	8.19	24.28	12.36	15.91	13.22	35.25	8.78	17.25	18.16	5.82	13.93	12.27	368.65	323.03	1175.27	603.67	595.34	808.0
SLX4	50.63	35.25	51.71	53.95	29.06	43.32	51.35	57.89	66.18	57.49	58.3	41.22	19.53	81.71	59.55	35.25	16.88	18.7	29.91	40.93	30.12	79.45	50.98	49.91	33.3	27.44	25.72	73.03	58.71	38.95	67.12	68.07	9.93	15.11	10.0	13.72	20.86	13.93	19.39	13.52	16.39	27.05	30.78	16.15	17.64	26.67	25.17	19.82	15.0	4.24	4.13	23.42	64.34	74.06	167.9	139.07	105.89	122.64
SP2	258.57	236.21	215.77	316.37	232.94	253.23	176.29	180.02	299.25	264.03	212.78	242.88	161.02	151.22	178.77	228.13	103.69	151.22	172.65	348.71	159.9	262.2	241.19	253.23	148.09	164.42	177.53	381.68	181.28	224.97	293.07	299.25	155.5	167.9	170.25	130.6	164.42	162.14	148.09	155.5	130.6	169.07	112.77	118.43	127.89	173.85	182.55	105.15	133.36	107.38	63.45	187.71	346.29	323.03	642.59	921.88	547.75	559.28
SRCAP	301.33	293.07	412.0	450.94	387.02	412.0	299.25	287.01	518.15	379.04	420.68	318.57	209.84	295.11	343.89	175.07	101.54	277.2	209.84	363.56	218.79	651.58	392.44	511.0	201.25	232.94	329.84	660.68	237.86	341.51	536.45	575.03	182.55	146.03	128.79	116.78	241.19	173.85	148.09	223.41	165.57	327.56	248.0	73.54	135.24	325.29	229.72	65.26	148.09	39.5	91.41	221.86	1030.12	872.1	1551.09	1896.65	1044.52	1059.11
TATDN2	201.25	420.68	463.65	974.5	303.44	400.71	249.73	265.87	414.87	309.83	297.17	387.02	351.14	218.79	457.25	277.2	224.97	343.89	325.29	532.74	320.8	435.55	540.19	387.02	395.18	307.69	262.2	395.18	299.25	368.65	299.25	429.54	134.3	138.1	128.79	182.55	150.17	156.59	241.19	265.87	154.42	189.02	256.78	127.89	217.27	215.77	217.27	199.85	125.24	109.66	182.55	228.13	493.56	406.31	616.37	473.41	441.64	656.11
TRIM3	307.69	262.2	191.67	178.77	325.29	218.79	303.44	189.02	218.79	249.73	208.38	224.97	171.45	131.51	285.03	325.29	279.14	146.03	249.73	244.57	181.28	183.82	323.03	183.82	141.02	246.28	178.77	547.75	143.01	232.94	258.57	435.55	104.42	113.56	89.51	217.27	137.14	70.01	86.43	211.31	165.57	162.14	141.02	81.71	141.02	115.97	71.5	77.25	189.02	97.36	163.28	67.59	483.38	414.87	450.94	703.28	536.45	303.44
TTC5	162.14	92.05	121.79	159.9	125.24	97.36	73.54	96.01	121.79	78.34	137.14	57.89	93.35	97.36	102.25	89.51	86.43	100.83	81.71	193.01	91.41	166.73	108.14	92.05	100.83	80.57	60.82	180.02	122.64	133.36	171.45	135.24	51.35	50.27	80.57	91.41	106.63	96.01	67.12	167.9	55.1	80.57	65.72	77.25	96.01	68.55	96.68	81.14	105.89	57.89	61.68	49.91	82.87	124.37	204.07	341.51	162.14	190.34
TTI1	242.88	303.44	281.09	309.83	277.2	389.72	202.66	180.02	379.04	223.41	205.5	262.2	194.36	297.17	287.01	260.38	171.45	170.25	253.23	397.93	197.09	361.04	265.87	429.54	214.27	267.73	256.78	392.44	218.79	195.72	389.72	387.02	157.68	161.02	181.28	123.5	171.45	303.44	118.43	163.28	120.1	154.42	144.01	116.78	185.11	166.73	236.21	173.85	170.25	105.15	111.99	241.19	363.56	232.94	392.44	723.08	332.14	258.57
TULP3	166.73	273.37	269.6	260.38	329.84	348.71	251.48	90.77	231.32	80.01	140.04	136.19	77.79	105.89	171.45	80.57	78.89	170.25	133.36	256.78	57.89	167.9	366.09	281.09	183.82	138.1	111.99	503.95	85.82	204.07	283.05	215.77	100.13	108.9	115.16	74.06	111.99	101.54	45.21	142.01	47.84	124.37	117.6	51.71	75.64	105.15	97.36	71.0	60.39	52.45	47.5	94.67	371.22	269.6	417.77	490.14	791.35	432.53
UBN1	256.78	265.87	384.34	371.22	303.44	318.57	236.21	325.29	483.38	353.59	406.31	389.72	242.88	314.17	271.48	318.57	133.36	209.84	236.21	339.14	205.5	518.15	559.28	379.04	246.28	183.82	267.73	447.82	273.37	297.17	432.53	414.87	177.53	100.13	135.24	187.71	98.73	123.5	144.01	158.79	161.02	211.31	176.29	134.3	122.64	145.02	214.27	99.43	120.94	134.3	68.07	217.27	473.41	493.56	656.11	723.08	514.56	603.67
UBTF	825.0	1359.57	753.83	1697.45	934.76	981.29	988.12	915.51	1388.16	1119.56	890.44	808.0	567.1	718.08	860.08	796.86	457.25	785.88	921.88	1304.15	669.92	1477.58	1191.69	1051.79	698.41	753.83	738.29	1617.0	514.56	1059.11	1208.34	1151.06	612.11	698.41	723.08	713.11	660.68	813.63	480.04	397.93	780.44	890.44	748.61	543.96	493.56	785.88	921.88	599.49	665.29	466.88	447.82	660.68	1119.56	1183.45	1909.85	1832.01	1844.76	1757.34
VGLL4	194.36	403.5	320.8	603.67	395.18	358.54	258.57	346.29	583.07	373.81	392.44	346.29	299.25	229.72	438.59	166.73	129.69	356.05	193.01	791.35	135.24	718.08	426.57	473.41	167.9	198.47	267.73	674.59	215.77	624.99	260.38	521.76	248.0	197.09	195.72	314.17	176.29	157.68	208.38	295.11	140.04	269.6	140.04	150.17	193.01	164.42	211.31	253.23	269.6	170.25	72.52	180.02	1183.45	780.44	860.08	1369.04	1175.27	1806.78
VPS39	429.54	441.64	412.0	563.18	384.34	532.74	450.94	395.18	470.14	473.41	397.93	384.34	366.09	361.04	444.72	223.41	307.69	444.72	181.28	651.58	325.29	493.56	460.44	373.81	271.48	314.17	318.57	866.07	379.04	476.71	698.41	567.1	205.5	221.86	176.29	228.13	262.2	205.5	191.67	363.56	273.37	403.5	343.89	248.0	209.84	312.0	267.73	166.73	201.25	116.78	109.66	241.19	954.43	1066.48	1350.18	830.75	1001.93	1167.14
YEATS2	53.19	114.36	143.01	145.02	77.25	142.01	81.71	99.43	199.85	104.42	136.19	126.12	90.77	80.01	153.34	54.72	60.82	126.12	42.11	223.41	76.17	176.29	98.73	125.24	49.21	54.72	74.58	281.09	47.5	157.68	141.02	212.78	43.94	42.71	39.5	26.86	32.59	71.0	33.54	43.94	24.11	55.1	51.71	40.93	40.36	73.03	38.95	36.79	52.08	12.36	30.12	64.8	239.52	221.86	417.77	896.64	387.02	376.41
ZBTB40	72.01	72.01	120.94	103.69	115.97	74.06	105.89	60.39	120.1	62.12	65.26	84.04	57.08	66.18	132.44	32.82	35.25	51.35	55.1	78.89	71.5	167.9	75.64	88.88	78.89	71.0	90.14	204.07	71.5	86.43	113.56	122.64	27.25	29.27	21.01	31.67	39.79	23.76	13.22	34.51	35.76	43.94	51.35	27.05	30.56	42.41	26.1	26.86	35.76	4.9	11.47	36.27	249.73	180.02	466.88	607.87	303.44	279.14
ZCCHC11	329.84	575.03	493.56	579.04	480.04	476.71	587.13	387.02	934.76	785.88	466.88	476.71	409.15	603.67	587.13	199.85	316.37	392.44	389.72	785.88	327.56	825.0	595.34	921.88	718.08	289.02	486.75	1857.6	511.0	555.41	629.35	1151.06	332.14	348.71	414.87	346.29	454.09	277.2	371.22	447.82	303.44	373.81	397.93	358.54	295.11	353.59	358.54	579.04	371.22	237.86	150.17	392.44	551.56	587.13	1331.57	1369.04	733.19	1508.65
ZFP90	63.89	109.66	155.5	185.11	73.54	111.99	119.26	135.24	224.97	75.11	108.14	57.49	52.82	104.42	206.94	120.1	52.45	119.26	76.17	111.21	68.07	175.07	157.68	140.04	154.42	92.05	29.91	194.36	111.99	148.09	195.72	140.04	75.64	63.89	51.35	106.63	86.43	115.97	61.25	110.43	100.83	96.01	162.14	88.26	85.22	107.38	133.36	114.36	75.11	50.27	13.72	117.6	223.41	229.72	514.56	186.4	387.02	575.03
ZFYVE20	57.89	129.69	171.45	246.28	146.03	186.4	115.97	137.14	167.9	120.1	145.02	110.43	114.36	98.04	161.02	86.43	74.58	114.36	100.83	205.5	95.34	194.36	186.4	137.14	100.13	80.01	91.41	191.67	75.11	138.1	151.22	166.73	80.01	94.01	90.14	76.17	104.42	121.79	78.34	104.42	89.51	98.04	147.06	88.88	80.57	98.73	122.64	52.08	80.01	47.5	67.59	111.21	251.48	279.14	307.69	332.14	435.55	301.33
ZMIZ2	563.18	684.02	995.0	1096.5	426.57	669.92	954.43	518.15	780.44	988.12	651.58	684.02	775.05	693.58	738.29	507.46	454.09	339.14	417.77	1286.18	392.44	802.41	733.19	921.88	660.68	463.65	620.67	1639.59	954.43	713.11	1073.91	1135.2	283.05	366.09	314.17	289.02	551.56	234.57	579.04	629.35	368.65	279.14	264.03	334.46	314.17	392.44	297.17	432.53	444.72	164.42	226.54	223.41	1697.45	1832.01	3742.05	3039.3	1963.57	3614.55
ZMYM1	43.63	58.71	105.89	69.03	73.54	38.4	62.56	66.65	81.14	67.12	48.18	54.72	57.08	56.68	101.54	28.04	36.79	61.25	27.64	88.88	47.84	159.9	108.14	97.36	53.57	32.36	57.89	126.12	58.71	63.89	80.01	89.51	27.64	33.06	32.59	56.28	48.87	70.01	28.65	44.57	30.78	59.55	65.26	38.4	40.93	34.02	31.67	51.71	36.79	27.84	9.93	44.57	108.14	116.78	309.83	287.01	217.27	295.11
ZMYM4	85.22	164.42	228.13	221.86	212.78	161.02	178.77	186.4	248.0	171.45	140.04	157.68	125.24	100.13	271.48	62.56	120.94	211.31	94.67	256.78	114.36	400.71	226.54	189.02	150.17	134.3	114.36	316.37	136.19	193.01	187.71	217.27	140.04	152.28	165.57	102.25	150.17	209.84	69.03	189.02	113.56	191.67	199.85	97.36	82.87	102.97	154.42	156.59	194.36	48.87	43.94	142.01	389.72	353.59	551.56	536.45	473.41	435.55
ZNF142	143.01	78.89	157.68	145.02	70.01	143.01	100.83	87.03	115.97	87.65	125.24	120.1	62.56	81.71	158.79	70.01	49.91	74.58	59.97	279.14	78.34	206.94	115.16	67.12	77.79	67.59	120.1	180.02	91.41	164.42	232.94	106.63	37.32	31.45	40.93	28.24	61.68	38.67	29.91	74.58	38.95	50.63	44.89	34.26	32.59	80.57	45.21	23.25	41.81	15.8	16.51	53.57	287.01	255.0	620.67	587.13	412.0	409.15
ZNF263	497.0	392.44	363.56	450.94	351.14	486.75	293.07	511.0	493.56	351.14	473.41	379.04	159.9	389.72	476.71	264.03	218.79	336.79	209.84	460.44	325.29	665.29	389.72	420.68	314.17	236.21	329.84	866.07	366.09	409.15	633.73	483.38	260.38	206.94	228.13	146.03	295.11	275.28	295.11	339.14	334.46	224.97	291.04	264.03	171.45	175.07	206.94	166.73	224.97	181.28	353.59	220.32	507.46	486.75	738.29	612.11	642.59	624.99
ZNF319	55.1	119.26	108.9	107.38	76.17	94.67	91.41	110.43	73.03	85.22	75.64	72.01	72.01	126.12	122.64	62.56	32.36	93.35	60.39	91.41	43.02	124.37	92.05	92.7	66.65	58.3	45.21	186.4	69.03	72.52	109.66	104.42	44.89	62.56	67.12	36.79	68.07	38.12	43.32	38.12	44.25	86.43	60.39	38.12	76.71	75.11	84.04	30.56	28.65	29.48	27.64	87.03	343.89	198.47	305.55	118.43	262.2	363.56
ZNF396	24.11	46.18	32.13	42.11	64.8	36.27	20.86	53.19	45.53	28.45	33.54	28.65	33.3	28.04	24.63	42.41	24.28	31.45	40.64	30.34	18.16	42.41	57.89	53.95	24.81	12.74	29.27	59.55	50.27	32.36	38.95	50.98	9.34	13.93	17.51	14.67	12.27	32.13	13.22	16.63	16.39	26.67	28.86	16.51	14.56	29.27	32.36	21.63	17.51	8.99	4.46	24.11	93.35	96.01	51.71	57.89	55.1	47.17
ZNF500	158.79	118.43	127.89	163.28	80.57	183.82	107.38	172.65	172.65	130.6	147.06	108.9	90.14	110.43	121.79	139.07	44.57	98.73	81.71	118.43	59.97	142.01	146.03	146.03	128.79	96.68	98.04	260.38	98.73	135.24	190.34	145.02	48.18	45.21	50.27	60.82	59.13	54.33	53.57	76.17	74.06	34.51	63.0	100.83	84.04	70.01	52.82	90.77	73.03	30.34	21.32	47.5	241.19	224.97	387.02	215.77	356.05	293.07
ZNF629	8.25	42.41	34.26	62.56	40.07	76.17	29.06	58.3	108.14	73.03	48.18	42.41	57.08	38.4	65.72	13.12	23.08	50.27	20.56	84.04	12.55	61.25	48.52	68.55	31.45	9.34	31.9	111.21	32.36	49.56	100.83	66.65	32.13	25.91	31.22	17.9	47.5	34.02	20.56	34.51	38.67	37.85	39.79	28.04	23.59	45.53	46.84	26.86	13.62	7.4	13.42	67.12	154.42	138.1	163.28	381.68	228.13	190.34
ZNF646	107.38	82.87	112.77	150.17	117.6	115.16	71.0	100.13	121.79	118.43	110.43	105.89	54.72	90.14	122.64	65.72	30.34	54.33	67.12	103.69	53.95	158.79	118.43	108.14	80.57	65.26	63.45	159.9	86.43	100.13	178.77	133.36	36.53	16.03	20.71	28.65	46.5	22.1	19.82	81.71	37.32	52.82	34.02	39.79	33.78	34.75	42.71	33.78	20.56	15.56	21.16	56.68	205.5	161.02	420.68	438.59	228.13	285.03
ZNF689	140.04	96.68	100.13	140.04	104.42	120.1	67.59	108.14	130.6	120.1	158.79	95.34	60.39	90.14	95.34	71.5	62.56	90.14	92.05	115.97	118.43	115.97	99.43	127.0	110.43	89.51	73.03	155.5	88.88	87.65	182.55	124.37	69.03	69.03	96.01	56.28	92.05	77.79	25.17	70.01	65.26	110.43	123.5	78.89	55.49	86.43	81.71	61.25	56.68	29.91	53.57	102.97	113.56	100.13	172.65	154.42	234.57	194.36
ZNF740	353.59	325.29	279.14	642.59	432.53	253.23	199.85	221.86	384.34	157.68	172.65	150.17	151.22	130.6	205.5	103.69	127.0	226.54	171.45	275.28	320.8	500.46	376.41	303.44	241.19	153.34	154.42	412.0	242.88	234.57	536.45	381.68	82.29	96.68	81.71	95.34	102.97	104.42	111.21	94.67	141.02	166.73	153.34	158.79	116.78	115.16	136.19	98.04	90.77	58.3	45.53	164.42	400.71	379.04	381.68	470.14	420.68	497.0
