	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
HHAT	23.42	24.46	32.36	31.45	43.63	4.94	27.84	46.5	57.89	55.89	57.89	67.59	70.01	61.68	113.56	76.71	41.22	94.01	98.04	50.98	64.8	98.04	64.8	78.34	70.51	89.51	100.13	74.06	67.59	81.71	151.22	109.66	80.57	77.79	82.87	56.28	63.45	52.82	64.8	51.35	100.13	37.85	50.63	132.44	90.14	102.25	49.21	85.82	45.21	64.34	93.35	50.98	85.82	47.5	52.08	105.15	165.57	128.79	57.08	61.68	72.01	52.45	50.63	72.52	63.45	40.36	61.25	51.71	105.89	62.56	50.27	134.3	87.03	32.82	96.68	109.66	81.71	63.0	111.21	30.34	100.83	102.25	140.04	126.12	76.17	87.03	108.14	89.51	124.37	105.89	58.3	89.51	64.34	81.14	88.88	90.14	153.34	126.12	92.05	81.14	119.26	44.25	85.82	72.52	27.25	172.65	124.37	72.52	100.83	45.53	45.21	88.88	79.45	116.78	85.82	129.69	45.85	32.13	66.18	96.68	74.58	155.5	36.53	85.82	78.34	141.02	75.64	29.06	107.38	76.17	37.05	37.85	111.21	47.84	113.56	36.27	39.5	127.89	102.97	48.87	65.26	63.45	45.85	35.25	63.89	124.37	102.97	52.08	18.16	10.39	18.43	31.67	8.78	36.01
HMGA2	0.0	23.93	27.64	17.0	90.77	34.51	27.25	158.79	58.71	31.0	25.35	32.13	28.65	31.9	109.66	71.5	8.06	81.14	127.89	78.89	121.79	117.6	75.11	108.9	97.36	74.58	61.25	113.56	85.22	69.03	153.34	109.66	97.36	76.17	113.56	112.77	35.25	10.88	84.04	45.21	108.9	84.63	98.73	128.79	126.12	80.57	5.77	61.68	24.99	90.77	115.97	34.51	108.14	102.25	34.26	87.03	127.89	167.9	90.14	59.13	84.04	18.97	94.01	128.79	98.73	7.28	104.42	71.5	96.01	54.72	74.58	142.01	115.16	4.13	131.51	98.73	148.09	95.34	141.02	56.28	118.43	108.14	98.73	183.82	83.45	108.14	186.4	114.36	130.6	87.03	80.01	88.88	63.0	128.79	90.14	92.05	111.21	154.42	105.89	96.68	115.16	11.91	94.67	80.01	4.03	128.79	116.78	55.49	84.63	36.53	85.22	111.21	148.09	93.35	96.01	120.94	11.21	40.07	114.36	80.57	75.11	116.78	8.51	114.36	76.17	165.57	142.01	9.63	152.28	72.01	11.64	3.32	113.56	9.56	120.1	9.63	2.58	95.34	79.45	75.64	87.65	85.82	74.58	12.74	6.67	122.64	98.73	80.01	0.62	1.25	3.82	3.23	1.07	11.73
HOOK1	4.82	30.12	19.97	90.77	2739.08	18.56	142.01	124.37	32.36	112.77	80.01	74.58	76.17	139.07	514.56	429.54	31.9	563.18	460.44	406.31	642.59	400.71	518.15	483.38	457.25	432.53	529.06	529.06	529.06	412.0	660.68	669.92	656.11	693.58	785.88	473.41	199.85	23.08	392.44	241.19	642.59	289.02	536.45	629.35	547.75	441.64	99.43	368.65	262.2	511.0	708.18	249.73	507.46	366.09	256.78	463.65	748.61	532.74	389.72	629.35	480.04	55.1	563.18	591.22	417.77	45.21	633.73	503.95	583.07	218.79	563.18	651.58	412.0	36.79	480.04	497.0	476.71	483.38	529.06	148.09	575.03	486.75	599.49	656.11	400.71	529.06	571.05	435.55	616.37	616.37	579.04	486.75	373.81	629.35	624.99	540.19	587.13	693.58	629.35	507.46	583.07	57.89	466.88	358.54	27.84	651.58	583.07	518.15	497.0	339.14	547.75	514.56	563.18	379.04	587.13	555.41	55.49	152.28	638.15	356.05	454.09	500.46	41.52	595.34	547.75	656.11	500.46	32.13	612.11	466.88	52.82	33.78	620.67	38.67	514.56	20.86	10.88	363.56	567.1	387.02	500.46	320.8	466.88	77.79	46.18	603.67	595.34	507.46	3.96	5.77	3.41	2.66	4.66	187.71
IL23R	0.0	2.23	9.7	6.84	8.0	0.0	0.0	3.89	1.83	5.96	3.59	5.59	5.68	6.52	14.03	17.38	3.59	34.75	15.22	13.42	16.63	8.78	8.78	19.68	13.62	13.62	13.22	30.34	11.47	20.71	16.63	22.59	12.64	21.32	16.27	9.34	0.0	0.0	17.64	6.16	15.68	5.96	20.41	19.53	17.0	23.76	0.0	9.27	8.38	7.63	18.43	7.82	5.82	6.36	6.16	10.39	27.05	25.91	12.27	15.56	14.56	0.0	11.04	20.41	12.93	0.0	19.53	12.93	13.22	4.62	13.72	9.7	0.0	0.0	23.76	23.76	21.32	8.99	15.45	5.92	13.03	19.11	20.26	21.78	11.91	19.68	22.1	4.66	17.64	14.67	9.48	7.51	9.27	18.84	21.78	14.78	14.35	12.64	17.9	15.91	10.08	0.0	16.75	14.03	0.0	12.55	32.13	12.27	10.55	7.57	18.16	23.25	12.93	8.45	18.43	24.11	0.0	6.73	10.31	18.29	18.03	11.13	2.61	24.11	10.0	18.03	13.83	0.0	13.12	11.73	2.71	0.0	22.92	0.0	14.89	0.0	3.66	10.08	9.7	14.56	15.8	3.63	8.32	0.0	0.0	10.08	16.88	14.45	0.0	0.0	0.6	0.0	1.07	1.13
KIAA1244	7.17	16.88	43.32	31.67	126.12	1.89	55.49	62.56	43.94	26.47	34.75	34.02	33.3	26.1	84.04	84.63	24.63	114.36	102.25	64.34	102.25	86.43	60.82	91.41	102.97	85.22	90.14	81.14	87.65	98.73	110.43	102.97	133.36	91.41	129.69	102.97	52.45	28.65	80.01	60.82	126.12	63.45	70.01	171.45	158.79	70.51	43.02	65.26	52.45	75.64	147.06	57.49	115.97	94.67	41.81	81.14	148.09	166.73	62.12	93.35	135.24	33.54	106.63	99.43	97.36	22.43	98.04	72.52	92.7	59.55	116.78	116.78	83.45	22.59	77.79	132.44	123.5	74.06	133.36	38.12	127.89	101.54	137.14	121.79	78.89	119.26	183.82	85.22	122.64	97.36	129.69	104.42	63.89	136.19	161.02	102.25	120.94	163.28	123.5	85.82	107.38	34.26	101.54	72.52	18.97	114.36	96.68	82.29	102.97	55.89	83.45	115.97	127.0	87.03	102.97	129.69	26.47	50.63	113.56	80.01	100.83	113.56	28.65	108.9	92.05	134.3	105.89	28.65	151.22	57.08	33.54	20.41	115.97	29.48	99.43	27.25	29.7	76.17	109.66	61.25	80.57	87.03	84.04	20.11	13.62	121.79	109.66	67.12	6.26	8.45	11.73	10.47	9.78	65.72
KIAA1468	154.42	115.97	205.5	395.18	460.44	154.42	264.03	249.73	220.32	329.84	275.28	258.57	291.04	212.78	507.46	503.95	228.13	483.38	381.68	269.6	483.38	309.83	341.51	536.45	460.44	366.09	444.72	353.59	470.14	341.51	612.11	579.04	532.74	466.88	547.75	373.81	291.04	295.11	395.18	371.22	403.5	470.14	339.14	525.39	518.15	447.82	197.09	343.89	309.83	366.09	486.75	327.56	417.77	318.57	395.18	417.77	514.56	511.0	297.17	409.15	559.28	356.05	450.94	447.82	444.72	389.72	583.07	368.65	447.82	336.79	575.03	532.74	373.81	312.0	414.87	575.03	389.72	307.69	486.75	287.01	387.02	460.44	587.13	460.44	312.0	368.65	480.04	361.04	447.82	470.14	432.53	466.88	438.59	473.41	555.41	444.72	587.13	638.15	511.0	529.06	555.41	246.28	320.8	400.71	129.69	432.53	463.65	406.31	454.09	297.17	392.44	423.61	486.75	518.15	500.46	559.28	244.57	271.48	444.72	417.77	351.14	470.14	248.0	507.46	348.71	500.46	441.64	194.36	426.57	409.15	348.71	249.73	503.95	234.57	400.71	189.02	111.99	417.77	450.94	312.0	447.82	303.44	507.46	137.14	281.09	559.28	518.15	412.0	116.78	251.48	271.48	145.02	175.07	133.36
KIAA1598	28.04	113.56	189.02	351.14	242.88	135.24	169.07	226.54	164.42	251.48	234.57	229.72	180.02	167.9	412.0	356.05	111.21	417.77	420.68	358.54	384.34	332.14	316.37	406.31	358.54	353.59	438.59	447.82	450.94	314.17	591.22	463.65	409.15	403.5	426.57	432.53	215.77	169.07	318.57	226.54	555.41	231.32	511.0	470.14	466.88	361.04	158.79	287.01	248.0	457.25	480.04	242.88	351.14	224.97	273.37	423.61	571.05	507.46	353.59	387.02	435.55	193.01	346.29	483.38	376.41	154.42	438.59	379.04	432.53	299.25	406.31	470.14	423.61	191.67	389.72	429.54	409.15	366.09	476.71	221.86	435.55	447.82	507.46	529.06	384.34	476.71	507.46	361.04	423.61	454.09	426.57	470.14	329.84	414.87	466.88	480.04	490.14	571.05	583.07	514.56	551.56	154.42	327.56	334.46	106.63	480.04	493.56	361.04	518.15	264.03	387.02	435.55	473.41	361.04	429.54	555.41	144.01	258.57	414.87	334.46	376.41	551.56	153.34	444.72	397.93	493.56	417.77	134.3	476.71	351.14	156.59	134.3	525.39	182.55	507.46	138.1	88.88	346.29	346.29	291.04	353.59	299.25	371.22	121.79	127.0	507.46	444.72	392.44	119.26	127.0	97.36	86.43	111.99	209.84
KLF5	162.14	2133.97	1295.13	780.44	4358.66	353.59	336.79	785.88	3928.15	2004.85	1963.57	1268.46	1540.37	2271.4	7485.11	5441.3	441.64	8305.36	8658.09	6840.04	8305.36	6381.92	6516.03	7382.04	5672.41	5292.48	5403.7	7280.4	6840.04	6699.25	9151.82	7857.29	7749.1	7749.1	7081.29	5711.87	2255.7	289.02	5329.3	2935.74	7382.04	3564.78	7382.04	7911.95	5995.9	5913.33	384.34	4903.87	3540.14	6840.04	8901.53	3257.52	6607.01	6887.62	4066.71	6207.38	9025.81	7130.55	5147.73	5995.9	7081.29	866.07	9673.69	10014.87	5594.3	316.37	7180.15	6745.86	8778.97	3564.78	8658.09	8305.36	5403.7	511.0	7966.99	7130.55	6699.25	6516.03	6250.56	3212.66	8479.89	6983.79	7803.01	10440.2	6250.56	8538.88	10512.82	6561.36	8134.41	8191.0	6426.31	7280.4	5751.61	9151.82	7485.11	7537.18	8479.89	10084.54	8022.41	7966.99	7280.4	713.11	7230.1	5006.93	432.53	9673.69	8134.41	6250.56	6699.25	3395.89	7280.4	7642.41	7485.11	4575.41	6250.56	8479.89	866.07	2193.99	8134.41	5555.65	5791.62	8022.41	551.56	7695.57	5633.22	9540.5	6561.36	389.72	8022.41	6207.38	571.05	329.84	8479.89	450.94	8538.88	389.72	559.28	5633.22	4639.29	5076.84	6516.03	4512.4	6381.92	718.08	490.14	9025.81	6207.38	7911.95	87.65	122.64	90.14	47.17	63.45	5076.84
KSR2	0.18	9.06	1.46	2.27	14.03	0.73	1.51	2.84	2.94	2.46	2.89	4.13	3.23	3.47	4.35	7.28	2.36	13.42	8.13	3.63	5.41	10.16	4.35	5.54	8.45	9.41	6.31	3.53	6.62	7.0	4.98	8.99	6.84	7.22	14.67	5.59	3.32	3.89	4.58	4.28	10.63	3.63	4.31	11.13	13.32	5.11	5.63	9.56	6.52	7.46	11.21	10.71	10.63	4.54	3.32	8.45	10.08	12.55	4.78	8.32	3.56	3.76	4.86	6.46	8.45	2.81	11.13	3.99	6.78	4.98	7.51	7.06	8.85	3.17	11.3	10.47	20.56	4.5	10.16	4.43	6.67	5.59	10.16	9.7	4.98	8.92	14.56	8.19	9.34	7.22	9.34	9.56	6.62	11.55	16.75	10.79	13.03	18.7	9.48	7.51	4.74	3.59	14.56	3.38	3.06	15.56	6.84	7.51	18.29	6.41	5.02	6.16	9.93	6.57	8.0	7.63	4.9	6.78	12.45	5.06	7.82	9.06	2.03	10.31	5.59	11.13	8.71	2.86	10.16	5.82	5.63	3.11	8.99	2.63	4.9	1.91	0.55	5.73	6.78	2.53	5.32	7.63	6.41	1.83	1.46	9.56	4.54	3.99	0.0	0.71	0.67	0.0	0.64	1.77
LNX1	23.59	119.26	260.38	121.79	128.79	57.89	47.17	102.25	81.14	161.02	121.79	148.09	147.06	177.53	204.07	158.79	97.36	197.09	312.0	130.6	206.94	186.4	220.32	224.97	166.73	198.47	194.36	166.73	206.94	186.4	299.25	176.29	194.36	165.57	309.83	119.26	161.02	102.97	175.07	114.36	214.27	133.36	224.97	236.21	150.17	170.25	115.97	176.29	140.04	151.22	316.37	133.36	122.64	172.65	106.63	229.72	275.28	193.01	118.43	198.47	329.84	150.17	246.28	279.14	177.53	99.43	180.02	178.77	275.28	115.16	293.07	334.46	209.84	72.52	175.07	224.97	255.0	135.24	217.27	180.02	223.41	320.8	264.03	206.94	221.86	279.14	387.02	197.09	224.97	271.48	269.6	139.07	120.1	273.37	239.52	277.2	204.07	218.79	320.8	189.02	241.19	65.72	255.0	170.25	76.71	256.78	224.97	236.21	242.88	166.73	165.57	187.71	193.01	137.14	205.5	249.73	114.36	118.43	214.27	153.34	237.86	265.87	81.14	217.27	175.07	291.04	204.07	69.03	258.57	242.88	111.99	96.01	273.37	175.07	159.9	72.52	31.67	155.5	239.52	119.26	228.13	156.59	204.07	33.54	76.17	314.17	232.94	299.25	57.08	96.68	129.69	50.98	100.83	173.85
LRRC57	169.07	148.09	305.55	267.73	325.29	162.14	256.78	241.19	237.86	273.37	267.73	255.0	295.11	251.48	320.8	395.18	281.09	529.06	483.38	251.48	397.93	295.11	339.14	435.55	287.01	339.14	473.41	368.65	309.83	381.68	423.61	435.55	363.56	500.46	438.59	339.14	336.79	223.41	384.34	244.57	381.68	400.71	293.07	327.56	366.09	327.56	218.79	366.09	332.14	403.5	555.41	384.34	368.65	287.01	305.55	309.83	409.15	426.57	271.48	371.22	348.71	334.46	341.51	384.34	536.45	281.09	341.51	301.33	299.25	231.32	579.04	376.41	371.22	234.57	366.09	366.09	409.15	346.29	493.56	414.87	417.77	412.0	460.44	507.46	435.55	579.04	397.93	297.17	529.06	356.05	563.18	511.0	486.75	473.41	429.54	376.41	389.72	373.81	384.34	356.05	366.09	264.03	361.04	348.71	202.66	371.22	392.44	316.37	371.22	309.83	314.17	435.55	316.37	460.44	381.68	368.65	218.79	255.0	314.17	277.2	351.14	497.0	166.73	447.82	356.05	353.59	316.37	175.07	323.03	381.68	343.89	323.03	723.08	228.13	368.65	309.83	186.4	327.56	387.02	334.46	343.89	343.89	318.57	199.85	371.22	521.76	420.68	289.02	124.37	211.31	180.02	135.24	193.01	221.86
MAN2A1	125.24	275.28	441.64	518.15	579.04	264.03	423.61	454.09	208.38	525.39	529.06	511.0	450.94	454.09	674.59	559.28	503.95	928.3	665.29	417.77	728.11	503.95	571.05	764.36	525.39	629.35	733.19	764.36	674.59	764.36	1233.75	620.67	813.63	703.28	813.63	518.15	305.55	392.44	830.75	511.0	967.76	423.61	633.73	819.3	599.49	603.67	417.77	591.22	529.06	674.59	941.27	454.09	698.41	514.56	559.28	638.15	1073.91	954.43	490.14	764.36	902.89	551.56	878.17	723.08	540.19	447.82	679.29	738.29	713.11	371.22	836.53	830.75	466.88	507.46	669.92	854.13	480.04	764.36	713.11	379.04	684.02	718.08	954.43	928.3	612.11	713.11	728.11	647.07	967.76	529.06	802.41	819.3	500.46	1001.93	915.51	1359.57	629.35	928.3	878.17	791.35	753.83	438.59	743.43	551.56	293.07	872.1	819.3	796.86	780.44	563.18	796.86	872.1	660.68	651.58	819.3	866.07	486.75	351.14	708.18	624.99	693.58	638.15	260.38	974.5	791.35	743.43	559.28	195.72	591.22	633.73	480.04	480.04	866.07	384.34	708.18	412.0	170.25	607.87	651.58	551.56	728.11	579.04	713.11	379.04	457.25	825.0	728.11	591.22	101.54	269.6	194.36	102.25	175.07	511.0
MAP7	47.5	127.89	285.03	279.14	1167.14	43.02	186.4	392.44	255.0	226.54	218.79	214.27	293.07	346.29	796.86	733.19	120.1	1001.93	1030.12	860.08	830.75	688.78	791.35	860.08	620.67	764.36	743.43	825.0	802.41	961.07	1111.82	748.61	1001.93	1183.45	1008.9	947.83	339.14	98.04	624.99	376.41	1023.0	361.04	860.08	1096.5	785.88	674.59	194.36	688.78	483.38	909.17	1183.45	486.75	915.51	733.19	426.57	775.05	1216.75	1051.79	647.07	941.27	1030.12	173.85	961.07	1159.07	688.78	167.9	764.36	688.78	902.89	493.56	1051.79	1008.9	521.76	127.89	780.44	961.07	723.08	688.78	748.61	255.0	981.29	878.17	1295.13	1001.93	775.05	1051.79	1183.45	651.58	1051.79	928.3	819.3	860.08	595.34	1159.07	1081.39	1001.93	961.07	1015.93	1051.79	723.08	967.76	217.27	842.36	587.13	123.5	1051.79	954.43	825.0	909.17	432.53	1081.39	1059.11	769.69	575.03	802.41	954.43	181.28	267.73	915.51	656.11	674.59	967.76	135.24	819.3	961.07	981.29	733.19	128.79	954.43	743.43	161.02	202.66	954.43	128.79	878.17	84.63	145.02	660.68	785.88	743.43	759.08	599.49	866.07	153.34	144.01	928.3	802.41	769.69	36.01	46.18	36.79	34.75	33.78	511.0
MBNL3	136.19	20.56	92.7	21.78	137.14	16.75	156.59	94.01	27.64	88.88	70.51	104.42	59.97	75.11	258.57	127.89	42.11	279.14	171.45	129.69	164.42	162.14	175.07	181.28	131.51	167.9	150.17	171.45	178.77	255.0	307.69	187.71	229.72	220.32	242.88	171.45	71.5	50.63	146.03	63.89	281.09	96.68	260.38	271.48	224.97	158.79	32.13	105.89	121.79	144.01	262.2	82.87	155.5	122.64	88.88	156.59	260.38	242.88	152.28	176.29	132.44	33.3	229.72	275.28	138.1	28.04	204.07	190.34	258.57	84.63	279.14	237.86	145.02	33.3	309.83	206.94	221.86	150.17	181.28	99.43	142.01	202.66	361.04	211.31	182.55	232.94	236.21	173.85	343.89	211.31	166.73	197.09	114.36	287.01	228.13	253.23	201.25	217.27	220.32	173.85	194.36	42.41	150.17	146.03	33.54	264.03	199.85	136.19	217.27	105.15	248.0	229.72	193.01	122.64	190.34	232.94	54.33	82.29	185.11	180.02	145.02	204.07	35.0	208.38	199.85	234.57	143.01	21.78	214.27	191.67	48.52	39.5	262.2	67.12	208.38	22.92	26.67	147.06	187.71	123.5	185.11	126.12	171.45	21.16	27.44	220.32	217.27	150.17	12.09	17.25	17.51	18.97	38.4	120.94
MCU	373.81	376.41	1183.45	500.46	575.03	529.06	860.08	669.92	327.56	842.36	802.41	791.35	698.41	796.86	1605.83	1191.69	454.09	1594.73	1467.37	1388.16	1378.57	1350.18	1183.45	1340.84	1457.23	1242.34	1268.46	1457.23	1617.0	1331.57	1870.53	1498.22	1832.01	1487.87	1651.0	1529.73	791.35	503.95	1044.52	836.53	1583.71	860.08	1721.16	1551.09	1417.35	1199.98	392.44	954.43	896.64	1617.0	1794.29	1001.93	1639.59	1088.92	860.08	1268.46	1781.89	1870.53	1208.34	1745.2	1870.53	529.06	1745.2	1745.2	1127.35	379.04	1519.15	1191.69	1551.09	884.29	1583.71	1477.58	1259.69	423.61	1437.15	1685.71	1088.92	1175.27	1388.16	878.17	1467.37	1313.23	1936.53	1781.89	1340.84	1605.83	1733.13	1119.56	1498.22	1529.73	1477.58	1519.15	1183.45	1651.0	1477.58	1628.26	1781.89	1572.76	1561.89	1583.71	1794.29	460.44	1143.1	921.88	356.05	1857.6	1721.16	1437.15	1322.37	902.89	1594.73	1781.89	1709.26	974.5	1709.26	1617.0	540.19	708.18	1709.26	1359.57	1437.15	1551.09	559.28	1437.15	1909.85	1457.23	1331.57	466.88	1709.26	1008.9	395.18	426.57	1617.0	483.38	1427.22	366.09	587.13	1119.56	1143.1	1135.2	1437.15	1066.48	1519.15	567.1	414.87	1540.37	1350.18	1313.23	164.42	231.32	215.77	329.84	234.57	884.29
MFSD9	99.43	136.19	457.25	327.56	271.48	93.35	244.57	629.35	171.45	356.05	384.34	444.72	229.72	373.81	612.11	368.65	285.03	559.28	563.18	603.67	551.56	454.09	638.15	497.0	432.53	463.65	536.45	555.41	703.28	490.14	674.59	688.78	647.07	563.18	591.22	575.03	273.37	166.73	397.93	339.14	547.75	366.09	540.19	629.35	466.88	473.41	229.72	361.04	387.02	571.05	620.67	412.0	587.13	486.75	363.56	429.54	599.49	665.29	403.5	698.41	647.07	186.4	612.11	603.67	463.65	181.28	624.99	476.71	551.56	320.8	521.76	612.11	450.94	198.47	620.67	540.19	423.61	476.71	497.0	260.38	503.95	583.07	693.58	728.11	521.76	595.34	575.03	551.56	563.18	575.03	559.28	656.11	532.74	575.03	500.46	575.03	559.28	620.67	780.44	633.73	511.0	256.78	470.14	387.02	154.42	587.13	629.35	500.46	591.22	395.18	679.29	551.56	547.75	473.41	638.15	733.19	297.17	267.73	647.07	490.14	460.44	603.67	134.3	638.15	616.37	551.56	435.55	190.34	624.99	532.74	262.2	262.2	591.22	142.01	497.0	148.09	146.03	429.54	525.39	514.56	454.09	397.93	612.11	228.13	279.14	624.99	547.75	674.59	49.91	70.01	102.97	43.02	128.79	353.59
