	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.111YS.0626.SM.5GZXV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.11P81.0226.SM.5HL5M	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57
MDM1	195.72	117.6	103.69	249.73	99.43	34.75	57.89	152.28	151.22	55.89	185.11	199.85	61.68	173.85	81.14	139.07	126.12	69.03	159.9	185.11	82.29	127.0	110.43	166.73	152.28	74.06	136.19	40.64	205.5	158.79	111.21	64.8	130.6	49.56	198.47	208.38	176.29	89.51	74.58	94.67	208.38	325.29	124.37	139.07	96.68	218.79	148.09	208.38	115.16	220.32	157.68	175.07	57.49	123.5	64.8	57.89	127.89
METTL15	139.07	132.44	114.36	152.28	161.02	58.3	47.5	132.44	125.24	59.55	137.14	143.01	86.43	176.29	43.32	85.82	94.67	80.01	132.44	138.1	49.91	141.02	128.79	125.24	115.16	26.86	102.97	103.69	164.42	134.3	127.0	94.67	65.26	68.07	151.22	105.15	118.43	170.25	85.22	157.68	129.69	253.23	120.1	152.28	120.1	125.24	108.14	159.9	204.07	102.25	119.26	142.01	35.25	132.44	52.45	111.21	136.19
MRPS31	525.39	423.61	381.68	543.96	353.59	217.27	127.89	447.82	629.35	211.31	660.68	420.68	269.6	525.39	118.43	346.29	246.28	379.04	486.75	454.09	224.97	414.87	281.09	450.94	356.05	137.14	336.79	305.55	571.05	483.38	361.04	220.32	285.03	183.82	651.58	450.94	406.31	400.71	253.23	392.44	417.77	669.92	392.44	559.28	329.84	551.56	363.56	403.5	612.11	432.53	406.31	426.57	186.4	454.09	138.1	301.33	249.73
MSH3	96.68	101.54	94.67	136.19	170.25	69.52	81.71	116.78	98.04	63.45	116.78	152.28	76.71	102.97	66.65	91.41	74.58	81.14	98.73	92.7	44.57	193.01	90.14	139.07	85.82	36.79	53.95	86.43	153.34	89.51	102.97	87.65	88.88	45.53	153.34	120.1	123.5	153.34	74.58	132.44	119.26	221.86	101.54	120.94	109.66	159.9	167.9	175.07	139.07	99.43	189.02	162.14	56.68	109.66	60.39	82.87	101.54
MTBP	27.64	29.91	12.45	38.4	18.43	4.13	9.2	21.63	30.34	4.39	31.22	51.71	5.11	31.0	7.4	13.22	14.56	9.06	40.93	30.56	2.86	26.86	18.29	25.54	24.11	1.43	10.88	6.78	63.45	28.04	15.45	9.63	25.54	8.99	27.44	28.04	19.39	28.24	15.22	34.02	35.5	67.59	12.74	29.7	18.29	60.82	34.51	25.91	45.21	31.67	33.78	38.12	3.35	19.39	3.76	9.27	15.91
NDUFB5	1617.0	2335.28	995.0	2047.0	1159.07	511.0	205.5	1605.83	2609.3	532.74	1844.76	2434.5	1340.84	1991.0	679.29	1417.35	583.07	780.44	2451.44	2935.74	521.76	1304.15	733.19	1857.6	1487.87	262.2	708.18	947.83	3768.09	2104.58	1066.48	417.77	417.77	387.02	3039.3	1639.59	1662.49	2627.46	529.06	1923.14	2367.9	3716.2	1369.04	3443.31	1457.23	2627.46	1583.71	2739.08	1806.78	2209.26	2061.24	1936.53	460.44	1709.26	389.72	961.07	928.3
NUDT2	299.25	551.56	253.23	466.88	212.78	153.34	88.26	182.55	607.87	105.15	244.57	890.44	153.34	387.02	58.71	307.69	256.78	368.65	339.14	848.22	189.02	183.82	157.68	283.05	144.01	206.94	124.37	237.86	587.13	239.52	195.72	126.12	105.15	71.0	651.58	211.31	309.83	486.75	176.29	529.06	301.33	599.49	514.56	884.29	414.87	651.58	647.07	334.46	316.37	529.06	223.41	400.71	86.43	348.71	152.28	144.01	397.93
NUDT7	295.11	239.52	135.24	246.28	295.11	49.21	32.59	318.57	387.02	14.56	346.29	379.04	73.54	450.94	40.07	226.54	77.25	127.89	518.15	511.0	56.28	297.17	24.28	287.01	279.14	28.24	70.01	120.94	397.93	441.64	301.33	61.25	40.36	43.32	293.07	172.65	341.51	343.89	28.04	267.73	389.72	514.56	249.73	470.14	279.14	490.14	267.73	327.56	341.51	327.56	289.02	470.14	42.41	242.88	31.67	101.54	239.52
OARD1	660.68	540.19	384.34	679.29	540.19	193.01	312.0	633.73	718.08	264.03	728.11	764.36	353.59	728.11	246.28	540.19	289.02	373.81	848.22	638.15	283.05	591.22	480.04	796.86	607.87	131.51	387.02	392.44	698.41	748.61	579.04	269.6	358.54	228.13	660.68	493.56	738.29	703.28	285.03	633.73	679.29	1242.34	500.46	915.51	473.41	759.08	679.29	723.08	684.02	583.07	497.0	703.28	170.25	444.72	273.37	329.84	466.88
OMA1	490.14	409.15	267.73	412.0	361.04	128.79	54.72	320.8	470.14	105.15	497.0	447.82	173.85	358.54	95.34	269.6	145.02	201.25	507.46	473.41	176.29	289.02	140.04	414.87	384.34	117.6	236.21	159.9	571.05	511.0	273.37	78.89	131.51	76.17	591.22	307.69	339.14	299.25	117.6	444.72	389.72	543.96	356.05	444.72	406.31	486.75	392.44	480.04	543.96	358.54	371.22	397.93	111.99	336.79	111.21	229.72	198.47
OSGEPL1	143.01	141.02	78.34	166.73	96.01	35.76	29.48	106.63	150.17	40.64	162.14	136.19	54.33	187.71	24.11	107.38	33.54	69.03	161.02	171.45	42.11	87.65	88.88	127.0	142.01	23.08	84.63	46.84	172.65	189.02	92.05	42.41	53.95	49.56	181.28	143.01	137.14	125.24	48.18	129.69	153.34	202.66	92.7	178.77	78.89	178.77	166.73	131.51	149.12	150.17	164.42	146.03	34.02	102.25	31.45	59.97	81.14
PCNXL4	583.07	403.5	299.25	529.06	339.14	136.19	165.57	420.68	450.94	139.07	420.68	305.55	281.09	348.71	246.28	271.48	241.19	241.19	409.15	307.69	181.28	316.37	176.29	376.41	373.81	231.32	271.48	104.42	476.71	420.68	239.52	147.06	457.25	151.22	540.19	466.88	339.14	256.78	231.32	409.15	361.04	748.61	248.0	334.46	221.86	551.56	318.57	334.46	457.25	318.57	353.59	387.02	269.6	356.05	171.45	236.21	223.41
PCYOX1L	189.02	153.34	111.21	384.34	117.6	80.57	35.5	169.07	93.35	97.36	150.17	178.77	70.51	289.02	77.79	102.25	42.11	85.22	205.5	232.94	69.52	70.01	164.42	115.16	180.02	31.22	123.5	170.25	126.12	131.51	115.16	55.89	50.27	102.97	281.09	209.84	139.07	204.07	59.55	138.1	277.2	269.6	110.43	329.84	123.5	205.5	208.38	246.28	147.06	279.14	181.28	183.82	32.13	115.16	21.63	61.25	136.19
PFDN4	511.0	988.12	466.88	775.05	397.93	305.55	387.02	995.0	698.41	265.87	808.0	995.0	848.22	1127.35	361.04	387.02	363.56	277.2	967.76	518.15	301.33	791.35	438.59	860.08	603.67	169.07	679.29	397.93	1397.83	947.83	507.46	414.87	361.04	323.03	813.63	387.02	665.29	981.29	703.28	713.11	890.44	2193.99	688.78	1397.83	559.28	1023.0	384.34	1081.39	595.34	389.72	514.56	529.06	387.02	536.45	314.17	514.56	693.58
PGBD1	72.01	73.54	76.17	76.17	69.52	6.94	56.68	88.26	78.89	10.96	53.19	108.9	10.79	128.79	14.89	80.57	25.54	30.56	73.54	111.99	19.25	65.72	43.32	79.45	94.01	8.19	62.56	21.63	122.64	79.45	39.79	48.87	89.51	32.82	71.0	83.45	70.51	86.43	41.52	85.22	119.26	149.12	53.19	82.29	39.79	87.03	88.88	69.03	108.14	59.13	72.52	107.38	13.32	67.59	17.25	33.3	50.63
PIGV	299.25	303.44	232.94	363.56	403.5	166.73	111.21	368.65	409.15	110.43	412.0	444.72	152.28	346.29	139.07	363.56	150.17	145.02	466.88	450.94	115.97	275.28	161.02	403.5	409.15	82.29	248.0	194.36	420.68	420.68	209.84	135.24	145.02	115.16	368.65	285.03	426.57	348.71	152.28	346.29	384.34	473.41	312.0	444.72	327.56	514.56	507.46	358.54	511.0	429.54	435.55	450.94	63.0	332.14	126.12	307.69	279.14
PNPLA4	368.65	463.65	476.71	473.41	314.17	89.51	90.77	511.0	412.0	85.22	400.71	698.41	267.73	353.59	65.72	412.0	206.94	87.65	536.45	457.25	86.43	316.37	146.03	363.56	480.04	47.5	232.94	90.77	473.41	450.94	253.23	135.24	172.65	66.18	575.03	301.33	249.73	361.04	131.51	775.05	361.04	656.11	371.22	669.92	371.22	684.02	435.55	547.75	684.02	490.14	289.02	454.09	50.98	211.31	48.18	303.44	214.27
PPIL3	921.88	518.15	353.59	1359.57	339.14	234.57	246.28	607.87	420.68	332.14	688.78	860.08	285.03	444.72	412.0	287.01	239.52	343.89	915.51	633.73	303.44	480.04	173.85	624.99	551.56	142.01	159.9	414.87	878.17	624.99	819.3	318.57	237.86	291.04	693.58	373.81	656.11	698.41	417.77	587.13	583.07	995.0	371.22	1388.16	476.71	1037.29	607.87	796.86	521.76	830.75	775.05	769.69	139.07	348.71	327.56	258.57	698.41
PRIM2	63.0	62.12	49.91	60.82	56.68	75.64	31.67	74.58	50.98	8.85	101.54	100.83	44.89	68.55	36.53	74.58	36.53	50.98	158.79	70.01	27.64	66.65	49.91	94.01	118.43	4.24	30.34	34.02	135.24	89.51	31.67	55.1	46.5	14.89	62.12	49.56	102.97	97.36	55.89	73.03	82.87	172.65	82.29	156.59	84.63	127.89	66.65	66.18	119.26	73.54	76.17	58.71	38.95	116.78	6.78	53.19	78.34
RAD51C	255.0	376.41	295.11	376.41	329.84	120.94	228.13	438.59	417.77	177.53	314.17	381.68	368.65	463.65	105.89	279.14	305.55	217.27	429.54	356.05	202.66	332.14	173.85	435.55	409.15	140.04	305.55	141.02	525.39	409.15	223.41	152.28	309.83	149.12	518.15	228.13	490.14	387.02	178.77	457.25	339.14	555.41	303.44	511.0	366.09	555.41	373.81	336.79	483.38	400.71	429.54	320.8	144.01	400.71	190.34	293.07	301.33
RBM45	176.29	212.78	154.42	237.86	125.24	72.01	157.68	153.34	172.65	111.21	190.34	173.85	95.34	265.87	61.68	182.55	101.54	100.13	211.31	246.28	89.51	185.11	283.05	220.32	175.07	43.02	175.07	105.15	246.28	195.72	133.36	134.3	157.68	54.72	226.54	293.07	177.53	293.07	142.01	183.82	206.94	265.87	204.07	224.97	120.1	217.27	205.5	183.82	185.11	195.72	183.82	176.29	45.21	139.07	91.41	163.28	223.41
RINL	159.9	140.04	132.44	497.0	185.11	49.91	13.52	191.67	194.36	23.42	289.02	273.37	45.53	206.94	99.43	199.85	53.95	48.52	133.36	336.79	32.36	88.26	24.28	146.03	170.25	21.94	169.07	42.41	88.88	173.85	80.01	55.1	64.8	17.25	178.77	172.65	187.71	141.02	47.84	329.84	256.78	587.13	116.78	262.2	176.29	318.57	169.07	119.26	260.38	232.94	241.19	139.07	20.86	85.22	47.5	90.77	88.26
RLN2	27.64	28.65	29.27	28.24	37.85	14.45	0.0	31.67	30.78	5.06	70.51	55.89	0.0	72.01	0.0	10.96	6.57	3.63	32.13	30.56	15.22	45.53	0.0	25.17	54.33	15.91	10.71	10.47	115.16	58.71	18.7	0.0	8.99	15.34	42.11	36.79	23.59	5.87	0.0	57.89	46.84	112.77	23.59	113.56	42.71	79.45	33.3	41.52	57.89	48.18	35.25	58.3	14.35	34.75	0.0	23.42	5.82
RMI1	52.45	70.01	48.18	125.24	44.57	24.28	16.63	54.33	60.39	27.84	102.25	71.0	39.79	57.89	22.92	47.84	35.5	35.76	106.63	108.9	26.28	36.01	46.18	97.36	52.45	12.74	59.97	37.05	96.01	74.58	69.52	34.02	47.84	31.22	116.78	81.71	90.14	76.17	74.06	78.34	80.57	191.67	74.58	96.68	34.02	150.17	82.29	60.82	93.35	94.67	76.17	84.04	28.86	55.49	40.64	75.11	66.18
RNASEL	260.38	175.07	70.51	305.55	154.42	50.27	17.51	147.06	215.77	90.14	271.48	260.38	115.16	176.29	35.25	146.03	35.25	90.77	318.57	246.28	63.89	165.57	52.82	185.11	164.42	13.83	163.28	127.89	180.02	236.21	309.83	44.25	48.52	74.58	301.33	199.85	217.27	172.65	69.03	175.07	217.27	356.05	198.47	189.02	99.43	234.57	224.97	148.09	297.17	293.07	287.01	166.73	35.0	215.77	140.04	102.97	103.69
RTCA	529.06	486.75	507.46	563.18	426.57	197.09	299.25	414.87	525.39	255.0	571.05	547.75	314.17	567.1	208.38	341.51	363.56	242.88	551.56	583.07	236.21	373.81	366.09	555.41	483.38	194.36	395.18	297.17	529.06	575.03	389.72	299.25	289.02	214.27	607.87	435.55	490.14	486.75	255.0	607.87	511.0	796.86	368.65	647.07	409.15	660.68	483.38	441.64	620.67	438.59	444.72	457.25	181.28	381.68	224.97	361.04	397.93
SCRN3	363.56	423.61	273.37	435.55	423.61	60.82	157.68	371.22	323.03	108.14	444.72	423.61	120.1	395.18	157.68	312.0	151.22	116.78	450.94	395.18	103.69	314.17	211.31	480.04	373.81	58.71	323.03	150.17	420.68	368.65	260.38	202.66	260.38	102.25	480.04	368.65	363.56	368.65	208.38	441.64	397.93	723.08	325.29	490.14	285.03	591.22	379.04	417.77	389.72	320.8	397.93	334.46	121.79	255.0	134.3	291.04	320.8
SETDB2	212.78	126.12	84.04	275.28	117.6	69.52	20.26	123.5	153.34	59.13	221.86	223.41	92.05	199.85	55.1	113.56	36.01	105.15	236.21	189.02	60.82	115.16	63.89	175.07	165.57	66.65	78.34	67.12	217.27	177.53	153.34	57.49	59.13	84.63	318.57	145.02	156.59	149.12	53.95	142.01	217.27	373.81	112.77	167.9	84.63	244.57	157.68	173.85	178.77	258.57	158.79	197.09	62.56	143.01	106.63	49.56	79.45
SFR1	175.07	269.6	147.06	285.03	132.44	101.54	77.79	301.33	187.71	76.71	218.79	353.59	170.25	197.09	63.89	97.36	152.28	70.51	301.33	253.23	82.87	164.42	163.28	265.87	205.5	81.14	191.67	70.51	361.04	217.27	115.97	81.14	153.34	99.43	208.38	157.68	182.55	167.9	77.25	212.78	206.94	493.56	166.73	323.03	144.01	400.71	201.25	211.31	332.14	205.5	178.77	209.84	48.52	170.25	97.36	169.07	163.28
SFTPC	1.848689914E7	5.882801313E7	1.748967224E7	1.381756339E7	7.92550749E7	303217.87	3.402283342E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4372417.31	4.188702152E7	24153.43	3.130739107E7	2.4225111E7	7665772.81	2.880867455E7	2.542950323E7	469249.9	2.138357795E7	6766600.51	2.260282772E7	5.761735011E7	84694.64	1.927195942E7	1.36273329E7	3.801327429E7	2.260282772E7	4.878722096E7	3.72309724E7	1.194579786E7	53601.03	1.106883362E7	1.887534821E7	2.123587078E7	2.276004283E7	1.450452687E7	1.913883827E7	2.706640506E7	1.410789979E7	5.228884881E7	2.198475218E7	1.0826562323E8	1493223.86	1.954098596E7	2.037080884E7	2.560637942E7	3.109113511E7	6.17527469E7	2.578448588E7	5954.47	1.66613263E7	189257.69	1.835920079E7	1.391367215E7
SLC38A6	438.59	271.48	251.48	543.96	114.36	156.59	33.78	215.77	285.03	178.77	429.54	368.65	190.34	307.69	117.6	126.12	142.01	267.73	346.29	218.79	218.79	201.25	102.25	260.38	287.01	87.03	137.14	142.01	389.72	371.22	234.57	157.68	114.36	100.13	796.86	205.5	277.2	265.87	172.65	232.94	426.57	808.0	218.79	497.0	182.55	638.15	246.28	423.61	220.32	575.03	486.75	314.17	92.05	212.78	102.25	143.01	205.5
SLC38A9	221.86	285.03	137.14	356.05	271.48	71.0	104.42	325.29	271.48	52.45	358.54	341.51	81.14	177.53	60.82	201.25	117.6	120.1	327.56	287.01	84.63	260.38	145.02	303.44	228.13	43.02	151.22	102.97	480.04	255.0	108.9	87.03	149.12	76.71	267.73	275.28	341.51	291.04	115.97	271.48	316.37	490.14	201.25	271.48	167.9	318.57	297.17	201.25	444.72	291.04	285.03	325.29	55.49	265.87	71.5	125.24	145.02
SLFN12	122.64	128.79	44.89	169.07	80.57	20.41	14.89	71.0	81.71	65.72	100.83	204.07	46.5	162.14	99.43	194.36	31.22	101.54	166.73	153.34	72.52	127.89	72.01	121.79	253.23	158.79	84.04	38.12	189.02	125.24	26.67	24.46	46.5	89.51	152.28	88.88	144.01	204.07	34.75	95.34	279.14	409.15	109.66	217.27	21.01	316.37	126.12	125.24	127.89	153.34	182.55	373.81	145.02	129.69	19.82	46.84	85.22
SMIM8	115.97	109.66	78.89	115.16	146.03	97.36	26.28	67.59	165.57	32.36	115.16	127.0	80.57	95.34	58.3	78.34	55.1	90.77	211.31	101.54	62.12	161.02	39.79	105.89	100.13	22.92	52.82	62.56	156.59	122.64	78.89	48.18	32.36	45.21	162.14	89.51	138.1	142.01	49.21	101.54	96.01	351.14	97.36	271.48	110.43	163.28	115.97	87.65	193.01	72.52	94.67	88.88	20.56	71.0	35.5	93.35	87.65
SNAPC3	293.07	251.48	175.07	384.34	273.37	101.54	69.52	189.02	281.09	123.5	397.93	251.48	176.29	209.84	144.01	181.28	164.42	212.78	353.59	241.19	96.68	287.01	133.36	279.14	244.57	72.01	172.65	127.89	447.82	384.34	307.69	132.44	178.77	151.22	432.53	293.07	348.71	273.37	151.22	314.17	228.13	490.14	180.02	239.52	186.4	521.76	283.05	232.94	414.87	231.32	373.81	260.38	180.02	267.73	120.94	231.32	191.67
STAM2	406.31	332.14	228.13	432.53	363.56	121.79	159.9	267.73	260.38	154.42	373.81	293.07	191.67	301.33	199.85	246.28	178.77	255.0	287.01	287.01	153.34	329.84	127.0	389.72	339.14	157.68	239.52	193.01	409.15	312.0	356.05	152.28	287.01	201.25	381.68	392.44	358.54	307.69	205.5	329.84	366.09	642.59	271.48	289.02	239.52	444.72	327.56	384.34	397.93	258.57	366.09	387.02	157.68	435.55	127.0	218.79	251.48
TFB1M	253.23	178.77	195.72	283.05	157.68	107.38	52.08	148.09	194.36	127.89	223.41	279.14	98.73	279.14	58.71	156.59	241.19	120.94	251.48	220.32	72.01	139.07	116.78	199.85	205.5	50.27	125.24	134.3	273.37	246.28	126.12	170.25	169.07	65.26	260.38	260.38	182.55	255.0	150.17	133.36	248.0	503.95	253.23	320.8	228.13	293.07	209.84	255.0	223.41	193.01	285.03	131.51	65.26	201.25	78.34	130.6	141.02
TMEM218	684.02	748.61	603.67	988.12	571.05	301.33	76.71	547.75	633.73	248.0	890.44	860.08	293.07	890.44	173.85	460.44	356.05	389.72	836.53	775.05	325.29	497.0	187.71	669.92	753.83	186.4	373.81	249.73	872.1	842.36	529.06	226.54	299.25	228.13	780.44	713.11	669.92	476.71	189.02	775.05	748.61	909.17	607.87	1059.11	693.58	1088.92	688.78	669.92	708.18	825.0	703.28	688.78	201.25	532.74	176.29	346.29	457.25
TMEM254	551.56	518.15	476.71	444.72	447.82	194.36	154.42	417.77	656.11	181.28	708.18	693.58	234.57	414.87	96.01	373.81	366.09	209.84	753.83	656.11	224.97	412.0	255.0	563.18	503.95	126.12	420.68	283.05	620.67	583.07	536.45	164.42	218.79	120.1	684.02	575.03	493.56	603.67	275.28	607.87	463.65	780.44	400.71	796.86	412.0	733.19	587.13	529.06	483.38	624.99	532.74	599.49	77.25	483.38	198.47	371.22	463.65
TRMT13	193.01	137.14	126.12	212.78	94.01	45.21	31.45	112.77	151.22	69.52	198.47	170.25	85.82	166.73	40.93	72.52	68.55	89.51	170.25	150.17	38.67	113.56	79.45	139.07	172.65	21.47	112.77	53.19	199.85	201.25	117.6	67.59	119.26	82.87	195.72	183.82	128.79	97.36	77.79	171.45	169.07	343.89	121.79	124.37	73.03	211.31	120.1	111.21	172.65	124.37	138.1	163.28	50.63	158.79	52.45	98.73	65.26
TRUB1	180.02	244.57	136.19	212.78	145.02	98.04	98.73	165.57	209.84	81.71	217.27	246.28	63.0	202.66	42.41	140.04	137.14	91.41	194.36	158.79	96.68	163.28	111.21	215.77	206.94	31.22	151.22	66.18	248.0	178.77	118.43	118.43	156.59	67.12	204.07	170.25	228.13	172.65	118.43	234.57	187.71	253.23	144.01	218.79	115.97	256.78	195.72	211.31	190.34	153.34	147.06	162.14	40.07	157.68	64.34	151.22	111.99
TSSK6	31.67	22.1	15.0	30.34	11.04	8.58	20.71	12.09	25.91	5.59	28.45	27.64	9.56	38.67	16.03	17.38	6.01	12.18	23.76	31.67	4.28	17.77	14.56	18.84	31.22	1.91	17.64	6.62	12.0	38.12	20.56	10.55	15.0	6.62	32.59	16.75	37.59	27.25	5.06	29.7	44.57	32.59	19.53	23.25	8.13	29.27	22.59	18.03	13.62	35.25	13.32	20.56	10.16	12.0	4.54	14.45	28.45
TTC8	346.29	303.44	218.79	339.14	269.6	75.11	129.69	260.38	234.57	92.7	358.54	297.17	115.97	264.03	102.25	176.29	152.28	137.14	256.78	228.13	133.36	228.13	158.79	260.38	267.73	57.08	147.06	136.19	307.69	244.57	279.14	218.79	161.02	89.51	307.69	204.07	204.07	397.93	172.65	217.27	339.14	353.59	164.42	392.44	186.4	356.05	269.6	358.54	182.55	301.33	423.61	283.05	57.49	204.07	77.25	204.07	267.73
WRB	587.13	638.15	525.39	547.75	753.83	295.11	125.24	854.13	769.69	166.73	1008.9	642.59	412.0	571.05	281.09	728.11	490.14	693.58	995.0	1001.93	287.01	753.83	154.42	713.11	591.22	140.04	447.82	332.14	1051.79	679.29	684.02	242.88	283.05	244.57	684.02	738.29	669.92	417.77	277.2	830.75	591.22	1268.46	406.31	1081.39	500.46	1073.91	764.36	473.41	842.36	444.72	703.28	713.11	262.2	651.58	265.87	532.74	532.74
ZKSCAN3	74.58	51.35	38.4	102.25	38.4	12.27	8.99	36.79	51.35	22.75	86.43	98.73	24.11	62.56	16.27	67.59	12.74	51.35	92.7	92.7	13.83	41.52	23.93	65.72	70.01	10.55	38.95	27.44	97.36	115.16	65.72	27.44	25.17	32.59	92.7	86.43	73.54	50.63	18.97	74.06	80.01	143.01	45.21	64.34	28.86	115.97	97.36	65.26	71.5	73.03	74.06	46.5	14.24	53.57	22.1	28.45	19.39
ZKSCAN4	73.03	57.49	43.94	96.68	31.67	8.85	21.16	35.0	65.72	32.36	65.72	107.38	37.59	72.52	24.11	55.49	28.04	30.12	97.36	81.14	16.39	42.41	35.76	75.64	88.88	16.15	48.87	32.82	94.67	88.26	55.89	29.48	42.71	19.97	86.43	65.72	84.04	63.0	36.53	82.87	97.36	149.12	64.8	76.17	30.78	102.25	69.03	79.45	63.45	87.65	57.89	61.25	24.46	50.63	19.82	50.98	45.85
ZNF184	80.57	80.57	40.07	115.97	66.65	43.63	26.1	82.29	104.42	40.36	121.79	102.25	65.26	72.52	64.8	61.25	37.32	68.07	124.37	111.21	50.27	63.0	48.18	98.04	81.14	88.26	66.65	32.59	142.01	72.01	68.07	32.59	83.45	60.39	137.14	120.94	99.43	54.33	39.5	81.71	90.77	178.77	52.82	79.45	43.63	133.36	85.22	57.49	139.07	121.79	134.3	77.25	71.0	96.68	66.18	46.84	59.97
ZNF287	93.35	78.34	76.71	159.9	78.89	0.79	29.27	55.1	52.45	68.07	87.65	102.25	62.12	106.63	14.35	75.64	21.78	21.63	110.43	100.83	32.82	40.64	128.79	45.21	93.35	1.99	74.06	40.07	106.63	59.55	38.4	51.71	56.68	53.95	84.04	73.03	117.6	100.13	69.52	80.57	126.12	115.97	57.89	147.06	51.71	118.43	67.12	97.36	51.35	109.66	40.07	107.38	10.79	69.52	37.59	20.56	75.11
ZNF501	50.63	55.1	43.02	78.89	37.59	3.63	26.86	35.76	88.26	4.43	82.29	55.1	36.01	70.51	9.2	35.0	15.0	31.9	78.89	117.6	6.31	69.52	49.91	59.55	62.56	9.2	63.89	20.71	59.13	73.03	40.36	35.0	57.08	15.34	98.73	60.82	74.58	44.57	12.74	62.56	127.0	97.36	62.12	77.25	8.85	94.67	82.87	40.36	68.55	41.81	48.52	48.87	6.52	60.82	8.85	40.64	46.5
ZNF572	11.04	12.83	8.58	29.27	8.65	2.71	1.01	5.59	10.08	3.89	17.51	21.16	8.32	33.06	1.04	17.64	10.47	3.92	27.64	21.32	2.16	10.31	16.15	12.93	13.83	1.68	14.78	6.89	27.84	23.76	8.19	11.04	9.85	3.14	32.13	26.28	24.81	20.86	5.19	20.56	22.75	36.79	16.51	17.38	4.28	31.0	15.45	17.13	10.0	13.32	18.16	17.77	0.28	11.38	0.29	12.55	10.39
ZNF626	228.13	74.58	33.54	117.6	33.06	19.82	22.75	36.27	92.7	10.55	190.34	441.64	31.0	89.51	103.69	19.68	21.16	63.45	142.01	166.73	31.22	73.03	21.01	84.63	51.35	5.15	16.03	40.64	204.07	323.03	231.32	8.99	18.7	50.27	106.63	75.11	167.9	36.01	16.75	165.57	57.89	642.59	42.11	140.04	21.16	336.79	114.36	145.02	72.52	36.01	28.04	532.74	82.87	72.52	64.34	48.52	45.21
ZNF691	195.72	166.73	140.04	251.48	121.79	52.82	34.02	125.24	208.38	83.45	226.54	236.21	71.0	253.23	52.82	161.02	82.29	86.43	253.23	253.23	43.02	133.36	78.89	191.67	170.25	39.5	151.22	77.79	226.54	234.57	125.24	58.71	136.19	43.32	285.03	241.19	197.09	150.17	79.45	180.02	229.72	275.28	189.02	248.0	120.94	267.73	212.78	155.5	218.79	246.28	209.84	217.27	38.12	139.07	56.28	177.53	90.14
ZNF77	87.65	88.26	71.5	88.88	78.89	19.68	35.25	102.25	100.13	35.5	105.15	73.54	40.93	84.04	30.56	61.25	33.78	51.35	98.04	114.36	39.5	66.65	66.65	100.13	84.63	35.5	88.26	35.0	84.63	108.9	48.52	60.39	118.43	56.68	92.05	109.66	180.02	77.79	84.04	77.79	151.22	127.0	61.25	91.41	49.56	89.51	63.0	67.59	43.94	102.25	52.08	148.09	63.0	96.01	29.91	32.82	56.68
