	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
ATPAF2	303.44	409.15	283.05	460.44	312.0	555.41	555.41	460.44	642.59	708.18	532.74	595.34	454.09	571.05	336.79	387.02	647.07	503.95	470.14	248.0	325.29	373.81	490.14	540.19	395.18	514.56	483.38	392.44	387.02	343.89	656.11	409.15	426.57	361.04	327.56	587.13	384.34	325.29	262.2	351.14	514.56	567.1	269.6	323.03	293.07	463.65	438.59	205.5	624.99	493.56	518.15	500.46	299.25	647.07	346.29	591.22	497.0	500.46	454.09	460.44	353.59	271.48	785.88	679.29	234.57	612.11	607.87	447.82	607.87	500.46	253.23	532.74	271.48	194.36	483.38	305.55	285.03	669.92	693.58	674.59	312.0	599.49	358.54	583.07	490.14	551.56	332.14	466.88	616.37	373.81	514.56	532.74	239.52	599.49	397.93	307.69	194.36	438.59	283.05	583.07	595.34	371.22	273.37	273.37	463.65	518.15	612.11	251.48	567.1	674.59	353.59	490.14	441.64	547.75	563.18	466.88	287.01	543.96	483.38	409.15	463.65	483.38	595.34	332.14	551.56	312.0	417.77	320.8	486.75	397.93	291.04	503.95	454.09	595.34	603.67	500.46	379.04	559.28	607.87	426.57	363.56	423.61	583.07	447.82	420.68	420.68	463.65	463.65	463.65	529.06	381.68	470.14	540.19	587.13	476.71	323.03	363.56	423.61	647.07	521.76	348.71	483.38	454.09	503.95	358.54	403.5	497.0	493.56	476.71	532.74	343.89	366.09	480.04	273.37	293.07	460.44	718.08	267.73	563.18	599.49	612.11	438.59	384.34	358.54	511.0	305.55	323.03	223.41	836.53	651.58	819.3	718.08	532.74	525.39	603.67	397.93	698.41	567.1	277.2
BBC3	78.34	95.34	297.17	109.66	131.51	409.15	417.77	193.01	153.34	295.11	316.37	271.48	260.38	149.12	96.01	113.56	309.83	224.97	147.06	102.25	126.12	96.01	265.87	271.48	172.65	218.79	150.17	172.65	301.33	202.66	476.71	139.07	256.78	133.36	146.03	470.14	118.43	129.69	209.84	115.16	193.01	209.84	123.5	98.73	176.29	271.48	293.07	82.29	149.12	211.31	318.57	206.94	161.02	371.22	214.27	255.0	232.94	260.38	194.36	149.12	220.32	111.99	406.31	403.5	105.89	154.42	226.54	156.59	218.79	536.45	93.35	205.5	128.79	90.77	297.17	105.89	154.42	356.05	320.8	361.04	149.12	275.28	159.9	177.53	249.73	199.85	137.14	187.71	198.47	409.15	400.71	258.57	136.19	387.02	135.24	124.37	91.41	110.43	92.7	486.75	172.65	162.14	132.44	73.54	279.14	80.57	309.83	81.71	273.37	185.11	186.4	248.0	172.65	265.87	423.61	368.65	169.07	236.21	175.07	279.14	218.79	166.73	181.28	146.03	241.19	198.47	137.14	189.02	277.2	193.01	283.05	178.77	307.69	373.81	336.79	271.48	152.28	353.59	341.51	486.75	163.28	220.32	303.44	214.27	134.3	312.0	260.38	264.03	209.84	195.72	157.68	318.57	145.02	132.44	115.16	228.13	126.12	221.86	231.32	201.25	201.25	251.48	166.73	118.43	167.9	228.13	198.47	102.25	205.5	104.42	95.34	172.65	221.86	209.84	116.78	102.25	96.68	134.3	57.08	32.36	61.68	241.19	120.94	120.1	134.3	51.35	69.03	70.51	94.67	54.72	127.0	193.01	208.38	189.02	441.64	229.72	211.31	237.86	244.57
BCS1L	836.53	493.56	571.05	599.49	660.68	961.07	954.43	703.28	1208.34	1175.27	1001.93	941.27	693.58	796.86	674.59	559.28	1242.34	813.63	511.0	486.75	587.13	633.73	848.22	698.41	660.68	1096.5	954.43	529.06	743.43	591.22	769.69	679.29	1030.12	547.75	718.08	866.07	575.03	540.19	638.15	521.76	718.08	1350.18	486.75	559.28	669.92	808.0	708.18	674.59	981.29	543.96	947.83	718.08	429.54	620.67	708.18	764.36	878.17	934.76	819.3	802.41	624.99	723.08	1143.1	802.41	647.07	995.0	878.17	825.0	813.63	679.29	493.56	567.1	723.08	295.11	688.78	514.56	718.08	1277.29	860.08	1233.75	607.87	1081.39	967.76	954.43	1015.93	769.69	595.34	1059.11	1111.82	497.0	967.76	802.41	547.75	1096.5	703.28	543.96	412.0	688.78	638.15	603.67	1059.11	607.87	638.15	521.76	551.56	525.39	954.43	583.07	860.08	698.41	651.58	656.11	1015.93	1225.22	743.43	836.53	738.29	1250.98	1498.22	1104.13	1066.48	1216.75	1286.18	1059.11	1225.22	1030.12	633.73	884.29	1628.26	1008.9	769.69	1073.91	1001.93	1369.04	1119.56	1733.13	1037.29	981.29	1417.35	1059.11	902.89	1295.13	1359.57	1806.78	1088.92	1447.15	1781.89	909.17	1015.93	1417.35	941.27	1104.13	854.13	1023.0	1167.14	819.3	665.29	1313.23	1286.18	1208.34	890.44	1369.04	1583.71	1015.93	1519.15	921.88	1572.76	1183.45	896.64	1242.34	934.76	988.12	1397.83	1030.12	633.73	490.14	1127.35	587.13	688.78	825.0	497.0	748.61	775.05	884.29	775.05	733.19	981.29	559.28	599.49	802.41	738.29	703.28	718.08	470.14	493.56	275.28	591.22	764.36	909.17
C11orf84	400.71	403.5	297.17	334.46	351.14	94.01	348.71	343.89	395.18	423.61	392.44	169.07	356.05	432.53	305.55	334.46	115.16	329.84	325.29	285.03	277.2	265.87	126.12	43.94	220.32	371.22	332.14	249.73	423.61	236.21	88.26	334.46	371.22	312.0	318.57	384.34	251.48	287.01	295.11	277.2	239.52	381.68	275.28	258.57	251.48	320.8	379.04	301.33	303.44	295.11	95.34	312.0	246.28	231.32	229.72	253.23	279.14	299.25	314.17	329.84	120.1	255.0	85.82	167.9	262.2	318.57	426.57	287.01	343.89	86.43	256.78	423.61	287.01	221.86	193.01	316.37	271.48	136.19	84.63	323.03	287.01	353.59	295.11	366.09	320.8	336.79	265.87	241.19	373.81	351.14	104.42	473.41	251.48	173.85	285.03	249.73	237.86	239.52	253.23	299.25	444.72	287.01	351.14	291.04	420.68	612.11	232.94	218.79	329.84	366.09	291.04	279.14	358.54	149.12	373.81	389.72	400.71	417.77	514.56	384.34	429.54	373.81	480.04	267.73	511.0	521.76	363.56	339.14	406.31	420.68	251.48	460.44	540.19	521.76	500.46	473.41	397.93	647.07	595.34	473.41	476.71	473.41	591.22	435.55	532.74	500.46	480.04	432.53	361.04	476.71	463.65	583.07	409.15	363.56	466.88	432.53	358.54	426.57	483.38	483.38	500.46	563.18	441.64	866.07	497.0	426.57	466.88	518.15	503.95	438.59	423.61	470.14	529.06	341.51	189.02	341.51	256.78	363.56	379.04	351.14	371.22	351.14	253.23	242.88	117.6	103.69	480.04	287.01	162.14	136.19	130.6	99.43	195.72	236.21	195.72	251.48	146.03	103.69	460.44
C12orf73	127.0	182.55	197.09	121.79	171.45	152.28	204.07	204.07	325.29	217.27	234.57	170.25	152.28	170.25	151.22	241.19	187.71	239.52	167.9	163.28	140.04	97.36	120.1	74.06	137.14	277.2	186.4	277.2	271.48	100.13	122.64	204.07	232.94	143.01	177.53	211.31	173.85	180.02	223.41	109.66	186.4	309.83	132.44	154.42	175.07	178.77	181.28	223.41	293.07	275.28	136.19	198.47	223.41	249.73	281.09	177.53	244.57	271.48	134.3	198.47	185.11	95.34	206.94	157.68	262.2	267.73	218.79	165.57	167.9	141.02	142.01	242.88	105.89	80.57	127.89	183.82	178.77	253.23	183.82	368.65	201.25	226.54	236.21	255.0	244.57	167.9	147.06	197.09	271.48	150.17	152.28	155.5	223.41	177.53	150.17	124.37	132.44	112.77	75.64	273.37	283.05	148.09	154.42	195.72	217.27	138.1	236.21	139.07	253.23	241.19	220.32	181.28	158.79	281.09	156.59	208.38	237.86	281.09	249.73	318.57	420.68	202.66	316.37	180.02	241.19	167.9	234.57	197.09	271.48	253.23	90.14	283.05	218.79	307.69	208.38	329.84	193.01	214.27	226.54	316.37	223.41	346.29	246.28	251.48	197.09	301.33	309.83	248.0	223.41	289.02	208.38	221.86	214.27	231.32	224.97	241.19	144.01	264.03	255.0	289.02	183.82	246.28	239.52	253.23	291.04	183.82	291.04	314.17	231.32	262.2	299.25	301.33	277.2	201.25	258.57	295.11	151.22	236.21	221.86	265.87	221.86	158.79	144.01	150.17	167.9	341.51	170.25	85.22	251.48	176.29	218.79	253.23	156.59	142.01	126.12	57.49	181.28	305.55	163.28
C15orf62	6.06	15.45	35.25	15.56	19.68	34.51	43.32	15.56	28.04	19.68	30.56	24.46	22.26	24.28	21.01	20.71	52.45	20.41	19.39	14.89	18.56	23.93	31.0	15.68	32.82	18.7	29.7	13.83	40.07	13.52	31.22	47.5	50.63	17.13	29.48	21.47	1.87	29.48	19.25	13.72	19.97	26.1	15.45	17.77	34.26	32.59	27.05	22.75	22.59	18.56	55.89	13.32	15.91	21.78	11.13	20.71	36.53	34.02	28.45	22.92	27.64	20.86	41.81	44.89	17.25	37.32	43.02	27.64	20.41	39.5	17.0	14.67	25.91	12.45	34.51	5.45	19.53	52.45	45.85	55.49	22.43	36.53	33.78	33.54	42.71	23.08	10.16	26.47	28.45	15.45	44.89	34.02	22.26	37.59	4.82	16.39	19.97	6.67	11.3	22.43	24.28	11.91	16.27	23.25	30.34	12.45	49.56	14.56	35.76	21.16	6.16	28.45	41.22	47.84	28.45	29.7	38.95	41.52	35.76	59.97	68.55	50.98	37.32	39.22	48.87	35.76	33.3	32.36	59.13	46.5	26.1	46.5	54.33	31.67	38.4	51.35	49.21	35.25	20.56	31.45	56.68	42.41	54.33	42.11	45.21	62.56	51.35	57.49	52.82	52.08	45.85	76.71	20.41	32.82	34.75	50.63	33.06	41.52	44.25	61.68	39.22	65.26	54.33	43.63	53.95	23.76	50.63	44.25	40.07	61.25	48.18	41.52	52.08	29.27	37.85	17.38	21.01	11.82	14.67	12.64	7.82	15.45	15.56	26.28	20.56	35.5	17.0	12.74	65.72	31.22	27.05	46.84	46.18	32.59	13.52	28.65	28.24	31.22	11.91
C17orf85	314.17	236.21	540.19	518.15	420.68	674.59	693.58	293.07	633.73	480.04	460.44	476.71	447.82	551.56	563.18	525.39	688.78	420.68	457.25	429.54	412.0	420.68	703.28	679.29	457.25	529.06	591.22	420.68	351.14	329.84	525.39	620.67	536.45	490.14	420.68	470.14	346.29	444.72	379.04	529.06	356.05	529.06	426.57	353.59	591.22	511.0	518.15	400.71	607.87	400.71	571.05	409.15	454.09	500.46	466.88	376.41	429.54	529.06	476.71	500.46	708.18	579.04	567.1	941.27	470.14	599.49	389.72	514.56	400.71	854.13	438.59	466.88	444.72	406.31	457.25	271.48	466.88	866.07	1073.91	624.99	403.5	450.94	595.34	579.04	503.95	414.87	432.53	743.43	665.29	480.04	728.11	463.65	373.81	733.19	371.22	514.56	429.54	356.05	356.05	264.03	674.59	536.45	368.65	423.61	400.71	309.83	693.58	376.41	412.0	423.61	299.25	647.07	563.18	775.05	500.46	497.0	507.46	693.58	457.25	571.05	483.38	591.22	638.15	511.0	563.18	547.75	555.41	409.15	620.67	555.41	409.15	612.11	547.75	503.95	633.73	503.95	460.44	429.54	251.48	397.93	547.75	507.46	579.04	543.96	503.95	718.08	638.15	420.68	591.22	511.0	493.56	441.64	414.87	476.71	679.29	450.94	409.15	620.67	713.11	679.29	503.95	529.06	733.19	633.73	579.04	368.65	718.08	579.04	543.96	674.59	536.45	547.75	656.11	660.68	551.56	208.38	384.34	293.07	358.54	406.31	447.82	532.74	579.04	612.11	529.06	201.25	435.55	435.55	559.28	285.03	567.1	381.68	293.07	406.31	583.07	371.22	273.37	454.09	371.22
C19orf25	346.29	463.65	470.14	633.73	555.41	830.75	620.67	567.1	713.11	796.86	748.61	713.11	567.1	603.67	426.57	629.35	718.08	567.1	708.18	521.76	466.88	738.29	1119.56	1030.12	563.18	759.08	616.37	518.15	674.59	463.65	688.78	660.68	583.07	460.44	551.56	633.73	371.22	660.68	373.81	612.11	518.15	723.08	629.35	511.0	679.29	480.04	547.75	435.55	723.08	511.0	808.0	738.29	406.31	463.65	567.1	674.59	780.44	579.04	547.75	454.09	624.99	412.0	884.29	961.07	511.0	679.29	620.67	529.06	521.76	733.19	412.0	638.15	579.04	503.95	896.64	723.08	555.41	728.11	660.68	1001.93	429.54	642.59	842.36	738.29	555.41	551.56	457.25	571.05	679.29	463.65	698.41	518.15	454.09	743.43	444.72	463.65	543.96	460.44	612.11	406.31	497.0	432.53	470.14	466.88	753.83	507.46	669.92	423.61	884.29	633.73	813.63	493.56	743.43	647.07	536.45	373.81	490.14	629.35	769.69	583.07	769.69	518.15	607.87	563.18	748.61	414.87	329.84	470.14	660.68	563.18	265.87	511.0	660.68	603.67	599.49	665.29	723.08	571.05	633.73	511.0	497.0	483.38	796.86	547.75	647.07	629.35	723.08	638.15	371.22	579.04	563.18	698.41	642.59	412.0	536.45	435.55	616.37	679.29	624.99	429.54	532.74	543.96	620.67	656.11	642.59	486.75	698.41	460.44	497.0	587.13	713.11	536.45	536.45	379.04	708.18	713.11	884.29	409.15	583.07	612.11	656.11	595.34	460.44	381.68	432.53	312.0	490.14	450.94	878.17	629.35	733.19	848.22	381.68	395.18	463.65	273.37	921.88	753.83	743.43
C20orf96	139.07	115.97	260.38	147.06	204.07	217.27	353.59	189.02	336.79	287.01	305.55	303.44	293.07	358.54	199.85	193.01	291.04	269.6	202.66	114.36	182.55	120.1	145.02	100.83	215.77	186.4	312.0	156.59	325.29	190.34	232.94	283.05	325.29	180.02	189.02	356.05	191.67	145.02	201.25	104.42	229.72	518.15	119.26	151.22	152.28	346.29	171.45	205.5	237.86	279.14	204.07	220.32	121.79	165.57	277.2	267.73	332.14	518.15	426.57	291.04	171.45	177.53	186.4	139.07	167.9	258.57	426.57	244.57	299.25	132.44	120.1	218.79	241.19	144.01	189.02	185.11	159.9	265.87	217.27	323.03	177.53	236.21	262.2	206.94	269.6	305.55	110.43	244.57	287.01	159.9	119.26	323.03	157.68	305.55	201.25	204.07	100.13	194.36	113.56	412.0	379.04	102.25	73.54	124.37	281.09	76.71	293.07	71.0	148.09	356.05	231.32	195.72	309.83	246.28	320.8	320.8	85.82	312.0	275.28	320.8	283.05	202.66	444.72	244.57	265.87	323.03	251.48	285.03	473.41	316.37	234.57	348.71	423.61	483.38	490.14	454.09	237.86	318.57	323.03	447.82	262.2	591.22	223.41	397.93	486.75	403.5	483.38	307.69	356.05	490.14	343.89	447.82	146.03	273.37	275.28	285.03	111.99	358.54	379.04	454.09	265.87	444.72	500.46	366.09	529.06	239.52	279.14	363.56	180.02	503.95	176.29	320.8	647.07	177.53	329.84	165.57	647.07	150.17	400.71	231.32	164.42	166.73	159.9	194.36	186.4	81.14	242.88	169.07	244.57	186.4	171.45	180.02	214.27	204.07	157.68	71.0	90.77	114.36	199.85
C9orf142	974.5	728.11	1015.93	764.36	656.11	1268.46	941.27	860.08	1259.69	1757.34	1359.57	1477.58	961.07	1242.34	890.44	728.11	1369.04	1259.69	947.83	748.61	1088.92	921.88	1135.2	1697.45	848.22	2468.49	1304.15	624.99	1757.34	995.0	1286.18	961.07	995.0	599.49	1051.79	1135.2	909.17	796.86	921.88	848.22	909.17	1628.26	607.87	708.18	934.76	1008.9	954.43	896.64	1583.71	1313.23	1081.39	808.0	603.67	1208.34	934.76	1340.84	2061.24	1183.45	1487.87	1487.87	813.63	791.35	1208.34	1268.46	688.78	1498.22	1233.75	1233.75	1963.57	902.89	703.28	780.44	988.12	748.61	928.3	954.43	775.05	1457.23	1457.23	1963.57	733.19	1594.73	941.27	1175.27	1617.0	1159.07	571.05	1651.0	2018.8	813.63	1331.57	1119.56	759.08	1572.76	1111.82	466.88	769.69	961.07	854.13	866.07	1883.54	688.78	928.3	836.53	1268.46	890.44	1277.29	669.92	1540.37	1594.73	1331.57	579.04	1519.15	1277.29	1674.06	1519.15	1242.34	1551.09	1745.2	947.83	1551.09	1407.55	1757.34	842.36	1674.06	802.41	836.53	1051.79	2351.53	1159.07	688.78	1467.37	1781.89	1769.57	1508.65	2609.3	1457.23	1378.57	1857.6	1806.78	988.12	1594.73	1963.57	1674.06	1487.87	1561.89	1794.29	909.17	1304.15	1594.73	1199.98	1359.57	974.5	1417.35	1883.54	896.64	819.3	1697.45	2287.2	1508.65	1051.79	1832.01	1769.57	1427.22	1662.49	1066.48	1721.16	1477.58	896.64	1417.35	1127.35	995.0	1628.26	1001.93	825.0	981.29	2303.12	684.02	1191.69	1151.06	1477.58	1295.13	1388.16	1104.13	1208.34	909.17	896.64	679.29	1233.75	878.17	1313.23	1268.46	825.0	753.83	909.17	547.75	1397.83	1151.06	1127.35
CAPN10	199.85	202.66	336.79	305.55	281.09	368.65	400.71	303.44	629.35	698.41	551.56	395.18	412.0	483.38	318.57	329.84	444.72	486.75	309.83	307.69	432.53	312.0	392.44	381.68	356.05	780.44	599.49	208.38	473.41	297.17	432.53	450.94	612.11	327.56	463.65	395.18	220.32	343.89	400.71	373.81	384.34	698.41	312.0	273.37	454.09	514.56	397.93	353.59	583.07	429.54	400.71	289.02	325.29	480.04	346.29	353.59	665.29	555.41	551.56	444.72	356.05	320.8	343.89	514.56	332.14	583.07	493.56	426.57	551.56	466.88	325.29	307.69	336.79	220.32	343.89	285.03	289.02	567.1	403.5	563.18	376.41	723.08	525.39	457.25	595.34	466.88	255.0	656.11	896.64	412.0	497.0	327.56	429.54	571.05	279.14	212.78	316.37	309.83	291.04	432.53	543.96	325.29	339.14	384.34	460.44	258.57	470.14	307.69	490.14	432.53	277.2	316.37	511.0	480.04	532.74	738.29	633.73	941.27	947.83	616.37	890.44	872.1	1233.75	616.37	896.64	743.43	555.41	567.1	988.12	429.54	368.65	819.3	854.13	981.29	693.58	1259.69	656.11	665.29	616.37	497.0	466.88	848.22	967.76	764.36	651.58	733.19	1023.0	587.13	629.35	890.44	684.02	612.11	341.51	698.41	915.51	503.95	301.33	802.41	934.76	988.12	420.68	928.3	981.29	540.19	698.41	389.72	896.64	780.44	470.14	688.78	684.02	669.92	830.75	429.54	447.82	279.14	473.41	273.37	356.05	368.65	234.57	371.22	334.46	356.05	397.93	206.94	343.89	293.07	403.5	480.04	395.18	392.44	307.69	244.57	366.09	162.14	307.69	329.84	199.85
