	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.RU1J.0126.SM.2TF6Y	GTEX.13OVH.1026.SM.5J2NP	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
MSH3	53.95	34.02	124.37	175.07	99.43	94.67	63.45	169.07	111.21	117.6	96.68	182.55	139.07	142.01	180.02	36.79	86.43	149.12	63.89	158.79	108.9	82.87	116.78	74.58	136.19	153.34	167.9	167.9	145.02	209.84	82.87
MTM1	97.36	145.02	267.73	397.93	392.44	299.25	122.64	551.56	251.48	325.29	244.57	575.03	426.57	460.44	403.5	104.42	301.33	356.05	384.34	379.04	466.88	256.78	325.29	218.79	403.5	299.25	356.05	507.46	371.22	587.13	264.03
MTMR2	85.82	20.56	244.57	325.29	511.0	332.14	198.47	563.18	287.01	260.38	295.11	595.34	358.54	368.65	713.11	186.4	180.02	279.14	248.0	260.38	249.73	191.67	211.31	239.52	336.79	473.41	460.44	493.56	353.59	444.72	312.0
NAA30	63.45	115.97	111.21	88.26	111.99	156.59	96.01	190.34	140.04	165.57	108.14	199.85	204.07	218.79	299.25	195.72	143.01	143.01	129.69	136.19	111.21	91.41	112.77	137.14	121.79	224.97	223.41	318.57	167.9	273.37	141.02
NARG2	232.94	73.54	346.29	387.02	412.0	476.71	258.57	748.61	414.87	414.87	511.0	525.39	426.57	392.44	587.13	112.77	381.68	353.59	285.03	432.53	312.0	273.37	381.68	221.86	265.87	518.15	660.68	723.08	603.67	529.06	303.44
NCKAP1	457.25	303.44	1295.13	1143.1	1844.76	1143.1	688.78	1697.45	1331.57	1008.9	1233.75	2163.77	2133.97	1617.0	2032.85	656.11	1447.15	1175.27	1037.29	988.12	1268.46	866.07	1015.93	1651.0	1242.34	1519.15	2303.12	1709.26	1295.13	1794.29	1662.49
NCOA4	802.41	3372.43	4736.79	4388.98	3639.7	4298.64	1685.71	6471.02	2855.44	3794.3	3901.01	5403.7	4210.15	4512.4	4937.99	1088.92	2956.17	4869.99	3515.68	3372.43	4181.07	3665.02	2520.38	3349.13	4869.99	3874.05	5366.37	5292.48	3540.14	4607.24	4903.87
NEDD1	65.72	17.9	133.36	145.02	224.97	241.19	33.78	412.0	176.29	176.29	171.45	301.33	170.25	301.33	571.05	31.0	98.04	253.23	134.3	248.0	260.38	132.44	127.0	185.11	226.54	253.23	318.57	392.44	178.77	346.29	124.37
NEK1	34.51	19.53	89.51	98.73	97.36	85.22	23.93	217.27	121.79	100.83	56.68	161.02	102.25	144.01	183.82	68.55	42.11	129.69	83.45	129.69	84.04	101.54	75.64	31.67	124.37	120.1	145.02	191.67	115.97	162.14	68.55
NFXL1	55.89	36.27	82.87	40.36	95.34	75.11	90.14	111.21	65.72	63.45	67.12	139.07	73.54	65.72	191.67	43.94	88.88	96.68	58.3	124.37	65.72	53.19	98.04	92.7	125.24	120.1	113.56	96.68	103.69	127.89	80.01
NGLY1	417.77	242.88	403.5	202.66	420.68	432.53	253.23	743.43	389.72	470.14	460.44	698.41	555.41	587.13	660.68	279.14	166.73	473.41	339.14	503.95	368.65	343.89	624.99	412.0	486.75	454.09	660.68	532.74	444.72	423.61	368.65
NNT	175.07	2193.99	387.02	603.67	780.44	791.35	212.78	1697.45	480.04	563.18	674.59	1685.71	728.11	708.18	1023.0	98.73	339.14	928.3	376.41	426.57	314.17	551.56	368.65	343.89	733.19	688.78	1259.69	1151.06	802.41	819.3	373.81
NSD1	164.42	57.08	277.2	297.17	201.25	343.89	121.79	414.87	253.23	299.25	199.85	295.11	269.6	457.25	318.57	37.85	156.59	316.37	226.54	358.54	229.72	289.02	189.02	172.65	236.21	303.44	376.41	381.68	267.73	346.29	186.4
NUP133	316.37	158.79	346.29	426.57	444.72	417.77	189.02	872.1	368.65	414.87	429.54	684.02	379.04	470.14	633.73	96.68	379.04	507.46	403.5	457.25	406.31	366.09	363.56	267.73	529.06	361.04	713.11	679.29	371.22	647.07	309.83
ORC3	158.79	170.25	358.54	358.54	426.57	348.71	112.77	688.78	376.41	555.41	371.22	460.44	363.56	493.56	571.05	116.78	180.02	480.04	366.09	389.72	323.03	285.03	299.25	151.22	414.87	373.81	493.56	490.14	441.64	406.31	177.53
ORC5	172.65	154.42	125.24	163.28	209.84	197.09	77.79	253.23	201.25	215.77	209.84	211.31	176.29	165.57	332.14	31.9	79.45	226.54	206.94	204.07	127.89	140.04	149.12	161.02	246.28	229.72	279.14	289.02	305.55	281.09	140.04
PAPOLG	51.35	25.17	74.58	103.69	127.89	125.24	70.51	181.28	115.16	126.12	115.97	187.71	173.85	141.02	205.5	80.01	128.79	164.42	100.13	120.94	120.1	90.14	167.9	87.65	127.89	187.71	135.24	241.19	140.04	204.07	127.89
PAPSS1	703.28	100.83	1216.75	2193.99	1498.22	1540.37	620.67	1870.53	1397.83	1605.83	1477.58	1540.37	1857.6	2739.08	2682.69	426.57	591.22	2004.85	1304.15	1651.0	1350.18	967.76	1081.39	1199.98	1857.6	1594.73	1721.16	1350.18	2104.58	1540.37	1407.55
PARP11	31.0	32.13	123.5	65.72	54.72	84.04	21.16	223.41	67.12	89.51	41.22	180.02	128.79	214.27	255.0	83.45	72.01	214.27	105.89	120.1	96.68	83.45	36.53	33.3	109.66	186.4	185.11	249.73	103.69	206.94	74.06
PCM1	819.3	176.29	1183.45	703.28	1277.29	878.17	674.59	1781.89	1359.57	1487.87	665.29	1477.58	1183.45	1662.49	3325.99	1127.35	1104.13	1183.45	620.67	1508.65	1111.82	1008.9	1498.22	848.22	1551.09	2047.0	2178.83	2148.82	1175.27	2163.77	529.06
PCNXL4	164.42	126.12	258.57	228.13	346.29	299.25	139.07	423.61	348.71	325.29	236.21	493.56	376.41	420.68	748.61	231.32	104.42	363.56	223.41	438.59	336.79	269.6	373.81	231.32	332.14	384.34	417.77	476.71	432.53	454.09	236.21
PIGN	155.5	101.54	194.36	271.48	255.0	224.97	52.82	435.55	197.09	361.04	195.72	460.44	202.66	470.14	466.88	38.67	117.6	389.72	143.01	267.73	226.54	175.07	307.69	88.26	236.21	297.17	444.72	395.18	314.17	327.56	269.6
PJA2	314.17	476.71	1340.84	1467.37	1088.92	1096.5	624.99	2240.11	830.75	1331.57	764.36	2193.99	1697.45	2682.69	2090.03	1008.9	1295.13	1651.0	961.07	1551.09	1119.56	1127.35	1359.57	825.0	836.53	1350.18	2645.74	2075.59	1551.09	2367.9	1277.29
PMS1	65.72	29.48	114.36	118.43	122.64	155.5	57.49	226.54	171.45	201.25	173.85	186.4	152.28	173.85	258.57	50.98	91.41	221.86	117.6	176.29	164.42	150.17	121.79	70.51	149.12	109.66	223.41	246.28	195.72	176.29	72.52
POLA1	75.64	21.78	66.65	136.19	67.12	82.29	27.64	201.25	94.01	121.79	71.0	177.53	139.07	199.85	153.34	32.59	55.1	149.12	85.82	141.02	93.35	96.01	77.79	90.14	127.89	144.01	191.67	212.78	101.54	139.07	142.01
PPT1	1487.87	409.15	4268.94	5292.48	5479.15	5403.7	1175.27	6426.31	3257.52	5672.41	4450.27	6037.61	4095.0	5403.7	6983.79	1119.56	3103.19	4066.71	3742.05	3515.68	3847.29	2520.38	1617.0	3212.66	5913.33	4607.24	6381.92	4869.99	4639.29	3589.58	4123.49
PREPL	144.01	197.09	441.64	525.39	389.72	473.41	356.05	928.3	493.56	698.41	507.46	551.56	423.61	529.06	981.29	167.9	563.18	493.56	293.07	518.15	262.2	332.14	409.15	287.01	412.0	420.68	713.11	909.17	802.41	780.44	371.22
RAB28	182.55	118.43	232.94	273.37	507.46	329.84	297.17	854.13	532.74	540.19	346.29	563.18	438.59	536.45	559.28	229.72	384.34	497.0	371.22	490.14	457.25	447.82	376.41	368.65	384.34	376.41	647.07	555.41	334.46	412.0	307.69
RAD17	187.71	131.51	258.57	334.46	397.93	392.44	142.01	480.04	356.05	366.09	323.03	543.96	435.55	397.93	457.25	100.83	204.07	389.72	368.65	397.93	384.34	332.14	368.65	242.88	414.87	368.65	447.82	435.55	400.71	426.57	218.79
RAP1GDS1	234.57	194.36	423.61	460.44	486.75	514.56	368.65	738.29	457.25	373.81	486.75	813.63	575.03	688.78	1015.93	173.85	314.17	633.73	275.28	435.55	371.22	334.46	271.48	511.0	503.95	599.49	941.27	748.61	703.28	457.25	429.54
RASA1	202.66	75.64	392.44	361.04	435.55	346.29	155.5	1259.69	307.69	389.72	242.88	555.41	616.37	607.87	819.3	119.26	279.14	540.19	348.71	309.83	392.44	346.29	423.61	221.86	371.22	381.68	555.41	607.87	518.15	642.59	211.31
RBBP4	1487.87	780.44	2400.97	2976.74	2163.77	2701.35	842.36	3639.7	1963.57	2367.9	2855.44	3515.68	2434.5	3515.68	3212.66	412.0	1769.57	3349.13	2119.22	2796.65	2004.85	1651.0	1870.53	1617.0	2739.08	2434.5	3168.41	3190.46	3060.45	2645.74	2434.5
RBBP9	104.42	166.73	228.13	587.13	316.37	301.33	98.73	323.03	283.05	258.57	202.66	384.34	271.48	384.34	420.68	112.77	159.9	387.02	231.32	309.83	258.57	170.25	242.88	166.73	395.18	249.73	417.77	454.09	285.03	438.59	208.38
RBM26	171.45	31.9	283.05	234.57	397.93	417.77	387.02	878.17	395.18	551.56	435.55	567.1	490.14	376.41	738.29	226.54	353.59	559.28	353.59	698.41	392.44	348.71	473.41	521.76	361.04	457.25	848.22	808.0	543.96	651.58	256.78
RECQL	137.14	34.51	312.0	473.41	379.04	447.82	185.11	1331.57	318.57	325.29	392.44	1167.14	647.07	967.76	780.44	251.48	329.84	961.07	518.15	343.89	638.15	242.88	363.56	358.54	555.41	470.14	1135.2	1191.69	595.34	616.37	470.14
RHOT1	417.77	159.9	412.0	603.67	995.0	769.69	457.25	1208.34	713.11	775.05	647.07	1159.07	1073.91	1051.79	1233.75	183.82	603.67	698.41	612.11	791.35	753.83	656.11	830.75	599.49	743.43	866.07	1001.93	1073.91	954.43	902.89	521.76
RNF170	123.5	102.97	164.42	267.73	253.23	287.01	123.5	420.68	251.48	287.01	169.07	351.14	283.05	332.14	312.0	39.79	138.1	389.72	255.0	368.65	221.86	215.77	167.9	108.14	291.04	198.47	358.54	397.93	283.05	376.41	117.6
SCOC	381.68	457.25	813.63	1151.06	1733.13	1081.39	363.56	3103.19	1225.22	1331.57	1167.14	2573.36	1674.06	1605.83	2417.67	180.02	669.92	1467.37	1051.79	1313.23	928.3	785.88	866.07	934.76	1628.26	1498.22	2739.08	1794.29	1628.26	1757.34	1001.93
SCRN3	149.12	100.83	373.81	503.95	395.18	351.14	108.14	559.28	332.14	366.09	406.31	500.46	480.04	633.73	426.57	58.71	150.17	376.41	376.41	460.44	371.22	325.29	305.55	208.38	420.68	414.87	400.71	409.15	493.56	447.82	291.04
SEPT11	265.87	221.86	796.86	1104.13	819.3	1242.34	616.37	2627.46	595.34	1066.48	738.29	2537.92	1322.37	1159.07	1757.34	708.18	591.22	1551.09	854.13	708.18	684.02	1233.75	708.18	567.1	836.53	1159.07	1721.16	2351.53	1407.55	1427.22	1250.98
SEPT7	1143.1	432.53	1806.78	2664.15	2520.38	2537.92	1233.75	3614.55	1819.35	2451.44	2104.58	3349.13	2835.7	3515.68	3168.41	1651.0	1909.85	2997.45	2193.99	2485.67	2271.4	1870.53	2061.24	1896.65	2384.37	2855.44	3349.13	3168.41	2537.92	3395.89	2664.15
SFTPA1	0.0	13.72	5809569.18	4987895.16	1703415.74	1877002.62	234624.45	1472666.19	2039804.27	3576208.94	2097151.0	1432396.03	4252853.3	1171559.48	1432396.03	5403.7	2729110.67	887875.81	1567462.05	2581895.97	1916442.45	3832885.91	3968052.37	2691538.19	1691649.38	2408994.05	2710259.32	2546350.23	1171559.48	2425749.94	3028138.0
SLC10A7	30.34	67.59	158.79	212.78	165.57	125.24	87.65	423.61	125.24	143.01	158.79	205.5	249.73	314.17	361.04	25.91	136.19	151.22	135.24	150.17	159.9	114.36	100.83	105.89	139.07	241.19	249.73	197.09	236.21	244.57	118.43
SLC25A46	111.99	124.37	511.0	486.75	665.29	579.04	244.57	934.76	429.54	497.0	603.67	854.13	878.17	759.08	890.44	122.64	283.05	607.87	457.25	591.22	599.49	426.57	476.71	595.34	559.28	432.53	1111.82	836.53	733.19	665.29	343.89
SLC30A5	423.61	231.32	941.27	612.11	954.43	733.19	373.81	1175.27	679.29	684.02	808.0	1340.84	961.07	1001.93	1437.15	265.87	543.96	1008.9	669.92	748.61	733.19	842.36	723.08	503.95	830.75	567.1	1295.13	1051.79	638.15	967.76	743.43
SLC30A6	89.51	84.63	229.72	206.94	279.14	293.07	116.78	397.93	214.27	264.03	289.02	373.81	305.55	348.71	395.18	60.39	162.14	295.11	214.27	269.6	251.48	187.71	231.32	229.72	246.28	246.28	392.44	316.37	262.2	329.84	260.38
SLC35A5	155.5	232.94	571.05	728.11	830.75	890.44	150.17	1359.57	674.59	848.22	575.03	1388.16	1023.0	878.17	1030.12	137.14	281.09	974.5	738.29	759.08	647.07	599.49	642.59	265.87	842.36	759.08	1001.93	1233.75	947.83	1143.1	708.18
SLC35F5	205.5	497.0	684.02	457.25	607.87	514.56	329.84	703.28	351.14	607.87	400.71	1127.35	728.11	595.34	1143.1	166.73	457.25	669.92	220.32	540.19	543.96	185.11	400.71	312.0	595.34	579.04	836.53	808.0	819.3	941.27	363.56
SMARCA5	215.77	50.63	934.76	616.37	651.58	684.02	480.04	1216.75	525.39	974.5	796.86	1529.73	934.76	1331.57	928.3	441.64	429.54	620.67	503.95	974.5	941.27	808.0	915.51	507.46	902.89	934.76	961.07	1340.84	941.27	1088.92	603.67
SMARCAD1	88.88	34.26	191.67	158.79	246.28	201.25	110.43	392.44	221.86	236.21	271.48	432.53	256.78	271.48	400.71	32.59	121.79	334.46	185.11	251.48	195.72	201.25	223.41	190.34	265.87	264.03	395.18	371.22	301.33	334.46	166.73
SMC6	94.67	49.56	84.04	122.64	190.34	217.27	103.69	197.09	194.36	151.22	158.79	273.37	201.25	307.69	381.68	43.94	80.57	211.31	170.25	187.71	211.31	143.01	81.14	121.79	139.07	301.33	277.2	406.31	303.44	269.6	110.43
SNX13	80.01	54.33	438.59	295.11	348.71	275.28	186.4	866.07	258.57	214.27	314.17	599.49	470.14	575.03	493.56	165.57	392.44	318.57	204.07	417.77	361.04	229.72	381.68	406.31	339.14	414.87	624.99	878.17	435.55	612.11	260.38
SNX6	575.03	248.0	791.35	1277.29	1175.27	1096.5	392.44	1991.0	791.35	1529.73	1104.13	1781.89	1378.57	2193.99	2032.85	454.09	555.41	1477.58	1037.29	1340.84	1242.34	890.44	848.22	684.02	1639.59	1477.58	3039.3	2090.03	1498.22	2018.8	1127.35
SP3	256.78	155.5	450.94	470.14	476.71	486.75	470.14	928.3	497.0	470.14	457.25	753.83	733.19	759.08	967.76	599.49	480.04	642.59	457.25	583.07	563.18	400.71	567.1	497.0	503.95	988.12	785.88	954.43	599.49	819.3	460.44
STAM2	85.22	49.91	289.02	264.03	339.14	312.0	154.42	669.92	312.0	316.37	301.33	486.75	389.72	381.68	571.05	157.68	193.01	299.25	229.72	450.94	260.38	271.48	320.8	205.5	299.25	373.81	403.5	497.0	371.22	483.38	218.79
STXBP3	269.6	153.34	473.41	651.58	651.58	743.43	269.6	1359.57	603.67	587.13	563.18	1096.5	819.3	896.64	1088.92	299.25	363.56	780.44	723.08	497.0	842.36	551.56	591.22	409.15	796.86	753.83	884.29	1119.56	785.88	1001.93	514.56
STYX	84.63	145.02	117.6	150.17	181.28	124.37	102.25	194.36	108.14	220.32	181.28	255.0	178.77	211.31	198.47	77.79	102.25	231.32	139.07	173.85	157.68	166.73	142.01	128.79	193.01	138.1	231.32	312.0	212.78	182.55	122.64
SUCLA2	223.41	232.94	503.95	483.38	733.19	525.39	241.19	1175.27	497.0	551.56	656.11	934.76	620.67	791.35	902.89	167.9	395.18	669.92	483.38	698.41	454.09	400.71	441.64	476.71	688.78	684.02	854.13	848.22	743.43	813.63	638.15
SYNC	172.65	38.12	285.03	764.36	571.05	543.96	37.32	660.68	336.79	281.09	295.11	521.76	624.99	872.1	412.0	66.65	66.18	500.46	638.15	490.14	392.44	346.29	395.18	108.9	571.05	432.53	361.04	684.02	547.75	759.08	336.79
TBC1D8B	9.93	26.1	71.5	99.43	87.03	132.44	27.84	212.78	40.93	107.38	78.89	189.02	106.63	136.19	166.73	12.93	72.01	117.6	47.84	90.14	65.26	54.33	97.36	27.25	92.05	162.14	103.69	146.03	107.38	103.69	65.26
TM9SF2	854.13	1832.01	2976.74	2997.45	3419.52	2935.74	718.08	5329.3	2018.8	3395.89	2319.15	4607.24	4038.61	5366.37	4937.99	599.49	1950.0	3847.29	2609.3	3928.15	2758.13	2271.4	2777.33	1991.0	3716.2	3212.66	4869.99	4210.15	3018.3	4210.15	2875.3
TMEM106B	94.67	149.12	158.79	432.53	387.02	358.54	133.36	825.0	316.37	279.14	351.14	785.88	511.0	529.06	947.83	65.72	244.57	583.07	134.3	356.05	223.41	180.02	275.28	281.09	540.19	579.04	995.0	830.75	624.99	713.11	246.28
TMEM5	244.57	163.28	258.57	175.07	314.17	223.41	120.94	336.79	260.38	299.25	361.04	341.51	316.37	312.0	414.87	74.58	156.59	371.22	248.0	361.04	183.82	234.57	194.36	246.28	291.04	260.38	409.15	264.03	271.48	384.34	255.0
TMTC3	55.49	21.47	54.33	137.14	185.11	115.16	20.86	339.14	83.45	95.34	58.3	301.33	124.37	201.25	249.73	32.82	31.9	162.14	64.8	127.0	102.25	79.45	126.12	108.9	156.59	145.02	279.14	283.05	98.04	271.48	90.14
TRAPPC11	185.11	146.03	307.69	336.79	358.54	341.51	205.5	665.29	329.84	447.82	384.34	500.46	384.34	423.61	518.15	76.71	218.79	450.94	316.37	397.93	379.04	297.17	387.02	275.28	387.02	277.2	529.06	525.39	470.14	441.64	221.86
TRAPPC13	108.9	84.63	248.0	289.02	323.03	406.31	166.73	638.15	327.56	356.05	540.19	660.68	389.72	403.5	607.87	86.43	195.72	435.55	329.84	417.77	291.04	204.07	297.17	389.72	384.34	376.41	457.25	529.06	450.94	543.96	285.03
TRDMT1	20.71	17.51	111.21	83.45	66.65	48.87	26.86	190.34	113.56	104.42	85.82	173.85	92.05	85.82	173.85	14.89	27.44	71.0	59.13	84.04	67.12	61.25	35.5	49.91	133.36	127.89	137.14	78.89	85.82	108.9	66.18
TRPM7	84.04	46.84	214.27	161.02	232.94	341.51	151.22	395.18	226.54	267.73	212.78	417.77	356.05	329.84	470.14	83.45	102.97	301.33	140.04	206.94	241.19	271.48	248.0	175.07	234.57	336.79	507.46	532.74	371.22	325.29	194.36
TRUB1	77.25	89.51	165.57	173.85	211.31	205.5	81.71	228.13	171.45	190.34	198.47	258.57	215.77	260.38	320.8	31.22	66.18	249.73	140.04	202.66	133.36	133.36	149.12	118.43	209.84	212.78	289.02	217.27	251.48	262.2	151.22
TSNAX	248.0	142.01	656.11	819.3	728.11	656.11	295.11	995.0	575.03	620.67	638.15	890.44	872.1	1008.9	915.51	215.77	536.45	860.08	638.15	791.35	583.07	500.46	583.07	575.03	775.05	575.03	1304.15	896.64	941.27	802.41	599.49
UBA3	420.68	212.78	802.41	599.49	1030.12	988.12	397.93	1605.83	769.69	1008.9	921.88	1745.2	941.27	1044.52	1487.87	277.2	400.71	1143.1	723.08	981.29	1073.91	633.73	718.08	1066.48	1151.06	1001.93	1551.09	1457.23	974.5	1225.22	629.35
UFL1	69.52	68.07	293.07	325.29	327.56	323.03	194.36	624.99	309.83	329.84	305.55	450.94	389.72	376.41	571.05	88.26	361.04	409.15	267.73	381.68	334.46	273.37	371.22	297.17	379.04	307.69	624.99	432.53	414.87	429.54	215.77
UHMK1	105.15	228.13	389.72	379.04	412.0	429.54	444.72	780.44	332.14	373.81	376.41	674.59	567.1	599.49	718.08	336.79	521.76	500.46	267.73	343.89	417.77	305.55	277.2	571.05	457.25	551.56	769.69	808.0	532.74	536.45	387.02
USP46	70.01	21.32	175.07	105.15	161.02	148.09	38.4	262.2	159.9	129.69	122.64	256.78	147.06	202.66	244.57	7.63	51.35	229.72	141.02	124.37	138.1	87.65	116.78	122.64	138.1	166.73	228.13	285.03	190.34	255.0	139.07
VBP1	403.5	237.86	679.29	607.87	1286.18	842.36	323.03	1733.13	738.29	995.0	796.86	1498.22	1073.91	1617.0	1519.15	327.56	447.82	1167.14	688.78	808.0	854.13	713.11	684.02	536.45	1088.92	1119.56	1572.76	1268.46	1216.75	890.44	842.36
VPS36	241.19	180.02	336.79	426.57	454.09	599.49	379.04	1044.52	669.92	607.87	414.87	679.29	591.22	500.46	718.08	198.47	397.93	503.95	486.75	575.03	540.19	432.53	463.65	454.09	454.09	571.05	796.86	934.76	612.11	708.18	303.44
VTA1	246.28	346.29	591.22	457.25	733.19	563.18	166.73	981.29	470.14	656.11	575.03	915.51	718.08	890.44	1135.2	154.42	241.19	651.58	511.0	698.41	507.46	463.65	563.18	563.18	665.29	759.08	1030.12	848.22	769.69	753.83	583.07
VWA8	51.71	148.09	125.24	135.24	100.13	100.13	106.63	242.88	139.07	151.22	122.64	147.06	125.24	127.89	208.38	49.21	78.34	115.97	86.43	162.14	105.15	87.03	67.12	75.11	113.56	129.69	165.57	205.5	189.02	152.28	94.67
YY1	476.71	417.77	785.88	674.59	988.12	860.08	642.59	1313.23	748.61	743.43	759.08	1151.06	1159.07	1313.23	1199.98	1199.98	599.49	1023.0	775.05	842.36	896.64	748.61	995.0	1073.91	836.53	1369.04	1529.73	1561.89	928.3	1233.75	1111.82
ZBTB41	22.26	9.56	44.57	69.52	87.03	77.25	40.36	178.77	69.03	100.83	52.45	116.78	106.63	92.05	183.82	15.68	59.13	98.73	59.97	81.14	67.59	59.97	72.01	56.68	71.0	156.59	120.1	145.02	103.69	115.97	58.3
ZDHHC23	25.35	19.25	51.71	50.98	94.01	54.33	30.34	143.01	121.79	68.07	61.68	211.31	141.02	75.64	161.02	26.1	25.91	53.57	44.25	96.68	70.01	80.57	49.91	76.71	72.01	151.22	154.42	109.66	55.1	180.02	79.45
ZFYVE16	82.87	61.68	241.19	185.11	303.44	348.71	205.5	503.95	248.0	275.28	279.14	500.46	269.6	426.57	612.11	258.57	221.86	293.07	180.02	231.32	269.6	218.79	273.37	217.27	267.73	470.14	336.79	463.65	295.11	525.39	223.41
ZMPSTE24	299.25	466.88	733.19	660.68	854.13	928.3	301.33	1340.84	616.37	791.35	842.36	1151.06	1001.93	1051.79	1233.75	155.5	371.22	1030.12	647.07	775.05	642.59	713.11	665.29	764.36	769.69	743.43	1208.34	1051.79	902.89	896.64	866.07
ZNF25	46.84	7.17	80.01	165.57	151.22	158.79	98.04	307.69	133.36	138.1	91.41	260.38	220.32	155.5	208.38	58.3	137.14	185.11	149.12	133.36	139.07	120.94	109.66	85.22	111.21	135.24	164.42	246.28	163.28	309.83	83.45
ZNF268	59.13	30.78	190.34	125.24	120.1	175.07	121.79	205.5	125.24	177.53	218.79	332.14	193.01	181.28	209.84	34.51	126.12	189.02	135.24	223.41	149.12	170.25	182.55	139.07	182.55	145.02	251.48	232.94	211.31	269.6	161.02
ZNF512	204.07	82.29	209.84	336.79	262.2	265.87	466.88	698.41	343.89	684.02	343.89	551.56	323.03	299.25	656.11	258.57	400.71	356.05	371.22	423.61	262.2	221.86	329.84	279.14	371.22	403.5	660.68	813.63	358.54	591.22	309.83
ZYG11B	47.17	127.0	132.44	195.72	221.86	215.77	98.04	417.77	162.14	212.78	175.07	316.37	253.23	293.07	277.2	40.64	138.1	221.86	144.01	236.21	189.02	164.42	181.28	229.72	181.28	297.17	371.22	432.53	217.27	299.25	181.28
ZZZ3	164.42	88.88	289.02	187.71	303.44	346.29	146.03	507.46	307.69	277.2	325.29	387.02	281.09	334.46	540.19	56.68	166.73	373.81	211.31	336.79	246.28	291.04	283.05	271.48	336.79	277.2	400.71	480.04	412.0	486.75	297.17
