	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A7CK.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.5436.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7236.01A.11R.2016.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.77.8130.01A.11R.2247.07
FBXW2	231.32	1015.93	764.36	1044.52	718.08	660.68	1066.48	961.07	947.83	1008.9	748.61	1159.07	1268.46	1059.11	511.0	669.92	688.78	1044.52	624.99	551.56	728.11	567.1	1183.45	703.28	819.3	988.12	674.59	511.0	769.69	1151.06	559.28	679.29	785.88	769.69	848.22	947.83	915.51	651.58	791.35	769.69	693.58	1331.57	1277.29	802.41	1605.83	1369.04	612.11	583.07	1015.93	1037.29	638.15	974.5	988.12	1104.13	693.58	915.51	1008.9	915.51	503.95	1369.04	1617.0	674.59	974.5	463.65	616.37	1437.15	836.53	759.08	1233.75	825.0	647.07	253.23	223.41	647.07
FKBP15	165.57	688.78	406.31	373.81	373.81	403.5	688.78	571.05	595.34	629.35	384.34	878.17	866.07	620.67	438.59	318.57	412.0	802.41	438.59	198.47	450.94	186.4	808.0	896.64	493.56	438.59	490.14	283.05	447.82	854.13	490.14	297.17	612.11	567.1	265.87	460.44	718.08	309.83	327.56	414.87	309.83	555.41	414.87	529.06	1477.58	934.76	463.65	470.14	536.45	785.88	612.11	511.0	551.56	500.46	429.54	525.39	567.1	532.74	435.55	848.22	1233.75	361.04	759.08	264.03	486.75	547.75	612.11	486.75	688.78	356.05	470.14	147.06	181.28	237.86
FKTN	22.92	214.27	65.72	120.94	73.54	55.1	231.32	96.68	169.07	133.36	101.54	204.07	175.07	137.14	88.26	73.54	55.49	90.77	77.79	28.24	70.51	51.35	175.07	82.87	58.3	154.42	53.19	64.34	82.87	139.07	45.21	119.26	80.57	82.29	115.16	129.69	110.43	43.02	95.34	49.91	38.4	212.78	77.25	51.35	251.48	123.5	59.13	63.89	59.13	114.36	78.34	72.01	91.41	84.04	88.88	73.03	71.5	105.15	37.85	193.01	127.0	59.55	131.51	38.95	49.21	87.03	111.21	82.87	199.85	94.01	44.89	32.36	29.27	65.26
FUBP3	301.33	1143.1	651.58	595.34	412.0	397.93	1081.39	825.0	902.89	896.64	860.08	1331.57	1359.57	1111.82	825.0	543.96	612.11	872.1	629.35	438.59	688.78	521.76	825.0	718.08	503.95	665.29	629.35	476.71	733.19	941.27	500.46	529.06	819.3	718.08	708.18	688.78	785.88	532.74	616.37	616.37	575.03	1023.0	665.29	483.38	1044.52	1081.39	693.58	674.59	511.0	909.17	684.02	616.37	507.46	728.11	616.37	647.07	775.05	728.11	540.19	1001.93	988.12	674.59	947.83	353.59	567.1	848.22	866.07	629.35	1167.14	775.05	500.46	571.05	214.27	480.04
FXN	139.07	1044.52	251.48	785.88	327.56	156.59	463.65	457.25	412.0	490.14	346.29	480.04	454.09	555.41	126.12	165.57	251.48	332.14	223.41	137.14	312.0	186.4	212.78	224.97	379.04	262.2	466.88	161.02	208.38	339.14	129.69	206.94	202.66	183.82	215.77	299.25	343.89	187.71	260.38	195.72	384.34	392.44	397.93	470.14	607.87	366.09	157.68	309.83	376.41	406.31	150.17	325.29	392.44	624.99	229.72	264.03	226.54	255.0	320.8	376.41	463.65	236.21	316.37	166.73	171.45	366.09	199.85	251.48	575.03	279.14	262.2	253.23	438.59	260.38
GLE1	157.68	802.41	753.83	723.08	575.03	599.49	808.0	748.61	693.58	769.69	738.29	872.1	1030.12	785.88	389.72	301.33	307.69	368.65	400.71	154.42	470.14	220.32	872.1	368.65	376.41	507.46	514.56	197.09	400.71	603.67	157.68	201.25	444.72	291.04	466.88	409.15	642.59	197.09	314.17	239.52	368.65	842.36	507.46	366.09	1457.23	713.11	244.57	346.29	239.52	669.92	314.17	429.54	447.82	808.0	423.61	297.17	426.57	759.08	376.41	547.75	961.07	473.41	511.0	135.24	256.78	669.92	490.14	438.59	890.44	271.48	363.56	170.25	143.01	150.17
GOLGA1	125.24	299.25	190.34	299.25	144.01	206.94	297.17	301.33	334.46	307.69	341.51	432.53	341.51	343.89	205.5	90.14	141.02	242.88	155.5	85.22	239.52	63.89	303.44	239.52	285.03	201.25	199.85	94.01	194.36	329.84	178.77	164.42	265.87	204.07	148.09	226.54	242.88	111.99	152.28	153.34	152.28	287.01	223.41	176.29	309.83	297.17	141.02	177.53	137.14	242.88	178.77	171.45	224.97	211.31	185.11	194.36	212.78	191.67	193.01	368.65	312.0	157.68	301.33	110.43	121.79	289.02	295.11	165.57	301.33	189.02	205.5	111.99	98.04	124.37
GTF3C4	35.76	353.59	125.24	214.27	128.79	146.03	305.55	173.85	244.57	158.79	120.94	368.65	312.0	226.54	146.03	175.07	112.77	169.07	157.68	79.45	171.45	125.24	239.52	165.57	110.43	244.57	143.01	105.15	171.45	237.86	72.52	132.44	199.85	161.02	237.86	202.66	194.36	103.69	156.59	143.01	152.28	351.14	267.73	111.21	543.96	395.18	118.43	124.37	83.45	265.87	147.06	158.79	122.64	218.79	175.07	169.07	152.28	265.87	123.5	267.73	283.05	178.77	239.52	73.03	120.1	275.28	239.52	171.45	361.04	161.02	118.43	42.11	33.54	81.14
GTF3C5	753.83	2835.7	1340.84	1832.01	1208.34	583.07	2119.22	2434.5	1794.29	2209.26	2018.8	2367.9	2520.38	2400.97	974.5	780.44	902.89	988.12	684.02	395.18	1030.12	718.08	1447.15	1051.79	1167.14	1088.92	1733.13	607.87	934.76	1427.22	791.35	583.07	1427.22	981.29	909.17	866.07	1477.58	651.58	718.08	802.41	775.05	1477.58	1437.15	1001.93	3395.89	2004.85	748.61	842.36	1096.5	1721.16	896.64	1073.91	1304.15	2591.27	884.29	902.89	1216.75	1378.57	954.43	1233.75	1697.45	902.89	1175.27	738.29	624.99	1498.22	896.64	1051.79	1781.89	854.13	902.89	397.93	551.56	612.11
IARS	287.01	2018.8	1001.93	1088.92	884.29	540.19	2319.15	1540.37	1340.84	1617.0	1135.2	2163.77	2018.8	1350.18	603.67	1066.48	669.92	1127.35	1135.2	497.0	1331.57	723.08	1498.22	796.86	825.0	1572.76	1225.22	555.41	1350.18	1397.83	480.04	796.86	981.29	718.08	1583.71	1388.16	1199.98	665.29	854.13	836.53	1001.93	2645.74	1407.55	813.63	3103.19	1769.57	808.0	1015.93	791.35	1583.71	884.29	1167.14	728.11	1286.18	1322.37	1233.75	854.13	1313.23	1030.12	1844.76	1561.89	1037.29	1447.15	409.15	854.13	1467.37	1037.29	1066.48	2224.63	1044.52	1073.91	575.03	435.55	738.29
IKBKAP	130.6	351.14	450.94	420.68	293.07	140.04	1008.9	483.38	624.99	463.65	532.74	1467.37	718.08	616.37	384.34	234.57	334.46	373.81	264.03	202.66	341.51	303.44	366.09	320.8	403.5	490.14	265.87	262.2	279.14	476.71	193.01	351.14	336.79	223.41	346.29	293.07	536.45	232.94	287.01	323.03	366.09	583.07	497.0	327.56	981.29	480.04	187.71	366.09	226.54	438.59	371.22	361.04	351.14	511.0	341.51	334.46	312.0	532.74	267.73	529.06	579.04	244.57	547.75	173.85	194.36	473.41	325.29	346.29	679.29	457.25	320.8	228.13	229.72	269.6
INIP	123.5	466.88	361.04	295.11	224.97	343.89	718.08	323.03	379.04	366.09	339.14	392.44	423.61	473.41	190.34	221.86	221.86	258.57	185.11	193.01	279.14	146.03	417.77	273.37	267.73	199.85	223.41	152.28	229.72	339.14	120.94	212.78	229.72	201.25	242.88	309.83	303.44	176.29	226.54	182.55	214.27	366.09	301.33	236.21	708.18	332.14	171.45	177.53	256.78	246.28	231.32	256.78	283.05	269.6	226.54	244.57	291.04	366.09	178.77	395.18	463.65	201.25	297.17	124.37	167.9	395.18	285.03	223.41	595.34	191.67	189.02	102.97	80.57	154.42
INPP5E	83.45	305.55	158.79	271.48	169.07	96.68	215.77	237.86	195.72	256.78	536.45	575.03	532.74	748.61	138.1	38.95	102.97	209.84	72.52	46.5	121.79	40.07	202.66	149.12	173.85	138.1	332.14	63.45	103.69	125.24	89.51	108.14	136.19	143.01	99.43	72.01	224.97	62.56	49.91	106.63	98.73	166.73	212.78	193.01	226.54	289.02	104.42	125.24	115.97	366.09	85.82	139.07	183.82	287.01	77.25	88.88	55.89	127.0	156.59	185.11	236.21	110.43	163.28	139.07	89.51	287.01	135.24	75.11	211.31	108.9	87.65	108.14	83.45	108.14
INVS	42.11	159.9	103.69	124.37	147.06	98.04	256.78	177.53	180.02	151.22	140.04	373.81	299.25	209.84	72.01	102.97	65.72	120.94	147.06	70.51	96.68	54.33	152.28	155.5	144.01	158.79	97.36	73.03	79.45	195.72	107.38	138.1	148.09	136.19	185.11	135.24	199.85	84.04	114.36	85.82	94.01	181.28	137.14	66.18	258.57	281.09	70.01	105.89	87.65	140.04	150.17	121.79	147.06	202.66	117.6	115.97	155.5	224.97	113.56	178.77	289.02	77.25	191.67	63.0	111.21	180.02	195.72	86.43	191.67	84.63	92.05	57.08	70.51	106.63
ISCA1	242.88	1487.87	521.76	1407.55	638.15	271.48	1313.23	629.35	813.63	698.41	693.58	1340.84	842.36	974.5	283.05	934.76	486.75	633.73	647.07	307.69	674.59	457.25	884.29	529.06	599.49	591.22	571.05	420.68	603.67	1529.73	371.22	426.57	921.88	493.56	536.45	567.1	718.08	368.65	429.54	633.73	483.38	738.29	748.61	612.11	1183.45	1183.45	429.54	423.61	718.08	934.76	620.67	486.75	679.29	860.08	665.29	603.67	435.55	426.57	514.56	988.12	1059.11	507.46	748.61	309.83	403.5	854.13	669.92	656.11	902.89	713.11	698.41	414.87	320.8	660.68
KIAA0368	423.61	1167.14	854.13	1183.45	836.53	591.22	1183.45	1216.75	1111.82	1088.92	1059.11	1844.76	1508.65	1081.39	660.68	497.0	473.41	836.53	753.83	575.03	884.29	454.09	1233.75	723.08	808.0	967.76	1250.98	551.56	748.61	836.53	591.22	665.29	753.83	836.53	902.89	808.0	902.89	595.34	403.5	890.44	629.35	1313.23	825.0	848.22	1870.53	1378.57	759.08	733.19	934.76	1073.91	878.17	830.75	842.36	1151.06	703.28	738.29	591.22	947.83	890.44	1151.06	1104.13	733.19	1059.11	426.57	567.1	1870.53	813.63	1066.48	1583.71	638.15	647.07	476.71	389.72	633.73
KIAA1524	59.55	329.84	102.25	157.68	356.05	101.54	480.04	110.43	264.03	114.36	135.24	679.29	341.51	77.25	143.01	35.5	157.68	125.24	55.49	74.06	121.79	88.26	98.04	97.36	232.94	162.14	103.69	98.73	81.71	173.85	27.84	126.12	82.87	90.77	234.57	74.06	115.16	115.16	156.59	95.34	63.45	260.38	237.86	105.89	555.41	353.59	71.0	84.63	136.19	323.03	191.67	204.07	164.42	215.77	124.37	164.42	194.36	158.79	88.26	307.69	229.72	121.79	142.01	171.45	43.32	392.44	98.73	153.34	532.74	111.99	52.45	13.42	22.26	77.79
KRT17	69271.73	381149.17	348306.01	450134.56	472513.8	4953441.24	81809.59	462789.59	381149.17	402881.61	370726.6	124863.17	57448.23	217400.14	307450.64	475800.4	408505.64	305326.92	971597.0	350728.68	542775.98	286861.53	132900.7	400098.69	589853.66	428815.23	453265.5	389157.95	466008.55	716197.51	701458.36	231394.29	593956.43	437825.58	334117.42	524287.0	524287.0	220434.95	348306.01	440870.9	400098.69	207103.59	542775.98	336441.4	218912.29	402881.61	565825.41	645473.24	513497.31	103551.29	368165.8	373305.21	373305.21	370726.6	303217.87	327241.36	546551.29	632189.57	334117.42	90146.51	239554.43	485798.0	350728.68	585779.24	912837.43	127486.83	417089.23	546551.29	164758.26	475800.4	506427.83	0.87	96.68	265802.39
MED22	138.1	718.08	191.67	543.96	202.66	127.0	368.65	521.76	397.93	444.72	642.59	688.78	842.36	764.36	279.14	187.71	323.03	325.29	187.71	201.25	325.29	153.34	406.31	285.03	314.17	511.0	373.81	234.57	283.05	412.0	176.29	204.07	307.69	389.72	190.34	291.04	435.55	194.36	258.57	283.05	242.88	454.09	403.5	371.22	884.29	473.41	242.88	253.23	291.04	473.41	186.4	262.2	466.88	532.74	327.56	283.05	251.48	429.54	271.48	460.44	525.39	223.41	299.25	212.78	209.84	497.0	371.22	309.83	514.56	246.28	291.04	120.1	236.21	236.21
MED27	232.94	848.22	703.28	1159.07	441.64	236.21	854.13	595.34	813.63	651.58	915.51	884.29	1216.75	1119.56	500.46	587.13	521.76	633.73	429.54	289.02	463.65	403.5	791.35	441.64	759.08	665.29	638.15	363.56	463.65	1015.93	323.03	316.37	647.07	521.76	698.41	460.44	1159.07	309.83	356.05	583.07	384.34	974.5	921.88	397.93	2104.58	1487.87	403.5	406.31	647.07	981.29	612.11	518.15	825.0	1467.37	620.67	607.87	819.3	599.49	463.65	915.51	1135.2	954.43	961.07	376.41	429.54	813.63	476.71	595.34	1111.82	438.59	563.18	125.24	191.67	409.15
MRPL50	85.82	633.73	262.2	400.71	264.03	175.07	718.08	463.65	384.34	607.87	239.52	303.44	323.03	397.93	153.34	264.03	242.88	273.37	173.85	220.32	241.19	125.24	323.03	221.86	256.78	242.88	281.09	170.25	248.0	463.65	138.1	159.9	426.57	264.03	267.73	193.01	318.57	169.07	217.27	262.2	277.2	444.72	249.73	228.13	890.44	563.18	201.25	223.41	309.83	395.18	218.79	277.2	361.04	389.72	239.52	320.8	334.46	275.28	201.25	366.09	366.09	228.13	384.34	134.3	172.65	457.25	234.57	314.17	441.64	218.79	199.85	100.13	151.22	166.73
MRPS2	802.41	3928.15	1259.69	3212.66	1909.85	753.83	1457.23	1639.59	1397.83	1427.22	1199.98	2240.11	1950.0	2119.22	934.76	688.78	961.07	1208.34	703.28	483.38	1023.0	1008.9	1322.37	1066.48	974.5	1498.22	1417.35	728.11	1073.91	1225.22	450.94	791.35	1304.15	890.44	981.29	1001.93	1529.73	638.15	785.88	896.64	1457.23	1674.06	2193.99	1350.18	3515.68	2609.3	866.07	1051.79	1639.59	2335.28	1008.9	921.88	1286.18	1757.34	884.29	902.89	785.88	1487.87	921.88	1359.57	1628.26	1143.1	1151.06	896.64	674.59	1605.83	954.43	1191.69	1769.57	759.08	981.29	764.36	890.44	587.13
MRRF	301.33	1721.16	555.41	1044.52	995.0	412.0	1286.18	1662.49	1167.14	2004.85	1540.37	2032.85	1757.34	1870.53	500.46	540.19	454.09	591.22	567.1	371.22	684.02	277.2	1268.46	764.36	543.96	728.11	909.17	244.57	733.19	872.1	363.56	327.56	1225.22	665.29	603.67	723.08	836.53	379.04	351.14	514.56	571.05	1216.75	1159.07	819.3	2178.83	1259.69	579.04	599.49	587.13	1059.11	532.74	571.05	703.28	1001.93	669.92	607.87	633.73	961.07	629.35	921.88	1286.18	511.0	708.18	420.68	432.53	1088.92	981.29	1088.92	1051.79	559.28	591.22	293.07	255.0	223.41
MSANTD3	108.9	1111.82	583.07	878.17	708.18	271.48	1572.76	441.64	902.89	420.68	674.59	1340.84	890.44	974.5	265.87	656.11	514.56	669.92	480.04	660.68	309.83	660.68	1167.14	698.41	825.0	1051.79	647.07	414.87	291.04	780.44	438.59	813.63	660.68	454.09	571.05	327.56	1208.34	457.25	432.53	642.59	368.65	928.3	825.0	503.95	974.5	1030.12	395.18	351.14	769.69	1183.45	1369.04	547.75	785.88	995.0	669.92	507.46	507.46	1191.69	397.93	1135.2	1662.49	525.39	819.3	642.59	536.45	1127.35	438.59	435.55	1417.35	769.69	251.48	115.97	182.55	607.87
NAA35	94.67	473.41	226.54	312.0	297.17	239.52	612.11	265.87	356.05	299.25	303.44	486.75	361.04	309.83	185.11	289.02	212.78	309.83	228.13	128.79	285.03	108.9	429.54	305.55	185.11	351.14	231.32	128.79	303.44	412.0	187.71	167.9	361.04	234.57	277.2	258.57	334.46	186.4	170.25	223.41	262.2	603.67	361.04	190.34	647.07	457.25	251.48	217.27	167.9	376.41	285.03	291.04	283.05	392.44	209.84	327.56	273.37	189.02	275.28	334.46	497.0	264.03	397.93	88.26	199.85	503.95	397.93	309.83	529.06	281.09	249.73	88.26	72.52	163.28
NCBP1	180.02	708.18	348.71	392.44	246.28	320.8	848.22	669.92	612.11	629.35	412.0	669.92	500.46	466.88	178.77	287.01	346.29	341.51	273.37	201.25	400.71	208.38	441.64	351.14	249.73	334.46	438.59	166.73	346.29	575.03	232.94	215.77	591.22	332.14	353.59	351.14	450.94	214.27	255.0	314.17	289.02	571.05	309.83	327.56	1015.93	444.72	220.32	320.8	307.69	297.17	312.0	384.34	435.55	483.38	334.46	314.17	371.22	279.14	379.04	536.45	463.65	285.03	420.68	190.34	181.28	426.57	463.65	395.18	616.37	329.84	343.89	164.42	171.45	194.36
NDOR1	81.71	178.77	239.52	325.29	65.72	100.13	273.37	384.34	253.23	283.05	356.05	470.14	490.14	575.03	156.59	63.45	94.67	285.03	147.06	68.07	194.36	85.82	212.78	154.42	137.14	172.65	193.01	94.67	138.1	218.79	158.79	99.43	165.57	191.67	180.02	135.24	256.78	81.71	187.71	111.99	144.01	262.2	248.0	124.37	708.18	540.19	115.97	148.09	186.4	163.28	157.68	172.65	201.25	265.87	181.28	186.4	336.79	156.59	171.45	173.85	303.44	164.42	241.19	95.34	108.14	175.07	279.14	234.57	379.04	180.02	161.02	75.11	81.14	96.01
NELFB	503.95	2224.63	1159.07	2133.97	1059.11	896.64	1378.57	1651.0	1225.22	1233.75	1397.83	1477.58	1628.26	1617.0	836.53	902.89	902.89	1259.69	995.0	595.34	954.43	890.44	1662.49	825.0	1111.82	1561.89	1540.37	698.41	872.1	1277.29	743.43	743.43	1081.39	1037.29	921.88	1008.9	1628.26	579.04	688.78	1111.82	896.64	1628.26	1832.01	1059.11	2400.97	2384.37	896.64	954.43	1008.9	2047.0	974.5	1023.0	1268.46	1583.71	1159.07	1023.0	1151.06	1322.37	909.17	1508.65	1923.14	1175.27	1397.83	775.05	796.86	1617.0	1295.13	1295.13	1467.37	775.05	1051.79	336.79	438.59	780.44
NIPSNAP3A	152.28	679.29	316.37	371.22	403.5	447.82	1143.1	748.61	915.51	928.3	693.58	665.29	780.44	583.07	392.44	529.06	414.87	660.68	417.77	157.68	450.94	435.55	532.74	460.44	555.41	559.28	368.65	229.72	395.18	543.96	325.29	226.54	454.09	503.95	277.2	536.45	486.75	206.94	279.14	616.37	346.29	376.41	463.65	599.49	878.17	536.45	303.44	470.14	371.22	674.59	555.41	285.03	854.13	269.6	497.0	583.07	323.03	376.41	406.31	684.02	567.1	521.76	409.15	201.25	457.25	684.02	351.14	583.07	1159.07	267.73	587.13	249.73	441.64	412.0
NOL8	195.72	854.13	400.71	616.37	234.57	346.29	1304.15	872.1	629.35	1242.34	583.07	1066.48	1073.91	1066.48	275.28	165.57	447.82	412.0	215.77	195.72	551.56	162.14	665.29	493.56	387.02	346.29	599.49	248.0	368.65	587.13	291.04	232.94	583.07	447.82	314.17	307.69	500.46	295.11	242.88	297.17	395.18	403.5	376.41	476.71	759.08	536.45	265.87	363.56	309.83	397.93	231.32	387.02	441.64	612.11	289.02	392.44	262.2	323.03	343.89	454.09	595.34	251.48	366.09	258.57	202.66	563.18	420.68	361.04	743.43	412.0	329.84	197.09	176.29	223.41
NTMT1	521.76	2004.85	1199.98	5479.15	890.44	656.11	1709.26	2032.85	1745.2	1769.57	1151.06	1709.26	1794.29	2485.67	961.07	1551.09	1175.27	1088.92	1066.48	796.86	1066.48	896.64	1977.24	995.0	1096.5	1208.34	2178.83	743.43	1096.5	1745.2	540.19	802.41	1757.34	1397.83	819.3	928.3	1697.45	723.08	819.3	890.44	1104.13	2255.7	2163.77	1407.55	3955.48	2796.65	1183.45	1143.1	2119.22	1870.53	1081.39	1051.79	1832.01	2209.26	1030.12	1175.27	1437.15	1757.34	1037.29	1745.2	2664.15	967.76	1447.15	728.11	854.13	1359.57	1066.48	1397.83	1721.16	934.76	1277.29	543.96	624.99	836.53
NUP188	246.28	1583.71	723.08	1096.5	559.28	563.18	1605.83	1051.79	1030.12	1073.91	1183.45	2133.97	1963.57	1498.22	571.05	334.46	287.01	813.63	540.19	316.37	629.35	409.15	981.29	571.05	567.1	878.17	497.0	420.68	728.11	656.11	318.57	511.0	738.29	595.34	633.73	708.18	764.36	395.18	432.53	473.41	476.71	1467.37	791.35	483.38	2400.97	1467.37	525.39	624.99	507.46	1044.52	543.96	674.59	423.61	743.43	669.92	466.88	836.53	974.5	674.59	1037.29	1051.79	703.28	808.0	320.8	454.09	961.07	753.83	819.3	1127.35	521.76	490.14	108.14	116.78	371.22
NUP214	624.99	1417.35	759.08	1733.13	813.63	836.53	878.17	1175.27	954.43	1369.04	1023.0	1208.34	1551.09	1225.22	698.41	579.04	775.05	780.44	567.1	406.31	796.86	473.41	909.17	915.51	1167.14	500.46	896.64	379.04	665.29	921.88	633.73	514.56	802.41	454.09	802.41	684.02	1119.56	460.44	493.56	718.08	470.14	854.13	1191.69	872.1	1721.16	1322.37	642.59	848.22	1059.11	1135.2	780.44	728.11	753.83	1066.48	595.34	684.02	591.22	866.07	703.28	878.17	878.17	583.07	1023.0	753.83	409.15	915.51	748.61	819.3	1111.82	603.67	775.05	295.11	642.59	432.53
ODF2	332.14	1427.22	813.63	575.03	363.56	258.57	830.75	543.96	693.58	555.41	1233.75	1832.01	1159.07	1023.0	348.71	217.27	329.84	555.41	361.04	429.54	406.31	403.5	796.86	379.04	612.11	633.73	759.08	366.09	339.14	579.04	182.55	387.02	423.61	441.64	490.14	476.71	540.19	283.05	353.59	351.14	559.28	884.29	651.58	718.08	1199.98	954.43	356.05	334.46	403.5	967.76	273.37	476.71	447.82	486.75	379.04	406.31	450.94	647.07	358.54	902.89	813.63	500.46	473.41	327.56	309.83	796.86	463.65	567.1	1066.48	361.04	281.09	119.26	138.1	435.55
PDCL	102.25	642.59	220.32	320.8	197.09	293.07	476.71	339.14	329.84	327.56	299.25	379.04	287.01	376.41	173.85	275.28	239.52	265.87	181.28	127.89	220.32	189.02	351.14	215.77	144.01	201.25	228.13	194.36	193.01	384.34	147.06	190.34	291.04	147.06	189.02	239.52	239.52	145.02	241.19	208.38	165.57	293.07	226.54	246.28	547.75	387.02	209.84	197.09	217.27	356.05	218.79	256.78	241.19	397.93	267.73	231.32	273.37	255.0	187.71	329.84	392.44	231.32	289.02	98.73	195.72	291.04	285.03	242.88	454.09	234.57	187.71	81.14	59.55	152.28
PHF19	251.48	928.3	563.18	1427.22	363.56	253.23	1551.09	1447.15	1457.23	1340.84	1447.15	3081.75	2777.33	4152.18	351.14	267.73	463.65	559.28	316.37	339.14	197.09	563.18	748.61	607.87	1104.13	1417.35	595.34	368.65	242.88	480.04	128.79	759.08	450.94	591.22	351.14	379.04	738.29	223.41	361.04	423.61	503.95	1044.52	1350.18	514.56	2739.08	1175.27	356.05	323.03	791.35	2537.92	264.03	511.0	909.17	620.67	490.14	381.68	366.09	1407.55	363.56	688.78	1498.22	525.39	785.88	371.22	251.48	830.75	718.08	665.29	1662.49	412.0	567.1	66.18	327.56	256.78
PHF2	228.13	387.02	343.89	287.01	277.2	185.11	518.15	438.59	460.44	507.46	376.41	825.0	703.28	536.45	212.78	121.79	211.31	363.56	202.66	123.5	264.03	217.27	497.0	242.88	283.05	239.52	327.56	208.38	190.34	277.2	214.27	234.57	403.5	236.21	273.37	239.52	379.04	185.11	273.37	226.54	164.42	571.05	332.14	307.69	624.99	466.88	262.2	264.03	237.86	361.04	253.23	325.29	256.78	612.11	291.04	169.07	205.5	323.03	291.04	429.54	417.77	438.59	392.44	198.47	246.28	450.94	341.51	361.04	503.95	249.73	205.5	108.9	100.13	244.57
PMPCA	486.75	3325.99	830.75	1896.65	954.43	463.65	1225.22	1605.83	1340.84	1378.57	1015.93	1268.46	1561.89	1457.23	1369.04	819.3	866.07	1407.55	785.88	624.99	1023.0	819.3	1277.29	1183.45	872.1	1259.69	1378.57	525.39	1378.57	1477.58	769.69	493.56	1674.06	1369.04	995.0	842.36	1757.34	713.11	497.0	1037.29	1225.22	1295.13	1313.23	988.12	2739.08	1963.57	921.88	1066.48	1583.71	1572.76	878.17	995.0	1073.91	1331.57	872.1	1111.82	1104.13	1216.75	1023.0	1359.57	1733.13	909.17	1427.22	688.78	633.73	1674.06	896.64	718.08	1529.73	836.53	1066.48	1151.06	974.5	656.11
