	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.N5.A59F.01A.11R.A28V.07
ROMO1	11992.79	6699.25	4903.87	6935.54	8078.22	6079.61	18689.27	10014.87	7280.4	4388.98	7749.1	8840.04	14065.74	9606.86	16496.96	9606.86	9808.75	10368.08	19348.38	6652.97	4543.8	4736.79	2417.67	4543.8	3955.48	7749.1	13586.57	7911.95	5441.3	9409.14	6079.61	3349.13	3716.2	6294.04	4123.49	9088.59	8479.89	5711.87	3639.7	6561.36	18431.96
RP11-295P9.3	123.5	56.68	91.41	105.89	48.87	48.87	217.27	237.86	41.22	32.13	224.97	208.38	195.72	67.59	239.52	45.85	305.55	189.02	176.29	120.94	48.87	101.54	40.36	34.02	38.95	63.0	85.82	59.13	55.1	49.91	95.34	48.52	50.27	13.32	42.71	0.0	198.47	81.14	228.13	214.27	143.01
RP11-793H13.10	30.34	17.51	23.76	50.98	18.97	8.25	17.0	56.28	8.06	10.63	93.35	84.63	47.17	14.24	38.95	18.43	102.97	59.13	37.59	42.71	6.84	20.41	2.53	3.86	5.11	23.42	4.9	13.32	5.15	31.22	9.56	5.23	19.53	2.2	6.94	0.0	13.62	21.47	50.63	75.64	25.54
RP11-87C12.2	19.25	5.23	15.11	20.41	8.25	4.9	12.55	0.0	2.48	3.5	7.11	14.24	10.88	3.29	11.38	6.11	18.7	7.69	7.46	6.26	0.0	8.58	0.06	0.0	5.87	3.76	3.17	1.97	1.5	2.61	3.5	0.0	1.55	1.62	1.03	0.0	14.03	2.48	17.51	4.28	19.25
SCAF1	620.67	703.28	551.56	759.08	571.05	547.75	759.08	723.08	647.07	336.79	698.41	708.18	974.5	514.56	866.07	414.87	825.0	796.86	1277.29	595.34	438.59	591.22	218.79	403.5	323.03	314.17	703.28	246.28	529.06	607.87	460.44	493.56	547.75	273.37	674.59	438.59	1216.75	305.55	559.28	633.73	1268.46
SCXA	48.18	49.56	84.63	61.25	23.59	19.68	67.12	61.25	61.25	2.43	20.41	113.56	45.21	76.17	41.52	50.27	136.19	49.56	52.45	93.35	0.0	14.89	0.0	0.21	5.06	1.93	12.18	2.61	0.61	9.85	4.62	1.58	10.55	0.0	1.57	0.0	27.64	15.68	158.79	31.45	417.77
SETDB1	466.88	371.22	595.34	412.0	579.04	332.14	591.22	934.76	400.71	241.19	607.87	1111.82	708.18	525.39	1199.98	403.5	733.19	947.83	842.36	514.56	256.78	376.41	293.07	212.78	312.0	285.03	325.29	183.82	269.6	208.38	275.28	277.2	309.83	72.01	180.02	0.0	759.08	400.71	532.74	651.58	1167.14
SF3A2	902.89	1340.84	1183.45	466.88	1059.11	1127.35	1561.89	2664.15	1167.14	457.25	651.58	2855.44	1233.75	1304.15	2303.12	1233.75	2935.74	2004.85	2502.97	1151.06	532.74	759.08	258.57	194.36	759.08	429.54	896.64	409.15	353.59	567.1	603.67	368.65	591.22	255.0	305.55	0.0	902.89	785.88	551.56	1104.13	1977.24
SLC41A3	878.17	1051.79	571.05	775.05	1259.69	612.11	1096.5	796.86	511.0	435.55	708.18	703.28	1059.11	785.88	961.07	909.17	785.88	848.22	988.12	921.88	273.37	262.2	249.73	307.69	356.05	309.83	775.05	579.04	283.05	341.51	202.66	348.71	884.29	201.25	500.46	0.0	1250.98	743.43	397.93	830.75	902.89
SMG9	603.67	591.22	638.15	842.36	660.68	316.37	988.12	486.75	647.07	218.79	723.08	409.15	988.12	503.95	775.05	896.64	1104.13	463.65	1030.12	743.43	164.42	295.11	124.37	60.82	129.69	223.41	277.2	156.59	115.97	287.01	255.0	131.51	234.57	97.36	142.01	0.0	791.35	361.04	947.83	738.29	1369.04
SMPD4	603.67	616.37	669.92	743.43	830.75	718.08	974.5	1051.79	753.83	384.34	988.12	928.3	1331.57	476.71	1030.12	583.07	1096.5	764.36	1561.89	713.11	476.71	616.37	275.28	249.73	447.82	470.14	575.03	438.59	285.03	470.14	444.72	246.28	305.55	236.21	271.48	0.0	921.88	441.64	633.73	595.34	2224.63
SNAPC4	103.69	108.14	132.44	111.21	83.45	153.34	163.28	327.56	130.6	40.07	132.44	159.9	163.28	106.63	237.86	72.01	142.01	120.1	309.83	109.66	67.59	93.35	40.93	49.21	138.1	86.43	129.69	99.43	63.0	82.87	94.67	53.95	77.25	65.26	47.5	0.0	169.07	48.52	110.43	171.45	223.41
SNRNP70	3443.31	2855.44	4802.93	4450.27	3212.66	2777.33	5076.84	3716.2	4298.64	2119.22	4639.29	4671.57	5517.27	2451.44	4607.24	3540.14	4769.75	3874.05	6983.79	3467.27	2255.7	2875.3	1135.2	1437.15	2209.26	2351.53	1519.15	2119.22	1340.84	2163.77	2434.5	1572.76	2591.27	1277.29	1697.45	0.0	4239.45	1529.73	2335.28	2319.15	7230.1
SRRT	1583.71	1268.46	1605.83	1757.34	1369.04	1208.34	3443.31	2018.8	1594.73	796.86	1674.06	1340.84	2682.69	1331.57	2148.82	1662.49	2627.46	1268.46	2627.46	1304.15	1208.34	1540.37	532.74	775.05	1313.23	1088.92	1088.92	813.63	743.43	1183.45	1081.39	656.11	934.76	507.46	698.41	0.0	2163.77	878.17	1662.49	1286.18	3690.52
STK11IP	441.64	312.0	217.27	202.66	172.65	100.83	366.09	273.37	316.37	131.51	232.94	205.5	379.04	149.12	316.37	178.77	248.0	191.67	214.27	275.28	64.8	111.21	43.63	44.57	84.04	60.82	305.55	163.28	47.17	145.02	132.44	66.65	135.24	21.63	95.34	215.77	287.01	256.78	329.84	444.72	543.96
STK25	2148.82	2777.33	1639.59	1457.23	2502.97	1870.53	3690.52	3081.75	2287.2	1119.56	2664.15	3419.52	3742.05	2018.8	2400.97	2451.44	3212.66	3467.27	4671.57	2319.15	1322.37	1745.2	703.28	785.88	1477.58	1427.22	1806.78	1104.13	1059.11	1313.23	1583.71	1073.91	1369.04	866.07	1127.35	0.0	3190.46	1697.45	3060.45	2777.33	3395.89
STRN4	748.61	854.13	842.36	1119.56	909.17	559.28	872.1	928.3	753.83	371.22	802.41	974.5	1437.15	753.83	1277.29	547.75	1073.91	629.35	2255.7	830.75	409.15	547.75	197.09	260.38	521.76	293.07	420.68	269.6	301.33	417.77	476.71	299.25	547.75	199.85	236.21	866.07	1709.26	860.08	1001.93	651.58	1806.78
SUGP1	688.78	660.68	703.28	376.41	591.22	518.15	1059.11	896.64	743.43	417.77	791.35	974.5	647.07	595.34	1159.07	633.73	1104.13	713.11	764.36	543.96	444.72	563.18	293.07	260.38	381.68	567.1	543.96	470.14	476.71	503.95	583.07	387.02	438.59	318.57	423.61	0.0	470.14	366.09	703.28	633.73	1286.18
TBX19	42.11	43.02	73.03	44.57	18.03	14.67	43.32	26.86	30.56	5.23	44.89	50.63	30.12	29.7	76.17	42.41	71.0	31.67	55.89	52.08	13.72	12.09	8.65	10.24	11.38	15.68	4.24	23.42	7.06	28.45	10.39	12.18	35.25	8.71	6.06	0.0	38.12	25.35	46.5	43.02	64.34
TMEM249	2.63	0.0	12.09	14.14	2.94	3.23	11.73	4.17	17.77	1.28	3.32	11.04	7.17	13.12	14.89	13.52	17.13	4.39	9.85	3.47	6.26	9.27	0.39	2.68	1.81	1.95	0.96	2.39	0.56	3.23	3.5	2.78	0.27	0.0	1.07	0.0	21.01	0.0	3.56	4.46	16.15
TOMM34	1151.06	780.44	511.0	698.41	1233.75	503.95	785.88	447.82	624.99	295.11	435.55	555.41	753.83	490.14	796.86	503.95	551.56	435.55	802.41	616.37	353.59	400.71	332.14	232.94	521.76	334.46	688.78	264.03	376.41	435.55	457.25	312.0	454.09	173.85	476.71	0.0	426.57	466.88	536.45	651.58	2502.97
TOP3B	264.03	175.07	218.79	269.6	239.52	193.01	480.04	435.55	232.94	147.06	293.07	236.21	400.71	198.47	703.28	143.01	423.61	209.84	373.81	297.17	96.01	182.55	70.01	71.0	130.6	163.28	323.03	132.44	128.79	134.3	198.47	105.15	153.34	55.89	195.72	0.0	287.01	123.5	529.06	332.14	392.44
TRIM11	279.14	361.04	285.03	353.59	356.05	218.79	361.04	420.68	426.57	94.01	400.71	327.56	483.38	376.41	780.44	381.68	521.76	748.61	559.28	447.82	132.44	314.17	41.22	86.43	166.73	94.67	136.19	72.52	66.65	189.02	154.42	55.1	169.07	39.79	98.04	0.0	314.17	214.27	463.65	277.2	603.67
TRMT1	713.11	555.41	1030.12	463.65	656.11	743.43	718.08	1008.9	1159.07	607.87	713.11	1008.9	769.69	638.15	981.29	974.5	1896.65	1081.39	1572.76	825.0	299.25	738.29	155.5	164.42	514.56	242.88	579.04	341.51	169.07	336.79	329.84	231.32	414.87	117.6	289.02	0.0	379.04	325.29	896.64	808.0	1427.22
TSEN54	743.43	603.67	674.59	941.27	612.11	567.1	1151.06	1015.93	665.29	473.41	785.88	921.88	866.07	921.88	1359.57	1359.57	1457.23	1183.45	1304.15	748.61	343.89	493.56	133.36	178.77	295.11	403.5	559.28	218.79	181.28	406.31	358.54	176.29	392.44	166.73	339.14	0.0	1697.45	460.44	733.19	728.11	1030.12
TYK2	2468.49	1923.14	3168.41	1757.34	1617.0	2004.85	2335.28	2855.44	2367.9	1051.79	1896.65	3419.52	1794.29	2004.85	3742.05	1529.73	3540.14	2133.97	2075.59	2485.67	1896.65	2240.11	669.92	988.12	1540.37	1594.73	2287.2	1417.35	941.27	2104.58	1594.73	1127.35	1605.83	1199.98	941.27	0.0	2287.2	1268.46	2240.11	3349.13	4358.66
USP21	400.71	423.61	435.55	441.64	387.02	127.0	441.64	733.19	361.04	115.97	551.56	595.34	503.95	392.44	1199.98	348.71	563.18	665.29	854.13	400.71	142.01	303.44	76.17	90.14	108.9	191.67	153.34	129.69	142.01	180.02	234.57	123.5	283.05	53.57	228.13	0.0	688.78	327.56	387.02	547.75	896.64
WDR83	307.69	314.17	226.54	137.14	198.47	251.48	265.87	373.81	314.17	202.66	397.93	483.38	295.11	198.47	432.53	226.54	353.59	409.15	420.68	318.57	159.9	177.53	69.03	75.64	202.66	226.54	293.07	189.02	124.37	153.34	159.9	163.28	186.4	80.57	150.17	0.0	318.57	212.78	400.71	346.29	723.08
ZMYND19	329.84	343.89	389.72	490.14	503.95	392.44	759.08	470.14	483.38	262.2	532.74	529.06	764.36	389.72	748.61	563.18	775.05	476.71	1015.93	406.31	237.86	457.25	113.56	158.79	193.01	267.73	339.14	197.09	166.73	289.02	336.79	119.26	220.32	154.42	220.32	0.0	785.88	275.28	656.11	406.31	1127.35
ZNF414	417.77	587.13	713.11	384.34	536.45	435.55	665.29	988.12	708.18	480.04	463.65	902.89	511.0	684.02	708.18	723.08	902.89	669.92	511.0	497.0	336.79	473.41	171.45	217.27	438.59	295.11	438.59	281.09	262.2	316.37	444.72	232.94	293.07	152.28	249.73	0.0	486.75	303.44	423.61	454.09	808.0
ZNF473	47.84	71.5	84.63	94.67	67.12	42.11	73.03	88.88	58.71	41.81	56.28	96.01	175.07	70.51	167.9	55.89	144.01	89.51	226.54	80.01	34.26	74.06	35.0	50.98	57.08	26.47	27.25	31.67	27.64	41.81	36.01	29.06	78.89	13.72	36.53	0.0	187.71	57.49	85.22	181.28	110.43
ZNF581	429.54	842.36	329.84	273.37	432.53	305.55	486.75	514.56	423.61	295.11	555.41	1199.98	1359.57	363.56	620.67	361.04	253.23	587.13	1242.34	414.87	127.0	212.78	69.03	61.25	145.02	201.25	253.23	157.68	197.09	211.31	144.01	131.51	371.22	95.34	127.89	0.0	866.07	466.88	327.56	463.65	1359.57
ZNF692	651.58	327.56	1359.57	1167.14	612.11	244.57	1175.27	1388.16	896.64	285.03	2319.15	1135.2	1417.35	796.86	1757.34	1066.48	1709.26	1369.04	1794.29	723.08	206.94	438.59	95.34	93.35	231.32	241.19	287.01	307.69	143.01	329.84	289.02	143.01	307.69	110.43	180.02	0.0	559.28	164.42	674.59	791.35	1896.65
