	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07
MME	102.25	73.54	105.15	379.04	381.68	43.32	20.71	134.3	253.23	127.0	341.51	108.14	79.45	201.25	99.43	58.3	1.2	59.97	15.91	273.37	178.77	139.07	158.79	1721.16	114.36	312.0	334.46	83.45	26.47	134.3	3742.05	2255.7	1857.6	2573.36	2384.37	3168.41	2061.24	2417.67	3540.14	1794.29	743.43	1111.82	679.29	7695.57	967.76	1844.76	0.0
MOB3B	8.51	14.45	17.77	107.38	88.26	5.41	20.71	108.9	24.28	46.84	49.56	37.05	16.88	49.56	22.92	15.34	6.11	25.72	4.35	35.0	75.11	15.91	4.74	191.67	52.82	25.91	99.43	15.22	18.7	53.19	293.07	262.2	176.29	96.01	149.12	177.53	211.31	232.94	384.34	158.79	128.79	125.24	134.3	140.04	289.02	307.69	0.0
NPY2R	0.0	0.0	21.47	1.99	141.02	0.0	0.0	5.15	0.0	0.0	28.24	0.0	0.0	17.51	0.87	0.0	0.0	0.0	0.0	1.13	0.26	0.0	0.0	125.24	0.0	0.0	0.27	0.0	0.22	0.24	241.19	72.52	94.67	47.5	182.55	224.97	19.25	35.76	108.14	7.17	31.9	162.14	21.78	195.72	138.1	161.02	0.0
NRBF2	470.14	389.72	346.29	571.05	616.37	366.09	373.81	547.75	483.38	414.87	403.5	423.61	299.25	368.65	305.55	381.68	242.88	403.5	703.28	403.5	497.0	336.79	400.71	543.96	466.88	341.51	532.74	277.2	305.55	463.65	595.34	674.59	532.74	599.49	651.58	567.1	476.71	660.68	656.11	866.07	567.1	543.96	457.25	961.07	967.76	1081.39	0.0
NSG1	21.94	11.21	154.42	91.41	115.16	1.27	13.22	115.16	8.71	33.06	51.35	12.18	2.86	53.95	7.69	2.18	1.36	27.64	7.0	32.59	75.64	2.58	4.06	341.51	21.01	7.28	8.25	28.65	20.41	10.24	275.28	281.09	366.09	186.4	316.37	476.71	366.09	193.01	595.34	595.34	147.06	269.6	309.83	460.44	236.21	551.56	0.0
OLAH	0.0	5.45	0.0	1.28	8.51	0.0	0.0	1.99	0.0	2.14	0.0	1.81	0.0	1.89	6.52	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.39	11.64	1.71	0.0	3372.43	0.75	1.46	1.93	2.86	5.28	3.63	8.19	11.47	15.34	15.34	15.22	0.57	2.29	6.46	2.1	0.72	8.32	3.89	8.71	0.0
OR2L13	0.0	1.17	4.43	3.38	8.13	3.76	0.0	12.36	0.0	2.89	2.56	1.27	0.0	1.0	0.31	0.28	0.0	2.2	0.0	4.24	8.71	0.0	0.0	10.08	0.74	0.0	0.35	0.28	0.0	0.0	6.57	17.13	26.67	9.27	6.57	9.7	31.45	22.43	12.55	13.12	9.2	6.52	3.29	28.24	22.59	25.91	0.0
OTUD1	115.97	249.73	166.73	201.25	223.41	108.14	167.9	255.0	244.57	165.57	205.5	228.13	130.6	218.79	122.64	164.42	125.24	165.57	107.38	187.71	204.07	172.65	218.79	466.88	132.44	281.09	154.42	141.02	146.03	241.19	379.04	438.59	295.11	371.22	356.05	232.94	356.05	368.65	551.56	532.74	575.03	279.14	289.02	483.38	341.51	493.56	59.97
PACRG	3.69	6.52	86.43	24.28	37.05	0.0	3.06	34.26	7.46	9.27	13.03	2.92	2.53	26.1	2.71	0.31	1.62	11.91	6.67	24.46	16.63	1.93	1.75	70.01	9.13	3.69	7.51	5.32	11.55	32.59	76.17	70.01	53.57	23.25	48.87	42.71	65.26	60.39	129.69	133.36	46.84	34.02	70.51	82.87	83.45	77.25	0.0
PAK3	8.58	1.27	4.58	8.51	26.1	0.0	1.3	15.34	3.06	13.62	13.52	8.65	1.01	12.55	3.17	2.92	0.59	4.62	1.3	3.72	11.04	2.68	0.93	68.07	10.24	1.55	454.09	1.99	6.06	18.03	186.4	103.69	69.03	43.32	65.26	120.1	123.5	103.69	121.79	94.01	50.27	65.72	132.44	136.19	114.36	111.21	0.0
PAQR3	75.11	129.69	187.71	217.27	318.57	195.72	134.3	244.57	185.11	123.5	173.85	281.09	132.44	209.84	162.14	84.04	34.51	145.02	392.44	71.5	146.03	153.34	134.3	327.56	234.57	88.88	146.03	124.37	221.86	183.82	483.38	316.37	206.94	269.6	309.83	441.64	273.37	595.34	289.02	438.59	291.04	325.29	351.14	503.95	514.56	403.5	0.0
PCSK7	420.68	318.57	305.55	567.1	511.0	279.14	323.03	503.95	473.41	514.56	1167.14	450.94	525.39	395.18	642.59	503.95	409.15	403.5	629.35	490.14	753.83	733.19	432.53	1023.0	669.92	490.14	532.74	253.23	348.71	441.64	1167.14	1519.15	1073.91	1191.69	1208.34	2976.74	854.13	1159.07	1639.59	1745.2	1119.56	860.08	1457.23	1250.98	1350.18	1104.13	295.11
PDE1C	1.3	1.87	16.03	27.84	76.17	2.34	4.1	30.56	22.92	21.47	29.7	11.21	27.05	38.12	25.91	7.0	2.25	13.52	5.02	23.25	27.64	13.03	7.69	165.57	12.45	8.65	57.89	8.06	8.58	10.55	339.14	400.71	115.16	112.77	172.65	215.77	289.02	129.69	318.57	255.0	117.6	176.29	165.57	429.54	409.15	295.11	0.0
PDK4	50.98	1909.85	144.01	241.19	275.28	25.17	146.03	656.11	145.02	325.29	842.36	267.73	64.8	769.69	123.5	332.14	42.41	212.78	60.82	603.67	435.55	215.77	40.64	7331.05	118.43	2434.5	212.78	361.04	381.68	285.03	2895.31	4388.98	6840.04	3901.01	2537.92	2193.99	1806.78	2855.44	1407.55	1277.29	5255.91	2627.46	1561.89	9740.98	3665.02	6840.04	0.0
PER2	154.42	182.55	131.51	287.01	205.5	264.03	110.43	277.2	198.47	346.29	291.04	224.97	260.38	183.82	198.47	187.71	139.07	293.07	351.14	143.01	194.36	202.66	136.19	620.67	172.65	279.14	426.57	73.03	202.66	267.73	679.29	651.58	511.0	301.33	251.48	1001.93	412.0	1277.29	647.07	1096.5	420.68	423.61	591.22	503.95	728.11	708.18	27.44
PHKG1	3.92	14.67	12.64	26.47	24.28	5.5	8.25	33.78	9.06	9.34	73.03	19.68	7.22	26.28	22.92	27.05	5.41	4.03	14.67	7.06	13.93	25.91	5.19	19.39	24.11	73.03	37.59	21.63	3.11	6.84	55.1	110.43	118.43	87.03	50.98	63.89	66.65	59.13	77.79	229.72	77.25	26.1	251.48	151.22	138.1	57.89	0.0
PKD2	50.27	98.73	82.87	432.53	279.14	11.04	96.01	277.2	208.38	193.01	279.14	144.01	136.19	351.14	190.34	111.99	14.78	120.1	32.36	249.73	348.71	191.67	68.55	497.0	287.01	114.36	441.64	96.01	127.89	237.86	825.0	587.13	620.67	583.07	466.88	660.68	493.56	753.83	638.15	1051.79	312.0	500.46	432.53	665.29	595.34	647.07	0.0
PLD1	84.04	63.0	27.25	217.27	159.9	87.03	312.0	132.44	279.14	133.36	99.43	88.88	73.03	148.09	102.25	98.04	53.19	90.14	82.87	187.71	149.12	130.6	35.5	209.84	242.88	135.24	236.21	119.26	71.0	133.36	320.8	423.61	409.15	273.37	289.02	332.14	348.71	387.02	540.19	764.36	232.94	368.65	400.71	1127.35	1081.39	620.67	0.0
PPP1R17	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.37	2.36	0.0	0.0	0.0	2.63	0.36	0.72	1.08	0.73	0.34	0.33	1.43	2.14	1.23	2.48	0.95	0.6	1.62	1.46	0.0	0.0
PROS1	36.27	133.36	159.9	432.53	438.59	114.36	74.06	414.87	229.72	260.38	409.15	108.9	115.97	301.33	269.6	104.42	24.11	137.14	89.51	231.32	346.29	151.22	76.71	988.12	155.5	173.85	199.85	108.14	150.17	228.13	1519.15	1508.65	848.22	947.83	1044.52	1008.9	547.75	1427.22	1233.75	616.37	447.82	1208.34	336.79	1044.52	358.54	796.86	0.0
PTGFR	0.0	11.38	7.94	4.74	27.64	0.32	3.86	35.25	3.79	9.41	48.18	3.44	2.03	30.78	23.93	4.58	0.34	6.01	4.5	6.78	26.28	14.89	0.97	16.39	9.56	20.11	14.03	2.68	8.78	4.39	201.25	287.01	167.9	108.14	194.36	122.64	20.26	248.0	384.34	53.57	124.37	295.11	47.17	466.88	141.02	199.85	17.0
RAVER2	35.25	148.09	129.69	215.77	135.24	90.14	133.36	147.06	104.42	138.1	104.42	119.26	61.25	131.51	151.22	102.97	49.56	130.6	73.03	159.9	114.36	82.87	24.63	194.36	33.54	368.65	88.88	191.67	209.84	187.71	234.57	295.11	246.28	189.02	212.78	320.8	316.37	275.28	567.1	287.01	237.86	325.29	291.04	476.71	441.64	395.18	0.0
RBMS3	17.64	34.75	43.94	162.14	89.51	5.5	24.81	118.43	73.03	105.89	108.14	43.94	37.05	67.12	88.26	36.01	4.5	36.01	21.63	37.59	123.5	68.55	11.21	169.07	91.41	69.52	187.71	33.3	29.27	70.51	341.51	316.37	329.84	325.29	229.72	191.67	164.42	381.68	186.4	195.72	764.36	753.83	325.29	684.02	759.08	368.65	15.22
RGL1	143.01	189.02	72.01	301.33	175.07	20.26	80.57	264.03	164.42	148.09	244.57	211.31	110.43	159.9	177.53	100.13	18.16	71.0	31.22	137.14	297.17	159.9	82.29	332.14	289.02	111.21	555.41	52.08	111.21	132.44	656.11	591.22	454.09	559.28	480.04	379.04	334.46	748.61	567.1	441.64	323.03	563.18	281.09	660.68	332.14	1199.98	0.0
RGR	0.0	0.36	0.0	1.6	0.0	0.0	0.0	7.06	0.0	6.36	2.32	1.06	0.0	3.23	0.75	0.0	0.0	1.38	2.27	4.06	1.16	0.0	0.0	5.54	0.0	0.0	0.44	0.0	0.0	0.4	4.28	0.85	4.62	4.58	5.82	10.55	8.58	1.93	6.11	9.63	16.75	2.78	24.11	18.43	9.56	7.75	0.0
RP11-863K10.7	0.0	3.32	1.77	1.87	3.69	1.5	1.83	2.16	2.94	1.93	4.82	2.27	2.56	2.39	2.03	3.47	2.18	2.89	5.59	2.94	1.43	3.92	2.92	6.11	0.75	10.96	3.82	1.25	1.95	2.43	14.78	22.92	13.93	28.86	8.13	12.27	6.16	11.82	7.11	10.31	6.31	12.83	10.39	18.84	8.45	21.63	0.0
RSPO3	25.35	26.1	20.86	70.51	109.66	0.6	37.05	63.45	30.56	31.0	69.03	21.01	19.82	35.25	32.36	21.78	1.51	19.68	14.78	616.37	88.88	42.71	7.75	88.88	102.97	30.78	34.75	42.41	33.06	39.22	743.43	470.14	563.18	194.36	500.46	244.57	151.22	463.65	1508.65	187.71	139.07	444.72	327.56	656.11	361.04	551.56	0.0
SCGB2A2	881742.8	964885.69	736332.6	762299.34	1800541.22	320506.81	978355.0	668235.84	938500.81	1318073.06	875652.15	919186.72	1163466.92	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	783730.52	1600397.78	353168.2	397335.0	1524599.69	8805660.77	1345768.59	894051.48	1578364.61	1187913.85	82378.63	64186.29	284880.02	90146.51	101420.22	110983.6	127486.83	104996.83	114897.47	531605.79	573724.06	1442359.14	1019901.63	641014.63	136637.07	731246.37	0.0
SCN5A	2.23	0.0	1.53	11.38	3.0	0.28	0.0	3.32	0.69	1.01	1.51	1.68	0.35	3.5	1.07	3.82	0.0	0.67	0.34	1.01	6.21	0.0	1.51	7.22	0.82	3.03	0.41	1.64	0.69	0.73	12.09	6.89	16.27	17.9	6.84	47.17	11.3	14.14	4.31	24.81	7.06	7.94	12.83	25.72	16.15	16.03	0.0
SEMA3D	1.51	2.63	4.9	119.26	27.84	0.0	3.89	8.32	24.99	30.56	38.67	15.34	13.42	20.56	8.25	4.28	0.54	8.65	1.2	10.39	66.18	5.36	5.96	52.45	62.56	2.53	33.54	3.41	9.48	38.4	414.87	208.38	122.64	115.97	132.44	151.22	91.41	226.54	260.38	121.79	103.69	368.65	49.91	341.51	202.66	176.29	0.0
SFRP1	28.04	170.25	688.78	1127.35	1936.53	4.58	59.13	1127.35	23.42	507.46	785.88	327.56	33.3	1250.98	154.42	47.84	8.0	135.24	16.51	896.64	915.51	31.45	10.63	4328.55	102.97	193.01	2555.58	209.84	209.84	100.83	12764.83	6381.92	6935.54	3303.0	8963.45	10959.3	14971.21	10733.74	64632.75	35609.13	8421.31	1819.35	16960.78	18560.17	27363.16	44761.41	0.0
SGCZ	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	1.48	0.79	0.0	0.0	0.0	1.0	0.0	12.0	1.87	0.0	0.33	2.61	2.48	2.43	3.99	1.45	1.83	3.82	1.2	2.27	7.57	0.0	4.21	0.0
SH3D19	76.17	277.2	258.57	954.43	423.61	157.68	209.84	536.45	529.06	674.59	555.41	536.45	285.03	555.41	417.77	289.02	124.37	361.04	131.51	397.93	647.07	432.53	371.22	934.76	329.84	551.56	579.04	260.38	193.01	543.96	2075.59	1617.0	1508.65	2720.15	1119.56	1378.57	1001.93	2018.8	1286.18	1119.56	1216.75	1508.65	1250.98	3794.3	1023.0	1551.09	358.54
SLAIN1	43.63	7.11	21.78	21.47	94.67	3.96	17.0	49.21	8.38	18.84	38.95	21.47	9.7	348.71	6.01	5.54	0.36	10.08	10.31	79.45	31.0	68.07	0.0	236.21	115.97	14.89	146.03	10.0	7.69	5.77	214.27	211.31	156.59	158.79	180.02	299.25	228.13	163.28	796.86	373.81	297.17	226.54	423.61	536.45	444.72	223.41	0.0
SLC2A9	90.77	64.34	81.14	204.07	182.55	108.14	60.39	141.02	133.36	85.82	96.01	201.25	107.38	138.1	69.52	36.79	84.63	115.16	56.28	112.77	167.9	80.57	69.52	211.31	131.51	55.1	915.51	118.43	169.07	113.56	175.07	262.2	145.02	189.02	205.5	316.37	339.14	146.03	201.25	224.97	142.01	93.35	191.67	293.07	182.55	264.03	0.0
SPRY2	34.26	140.04	85.82	262.2	217.27	36.53	90.14	275.28	125.24	147.06	307.69	83.45	74.06	414.87	120.94	84.63	31.22	97.36	37.32	146.03	269.6	108.14	81.71	921.88	242.88	234.57	414.87	59.97	293.07	100.13	1135.2	1721.16	1832.01	961.07	1233.75	872.1	1111.82	769.69	3665.02	1111.82	1977.24	1096.5	8658.09	1651.0	1572.76	2701.35	0.0
ST8SIA1	12.64	10.79	27.64	70.51	110.43	3.41	33.78	53.19	32.82	26.1	91.41	40.36	31.0	60.82	31.67	12.18	1.73	18.29	23.76	25.17	112.77	43.02	34.26	74.06	77.25	14.78	223.41	16.75	18.56	38.95	376.41	536.45	249.73	152.28	224.97	297.17	285.03	273.37	575.03	246.28	208.38	141.02	277.2	679.29	476.71	476.71	0.0
TCEAL2	0.0	2.25	28.45	28.24	88.88	0.0	2.29	83.45	1.08	4.43	24.63	20.56	0.0	173.85	4.98	0.0	0.92	11.21	2.63	21.47	18.03	0.74	0.0	41.81	4.86	0.84	22.75	4.98	4.78	50.98	197.09	82.87	157.68	57.08	147.06	191.67	101.54	88.88	244.57	503.95	120.94	120.94	279.14	237.86	759.08	117.6	0.0
TCEAL7	24.81	63.89	46.84	122.64	89.51	2.18	12.45	173.85	45.21	58.71	116.78	43.63	26.1	70.51	69.03	23.42	12.74	51.35	12.18	43.94	112.77	42.11	17.77	262.2	39.5	20.26	41.52	27.64	29.7	139.07	320.8	447.82	373.81	228.13	358.54	435.55	301.33	371.22	607.87	279.14	423.61	366.09	293.07	679.29	514.56	381.68	0.0
TCN2	226.54	253.23	135.24	435.55	521.76	307.69	543.96	674.59	293.07	181.28	567.1	503.95	460.44	363.56	351.14	65.26	620.67	279.14	126.12	214.27	384.34	656.11	131.51	656.11	669.92	559.28	351.14	283.05	444.72	232.94	642.59	624.99	748.61	1540.37	1096.5	909.17	525.39	796.86	309.83	1088.92	884.29	1135.2	423.61	1674.06	748.61	1781.89	0.0
TDRD6	1.38	3.53	1.62	11.73	31.22	7.11	8.32	4.21	4.86	4.46	14.35	3.47	0.4	3.29	0.79	5.92	1.22	2.41	2.34	2.12	5.68	1.43	0.69	17.13	3.69	2.41	14.56	1.07	1.79	2.27	20.71	22.43	11.55	8.45	63.0	20.41	32.59	14.24	48.87	19.11	40.93	5.63	17.38	37.32	34.75	8.45	0.0
TFCP2L1	46.5	69.03	14.45	52.08	26.86	81.71	2.29	122.64	75.64	17.51	28.86	20.11	37.85	138.1	195.72	18.29	26.86	17.64	6.52	129.69	13.32	7.57	23.59	420.68	22.1	5.5	98.04	7.06	6.94	42.41	579.04	138.1	154.42	111.99	170.25	371.22	269.6	329.84	277.2	679.29	236.21	42.71	351.14	500.46	121.79	318.57	0.0
TMEM108	31.67	5.63	14.14	96.01	30.78	67.59	8.25	22.43	7.82	13.22	100.13	13.32	45.85	17.38	20.26	10.63	5.68	34.75	45.53	16.88	76.17	19.39	7.57	85.82	94.67	6.57	9.06	94.67	67.12	23.76	74.58	51.71	33.78	44.89	51.35	54.33	58.3	48.87	76.17	162.14	130.6	164.42	161.02	150.17	138.1	221.86	0.0
TMEM117	33.78	38.67	59.97	136.19	143.01	73.54	46.18	88.88	80.57	82.29	66.65	81.14	26.86	45.85	55.89	72.01	24.46	43.94	100.13	81.71	109.66	35.76	17.13	100.83	59.13	65.26	121.79	115.97	68.07	126.12	120.94	134.3	137.14	93.35	118.43	108.14	94.67	173.85	186.4	111.21	193.01	96.01	123.5	279.14	101.54	198.47	0.0
TMEM255A	25.17	11.21	24.63	70.01	84.04	6.46	37.32	90.14	29.48	31.45	40.64	12.83	4.39	25.72	6.01	15.34	1.33	28.86	22.1	4.17	69.03	14.67	7.17	142.01	26.1	12.36	59.55	21.78	24.11	28.04	237.86	183.82	212.78	98.73	206.94	167.9	137.14	320.8	387.02	118.43	237.86	126.12	127.0	363.56	248.0	241.19	0.0
TRIM2	36.53	37.32	69.03	220.32	285.03	30.56	26.1	186.4	46.18	109.66	153.34	90.14	69.03	135.24	285.03	91.41	5.77	39.79	145.02	114.36	218.79	43.94	19.25	318.57	231.32	264.03	1104.13	24.63	53.95	57.08	1037.29	961.07	466.88	353.59	579.04	748.61	921.88	830.75	1127.35	1286.18	819.3	228.13	503.95	1340.84	1051.79	872.1	309.83
TSHZ2	15.0	17.77	17.51	115.16	82.87	0.85	12.36	119.26	27.25	55.1	90.14	23.59	10.96	77.79	30.34	17.25	1.19	32.13	11.82	52.08	81.71	33.78	5.15	373.81	45.53	44.89	438.59	15.34	27.84	22.59	493.56	283.05	260.38	244.57	281.09	339.14	318.57	283.05	612.11	651.58	150.17	218.79	454.09	312.0	334.46	703.28	0.0
TSPAN19	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	3.41	0.0	0.0	0.0	0.0	1.13	9.48	0.38	1.1	3.38	2.14	2.81	7.28	7.88	8.32	1.03	2.63	1.58	3.44	3.69	6.31	0.0
UBE2E3	981.29	1388.16	332.14	1551.09	819.3	82.29	223.41	802.41	547.75	435.55	1295.13	397.93	275.28	872.1	579.04	395.18	86.43	305.55	703.28	612.11	1605.83	389.72	1639.59	1685.71	1175.27	555.41	2047.0	583.07	242.88	928.3	2075.59	2835.7	1883.54	1857.6	1806.78	2047.0	1844.76	3257.52	1199.98	2777.33	961.07	1605.83	1135.2	5076.84	616.37	4736.79	0.0
WIPF3	12.83	74.58	16.03	85.82	43.63	2.66	19.39	51.35	73.54	9.93	34.02	22.43	12.27	21.16	9.06	107.38	4.24	22.43	23.93	44.89	42.11	22.75	15.34	94.67	32.59	40.93	117.6	13.42	22.59	21.32	102.97	92.05	91.41	64.8	111.21	126.12	87.65	161.02	109.66	199.85	162.14	39.22	98.73	166.73	211.31	156.59	1.46
XPNPEP2	0.0	8.06	0.66	17.77	6.06	19.82	4.46	3.03	2.76	5.06	23.93	3.41	1.69	28.45	7.06	6.78	0.6	2.03	2.58	7.4	19.39	18.16	0.95	44.25	2.05	6.52	15.56	2.66	6.11	6.46	40.93	55.1	72.01	123.5	71.5	26.67	19.82	67.12	10.31	17.25	62.56	43.94	19.68	180.02	22.75	70.01	0.0
