	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.12WSG.0826.SM.5EQ5A	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.13O3P.1026.SM.5N9E7	GTEX.148VJ.0826.SM.5LU8V	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.P4QS.2626.SM.2I3EV	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX	TCGA.A5.A3LP.01A.11R.A22K.07
GCH1	186.4	260.38	351.14	323.03	854.13	271.48	164.42	486.75	343.89	429.54	190.34	896.64	316.37	244.57	518.15	532.74	480.04	190.34	341.51	92.7	232.94	947.83	723.08	518.15	142.01	100.13	638.15	414.87	547.75	483.38	507.46	447.82	327.56	137.14	651.58	693.58	339.14	507.46	426.57	483.38	543.96	536.45	511.0	595.34	258.57	555.41	301.33	620.67	503.95	44.89	84.04	37.59	551.56	351.14	400.71	595.34	356.05	460.44	303.44	733.19	620.67	860.08	521.76	320.8	341.51	363.56	228.13	830.75	42.41	100.13	85.22	152.28	116.78	48.52	88.88	67.12	63.89	63.45	40.93	44.57	78.34	68.55	99.43	49.91	56.28	76.17	70.51	43.63	56.68	48.52	61.25	45.21	81.71	61.25	75.11	45.85	57.89	48.52	100.13	156.59
GLS	279.14	332.14	5751.61	4607.24	5219.6	3794.3	3395.89	5479.15	4328.55	5112.16	1806.78	18560.17	4481.23	4512.4	5255.91	10733.74	5954.47	3060.45	4836.35	2701.35	2061.24	7911.95	8134.41	5219.6	3081.75	4328.55	6561.36	5913.33	5633.22	7803.01	6561.36	7433.4	5255.91	2075.59	8134.41	10440.2	6840.04	7382.04	6121.9	6250.56	6250.56	7857.29	5831.91	7280.4	5329.3	7280.4	4903.87	6699.25	6337.83	1605.83	2434.5	2004.85	3820.7	4419.52	5672.41	8778.97	4388.98	5872.48	4704.07	8191.0	7589.61	8598.28	4671.57	5076.84	6294.04	7695.57	825.0	1617.0	753.83	620.67	1277.29	743.43	884.29	915.51	1388.16	825.0	1417.35	878.17	961.07	848.22	995.0	1350.18	638.15	995.0	1066.48	902.89	878.17	1051.79	1159.07	1001.93	603.67	780.44	967.76	1015.93	1066.48	684.02	921.88	551.56	872.1	587.13
GPX3	135693.24	2796.65	353168.2	239554.43	783730.52	40904.3	29327.18	391864.76	191899.64	394590.4	20170.07	417089.23	327241.36	305326.92	299043.36	215898.44	378516.38	105727.15	355624.68	265802.39	492579.5	736332.6	434801.29	334117.42	19892.37	9673.69	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	16843.62	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	11992.79	400098.69	383800.28	389157.95	472513.8	2335.28	6699.25	22072.07	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	129266.49	120609.84	218912.29	134755.94	194578.47	171754.88	244588.0	324980.94	200048.85	215898.44	546551.29	499455.67	419990.32	405683.88	246289.25	182810.84	279017.26	290865.98	338781.54	284880.02	320506.81	263966.36	275175.93	313910.86	122293.5	211455.3	269512.87	428815.23	284880.02	513497.31	301123.38	251464.33	215898.44	184082.4
HADH	890.44	1208.34	3665.02	4152.18	8305.36	3124.78	1977.24	3614.55	3419.52	6426.31	1950.0	8078.22	3325.99	2240.11	3280.18	7130.55	3124.78	1991.0	2701.35	1628.26	3820.7	8022.41	5441.3	3124.78	1757.34	1991.0	3190.46	3847.29	4388.98	6250.56	4639.29	6294.04	4836.35	2451.44	7382.04	5831.91	3982.99	3982.99	4328.55	4298.64	4869.99	6935.54	4450.27	4210.15	1757.34	5041.77	2645.74	4639.29	4268.94	909.17	860.08	934.76	4038.61	4066.71	4123.49	6471.02	4210.15	4328.55	3419.52	5441.3	5913.33	4869.99	4607.24	4095.0	5479.15	5954.47	529.06	351.14	915.51	1167.14	967.76	1378.57	1151.06	1233.75	1437.15	896.64	836.53	1378.57	1037.29	1119.56	1183.45	1104.13	1104.13	1313.23	1001.93	1467.37	753.83	1081.39	1340.84	1135.2	981.29	1073.91	1081.39	764.36	1208.34	848.22	1096.5	866.07	1199.98	780.44
LRRC28	291.04	180.02	688.78	825.0	1233.75	651.58	642.59	802.41	713.11	890.44	571.05	1167.14	490.14	759.08	532.74	1709.26	595.34	813.63	603.67	387.02	928.3	1015.93	854.13	688.78	583.07	521.76	842.36	733.19	660.68	921.88	825.0	785.88	723.08	713.11	941.27	988.12	791.35	802.41	748.61	728.11	796.86	1111.82	836.53	909.17	583.07	769.69	591.22	878.17	753.83	170.25	226.54	253.23	733.19	733.19	708.18	941.27	708.18	748.61	780.44	813.63	934.76	974.5	825.0	616.37	884.29	902.89	329.84	236.21	503.95	395.18	361.04	197.09	361.04	336.79	435.55	295.11	341.51	348.71	363.56	334.46	279.14	201.25	336.79	348.71	366.09	339.14	251.48	264.03	305.55	316.37	348.71	255.0	239.52	339.14	307.69	277.2	236.21	253.23	249.73	202.66
MSRA	147.06	133.36	2956.17	3146.52	4704.07	1286.18	656.11	3614.55	3235.01	3716.2	470.14	8078.22	1745.2	2075.59	2119.22	5711.87	1857.6	909.17	1806.78	679.29	708.18	6037.61	4972.34	2816.11	432.53	323.03	3039.3	2976.74	3235.01	4388.98	3690.52	4210.15	3847.29	536.45	5441.3	4671.57	4450.27	4010.71	3614.55	3349.13	3515.68	5112.16	4010.71	3103.19	438.59	4639.29	1757.34	2627.46	3794.3	293.07	417.77	305.55	3018.3	3443.31	3820.7	6745.86	4123.49	3467.27	3257.52	5555.65	5441.3	5219.6	3768.09	3103.19	5403.7	5076.84	165.57	279.14	389.72	371.22	392.44	429.54	392.44	366.09	361.04	312.0	281.09	309.83	249.73	297.17	279.14	283.05	314.17	299.25	287.01	379.04	312.0	368.65	463.65	293.07	493.56	314.17	348.71	277.2	341.51	237.86	279.14	395.18	387.02	228.13
MTTP	2.03	3.35	212.78	111.99	414.87	40.07	37.85	175.07	100.13	182.55	28.24	221.86	124.37	186.4	414.87	201.25	336.79	24.81	120.1	27.64	24.46	414.87	226.54	131.51	14.03	37.32	170.25	112.77	139.07	435.55	229.72	228.13	202.66	31.0	329.84	438.59	195.72	255.0	157.68	170.25	190.34	392.44	307.69	226.54	25.17	153.34	162.14	264.03	314.17	0.32	1.19	8.38	118.43	273.37	185.11	289.02	145.02	307.69	171.45	400.71	363.56	480.04	177.53	198.47	223.41	307.69	0.65	1.75	2.1	0.06	1.99	0.09	1.77	1.95	5.54	2.86	5.45	0.0	0.97	5.45	1.85	13.72	1.38	8.85	1.41	3.23	6.46	0.0	3.66	0.0	0.96	5.96	2.27	1.46	0.0	2.36	8.06	9.34	5.54	0.92
OR2T10	0.0	0.0	127.0	91.41	68.07	19.39	2.68	69.03	25.72	77.25	5.68	0.0	138.1	12.45	6.62	96.01	249.73	4.78	40.64	0.0	110.43	297.17	43.94	2.84	5.63	2.34	19.11	68.55	241.19	156.59	101.54	117.6	108.9	8.99	83.45	113.56	92.05	110.43	84.63	231.32	80.01	215.77	53.95	31.22	2.34	31.22	70.01	79.45	76.71	4.21	11.3	1.45	29.7	81.14	65.72	158.79	96.01	63.89	36.53	69.03	22.1	67.12	59.13	62.56	119.26	165.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK1	74.06	70.51	759.08	909.17	1295.13	536.45	633.73	713.11	780.44	693.58	532.74	3280.18	679.29	470.14	708.18	2303.12	1037.29	236.21	575.03	460.44	249.73	1322.37	1909.85	764.36	444.72	718.08	713.11	854.13	616.37	954.43	1225.22	1167.14	1044.52	743.43	1096.5	981.29	1119.56	1015.93	1073.91	934.76	842.36	1233.75	967.76	896.64	435.55	2090.03	406.31	743.43	909.17	120.94	137.14	177.53	791.35	909.17	559.28	1096.5	1030.12	1015.93	665.29	884.29	1119.56	947.83	684.02	476.71	909.17	961.07	57.08	21.32	130.6	154.42	171.45	141.02	232.94	267.73	327.56	182.55	144.01	295.11	373.81	167.9	244.57	336.79	178.77	158.79	181.28	201.25	228.13	307.69	142.01	297.17	177.53	218.79	175.07	212.78	318.57	224.97	348.71	159.9	248.0	98.73
RNF152	28.04	43.94	1008.9	813.63	896.64	476.71	387.02	1088.92	743.43	693.58	343.89	3589.58	896.64	775.05	3665.02	1769.57	2004.85	532.74	624.99	403.5	183.82	1963.57	3325.99	1259.69	215.77	299.25	1721.16	1104.13	1313.23	1745.2	1583.71	1685.71	1605.83	234.57	1733.13	2224.63	1639.59	1447.15	1950.0	1369.04	1151.06	1457.23	1870.53	1167.14	371.22	1769.57	808.0	1259.69	1757.34	27.84	15.22	5.41	693.58	1340.84	1268.46	1794.29	1508.65	1350.18	1583.71	2018.8	2119.22	1936.53	1437.15	1242.34	1617.0	1628.26	87.65	217.27	66.18	45.85	108.14	52.08	57.89	106.63	178.77	74.58	27.44	38.12	34.02	61.25	53.57	60.82	140.04	74.06	57.08	52.08	69.03	60.82	25.54	55.1	90.14	73.03	23.25	54.33	83.45	44.25	24.99	22.43	161.02	31.9
RP11-536G4.1	3.35	0.0	34.75	46.5	339.14	54.72	39.22	52.45	80.01	61.68	19.82	45.85	0.0	0.0	27.44	85.22	24.81	0.0	0.0	0.0	0.0	73.03	87.03	18.97	8.92	34.26	7.51	28.04	23.93	42.41	86.43	28.65	88.88	39.5	146.03	38.67	59.13	43.32	63.0	65.72	32.82	48.87	63.45	14.78	29.27	11.04	9.78	47.84	22.92	0.0	0.0	2.63	75.64	69.52	56.28	16.51	50.27	53.19	8.25	25.17	127.89	46.84	22.92	6.62	58.71	38.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	3.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RTCA	723.08	295.11	665.29	728.11	830.75	551.56	432.53	660.68	629.35	836.53	426.57	1551.09	575.03	599.49	813.63	947.83	896.64	567.1	567.1	693.58	438.59	934.76	909.17	759.08	389.72	444.72	802.41	813.63	808.0	947.83	848.22	1143.1	769.69	389.72	1059.11	1167.14	753.83	679.29	830.75	813.63	713.11	896.64	733.19	791.35	371.22	819.3	638.15	819.3	785.88	332.14	432.53	327.56	769.69	638.15	796.86	1096.5	665.29	738.29	656.11	1008.9	1008.9	872.1	693.58	733.19	656.11	848.22	368.65	397.93	454.09	571.05	435.55	536.45	387.02	316.37	540.19	366.09	414.87	450.94	423.61	470.14	435.55	470.14	392.44	429.54	518.15	387.02	420.68	389.72	457.25	389.72	392.44	423.61	312.0	368.65	373.81	397.93	435.55	387.02	334.46	915.51
SAMD5	9.48	6.73	139.07	120.1	102.25	87.65	77.25	212.78	96.68	111.99	57.49	138.1	237.86	444.72	500.46	199.85	329.84	218.79	759.08	73.03	40.93	285.03	285.03	244.57	85.22	80.01	226.54	154.42	232.94	164.42	156.59	167.9	154.42	78.89	181.28	271.48	181.28	172.65	164.42	264.03	173.85	185.11	190.34	111.21	106.63	154.42	166.73	193.01	256.78	8.65	10.71	68.07	88.26	103.69	138.1	221.86	82.87	177.53	118.43	159.9	201.25	329.84	154.42	157.68	136.19	139.07	76.17	47.5	58.3	125.24	54.72	8.38	9.93	59.13	48.18	35.0	6.16	21.94	15.68	59.13	86.43	68.55	39.22	22.92	53.19	35.25	22.92	21.32	63.89	36.01	14.03	23.76	8.78	22.26	34.75	13.03	4.74	11.64	7.69	486.75
SERPINI1	63.0	87.03	480.04	406.31	503.95	412.0	366.09	532.74	466.88	718.08	361.04	2451.44	426.57	603.67	332.14	521.76	733.19	346.29	1167.14	100.13	387.02	981.29	583.07	579.04	279.14	343.89	514.56	514.56	463.65	1059.11	698.41	591.22	493.56	316.37	981.29	848.22	551.56	518.15	473.41	607.87	500.46	878.17	656.11	1167.14	277.2	395.18	909.17	785.88	532.74	88.88	89.51	68.07	490.14	423.61	854.13	1183.45	420.68	603.67	493.56	802.41	708.18	733.19	559.28	493.56	532.74	759.08	19.25	20.41	139.07	117.6	249.73	249.73	253.23	166.73	323.03	113.56	139.07	239.52	173.85	234.57	211.31	119.26	363.56	129.69	332.14	384.34	97.36	158.79	318.57	195.72	129.69	211.31	332.14	124.37	170.25	137.14	194.36	122.64	105.89	172.65
SFXN2	283.05	162.14	1407.55	1709.26	2915.45	902.89	599.49	1183.45	1583.71	2367.9	341.51	3928.15	872.1	967.76	1369.04	2384.37	1151.06	397.93	1044.52	281.09	253.23	2303.12	3491.39	1794.29	423.61	299.25	1417.35	1159.07	974.5	2664.15	2417.67	2451.44	2520.38	525.39	3303.0	2148.82	2240.11	1561.89	1991.0	1233.75	2895.31	3280.18	2555.58	1151.06	473.41	1896.65	1066.48	1769.57	2875.3	180.02	88.88	190.34	1199.98	2119.22	2434.5	3212.66	1199.98	2520.38	1857.6	3081.75	3589.58	3395.89	1870.53	1991.0	3212.66	3982.99	139.07	47.5	156.59	301.33	441.64	366.09	486.75	579.04	329.84	384.34	361.04	480.04	389.72	483.38	297.17	412.0	379.04	703.28	251.48	258.57	466.88	490.14	450.94	540.19	540.19	392.44	603.67	275.28	397.93	660.68	547.75	555.41	529.06	114.36
SH3YL1	2835.7	981.29	3847.29	1662.49	8901.53	2875.3	1844.76	3103.19	2502.97	5403.7	1268.46	15180.22	1697.45	1896.65	1977.24	9025.81	3060.45	1417.35	2075.59	511.0	514.56	6381.92	6607.01	3614.55	2240.11	1896.65	4512.4	4388.98	3540.14	3081.75	4298.64	3665.02	4123.49	1745.2	5555.65	5751.61	2591.27	2796.65	2682.69	3060.45	3847.29	5711.87	2720.15	4268.94	1685.71	3325.99	2720.15	3515.68	2739.08	830.75	529.06	536.45	3325.99	2468.49	4181.07	6840.04	2956.17	4095.0	2240.11	1819.35	7911.95	5147.73	2816.11	3103.19	3901.01	3018.3	616.37	796.86	2163.77	1388.16	1119.56	1208.34	748.61	1225.22	2351.53	967.76	1674.06	1806.78	2303.12	2004.85	1350.18	1175.27	1529.73	1963.57	1639.59	1651.0	1119.56	896.64	1477.58	884.29	941.27	1350.18	1015.93	1407.55	1697.45	1583.71	1529.73	981.29	902.89	642.59
STAC	2.41	4.74	69.52	78.89	68.07	73.03	31.67	58.71	57.08	74.58	45.85	120.1	13.93	48.52	108.9	376.41	40.93	70.51	56.28	232.94	9.27	84.63	102.97	82.29	40.07	73.54	95.34	92.7	74.58	54.33	73.54	72.52	71.0	27.25	48.52	67.12	75.11	67.12	75.64	82.87	77.79	55.49	84.63	43.32	21.94	73.03	65.26	110.43	72.01	2.71	8.25	2.12	50.63	85.22	59.55	67.12	54.33	99.43	74.58	48.18	47.84	84.63	77.25	55.89	50.98	81.14	76.71	66.65	7.4	6.26	100.13	10.71	7.34	4.43	19.25	6.94	12.09	49.56	4.21	4.9	4.46	34.75	13.52	23.93	19.53	39.22	3.26	2.16	13.22	5.87	16.75	3.72	37.05	9.85	2.56	5.77	2.34	8.51	0.78	5.45
SUCLG2	454.09	947.83	3212.66	2502.97	4268.94	2193.99	1467.37	2915.45	2875.3	3395.89	1617.0	8963.45	2777.33	2148.82	2796.65	6516.03	2645.74	2119.22	2875.3	1639.59	796.86	3589.58	4152.18	2573.36	1870.53	2335.28	2816.11	2976.74	2609.3	3515.68	3639.7	3639.7	3081.75	2835.7	4152.18	4481.23	3742.05	3742.05	3103.19	3039.3	2976.74	3491.39	3372.43	3443.31	2104.58	3955.48	2682.69	3349.13	2573.36	1088.92	1331.57	884.29	2555.58	2739.08	3060.45	4419.52	2796.65	3349.13	2855.44	3874.05	2935.74	4328.55	2895.31	2400.97	3081.75	3690.52	603.67	612.11	1051.79	1286.18	813.63	1909.85	836.53	1023.0	1572.76	854.13	947.83	967.76	860.08	860.08	1015.93	738.29	878.17	1023.0	896.64	1151.06	775.05	1175.27	1242.34	928.3	808.0	647.07	884.29	743.43	1008.9	723.08	1030.12	796.86	1183.45	785.88
TFB2M	244.57	214.27	450.94	500.46	733.19	525.39	341.51	457.25	414.87	620.67	417.77	902.89	414.87	305.55	457.25	759.08	500.46	239.52	420.68	267.73	343.89	567.1	511.0	454.09	295.11	339.14	371.22	395.18	441.64	511.0	497.0	551.56	521.76	417.77	665.29	753.83	457.25	507.46	457.25	435.55	497.0	656.11	476.71	514.56	305.55	450.94	460.44	473.41	432.53	157.68	231.32	141.02	518.15	432.53	426.57	579.04	417.77	450.94	366.09	525.39	518.15	583.07	447.82	435.55	426.57	473.41	118.43	104.42	379.04	237.86	255.0	256.78	279.14	361.04	361.04	297.17	285.03	329.84	318.57	267.73	351.14	368.65	208.38	336.79	271.48	343.89	312.0	412.0	521.76	381.68	325.29	299.25	346.29	356.05	412.0	246.28	417.77	283.05	376.41	368.65
TMEM174	0.0	0.0	3303.0	2758.13	6164.49	470.14	262.2	3212.66	2271.4	3419.52	157.68	4836.35	373.81	1277.29	5329.3	5872.48	4704.07	169.07	387.02	72.52	201.25	3614.55	3847.29	2018.8	81.71	69.52	2400.97	2434.5	1594.73	6337.83	4268.94	4358.66	4152.18	170.25	4736.79	5366.37	3212.66	4123.49	2935.74	2875.3	4328.55	6337.83	4095.0	3124.78	50.27	3280.18	1540.37	3564.78	3212.66	9.48	38.4	24.28	2287.2	3467.27	3690.52	5954.47	3372.43	5183.54	3212.66	5255.91	6079.61	7966.99	3419.52	2434.5	5831.91	6516.03	0.0	0.0	4.24	0.0	2.73	0.0	4.35	5.45	6.94	3.26	4.21	7.11	8.38	0.0	8.71	3.72	3.63	5.63	10.08	11.04	2.94	1.95	2.89	8.19	0.0	1.87	2.58	10.79	4.66	8.32	2.61	3.53	4.28	0.0
TMEM206	358.54	112.77	318.57	260.38	518.15	172.65	191.67	295.11	255.0	403.5	215.77	343.89	334.46	166.73	514.56	161.02	303.44	109.66	329.84	94.67	163.28	693.58	420.68	217.27	139.07	171.45	206.94	211.31	353.59	503.95	392.44	457.25	275.28	189.02	435.55	551.56	287.01	351.14	209.84	138.1	392.44	551.56	392.44	395.18	172.65	400.71	264.03	339.14	366.09	77.79	129.69	72.01	277.2	325.29	438.59	603.67	255.0	457.25	314.17	633.73	454.09	432.53	547.75	332.14	575.03	486.75	145.02	96.68	71.5	119.26	92.05	70.01	72.52	68.07	94.67	54.33	52.45	57.89	50.27	57.49	85.82	70.51	73.54	71.5	76.71	80.57	41.52	63.89	86.43	39.22	96.68	105.15	49.21	57.49	88.26	49.56	45.85	51.35	46.5	159.9
TPRG1L	1208.34	848.22	1950.0	2209.26	2520.38	1651.0	1340.84	1936.53	1923.14	1923.14	1397.83	3443.31	1561.89	1819.35	2485.67	3395.89	2451.44	1561.89	1457.23	1313.23	660.68	2485.67	3018.3	1844.76	1519.15	1277.29	1977.24	2335.28	1721.16	2855.44	2303.12	2609.3	2178.83	1378.57	2739.08	2434.5	2520.38	2119.22	2271.4	2004.85	1991.0	2664.15	2451.44	2400.97	1208.34	1936.53	1605.83	1950.0	2451.44	603.67	909.17	813.63	2417.67	2224.63	1950.0	2627.46	2193.99	2875.3	2047.0	2627.46	2976.74	2384.37	2319.15	2018.8	2682.69	2777.33	1066.48	521.76	1096.5	1088.92	1037.29	1183.45	1467.37	1143.1	1313.23	974.5	713.11	1268.46	981.29	1119.56	1119.56	1151.06	1119.56	1104.13	1143.1	1167.14	1037.29	1183.45	1313.23	1225.22	1369.04	1259.69	1322.37	1023.0	1111.82	1175.27	1073.91	1051.79	1111.82	500.46
UGT2A1	0.35	0.0	384.34	36.53	144.01	5.96	10.71	181.28	674.59	94.67	31.0	187.71	77.25	88.88	48.18	547.75	24.28	13.42	70.01	0.0	0.0	860.08	397.93	120.94	0.0	0.31	525.39	128.79	432.53	301.33	507.46	40.93	656.11	38.4	708.18	995.0	170.25	4.06	435.55	854.13	890.44	651.58	575.03	420.68	1.31	11.38	3.86	275.28	105.89	11.38	15.45	11.38	137.14	373.81	96.01	199.85	15.11	301.33	232.94	432.53	791.35	17.51	253.23	71.5	102.97	289.02	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	0.0	0.0	0.0	0.0
UGT2A2	0.0	0.0	140.04	14.89	68.07	0.0	0.0	73.54	265.87	46.5	7.22	62.12	23.59	39.5	15.56	127.89	0.0	0.0	34.51	0.0	0.0	403.5	149.12	65.72	0.0	0.0	293.07	53.57	189.02	161.02	281.09	0.68	457.25	20.26	291.04	381.68	106.63	2.16	201.25	384.34	412.0	262.2	289.02	208.38	0.95	0.0	0.0	108.14	29.27	0.0	0.28	8.58	64.34	136.19	53.95	90.14	0.0	172.65	0.0	155.5	307.69	5.19	84.04	12.45	45.53	111.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XPNPEP2	2.41	6.73	4038.61	2777.33	4671.57	205.5	251.48	4152.18	2573.36	2701.35	90.14	4481.23	1870.53	3515.68	4575.41	3467.27	808.0	167.9	2240.11	74.58	121.79	6037.61	6983.79	3081.75	53.19	40.93	3325.99	3515.68	2777.33	6607.01	6381.92	6887.62	6561.36	115.97	7642.41	11424.74	5076.84	5954.47	4358.66	4836.35	5672.41	7130.55	5995.9	5517.27	10.0	4937.99	3742.05	5041.77	8598.28	3.63	3.63	5.02	2061.24	6294.04	5441.3	10154.69	5831.91	5831.91	7230.1	9945.68	11267.44	11112.3	6294.04	4972.34	10225.32	10959.3	19.11	12.18	2.61	1.0	16.15	1.68	9.06	12.18	4.54	7.17	7.94	15.56	11.3	21.63	95.34	34.51	26.67	2.81	32.82	33.54	9.56	9.13	2.32	30.12	8.06	36.53	1.07	7.0	18.03	5.11	10.55	7.63	8.65	2.29
XYLB	189.02	202.66	209.84	325.29	384.34	91.41	41.22	199.85	305.55	215.77	36.27	718.08	132.44	88.26	209.84	476.71	232.94	23.93	123.5	163.28	50.27	674.59	532.74	224.97	34.51	31.67	217.27	234.57	183.82	403.5	525.39	423.61	299.25	40.93	414.87	486.75	323.03	373.81	336.79	279.14	371.22	476.71	493.56	206.94	17.64	269.6	120.1	206.94	351.14	67.12	38.95	52.82	131.51	318.57	301.33	497.0	327.56	368.65	309.83	444.72	341.51	493.56	334.46	212.78	447.82	493.56	13.42	9.34	11.47	21.47	19.39	9.34	11.91	14.78	7.94	16.88	15.91	13.72	3.41	21.01	15.11	9.27	20.41	18.7	12.0	16.15	10.79	6.11	8.32	7.51	15.0	18.16	10.63	4.7	12.45	12.0	6.62	17.64	13.93	24.63
