	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.CA.6715.01A.21R.1839.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YW.01A.11R.A28H.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.AY.6386.01A.21R.1723.07	TCGA.AM.5821.01A.01R.1653.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.O5YT.1426.SM.3MJHC	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.13OW6.2126.SM.5N9GL	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.144GN.1126.SM.5LU33	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.12KS4.1326.SM.5LUB3	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AH.6897.01A.11R.1928.07	GTEX.QXCU.1926.SM.48FE4	GTEX.Q2AI.0826.SM.48TZO
CAPN2	1268.46	1721.16	607.87	1467.37	1551.09	2682.69	2148.82	2855.44	5329.3	3614.55	7966.99	3874.05	5112.16	3742.05	6294.04	5594.3	3847.29	5147.73	6745.86	4388.98	6887.62	4869.99	6250.56	3690.52	5441.3	8305.36	10368.08	6699.25	3589.58	4210.15	2796.65	5403.7	6607.01	6887.62	3395.89	6887.62	6037.61	7642.41	6887.62	3303.0	6294.04	6426.31	5441.3	8363.13	8718.32	3060.45	3257.52	6935.54	4736.79	5366.37	8479.89	4937.99	3665.02	7180.15	5791.62	5183.54	9025.81	7537.18	5995.9	5831.91	3303.0	6037.61	3540.14	4736.79	6840.04	3768.09	8078.22	6699.25	7749.1	6207.38	2976.74	6471.02	6887.62	3955.48	3716.2	4769.75	5041.77	4450.27	7331.05	3665.02	2816.11	4704.07	4419.52	7433.4	6699.25	1096.5	525.39	813.63	346.29	438.59	384.34	483.38	409.15	297.17	954.43	616.37	414.87	0.0	1.04	941.27	2434.5	3847.29
CASP16	3.96	16.03	6.89	3.92	2.46	27.25	1.51	1.79	40.64	49.21	44.57	35.5	75.11	38.4	47.17	39.79	28.45	87.03	62.56	90.77	69.52	10.79	69.03	73.03	6.94	172.65	164.42	127.0	26.28	33.78	8.51	36.79	73.03	36.79	19.82	4.39	48.52	37.05	117.6	23.08	48.87	71.0	148.09	82.29	52.82	8.32	36.27	50.63	19.53	199.85	220.32	201.25	15.91	90.14	17.38	58.3	307.69	73.03	72.52	56.68	18.84	74.58	11.47	40.64	93.35	15.68	164.42	143.01	57.08	9.41	19.97	63.45	93.35	48.87	22.1	21.63	58.71	45.53	109.66	109.66	10.08	52.08	17.64	85.22	25.91	27.64	66.65	25.72	57.49	66.18	98.73	11.3	11.91	71.0	58.71	285.03	22.26	0.0	0.08	2.25	7.75	6.62
CCDC17	15.22	11.64	6.36	10.55	46.18	15.11	8.65	4.78	44.25	30.56	40.36	27.44	38.67	33.3	42.71	47.17	19.11	48.52	51.35	51.35	22.75	40.07	22.26	21.78	35.0	32.59	52.82	38.95	19.97	30.34	33.78	43.02	26.86	25.91	22.26	57.08	34.51	55.49	56.68	23.76	32.59	47.5	26.86	36.53	12.09	21.63	24.11	31.0	8.0	44.25	53.57	14.56	37.05	40.93	52.08	33.54	61.25	45.21	35.76	36.27	21.94	68.55	24.11	22.43	23.76	18.97	33.3	46.84	53.57	15.22	20.11	53.95	63.0	21.47	23.59	23.08	29.7	41.52	42.41	23.42	11.55	34.75	48.87	36.79	29.27	4.74	52.45	7.4	14.45	18.03	24.99	19.97	14.03	36.27	23.08	43.63	7.11	0.0	0.17	12.27	38.67	10.96
CD58	460.44	301.33	406.31	293.07	417.77	563.18	400.71	392.44	507.46	540.19	854.13	423.61	830.75	429.54	688.78	684.02	660.68	796.86	866.07	493.56	785.88	860.08	780.44	555.41	688.78	1096.5	1551.09	967.76	587.13	669.92	429.54	651.58	785.88	848.22	665.29	915.51	723.08	1044.52	878.17	579.04	759.08	698.41	723.08	928.3	796.86	490.14	647.07	934.76	441.64	647.07	961.07	703.28	579.04	890.44	703.28	872.1	1183.45	785.88	738.29	775.05	511.0	713.11	579.04	571.05	830.75	511.0	896.64	830.75	791.35	575.03	438.59	688.78	915.51	660.68	463.65	620.67	698.41	723.08	830.75	718.08	460.44	703.28	579.04	1081.39	819.3	842.36	198.47	244.57	108.14	102.97	49.21	153.34	156.59	95.34	193.01	123.5	56.28	0.0	0.68	309.83	329.84	277.2
CDC14A	21.47	18.7	32.59	25.91	30.56	42.11	37.85	26.86	195.72	128.79	283.05	143.01	303.44	123.5	194.36	191.67	127.89	164.42	258.57	190.34	392.44	133.36	161.02	99.43	135.24	275.28	423.61	269.6	201.25	175.07	96.68	170.25	165.57	156.59	59.13	232.94	295.11	303.44	241.19	109.66	265.87	305.55	161.02	314.17	205.5	148.09	64.34	297.17	234.57	130.6	262.2	111.99	195.72	169.07	246.28	271.48	373.81	264.03	161.02	231.32	159.9	239.52	138.1	135.24	256.78	158.79	251.48	212.78	301.33	136.19	88.26	249.73	237.86	94.01	161.02	178.77	102.97	103.69	327.56	124.37	55.1	248.0	155.5	343.89	224.97	31.0	35.76	17.0	17.13	17.25	20.71	19.68	24.46	8.78	37.59	33.78	11.47	0.0	0.29	32.82	124.37	121.79
CDHR5	376.41	37.59	325.29	37.85	366.09	3060.45	493.56	0.14	16269.83	10225.32	17681.08	15607.02	14361.31	9876.98	14561.8	15499.21	10659.59	17558.94	19482.97	13776.25	19082.0	10733.74	19214.73	10585.95	11424.74	22850.48	24490.61	19618.49	8658.09	12076.21	6745.86	15934.98	17437.64	16496.96	8479.89	13033.07	13033.07	22380.2	19082.0	6037.61	13968.57	18560.17	17078.76	16496.96	15934.98	5255.91	5255.91	15180.22	9474.59	21468.49	18304.63	10225.32	463.65	19482.97	12589.08	16960.78	28132.47	16269.83	17317.18	15934.98	9215.48	19754.96	2835.7	12329.98	19214.73	6471.02	19754.96	18950.18	18052.61	4298.64	9540.5	18178.19	18178.19	12244.81	7695.57	10440.2	10585.95	11035.54	20737.16	10959.3	7642.41	11909.94	11909.94	20881.4	18304.63	1427.22	7180.15	80.57	15934.98	532.74	6607.01	211.31	1498.22	2796.65	12415.75	848.22	2895.31	0.0	0.24	620.67	490.14	503.95
CDKN2B	19.53	16.39	17.0	15.91	59.13	43.02	61.25	121.79	2148.82	1781.89	4671.57	1936.53	2835.7	1001.93	3212.66	2240.11	1037.29	2351.53	3018.3	2119.22	3325.99	1896.65	4181.07	1044.52	1832.01	3742.05	5112.16	3372.43	1023.0	1870.53	1286.18	2400.97	3280.18	2591.27	780.44	3515.68	2758.13	4358.66	3235.01	412.0	3820.7	4512.4	2090.03	3018.3	2627.46	633.73	860.08	3419.52	1519.15	2485.67	3515.68	1857.6	447.82	3190.46	2682.69	3018.3	4972.34	3235.01	2664.15	2609.3	1378.57	2555.58	397.93	1508.65	2835.7	1199.98	4210.15	3372.43	3060.45	620.67	921.88	2645.74	4181.07	1030.12	1030.12	2047.0	1674.06	1388.16	4607.24	1605.83	1199.98	2004.85	2032.85	4038.61	2875.3	87.03	36.79	19.25	20.41	5.5	8.92	8.78	16.63	10.16	10.24	18.29	22.59	108.14	167.9	92.7	194.36	169.07
CEACAM7	1259.69	341.51	269.6	543.96	4010.71	3955.48	1242.34	10.0	83528.61	80125.95	148488.36	134755.94	141455.6	55491.3	181548.07	112532.89	110983.6	111755.56	156954.93	138544.47	186652.11	109455.64	116501.39	55877.28	131982.68	204252.32	286861.53	106462.55	38966.94	29327.18	37639.55	103551.29	140478.49	205673.01	58250.19	180294.02	197294.7	146444.06	176583.6	8778.97	217400.14	124000.67	101420.22	119776.72	186652.11	9540.5	21320.18	148488.36	40341.14	71219.26	127486.83	61571.56	1870.53	168220.2	110983.6	146444.06	177811.84	214407.12	93325.55	96616.71	96616.71	187950.38	2573.36	99333.0	146444.06	68793.23	106462.55	170568.48	221968.2	18689.27	82378.63	176583.6	127486.83	33688.23	49666.0	83528.61	70727.3	19482.97	212926.09	55107.99	51417.5	131071.0	162489.97	148488.36	180294.02	3.23	0.09	0.0	1.46	0.0	11.13	0.0	0.0	1.6	8.85	8.32	24.46	0.0	0.0	2178.83	414.87	12764.83
CERK	195.72	320.8	229.72	198.47	231.32	239.52	309.83	136.19	1208.34	384.34	547.75	669.92	521.76	769.69	457.25	466.88	325.29	764.36	947.83	563.18	791.35	780.44	733.19	291.04	447.82	854.13	808.0	915.51	684.02	1250.98	599.49	483.38	514.56	387.02	381.68	688.78	607.87	854.13	842.36	723.08	665.29	796.86	759.08	928.3	753.83	660.68	651.58	728.11	567.1	303.44	909.17	387.02	373.81	733.19	563.18	1044.52	1277.29	679.29	457.25	947.83	486.75	674.59	392.44	660.68	507.46	674.59	1233.75	438.59	497.0	825.0	547.75	813.63	708.18	384.34	435.55	842.36	688.78	679.29	1059.11	457.25	409.15	651.58	915.51	1066.48	896.64	420.68	323.03	518.15	244.57	387.02	289.02	129.69	277.2	316.37	441.64	170.25	334.46	0.0	0.66	262.2	583.07	728.11
CHAD	4.17	2.89	2.68	9.34	8.51	3.44	0.39	0.0	785.88	248.0	759.08	332.14	642.59	186.4	444.72	384.34	185.11	346.29	368.65	540.19	351.14	262.2	353.59	170.25	171.45	379.04	620.67	713.11	182.55	318.57	185.11	429.54	387.02	172.65	119.26	348.71	281.09	503.95	551.56	92.7	463.65	748.61	373.81	417.77	258.57	129.69	84.04	426.57	197.09	525.39	866.07	117.6	38.12	303.44	381.68	490.14	674.59	412.0	226.54	559.28	187.71	579.04	120.94	244.57	366.09	85.82	447.82	379.04	759.08	63.89	123.5	490.14	743.43	248.0	148.09	139.07	156.59	348.71	860.08	320.8	111.21	432.53	414.87	575.03	348.71	50.98	1819.35	470.14	848.22	1111.82	423.61	397.93	532.74	607.87	1923.14	2609.3	49.56	0.0	0.44	0.8	92.7	165.57
CHKA	674.59	507.46	848.22	718.08	836.53	579.04	884.29	301.33	1233.75	1015.93	981.29	1417.35	1369.04	791.35	1159.07	848.22	723.08	1340.84	1340.84	866.07	1519.15	1208.34	909.17	775.05	796.86	1277.29	1259.69	1277.29	825.0	1208.34	674.59	1167.14	1397.83	961.07	629.35	1030.12	1104.13	1487.87	1143.1	872.1	860.08	928.3	1135.2	1191.69	1340.84	967.76	703.28	1417.35	708.18	1359.57	1216.75	587.13	647.07	1167.14	785.88	1073.91	1594.73	1397.83	1407.55	825.0	698.41	1350.18	723.08	1417.35	1457.23	728.11	995.0	1008.9	1697.45	651.58	603.67	1437.15	1208.34	1350.18	759.08	769.69	791.35	1378.57	1286.18	909.17	866.07	791.35	1208.34	1388.16	1551.09	163.28	285.03	323.03	466.88	403.5	529.06	567.1	660.68	599.49	796.86	738.29	429.54	0.0	0.75	583.07	571.05	775.05
CNGA1	10.55	2.16	7.63	9.06	9.56	36.79	7.28	0.0	256.78	83.45	334.46	73.54	303.44	189.02	165.57	329.84	214.27	343.89	159.9	323.03	314.17	92.7	122.64	90.77	115.97	387.02	289.02	209.84	73.54	154.42	44.57	170.25	185.11	100.13	66.18	148.09	285.03	358.54	234.57	35.5	158.79	234.57	265.87	466.88	301.33	71.0	51.35	224.97	66.65	201.25	211.31	145.02	31.9	412.0	221.86	214.27	620.67	217.27	194.36	162.14	103.69	187.71	30.56	171.45	178.77	88.26	151.22	293.07	503.95	46.5	105.89	181.28	142.01	76.17	79.45	185.11	102.25	105.15	409.15	133.36	114.36	146.03	101.54	567.1	363.56	147.06	1119.56	111.21	764.36	1008.9	547.75	273.37	947.83	307.69	571.05	713.11	246.28	0.0	0.01	13.72	163.28	47.5
CNNM2	41.52	41.52	124.37	60.39	72.01	73.03	45.85	22.26	258.57	283.05	483.38	314.17	373.81	246.28	232.94	343.89	325.29	351.14	339.14	447.82	348.71	351.14	447.82	244.57	273.37	361.04	616.37	414.87	346.29	356.05	320.8	285.03	414.87	301.33	177.53	500.46	403.5	397.93	500.46	130.6	486.75	432.53	336.79	435.55	351.14	169.07	164.42	363.56	329.84	403.5	423.61	220.32	193.01	356.05	426.57	356.05	423.61	406.31	312.0	397.93	279.14	356.05	191.67	299.25	356.05	228.13	500.46	323.03	371.22	119.26	258.57	316.37	348.71	255.0	242.88	285.03	251.48	277.2	493.56	348.71	205.5	289.02	332.14	441.64	334.46	91.41	122.64	120.94	69.52	88.26	64.34	58.71	68.55	87.03	70.01	72.01	16.39	0.0	0.04	38.12	121.79	147.06
COBL	167.9	264.03	140.04	273.37	133.36	211.31	341.51	309.83	656.11	571.05	825.0	624.99	684.02	503.95	738.29	647.07	450.94	642.59	753.83	688.78	819.3	693.58	1059.11	563.18	417.77	890.44	1487.87	934.76	633.73	543.96	466.88	679.29	703.28	813.63	376.41	825.0	941.27	1059.11	796.86	267.73	928.3	759.08	748.61	775.05	819.3	277.2	293.07	728.11	536.45	638.15	878.17	591.22	575.03	713.11	878.17	848.22	1044.52	743.43	748.61	872.1	518.15	718.08	293.07	511.0	967.76	414.87	934.76	802.41	813.63	253.23	426.57	679.29	974.5	389.72	444.72	518.15	575.03	511.0	947.83	629.35	420.68	703.28	536.45	860.08	633.73	199.85	547.75	543.96	356.05	305.55	432.53	195.72	295.11	599.49	395.18	525.39	251.48	156.59	61.68	323.03	503.95	679.29
CTB-186H2.3	0.42	0.75	0.0	0.23	0.57	2.34	0.0	0.0	18.43	17.13	37.85	4.58	31.45	10.39	16.63	21.01	14.03	16.39	21.32	15.0	29.48	13.93	15.8	12.74	16.88	24.28	12.55	33.06	17.13	18.29	7.82	13.83	22.26	27.84	7.4	15.56	13.62	43.63	21.47	6.41	17.9	17.77	35.76	19.11	22.92	14.89	5.77	11.21	2.36	41.81	18.29	6.26	2.2	21.47	16.63	25.54	34.26	34.02	28.65	16.51	12.18	18.56	5.73	15.91	25.54	11.64	25.54	24.81	35.5	4.9	3.29	24.46	26.47	11.04	11.82	16.88	15.34	34.51	44.57	11.38	7.51	11.82	24.28	30.78	25.91	8.51	51.35	12.64	53.19	18.7	22.59	11.21	10.31	80.57	54.33	17.9	1.07	0.0	0.0	0.0	0.0	0.0
CXADR	392.44	217.27	1477.58	186.4	764.36	171.45	197.09	70.01	603.67	368.65	1015.93	497.0	728.11	403.5	785.88	743.43	647.07	708.18	902.89	567.1	941.27	802.41	775.05	412.0	559.28	1044.52	1639.59	830.75	463.65	651.58	366.09	743.43	928.3	974.5	547.75	974.5	780.44	1015.93	967.76	260.38	854.13	743.43	679.29	1104.13	884.29	273.37	406.31	1023.0	1199.98	780.44	915.51	738.29	103.69	713.11	665.29	915.51	1322.37	854.13	819.3	802.41	336.79	854.13	253.23	703.28	902.89	412.0	1175.27	890.44	981.29	381.68	406.31	947.83	934.76	555.41	339.14	587.13	616.37	612.11	1159.07	483.38	376.41	563.18	684.02	1066.48	785.88	551.56	500.46	723.08	287.01	334.46	201.25	242.88	279.14	265.87	688.78	656.11	514.56	0.0	0.0	406.31	438.59	486.75
CXorf23	94.01	70.01	119.26	166.73	110.43	119.26	88.26	70.51	165.57	134.3	166.73	67.59	154.42	145.02	158.79	226.54	130.6	162.14	223.41	91.41	260.38	128.79	140.04	125.24	140.04	189.02	218.79	246.28	121.79	128.79	53.19	111.21	187.71	139.07	128.79	190.34	152.28	273.37	167.9	108.9	201.25	181.28	234.57	236.21	191.67	111.21	94.01	190.34	52.45	129.69	156.59	92.05	136.19	166.73	130.6	248.0	244.57	201.25	190.34	135.24	153.34	201.25	143.01	82.29	232.94	118.43	186.4	169.07	295.11	84.04	67.12	142.01	206.94	80.57	118.43	124.37	152.28	125.24	215.77	86.43	64.34	145.02	87.65	356.05	139.07	15.22	37.05	33.3	29.27	21.16	85.82	50.63	42.41	73.03	111.99	36.27	11.82	0.0	0.46	90.77	67.12	38.4
DENND1A	361.04	521.76	460.44	307.69	264.03	341.51	389.72	435.55	387.02	320.8	426.57	351.14	287.01	339.14	595.34	406.31	287.01	309.83	426.57	536.45	356.05	323.03	397.93	457.25	260.38	612.11	518.15	371.22	241.19	368.65	368.65	500.46	361.04	435.55	366.09	447.82	387.02	525.39	454.09	460.44	521.76	397.93	547.75	587.13	563.18	325.29	429.54	373.81	813.63	563.18	414.87	381.68	307.69	361.04	417.77	587.13	718.08	356.05	450.94	536.45	289.02	536.45	426.57	412.0	599.49	540.19	718.08	551.56	497.0	170.25	348.71	483.38	463.65	363.56	273.37	336.79	543.96	395.18	514.56	368.65	454.09	403.5	460.44	432.53	438.59	318.57	285.03	145.02	329.84	232.94	244.57	237.86	244.57	205.5	169.07	239.52	173.85	0.0	0.65	307.69	441.64	205.5
DGCR2	872.1	543.96	890.44	624.99	595.34	878.17	1037.29	420.68	1540.37	1183.45	1709.26	1487.87	1651.0	1259.69	1529.73	1350.18	1457.23	1417.35	1378.57	1417.35	1331.57	1322.37	1674.06	1216.75	1111.82	1662.49	1628.26	1551.09	1417.35	1427.22	1111.82	1685.71	1529.73	1639.59	947.83	1519.15	1628.26	1963.57	1417.35	1208.34	1191.69	1359.57	1388.16	1529.73	1388.16	1183.45	1183.45	1487.87	642.59	1457.23	1617.0	902.89	915.51	1508.65	1437.15	1561.89	1757.34	1540.37	1721.16	1697.45	1268.46	1651.0	1096.5	1407.55	1617.0	1143.1	1583.71	1508.65	1794.29	551.56	1191.69	1721.16	1572.76	1277.29	981.29	1417.35	1340.84	1617.0	1697.45	1697.45	1233.75	1417.35	1208.34	1487.87	1313.23	384.34	473.41	295.11	497.0	651.58	457.25	312.0	414.87	555.41	373.81	525.39	208.38	0.0	0.62	921.88	1044.52	909.17
DOCK1	295.11	343.89	392.44	341.51	316.37	379.04	332.14	224.97	723.08	466.88	603.67	366.09	665.29	299.25	679.29	764.36	599.49	848.22	693.58	511.0	674.59	387.02	607.87	358.54	435.55	708.18	718.08	693.58	351.14	457.25	297.17	529.06	470.14	647.07	325.29	395.18	551.56	825.0	599.49	395.18	381.68	665.29	575.03	748.61	703.28	432.53	320.8	703.28	258.57	575.03	503.95	447.82	514.56	567.1	444.72	665.29	1051.79	567.1	540.19	400.71	579.04	759.08	493.56	503.95	738.29	642.59	728.11	529.06	866.07	318.57	249.73	514.56	624.99	323.03	412.0	651.58	454.09	466.88	684.02	414.87	307.69	444.72	351.14	674.59	460.44	193.01	226.54	172.65	157.68	91.41	78.89	403.5	279.14	358.54	241.19	199.85	49.56	0.0	0.74	264.03	178.77	291.04
ENPP1	21.94	11.73	42.11	21.94	32.59	47.17	27.84	4.7	135.24	61.25	267.73	101.54	135.24	52.45	119.26	128.79	105.15	137.14	221.86	104.42	234.57	83.45	248.0	45.21	120.94	211.31	567.1	169.07	72.52	84.04	39.5	166.73	163.28	187.71	54.33	301.33	182.55	341.51	197.09	39.79	303.44	271.48	159.9	187.71	205.5	42.11	44.25	175.07	58.3	148.09	332.14	176.29	53.95	163.28	127.89	195.72	381.68	197.09	167.9	152.28	92.05	166.73	53.57	108.9	206.94	91.41	209.84	251.48	198.47	42.11	54.33	214.27	191.67	77.25	50.98	164.42	120.1	101.54	423.61	79.45	31.22	92.05	193.01	264.03	139.07	187.71	316.37	204.07	480.04	1159.07	303.44	674.59	466.88	708.18	728.11	1259.69	234.57	0.0	0.33	14.56	27.05	16.39
ENTPD5	129.69	98.73	265.87	138.1	145.02	466.88	429.54	43.63	3874.05	2004.85	5183.54	2956.17	3372.43	2451.44	3212.66	2796.65	3039.3	3874.05	3280.18	3467.27	6887.62	3190.46	3716.2	2468.49	2400.97	3665.02	4972.34	3491.39	3491.39	3716.2	2468.49	2796.65	3690.52	2627.46	1757.34	4152.18	4268.94	3742.05	3540.14	1369.04	3742.05	3540.14	3395.89	4010.71	3491.39	1757.34	1340.84	4152.18	2537.92	3103.19	4038.61	1923.14	633.73	4095.0	3742.05	3847.29	3794.3	2855.44	3190.46	3716.2	2875.3	3564.78	1378.57	2367.9	3665.02	1651.0	2591.27	2915.45	4419.52	1088.92	1437.15	3395.89	3395.89	2335.28	2119.22	3018.3	2104.58	2956.17	3280.18	3190.46	1832.01	2271.4	2591.27	3589.58	4095.0	2075.59	4095.0	4769.75	4181.07	2895.31	4802.93	1286.18	1519.15	2255.7	4388.98	3639.7	967.76	0.0	0.49	74.06	327.56	346.29
ERBB2	988.12	842.36	1001.93	1233.75	1183.45	1991.0	1388.16	309.83	4038.61	2835.7	4450.27	3212.66	4123.49	3395.89	3794.3	4358.66	2591.27	3419.52	3690.52	3665.02	4268.94	2645.74	2758.13	2032.85	2104.58	3614.55	3614.55	3614.55	2997.45	3515.68	2875.3	4095.0	4671.57	2796.65	2018.8	3491.39	4066.71	4181.07	4937.99	1721.16	4937.99	4869.99	3325.99	2935.74	3212.66	1857.6	1832.01	3690.52	2502.97	4481.23	5183.54	2224.63	1369.04	5441.3	3742.05	3820.7	5219.6	4298.64	3280.18	4066.71	2417.67	4671.57	1923.14	3257.52	3955.48	1639.59	3372.43	3372.43	4607.24	1250.98	2367.9	4575.41	3874.05	2502.97	2224.63	2417.67	2384.37	3349.13	3768.09	3768.09	1662.49	3325.99	3018.3	5147.73	3491.39	246.28	651.58	536.45	738.29	1487.87	423.61	256.78	547.75	698.41	2400.97	1340.84	406.31	0.0	0.77	1639.59	486.75	1467.37
ERBB3	995.0	836.53	1519.15	1417.35	532.74	1378.57	813.63	387.02	3491.39	2555.58	4671.57	2796.65	4450.27	2537.92	3372.43	4268.94	2645.74	3491.39	4607.24	3060.45	3742.05	2739.08	3124.78	2133.97	2609.3	3690.52	4210.15	4481.23	2335.28	3280.18	2739.08	3874.05	4512.4	2627.46	2319.15	4481.23	3716.2	4704.07	3955.48	1388.16	5183.54	4419.52	3190.46	3955.48	3716.2	1977.24	1721.16	4123.49	2976.74	3982.99	5329.3	2061.24	1477.58	4358.66	3614.55	4010.71	5329.3	4358.66	3742.05	4481.23	2163.77	4388.98	1519.15	3103.19	4152.18	1794.29	3190.46	3794.3	5112.16	1806.78	2209.26	4181.07	5006.93	2720.15	2018.8	2739.08	2209.26	3257.52	4903.87	3212.66	1674.06	3515.68	3564.78	5672.41	3467.27	325.29	1088.92	647.07	1781.89	1233.75	1008.9	1008.9	866.07	2351.53	2400.97	1794.29	186.4	848.22	909.17	947.83	2209.26	2384.37
ERMAP	84.04	131.51	90.77	81.14	111.99	124.37	90.77	99.43	249.73	157.68	348.71	83.45	182.55	138.1	170.25	198.47	248.0	209.84	221.86	209.84	169.07	145.02	172.65	144.01	146.03	190.34	224.97	269.6	158.79	214.27	96.01	262.2	297.17	164.42	125.24	120.1	127.0	237.86	211.31	125.24	153.34	255.0	205.5	248.0	232.94	198.47	119.26	267.73	108.14	175.07	249.73	140.04	198.47	232.94	212.78	242.88	323.03	180.02	305.55	187.71	128.79	248.0	172.65	142.01	231.32	172.65	171.45	211.31	339.14	99.43	86.43	241.19	229.72	195.72	130.6	157.68	217.27	277.2	285.03	136.19	143.01	193.01	172.65	303.44	198.47	108.9	131.51	72.52	293.07	162.14	183.82	141.02	170.25	339.14	236.21	316.37	215.77	0.0	0.06	55.89	108.9	133.36
FABP1	96616.71	70727.3	57448.23	58250.19	118127.7	249727.34	89523.81	44.25	614902.29	925580.18	589853.66	2011721.67	726195.27	706337.4	581732.96	659036.03	654483.73	1085552.95	654483.73	925580.18	1412675.8	938500.81	677564.08	1070607.81	577714.63	677564.08	1070607.81	475800.4	851707.37	800198.39	919186.72	569761.05	602247.76	789181.81	386469.83	1155430.26	1041331.96	492579.5	701458.36	479109.86	951601.81	400098.69	716197.51	573724.06	1078054.48	397335.0	459592.86	627822.72	711250.37	1034138.94	565825.41	577714.63	191899.64	757033.75	1019901.63	696613.03	554180.87	701458.36	614902.29	561916.97	711250.37	627822.72	221968.2	324980.94	736332.6	402881.61	751804.53	456418.21	1093103.58	234624.45	542775.98	741454.2	469249.9	811368.76	370726.6	636586.81	419990.32	706337.4	627822.72	1238359.56	687022.54	554180.87	762299.34	327241.36	1273174.62	1264380.15	2599854.48	2201414.44	1290947.48	1308968.45	2845004.48	623486.02	5420519.65	1019901.63	1308968.45	1691649.38	496005.67	0.0	0.0	90773.53	472513.8	1393227.06
