	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.T2IS.2226.SM.4DM65
PDS5A	346.29	463.65	371.22	679.29	836.53	486.75	579.04	738.29	358.54	480.04	420.68	728.11	842.36	536.45	511.0	559.28	860.08	511.0	624.99	728.11	1508.65	389.72	287.01	1030.12	579.04	775.05	915.51	1183.45	728.11	571.05	490.14	830.75	521.76	808.0	866.07	450.94	1151.06	775.05	708.18	656.11	718.08	476.71	521.76	638.15	647.07	947.83	463.65	336.79	559.28	295.11	327.56	429.54	329.84	500.46	320.8	194.36	287.01	281.09	157.68	299.25	279.14	314.17	289.02	267.73	633.73	665.29	612.11	435.55	387.02
PHF3	153.34	265.87	194.36	547.75	785.88	447.82	981.29	633.73	253.23	480.04	260.38	529.06	688.78	435.55	379.04	480.04	555.41	389.72	381.68	540.19	665.29	295.11	217.27	738.29	473.41	579.04	785.88	607.87	483.38	381.68	368.65	764.36	400.71	525.39	476.71	392.44	532.74	718.08	476.71	547.75	599.49	361.04	212.78	447.82	547.75	947.83	318.57	363.56	409.15	265.87	171.45	241.19	229.72	397.93	159.9	84.63	204.07	189.02	58.3	244.57	237.86	190.34	208.38	248.0	397.93	503.95	441.64	343.89	291.04
PIK3C2A	140.04	181.28	144.01	334.46	620.67	202.66	164.42	669.92	251.48	346.29	193.01	329.84	543.96	336.79	376.41	260.38	547.75	299.25	198.47	381.68	612.11	183.82	72.52	353.59	409.15	463.65	603.67	733.19	595.34	269.6	234.57	540.19	164.42	438.59	460.44	183.82	583.07	633.73	293.07	267.73	616.37	244.57	241.19	297.17	387.02	559.28	249.73	264.03	314.17	144.01	117.6	144.01	121.79	211.31	99.43	62.12	98.73	87.65	23.93	95.34	90.77	97.36	122.64	77.79	343.89	307.69	420.68	153.34	127.89
PLRG1	679.29	791.35	713.11	1015.93	1104.13	819.3	1066.48	961.07	651.58	836.53	713.11	902.89	1268.46	759.08	836.53	638.15	1175.27	759.08	791.35	836.53	961.07	551.56	612.11	1175.27	1051.79	1059.11	1023.0	1225.22	974.5	1088.92	928.3	1044.52	909.17	759.08	1167.14	896.64	981.29	1059.11	1023.0	1037.29	947.83	718.08	718.08	825.0	1001.93	1540.37	961.07	1151.06	1268.46	896.64	759.08	941.27	738.29	780.44	656.11	728.11	713.11	579.04	595.34	642.59	599.49	638.15	753.83	246.28	915.51	1030.12	866.07	830.75	1051.79
POLK	81.71	102.25	71.0	291.04	376.41	140.04	149.12	293.07	194.36	234.57	122.64	460.44	358.54	303.44	224.97	212.78	358.54	186.4	214.27	277.2	366.09	164.42	88.26	397.93	234.57	309.83	379.04	366.09	432.53	237.86	195.72	414.87	176.29	409.15	395.18	236.21	444.72	438.59	291.04	291.04	295.11	279.14	127.89	204.07	287.01	314.17	201.25	258.57	141.02	147.06	96.68	128.79	107.38	149.12	66.18	48.87	84.04	71.0	18.29	81.14	72.01	68.07	86.43	32.13	164.42	291.04	307.69	149.12	111.21
PSME3	1143.1	1183.45	1023.0	1639.59	1605.83	1359.57	1225.22	1870.53	1167.14	1359.57	785.88	2335.28	3419.52	1111.82	1487.87	1806.78	1977.24	1594.73	1199.98	2701.35	2855.44	1662.49	1096.5	1909.85	1639.59	2163.77	2004.85	2417.67	2591.27	1857.6	1519.15	2209.26	961.07	2573.36	2855.44	1111.82	2739.08	2224.63	1883.54	1709.26	1697.45	1857.6	2335.28	1350.18	1359.57	1359.57	2319.15	1073.91	1051.79	1447.15	974.5	1259.69	1167.14	1508.65	470.14	624.99	483.38	547.75	728.11	363.56	708.18	540.19	656.11	532.74	1685.71	1721.16	1304.15	1250.98	1277.29
PUM2	395.18	753.83	759.08	775.05	1519.15	854.13	909.17	1388.16	728.11	947.83	620.67	1583.71	1350.18	1088.92	796.86	902.89	1467.37	842.36	1037.29	1159.07	1857.6	796.86	414.87	1359.57	954.43	1127.35	1583.71	1757.34	1051.79	1104.13	728.11	1175.27	753.83	1159.07	1111.82	713.11	1685.71	1388.16	988.12	921.88	1008.9	1001.93	563.18	878.17	1044.52	1745.2	890.44	848.22	884.29	679.29	616.37	583.07	480.04	896.64	343.89	293.07	476.71	414.87	291.04	476.71	438.59	444.72	444.72	511.0	860.08	1023.0	796.86	638.15	819.3
RAB39B	6.57	2.16	2.92	15.8	60.39	17.13	53.19	246.28	12.18	6.73	10.63	32.82	74.58	8.51	7.34	0.0	9.78	2.73	31.45	5.59	237.86	2.84	3.76	9.41	7.28	13.42	6.78	21.63	0.67	23.93	4.21	30.56	42.11	50.98	66.18	17.64	44.89	24.46	20.11	4.17	17.64	8.65	2.07	27.84	19.11	57.08	65.72	18.16	3.26	3.66	1.08	9.63	1.04	2.36	0.84	0.79	0.0	0.51	0.48	0.54	1.01	1.07	2.58	1.27	9.13	12.36	8.71	27.64	2.97
RALGAPB	178.77	307.69	314.17	373.81	603.67	392.44	395.18	896.64	409.15	392.44	287.01	759.08	629.35	525.39	420.68	483.38	660.68	325.29	638.15	525.39	1037.29	486.75	169.07	748.61	395.18	567.1	808.0	796.86	764.36	351.14	312.0	674.59	363.56	842.36	819.3	343.89	599.49	796.86	454.09	775.05	463.65	417.77	426.57	555.41	358.54	684.02	406.31	199.85	384.34	246.28	212.78	231.32	209.84	305.55	100.83	79.45	97.36	69.52	63.45	78.89	84.04	87.65	102.97	37.32	429.54	466.88	363.56	551.56	156.59
RBM27	108.9	114.36	89.51	258.57	320.8	167.9	161.02	320.8	204.07	195.72	132.44	463.65	414.87	199.85	194.36	142.01	327.56	218.79	208.38	191.67	281.09	209.84	96.68	379.04	223.41	320.8	392.44	358.54	316.37	244.57	205.5	417.77	199.85	444.72	323.03	221.86	454.09	432.53	249.73	305.55	314.17	248.0	221.86	229.72	246.28	323.03	152.28	195.72	218.79	169.07	102.25	100.13	89.51	183.82	77.79	56.28	76.17	74.06	22.26	78.34	102.25	70.51	96.68	65.72	187.71	249.73	224.97	175.07	144.01
RHOT1	215.77	373.81	283.05	470.14	674.59	412.0	351.14	595.34	343.89	536.45	251.48	813.63	1059.11	316.37	389.72	503.95	693.58	409.15	432.53	728.11	612.11	775.05	249.73	669.92	612.11	909.17	563.18	836.53	896.64	708.18	450.94	567.1	417.77	555.41	1340.84	587.13	854.13	665.29	536.45	457.25	483.38	525.39	555.41	480.04	563.18	842.36	426.57	567.1	529.06	348.71	248.0	232.94	414.87	314.17	95.34	137.14	186.4	176.29	159.9	202.66	171.45	248.0	208.38	283.05	432.53	493.56	400.71	366.09	381.68
RIF1	81.14	136.19	92.7	185.11	414.87	122.64	170.25	305.55	114.36	173.85	99.43	329.84	325.29	285.03	180.02	208.38	291.04	176.29	239.52	206.94	397.93	86.43	85.82	289.02	157.68	323.03	289.02	450.94	253.23	164.42	151.22	279.14	126.12	269.6	217.27	173.85	420.68	303.44	185.11	135.24	281.09	177.53	109.66	205.5	189.02	361.04	182.55	115.16	150.17	113.56	82.87	103.69	100.83	175.07	46.18	37.85	52.82	45.21	14.03	46.5	49.91	45.53	50.63	21.16	177.53	255.0	260.38	155.5	85.82
ROCK1	199.85	392.44	176.29	368.65	511.0	329.84	256.78	438.59	295.11	423.61	204.07	403.5	500.46	295.11	403.5	221.86	486.75	297.17	358.54	397.93	551.56	267.73	111.21	511.0	309.83	579.04	435.55	620.67	497.0	343.89	363.56	503.95	318.57	325.29	511.0	271.48	507.46	457.25	466.88	397.93	454.09	351.14	221.86	312.0	483.38	518.15	211.31	301.33	305.55	220.32	140.04	256.78	211.31	343.89	132.44	70.01	120.94	88.26	31.0	120.1	135.24	113.56	127.0	70.51	389.72	432.53	490.14	228.13	197.09
RSF1	151.22	316.37	275.28	277.2	563.18	303.44	239.52	872.1	343.89	518.15	206.94	400.71	607.87	490.14	320.8	1183.45	417.77	267.73	403.5	435.55	387.02	237.86	239.52	503.95	312.0	514.56	607.87	860.08	518.15	327.56	253.23	420.68	267.73	473.41	529.06	231.32	698.41	536.45	316.37	267.73	543.96	429.54	159.9	395.18	414.87	1044.52	189.02	175.07	320.8	232.94	202.66	134.3	186.4	395.18	84.63	133.36	91.41	72.01	27.64	97.36	110.43	96.01	108.14	120.94	420.68	397.93	563.18	242.88	152.28
SEC24C	575.03	981.29	759.08	1066.48	1119.56	1259.69	1216.75	1605.83	1498.22	748.61	1059.11	1286.18	1350.18	1233.75	1001.93	961.07	1259.69	819.3	1359.57	1208.34	909.17	848.22	713.11	1350.18	1199.98	1388.16	974.5	1388.16	1322.37	1127.35	934.76	1151.06	674.59	1059.11	1250.98	1066.48	1242.34	1331.57	1225.22	785.88	1023.0	1216.75	842.36	1127.35	941.27	1529.73	1119.56	1242.34	842.36	1066.48	748.61	624.99	780.44	1277.29	1059.11	466.88	633.73	647.07	665.29	525.39	483.38	698.41	620.67	366.09	1359.57	1572.76	961.07	1119.56	954.43
SMG1	103.69	208.38	166.73	206.94	483.38	201.25	171.45	466.88	189.02	258.57	204.07	466.88	447.82	490.14	397.93	159.9	529.06	269.6	361.04	275.28	607.87	141.02	114.36	329.84	215.77	547.75	507.46	647.07	480.04	271.48	265.87	651.58	167.9	441.64	450.94	271.48	638.15	441.64	429.54	353.59	426.57	279.14	173.85	283.05	264.03	785.88	187.71	134.3	193.01	197.09	140.04	133.36	169.07	223.41	129.69	70.01	109.66	88.88	33.78	156.59	115.97	70.01	102.97	52.82	258.57	417.77	417.77	144.01	143.01
SP1	229.72	642.59	339.14	785.88	1051.79	638.15	607.87	954.43	769.69	698.41	540.19	1183.45	1066.48	884.29	713.11	490.14	1135.2	684.02	848.22	934.76	1127.35	651.58	281.09	1088.92	813.63	1143.1	808.0	1096.5	660.68	698.41	616.37	1111.82	599.49	896.64	974.5	647.07	1119.56	1096.5	848.22	698.41	928.3	878.17	536.45	679.29	769.69	1388.16	583.07	403.5	441.64	490.14	486.75	551.56	336.79	587.13	220.32	171.45	231.32	140.04	142.01	217.27	214.27	158.79	253.23	183.82	583.07	764.36	836.53	728.11	511.0
SPAST	106.63	159.9	145.02	163.28	239.52	154.42	146.03	262.2	112.77	189.02	120.1	253.23	224.97	161.02	149.12	152.28	217.27	144.01	185.11	218.79	303.44	113.56	108.9	237.86	133.36	229.72	299.25	267.73	186.4	190.34	147.06	182.55	123.5	231.32	214.27	138.1	273.37	197.09	171.45	142.01	187.71	159.9	139.07	116.78	204.07	309.83	147.06	187.71	258.57	116.78	94.67	115.97	103.69	167.9	53.19	69.03	72.01	64.8	52.45	77.25	64.8	76.17	85.22	53.57	204.07	180.02	193.01	171.45	161.02
SPG20	1151.06	743.43	511.0	819.3	1143.1	595.34	432.53	981.29	591.22	785.88	392.44	974.5	1135.2	665.29	884.29	785.88	947.83	633.73	733.19	629.35	698.41	642.59	332.14	698.41	1059.11	1127.35	819.3	599.49	490.14	607.87	1008.9	915.51	995.0	1001.93	884.29	647.07	1111.82	974.5	603.67	409.15	981.29	638.15	395.18	995.0	866.07	1397.83	934.76	1477.58	1340.84	466.88	177.53	480.04	486.75	466.88	29.27	123.5	124.37	143.01	144.01	127.89	123.5	267.73	198.47	325.29	660.68	647.07	872.1	669.92	860.08
SREK1	395.18	497.0	348.71	728.11	1159.07	514.56	423.61	808.0	738.29	511.0	669.92	872.1	1250.98	785.88	1242.34	563.18	1242.34	708.18	733.19	633.73	1073.91	463.65	406.31	1059.11	665.29	1781.89	802.41	825.0	934.76	813.63	819.3	1407.55	518.15	1111.82	1467.37	642.59	1268.46	1467.37	878.17	1066.48	878.17	780.44	476.71	723.08	748.61	1561.89	848.22	571.05	638.15	346.29	633.73	397.93	339.14	514.56	211.31	205.5	309.83	214.27	66.65	218.79	273.37	232.94	206.94	83.45	579.04	748.61	1037.29	769.69	587.13
SUZ12	163.28	205.5	206.94	236.21	447.82	232.94	229.72	454.09	172.65	195.72	177.53	698.41	748.61	281.09	303.44	295.11	536.45	332.14	256.78	493.56	500.46	325.29	232.94	547.75	255.0	463.65	490.14	612.11	540.19	281.09	262.2	480.04	215.77	532.74	603.67	255.0	928.3	470.14	351.14	307.69	376.41	346.29	323.03	371.22	397.93	579.04	460.44	199.85	301.33	158.79	150.17	171.45	206.94	212.78	92.05	119.26	132.44	115.16	54.72	147.06	121.79	143.01	132.44	105.15	291.04	295.11	332.14	368.65	178.77
SYNRG	127.0	269.6	348.71	376.41	435.55	262.2	165.57	521.76	183.82	253.23	194.36	384.34	638.15	249.73	358.54	327.56	514.56	287.01	356.05	497.0	341.51	197.09	163.28	406.31	316.37	381.68	457.25	579.04	536.45	277.2	248.0	432.53	194.36	426.57	567.1	204.07	476.71	525.39	325.29	236.21	476.71	341.51	341.51	293.07	332.14	1051.79	231.32	242.88	237.86	208.38	141.02	137.14	166.73	199.85	78.34	106.63	108.14	122.64	127.89	115.16	88.26	91.41	127.89	98.04	397.93	409.15	395.18	285.03	102.97
TADA2A	185.11	183.82	312.0	244.57	226.54	165.57	106.63	275.28	106.63	182.55	228.13	248.0	239.52	129.69	249.73	195.72	283.05	167.9	273.37	183.82	202.66	156.59	255.0	214.27	171.45	283.05	255.0	287.01	379.04	190.34	214.27	305.55	159.9	346.29	366.09	151.22	301.33	253.23	246.28	242.88	208.38	181.28	141.02	136.19	285.03	403.5	197.09	242.88	150.17	123.5	224.97	60.82	208.38	164.42	39.22	123.5	86.43	78.34	52.82	105.89	105.89	67.59	78.89	68.07	204.07	208.38	183.82	271.48	220.32
TANC1	173.85	348.71	351.14	229.72	466.88	323.03	208.38	283.05	234.57	318.57	267.73	305.55	277.2	283.05	389.72	127.89	426.57	289.02	176.29	279.14	353.59	226.54	157.68	325.29	283.05	384.34	231.32	376.41	244.57	295.11	291.04	406.31	264.03	220.32	397.93	348.71	400.71	299.25	275.28	246.28	356.05	246.28	206.94	271.48	409.15	329.84	368.65	267.73	450.94	281.09	295.11	217.27	181.28	289.02	64.8	51.71	68.55	38.4	49.21	57.08	75.64	67.59	42.11	60.82	466.88	507.46	392.44	289.02	217.27
TAOK1	116.78	246.28	181.28	291.04	525.39	234.57	351.14	429.54	172.65	267.73	121.79	595.34	684.02	217.27	262.2	232.94	529.06	273.37	303.44	403.5	575.03	218.79	74.06	420.68	256.78	409.15	483.38	591.22	587.13	420.68	269.6	441.64	228.13	540.19	497.0	251.48	780.44	476.71	309.83	228.13	426.57	289.02	279.14	271.48	297.17	387.02	262.2	237.86	267.73	246.28	139.07	180.02	169.07	246.28	93.35	62.56	62.12	48.18	28.65	58.3	66.18	59.97	74.06	46.18	327.56	346.29	387.02	177.53	163.28
TEFM	124.37	119.26	163.28	191.67	237.86	180.02	346.29	234.57	129.69	166.73	108.14	316.37	329.84	136.19	186.4	140.04	297.17	181.28	183.82	249.73	255.0	248.0	231.32	287.01	183.82	237.86	256.78	358.54	540.19	183.82	206.94	358.54	194.36	303.44	497.0	177.53	363.56	262.2	231.32	205.5	234.57	244.57	224.97	205.5	255.0	316.37	376.41	237.86	239.52	115.97	132.44	193.01	173.85	171.45	137.14	128.79	120.94	152.28	106.63	115.16	103.69	147.06	186.4	80.57	182.55	177.53	197.09	236.21	208.38
TMEM185B	316.37	379.04	368.65	503.95	460.44	429.54	412.0	438.59	368.65	325.29	327.56	607.87	476.71	423.61	397.93	473.41	518.15	447.82	423.61	612.11	563.18	361.04	178.77	607.87	361.04	497.0	567.1	551.56	555.41	346.29	392.44	397.93	358.54	373.81	320.8	295.11	547.75	395.18	454.09	346.29	476.71	348.71	813.63	312.0	384.34	559.28	521.76	412.0	205.5	480.04	287.01	493.56	277.2	400.71	126.12	102.25	89.51	100.83	105.15	78.34	190.34	93.35	105.15	66.65	490.14	540.19	536.45	571.05	291.04
TNPO1	267.73	397.93	323.03	743.43	988.12	412.0	426.57	884.29	490.14	638.15	343.89	1030.12	1359.57	743.43	579.04	669.92	1023.0	665.29	547.75	974.5	1487.87	429.54	426.57	1745.2	679.29	1044.52	1508.65	1135.2	884.29	698.41	665.29	1073.91	373.81	947.83	1159.07	555.41	1540.37	1167.14	813.63	629.35	974.5	743.43	703.28	624.99	796.86	1199.98	769.69	318.57	444.72	454.09	221.86	483.38	307.69	674.59	198.47	131.51	144.01	118.43	116.78	150.17	234.57	127.89	215.77	121.79	703.28	878.17	988.12	624.99	229.72
TOPORS	147.06	155.5	182.55	217.27	316.37	244.57	167.9	400.71	212.78	232.94	157.68	253.23	348.71	237.86	231.32	181.28	358.54	194.36	162.14	267.73	358.54	202.66	82.29	320.8	237.86	368.65	336.79	351.14	234.57	265.87	198.47	400.71	214.27	258.57	316.37	180.02	320.8	305.55	281.09	309.83	297.17	177.53	197.09	146.03	249.73	518.15	234.57	312.0	202.66	183.82	96.01	73.54	127.89	218.79	95.34	135.24	149.12	149.12	34.02	155.5	127.89	138.1	134.3	80.57	226.54	176.29	295.11	165.57	224.97
TRMT2B	55.1	143.01	199.85	193.01	309.83	141.02	264.03	490.14	255.0	255.0	197.09	329.84	251.48	271.48	232.94	96.01	262.2	170.25	258.57	202.66	248.0	206.94	76.71	309.83	185.11	258.57	323.03	275.28	189.02	186.4	93.35	224.97	208.38	208.38	185.11	166.73	260.38	220.32	195.72	217.27	231.32	209.84	239.52	144.01	158.79	271.48	217.27	116.78	186.4	88.26	155.5	124.37	104.42	118.43	59.97	113.56	73.03	64.34	89.51	100.13	65.72	102.97	70.51	161.02	198.47	211.31	164.42	241.19	74.06
UBR1	94.67	150.17	94.01	186.4	287.01	135.24	155.5	253.23	135.24	176.29	105.15	264.03	327.56	193.01	181.28	262.2	305.55	162.14	237.86	275.28	381.68	130.6	114.36	323.03	202.66	267.73	239.52	414.87	289.02	170.25	159.9	234.57	145.02	221.86	264.03	185.11	279.14	343.89	232.94	156.59	271.48	208.38	138.1	189.02	181.28	287.01	204.07	149.12	186.4	96.01	91.41	110.43	76.17	180.02	53.19	42.11	52.82	52.82	39.79	58.71	59.55	63.89	70.51	42.71	202.66	209.84	228.13	136.19	142.01
USP54	88.26	202.66	139.07	295.11	460.44	264.03	403.5	463.65	348.71	387.02	220.32	651.58	432.53	518.15	389.72	316.37	607.87	281.09	511.0	981.29	323.03	316.37	122.64	708.18	314.17	426.57	651.58	497.0	435.55	277.2	206.94	620.67	154.42	460.44	629.35	265.87	642.59	547.75	389.72	305.55	684.02	551.56	256.78	629.35	249.73	684.02	470.14	277.2	305.55	287.01	220.32	80.57	152.28	244.57	10.63	80.57	24.28	28.45	36.79	38.12	63.89	19.25	21.16	39.22	348.71	599.49	325.29	281.09	146.03
VPS8	169.07	329.84	343.89	412.0	536.45	356.05	293.07	450.94	346.29	366.09	253.23	429.54	563.18	373.81	384.34	234.57	559.28	307.69	551.56	507.46	587.13	309.83	197.09	532.74	371.22	575.03	591.22	518.15	591.22	297.17	303.44	447.82	336.79	426.57	603.67	457.25	444.72	463.65	387.02	356.05	414.87	791.35	305.55	379.04	334.46	612.11	483.38	412.0	429.54	334.46	218.79	341.51	291.04	320.8	97.36	101.54	78.34	68.55	102.25	92.05	112.77	102.97	87.65	67.59	320.8	400.71	341.51	529.06	251.48
ZFX	129.69	171.45	112.77	314.17	514.56	215.77	256.78	400.71	206.94	226.54	223.41	525.39	438.59	366.09	264.03	387.02	457.25	299.25	244.57	363.56	866.07	307.69	146.03	547.75	297.17	423.61	473.41	450.94	486.75	199.85	234.57	432.53	183.82	486.75	420.68	267.73	583.07	490.14	358.54	414.87	420.68	293.07	169.07	214.27	299.25	748.61	287.01	271.48	371.22	112.77	147.06	164.42	111.99	172.65	101.54	53.19	156.59	100.83	29.48	136.19	96.68	67.59	68.07	34.51	199.85	323.03	447.82	220.32	185.11
ZMYM4	177.53	329.84	262.2	551.56	753.83	470.14	432.53	748.61	466.88	511.0	336.79	603.67	785.88	591.22	395.18	444.72	748.61	490.14	587.13	595.34	647.07	309.83	312.0	551.56	521.76	775.05	753.83	896.64	511.0	412.0	423.61	738.29	441.64	540.19	624.99	463.65	808.0	684.02	490.14	521.76	559.28	616.37	363.56	329.84	503.95	1001.93	540.19	486.75	435.55	297.17	244.57	389.72	248.0	420.68	132.44	91.41	113.56	93.35	49.91	117.6	93.35	115.16	141.02	48.87	432.53	450.94	521.76	376.41	387.02
ZNF322	79.45	150.17	154.42	269.6	480.04	171.45	191.67	414.87	108.9	287.01	118.43	346.29	366.09	307.69	231.32	199.85	361.04	264.03	348.71	353.59	346.29	171.45	139.07	432.53	242.88	395.18	503.95	514.56	426.57	269.6	209.84	438.59	185.11	384.34	426.57	220.32	287.01	438.59	256.78	255.0	314.17	289.02	253.23	287.01	295.11	460.44	169.07	224.97	255.0	113.56	88.88	269.6	87.03	249.73	32.59	94.67	55.89	41.52	26.86	49.91	48.87	44.57	56.68	33.78	353.59	289.02	208.38	126.12	131.51
ZSCAN29	72.01	149.12	143.01	199.85	248.0	149.12	164.42	323.03	178.77	144.01	173.85	212.78	329.84	191.67	303.44	189.02	307.69	185.11	253.23	228.13	392.44	154.42	125.24	318.57	151.22	397.93	193.01	297.17	316.37	206.94	182.55	366.09	137.14	237.86	258.57	186.4	295.11	264.03	264.03	197.09	267.73	181.28	137.14	212.78	191.67	414.87	198.47	183.82	237.86	146.03	110.43	100.83	87.03	229.72	90.77	50.63	76.17	62.12	41.22	67.12	55.89	50.98	96.68	14.56	205.5	246.28	249.73	167.9	154.42
ZSWIM6	154.42	109.66	69.52	104.42	165.57	96.01	59.13	209.84	81.14	103.69	171.45	147.06	202.66	96.68	150.17	59.13	118.43	107.38	99.43	108.9	229.72	50.27	127.0	273.37	73.54	189.02	172.65	132.44	84.04	167.9	144.01	126.12	80.57	126.12	154.42	82.87	128.79	156.59	140.04	142.01	166.73	88.26	59.13	155.5	137.14	258.57	255.0	138.1	166.73	90.77	155.5	114.36	90.14	150.17	23.42	44.25	43.32	51.71	19.11	29.91	87.03	41.52	36.27	39.22	171.45	205.5	183.82	62.56	49.21
