	GTEX.ZF2S.2026.SM.5E461	TCGA.38.4626.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.WFJO.0326.SM.3GIL3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
PARP16	336.79	120.94	93.35	147.06	159.9	96.68	55.49	126.12	199.85	67.59	215.77	92.7	301.33	69.03	96.68	224.97	156.59	287.01	88.88	101.54	211.31	57.49	57.49	221.86	409.15	47.5	136.19	208.38	55.49	205.5	141.02	181.28	142.01	120.94	191.67	100.83	223.41	186.4	224.97	242.88	267.73	217.27	157.68	183.82	84.04	155.5	29.7	169.07	97.36	78.89	67.12	186.4	80.57
PAXIP1	389.72	73.54	33.3	133.36	172.65	84.63	84.04	86.43	92.7	49.56	69.03	84.04	170.25	62.12	86.43	158.79	130.6	155.5	51.35	116.78	228.13	33.54	67.59	147.06	220.32	36.53	68.07	172.65	68.55	165.57	82.29	132.44	100.13	94.01	147.06	60.39	139.07	126.12	157.68	129.69	123.5	132.44	143.01	197.09	72.01	47.84	52.82	76.71	67.12	55.1	48.87	154.42	59.55
PDDC1	860.08	486.75	246.28	460.44	764.36	341.51	256.78	497.0	796.86	242.88	262.2	500.46	785.88	120.1	693.58	665.29	543.96	836.53	224.97	703.28	518.15	348.71	403.5	616.37	995.0	103.69	332.14	624.99	199.85	902.89	521.76	529.06	480.04	316.37	599.49	295.11	674.59	521.76	507.46	743.43	277.2	708.18	674.59	679.29	368.65	318.57	166.73	176.29	403.5	295.11	341.51	785.88	197.09
PDIK1L	348.71	58.71	19.97	141.02	115.97	69.52	43.94	97.36	101.54	15.56	62.56	33.54	199.85	12.45	59.97	101.54	162.14	129.69	35.0	86.43	153.34	23.59	30.34	117.6	147.06	15.68	74.06	119.26	40.64	153.34	82.87	170.25	85.82	82.87	206.94	90.14	129.69	111.21	134.3	103.69	115.16	144.01	110.43	173.85	36.01	43.02	37.32	64.8	45.53	43.63	22.43	78.34	45.53
PLD6	134.3	43.63	12.09	72.01	109.66	35.25	29.27	25.35	96.01	17.13	33.06	30.12	81.71	23.25	16.03	68.07	47.17	127.0	32.59	46.84	79.45	57.89	17.77	48.52	209.84	11.55	33.3	35.25	23.25	136.19	31.45	57.08	34.51	54.72	95.34	29.91	94.01	88.26	63.0	53.57	74.06	53.19	115.16	98.04	42.41	18.7	35.25	36.53	23.42	29.06	31.67	46.84	36.01
PMS2	314.17	72.01	47.5	103.69	148.09	85.82	37.85	69.52	99.43	22.59	88.26	40.93	157.68	44.89	57.08	115.97	105.15	135.24	34.26	104.42	120.1	34.51	47.84	205.5	189.02	31.9	56.28	146.03	65.72	173.85	76.71	110.43	102.97	81.71	193.01	77.25	132.44	120.94	169.07	183.82	137.14	118.43	128.79	150.17	29.27	52.08	18.7	100.83	55.49	60.82	23.08	140.04	51.71
POC5	336.79	108.14	69.03	119.26	204.07	115.97	64.8	98.04	112.77	22.59	134.3	48.18	242.88	48.52	87.03	191.67	241.19	267.73	56.28	109.66	236.21	61.25	50.27	221.86	226.54	43.94	70.51	140.04	84.04	204.07	111.21	185.11	125.24	125.24	221.86	95.34	217.27	164.42	211.31	177.53	220.32	221.86	189.02	279.14	46.5	95.34	66.18	88.88	96.01	118.43	90.14	195.72	60.82
POFUT1	921.88	262.2	486.75	406.31	327.56	256.78	165.57	185.11	260.38	164.42	470.14	244.57	447.82	204.07	334.46	312.0	426.57	460.44	183.82	432.53	532.74	127.89	224.97	651.58	403.5	128.79	234.57	708.18	299.25	454.09	301.33	473.41	316.37	205.5	486.75	232.94	450.94	267.73	529.06	674.59	713.11	379.04	423.61	551.56	231.32	265.87	151.22	183.82	204.07	291.04	136.19	435.55	223.41
PTCH1	204.07	57.49	38.4	191.67	199.85	110.43	48.87	36.01	135.24	51.35	172.65	36.53	571.05	42.11	44.25	177.53	273.37	403.5	48.52	108.9	547.75	82.29	31.0	791.35	289.02	37.85	67.59	228.13	62.12	320.8	221.86	507.46	249.73	68.07	214.27	50.27	329.84	246.28	241.19	603.67	128.79	237.86	242.88	255.0	32.59	122.64	30.12	131.51	64.8	73.54	35.5	88.26	81.71
RAD17	743.43	229.72	150.17	466.88	373.81	248.0	94.67	223.41	283.05	96.68	239.52	142.01	426.57	144.01	228.13	336.79	447.82	423.61	129.69	269.6	444.72	106.63	134.3	363.56	435.55	100.83	204.07	389.72	167.9	400.71	260.38	406.31	215.77	253.23	547.75	182.55	395.18	368.65	397.93	429.54	518.15	307.69	423.61	435.55	165.57	177.53	114.36	215.77	228.13	141.02	156.59	291.04	166.73
REST	587.13	117.6	95.34	236.21	244.57	121.79	70.01	148.09	285.03	51.35	194.36	65.26	291.04	62.12	172.65	170.25	194.36	305.55	115.16	172.65	351.14	80.01	115.16	287.01	269.6	56.68	85.22	212.78	82.29	287.01	157.68	291.04	187.71	206.94	392.44	117.6	281.09	281.09	232.94	249.73	161.02	187.71	140.04	287.01	121.79	62.12	190.34	115.16	73.54	97.36	124.37	193.01	70.01
RFC5	457.25	159.9	104.42	162.14	229.72	152.28	43.63	93.35	217.27	64.8	161.02	54.72	297.17	37.85	107.38	189.02	267.73	291.04	67.59	181.28	363.56	42.11	75.64	260.38	384.34	29.91	68.55	215.77	57.89	220.32	114.36	209.84	120.94	115.16	312.0	128.79	353.59	228.13	275.28	218.79	220.32	260.38	182.55	299.25	58.71	73.03	35.76	108.14	82.87	82.29	33.78	470.14	72.52
RMND5B	728.11	543.96	563.18	728.11	660.68	503.95	226.54	447.82	599.49	301.33	392.44	320.8	616.37	346.29	480.04	866.07	684.02	688.78	295.11	616.37	728.11	253.23	438.59	813.63	642.59	198.47	460.44	748.61	291.04	896.64	423.61	848.22	486.75	327.56	480.04	312.0	1183.45	698.41	769.69	1044.52	848.22	819.3	780.44	842.36	271.48	500.46	197.09	379.04	426.57	339.14	297.17	540.19	314.17
RNF20	1286.18	258.57	234.57	470.14	480.04	356.05	149.12	242.88	460.44	115.97	409.15	183.82	603.67	246.28	318.57	540.19	674.59	599.49	232.94	426.57	748.61	181.28	173.85	603.67	733.19	105.15	206.94	575.03	171.45	780.44	392.44	656.11	363.56	341.51	669.92	215.77	624.99	638.15	607.87	753.83	660.68	470.14	490.14	684.02	236.21	248.0	144.01	309.83	267.73	242.88	211.31	490.14	258.57
RNF214	607.87	273.37	152.28	316.37	500.46	283.05	121.79	356.05	400.71	87.65	363.56	186.4	441.64	112.77	341.51	371.22	389.72	460.44	162.14	476.71	486.75	156.59	231.32	441.64	540.19	114.36	177.53	395.18	153.34	540.19	314.17	426.57	303.44	181.28	486.75	318.57	414.87	441.64	400.71	409.15	346.29	429.54	412.0	435.55	206.94	206.94	124.37	218.79	190.34	187.71	124.37	353.59	180.02
RP11-1212A22.4	2178.83	723.08	896.64	802.41	791.35	780.44	373.81	211.31	1950.0	277.2	981.29	620.67	1175.27	728.11	995.0	1936.53	1359.57	2047.0	269.6	1044.52	1066.48	1407.55	587.13	1896.65	3325.99	444.72	466.88	928.3	848.22	1909.85	1037.29	1870.53	1277.29	802.41	1639.59	521.76	2047.0	1447.15	974.5	1313.23	2209.26	1733.13	2061.24	1350.18	536.45	624.99	220.32	813.63	490.14	503.95	450.94	733.19	201.25
RPA1	2537.92	836.53	785.88	1104.13	854.13	836.53	285.03	497.0	780.44	339.14	743.43	441.64	896.64	351.14	693.58	1008.9	988.12	1794.29	476.71	1216.75	1594.73	571.05	669.92	1561.89	1313.23	281.09	660.68	1417.35	490.14	1685.71	1127.35	1216.75	1498.22	551.56	1350.18	633.73	1159.07	718.08	1369.04	2367.9	1369.04	974.5	1175.27	1498.22	703.28	483.38	262.2	1277.29	688.78	802.41	356.05	1769.57	728.11
SASS6	76.71	22.26	13.12	22.92	32.82	21.63	14.24	14.45	25.54	14.89	44.25	9.27	59.13	10.24	26.28	41.52	38.67	47.84	12.09	14.78	69.03	7.57	3.69	36.27	78.34	5.92	18.84	39.79	9.63	49.21	20.86	36.27	24.28	18.29	63.45	25.72	51.71	54.72	29.27	27.44	23.08	36.01	30.78	66.65	8.92	26.1	12.55	21.01	15.11	10.55	14.56	66.18	13.03
SEC24C	1529.73	866.07	753.83	1096.5	1088.92	1030.12	551.56	660.68	1008.9	420.68	753.83	688.78	1119.56	796.86	1044.52	1143.1	1277.29	1457.23	624.99	1037.29	1015.93	620.67	941.27	1286.18	1477.58	909.17	703.28	1286.18	583.07	1369.04	1216.75	1199.98	1143.1	688.78	1519.15	764.36	1119.56	995.0	1388.16	1487.87	1745.2	878.17	1427.22	1322.37	775.05	738.29	733.19	1104.13	1015.93	684.02	1008.9	1561.89	579.04
SLC4A1AP	587.13	303.44	281.09	406.31	412.0	334.46	191.67	316.37	332.14	180.02	381.68	224.97	387.02	172.65	403.5	409.15	460.44	438.59	214.27	320.8	466.88	180.02	273.37	514.56	486.75	96.68	204.07	417.77	262.2	483.38	220.32	450.94	343.89	356.05	507.46	309.83	497.0	381.68	460.44	387.02	384.34	403.5	395.18	447.82	215.77	194.36	155.5	325.29	267.73	212.78	217.27	463.65	201.25
SLC7A6OS	256.78	169.07	106.63	177.53	348.71	167.9	127.0	255.0	320.8	84.63	204.07	97.36	341.51	84.63	212.78	318.57	244.57	457.25	96.68	223.41	249.73	195.72	223.41	343.89	363.56	92.05	109.66	260.38	127.89	384.34	237.86	323.03	244.57	167.9	339.14	155.5	358.54	258.57	211.31	244.57	135.24	356.05	249.73	351.14	148.09	136.19	204.07	125.24	197.09	195.72	136.19	212.78	85.82
SMARCAD1	620.67	136.19	97.36	275.28	299.25	170.25	87.03	201.25	202.66	52.82	226.54	110.43	387.02	57.89	176.29	236.21	318.57	327.56	85.82	223.41	392.44	57.08	93.35	253.23	406.31	32.59	121.79	334.46	113.56	323.03	167.9	269.6	223.41	185.11	301.33	133.36	281.09	264.03	285.03	208.38	249.73	269.6	249.73	371.22	100.13	92.05	45.85	202.66	104.42	120.94	71.0	285.03	103.69
SMC2	376.41	70.51	38.67	102.25	138.1	87.65	40.36	80.57	102.25	30.56	69.03	24.11	135.24	47.17	98.04	122.64	116.78	150.17	38.95	159.9	223.41	22.59	77.79	162.14	144.01	23.59	38.95	159.9	43.63	119.26	76.17	164.42	97.36	55.49	236.21	53.57	175.07	194.36	131.51	128.79	98.04	148.09	88.88	204.07	55.89	30.78	47.5	50.63	45.21	53.57	33.3	346.29	46.84
SPIN3	194.36	34.02	20.86	44.25	120.1	46.18	42.11	16.51	83.45	14.03	43.02	24.99	181.28	15.34	24.99	96.68	78.89	121.79	7.88	62.12	114.36	26.67	21.94	136.19	178.77	3.63	21.78	80.01	17.64	101.54	47.17	88.26	85.82	39.79	148.09	22.26	102.25	54.33	66.65	97.36	28.45	109.66	72.01	98.73	26.67	35.25	11.38	41.52	16.88	27.44	11.82	30.12	40.36
SUPT16H	1857.6	693.58	612.11	1208.34	928.3	866.07	791.35	872.1	595.34	656.11	638.15	713.11	928.3	571.05	928.3	974.5	1583.71	1359.57	607.87	1008.9	1059.11	387.02	688.78	1350.18	1697.45	497.0	529.06	1088.92	518.15	1001.93	819.3	1233.75	954.43	743.43	954.43	536.45	1044.52	808.0	1427.22	1313.23	1551.09	848.22	1059.11	1477.58	366.09	629.35	796.86	647.07	759.08	595.34	607.87	2075.59	629.35
SUPT20H	1151.06	447.82	293.07	555.41	848.22	563.18	264.03	460.44	738.29	202.66	497.0	287.01	748.61	228.13	460.44	638.15	629.35	728.11	363.56	444.72	1023.0	336.79	237.86	713.11	848.22	120.94	371.22	476.71	429.54	656.11	651.58	785.88	848.22	780.44	884.29	384.34	995.0	1023.0	571.05	642.59	660.68	620.67	536.45	748.61	389.72	366.09	157.68	559.28	426.57	397.93	341.51	536.45	409.15
TAMM41	438.59	165.57	102.25	199.85	201.25	145.02	83.45	166.73	197.09	96.01	236.21	102.25	361.04	47.17	172.65	244.57	256.78	214.27	79.45	142.01	339.14	68.55	120.94	271.48	366.09	60.39	117.6	220.32	82.29	314.17	108.9	212.78	165.57	178.77	264.03	111.99	255.0	228.13	217.27	209.84	209.84	297.17	194.36	241.19	108.9	103.69	31.67	125.24	105.89	70.51	57.08	232.94	94.01
TFCP2	860.08	246.28	234.57	414.87	460.44	273.37	151.22	307.69	403.5	134.3	316.37	157.68	460.44	127.0	309.83	447.82	438.59	483.38	138.1	303.44	483.38	134.3	223.41	417.77	595.34	91.41	170.25	368.65	164.42	493.56	212.78	400.71	258.57	256.78	497.0	190.34	529.06	454.09	460.44	403.5	480.04	423.61	318.57	490.14	198.47	182.55	121.79	208.38	169.07	159.9	127.89	500.46	186.4
TGFBRAP1	289.02	129.69	96.68	256.78	228.13	185.11	87.03	134.3	199.85	51.71	129.69	109.66	236.21	107.38	175.07	209.84	228.13	249.73	105.15	221.86	253.23	57.49	88.26	287.01	218.79	43.02	153.34	275.28	122.64	265.87	185.11	291.04	173.85	140.04	214.27	99.43	194.36	182.55	226.54	271.48	232.94	177.53	258.57	242.88	93.35	120.1	88.88	178.77	113.56	127.0	107.38	178.77	94.67
THEM4	629.35	246.28	121.79	314.17	571.05	242.88	93.35	236.21	303.44	43.32	185.11	115.16	866.07	63.89	215.77	529.06	351.14	603.67	102.97	239.52	323.03	50.98	139.07	406.31	928.3	19.53	120.1	400.71	121.79	503.95	118.43	316.37	260.38	173.85	603.67	177.53	389.72	279.14	339.14	332.14	301.33	403.5	295.11	353.59	157.68	117.6	79.45	255.0	74.58	98.04	67.12	299.25	50.63
TIRAP	341.51	122.64	57.89	183.82	241.19	143.01	55.89	139.07	137.14	38.95	111.21	64.8	176.29	30.12	111.99	223.41	198.47	277.2	48.18	185.11	194.36	47.5	67.12	228.13	267.73	40.36	83.45	185.11	81.14	256.78	71.0	215.77	163.28	109.66	166.73	79.45	237.86	175.07	182.55	228.13	146.03	154.42	231.32	299.25	34.26	41.22	59.97	118.43	57.89	82.87	71.0	141.02	57.49
TLR5	493.56	121.79	77.79	139.07	339.14	92.7	182.55	48.52	265.87	72.52	170.25	87.03	305.55	40.93	72.01	406.31	387.02	312.0	17.9	265.87	189.02	208.38	63.0	186.4	426.57	14.24	223.41	226.54	64.34	518.15	151.22	217.27	93.35	279.14	334.46	48.52	185.11	633.73	358.54	293.07	202.66	143.01	417.77	403.5	34.51	54.33	40.36	97.36	69.52	111.99	173.85	269.6	94.67
TMEM209	497.0	149.12	136.19	305.55	202.66	171.45	96.68	146.03	170.25	73.54	171.45	79.45	242.88	87.65	151.22	170.25	318.57	223.41	128.79	237.86	329.84	53.95	104.42	246.28	295.11	34.51	127.89	265.87	97.36	249.73	128.79	318.57	182.55	199.85	281.09	135.24	244.57	173.85	358.54	316.37	305.55	191.67	249.73	353.59	90.14	127.89	52.08	166.73	111.99	98.73	89.51	181.28	102.97
TRMT10B	305.55	106.63	71.0	113.56	260.38	117.6	65.26	140.04	194.36	57.49	142.01	129.69	303.44	51.71	92.7	224.97	181.28	341.51	65.26	122.64	220.32	71.0	55.89	187.71	336.79	16.51	115.97	155.5	94.67	223.41	110.43	106.63	146.03	111.99	249.73	87.65	283.05	198.47	159.9	223.41	169.07	275.28	190.34	231.32	105.89	124.37	40.36	128.79	67.12	87.03	63.0	145.02	121.79
TRMT13	376.41	103.69	95.34	137.14	212.78	73.03	63.0	132.44	159.9	45.21	149.12	69.52	297.17	40.93	112.77	187.71	170.25	221.86	38.67	120.94	251.48	56.68	70.01	201.25	366.09	21.47	53.19	162.14	48.18	224.97	118.43	165.57	123.5	106.63	343.89	74.58	234.57	181.28	153.34	120.1	206.94	201.25	124.37	234.57	72.52	73.03	50.63	60.82	65.72	67.12	52.45	141.02	75.11
TUBGCP3	457.25	258.57	143.01	217.27	423.61	325.29	71.0	190.34	269.6	144.01	208.38	135.24	341.51	105.15	289.02	438.59	251.48	432.53	130.6	277.2	417.77	97.36	156.59	603.67	603.67	62.56	175.07	301.33	187.71	409.15	248.0	406.31	414.87	165.57	669.92	323.03	275.28	356.05	332.14	283.05	239.52	273.37	373.81	275.28	102.25	221.86	41.81	368.65	215.77	182.55	110.43	334.46	130.6
TUBGCP4	529.06	120.1	126.12	178.77	267.73	186.4	127.89	155.5	228.13	78.34	108.9	125.24	305.55	94.67	153.34	202.66	197.09	275.28	145.02	145.02	273.37	87.03	162.14	264.03	336.79	73.54	102.97	299.25	99.43	260.38	231.32	236.21	248.0	255.0	182.55	232.94	256.78	248.0	199.85	363.56	258.57	206.94	206.94	299.25	201.25	146.03	111.21	131.51	166.73	183.82	108.14	167.9	98.73
TUBGCP5	291.04	97.36	87.03	181.28	202.66	108.14	50.98	72.52	98.73	44.89	133.36	97.36	212.78	63.45	111.99	193.01	185.11	215.77	75.11	198.47	295.11	27.84	96.68	236.21	214.27	17.38	88.26	202.66	98.04	173.85	67.59	208.38	167.9	163.28	182.55	77.79	181.28	104.42	199.85	175.07	115.16	135.24	183.82	209.84	63.45	92.7	25.91	135.24	67.59	74.58	47.84	181.28	62.12
UBE3B	693.58	336.79	283.05	441.64	591.22	376.41	224.97	353.59	441.64	161.02	466.88	231.32	493.56	194.36	289.02	493.56	493.56	669.92	244.57	473.41	507.46	226.54	189.02	450.94	563.18	180.02	329.84	414.87	262.2	669.92	295.11	642.59	470.14	379.04	429.54	262.2	493.56	463.65	470.14	748.61	397.93	575.03	624.99	583.07	256.78	264.03	100.13	414.87	255.0	293.07	237.86	376.41	312.0
WDR11	1015.93	463.65	392.44	665.29	1001.93	486.75	283.05	480.04	638.15	183.82	547.75	341.51	896.64	223.41	532.74	780.44	713.11	748.61	500.46	511.0	872.1	406.31	414.87	624.99	1225.22	170.25	332.14	612.11	470.14	974.5	563.18	708.18	884.29	674.59	1277.29	743.43	825.0	748.61	518.15	587.13	480.04	444.72	698.41	748.61	327.56	279.14	140.04	660.68	246.28	348.71	226.54	679.29	417.77
WDR92	260.38	100.13	65.72	159.9	164.42	143.01	101.54	70.01	118.43	26.47	105.15	59.97	195.72	48.18	96.68	172.65	170.25	221.86	41.22	126.12	193.01	71.5	62.56	181.28	186.4	25.91	60.82	159.9	71.0	191.67	133.36	181.28	120.1	212.78	178.77	86.43	191.67	142.01	172.65	165.57	167.9	146.03	131.51	189.02	80.01	87.65	45.85	86.43	78.34	69.52	48.18	169.07	82.29
ZBTB14	559.28	135.24	88.88	155.5	293.07	155.5	92.05	145.02	198.47	77.25	209.84	94.01	392.44	76.17	113.56	262.2	267.73	356.05	73.54	190.34	343.89	74.06	90.77	249.73	309.83	62.56	87.03	281.09	126.12	289.02	157.68	289.02	197.09	125.24	376.41	163.28	295.11	209.84	223.41	249.73	253.23	269.6	221.86	281.09	96.68	98.73	68.07	161.02	147.06	132.44	95.34	201.25	78.34
ZBTB3	162.14	53.19	28.04	95.34	83.45	42.71	33.06	72.52	68.55	30.78	66.65	48.18	109.66	17.25	55.1	129.69	108.14	146.03	18.43	60.82	93.35	57.49	56.68	81.14	103.69	16.51	10.88	82.87	19.68	101.54	53.57	89.51	67.12	36.27	116.78	59.97	71.0	95.34	106.63	100.13	147.06	55.1	106.63	161.02	17.25	30.78	21.78	28.04	35.76	30.78	18.7	84.04	28.04
ZBTB45	265.87	221.86	82.87	316.37	281.09	198.47	84.63	121.79	217.27	46.18	163.28	113.56	177.53	47.5	153.34	312.0	214.27	281.09	71.5	199.85	199.85	61.68	178.77	246.28	221.86	74.58	127.89	231.32	120.94	325.29	120.1	301.33	176.29	149.12	166.73	98.04	204.07	187.71	281.09	332.14	199.85	269.6	289.02	234.57	57.49	115.16	62.12	139.07	121.79	96.68	78.34	221.86	116.78
ZFP3	161.02	45.85	12.83	85.22	123.5	96.68	39.22	76.17	55.49	5.59	53.95	42.71	130.6	14.89	51.35	128.79	164.42	232.94	12.36	63.45	86.43	16.63	30.12	123.5	130.6	5.73	16.39	98.04	19.82	122.64	60.39	144.01	59.13	69.52	141.02	36.27	146.03	67.59	130.6	115.97	141.02	100.83	120.94	123.5	11.82	12.45	7.4	21.32	19.25	15.8	25.91	89.51	18.84
ZFP82	226.54	31.9	25.35	66.65	123.5	26.47	11.55	36.27	81.14	4.86	48.52	10.47	202.66	4.78	35.0	109.66	79.45	123.5	5.06	15.68	137.14	12.0	31.45	128.79	186.4	5.28	14.45	99.43	9.48	249.73	35.5	53.19	42.41	20.56	122.64	18.16	135.24	78.89	84.04	71.0	118.43	175.07	80.01	143.01	14.89	23.42	17.0	18.03	17.9	17.77	18.56	76.17	4.31
ZKSCAN3	147.06	29.06	24.99	51.35	102.25	48.87	14.56	41.52	65.26	12.27	43.32	22.75	122.64	16.27	40.07	91.41	92.7	98.04	13.83	52.08	128.79	135.24	17.0	94.01	94.01	10.55	27.44	71.5	26.1	81.71	71.5	85.82	73.54	31.67	143.01	38.95	89.51	75.11	68.07	97.36	57.49	60.39	73.03	102.97	27.44	50.27	14.24	41.52	39.79	38.67	22.1	34.75	19.68
ZKSCAN4	212.78	56.68	23.08	57.49	96.68	52.08	19.82	59.97	69.52	8.85	66.65	32.36	131.51	24.11	75.64	130.6	97.36	116.78	16.39	73.03	118.43	27.44	32.13	112.77	140.04	16.15	32.82	84.04	31.22	105.15	50.27	87.65	79.45	37.32	149.12	56.68	109.66	105.89	99.43	69.03	102.25	89.51	87.65	100.13	19.25	29.91	24.46	45.53	32.13	37.05	19.82	82.87	18.29
ZKSCAN5	283.05	73.54	52.82	112.77	119.26	97.36	27.05	87.03	85.82	24.28	101.54	55.89	119.26	61.68	113.56	116.78	141.02	144.01	43.32	97.36	153.34	43.32	86.43	141.02	146.03	58.3	59.13	129.69	65.72	143.01	88.88	136.19	76.17	59.97	148.09	49.56	135.24	136.19	132.44	142.01	185.11	102.25	120.94	170.25	39.22	64.8	67.59	74.06	62.12	57.08	45.21	101.54	56.68
ZKSCAN7	217.27	17.77	18.84	37.59	65.72	10.88	8.32	27.25	33.78	6.31	57.89	19.68	81.71	2.1	38.67	66.18	54.72	66.65	5.54	19.25	57.08	8.06	12.83	69.03	77.79	2.97	11.38	58.3	8.0	65.72	22.26	80.01	19.82	11.55	84.63	8.45	55.89	59.97	62.12	58.3	69.52	55.1	50.63	50.98	6.11	17.0	4.35	13.72	10.88	11.3	5.92	42.71	9.34
ZNF135	587.13	21.63	11.38	38.12	116.78	27.84	21.16	7.0	75.64	6.62	64.8	6.52	107.38	2.94	12.45	95.34	47.5	111.99	18.29	38.12	181.28	11.73	20.41	94.01	162.14	4.7	8.25	102.25	11.04	120.1	17.25	88.26	30.78	31.45	90.77	10.24	191.67	69.03	50.27	107.38	78.89	122.64	64.34	74.58	33.78	8.32	3.92	13.12	6.52	20.86	2.71	61.25	15.45
ZNF174	258.57	102.25	66.18	136.19	159.9	156.59	47.17	101.54	122.64	32.82	110.43	61.68	251.48	46.5	112.77	201.25	187.71	194.36	54.72	161.02	206.94	52.08	55.49	229.72	209.84	44.25	87.65	154.42	77.79	187.71	133.36	175.07	163.28	120.1	195.72	114.36	199.85	134.3	145.02	173.85	182.55	217.27	164.42	173.85	53.57	109.66	55.89	119.26	98.73	74.58	71.0	145.02	77.25
ZNF18	205.5	105.15	96.68	102.25	191.67	119.26	53.95	102.25	87.03	28.24	169.07	63.0	187.71	26.47	118.43	232.94	165.57	173.85	60.39	107.38	154.42	46.84	64.8	194.36	199.85	50.98	58.3	127.0	77.79	138.1	61.25	157.68	133.36	96.68	218.79	120.1	167.9	102.25	154.42	128.79	138.1	122.64	158.79	126.12	27.84	68.07	28.65	124.37	70.01	88.26	40.36	128.79	45.53
ZNF211	540.19	142.01	74.58	138.1	426.57	158.79	82.29	153.34	244.57	36.53	181.28	89.51	371.22	52.45	273.37	361.04	264.03	381.68	69.03	129.69	236.21	127.89	97.36	264.03	669.92	67.59	85.22	157.68	87.65	470.14	143.01	289.02	165.57	95.34	480.04	123.5	363.56	249.73	141.02	190.34	145.02	583.07	264.03	305.55	92.05	110.43	88.88	181.28	114.36	77.25	45.21	255.0	92.05
ZNF225	189.02	28.24	19.25	41.52	93.35	40.36	16.51	40.07	40.07	10.16	51.35	21.47	65.72	21.78	39.5	53.19	94.67	119.26	17.38	44.89	85.22	15.11	24.63	73.54	101.54	17.13	24.11	57.08	34.75	105.15	48.87	62.56	52.45	26.67	81.14	28.24	81.71	69.52	52.08	66.65	74.58	69.03	75.64	96.68	19.25	22.92	23.42	26.86	24.99	24.11	29.91	43.63	18.56
ZNF284	49.21	14.78	12.55	18.84	33.3	19.68	8.45	25.91	27.05	3.79	34.02	18.97	52.82	13.62	46.18	53.57	39.79	63.0	10.31	20.41	24.28	9.63	12.55	40.07	43.63	6.26	6.16	28.86	13.83	56.28	16.03	29.06	26.86	9.48	55.89	25.17	44.89	40.07	21.01	19.97	20.41	21.63	27.84	51.71	13.42	16.27	8.78	16.03	11.73	11.13	20.11	20.11	8.32
ZNF354C	260.38	15.34	6.31	27.64	69.03	38.67	12.55	39.79	24.81	4.24	42.41	17.0	165.57	8.38	38.4	44.25	77.25	129.69	8.58	29.7	81.71	10.55	9.41	72.01	177.53	2.14	19.11	82.29	16.75	65.72	46.18	59.55	51.71	6.06	98.73	13.72	68.55	54.33	36.01	61.68	27.64	88.88	37.85	96.68	11.82	20.71	18.43	21.78	15.56	11.55	15.68	22.92	12.83
ZNF397	753.83	145.02	186.4	124.37	334.46	157.68	114.36	228.13	267.73	124.37	195.72	195.72	579.04	94.01	161.02	327.56	532.74	450.94	97.36	239.52	332.14	151.22	106.63	273.37	728.11	23.08	131.51	293.07	94.67	490.14	175.07	309.83	297.17	170.25	518.15	108.9	356.05	447.82	323.03	371.22	234.57	384.34	226.54	429.54	150.17	88.26	78.89	212.78	170.25	167.9	125.24	165.57	120.1
