	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RVPV.1726.SM.5SI8C	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.REY6.0526.SM.2TF5M	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.TSE9.0626.SM.3DB8B	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
MPG	258.57	299.25	423.61	3124.78	5112.16	2777.33	2178.83	3124.78	2976.74	3716.2	2255.7	4388.98	1277.29	480.04	1225.22	934.76	1819.35	1594.73	1030.12	1487.87	1388.16	1540.37	928.3	947.83	1651.0	928.3	1295.13	1857.6	1127.35	1250.98	616.37	1066.48	1674.06	1721.16	1540.37	1697.45	1199.98	1977.24	2133.97	1806.78	1304.15	1551.09	1806.78	2061.24	1447.15	1883.54	2133.97	1233.75	1781.89	1757.34	2104.58	1417.35	1697.45	2468.49	1794.29	1561.89	1388.16	1277.29	2502.97	1208.34	1119.56	1417.35	2609.3	1605.83	2591.27	954.43	1340.84	1417.35	1487.87	1950.0	1487.87	2271.4	1242.34	1806.78	1628.26	1605.83
MRPL12	325.29	229.72	356.05	1259.69	1583.71	2255.7	1896.65	1498.22	1781.89	1561.89	2047.0	2485.67	1015.93	511.0	703.28	540.19	1331.57	796.86	490.14	1119.56	1119.56	1030.12	521.76	693.58	836.53	450.94	591.22	1167.14	842.36	738.29	381.68	503.95	1030.12	1015.93	1437.15	1259.69	723.08	2061.24	1183.45	981.29	842.36	1044.52	738.29	759.08	981.29	1498.22	796.86	759.08	1437.15	1127.35	2209.26	808.0	872.1	1781.89	1447.15	728.11	934.76	825.0	1806.78	769.69	791.35	954.43	1832.01	954.43	1540.37	473.41	830.75	476.71	1359.57	896.64	981.29	995.0	708.18	1096.5	921.88	1066.48
MRPL28	476.71	547.75	679.29	1963.57	2224.63	2573.36	2451.44	1832.01	2417.67	2682.69	2240.11	3874.05	1529.73	1119.56	1073.91	1127.35	2075.59	1594.73	1023.0	1709.26	1832.01	1950.0	1051.79	1066.48	1508.65	1167.14	928.3	2004.85	1135.2	1216.75	974.5	1111.82	1674.06	2090.03	1745.2	1628.26	1015.93	2351.53	2032.85	1757.34	1572.76	1896.65	1781.89	1733.13	1427.22	2224.63	1870.53	1909.85	2032.85	1832.01	2417.67	1628.26	1662.49	2485.67	1674.06	1477.58	1819.35	1685.71	2451.44	1519.15	1331.57	1417.35	2701.35	1721.16	2148.82	1259.69	1794.29	890.44	2018.8	1674.06	1832.01	2119.22	1225.22	1819.35	1697.45	1674.06
MRPL34	490.14	703.28	866.07	3794.3	3540.14	4181.07	3372.43	3018.3	2664.15	2664.15	4388.98	3168.41	2163.77	1073.91	1794.29	981.29	3349.13	2645.74	848.22	1923.14	2240.11	2224.63	1397.83	1628.26	2701.35	759.08	1794.29	1806.78	1073.91	1498.22	764.36	1359.57	2591.27	2701.35	2178.83	3060.45	947.83	2627.46	2400.97	2384.37	1977.24	2255.7	2417.67	1806.78	2555.58	3103.19	2004.85	1216.75	2915.45	2468.49	3395.89	2758.13	1551.09	3982.99	2777.33	1806.78	2148.82	1551.09	3901.01	1819.35	1551.09	1870.53	2591.27	3349.13	3443.31	1259.69	2240.11	1096.5	2758.13	1167.14	2163.77	2240.11	981.29	2591.27	2434.5	2796.65
MRPL54	162.14	543.96	1191.69	2720.15	2997.45	3690.52	3794.3	3146.52	3491.39	3742.05	3280.18	3901.01	2090.03	1331.57	1819.35	1407.55	3419.52	2573.36	1662.49	2555.58	2720.15	2537.92	1208.34	2004.85	2739.08	1819.35	1977.24	2739.08	2400.97	1923.14	1437.15	1674.06	3146.52	2835.7	2701.35	2502.97	1407.55	3018.3	2682.69	3081.75	2434.5	2287.2	2555.58	2915.45	2555.58	3372.43	3303.0	2384.37	3467.27	2240.11	3955.48	2287.2	3060.45	4066.71	2682.69	2451.44	2090.03	2434.5	3768.09	2018.8	2384.37	2047.0	4010.71	2573.36	2976.74	1417.35	2287.2	995.0	2555.58	2255.7	2573.36	3564.78	2061.24	2758.13	2303.12	2720.15
MRPS34	713.11	764.36	476.71	2209.26	3212.66	3081.75	2555.58	2537.92	2384.37	2915.45	2664.15	6079.61	1639.59	866.07	1322.37	1322.37	2032.85	1781.89	688.78	1457.23	1457.23	1662.49	974.5	1378.57	1427.22	791.35	1111.82	1697.45	1008.9	1242.34	647.07	1175.27	2224.63	1769.57	1963.57	2075.59	571.05	2018.8	2004.85	2133.97	1259.69	1832.01	1806.78	1508.65	2133.97	2163.77	1709.26	1233.75	2075.59	1674.06	2061.24	1551.09	1508.65	2303.12	2224.63	1583.71	1467.37	1268.46	2502.97	1378.57	1143.1	1359.57	2537.92	1617.0	2645.74	1225.22	1540.37	764.36	1844.76	1359.57	1662.49	2075.59	1216.75	1832.01	1923.14	2255.7
NDUFA11	1044.52	2090.03	2485.67	8598.28	9474.59	11504.21	11664.82	8658.09	10959.3	13033.07	9808.75	11827.67	4802.93	2319.15	4481.23	3443.31	9025.81	5954.47	5006.93	5441.3	7130.55	5791.62	4450.27	4358.66	6121.9	4123.49	5147.73	6745.86	6294.04	4972.34	2956.17	4210.15	7803.01	6699.25	6471.02	6164.49	5006.93	7642.41	8078.22	5954.47	6607.01	6699.25	5633.22	8191.0	5255.91	7749.1	7857.29	6471.02	7537.18	5441.3	8658.09	6561.36	6745.86	10659.59	6840.04	6037.61	7180.15	5441.3	10883.59	4671.57	4298.64	5995.9	10733.74	6337.83	8778.97	3190.46	6607.01	4481.23	5633.22	5954.47	5633.22	6983.79	5255.91	8305.36	6840.04	6426.31
NDUFA13	1159.07	2090.03	2319.15	12676.65	14663.09	11827.67	14461.21	11664.82	14561.8	15715.58	13492.72	13123.73	6250.56	3372.43	5403.7	4543.8	11112.3	6792.79	5403.7	6745.86	10084.54	8421.31	3742.05	5441.3	7382.04	4152.18	6887.62	8901.53	6840.04	5517.27	3168.41	4704.07	9409.14	7485.11	8538.88	7749.1	5112.16	12329.98	9673.69	8078.22	7642.41	9025.81	6652.97	8305.36	6381.92	9673.69	9740.98	6699.25	11664.82	7130.55	14561.8	7695.57	6381.92	12329.98	11189.6	6745.86	7857.29	6652.97	11745.96	6745.86	6037.61	6792.79	15607.02	8963.45	9740.98	4210.15	6652.97	3874.05	9344.14	7695.57	7180.15	11345.82	5672.41	8778.97	7331.05	7695.57
NDUFA2	217.27	1088.92	769.69	3491.39	3847.29	3847.29	5112.16	3235.01	3690.52	4095.0	4123.49	5995.9	1977.24	1883.54	1745.2	1674.06	4639.29	3124.78	1540.37	2287.2	2537.92	2061.24	1322.37	1909.85	3540.14	1561.89	1733.13	2835.7	1832.01	2061.24	1286.18	1923.14	3515.68	2335.28	3124.78	2502.97	1477.58	2875.3	3540.14	2855.44	1819.35	2915.45	3018.3	4010.71	2609.3	3467.27	3690.52	2287.2	3280.18	1991.0	4704.07	2400.97	2976.74	4268.94	3395.89	2148.82	2555.58	1794.29	3742.05	2163.77	1950.0	2018.8	4210.15	3168.41	3820.7	1540.37	2287.2	1340.84	2367.9	2193.99	2367.9	3955.48	2319.15	3639.7	2875.3	3564.78
NDUFAB1	466.88	2032.85	902.89	3467.27	3665.02	2758.13	2997.45	2835.7	3540.14	3060.45	3235.01	4836.35	1977.24	1950.0	1447.15	1721.16	2777.33	2018.8	1304.15	2271.4	2319.15	2434.5	1268.46	1519.15	2061.24	1733.13	1477.58	2758.13	2224.63	1819.35	1073.91	1388.16	2178.83	2004.85	3081.75	2119.22	1331.57	3372.43	2287.2	2018.8	2255.7	2555.58	1378.57	1733.13	2047.0	3103.19	1870.53	2090.03	2875.3	2148.82	2935.74	1991.0	1757.34	3564.78	3820.7	1697.45	2148.82	2018.8	3419.52	1883.54	2209.26	2335.28	2645.74	2090.03	3190.46	1208.34	2303.12	1259.69	2701.35	1819.35	1991.0	2255.7	1745.2	2090.03	1806.78	2255.7
NDUFB10	1662.49	1844.76	2119.22	5403.7	5076.84	6079.61	5751.61	4607.24	4972.34	5112.16	5791.62	7857.29	3280.18	2335.28	2451.44	2627.46	4903.87	4038.61	2032.85	3081.75	3768.09	3540.14	2193.99	2468.49	3874.05	2090.03	2335.28	3564.78	2609.3	2193.99	1508.65	2664.15	4298.64	3794.3	3665.02	3564.78	1583.71	4671.57	4328.55	3639.7	2682.69	4123.49	3716.2	3742.05	3665.02	4066.71	4123.49	2855.44	4937.99	3564.78	5479.15	3794.3	4038.61	4903.87	4639.29	3280.18	3639.7	3168.41	4903.87	2835.7	2609.3	3081.75	6381.92	4181.07	4937.99	2384.37	3060.45	2434.5	4543.8	2835.7	3540.14	4095.0	2720.15	3982.99	4328.55	3614.55
NDUFB7	351.14	1322.37	2384.37	8479.89	8840.04	13681.08	14461.21	7433.4	9540.5	10512.82	8901.53	15392.14	5441.3	2935.74	4543.8	4268.94	10225.32	5954.47	3901.01	6294.04	7382.04	7589.61	3467.27	5403.7	7180.15	3589.58	4802.93	8363.13	6207.38	3589.58	1819.35	4512.4	9409.14	7081.29	8658.09	7331.05	2271.4	10014.87	8840.04	8479.89	6164.49	7857.29	6381.92	7589.61	5831.91	9215.48	9876.98	6037.61	9740.98	6607.01	13215.02	7130.55	7130.55	11664.82	9540.5	6652.97	6652.97	5255.91	11035.54	6471.02	4512.4	6079.61	13399.51	7911.95	8840.04	2758.13	6471.02	3491.39	8078.22	6840.04	7537.18	8363.13	5006.93	7537.18	8305.36	7911.95
NDUFC2	836.53	2287.2	2004.85	15392.14	15607.02	17197.56	16960.78	19482.97	15075.35	17197.56	17558.94	15180.22	7280.4	5791.62	6887.62	5954.47	13215.02	10733.74	6561.36	9474.59	10959.3	10808.41	4607.24	6207.38	11992.79	6471.02	8191.0	8078.22	7695.57	5995.9	3955.48	8247.98	11035.54	8421.31	14361.31	11745.96	6207.38	14971.21	11112.3	11035.54	9673.69	12415.75	6745.86	8078.22	11584.24	13968.57	12160.22	9344.14	15180.22	9025.81	16045.82	11035.54	6471.02	20310.37	15285.81	8718.32	9151.82	8778.97	15075.35	9409.14	9945.68	11189.6	18950.18	13681.08	14361.31	6426.31	9740.98	4736.79	9945.68	9151.82	8718.32	13215.02	6652.97	8134.41	10659.59	9215.48
NDUFS6	507.46	277.2	575.03	2148.82	1757.34	2468.49	2335.28	1651.0	2573.36	2303.12	2976.74	5112.16	1313.23	660.68	947.83	780.44	1909.85	1388.16	896.64	1295.13	1909.85	1651.0	656.11	1135.2	1583.71	660.68	1250.98	1540.37	796.86	802.41	629.35	974.5	1572.76	1313.23	1697.45	1781.89	688.78	2555.58	1487.87	1540.37	1467.37	1639.59	1233.75	1259.69	1304.15	2075.59	1295.13	1561.89	2627.46	1081.39	2573.36	1477.58	1008.9	2367.9	2271.4	1350.18	1437.15	1359.57	2163.77	1498.22	1331.57	1417.35	2520.38	1819.35	1709.26	620.67	1295.13	476.71	1963.57	1277.29	1397.83	1662.49	842.36	1572.76	1437.15	1508.65
NDUFS7	182.55	397.93	896.64	3325.99	2682.69	4095.0	4066.71	2956.17	2796.65	4095.0	3515.68	4268.94	2004.85	435.55	1498.22	1044.52	2875.3	1697.45	1369.04	2104.58	2018.8	2351.53	1417.35	1857.6	2502.97	860.08	1651.0	2075.59	1477.58	1639.59	796.86	1208.34	2935.74	2468.49	2224.63	2303.12	988.12	3081.75	3018.3	2271.4	1498.22	2502.97	2178.83	2148.82	1883.54	2758.13	2451.44	1936.53	3257.52	2178.83	4419.52	2004.85	1923.14	3467.27	2935.74	2224.63	1883.54	1561.89	3742.05	1909.85	1159.07	1909.85	3349.13	2075.59	2976.74	1096.5	2075.59	1508.65	2271.4	2287.2	2119.22	2537.92	1359.57	2591.27	2255.7	2434.5
NDUFS8	1135.2	638.15	785.88	7485.11	6745.86	7642.41	8538.88	7230.1	6792.79	7749.1	7911.95	9151.82	3235.01	1199.98	2104.58	1519.15	4512.4	2915.45	2061.24	4038.61	3820.7	4328.55	1561.89	2451.44	3467.27	1457.23	3018.3	3349.13	2591.27	2319.15	1378.57	2133.97	4268.94	3928.15	4802.93	4010.71	2193.99	6164.49	4038.61	3280.18	3124.78	3794.3	2434.5	3190.46	3349.13	4903.87	3768.09	3060.45	5441.3	3146.52	7433.4	3443.31	2520.38	6699.25	5403.7	2915.45	3349.13	2645.74	5913.33	2915.45	2664.15	4152.18	8247.98	3690.52	5672.41	1397.83	3018.3	2032.85	4181.07	3235.01	3589.58	4512.4	2400.97	3614.55	3515.68	4328.55
NOSIP	684.02	358.54	1127.35	1594.73	1322.37	2537.92	1896.65	1832.01	2520.38	2367.9	1870.53	2335.28	1259.69	764.36	1199.98	1104.13	1519.15	1304.15	872.1	1350.18	1250.98	1304.15	1119.56	1225.22	1250.98	830.75	928.3	1594.73	967.76	1331.57	1081.39	1073.91	1605.83	1662.49	1487.87	1378.57	981.29	1388.16	1529.73	1685.71	1277.29	1447.15	1685.71	1498.22	1467.37	1923.14	1540.37	1242.34	1583.71	1437.15	1697.45	1369.04	1313.23	1697.45	1417.35	1388.16	1378.57	1151.06	1977.24	1295.13	1119.56	1073.91	1963.57	1268.46	1844.76	1143.1	1259.69	1225.22	1388.16	1304.15	1477.58	1498.22	1242.34	1745.2	1685.71	1477.58
OXLD1	114.36	52.82	115.16	1250.98	896.64	1572.76	1250.98	1551.09	1233.75	1111.82	954.43	1304.15	536.45	249.73	579.04	444.72	703.28	665.29	384.34	909.17	547.75	674.59	420.68	507.46	607.87	447.82	500.46	575.03	703.28	346.29	429.54	698.41	753.83	1044.52	688.78	759.08	291.04	638.15	718.08	616.37	463.65	733.19	595.34	651.58	703.28	753.83	616.37	733.19	738.29	775.05	961.07	796.86	620.67	1001.93	669.92	684.02	764.36	665.29	1044.52	483.38	297.17	551.56	954.43	802.41	1167.14	314.17	718.08	420.68	780.44	872.1	738.29	819.3	540.19	791.35	813.63	785.88
PIGQ	281.09	133.36	244.57	2047.0	1498.22	2319.15	2193.99	2224.63	1870.53	2434.5	2319.15	3124.78	1096.5	521.76	1359.57	738.29	1819.35	974.5	791.35	1697.45	1397.83	1674.06	1175.27	1417.35	1369.04	921.88	1340.84	1359.57	1250.98	1183.45	967.76	1143.1	1662.49	1819.35	1437.15	1519.15	1008.9	1651.0	1030.12	1551.09	1135.2	1295.13	1594.73	1407.55	1427.22	1457.23	1427.22	1175.27	1322.37	1651.0	1896.65	1322.37	1295.13	1733.13	1250.98	1467.37	941.27	1119.56	1685.71	1457.23	1051.79	1757.34	2224.63	1685.71	1733.13	1175.27	1242.34	967.76	1277.29	2178.83	1617.0	1639.59	1159.07	1651.0	1662.49	2178.83
PIN1	351.14	258.57	1081.39	1685.71	1697.45	1857.6	2018.8	1639.59	2367.9	2287.2	1639.59	2075.59	1242.34	656.11	1015.93	1023.0	1709.26	1286.18	934.76	1437.15	1551.09	1369.04	1037.29	1119.56	1594.73	669.92	884.29	1437.15	961.07	1191.69	1111.82	1111.82	1583.71	1617.0	1857.6	1487.87	753.83	1551.09	1757.34	1437.15	1331.57	1651.0	1594.73	1594.73	1427.22	1757.34	1427.22	1427.22	1594.73	1508.65	1745.2	1340.84	1250.98	1769.57	1427.22	1277.29	1561.89	1199.98	2178.83	1127.35	1111.82	1191.69	2193.99	1407.55	1819.35	954.43	1304.15	954.43	1304.15	1477.58	1304.15	1662.49	1088.92	1819.35	1378.57	1685.71
POLR2E	759.08	1183.45	1250.98	3303.0	3639.7	4123.49	3639.7	3794.3	3614.55	4358.66	4123.49	4123.49	2682.69	1662.49	2367.9	2061.24	3257.52	2739.08	2004.85	2777.33	2537.92	3018.3	2018.8	2335.28	2895.31	1769.57	2485.67	2739.08	2664.15	2573.36	2090.03	2148.82	3235.01	3303.0	2855.44	3039.3	1733.13	3039.3	3443.31	2915.45	2627.46	2956.17	3349.13	2915.45	3325.99	3564.78	3146.52	2573.36	3395.89	2915.45	3303.0	2502.97	3467.27	3235.01	2701.35	3168.41	2835.7	2417.67	4239.45	2502.97	2537.92	2645.74	3235.01	2701.35	3665.02	2148.82	2591.27	2573.36	2816.11	3060.45	2664.15	4123.49	2434.5	3443.31	3039.3	3257.52
POLR2L	329.84	1561.89	2047.0	8479.89	9088.59	7485.11	9740.98	6516.03	7966.99	9025.81	4607.24	10225.32	2855.44	1628.26	2417.67	2935.74	6037.61	4512.4	2627.46	3690.52	5872.48	4152.18	2104.58	3395.89	5183.54	1844.76	2855.44	3955.48	2133.97	3081.75	2520.38	2976.74	5594.3	3955.48	4512.4	4512.4	1936.53	6207.38	4450.27	4937.99	4607.24	5076.84	5255.91	4802.93	4268.94	6164.49	5183.54	4123.49	7130.55	3212.66	6426.31	4543.8	3515.68	6840.04	5183.54	3928.15	5147.73	4239.45	6294.04	3515.68	3639.7	4210.15	7911.95	4239.45	4802.93	2976.74	4671.57	1594.73	4972.34	3372.43	3467.27	5672.41	2047.0	5517.27	4543.8	5041.77
PPP1CA	1617.0	825.0	1617.0	3928.15	4903.87	8134.41	5831.91	4450.27	5255.91	4152.18	4671.57	5672.41	3540.14	2417.67	1977.24	2935.74	4123.49	3540.14	2816.11	3303.0	4268.94	4481.23	2271.4	2609.3	3190.46	2351.53	2796.65	3303.0	3540.14	2148.82	2032.85	2573.36	3716.2	3212.66	3982.99	3820.7	2032.85	5041.77	3589.58	3639.7	3564.78	4123.49	3372.43	3039.3	4268.94	5041.77	3901.01	3589.58	4066.71	3540.14	5112.16	3716.2	3303.0	4450.27	4543.8	2796.65	3467.27	3190.46	5041.77	3349.13	3665.02	3491.39	5329.3	4239.45	5006.93	2319.15	3395.89	1950.0	4239.45	3614.55	3540.14	3955.48	3081.75	2997.45	3955.48	3901.01
PRDX2	1977.24	2609.3	1733.13	8191.0	12853.63	7642.41	9474.59	7485.11	9344.14	11345.82	10368.08	11664.82	5633.22	4450.27	4481.23	4419.52	9025.81	7433.4	4066.71	5711.87	6250.56	6207.38	3257.52	4671.57	6516.03	3467.27	5672.41	6887.62	7382.04	4038.61	2400.97	3928.15	7280.4	5831.91	6516.03	7331.05	4972.34	10368.08	7485.11	6887.62	4937.99	6471.02	6381.92	6561.36	7280.4	8134.41	7695.57	4769.75	8901.53	6037.61	8305.36	6607.01	6337.83	9025.81	9474.59	5255.91	5255.91	5555.65	9344.14	5183.54	5555.65	7230.1	9344.14	6250.56	7911.95	4769.75	5517.27	3716.2	8421.31	6207.38	6294.04	8305.36	5292.48	6037.61	6164.49	6561.36
PRDX5	2090.03	1857.6	3168.41	20737.16	23986.58	25005.23	27174.14	24832.5	26248.46	26986.43	32994.92	28723.62	12764.83	7081.29	13586.57	8538.88	24153.43	19214.73	11664.82	16269.83	21320.18	18819.27	8778.97	11827.67	16611.71	8078.22	17317.18	15934.98	11267.44	11745.96	6079.61	11827.67	17681.08	16960.78	21919.61	21919.61	10808.41	25005.23	18304.63	21768.19	17317.18	18052.61	15499.21	15824.9	13492.72	20881.4	20030.74	16611.71	23330.64	13492.72	31432.17	18431.96	14065.74	22850.48	30361.44	14971.21	20310.37	17437.64	20310.37	13968.57	14765.09	16727.26	30572.63	22072.07	23330.64	10440.2	15392.14	7081.29	19892.37	18560.17	16727.26	25179.16	12415.75	22380.2	17437.64	16157.44
PSMC5	1498.22	2351.53	1685.71	4388.98	3955.48	3847.29	4095.0	4210.15	5183.54	4836.35	5329.3	4802.93	3690.52	3665.02	2664.15	2935.74	3639.7	3443.31	3124.78	3303.0	4038.61	3768.09	2255.7	2835.7	3515.68	3690.52	2468.49	3820.7	3212.66	3190.46	2997.45	3257.52	3690.52	3901.01	3982.99	3874.05	2193.99	4802.93	3515.68	3491.39	3716.2	3614.55	3467.27	3018.3	3443.31	4575.41	3443.31	3874.05	4388.98	2720.15	4802.93	3614.55	3419.52	4010.71	4450.27	3235.01	4010.71	3212.66	4010.71	3039.3	3349.13	3419.52	4388.98	3419.52	4210.15	2777.33	3349.13	3349.13	3901.01	3081.75	3515.68	4066.71	3395.89	3564.78	4358.66	4328.55
PSMD9	320.8	825.0	934.76	1733.13	1936.53	2384.37	1721.16	1551.09	1977.24	2720.15	1819.35	2739.08	1286.18	974.5	1104.13	1044.52	1605.83	1519.15	896.64	1295.13	1529.73	1359.57	854.13	1030.12	1605.83	909.17	1081.39	1397.83	1233.75	941.27	1081.39	1088.92	1572.76	1477.58	1417.35	1457.23	796.86	1551.09	1617.0	1529.73	1508.65	1487.87	1388.16	1477.58	1498.22	1781.89	1477.58	1191.69	1745.2	1437.15	1662.49	1605.83	1407.55	1745.2	1508.65	1340.84	1407.55	1340.84	1794.29	1295.13	1313.23	1340.84	1617.0	1617.0	1832.01	1143.1	1322.37	1151.06	1487.87	1277.29	1259.69	1561.89	1369.04	1709.26	1378.57	1583.71
PSMG3	295.11	318.57	403.5	1119.56	981.29	981.29	1359.57	718.08	1151.06	1030.12	902.89	2163.77	733.19	409.15	559.28	450.94	902.89	708.18	271.48	669.92	743.43	679.29	457.25	514.56	647.07	547.75	295.11	674.59	571.05	429.54	381.68	493.56	785.88	688.78	896.64	633.73	358.54	884.29	854.13	825.0	656.11	796.86	616.37	457.25	791.35	1135.2	723.08	708.18	769.69	603.67	1030.12	708.18	813.63	1208.34	1066.48	651.58	629.35	583.07	1167.14	651.58	521.76	616.37	1167.14	743.43	1001.93	358.54	728.11	438.59	813.63	703.28	651.58	791.35	429.54	961.07	813.63	961.07
PTPMT1	536.45	454.09	532.74	1733.13	1721.16	1697.45	1437.15	2047.0	1583.71	1605.83	1857.6	2004.85	1151.06	1051.79	1051.79	872.1	1769.57	1437.15	547.75	1378.57	1151.06	1119.56	748.61	872.1	1529.73	947.83	1051.79	1175.27	1407.55	656.11	647.07	1208.34	1242.34	1191.69	988.12	1135.2	842.36	1233.75	1322.37	1350.18	1119.56	1295.13	1208.34	1242.34	1304.15	1322.37	1487.87	1081.39	1662.49	1030.12	1277.29	1233.75	1286.18	1697.45	1216.75	1096.5	1359.57	1073.91	1628.26	974.5	902.89	1088.92	1551.09	1183.45	1745.2	1199.98	1183.45	884.29	995.0	1037.29	1073.91	1519.15	1088.92	1295.13	1208.34	1369.04
ROMO1	753.83	1037.29	1331.57	9151.82	8191.0	9025.81	7695.57	8134.41	10883.59	9279.58	8598.28	7803.01	3146.52	2609.3	3060.45	2777.33	6079.61	3955.48	3303.0	4298.64	5219.6	3168.41	2682.69	3540.14	5219.6	2485.67	3303.0	4575.41	2758.13	3515.68	2627.46	3372.43	5255.91	4419.52	5366.37	5041.77	2468.49	6516.03	5441.3	4671.57	4095.0	4736.79	3690.52	5913.33	3820.7	6607.01	5441.3	4450.27	6250.56	3124.78	8778.97	4639.29	4268.94	7382.04	5995.9	4239.45	4481.23	3982.99	7081.29	4239.45	3665.02	3847.29	7537.18	4937.99	6207.38	1794.29	3325.99	2240.11	4298.64	4239.45	3820.7	5479.15	2915.45	6079.61	4543.8	4543.8
SAC3D1	63.45	77.79	78.89	145.02	226.54	234.57	181.28	239.52	205.5	198.47	255.0	361.04	118.43	32.13	50.27	65.26	145.02	91.41	32.36	82.87	86.43	81.14	48.18	47.17	94.01	45.53	23.93	79.45	77.25	71.5	30.56	36.27	84.63	132.44	109.66	96.68	25.91	98.73	131.51	147.06	56.68	96.68	130.6	50.63	123.5	111.99	73.03	64.8	127.89	89.51	119.26	78.34	109.66	133.36	105.89	95.34	96.68	59.55	155.5	91.41	74.06	63.45	102.97	83.45	152.28	65.72	98.73	40.93	106.63	73.03	80.01	85.82	47.5	137.14	140.04	128.79
SLC25A11	361.04	819.3	579.04	1697.45	2240.11	1697.45	1769.57	1662.49	1540.37	2133.97	1896.65	2271.4	1242.34	947.83	819.3	1059.11	1936.53	1295.13	529.06	1073.91	1191.69	1397.83	698.41	825.0	1359.57	830.75	854.13	1378.57	1143.1	642.59	791.35	616.37	1417.35	1268.46	1359.57	1397.83	642.59	1883.54	1561.89	1250.98	981.29	1369.04	1397.83	896.64	1313.23	1628.26	1378.57	947.83	1359.57	1225.22	1487.87	1183.45	1250.98	1594.73	1487.87	1096.5	1135.2	974.5	1685.71	1088.92	1081.39	1233.75	1508.65	1268.46	1697.45	954.43	1159.07	854.13	1340.84	961.07	1175.27	1331.57	791.35	1135.2	1388.16	1427.22
SLC39A3	287.01	389.72	329.84	921.88	1313.23	1151.06	988.12	808.0	1008.9	1088.92	1167.14	1044.52	665.29	466.88	341.51	497.0	872.1	718.08	307.69	511.0	688.78	555.41	336.79	483.38	607.87	432.53	373.81	493.56	703.28	511.0	379.04	392.44	612.11	748.61	651.58	743.43	291.04	733.19	651.58	796.86	532.74	660.68	638.15	476.71	775.05	854.13	796.86	669.92	890.44	660.68	679.29	624.99	848.22	769.69	684.02	575.03	679.29	540.19	1008.9	587.13	607.87	665.29	928.3	633.73	872.1	460.44	575.03	341.51	665.29	476.71	660.68	698.41	412.0	647.07	543.96	638.15
