	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.97.A4LX.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.86.8671.01A.11R.2403.07	TCGA.86.8280.01A.11R.2287.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.85.8049.01A.11R.2247.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.HU.A4GY.01A.21R.A24K.31
ARHGAP25	808.0	312.0	226.54	287.01	43.32	579.04	92.05	199.85	127.89	54.72	193.01	113.56	36.79	185.11	195.72	53.57	273.37	147.06	211.31	123.5	170.25	148.09	52.45	529.06	791.35	915.51	387.02	703.28	414.87	420.68	813.63	638.15	848.22	684.02
ARHGAP30	954.43	283.05	265.87	223.41	28.45	521.76	20.56	66.65	106.63	53.19	248.0	102.25	42.11	163.28	129.69	42.11	195.72	212.78	169.07	64.34	163.28	37.05	36.27	813.63	612.11	1119.56	473.41	743.43	521.76	583.07	1111.82	412.0	1143.1	819.3
ARHGAP9	2287.2	688.78	476.71	397.93	60.39	1104.13	36.79	412.0	105.89	82.87	356.05	228.13	92.7	450.94	92.7	59.13	403.5	193.01	146.03	285.03	217.27	95.34	81.14	1628.26	1199.98	2271.4	928.3	1551.09	1540.37	1073.91	2209.26	848.22	1896.65	1781.89
ARRDC5	27.44	8.25	5.63	3.76	0.0	16.75	2.51	2.92	0.0	1.06	1.53	0.87	1.6	0.0	0.59	5.32	3.63	0.0	3.72	1.39	0.28	0.26	0.66	11.3	25.54	9.48	8.13	15.11	22.1	7.69	27.05	6.11	16.27	90.77
BATF	902.89	373.81	146.03	180.02	15.56	371.22	50.63	11.55	26.86	9.7	61.68	21.47	46.18	139.07	182.55	12.55	40.93	49.56	44.57	27.25	40.93	2.81	2.39	567.1	647.07	1457.23	693.58	878.17	480.04	406.31	842.36	285.03	665.29	414.87
BTLA	91.41	59.13	20.11	22.43	0.59	57.89	0.0	7.28	6.26	3.47	12.27	10.31	5.41	15.45	14.14	9.48	22.59	12.27	3.96	7.82	6.06	4.13	0.0	73.54	105.15	98.73	31.45	126.12	58.3	50.27	209.84	49.56	186.4	249.73
C17orf66	18.16	3.53	1.69	1.66	0.0	5.15	0.0	1.2	0.0	0.21	0.53	0.15	0.41	1.57	1.3	1.48	3.2	0.0	0.0	1.2	0.0	0.62	0.45	3.44	4.24	11.21	4.5	5.19	4.24	4.98	7.51	2.81	4.21	5.82
C5orf20	33.54	24.28	6.67	4.54	0.0	24.99	0.0	3.11	4.5	2.01	2.14	0.89	2.84	0.0	0.0	3.17	11.21	0.0	7.94	1.0	2.86	4.94	0.0	30.34	6.62	63.89	10.96	17.51	18.43	18.43	21.32	8.45	87.65	14.24
C9orf139	23.76	5.15	6.62	2.18	0.0	2.68	0.0	0.01	0.57	0.28	3.29	0.66	0.0	1.33	0.46	0.02	1.0	2.01	1.39	0.01	0.0	0.45	0.52	48.52	15.91	28.45	10.08	22.75	43.32	12.27	22.59	13.42	17.25	22.75
CCL18	10084.54	457.25	555.41	616.37	10.79	1340.84	40.07	23.42	30.56	43.02	100.13	50.27	242.88	47.5	98.73	33.54	99.43	50.63	82.87	56.68	33.3	36.79	97.36	9344.14	4607.24	4298.64	1832.01	11504.21	6207.38	1733.13	8963.45	703.28	3847.29	1857.6
CCND2	249.73	108.9	127.89	91.41	12.74	81.14	7.34	87.03	17.25	22.59	49.91	13.72	21.78	47.17	55.1	13.72	59.97	32.13	28.24	49.21	71.5	28.45	16.15	423.61	314.17	417.77	260.38	571.05	379.04	368.65	567.1	271.48	483.38	684.02
CCR5	825.0	82.29	97.36	132.44	5.87	256.78	7.0	21.78	59.55	40.07	103.69	29.27	12.45	59.55	42.71	37.85	51.71	45.85	19.11	3.5	66.18	14.14	2.66	267.73	142.01	457.25	155.5	232.94	189.02	199.85	218.79	109.66	327.56	291.04
CCRL2	305.55	55.1	74.06	123.5	5.28	183.82	14.03	64.34	23.25	12.83	33.54	20.56	9.27	36.53	148.09	0.0	58.3	30.56	40.36	52.08	30.34	15.91	6.94	152.28	325.29	332.14	140.04	217.27	145.02	105.15	438.59	78.89	171.45	231.32
CD2	2193.99	684.02	447.82	381.68	18.03	1143.1	26.86	59.55	115.97	98.04	209.84	102.97	84.04	329.84	51.71	59.97	460.44	122.64	140.04	75.11	293.07	19.82	28.24	1073.91	571.05	1896.65	651.58	1175.27	660.68	514.56	1001.93	403.5	1605.83	1508.65
CD300LF	503.95	78.89	67.12	129.69	4.13	154.42	5.92	19.53	17.51	7.51	36.27	17.25	18.29	50.63	37.59	4.03	47.17	24.46	19.97	16.39	16.51	14.45	7.34	293.07	289.02	318.57	187.71	251.48	166.73	169.07	299.25	87.03	339.14	136.19
CD53	6561.36	1340.84	1119.56	1662.49	100.13	2555.58	63.45	718.08	351.14	169.07	698.41	332.14	138.1	571.05	403.5	81.14	967.76	802.41	529.06	353.59	497.0	236.21	96.68	3190.46	2956.17	4239.45	1806.78	3372.43	2335.28	2303.12	5183.54	1794.29	3928.15	4575.41
CD70	221.86	22.43	21.47	28.65	4.35	35.0	0.0	38.12	0.0	3.38	15.56	3.72	17.77	11.73	17.51	0.0	13.03	24.11	0.0	4.28	32.13	0.0	0.0	59.97	70.51	147.06	28.04	65.26	42.11	48.18	97.36	30.34	57.89	66.18
CLECL1	129.69	61.25	40.93	23.93	2.66	75.64	5.19	13.22	22.1	12.27	32.59	10.63	13.83	41.81	3.79	5.11	46.18	28.04	14.89	6.67	26.1	18.7	0.0	82.29	139.07	186.4	100.83	100.13	76.17	52.82	239.52	48.18	169.07	187.71
