	TCGA.XF.AAMW.01A.11R.A42T.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.HD.7229.01A.11R.2016.07	TCGA.DQ.5624.01A.01R.1873.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7102.01A.11R.2016.07	TCGA.P3.A5QA.01A.11R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.D6.6517.01A.11R.1873.07	TCGA.CQ.A4C7.01A.11R.A24Z.07	TCGA.B2.5641.01A.01R.1541.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.DV.5574.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4865.01A.02R.1503.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.5P.A9JV.01A.12R.A42S.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
SLC44A3	136.19	232.94	144.01	84.04	33.06	88.88	62.12	145.02	18.7	25.17	52.08	167.9	79.45	128.79	84.63	571.05	1088.92	417.77	336.79	251.48	638.15	507.46	447.82	460.44	265.87	656.11	723.08	275.28	902.89	854.13	366.09	339.14	629.35	836.53	1151.06	295.11	521.76	525.39	612.11	249.73	406.31	146.03	1030.12	651.58	1051.79	218.79	514.56	258.57	669.92	208.38	441.64	738.29	166.73	890.44	414.87	669.92	346.29	1498.22	896.64	1457.23	187.71	161.02
SMTNL2	1.36	7.22	28.86	14.67	28.24	121.79	0.31	12.36	4.74	0.0	139.07	9.56	0.65	0.64	105.89	314.17	193.01	42.11	59.13	80.01	72.01	4.78	164.42	187.71	3.0	42.41	48.18	38.95	242.88	56.28	120.1	21.32	575.03	37.85	246.28	6.11	51.71	17.9	112.77	32.13	127.0	108.14	146.03	85.22	176.29	130.6	107.38	85.82	363.56	18.56	10.31	656.11	58.71	214.27	27.64	151.22	161.02	384.34	1277.29	995.0	0.0	0.23
STK16	532.74	728.11	490.14	435.55	660.68	660.68	612.11	417.77	454.09	371.22	780.44	674.59	314.17	896.64	612.11	764.36	1397.83	921.88	813.63	921.88	759.08	1242.34	947.83	1498.22	1594.73	1044.52	954.43	802.41	1594.73	1359.57	988.12	1159.07	1073.91	1167.14	988.12	591.22	775.05	1030.12	1151.06	808.0	698.41	780.44	974.5	981.29	1331.57	753.83	532.74	718.08	1037.29	1044.52	1167.14	1286.18	884.29	1340.84	860.08	995.0	884.29	1183.45	1407.55	1605.83	0.0	0.46
TGFBI	65990.84	59474.18	10296.45	1963.57	9740.98	432.53	86474.27	97965.44	15715.58	4095.0	139508.13	147462.67	61999.83	129266.49	125731.67	162489.97	160252.91	189257.69	134755.94	343510.77	158046.64	419990.32	205673.01	338781.54	186652.11	267651.2	121448.75	201440.3	14262.1	242898.5	119776.72	248002.34	2255.7	419990.32	118949.35	301123.38	246289.25	411347.03	114103.8	134755.94	174152.51	113315.62	154794.07	186652.11	275175.93	148488.36	114103.8	258533.99	50709.61	152662.96	236256.4	9945.68	124000.67	186652.11	391864.76	294926.33	174152.51	20030.74	2004.85	2502.97	0.0	0.83
TINAG	0.0	0.0	0.0	23.42	0.0	0.0	1.38	3.79	2.41	0.0	0.0	2.34	6.06	0.69	0.33	669.92	123.5	232.94	351.14	33.78	217.27	228.13	106.63	336.79	295.11	208.38	221.86	1151.06	775.05	660.68	228.13	1096.5	638.15	99.43	447.82	199.85	241.19	81.14	332.14	41.52	149.12	96.01	146.03	669.92	267.73	56.68	163.28	48.87	368.65	127.0	51.35	507.46	83.45	297.17	100.13	373.81	607.87	595.34	2193.99	1721.16	0.0	0.0
TLN2	246.28	47.17	31.45	129.69	65.72	21.63	45.85	70.01	132.44	10.96	150.17	97.36	83.45	115.16	66.18	473.41	583.07	162.14	118.43	299.25	447.82	332.14	256.78	583.07	674.59	205.5	122.64	100.13	825.0	325.29	255.0	429.54	476.71	244.57	575.03	129.69	165.57	412.0	665.29	166.73	480.04	211.31	251.48	432.53	651.58	409.15	312.0	229.72	587.13	647.07	199.85	679.29	110.43	265.87	358.54	629.35	532.74	1051.79	947.83	629.35	0.0	0.34
TM7SF3	825.0	476.71	836.53	836.53	500.46	1044.52	356.05	1159.07	249.73	651.58	819.3	723.08	536.45	376.41	417.77	3847.29	3540.14	1529.73	1001.93	1594.73	3235.01	2701.35	2434.5	4095.0	3349.13	1819.35	1340.84	3768.09	5006.93	4972.34	1709.26	1225.22	2018.8	3589.58	2609.3	890.44	2351.53	1697.45	3639.7	1909.85	1183.45	1167.14	1977.24	2915.45	5441.3	2520.38	1208.34	866.07	2119.22	1844.76	1628.26	4671.57	1023.0	1322.37	2855.44	2627.46	2400.97	3665.02	4869.99	4671.57	0.0	0.43
TMEM171	42.71	40.07	11.47	23.42	15.56	2.14	136.19	144.01	47.84	94.01	124.37	45.21	39.5	95.34	32.13	275.28	172.65	164.42	128.79	61.68	281.09	102.25	56.68	105.89	91.41	265.87	76.17	47.84	285.03	14.35	60.82	18.03	518.15	38.67	223.41	9.85	47.17	112.77	126.12	6.26	105.15	16.75	75.64	211.31	205.5	11.38	191.67	33.54	457.25	173.85	15.45	679.29	2.76	36.79	104.42	180.02	208.38	525.39	1259.69	1561.89	0.0	0.28
TTBK1	0.67	2.66	0.29	2.78	0.89	0.54	3.14	2.16	0.65	0.38	1.14	0.38	0.39	3.44	0.99	11.04	6.62	1.87	10.31	2.68	19.82	11.21	7.17	10.31	7.63	24.28	9.63	1.04	16.63	4.03	3.17	2.58	15.11	4.31	11.47	10.47	6.16	3.08	6.78	2.89	4.58	6.73	8.06	11.91	5.19	20.71	3.38	7.69	4.13	8.58	4.21	7.75	3.47	4.1	5.92	3.44	9.85	13.93	39.5	57.49	0.0	0.1
WWC1	127.89	366.09	127.0	1030.12	42.71	447.82	693.58	392.44	239.52	248.0	275.28	356.05	483.38	476.71	262.2	3168.41	2627.46	656.11	532.74	1388.16	2133.97	2018.8	642.59	1388.16	470.14	3235.01	967.76	603.67	1857.6	830.75	890.44	518.15	1417.35	896.64	1651.0	271.48	1066.48	2997.45	1977.24	599.49	1769.57	353.59	1551.09	2573.36	2777.33	884.29	476.71	974.5	921.88	1733.13	591.22	2224.63	348.71	915.51	1407.55	2915.45	1794.29	2255.7	2335.28	3372.43	329.84	98.73
ZNF19	31.22	52.08	11.82	9.27	44.89	23.59	41.52	21.16	29.91	19.97	37.05	41.81	30.56	21.94	45.85	111.99	191.67	52.82	52.45	100.13	98.04	103.69	135.24	105.15	80.01	121.79	107.38	18.84	183.82	124.37	92.05	98.73	127.0	94.67	107.38	44.25	91.41	212.78	126.12	42.11	75.11	118.43	118.43	165.57	98.04	102.25	59.13	115.16	73.54	149.12	69.03	73.54	75.64	102.25	88.26	88.26	92.7	100.13	246.28	201.25	0.0	0.2
