	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.REY6.1226.SM.48FDR	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.BJ.A28R.01A.11R.A16R.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
HCFC1	67.12	358.54	211.31	220.32	195.72	201.25	571.05	525.39	579.04	518.15	463.65	454.09	629.35	417.77	518.15	579.04	483.38	493.56	351.14	397.93	551.56	497.0	748.61	555.41	454.09	669.92	543.96	387.02	460.44	500.46	463.65	764.36	624.99	460.44	406.31	376.41	612.11	591.22	587.13	703.28	500.46	518.15	571.05	389.72	620.67	688.78	414.87	521.76	591.22	595.34	638.15	575.03	607.87	438.59	426.57	483.38	583.07	400.71	638.15	457.25	813.63	638.15	547.75	703.28	567.1	579.04	441.64	466.88
INTS5	143.01	244.57	190.34	253.23	195.72	229.72	289.02	253.23	256.78	267.73	283.05	229.72	341.51	237.86	348.71	320.8	201.25	209.84	175.07	167.9	336.79	218.79	420.68	329.84	353.59	387.02	339.14	229.72	234.57	277.2	234.57	400.71	297.17	206.94	190.34	197.09	303.44	384.34	363.56	287.01	285.03	249.73	291.04	283.05	412.0	423.61	120.94	343.89	361.04	332.14	341.51	293.07	341.51	182.55	341.51	226.54	285.03	260.38	361.04	256.78	303.44	314.17	358.54	358.54	376.41	305.55	231.32	262.2
KANSL1	37.05	150.17	148.09	161.02	124.37	231.32	642.59	511.0	327.56	507.46	521.76	460.44	733.19	514.56	423.61	633.73	525.39	414.87	486.75	493.56	607.87	551.56	698.41	583.07	518.15	1015.93	669.92	551.56	493.56	587.13	444.72	651.58	551.56	361.04	463.65	387.02	660.68	713.11	947.83	866.07	656.11	902.89	620.67	507.46	854.13	647.07	444.72	642.59	638.15	842.36	947.83	529.06	603.67	463.65	417.77	540.19	532.74	529.06	785.88	460.44	934.76	825.0	603.67	723.08	825.0	473.41	409.15	444.72
KCTD11	34.02	58.71	81.71	61.68	84.04	165.57	305.55	161.02	130.6	305.55	341.51	356.05	343.89	312.0	307.69	371.22	246.28	336.79	242.88	182.55	348.71	242.88	432.53	341.51	285.03	450.94	403.5	201.25	305.55	312.0	301.33	356.05	214.27	279.14	256.78	299.25	368.65	409.15	358.54	507.46	353.59	353.59	312.0	381.68	521.76	384.34	155.5	379.04	435.55	417.77	454.09	406.31	384.34	358.54	301.33	237.86	246.28	318.57	432.53	327.56	447.82	373.81	323.03	320.8	525.39	255.0	297.17	351.14
KHSRP	215.77	1340.84	1594.73	1322.37	1437.15	1359.57	3212.66	1721.16	1651.0	2816.11	2956.17	2255.7	3349.13	2451.44	2104.58	3018.3	2119.22	2303.12	1909.85	1674.06	2895.31	1991.0	3349.13	2875.3	1870.53	3742.05	3395.89	1639.59	2119.22	2163.77	2485.67	3716.2	2520.38	1733.13	2537.92	2224.63	3039.3	2796.65	3060.45	3467.27	3168.41	3190.46	1870.53	2520.38	3540.14	3124.78	2319.15	2855.44	2875.3	3325.99	2701.35	2682.69	2609.3	2224.63	2855.44	1844.76	2720.15	2451.44	3168.41	2400.97	3039.3	3491.39	2682.69	3235.01	3060.45	2956.17	2835.7	2502.97
KMT2E	33.3	82.29	125.24	86.43	112.77	108.9	629.35	420.68	289.02	587.13	551.56	466.88	708.18	373.81	303.44	759.08	497.0	327.56	389.72	363.56	624.99	395.18	660.68	497.0	387.02	1008.9	688.78	356.05	277.2	303.44	318.57	713.11	473.41	241.19	339.14	356.05	583.07	669.92	674.59	780.44	723.08	679.29	316.37	389.72	796.86	547.75	571.05	483.38	591.22	607.87	860.08	450.94	563.18	325.29	392.44	470.14	497.0	599.49	647.07	389.72	660.68	785.88	633.73	728.11	854.13	457.25	447.82	438.59
LCMT2	91.41	45.85	68.07	77.79	86.43	46.18	228.13	165.57	113.56	103.69	193.01	167.9	172.65	145.02	103.69	142.01	60.39	123.5	62.56	143.01	163.28	167.9	124.37	111.99	175.07	234.57	173.85	141.02	129.69	134.3	136.19	171.45	173.85	123.5	120.1	94.67	183.82	155.5	154.42	194.36	135.24	108.9	134.3	131.51	186.4	170.25	31.67	178.77	249.73	186.4	208.38	122.64	127.89	105.15	103.69	80.01	96.01	129.69	134.3	110.43	159.9	130.6	172.65	195.72	143.01	123.5	133.36	154.42
LLGL1	38.4	94.67	23.08	37.32	28.24	21.47	202.66	181.28	151.22	435.55	281.09	339.14	514.56	297.17	384.34	412.0	178.77	178.77	301.33	94.67	473.41	138.1	547.75	473.41	169.07	728.11	438.59	169.07	154.42	299.25	305.55	373.81	195.72	146.03	155.5	275.28	423.61	463.65	503.95	507.46	406.31	507.46	193.01	392.44	529.06	514.56	297.17	387.02	507.46	423.61	525.39	406.31	486.75	384.34	503.95	209.84	363.56	450.94	536.45	312.0	395.18	476.71	392.44	503.95	463.65	332.14	283.05	389.72
LRRC41	183.82	529.06	406.31	476.71	473.41	387.02	1135.2	825.0	718.08	1051.79	1059.11	947.83	1127.35	934.76	1159.07	1096.5	728.11	988.12	995.0	954.43	1143.1	967.76	1233.75	1208.34	1088.92	1369.04	1143.1	791.35	988.12	1051.79	941.27	1286.18	1104.13	928.3	796.86	890.44	1127.35	1167.14	1175.27	1066.48	1059.11	1066.48	854.13	1143.1	1119.56	1175.27	1081.39	1088.92	1081.39	1427.22	1111.82	1008.9	1111.82	759.08	1208.34	1015.93	1242.34	941.27	1151.06	967.76	995.0	1313.23	1216.75	1066.48	1088.92	1051.79	1001.93	1096.5
MBTPS1	521.76	674.59	507.46	723.08	559.28	665.29	1250.98	1350.18	1037.29	1819.35	1369.04	1477.58	1883.54	1540.37	1498.22	1662.49	1167.14	1340.84	1331.57	1199.98	1594.73	1295.13	1674.06	1628.26	1250.98	1883.54	1508.65	1467.37	1437.15	1340.84	1617.0	1662.49	1191.69	1295.13	1340.84	1477.58	1508.65	1628.26	1540.37	1605.83	1651.0	1594.73	1508.65	1561.89	1397.83	1639.59	1388.16	1529.73	1674.06	1769.57	1769.57	1487.87	1617.0	1477.58	1498.22	1427.22	1457.23	1397.83	1662.49	1467.37	1519.15	1832.01	1628.26	1806.78	1794.29	1551.09	1143.1	1378.57
MEPCE	693.58	624.99	470.14	460.44	698.41	420.68	1216.75	1037.29	728.11	819.3	995.0	1001.93	1242.34	928.3	1135.2	1135.2	1407.55	974.5	848.22	791.35	1073.91	1233.75	1268.46	915.51	1417.35	1540.37	1259.69	981.29	1073.91	1208.34	947.83	1088.92	1081.39	1487.87	1119.56	928.3	1268.46	1397.83	1233.75	1519.15	1088.92	1304.15	1322.37	947.83	1697.45	1359.57	748.61	1096.5	1183.45	1268.46	1369.04	1216.75	1508.65	981.29	872.1	791.35	866.07	1030.12	1225.22	1015.93	1359.57	1081.39	1015.93	1175.27	1794.29	1051.79	890.44	915.51
NDST1	64.34	536.45	231.32	341.51	232.94	361.04	669.92	679.29	669.92	599.49	647.07	583.07	1350.18	473.41	507.46	775.05	616.37	497.0	371.22	503.95	836.53	647.07	769.69	669.92	507.46	1037.29	624.99	836.53	624.99	579.04	291.04	848.22	808.0	518.15	423.61	329.84	769.69	915.51	708.18	679.29	733.19	693.58	579.04	567.1	733.19	723.08	486.75	620.67	753.83	860.08	1183.45	599.49	708.18	473.41	563.18	409.15	532.74	525.39	921.88	483.38	830.75	884.29	819.3	995.0	796.86	486.75	403.5	470.14
NFRKB	87.65	111.21	105.89	94.67	74.06	99.43	387.02	293.07	198.47	273.37	289.02	273.37	432.53	301.33	223.41	463.65	289.02	244.57	232.94	267.73	353.59	305.55	379.04	303.44	256.78	616.37	329.84	327.56	281.09	279.14	187.71	490.14	279.14	186.4	305.55	164.42	376.41	444.72	379.04	532.74	336.79	403.5	228.13	293.07	423.61	403.5	186.4	332.14	392.44	397.93	473.41	271.48	309.83	239.52	249.73	190.34	287.01	368.65	417.77	248.0	432.53	450.94	295.11	454.09	500.46	255.0	305.55	255.0
NLRX1	61.68	111.99	105.15	169.07	94.01	124.37	363.56	392.44	373.81	297.17	283.05	293.07	327.56	299.25	332.14	334.46	205.5	329.84	232.94	214.27	348.71	267.73	414.87	336.79	244.57	420.68	275.28	316.37	314.17	307.69	237.86	371.22	392.44	256.78	226.54	242.88	346.29	417.77	325.29	285.03	309.83	281.09	249.73	277.2	454.09	348.71	171.45	293.07	348.71	403.5	381.68	312.0	351.14	231.32	336.79	231.32	334.46	309.83	420.68	277.2	336.79	312.0	363.56	353.59	341.51	348.71	249.73	307.69
NUP160	144.01	79.45	148.09	136.19	126.12	118.43	353.59	371.22	297.17	334.46	403.5	320.8	438.59	289.02	204.07	454.09	327.56	264.03	231.32	279.14	432.53	277.2	361.04	305.55	239.52	547.75	403.5	334.46	271.48	241.19	172.65	438.59	389.72	195.72	262.2	202.66	373.81	417.77	460.44	466.88	368.65	376.41	255.0	309.83	389.72	339.14	232.94	336.79	379.04	417.77	438.59	287.01	343.89	218.79	307.69	246.28	291.04	417.77	346.29	234.57	507.46	518.15	435.55	457.25	490.14	232.94	277.2	314.17
NUP188	20.71	135.24	155.5	97.36	139.07	70.51	633.73	327.56	258.57	612.11	563.18	587.13	748.61	473.41	476.71	723.08	269.6	444.72	466.88	426.57	633.73	500.46	656.11	571.05	583.07	1044.52	733.19	387.02	392.44	559.28	289.02	830.75	551.56	417.77	432.53	441.64	802.41	684.02	802.41	1001.93	674.59	674.59	400.71	536.45	733.19	842.36	486.75	796.86	660.68	669.92	796.86	591.22	624.99	563.18	587.13	532.74	688.78	571.05	728.11	521.76	616.37	848.22	688.78	738.29	733.19	511.0	674.59	559.28
PACS1	226.54	283.05	146.03	150.17	204.07	262.2	947.83	934.76	1437.15	1250.98	1427.22	1242.34	1447.15	1096.5	1191.69	1628.26	660.68	769.69	1477.58	981.29	1350.18	928.3	1977.24	1242.34	1037.29	1844.76	1561.89	1572.76	1216.75	1199.98	1250.98	1896.65	878.17	555.41	1167.14	1250.98	1437.15	1540.37	1378.57	1467.37	1508.65	1697.45	884.29	1561.89	1769.57	1594.73	1037.29	1594.73	1498.22	2148.82	1467.37	1594.73	1508.65	1183.45	1331.57	1304.15	1628.26	961.07	2032.85	1457.23	915.51	1457.23	1359.57	1304.15	1769.57	1639.59	1088.92	1037.29
PARD6B	121.79	43.02	76.71	32.36	63.45	59.55	84.63	35.5	102.25	74.06	135.24	100.83	167.9	100.13	81.71	105.15	75.11	48.87	108.14	58.3	98.04	68.55	73.03	75.11	94.01	182.55	137.14	39.79	61.25	111.99	57.49	107.38	85.82	82.87	65.72	82.29	143.01	129.69	149.12	165.57	132.44	164.42	57.08	130.6	211.31	126.12	47.84	132.44	153.34	123.5	153.34	129.69	138.1	137.14	105.89	105.89	81.14	100.13	136.19	63.45	57.89	170.25	161.02	166.73	177.53	83.45	94.01	108.14
PIAS4	35.0	279.14	236.21	277.2	258.57	205.5	316.37	297.17	231.32	291.04	217.27	231.32	363.56	221.86	194.36	320.8	299.25	212.78	244.57	199.85	348.71	279.14	320.8	277.2	264.03	339.14	339.14	314.17	265.87	267.73	232.94	267.73	373.81	182.55	215.77	181.28	299.25	332.14	343.89	301.33	267.73	295.11	204.07	229.72	348.71	312.0	197.09	255.0	297.17	297.17	307.69	237.86	281.09	169.07	217.27	166.73	206.94	249.73	336.79	253.23	353.59	341.51	265.87	297.17	361.04	260.38	246.28	271.48
PIP4K2B	28.45	158.79	159.9	141.02	115.97	136.19	738.29	483.38	356.05	536.45	536.45	438.59	748.61	463.65	476.71	728.11	470.14	511.0	336.79	376.41	693.58	595.34	703.28	563.18	503.95	981.29	620.67	417.77	403.5	460.44	444.72	848.22	490.14	397.93	420.68	400.71	698.41	733.19	708.18	890.44	579.04	651.58	379.04	525.39	890.44	708.18	507.46	480.04	595.34	713.11	974.5	507.46	651.58	463.65	429.54	447.82	503.95	507.46	656.11	457.25	961.07	723.08	571.05	693.58	825.0	571.05	389.72	466.88
PIP5K1C	39.79	127.89	94.01	70.51	116.78	68.07	674.59	540.19	540.19	551.56	551.56	521.76	764.36	444.72	500.46	629.35	529.06	486.75	457.25	587.13	559.28	591.22	723.08	575.03	718.08	866.07	713.11	660.68	521.76	567.1	547.75	688.78	698.41	571.05	633.73	514.56	591.22	563.18	651.58	791.35	507.46	607.87	551.56	426.57	775.05	698.41	460.44	612.11	633.73	647.07	651.58	642.59	693.58	463.65	514.56	463.65	559.28	480.04	718.08	571.05	785.88	620.67	529.06	629.35	616.37	511.0	483.38	483.38
POLR3A	14.67	81.71	56.28	56.28	57.89	52.08	134.3	125.24	111.99	112.77	127.0	100.83	151.22	96.01	80.57	164.42	113.56	100.13	71.0	88.88	134.3	98.73	150.17	115.97	102.97	205.5	136.19	118.43	104.42	91.41	75.64	172.65	109.66	85.22	86.43	71.0	133.36	128.79	126.12	148.09	132.44	120.1	92.7	111.99	147.06	146.03	99.43	122.64	127.0	126.12	157.68	102.25	130.6	80.01	102.25	85.82	95.34	111.99	140.04	95.34	135.24	130.6	137.14	144.01	132.44	110.43	89.51	117.6
PRR12	14.35	61.68	48.52	45.21	34.75	36.27	423.61	164.42	148.09	275.28	291.04	224.97	400.71	221.86	212.78	351.14	228.13	212.78	173.85	212.78	318.57	289.02	406.31	289.02	169.07	507.46	363.56	205.5	202.66	267.73	234.57	376.41	332.14	194.36	255.0	195.72	371.22	320.8	318.57	441.64	363.56	339.14	161.02	182.55	450.94	358.54	211.31	279.14	336.79	395.18	376.41	293.07	320.8	211.31	236.21	183.82	371.22	231.32	392.44	242.88	356.05	358.54	209.84	381.68	353.59	371.22	262.2	253.23
PRRC2B	127.89	480.04	273.37	293.07	291.04	297.17	1733.13	1044.52	753.83	1467.37	1487.87	1183.45	2240.11	1286.18	1151.06	1936.53	884.29	1250.98	995.0	1457.23	1991.0	1519.15	1896.65	1583.71	1437.15	2434.5	1883.54	1359.57	1359.57	1286.18	665.29	2193.99	1508.65	1350.18	1175.27	928.3	1697.45	2047.0	1844.76	1950.0	1617.0	1709.26	1242.34	1359.57	1883.54	1819.35	1143.1	1628.26	1551.09	1909.85	2434.5	1427.22	1709.26	1208.34	1250.98	1216.75	1286.18	1259.69	2119.22	1242.34	1883.54	2303.12	2018.8	2075.59	1870.53	1437.15	1051.79	1233.75
RAI1	31.9	130.6	72.01	64.34	67.59	115.16	497.0	384.34	432.53	514.56	483.38	529.06	688.78	511.0	412.0	674.59	320.8	387.02	414.87	339.14	543.96	348.71	753.83	500.46	228.13	819.3	603.67	305.55	287.01	406.31	612.11	764.36	551.56	204.07	376.41	438.59	642.59	547.75	651.58	669.92	669.92	551.56	305.55	403.5	616.37	559.28	397.93	587.13	551.56	688.78	607.87	500.46	599.49	318.57	466.88	305.55	547.75	529.06	669.92	483.38	802.41	616.37	603.67	647.07	559.28	514.56	521.76	507.46
RASA2	17.0	27.84	46.84	41.22	47.84	66.18	93.35	83.45	65.26	134.3	140.04	135.24	157.68	113.56	92.7	185.11	85.82	74.06	109.66	70.51	127.0	89.51	167.9	112.77	78.89	164.42	155.5	79.45	72.01	94.01	106.63	114.36	73.54	45.53	112.77	110.43	124.37	145.02	163.28	220.32	137.14	147.06	72.52	94.01	138.1	123.5	85.22	117.6	162.14	145.02	118.43	170.25	159.9	75.11	117.6	163.28	124.37	170.25	110.43	100.13	85.22	159.9	143.01	157.68	163.28	110.43	102.97	113.56
RAVER1	41.22	68.55	111.99	77.25	71.0	148.09	612.11	376.41	217.27	429.54	470.14	343.89	599.49	343.89	371.22	490.14	438.59	346.29	285.03	334.46	457.25	351.14	708.18	457.25	371.22	718.08	616.37	341.51	339.14	435.55	486.75	713.11	460.44	267.73	384.34	351.14	525.39	532.74	633.73	656.11	414.87	525.39	361.04	353.59	651.58	603.67	406.31	480.04	511.0	607.87	555.41	460.44	493.56	339.14	441.64	197.09	507.46	348.71	547.75	329.84	612.11	532.74	406.31	563.18	665.29	511.0	473.41	358.54
RC3H1	10.88	71.5	67.12	48.18	60.82	48.18	65.72	74.58	61.25	65.72	83.45	77.25	108.9	64.34	41.81	111.99	72.52	52.82	49.91	57.08	78.34	76.71	100.83	47.84	71.5	80.57	96.01	67.59	55.89	49.56	63.0	77.79	66.18	71.0	78.89	56.28	77.25	75.11	97.36	107.38	77.25	63.45	85.22	50.27	87.03	66.18	53.95	57.89	111.21	81.14	102.97	74.06	93.35	43.32	40.64	63.45	56.28	72.52	57.89	58.71	84.63	81.14	90.14	118.43	115.97	60.82	44.89	63.0
RICTOR	55.1	45.21	67.12	51.71	71.0	68.55	90.77	113.56	71.5	106.63	117.6	135.24	206.94	104.42	81.14	156.59	137.14	81.14	92.05	99.43	146.03	104.42	154.42	104.42	118.43	226.54	156.59	102.97	70.01	69.03	129.69	145.02	114.36	61.25	115.16	117.6	126.12	194.36	186.4	237.86	148.09	182.55	86.43	112.77	182.55	115.97	90.14	115.97	176.29	145.02	214.27	138.1	136.19	82.87	106.63	123.5	123.5	157.68	127.89	87.65	120.1	163.28	140.04	214.27	236.21	102.25	76.71	98.04
RNF38	120.94	74.58	80.57	72.01	78.89	84.63	376.41	281.09	279.14	293.07	334.46	289.02	567.1	318.57	242.88	417.77	329.84	287.01	262.2	293.07	406.31	336.79	376.41	279.14	384.34	674.59	429.54	339.14	303.44	320.8	162.14	435.55	387.02	249.73	255.0	201.25	414.87	532.74	438.59	536.45	432.53	563.18	279.14	339.14	521.76	432.53	279.14	336.79	373.81	435.55	607.87	314.17	379.04	297.17	283.05	323.03	273.37	368.65	447.82	237.86	500.46	493.56	353.59	497.0	660.68	318.57	244.57	279.14
RUNDC1	33.3	63.89	52.82	64.34	70.01	70.51	305.55	346.29	242.88	176.29	232.94	201.25	279.14	197.09	147.06	229.72	389.72	283.05	146.03	214.27	239.52	234.57	214.27	195.72	279.14	348.71	262.2	229.72	241.19	215.77	161.02	249.73	244.57	237.86	183.82	138.1	258.57	232.94	232.94	249.73	228.13	232.94	325.29	221.86	267.73	281.09	120.94	244.57	229.72	217.27	305.55	209.84	214.27	221.86	166.73	195.72	185.11	211.31	241.19	165.57	497.0	229.72	226.54	260.38	287.01	198.47	228.13	209.84
SART3	65.72	195.72	220.32	195.72	198.47	189.02	780.44	473.41	341.51	638.15	571.05	563.18	780.44	521.76	483.38	748.61	540.19	507.46	483.38	525.39	647.07	567.1	723.08	599.49	503.95	909.17	656.11	444.72	500.46	543.96	457.25	909.17	567.1	381.68	435.55	403.5	684.02	780.44	728.11	860.08	708.18	738.29	470.14	583.07	819.3	693.58	591.22	620.67	620.67	688.78	890.44	559.28	612.11	500.46	525.39	518.15	629.35	629.35	698.41	525.39	785.88	878.17	638.15	748.61	796.86	616.37	599.49	559.28
SCAF1	84.04	366.09	353.59	376.41	314.17	346.29	866.07	607.87	466.88	669.92	684.02	591.22	947.83	591.22	698.41	791.35	660.68	674.59	587.13	567.1	780.44	583.07	915.51	674.59	651.58	988.12	866.07	486.75	698.41	713.11	780.44	836.53	698.41	518.15	759.08	698.41	825.0	896.64	808.0	941.27	785.88	825.0	595.34	660.68	1037.29	941.27	497.0	808.0	791.35	921.88	759.08	748.61	780.44	616.37	753.83	490.14	723.08	595.34	928.3	733.19	785.88	928.3	769.69	884.29	967.76	813.63	688.78	647.07
SCAF8	63.45	123.5	151.22	117.6	129.69	146.03	392.44	356.05	316.37	323.03	371.22	363.56	486.75	309.83	246.28	441.64	248.0	320.8	211.31	305.55	389.72	293.07	371.22	289.02	348.71	575.03	414.87	312.0	283.05	283.05	229.72	486.75	323.03	211.31	303.44	237.86	353.59	395.18	435.55	480.04	392.44	412.0	241.19	343.89	412.0	373.81	305.55	351.14	387.02	423.61	532.74	327.56	341.51	267.73	295.11	295.11	318.57	361.04	371.22	237.86	420.68	500.46	409.15	514.56	466.88	279.14	283.05	332.14
SCAMP4	713.11	540.19	381.68	414.87	400.71	743.43	1457.23	780.44	559.28	1268.46	1369.04	1388.16	1685.71	1304.15	1359.57	1709.26	1088.92	1051.79	1037.29	954.43	1250.98	1073.91	1572.76	1313.23	1191.69	2319.15	1540.37	693.58	1096.5	1250.98	934.76	1529.73	1498.22	1295.13	1250.98	1388.16	1561.89	1583.71	1583.71	2004.85	1551.09	1583.71	1066.48	1350.18	2075.59	1487.87	1216.75	1388.16	1651.0	1540.37	1605.83	1769.57	1498.22	1051.79	1369.04	981.29	1477.58	1199.98	1561.89	1167.14	1519.15	1733.13	1350.18	1662.49	1745.2	1350.18	1350.18	1225.22
SETD1B	19.39	102.25	140.04	70.51	48.87	51.71	244.57	148.09	120.94	185.11	201.25	177.53	316.37	149.12	134.3	287.01	241.19	157.68	141.02	161.02	229.72	214.27	336.79	172.65	164.42	339.14	262.2	155.5	151.22	167.9	156.59	293.07	205.5	133.36	170.25	126.12	262.2	218.79	236.21	366.09	255.0	215.77	229.72	152.28	327.56	223.41	176.29	218.79	239.52	281.09	228.13	204.07	237.86	162.14	146.03	124.37	214.27	190.34	246.28	185.11	265.87	279.14	189.02	295.11	325.29	170.25	136.19	173.85
SETD5	55.49	185.11	218.79	246.28	267.73	202.66	961.07	669.92	480.04	842.36	854.13	743.43	1437.15	679.29	507.46	1369.04	629.35	579.04	603.67	674.59	1023.0	733.19	1167.14	764.36	688.78	1617.0	1111.82	583.07	540.19	555.41	507.46	1208.34	688.78	473.41	624.99	493.56	915.51	954.43	1127.35	1508.65	1277.29	988.12	718.08	796.86	1159.07	1066.48	819.3	934.76	941.27	1111.82	1233.75	775.05	1088.92	567.1	583.07	669.92	753.83	995.0	928.3	633.73	1008.9	1331.57	1151.06	1350.18	1322.37	753.83	684.02	785.88
SMG8	18.97	81.71	77.79	70.51	46.5	92.7	181.28	283.05	129.69	111.99	149.12	141.02	187.71	102.97	72.01	218.79	163.28	125.24	70.01	96.01	150.17	111.99	150.17	88.26	152.28	201.25	149.12	158.79	105.15	99.43	68.07	171.45	135.24	68.55	78.89	52.82	163.28	164.42	173.85	129.69	186.4	117.6	159.9	156.59	164.42	147.06	71.5	122.64	173.85	171.45	201.25	111.99	136.19	74.58	85.82	77.79	102.97	153.34	117.6	88.88	251.48	189.02	149.12	161.02	201.25	98.73	127.0	105.89
TADA2A	18.29	83.45	87.03	67.59	74.58	62.12	234.57	262.2	218.79	187.71	208.38	228.13	228.13	234.57	205.5	256.78	299.25	271.48	218.79	197.09	256.78	229.72	209.84	201.25	224.97	334.46	253.23	265.87	198.47	218.79	242.88	269.6	228.13	164.42	234.57	173.85	255.0	307.69	283.05	320.8	256.78	246.28	271.48	246.28	301.33	285.03	182.55	260.38	285.03	241.19	256.78	205.5	242.88	186.4	183.82	181.28	191.67	236.21	269.6	186.4	429.54	271.48	253.23	295.11	371.22	162.14	195.72	205.5
TJP2	281.09	483.38	1096.5	599.49	571.05	567.1	1225.22	764.36	571.05	1427.22	1457.23	1651.0	2061.24	1378.57	1096.5	1832.01	603.67	1199.98	1119.56	961.07	1950.0	909.17	1733.13	1313.23	988.12	2090.03	1529.73	988.12	896.64	1295.13	500.46	1977.24	1322.37	775.05	915.51	934.76	1662.49	1561.89	1617.0	1277.29	1806.78	1857.6	656.11	1529.73	1551.09	1662.49	1551.09	1583.71	1794.29	1963.57	2133.97	1508.65	1378.57	1674.06	1819.35	1250.98	1551.09	1487.87	1909.85	1259.69	848.22	2178.83	1806.78	1950.0	1977.24	1498.22	1628.26	1561.89
TLE3	42.41	66.65	137.14	389.72	493.56	202.66	902.89	389.72	403.5	514.56	497.0	420.68	836.53	529.06	432.53	713.11	206.94	486.75	457.25	454.09	802.41	591.22	1199.98	802.41	381.68	1127.35	884.29	293.07	417.77	555.41	718.08	1183.45	915.51	447.82	624.99	525.39	514.56	571.05	819.3	1015.93	587.13	728.11	285.03	444.72	954.43	836.53	457.25	642.59	890.44	808.0	693.58	571.05	679.29	316.37	543.96	575.03	718.08	500.46	830.75	358.54	1135.2	693.58	599.49	813.63	796.86	647.07	567.1	733.19
TLK2	55.1	185.11	185.11	169.07	182.55	122.64	412.0	633.73	473.41	379.04	389.72	356.05	450.94	403.5	316.37	441.64	587.13	426.57	348.71	387.02	473.41	318.57	429.54	376.41	518.15	532.74	409.15	490.14	409.15	395.18	334.46	409.15	356.05	320.8	309.83	297.17	389.72	450.94	429.54	438.59	438.59	480.04	500.46	314.17	435.55	406.31	381.68	400.71	429.54	444.72	426.57	371.22	371.22	334.46	323.03	366.09	336.79	353.59	444.72	351.14	651.58	476.71	441.64	497.0	466.88	409.15	395.18	371.22
