	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.EA.A3HS.01A.11R.A213.07	TCGA.VS.A9UM.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.12WSJ.1426.SM.5GCON	GTEX.13W3W.2126.SM.5K7UX	GTEX.12WSJ.1526.SM.5GCNI	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56
M1AP	30.12	36.79	67.12	67.12	69.52	41.22	74.06	39.79	30.78	100.83	31.67	53.19	28.86	46.5	72.52	69.03	47.84	33.54	73.03	61.68	23.08	35.0	224.97	27.25	52.45	155.5	24.81	36.01	34.02	90.14	37.59	29.27	158.79	7.06	43.02	27.84	48.18	34.02	12.0	23.93	57.89	73.03	33.06	10.16	8.71	14.67	8.99	1.48	1.3	3.63	3.08	0.91	0.97	5.73	4.21	1.03	5.5	0.0	2.97	1.6	3.29	66.18	0.0	0.15	226.54
MTRNR2L12	842.36	665.29	723.08	3280.18	2664.15	1096.5	981.29	514.56	878.17	1015.93	1044.52	2018.8	1208.34	395.18	1242.34	2591.27	921.88	1191.69	1540.37	974.5	1378.57	1397.83	1340.84	1388.16	507.46	1088.92	1001.93	397.93	551.56	312.0	1081.39	490.14	679.29	954.43	791.35	587.13	2032.85	642.59	563.18	88.26	547.75	79.45	423.61	170.25	82.29	32.36	81.14	149.12	197.09	323.03	215.77	271.48	87.65	277.2	108.9	172.65	348.71	536.45	567.1	201.25	132.44	429.54	0.0	0.0	466.88
MYH7B	17.25	20.11	35.25	34.02	13.83	30.12	48.18	39.79	14.56	30.34	24.99	37.32	29.06	31.0	32.82	34.02	25.72	23.08	34.26	42.41	37.32	21.01	48.87	15.91	16.75	43.02	9.63	13.72	23.08	8.58	11.04	9.34	237.86	5.87	38.12	9.27	18.84	13.52	20.71	1.6	1.81	11.47	14.03	3.06	10.96	7.22	15.45	4.24	0.39	2.14	4.94	3.2	1.1	4.03	5.32	1.55	2.34	9.06	1.38	0.0	5.32	7.4	0.0	0.39	6.73
NIPSNAP3B	718.08	500.46	525.39	890.44	967.76	540.19	684.02	277.2	332.14	358.54	656.11	796.86	684.02	371.22	708.18	2104.58	551.56	518.15	1313.23	493.56	1104.13	447.82	2193.99	738.29	102.97	420.68	563.18	239.52	99.43	271.48	237.86	289.02	575.03	1208.34	175.07	591.22	583.07	228.13	157.68	2.51	18.16	40.36	20.26	135.24	17.0	52.82	25.17	5.73	1.55	6.67	11.64	7.63	2.68	19.82	19.39	3.66	6.26	3.63	10.96	9.27	14.24	58.71	0.0	0.29	122.64
NR3C1	995.0	1023.0	934.76	2061.24	1991.0	2178.83	1277.29	1233.75	1259.69	1359.57	1175.27	2148.82	1685.71	1477.58	1697.45	2178.83	1277.29	1963.57	2178.83	1561.89	1331.57	1242.34	2468.49	1023.0	473.41	2739.08	988.12	713.11	780.44	866.07	435.55	674.59	1159.07	1096.5	1023.0	854.13	1397.83	703.28	607.87	220.32	283.05	559.28	343.89	708.18	180.02	518.15	297.17	403.5	223.41	368.65	642.59	343.89	473.41	414.87	441.64	305.55	400.71	309.83	150.17	275.28	186.4	466.88	277.2	232.94	954.43
OXR1	819.3	830.75	514.56	1498.22	1159.07	1199.98	764.36	878.17	674.59	896.64	775.05	1051.79	1350.18	769.69	1051.79	1331.57	1037.29	1096.5	1467.37	1030.12	928.3	1023.0	1216.75	723.08	309.83	1191.69	1359.57	571.05	255.0	603.67	379.04	255.0	583.07	961.07	825.0	587.13	764.36	802.41	493.56	353.59	256.78	486.75	638.15	708.18	262.2	403.5	329.84	318.57	231.32	348.71	384.34	273.37	307.69	669.92	518.15	314.17	397.93	255.0	291.04	343.89	348.71	620.67	0.0	0.39	457.25
PALM2-AKAP2	429.54	251.48	136.19	1151.06	1208.34	808.0	819.3	595.34	441.64	954.43	392.44	571.05	759.08	896.64	1359.57	718.08	633.73	651.58	854.13	921.88	232.94	414.87	1143.1	780.44	220.32	748.61	329.84	201.25	1159.07	363.56	346.29	1037.29	974.5	447.82	253.23	1259.69	392.44	309.83	164.42	0.92	13.93	6.11	7.51	55.89	11.13	72.52	28.86	2.84	0.0	0.0	8.0	20.26	33.3	13.93	33.06	18.03	49.21	8.19	2.63	4.35	2.48	373.81	28.45	34.51	96.68
PCYOX1	2367.9	1551.09	1674.06	3982.99	5006.93	3303.0	3540.14	2739.08	2739.08	3665.02	1819.35	3589.58	3325.99	2004.85	3419.52	3742.05	3372.43	2816.11	4298.64	4239.45	1977.24	3847.29	4066.71	2537.92	1757.34	2895.31	2119.22	813.63	2104.58	2855.44	1883.54	1519.15	3081.75	3257.52	1583.71	1794.29	941.27	2224.63	1277.29	329.84	403.5	563.18	444.72	785.88	454.09	753.83	808.0	366.09	376.41	638.15	733.19	473.41	420.68	591.22	633.73	540.19	450.94	320.8	417.77	521.76	665.29	1628.26	293.07	53.57	848.22
PDE3B	884.29	400.71	836.53	3540.14	2163.77	1936.53	1963.57	848.22	995.0	1605.83	890.44	1794.29	2303.12	1015.93	1977.24	2178.83	1397.83	1030.12	3614.55	2627.46	1685.71	1594.73	1199.98	1417.35	679.29	457.25	1051.79	624.99	559.28	733.19	674.59	1883.54	1628.26	1857.6	412.0	830.75	351.14	713.11	348.71	6.36	5.5	120.94	69.03	69.03	312.0	204.07	403.5	17.0	7.0	35.76	5.5	18.97	4.98	22.75	51.35	10.79	57.08	7.34	4.1	16.03	4.03	796.86	0.0	0.51	327.56
PDZD2	947.83	551.56	607.87	2061.24	2400.97	2193.99	1519.15	1286.18	954.43	2520.38	753.83	1561.89	1104.13	2287.2	2335.28	1378.57	1286.18	825.0	1008.9	2400.97	532.74	1896.65	3168.41	1617.0	1015.93	1572.76	1119.56	1250.98	490.14	1662.49	669.92	1651.0	2400.97	3168.41	748.61	2468.49	293.07	848.22	511.0	60.82	18.03	67.12	24.63	131.51	44.89	158.79	51.71	69.03	9.41	96.68	37.32	52.08	81.14	112.77	135.24	141.02	48.87	36.79	72.01	100.13	52.45	88.88	0.0	0.3	117.6
PEX19	3372.43	2451.44	4152.18	6164.49	5366.37	5112.16	5913.33	3060.45	3589.58	5751.61	3491.39	5711.87	6037.61	3901.01	5995.9	6426.31	4481.23	4575.41	7382.04	6516.03	5329.3	5672.41	4972.34	4972.34	3395.89	2609.3	4210.15	2367.9	3303.0	3039.3	2855.44	3928.15	6652.97	4836.35	2240.11	4328.55	2835.7	2417.67	2335.28	500.46	633.73	995.0	1051.79	1167.14	1250.98	1757.34	1286.18	339.14	493.56	651.58	616.37	1745.2	507.46	651.58	785.88	693.58	753.83	406.31	483.38	521.76	759.08	1819.35	0.0	0.74	1977.24
PRKAR2B	5913.33	2485.67	5183.54	10084.54	12853.63	7081.29	10585.95	5831.91	4419.52	6121.9	3467.27	8479.89	8778.97	5006.93	9344.14	8598.28	7911.95	6079.61	11424.74	11584.24	5954.47	6745.86	9409.14	8247.98	4575.41	3639.7	3901.01	2367.9	2976.74	4769.75	6652.97	6516.03	10154.69	8134.41	2573.36	4802.93	1030.12	1936.53	1662.49	12.45	18.84	17.51	27.05	698.41	187.71	5711.87	420.68	18.56	5.87	16.51	12.83	18.43	6.52	61.68	28.24	13.93	65.72	13.42	10.47	48.18	19.11	796.86	0.0	0.47	82.29
PYROXD2	341.51	450.94	500.46	395.18	329.84	309.83	559.28	260.38	303.44	336.79	269.6	361.04	420.68	353.59	483.38	503.95	460.44	253.23	587.13	476.71	358.54	307.69	612.11	171.45	244.57	1023.0	579.04	183.82	323.03	130.6	309.83	120.94	356.05	260.38	616.37	348.71	154.42	231.32	466.88	77.25	28.04	35.76	43.02	127.0	111.21	133.36	140.04	17.77	33.3	33.3	46.5	29.91	14.35	49.91	26.86	7.75	33.54	45.85	20.11	16.15	7.51	186.4	0.0	0.57	109.66
RP11-247C2.2	3.99	11.82	7.57	4.13	6.57	9.48	3.44	5.77	11.55	9.2	13.12	9.13	12.0	8.45	9.34	8.51	12.74	13.03	4.13	6.21	12.45	9.34	9.34	17.77	1.25	8.85	0.73	4.31	1.77	10.08	4.94	1.69	9.7	2.29	7.57	16.39	1.23	4.5	5.77	0.2	0.24	2.51	1.89	10.31	0.06	7.57	1.07	0.0	0.0	0.0	2.07	0.72	0.42	3.76	2.1	0.83	0.4	0.82	0.0	0.0	0.55	0.84	0.0	0.0	1.45
RP11-3B7.1	22.59	23.93	22.26	26.47	50.98	59.13	63.0	41.52	34.75	29.06	28.65	19.82	31.45	48.18	40.36	43.63	40.36	25.91	49.21	18.56	25.91	39.5	40.93	46.5	35.0	35.0	12.27	43.02	26.1	27.84	23.59	23.59	26.28	31.67	15.34	14.56	30.56	22.59	18.16	1.99	1.38	0.0	2.36	7.06	7.0	8.65	5.11	0.0	1.41	2.56	2.1	0.0	0.0	0.82	4.21	0.0	0.0	1.19	0.49	1.36	1.03	4.28	0.0	0.13	1.53
RP11-650K20.3	10.96	20.26	26.28	37.85	70.01	24.99	31.0	14.35	15.68	37.85	17.64	36.53	49.91	22.75	39.5	67.59	43.63	21.63	45.21	34.51	37.59	26.1	29.27	59.13	34.75	18.43	6.21	12.55	21.16	18.97	32.59	9.7	49.91	37.59	14.03	10.08	0.0	13.12	20.26	0.0	0.0	0.88	0.0	0.0	0.91	8.32	10.39	0.0	0.0	0.0	0.0	0.0	0.0	4.74	0.0	0.0	1.33	0.0	0.0	0.0	0.51	7.22	0.0	0.0	0.0
S100B	3589.58	3665.02	12160.22	9808.75	4388.98	9673.69	16611.71	2682.69	5954.47	15075.35	7966.99	5633.22	6294.04	2816.11	7331.05	8479.89	3103.19	5403.7	5403.7	7280.4	9945.68	12589.08	19482.97	104271.56	7642.41	8479.89	12244.81	813.63	1870.53	4152.18	1909.85	34396.12	57448.23	70727.3	8305.36	16843.62	314.17	7081.29	5751.61	444.72	158.79	40.93	95.34	463.65	583.07	620.67	473.41	273.37	63.45	161.02	575.03	198.47	17.51	162.14	409.15	197.09	1388.16	80.01	187.71	928.3	450.94	265.87	0.0	0.44	1896.65
SATL1	33.3	21.32	25.17	29.7	31.67	28.24	27.44	28.86	26.28	44.25	17.9	27.64	28.86	18.56	23.59	28.65	23.76	21.63	30.34	43.32	15.56	43.63	30.34	40.64	28.86	28.86	12.93	28.86	40.93	37.05	23.08	29.06	28.24	24.46	20.11	23.59	17.9	33.54	13.32	4.54	12.45	9.13	23.42	15.11	16.15	15.22	21.16	18.84	13.12	18.43	7.22	13.22	8.19	9.7	13.72	3.79	2.36	6.57	13.62	2.25	9.85	21.63	0.0	0.0	13.42
SCAI	77.79	71.0	47.17	121.79	85.82	84.04	69.52	56.68	60.82	58.71	62.12	78.34	98.73	56.68	81.71	190.34	65.72	141.02	108.14	102.25	116.78	112.77	163.28	49.91	43.94	98.04	93.35	85.82	70.51	59.13	55.49	33.78	34.75	33.3	55.1	66.18	90.14	44.25	41.52	39.79	23.25	56.28	85.82	24.46	29.91	25.91	27.25	34.75	23.42	48.52	50.98	25.35	30.34	28.24	71.0	30.12	44.89	19.97	18.56	15.34	19.25	41.81	21.32	29.48	71.0
SGCD	116.78	77.79	114.36	265.87	137.14	218.79	234.57	190.34	187.71	237.86	124.37	239.52	142.01	177.53	205.5	165.57	183.82	131.51	211.31	177.53	143.01	314.17	265.87	117.6	82.29	497.0	185.11	35.0	111.21	129.69	108.9	19.53	253.23	149.12	70.51	327.56	37.32	262.2	70.01	2.16	11.13	14.14	12.83	52.82	68.07	54.72	48.18	12.18	5.54	12.45	27.84	10.39	9.56	55.1	12.27	3.23	18.97	12.74	13.72	5.41	23.76	11.04	0.0	0.27	47.5
SIK2	1175.27	878.17	1030.12	2777.33	1963.57	2319.15	2451.44	1322.37	1225.22	1781.89	1127.35	1923.14	1721.16	1605.83	2047.0	2609.3	1467.37	1594.73	2956.17	2240.11	2047.0	1572.76	2591.27	1963.57	1127.35	1008.9	1447.15	1199.98	1216.75	1350.18	525.39	2434.5	2682.69	1096.5	825.0	1870.53	743.43	988.12	748.61	75.64	50.27	211.31	148.09	265.87	244.57	567.1	220.32	88.88	63.89	100.83	158.79	63.89	79.45	149.12	101.54	120.1	77.25	82.29	114.36	59.55	138.1	356.05	0.0	0.33	476.71
SMAD2	1757.34	1572.76	1457.23	1844.76	2627.46	2224.63	1832.01	1909.85	1844.76	2104.58	1572.76	1857.6	1923.14	1991.0	2240.11	2047.0	2209.26	2193.99	1936.53	1844.76	1991.0	2240.11	3395.89	1605.83	1183.45	2384.37	1819.35	1359.57	1639.59	2133.97	1540.37	2133.97	2537.92	2090.03	2240.11	1605.83	2502.97	1572.76	995.0	791.35	1437.15	1806.78	1250.98	1059.11	1304.15	718.08	1369.04	954.43	1044.52	1225.22	802.41	1467.37	559.28	1037.29	1757.34	860.08	1397.83	612.11	813.63	872.1	909.17	1151.06	890.44	81.14	1551.09
SNX2	1909.85	1685.71	1407.55	1794.29	2178.83	2319.15	1781.89	2209.26	2609.3	1806.78	1605.83	1923.14	1857.6	2287.2	1950.0	1923.14	1844.76	2061.24	2061.24	1733.13	1662.49	2240.11	1781.89	1651.0	1104.13	1733.13	1001.93	1233.75	2287.2	2104.58	1183.45	802.41	1417.35	1662.49	1286.18	1529.73	1540.37	1529.73	1001.93	928.3	995.0	988.12	1008.9	1175.27	1447.15	1340.84	1832.01	1159.07	376.41	1023.0	1088.92	775.05	796.86	723.08	1467.37	866.07	1127.35	813.63	713.11	796.86	1081.39	2417.67	866.07	532.74	4152.18
SPTBN1	7130.55	5329.3	6792.79	9540.5	18304.63	15715.58	10296.45	12160.22	8658.09	16269.83	6840.04	9540.5	7433.4	12676.65	18950.18	9740.98	13215.02	8363.13	10084.54	11112.3	6607.01	7032.37	14163.58	9088.59	6792.79	9025.81	5594.3	7230.1	5292.48	8598.28	4358.66	5329.3	10225.32	11909.94	6935.54	7485.11	4802.93	5366.37	4704.07	435.55	1199.98	842.36	1066.48	4066.71	2335.28	3060.45	2591.27	616.37	759.08	947.83	1407.55	830.75	1225.22	1674.06	1242.34	921.88	1286.18	764.36	947.83	651.58	660.68	3146.52	0.0	0.57	4268.94
ST3GAL3	555.41	417.77	728.11	656.11	785.88	603.67	559.28	361.04	438.59	753.83	500.46	563.18	607.87	466.88	575.03	638.15	466.88	417.77	775.05	543.96	518.15	693.58	603.67	255.0	551.56	412.0	450.94	346.29	143.01	389.72	339.14	500.46	854.13	490.14	395.18	547.75	289.02	309.83	420.68	47.84	177.53	171.45	91.41	199.85	273.37	258.57	255.0	100.83	172.65	50.27	115.16	122.64	214.27	107.38	113.56	166.73	115.16	120.1	64.8	53.57	73.03	281.09	0.0	0.67	125.24
STX7	1037.29	890.44	967.76	1832.01	2104.58	2004.85	1457.23	1127.35	1447.15	2104.58	1008.9	1167.14	1369.04	1844.76	1857.6	1757.34	1407.55	1662.49	1295.13	1769.57	1417.35	1508.65	2032.85	941.27	567.1	1529.73	669.92	941.27	1427.22	1295.13	620.67	1674.06	2240.11	1628.26	1561.89	1313.23	1467.37	1313.23	638.15	265.87	343.89	595.34	493.56	848.22	529.06	698.41	612.11	351.14	381.68	457.25	409.15	392.44	426.57	327.56	483.38	381.68	599.49	289.02	503.95	417.77	500.46	1073.91	0.0	0.3	1242.34
TBCK	403.5	303.44	281.09	454.09	688.78	575.03	409.15	409.15	406.31	497.0	336.79	473.41	466.88	403.5	507.46	567.1	536.45	543.96	511.0	420.68	279.14	483.38	571.05	361.04	215.77	599.49	438.59	277.2	536.45	293.07	234.57	214.27	346.29	287.01	371.22	387.02	356.05	327.56	244.57	90.77	152.28	171.45	177.53	234.57	211.31	218.79	253.23	89.51	150.17	285.03	236.21	175.07	109.66	248.0	128.79	117.6	149.12	206.94	173.85	152.28	145.02	318.57	0.0	0.13	205.5
TK2	1467.37	981.29	1551.09	1832.01	2240.11	2178.83	1963.57	1407.55	1427.22	2193.99	1104.13	1709.26	1477.58	1572.76	1605.83	1685.71	1733.13	1151.06	1883.54	1662.49	1551.09	2591.27	1605.83	1651.0	1233.75	1331.57	981.29	1073.91	1159.07	1551.09	1059.11	988.12	1628.26	1883.54	1044.52	1225.22	967.76	967.76	854.13	82.87	209.84	134.3	148.09	450.94	299.25	620.67	441.64	124.37	96.01	234.57	189.02	127.89	94.01	262.2	172.65	103.69	139.07	209.84	175.07	128.79	136.19	775.05	267.73	204.07	633.73
TMEM218	995.0	921.88	1073.91	921.88	1561.89	1059.11	909.17	854.13	791.35	1135.2	808.0	866.07	1037.29	684.02	1605.83	1175.27	1259.69	830.75	872.1	2193.99	532.74	1242.34	1819.35	728.11	785.88	1015.93	698.41	1023.0	1088.92	679.29	624.99	518.15	1250.98	988.12	941.27	1225.22	764.36	669.92	753.83	511.0	379.04	518.15	511.0	414.87	525.39	629.35	559.28	363.56	198.47	363.56	414.87	231.32	244.57	279.14	209.84	368.65	291.04	258.57	267.73	406.31	320.8	738.29	0.0	0.1	547.75
TMEM42	483.38	403.5	728.11	532.74	450.94	426.57	466.88	420.68	543.96	567.1	426.57	525.39	480.04	470.14	575.03	679.29	525.39	460.44	540.19	532.74	603.67	591.22	698.41	395.18	281.09	591.22	293.07	371.22	447.82	332.14	334.46	169.07	281.09	423.61	392.44	409.15	395.18	363.56	457.25	145.02	277.2	220.32	224.97	218.79	194.36	214.27	244.57	131.51	138.1	305.55	185.11	249.73	85.22	293.07	329.84	132.44	197.09	215.77	135.24	214.27	163.28	532.74	0.0	0.17	426.57
TTPA	51.35	36.79	29.48	80.01	46.18	46.18	48.52	70.01	37.59	50.98	39.22	42.11	80.57	43.32	76.17	126.12	38.67	39.79	88.88	80.01	25.17	55.1	312.0	52.45	33.06	58.71	60.82	82.87	33.3	88.26	15.8	108.14	67.59	64.34	30.78	98.73	8.71	15.56	10.55	0.0	2.84	0.0	0.0	9.48	9.78	32.13	5.59	0.0	0.39	0.0	0.0	0.69	0.0	7.06	0.73	0.0	0.0	0.42	0.48	0.49	0.0	3.53	0.0	0.0	3.08
ZMYND12	90.77	83.45	43.63	91.41	132.44	81.71	55.1	59.13	43.63	75.11	82.29	115.16	119.26	46.84	78.89	122.64	80.01	81.14	107.38	54.72	58.3	142.01	105.89	105.15	13.22	44.89	55.89	16.88	133.36	23.42	73.54	26.1	66.65	146.03	25.91	57.08	39.5	35.25	69.52	1.87	7.88	19.25	13.52	24.63	11.21	27.25	29.48	2.01	5.63	1.14	6.62	2.61	4.21	5.54	5.41	1.97	10.88	2.66	5.28	1.46	5.45	108.9	0.0	0.0	33.54
