	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13N11.0926.SM.5IJG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.ZZPU.0426.SM.5GZYH	GTEX.131XE.0326.SM.5LZVO	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8621.01A.11R.2403.07	TCGA.78.7633.01A.11R.2066.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6984.11A.01R.1949.07	TCGA.50.5936.11A.01R.1628.07	TCGA.91.6849.11A.01R.1949.07	TCGA.55.6968.11A.01R.1949.07	TCGA.50.5931.11A.01R.1858.07	TCGA.44.6778.11A.01R.1858.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.6761.11A.01R.1949.07	TCGA.49.6744.11A.01R.1858.07	TCGA.55.6972.11A.01R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.91.6847.11A.01R.1949.07	TCGA.91.6828.11A.01R.1858.07	TCGA.44.2668.11A.01R.1758.07	TCGA.91.6831.11A.02R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.50.6595.11A.01R.1858.07	TCGA.44.6777.11A.01R.1858.07	TCGA.44.2662.11A.01R.1758.07	TCGA.38.4626.11A.01R.1758.07	GTEX.OHPK.0526.SM.2HMJB	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.XYKS.0526.SM.4BRW2	GTEX.OOBJ.0526.SM.48TDK	GTEX.P4QT.0526.SM.2I3EX	GTEX.SE5C.0526.SM.2XCE1	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.13YAN.1026.SM.5O9CF	GTEX.13113.0426.SM.5GCOD	GTEX.1477Z.0626.SM.5NQB7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDTT.0926.SM.5J2MS	GTEX.1399S.1726.SM.5L3DI	GTEX.XPVG.1026.SM.4B64Y	GTEX.X261.1026.SM.3NMDL	GTEX.S341.0326.SM.2XCAU	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYVF.1726.SM.5E443	GTEX.131XE.0726.SM.5HL9K	GTEX.148VJ.0826.SM.5LU8V	GTEX.PLZ5.0726.SM.2I5F9	GTEX.X4EP.0526.SM.3P5YW	GTEX.UJMC.0726.SM.3GADX	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU	TCGA.22.5478.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.34.8454.11A.01R.2326.07	TCGA.77.7338.11A.01R.2045.07	TCGA.43.6771.11A.01R.1820.07	TCGA.22.5491.11A.01R.1858.07	TCGA.22.5481.11A.01R.1949.07	TCGA.33.6737.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.43.7658.11A.01R.2125.07	TCGA.56.8083.11A.01R.2247.07
PCDH12	154.42	143.01	65.72	55.1	76.17	63.89	63.45	89.51	73.54	106.63	64.34	47.17	91.41	105.15	80.57	71.5	47.5	81.14	0.0	279.14	204.07	18.7	178.77	353.59	514.56	117.6	521.76	476.71	156.59	521.76	163.28	599.49	279.14	180.02	305.55	77.79	612.11	223.41	473.41	368.65	423.61	143.01	332.14	69.03	165.57	518.15	567.1	165.57	1030.12	336.79	476.71	764.36	547.75	518.15	341.51	521.76	480.04	341.51	674.59	559.28	392.44	450.94	269.6	409.15	967.76	295.11	236.21	128.79	665.29	540.19	283.05	199.85	291.04	305.55	426.57	441.64	264.03	500.46	395.18	379.04	603.67	361.04	409.15	275.28	825.0	381.68	242.88	339.14
PIK3R3	123.5	156.59	69.52	28.65	57.49	102.25	72.01	90.14	47.5	56.68	90.14	37.59	91.41	68.55	106.63	52.08	47.84	62.56	0.0	214.27	180.02	88.26	163.28	212.78	1167.14	264.03	429.54	460.44	248.0	679.29	836.53	651.58	368.65	258.57	743.43	242.88	872.1	283.05	842.36	414.87	525.39	312.0	679.29	226.54	187.71	896.64	1806.78	273.37	743.43	693.58	1143.1	2384.37	819.3	2351.53	775.05	764.36	896.64	1369.04	896.64	460.44	1551.09	878.17	480.04	599.49	1167.14	521.76	1051.79	314.17	563.18	297.17	660.68	269.6	1015.93	249.73	1250.98	802.41	698.41	429.54	466.88	368.65	500.46	316.37	293.07	497.0	753.83	748.61	376.41	348.71
PPM1D	163.28	287.01	97.36	154.42	88.88	139.07	62.12	103.69	136.19	111.21	97.36	87.65	159.9	130.6	92.7	96.01	92.05	115.16	0.0	155.5	143.01	128.79	223.41	343.89	363.56	151.22	373.81	629.35	173.85	260.38	371.22	379.04	217.27	169.07	441.64	199.85	579.04	229.72	309.83	204.07	275.28	224.97	279.14	189.02	158.79	438.59	651.58	187.71	395.18	289.02	332.14	414.87	483.38	217.27	441.64	363.56	376.41	177.53	314.17	314.17	559.28	457.25	389.72	295.11	387.02	303.44	104.42	186.4	249.73	226.54	521.76	138.1	309.83	242.88	540.19	231.32	130.6	339.14	397.93	228.13	341.51	186.4	258.57	209.84	392.44	256.78	211.31	224.97
PREX1	567.1	412.0	358.54	94.67	161.02	162.14	150.17	220.32	151.22	152.28	214.27	117.6	358.54	224.97	147.06	81.71	167.9	195.72	0.0	603.67	214.27	181.28	275.28	738.29	1313.23	543.96	1135.2	1233.75	624.99	1008.9	819.3	1135.2	769.69	460.44	591.22	947.83	830.75	842.36	1397.83	836.53	1008.9	759.08	3928.15	1477.58	171.45	1832.01	2209.26	323.03	2104.58	3039.3	1529.73	4388.98	2119.22	1819.35	1605.83	1477.58	3564.78	1059.11	2224.63	1088.92	1950.0	1781.89	1167.14	2287.2	2004.85	579.04	447.82	483.38	1781.89	1104.13	1066.48	463.65	1870.53	713.11	1832.01	1498.22	277.2	1216.75	813.63	1023.0	567.1	713.11	642.59	583.07	1304.15	1191.69	688.78	842.36
PRX	39.5	12.83	19.97	10.79	22.59	10.71	16.88	26.47	7.94	10.0	13.42	25.35	18.84	19.97	15.56	7.34	17.25	19.25	0.0	928.3	267.73	16.63	457.25	819.3	2664.15	403.5	2224.63	1437.15	438.59	1896.65	1151.06	2367.9	532.74	909.17	1350.18	723.08	1757.34	1561.89	2133.97	1268.46	1167.14	698.41	4639.29	669.92	170.25	2485.67	2796.65	1268.46	3901.01	2004.85	1250.98	4239.45	2032.85	1304.15	595.34	1081.39	1467.37	974.5	3443.31	802.41	2018.8	2664.15	1572.76	1923.14	2319.15	1037.29	158.79	507.46	351.14	981.29	1175.27	825.0	3190.46	1529.73	2384.37	1781.89	791.35	1806.78	1259.69	1519.15	420.68	995.0	981.29	1216.75	1583.71	2816.11	1183.45	1733.13
PTPRB	412.0	392.44	170.25	127.0	97.36	361.04	79.45	134.3	178.77	102.97	94.01	214.27	114.36	343.89	432.53	381.68	343.89	153.34	0.0	450.94	343.89	107.38	387.02	1709.26	1369.04	336.79	1191.69	2502.97	454.09	620.67	2319.15	1757.34	1023.0	684.02	1159.07	540.19	1487.87	743.43	1529.73	896.64	1044.52	555.41	1721.16	4210.15	190.34	2209.26	2119.22	285.03	941.27	1295.13	1191.69	1397.83	1268.46	1119.56	1498.22	1832.01	1183.45	1721.16	1487.87	1081.39	1923.14	2895.31	1477.58	1540.37	1605.83	902.89	947.83	866.07	669.92	2384.37	1662.49	332.14	1923.14	1340.84	1819.35	2777.33	2335.28	1088.92	1135.2	909.17	1151.06	1135.2	1030.12	624.99	1936.53	1001.93	718.08	1268.46
PTPRG	131.51	164.42	316.37	93.35	101.54	221.86	102.25	123.5	80.57	102.97	35.5	119.26	59.55	103.69	73.54	55.89	147.06	45.53	0.0	271.48	149.12	93.35	209.84	521.76	406.31	283.05	412.0	638.15	146.03	305.55	830.75	444.72	325.29	283.05	314.17	264.03	480.04	327.56	466.88	444.72	397.93	165.57	454.09	384.34	59.97	902.89	836.53	181.28	195.72	660.68	420.68	1159.07	842.36	447.82	547.75	223.41	417.77	941.27	555.41	587.13	718.08	723.08	511.0	921.88	830.75	387.02	351.14	432.53	149.12	514.56	941.27	124.37	384.34	185.11	1088.92	651.58	708.18	463.65	444.72	438.59	351.14	397.93	351.14	332.14	633.73	309.83	223.41	454.09
RASIP1	353.59	295.11	260.38	109.66	198.47	224.97	147.06	145.02	162.14	162.14	202.66	120.1	896.64	218.79	607.87	186.4	151.22	204.07	0.0	363.56	214.27	69.03	334.46	813.63	1208.34	381.68	1159.07	1143.1	327.56	1304.15	872.1	1477.58	595.34	466.88	656.11	698.41	884.29	688.78	1250.98	753.83	854.13	514.56	728.11	218.79	629.35	860.08	2148.82	703.28	2485.67	1487.87	1369.04	1806.78	728.11	555.41	954.43	1066.48	941.27	854.13	1487.87	555.41	1561.89	1037.29	423.61	785.88	1909.85	525.39	679.29	371.22	1059.11	688.78	532.74	441.64	1397.83	934.76	934.76	674.59	1088.92	961.07	748.61	915.51	1199.98	642.59	1044.52	947.83	1250.98	1250.98	669.92	718.08
RNF38	239.52	96.01	69.52	88.26	88.26	84.04	104.42	190.34	56.68	198.47	63.0	124.37	158.79	215.77	127.0	169.07	187.71	140.04	0.0	323.03	208.38	115.16	466.88	591.22	547.75	299.25	559.28	536.45	397.93	521.76	669.92	543.96	438.59	486.75	432.53	312.0	647.07	361.04	647.07	476.71	379.04	241.19	371.22	547.75	397.93	753.83	902.89	162.14	656.11	473.41	366.09	981.29	872.1	660.68	624.99	825.0	480.04	511.0	543.96	808.0	638.15	624.99	651.58	536.45	507.46	503.95	249.73	273.37	529.06	607.87	866.07	237.86	599.49	420.68	616.37	587.13	536.45	620.67	476.71	567.1	587.13	353.59	432.53	392.44	567.1	316.37	414.87	563.18
RP11-830F9.6	3.79	4.62	1.22	0.0	2.92	1.53	2.36	0.28	2.56	0.0	3.79	2.48	1.75	0.83	2.56	0.0	0.74	0.0	0.0	12.45	4.74	1.83	6.31	13.72	38.67	6.73	20.41	21.47	10.08	28.04	23.42	20.86	10.24	12.45	19.97	10.0	9.56	29.91	15.56	11.64	24.46	10.71	47.5	10.55	2.63	31.22	27.05	16.51	36.79	30.56	43.02	57.08	46.18	18.29	22.59	46.18	25.17	14.67	67.59	24.11	26.47	55.1	33.06	23.25	28.86	31.67	2.12	11.3	26.1	21.16	13.12	12.0	31.67	30.78	17.9	57.89	7.34	13.03	9.78	23.25	13.03	9.27	17.0	16.75	25.91	32.59	18.16	29.48
SASH1	251.48	214.27	76.17	64.8	92.7	128.79	47.17	120.1	70.01	133.36	79.45	96.68	343.89	138.1	159.9	85.82	92.05	136.19	67.12	363.56	151.22	40.64	366.09	759.08	836.53	239.52	878.17	802.41	281.09	629.35	1208.34	808.0	497.0	480.04	555.41	299.25	902.89	497.0	921.88	480.04	536.45	281.09	521.76	785.88	251.48	1216.75	1159.07	157.68	738.29	629.35	728.11	2090.03	1250.98	928.3	1096.5	1135.2	759.08	1199.98	854.13	813.63	1008.9	860.08	669.92	728.11	718.08	551.56	454.09	559.28	674.59	995.0	836.53	438.59	743.43	417.77	1059.11	775.05	674.59	802.41	679.29	616.37	748.61	583.07	473.41	384.34	808.0	563.18	511.0	775.05
SH2D3C	312.0	169.07	140.04	62.12	159.9	76.17	111.21	122.64	142.01	120.1	166.73	59.13	688.78	172.65	170.25	173.85	133.36	127.89	0.0	780.44	312.0	108.14	507.46	1081.39	1733.13	713.11	1662.49	1304.15	775.05	2104.58	1617.0	2255.7	1044.52	753.83	1208.34	612.11	1427.22	995.0	2193.99	1208.34	1208.34	796.86	1844.76	679.29	476.71	2303.12	3742.05	819.3	4704.07	2193.99	2351.53	3146.52	2573.36	1199.98	1088.92	1721.16	2367.9	2555.58	3665.02	1340.84	2434.5	2701.35	1487.87	1572.76	3146.52	1250.98	599.49	470.14	2682.69	1378.57	1277.29	1143.1	2119.22	1617.0	1651.0	1286.18	769.69	1378.57	1233.75	1583.71	1498.22	872.1	1199.98	1457.23	2104.58	1191.69	1250.98	1594.73
SLC6A4	1.91	0.26	1.22	0.75	1.16	0.0	0.0	1.04	3.06	0.58	1.6	1.89	0.88	7.69	3.72	0.93	5.5	0.42	0.0	309.83	23.42	1.27	249.73	3081.75	4095.0	100.13	3146.52	2520.38	480.04	2701.35	1674.06	4512.4	1745.2	1167.14	1883.54	130.6	2835.7	1709.26	4704.07	1529.73	2018.8	1583.71	5872.48	511.0	172.65	7589.61	11035.54	438.59	17558.94	5255.91	4481.23	7180.15	5329.3	2915.45	6079.61	3982.99	2178.83	329.84	7589.61	6745.86	3665.02	4481.23	2739.08	6121.9	2400.97	2451.44	26.47	150.17	1447.15	5403.7	1651.0	830.75	5633.22	2468.49	4123.49	2875.3	1286.18	2645.74	2537.92	1001.93	1111.82	2520.38	2178.83	884.29	6381.92	1745.2	2319.15	2367.9
SP2	329.84	209.84	177.53	136.19	189.02	177.53	189.02	134.3	169.07	218.79	170.25	162.14	214.27	211.31	224.97	185.11	178.77	165.57	0.0	387.02	295.11	88.26	299.25	426.57	450.94	289.02	423.61	384.34	291.04	426.57	417.77	423.61	371.22	397.93	392.44	343.89	358.54	251.48	457.25	356.05	444.72	289.02	403.5	305.55	193.01	583.07	703.28	191.67	620.67	540.19	409.15	693.58	559.28	620.67	579.04	412.0	708.18	262.2	599.49	507.46	466.88	486.75	400.71	518.15	547.75	429.54	318.57	249.73	543.96	271.48	435.55	457.25	466.88	305.55	543.96	525.39	275.28	444.72	406.31	438.59	379.04	403.5	429.54	400.71	457.25	379.04	363.56	480.04
SP6	6.89	3.11	1.07	0.39	3.23	1.69	2.94	0.65	4.24	0.0	2.66	0.0	2.43	0.96	0.54	1.45	0.0	1.6	0.0	42.71	19.39	18.43	16.03	60.39	108.9	24.28	78.89	103.69	20.11	122.64	155.5	114.36	59.55	17.13	30.12	40.36	78.89	113.56	52.45	30.56	82.29	20.86	158.79	21.78	18.43	78.34	111.21	32.82	82.87	86.43	8.45	201.25	80.01	18.03	15.34	64.8	56.28	59.13	197.09	19.39	246.28	346.29	97.36	28.45	144.01	14.78	141.02	5.5	85.22	78.34	24.81	19.68	166.73	40.64	107.38	47.17	60.39	49.21	39.5	41.52	66.18	18.56	52.45	64.8	74.58	180.02	36.79	73.54
ST6GALNAC3	42.71	84.04	29.48	37.32	18.7	25.35	8.38	31.67	29.7	9.13	24.46	28.86	38.67	19.11	45.53	31.22	33.78	36.01	0.0	40.36	36.79	21.94	40.36	75.64	144.01	46.5	163.28	214.27	29.7	62.12	153.34	132.44	90.14	96.01	103.69	43.63	123.5	111.99	177.53	85.82	57.49	98.04	57.89	264.03	31.45	130.6	165.57	56.28	75.64	69.52	82.29	457.25	161.02	271.48	218.79	144.01	251.48	341.51	226.54	75.64	163.28	122.64	135.24	208.38	212.78	93.35	343.89	123.5	56.28	316.37	122.64	106.63	106.63	102.25	119.26	140.04	332.14	158.79	92.7	137.14	67.12	92.7	106.63	58.71	143.01	92.05	110.43	161.02
STARD13	146.03	93.35	105.89	61.68	65.72	149.12	42.41	84.63	55.1	53.57	28.04	141.02	283.05	66.65	94.67	162.14	107.38	58.3	0.0	161.02	110.43	54.72	334.46	460.44	483.38	248.0	334.46	368.65	195.72	454.09	684.02	457.25	373.81	293.07	363.56	260.38	486.75	457.25	420.68	305.55	343.89	176.29	320.8	363.56	72.01	954.43	764.36	141.02	412.0	703.28	251.48	1447.15	571.05	629.35	981.29	860.08	363.56	318.57	441.64	579.04	813.63	753.83	507.46	603.67	669.92	269.6	228.13	473.41	366.09	392.44	638.15	165.57	457.25	497.0	490.14	460.44	309.83	403.5	397.93	403.5	371.22	318.57	307.69	301.33	460.44	371.22	351.14	450.94
STARD8	236.21	173.85	153.34	102.97	74.58	127.0	118.43	155.5	178.77	115.97	96.01	120.94	93.35	155.5	88.88	142.01	84.04	166.73	0.0	221.86	118.43	38.67	129.69	366.09	521.76	214.27	403.5	540.19	242.88	595.34	954.43	457.25	356.05	195.72	412.0	403.5	435.55	775.05	571.05	307.69	733.19	285.03	603.67	334.46	190.34	961.07	1225.22	144.01	629.35	1088.92	529.06	2303.12	934.76	669.92	769.69	438.59	454.09	1081.39	1044.52	329.84	1119.56	995.0	698.41	703.28	769.69	237.86	307.69	244.57	483.38	493.56	563.18	591.22	819.3	525.39	743.43	723.08	356.05	409.15	373.81	351.14	376.41	473.41	283.05	339.14	599.49	674.59	285.03	764.36
TAL1	57.08	38.12	26.67	16.27	20.41	37.59	15.0	16.75	25.72	43.94	30.34	32.82	71.0	27.84	64.34	35.5	32.59	55.89	0.0	116.78	48.52	21.63	83.45	190.34	358.54	157.68	185.11	309.83	92.05	169.07	368.65	389.72	212.78	112.77	162.14	80.01	287.01	277.2	314.17	187.71	371.22	150.17	450.94	127.0	52.82	314.17	514.56	111.99	599.49	669.92	368.65	329.84	575.03	181.28	218.79	684.02	518.15	195.72	429.54	273.37	563.18	420.68	265.87	177.53	947.83	166.73	93.35	68.07	934.76	221.86	384.34	251.48	318.57	183.82	295.11	273.37	100.83	246.28	260.38	197.09	231.32	149.12	285.03	201.25	201.25	214.27	183.82	285.03
TEK	503.95	583.07	175.07	176.29	105.89	299.25	80.01	221.86	154.42	256.78	98.73	186.4	175.07	463.65	215.77	258.57	206.94	220.32	0.0	325.29	103.69	41.22	318.57	878.17	967.76	273.37	1268.46	1745.2	320.8	954.43	1216.75	1350.18	703.28	447.82	848.22	426.57	1359.57	780.44	1313.23	723.08	819.3	432.53	1313.23	1159.07	206.94	1963.57	2047.0	175.07	2061.24	1015.93	1259.69	2855.44	1685.71	890.44	759.08	1151.06	3419.52	1769.57	1397.83	1277.29	1561.89	1857.6	941.27	1388.16	2032.85	629.35	1096.5	141.02	536.45	2895.31	1498.22	1143.1	842.36	1540.37	1923.14	708.18	1457.23	884.29	981.29	1059.11	1304.15	808.0	1023.0	599.49	2178.83	738.29	665.29	848.22
TMTC1	85.22	33.06	34.51	62.12	111.21	71.0	57.49	58.3	28.45	105.89	23.25	40.36	55.1	32.13	95.34	15.34	31.22	43.94	0.0	76.71	51.71	17.51	107.38	140.04	279.14	68.07	134.3	358.54	94.01	92.7	379.04	181.28	135.24	115.97	164.42	75.11	283.05	121.79	249.73	182.55	135.24	91.41	178.77	1407.55	55.49	1096.5	842.36	135.24	116.78	139.07	387.02	587.13	620.67	909.17	318.57	215.77	384.34	1417.35	525.39	460.44	325.29	503.95	246.28	271.48	1167.14	127.0	802.41	220.32	43.02	723.08	669.92	224.97	500.46	473.41	1066.48	161.02	525.39	172.65	248.0	229.72	124.37	209.84	182.55	77.79	444.72	209.84	126.12	193.01
TOX2	420.68	575.03	144.01	96.01	29.27	129.69	37.32	88.26	108.14	82.29	171.45	153.34	249.73	289.02	486.75	237.86	120.1	86.43	0.0	336.79	129.69	78.89	277.2	571.05	878.17	293.07	866.07	674.59	279.14	769.69	674.59	995.0	406.31	397.93	693.58	336.79	607.87	713.11	738.29	551.56	583.07	400.71	2875.3	579.04	56.68	579.04	1594.73	144.01	1183.45	733.19	490.14	1191.69	791.35	2520.38	409.15	753.83	551.56	2335.28	775.05	3716.2	753.83	1081.39	551.56	1199.98	1437.15	796.86	460.44	583.07	708.18	1508.65	583.07	176.29	480.04	656.11	1208.34	1529.73	612.11	660.68	642.59	759.08	698.41	866.07	603.67	497.0	1030.12	620.67	571.05	796.86
VIPR1	1529.73	674.59	172.65	249.73	66.18	769.69	441.64	1259.69	748.61	713.11	346.29	723.08	15.0	915.51	981.29	1119.56	884.29	660.68	0.0	1242.34	297.17	119.26	447.82	3515.68	6426.31	753.83	5403.7	4328.55	1909.85	4802.93	4268.94	7331.05	2591.27	1896.65	2573.36	896.64	4152.18	4450.27	6935.54	2468.49	3018.3	2739.08	9215.48	4671.57	214.27	6607.01	9808.75	1757.34	11267.44	6699.25	6561.36	8247.98	9409.14	5672.41	6037.61	8538.88	5076.84	1977.24	8598.28	9474.59	5112.16	6250.56	5006.93	4512.4	4328.55	5292.48	1268.46	1950.0	4268.94	4481.23	3564.78	1583.71	6164.49	4358.66	5183.54	4543.8	2777.33	4268.94	3103.19	2895.31	1950.0	2451.44	3124.78	2367.9	5831.91	2875.3	3491.39	4836.35
XYLT1	39.22	10.71	2.32	1.22	4.06	18.43	2.68	5.45	5.54	2.56	7.57	7.34	10.96	3.99	7.94	2.89	17.64	3.66	0.0	127.0	14.45	9.13	24.46	108.14	67.12	31.9	43.63	85.82	64.34	39.5	111.21	69.03	53.19	38.4	48.87	65.72	63.45	36.79	82.29	58.71	69.52	29.27	67.59	29.7	12.55	100.83	241.19	26.1	57.89	108.9	84.04	255.0	143.01	38.67	68.55	74.06	89.51	152.28	104.42	87.03	287.01	229.72	89.51	142.01	164.42	139.07	15.0	32.82	47.84	36.79	157.68	41.81	43.32	55.89	146.03	129.69	198.47	67.12	95.34	88.88	47.17	57.08	55.49	44.25	90.77	82.87	41.52	74.58
