	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07
QPCTL	152.28	104.42	0.65	297.17	426.57	279.14	237.86	429.54	791.35	353.59	329.84	441.64	450.94	373.81	334.46	224.97	371.22	212.78	438.59	229.72	242.88	353.59	490.14	312.0	674.59	423.61	403.5	511.0	397.93	500.46	191.67	214.27	189.02	228.13	620.67	441.64	305.55	316.37	384.34	438.59	327.56	307.69	251.48
RHPN1	57.08	85.22	1.0	128.79	536.45	237.86	162.14	193.01	1651.0	218.79	379.04	236.21	473.41	587.13	314.17	84.63	406.31	223.41	521.76	65.72	161.02	785.88	500.46	150.17	392.44	384.34	441.64	529.06	470.14	934.76	182.55	104.42	94.01	112.77	559.28	486.75	167.9	253.23	748.61	262.2	172.65	60.82	87.65
RNF208	56.28	48.52	0.51	204.07	500.46	363.56	165.57	493.56	866.07	299.25	507.46	348.71	529.06	503.95	301.33	130.6	329.84	149.12	620.67	130.6	242.88	540.19	607.87	275.28	476.71	400.71	514.56	743.43	353.59	603.67	251.48	129.69	129.69	167.9	507.46	343.89	239.52	361.04	514.56	224.97	483.38	255.0	264.03
RPUSD1	126.12	109.66	0.01	312.0	599.49	285.03	217.27	409.15	796.86	376.41	441.64	450.94	435.55	473.41	406.31	162.14	438.59	226.54	356.05	277.2	327.56	450.94	698.41	212.78	511.0	420.68	463.65	624.99	348.71	555.41	221.86	244.57	206.94	205.5	603.67	400.71	299.25	420.68	540.19	403.5	403.5	260.38	251.48
RUVBL1	555.41	559.28	0.47	785.88	1225.22	753.83	591.22	866.07	1674.06	753.83	928.3	928.3	1044.52	1015.93	884.29	587.13	860.08	1008.9	759.08	802.41	819.3	1304.15	1037.29	808.0	808.0	995.0	1081.39	848.22	780.44	1135.2	660.68	748.61	651.58	514.56	1350.18	954.43	748.61	842.36	785.88	780.44	791.35	547.75	563.18
SCAF1	234.57	232.94	848.22	961.07	928.3	884.29	769.69	890.44	1183.45	928.3	954.43	878.17	1127.35	1059.11	1081.39	728.11	902.89	656.11	1044.52	688.78	769.69	902.89	1001.93	813.63	1277.29	1051.79	995.0	934.76	902.89	934.76	1015.93	791.35	796.86	780.44	1111.82	759.08	808.0	902.89	1073.91	1023.0	802.41	967.76	967.76
SCNM1	684.02	587.13	0.49	642.59	1008.9	728.11	629.35	825.0	995.0	854.13	785.88	693.58	1008.9	780.44	665.29	551.56	764.36	497.0	616.37	764.36	547.75	915.51	1015.93	629.35	896.64	802.41	825.0	981.29	928.3	1066.48	669.92	543.96	642.59	656.11	890.44	693.58	633.73	567.1	947.83	633.73	890.44	785.88	708.18
SIVA1	444.72	525.39	121.79	1225.22	2796.65	2148.82	1183.45	2537.92	2591.27	2384.37	2816.11	1794.29	2240.11	2645.74	1477.58	1639.59	1769.57	1721.16	2104.58	1369.04	1350.18	2400.97	3419.52	1151.06	4152.18	2047.0	2417.67	3443.31	2502.97	2739.08	1369.04	896.64	1350.18	1331.57	2664.15	2178.83	1304.15	1806.78	2537.92	2018.8	2701.35	2090.03	2178.83
SLC12A8	176.29	181.28	0.27	301.33	320.8	228.13	202.66	273.37	358.54	255.0	258.57	312.0	384.34	500.46	281.09	145.02	381.68	123.5	348.71	260.38	412.0	314.17	237.86	215.77	500.46	312.0	241.19	199.85	75.64	366.09	211.31	232.94	209.84	289.02	353.59	384.34	229.72	181.28	291.04	384.34	158.79	190.34	190.34
SYNE4	232.94	155.5	0.4	656.11	1628.26	684.02	447.82	1059.11	2018.8	780.44	759.08	967.76	995.0	669.92	974.5	447.82	974.5	441.64	1104.13	583.07	616.37	1127.35	1896.65	559.28	808.0	947.83	1023.0	1529.73	780.44	1477.58	392.44	507.46	497.0	514.56	1233.75	1167.14	547.75	981.29	1427.22	1447.15	1023.0	703.28	748.61
TBL3	387.02	400.71	1044.52	866.07	1259.69	967.76	759.08	1104.13	1350.18	1015.93	1208.34	909.17	1044.52	1119.56	1008.9	679.29	1135.2	575.03	974.5	743.43	713.11	1388.16	1216.75	651.58	1119.56	1023.0	1073.91	1628.26	836.53	1096.5	954.43	525.39	674.59	854.13	1208.34	967.76	738.29	1417.35	1233.75	1111.82	1008.9	1015.93	909.17
TPRA1	547.75	379.04	0.75	660.68	1037.29	796.86	656.11	1001.93	1088.92	896.64	1259.69	890.44	890.44	860.08	813.63	651.58	947.83	909.17	842.36	684.02	723.08	1001.93	1225.22	563.18	1295.13	974.5	836.53	1001.93	947.83	1313.23	579.04	642.59	620.67	603.67	1322.37	813.63	599.49	909.17	830.75	947.83	819.3	669.92	808.0
TRIM3	309.83	373.81	0.96	463.65	473.41	441.64	395.18	412.0	1008.9	450.94	334.46	674.59	607.87	460.44	503.95	417.77	454.09	397.93	688.78	334.46	277.2	802.41	595.34	473.41	521.76	713.11	503.95	624.99	660.68	1015.93	384.34	356.05	320.8	432.53	521.76	713.11	432.53	543.96	587.13	547.75	473.41	392.44	336.79
TRMT61A	73.03	48.52	0.42	199.85	381.68	291.04	185.11	358.54	616.37	361.04	358.54	343.89	384.34	395.18	320.8	199.85	293.07	201.25	307.69	185.11	224.97	540.19	493.56	204.07	507.46	305.55	295.11	457.25	392.44	414.87	232.94	180.02	172.65	283.05	480.04	325.29	236.21	314.17	368.65	277.2	351.14	212.78	226.54
TSSC4	236.21	248.0	0.66	684.02	1322.37	878.17	563.18	1104.13	1331.57	981.29	1268.46	1175.27	1119.56	1322.37	780.44	738.29	1030.12	571.05	1340.84	656.11	591.22	1286.18	1721.16	698.41	1447.15	1059.11	1073.91	1427.22	1216.75	1191.69	718.08	555.41	587.13	860.08	1447.15	1066.48	688.78	1030.12	1008.9	1037.29	1175.27	684.02	759.08
TTLL12	473.41	309.83	182.55	1519.15	1561.89	974.5	1051.79	1175.27	1857.6	1135.2	1487.87	1832.01	1295.13	1111.82	1605.83	866.07	1304.15	1151.06	2032.85	896.64	1447.15	1427.22	1781.89	1175.27	1331.57	1407.55	1628.26	1628.26	587.13	1508.65	543.96	1277.29	1023.0	866.07	1709.26	1331.57	1208.34	1313.23	1023.0	1594.73	915.51	1104.13	1175.27
TUT1	218.79	368.65	0.54	493.56	764.36	555.41	447.82	587.13	728.11	607.87	435.55	651.58	638.15	599.49	718.08	358.54	599.49	356.05	748.61	450.94	376.41	808.0	669.92	457.25	878.17	579.04	454.09	713.11	620.67	713.11	483.38	444.72	346.29	409.15	825.0	713.11	441.64	642.59	848.22	633.73	529.06	536.45	447.82
TYSND1	253.23	137.14	295.11	287.01	332.14	325.29	258.57	368.65	579.04	368.65	287.01	454.09	336.79	387.02	358.54	265.87	343.89	277.2	232.94	248.0	312.0	387.02	387.02	232.94	559.28	486.75	332.14	426.57	318.57	329.84	236.21	297.17	251.48	269.6	460.44	412.0	334.46	366.09	480.04	346.29	309.83	316.37	325.29
U2AF2	1519.15	1208.34	1.23	2451.44	2303.12	2758.13	2178.83	2591.27	4123.49	3235.01	2537.92	2855.44	3039.3	3124.78	2875.3	2133.97	2875.3	2468.49	3018.3	1950.0	2287.2	3443.31	3039.3	2209.26	3212.66	3081.75	3018.3	2835.7	3235.01	3515.68	3060.45	2119.22	1685.71	2224.63	2720.15	3081.75	2319.15	2573.36	3018.3	2573.36	2468.49	2573.36	2287.2
UBE2J2	703.28	309.83	0.85	902.89	1378.57	1073.91	842.36	1397.83	1819.35	1191.69	1350.18	1350.18	1407.55	1540.37	1081.39	660.68	1183.45	928.3	1477.58	748.61	954.43	1605.83	1709.26	872.1	1487.87	1199.98	1369.04	1909.85	1286.18	1437.15	1159.07	825.0	764.36	988.12	1639.59	1199.98	1073.91	1135.2	1651.0	1111.82	1143.1	915.51	1081.39
VPS72	540.19	708.18	500.46	854.13	1304.15	1001.93	830.75	1111.82	1216.75	1088.92	1104.13	1104.13	1259.69	1051.79	1066.48	848.22	1135.2	830.75	1008.9	1015.93	981.29	1119.56	1340.84	974.5	1757.34	1015.93	1233.75	1151.06	1096.5	1331.57	915.51	860.08	780.44	728.11	1104.13	1096.5	743.43	1066.48	961.07	988.12	1151.06	1127.35	1143.1
ZBTB45	140.04	80.57	0.02	293.07	371.22	305.55	214.27	312.0	583.07	325.29	279.14	366.09	348.71	371.22	289.02	172.65	309.83	220.32	376.41	228.13	265.87	379.04	363.56	314.17	454.09	334.46	384.34	384.34	285.03	426.57	329.84	186.4	198.47	242.88	381.68	426.57	269.6	318.57	400.71	353.59	320.8	260.38	265.87
ZFPL1	603.67	339.14	0.56	1044.52	1721.16	1331.57	961.07	1806.78	1806.78	1437.15	1583.71	1437.15	1519.15	1819.35	1437.15	921.88	1487.87	1447.15	981.29	1143.1	1088.92	1950.0	1697.45	995.0	2032.85	1350.18	1697.45	1806.78	1427.22	1794.29	1127.35	878.17	909.17	1151.06	1540.37	1662.49	1073.91	1769.57	1733.13	1427.22	1896.65	1340.84	1127.35
ZFYVE19	363.56	497.0	0.35	400.71	748.61	460.44	583.07	656.11	743.43	629.35	633.73	684.02	723.08	511.0	688.78	507.46	571.05	567.1	525.39	476.71	688.78	825.0	723.08	500.46	748.61	616.37	457.25	954.43	567.1	368.65	389.72	346.29	454.09	438.59	866.07	612.11	503.95	703.28	575.03	551.56	599.49	616.37	514.56
ZNF747	208.38	156.59	0.21	236.21	246.28	212.78	202.66	256.78	239.52	241.19	249.73	255.0	236.21	287.01	264.03	182.55	218.79	223.41	242.88	215.77	220.32	287.01	249.73	221.86	258.57	212.78	291.04	256.78	251.48	242.88	224.97	221.86	185.11	195.72	223.41	285.03	181.28	234.57	291.04	228.13	221.86	258.57	234.57
ZNF768	532.74	414.87	0.59	595.34	723.08	728.11	575.03	884.29	1617.0	854.13	1015.93	830.75	819.3	1151.06	713.11	466.88	830.75	587.13	769.69	511.0	647.07	1175.27	1259.69	624.99	1216.75	947.83	813.63	1111.82	947.83	1088.92	595.34	486.75	575.03	518.15	1096.5	909.17	642.59	1001.93	1044.52	684.02	830.75	679.29	638.15
ZNF787	121.79	56.28	231.32	363.56	708.18	414.87	305.55	518.15	743.43	624.99	660.68	532.74	651.58	595.34	486.75	269.6	583.07	336.79	575.03	346.29	414.87	728.11	802.41	332.14	836.53	551.56	559.28	669.92	603.67	728.11	356.05	285.03	241.19	432.53	759.08	454.09	381.68	525.39	759.08	521.76	532.74	329.84	371.22
ZNF837	11.64	3.92	0.07	38.4	105.15	52.08	28.04	57.89	115.97	76.17	80.01	80.57	96.68	79.45	46.5	19.11	85.22	39.5	74.58	19.97	43.94	105.89	105.89	41.81	148.09	66.18	92.7	125.24	72.52	138.1	43.32	12.83	21.47	34.51	141.02	69.52	54.72	55.89	139.07	50.98	49.21	45.53	57.08
