	GTEX.S32W.1126.SM.4AD5V	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.14E7W.1926.SM.5S2R9	GTEX.12WSD.2026.SM.5HL7D	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OW6.1626.SM.5IJD5	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.SNMC.0426.SM.4DM5Y	GTEX.U3ZH.1126.SM.4DXUG	GTEX.12WSD.1926.SM.5GCOV	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.WRHK.0426.SM.4MVOG	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.BR.8371.01A.11R.2343.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.146FH.2126.SM.5SI9U	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.XUJ4.1526.SM.4BONU	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
APBB3	279.14	141.02	181.28	142.01	323.03	120.94	237.86	293.07	226.54	194.36	208.38	400.71	493.56	571.05	379.04	665.29	293.07	802.41	693.58	571.05	1167.14	1295.13	842.36	802.41	703.28	1313.23	718.08	1143.1	651.58	819.3	1096.5	1059.11	1467.37	679.29	1183.45	1437.15	651.58	1051.79	915.51	947.83	403.5	842.36	361.04	473.41	961.07	954.43	642.59	1388.16	1127.35	819.3	409.15	708.18	476.71	1286.18	1135.2	567.1	825.0	287.01	208.38	221.86	273.37	145.02	323.03	214.27	314.17	271.48	178.77	214.27	175.07	132.44	191.67	587.13	476.71	403.5	194.36	334.46	108.14	109.66	248.0	361.04	198.47	775.05	346.29	426.57	387.02	301.33	191.67	688.78	348.71	540.19	277.2	403.5	265.87	316.37	884.29	267.73	368.65	616.37	438.59	318.57	607.87	181.28
ARHGAP33	44.57	204.07	206.94	80.01	101.54	139.07	126.12	158.79	60.39	90.77	60.82	131.51	231.32	231.32	406.31	332.14	249.73	387.02	341.51	466.88	947.83	759.08	503.95	432.53	511.0	532.74	470.14	460.44	273.37	450.94	775.05	633.73	775.05	392.44	583.07	638.15	251.48	587.13	457.25	780.44	214.27	332.14	171.45	307.69	356.05	540.19	281.09	915.51	490.14	316.37	253.23	460.44	299.25	559.28	547.75	234.57	318.57	131.51	42.71	110.43	107.38	69.52	122.64	76.71	224.97	120.94	44.89	66.18	25.54	55.1	29.48	159.9	221.86	262.2	64.8	262.2	54.33	96.68	271.48	234.57	40.36	264.03	194.36	211.31	150.17	127.89	49.21	336.79	149.12	379.04	105.89	33.78	47.84	152.28	248.0	44.25	93.35	269.6	205.5	114.36	182.55	38.4
ASIC3	23.42	28.65	49.21	93.35	31.45	7.11	26.1	11.91	13.52	23.25	18.16	57.49	51.71	81.14	53.57	111.21	109.66	112.77	164.42	111.99	376.41	361.04	128.79	107.38	105.15	127.89	127.0	180.02	229.72	293.07	161.02	241.19	249.73	127.89	514.56	441.64	214.27	164.42	320.8	105.89	52.45	218.79	132.44	145.02	241.19	368.65	178.77	316.37	373.81	265.87	125.24	212.78	92.7	414.87	447.82	201.25	98.73	39.5	17.9	4.43	39.79	32.82	15.22	12.36	12.45	23.76	10.71	8.99	1.75	8.19	24.63	46.18	87.03	52.82	36.53	43.94	48.87	21.78	49.56	83.45	20.26	242.88	256.78	51.35	72.01	46.84	28.24	52.45	68.07	98.04	69.52	23.93	37.05	77.79	75.64	30.34	38.95	124.37	50.98	178.77	111.99	24.28
ATAD3B	293.07	162.14	177.53	146.03	406.31	57.08	126.12	152.28	139.07	165.57	96.68	267.73	198.47	490.14	583.07	392.44	265.87	460.44	444.72	356.05	674.59	647.07	447.82	293.07	318.57	708.18	325.29	780.44	314.17	638.15	567.1	599.49	718.08	384.34	703.28	785.88	371.22	595.34	483.38	483.38	150.17	417.77	204.07	271.48	698.41	679.29	305.55	684.02	575.03	447.82	343.89	579.04	197.09	624.99	563.18	363.56	368.65	187.71	68.55	80.57	84.63	62.12	107.38	153.34	181.28	100.13	74.06	81.71	130.6	108.14	73.03	267.73	170.25	146.03	90.14	152.28	55.89	85.82	171.45	271.48	92.05	297.17	221.86	258.57	204.07	88.26	152.28	289.02	161.02	332.14	271.48	157.68	180.02	194.36	297.17	178.77	135.24	493.56	297.17	223.41	248.0	172.65
ATG16L2	158.79	239.52	202.66	305.55	353.59	100.83	220.32	260.38	191.67	154.42	205.5	339.14	417.77	283.05	624.99	603.67	371.22	728.11	363.56	738.29	1183.45	928.3	780.44	616.37	547.75	723.08	780.44	463.65	529.06	974.5	1001.93	967.76	1216.75	718.08	813.63	1008.9	466.88	785.88	674.59	961.07	343.89	612.11	366.09	599.49	620.67	878.17	483.38	1023.0	981.29	674.59	441.64	718.08	486.75	1059.11	1001.93	329.84	500.46	348.71	147.06	183.82	211.31	186.4	136.19	105.89	190.34	205.5	95.34	134.3	91.41	44.57	95.34	547.75	363.56	389.72	209.84	279.14	96.68	107.38	231.32	540.19	127.89	587.13	309.83	447.82	262.2	244.57	92.7	400.71	180.02	551.56	285.03	212.78	267.73	426.57	536.45	175.07	181.28	351.14	307.69	301.33	253.23	204.07
C3orf35	0.61	7.51	7.46	7.28	16.03	3.53	3.56	12.18	4.78	3.96	8.78	9.2	16.39	11.73	13.52	15.45	8.06	22.92	37.05	7.22	61.68	54.33	13.93	17.9	23.08	37.32	17.77	67.59	24.11	43.63	49.56	22.43	31.0	19.97	60.82	49.56	12.0	35.76	39.22	8.99	4.46	20.41	15.45	18.03	59.13	66.18	15.91	37.05	29.91	14.56	17.77	25.17	8.58	48.18	58.3	6.57	18.7	5.15	4.31	7.4	4.5	16.03	5.92	3.66	5.41	1.17	6.21	6.11	8.65	6.94	5.54	29.27	9.13	10.24	3.17	4.5	4.24	4.31	6.57	8.13	5.92	15.34	7.82	9.63	16.51	7.22	13.22	12.55	19.39	9.34	6.31	8.65	21.01	9.34	18.84	6.89	12.83	9.41	15.45	17.38	22.1	4.78
C6ORF50	2.29	11.82	11.3	1.68	18.29	6.21	2.25	11.04	8.71	2.23	7.06	15.0	31.22	20.41	21.47	34.02	7.11	25.17	38.4	22.26	77.79	63.45	30.34	45.53	37.05	41.81	39.22	96.01	33.54	73.54	114.36	71.0	89.51	62.12	163.28	167.9	15.0	75.11	55.89	19.97	20.71	35.5	19.39	32.82	119.26	92.7	24.46	114.36	85.82	48.52	16.51	46.84	16.75	114.36	100.13	16.39	21.78	5.63	3.44	6.01	12.45	10.08	11.64	2.84	6.06	8.25	1.91	7.22	1.25	9.27	4.28	37.59	5.45	14.89	9.41	2.05	0.8	3.72	3.99	6.16	1.79	44.89	20.26	12.93	18.43	5.41	4.5	23.93	16.27	27.84	6.84	14.03	10.16	19.39	57.89	9.48	9.13	13.62	28.86	18.97	30.34	12.0
CAPN10	275.28	140.04	199.85	202.66	361.04	133.36	165.57	173.85	208.38	158.79	164.42	366.09	249.73	368.65	384.34	480.04	334.46	507.46	633.73	470.14	1233.75	748.61	743.43	555.41	567.1	921.88	429.54	1008.9	738.29	854.13	708.18	728.11	1088.92	466.88	848.22	764.36	497.0	733.19	629.35	941.27	341.51	514.56	301.33	420.68	518.15	928.3	591.22	981.29	698.41	612.11	389.72	780.44	470.14	830.75	753.83	343.89	429.54	316.37	204.07	181.28	279.14	246.28	273.37	289.02	309.83	299.25	186.4	170.25	170.25	194.36	180.02	503.95	343.89	361.04	202.66	283.05	111.21	218.79	211.31	392.44	171.45	381.68	336.79	343.89	336.79	180.02	205.5	283.05	318.57	624.99	389.72	181.28	277.2	281.09	563.18	199.85	237.86	748.61	432.53	226.54	444.72	209.84
CAPRIN2	93.35	239.52	217.27	155.5	285.03	231.32	241.19	237.86	215.77	205.5	232.94	228.13	384.34	356.05	466.88	457.25	480.04	341.51	547.75	518.15	698.41	842.36	518.15	693.58	698.41	713.11	529.06	802.41	480.04	571.05	674.59	607.87	642.59	723.08	698.41	674.59	563.18	728.11	651.58	595.34	373.81	567.1	417.77	497.0	575.03	612.11	651.58	780.44	603.67	536.45	591.22	555.41	483.38	688.78	708.18	450.94	633.73	343.89	334.46	246.28	211.31	392.44	241.19	236.21	162.14	241.19	205.5	199.85	157.68	251.48	131.51	476.71	297.17	507.46	164.42	130.6	98.73	157.68	175.07	258.57	157.68	361.04	220.32	190.34	135.24	144.01	162.14	318.57	209.84	262.2	121.79	157.68	126.12	232.94	226.54	92.7	195.72	265.87	164.42	211.31	361.04	117.6
CCDC14	122.64	162.14	234.57	137.14	397.93	175.07	163.28	218.79	171.45	105.15	153.34	381.68	447.82	591.22	684.02	688.78	400.71	571.05	595.34	547.75	1023.0	1044.52	780.44	651.58	551.56	1096.5	669.92	703.28	748.61	780.44	1066.48	802.41	1167.14	764.36	1044.52	1250.98	595.34	769.69	791.35	435.55	303.44	708.18	620.67	656.11	1037.29	1233.75	651.58	1066.48	780.44	860.08	363.56	775.05	532.74	1216.75	947.83	320.8	665.29	208.38	175.07	229.72	199.85	165.57	202.66	242.88	305.55	169.07	271.48	147.06	221.86	127.89	128.79	466.88	332.14	381.68	260.38	208.38	78.89	162.14	291.04	420.68	202.66	842.36	400.71	214.27	366.09	256.78	275.28	703.28	269.6	688.78	287.01	299.25	384.34	490.14	607.87	256.78	279.14	684.02	417.77	500.46	543.96	318.57
CCDC66	239.52	132.44	112.77	76.17	228.13	165.57	169.07	164.42	201.25	105.89	204.07	212.78	248.0	122.64	214.27	343.89	197.09	323.03	275.28	283.05	457.25	435.55	387.02	426.57	265.87	420.68	334.46	493.56	339.14	339.14	543.96	483.38	476.71	392.44	426.57	435.55	241.19	332.14	429.54	215.77	175.07	392.44	241.19	234.57	450.94	339.14	275.28	518.15	332.14	368.65	244.57	316.37	212.78	363.56	397.93	211.31	256.78	232.94	127.0	214.27	172.65	237.86	153.34	106.63	128.79	162.14	176.29	80.57	149.12	180.02	135.24	426.57	237.86	221.86	190.34	89.51	96.68	131.51	120.1	253.23	103.69	473.41	226.54	214.27	191.67	149.12	94.01	224.97	173.85	283.05	144.01	183.82	140.04	258.57	389.72	98.04	195.72	376.41	206.94	224.97	301.33	135.24
CCDC84	165.57	271.48	358.54	178.77	473.41	172.65	175.07	269.6	221.86	154.42	214.27	457.25	460.44	551.56	571.05	884.29	470.14	954.43	1340.84	426.57	1583.71	1111.82	599.49	796.86	603.67	1119.56	490.14	1832.01	1277.29	941.27	1015.93	854.13	1104.13	660.68	1467.37	1909.85	603.67	764.36	890.44	656.11	381.68	718.08	775.05	444.72	1313.23	1135.2	684.02	1583.71	1208.34	1088.92	423.61	1233.75	521.76	1233.75	1175.27	420.68	1233.75	307.69	127.0	167.9	260.38	156.59	249.73	140.04	277.2	262.2	114.36	181.28	123.5	256.78	67.59	902.89	466.88	356.05	208.38	316.37	190.34	205.5	316.37	470.14	149.12	476.71	291.04	414.87	511.0	236.21	339.14	403.5	830.75	551.56	195.72	287.01	379.04	267.73	463.65	187.71	281.09	320.8	348.71	353.59	656.11	198.47
CDC16	780.44	836.53	848.22	808.0	1208.34	884.29	854.13	947.83	961.07	775.05	961.07	1208.34	1051.79	860.08	819.3	1023.0	1023.0	1030.12	1151.06	1225.22	1896.65	1806.78	1340.84	1447.15	1340.84	1487.87	1359.57	1437.15	1519.15	1369.04	1594.73	1340.84	1721.16	1561.89	1909.85	1674.06	1216.75	1583.71	1757.34	1277.29	1111.82	1378.57	1167.14	1331.57	1457.23	1551.09	1427.22	1745.2	1427.22	1331.57	1151.06	1331.57	1477.58	1540.37	1662.49	974.5	1369.04	1119.56	995.0	961.07	825.0	603.67	813.63	813.63	921.88	866.07	967.76	928.3	791.35	884.29	723.08	1313.23	842.36	954.43	902.89	638.15	466.88	612.11	836.53	775.05	941.27	1605.83	1127.35	1191.69	1159.07	934.76	928.3	1216.75	1143.1	1111.82	872.1	791.35	1008.9	1023.0	1322.37	974.5	896.64	1378.57	1151.06	1233.75	1242.34	1015.93
CDRT4	6.94	62.12	70.51	27.84	76.71	2.73	14.78	44.25	30.12	13.72	71.0	48.18	53.95	124.37	171.45	100.83	127.0	193.01	175.07	144.01	579.04	373.81	135.24	232.94	66.18	297.17	157.68	353.59	73.54	466.88	423.61	273.37	444.72	275.28	563.18	525.39	75.64	220.32	224.97	191.67	111.99	132.44	84.63	120.94	379.04	373.81	166.73	607.87	371.22	142.01	124.37	242.88	152.28	563.18	595.34	36.27	76.71	67.59	24.81	14.03	60.39	33.06	15.34	47.5	47.84	24.11	18.43	32.36	16.39	10.24	6.89	237.86	151.22	92.05	49.21	29.27	12.55	11.91	38.4	19.97	57.08	38.12	158.79	114.36	201.25	35.25	85.22	301.33	20.56	275.28	39.5	5.73	102.97	43.02	525.39	43.63	43.63	126.12	152.28	48.52	316.37	31.0
CENPT	389.72	703.28	872.1	490.14	808.0	540.19	457.25	587.13	503.95	450.94	540.19	791.35	1151.06	1457.23	819.3	1167.14	638.15	1167.14	1427.22	1096.5	2537.92	2178.83	1628.26	1096.5	1295.13	2018.8	1388.16	2468.49	1685.71	2367.9	2119.22	1977.24	2163.77	1183.45	2400.97	2627.46	1044.52	1651.0	1709.26	1745.2	802.41	1467.37	928.3	1143.1	2075.59	2434.5	1225.22	2645.74	2193.99	1709.26	988.12	1963.57	1143.1	2468.49	2271.4	1111.82	1295.13	753.83	493.56	341.51	543.96	563.18	525.39	351.14	511.0	595.34	297.17	406.31	295.11	395.18	223.41	1096.5	1051.79	988.12	470.14	603.67	392.44	476.71	493.56	1008.9	543.96	995.0	830.75	909.17	854.13	559.28	470.14	921.88	738.29	1096.5	595.34	483.38	629.35	693.58	1159.07	490.14	543.96	825.0	941.27	698.41	860.08	559.28
CEP164	329.84	198.47	212.78	108.14	327.56	211.31	226.54	241.19	312.0	185.11	186.4	363.56	301.33	460.44	432.53	555.41	283.05	493.56	334.46	353.59	791.35	612.11	457.25	423.61	320.8	529.06	414.87	674.59	379.04	651.58	559.28	555.41	872.1	363.56	616.37	708.18	332.14	466.88	450.94	409.15	248.0	400.71	256.78	327.56	603.67	647.07	348.71	748.61	521.76	503.95	239.52	361.04	303.44	791.35	555.41	269.6	256.78	226.54	224.97	165.57	147.06	100.13	193.01	191.67	244.57	172.65	128.79	128.79	154.42	130.6	136.19	728.11	297.17	283.05	314.17	318.57	181.28	297.17	361.04	381.68	236.21	583.07	353.59	329.84	256.78	277.2	208.38	525.39	309.83	444.72	277.2	218.79	258.57	332.14	514.56	232.94	224.97	414.87	316.37	336.79	435.55	201.25
CHKB	400.71	470.14	629.35	559.28	1119.56	392.44	429.54	728.11	466.88	327.56	392.44	915.51	713.11	1733.13	1208.34	1359.57	603.67	1540.37	1519.15	1127.35	2777.33	3443.31	1870.53	1519.15	1870.53	2645.74	1135.2	2417.67	1963.57	1769.57	2384.37	2287.2	2895.31	1709.26	2875.3	3018.3	1175.27	1794.29	2303.12	2335.28	890.44	1378.57	1191.69	1015.93	1639.59	2193.99	1870.53	3081.75	3257.52	1844.76	1359.57	2061.24	1111.82	2682.69	3039.3	1340.84	1268.46	796.86	414.87	616.37	529.06	540.19	612.11	384.34	934.76	708.18	503.95	547.75	381.68	343.89	438.59	1407.55	819.3	1023.0	559.28	575.03	339.14	395.18	669.92	890.44	476.71	1135.2	872.1	1051.79	775.05	559.28	417.77	1340.84	616.37	1295.13	780.44	466.88	633.73	743.43	1427.22	444.72	651.58	785.88	954.43	698.41	738.29	660.68
CLASRP	1044.52	748.61	764.36	529.06	1175.27	497.0	575.03	780.44	579.04	607.87	518.15	1023.0	988.12	1427.22	1397.83	1628.26	941.27	2133.97	1594.73	1397.83	2835.7	2976.74	1498.22	1467.37	1551.09	2303.12	1286.18	2997.45	1745.2	2739.08	2520.38	2240.11	2997.45	1427.22	2915.45	2835.7	1225.22	1561.89	1909.85	1819.35	1073.91	1745.2	915.51	1467.37	2178.83	2816.11	1487.87	3103.19	2090.03	1806.78	1233.75	2163.77	1167.14	2758.13	2384.37	1313.23	1709.26	981.29	395.18	473.41	638.15	483.38	708.18	500.46	723.08	647.07	348.71	414.87	571.05	583.07	327.56	1447.15	1073.91	974.5	490.14	486.75	409.15	417.77	457.25	902.89	414.87	1286.18	1111.82	1059.11	1051.79	728.11	529.06	1250.98	928.3	1350.18	928.3	819.3	713.11	1051.79	1583.71	571.05	693.58	1378.57	1030.12	1081.39	1268.46	603.67
CLK2	551.56	447.82	463.65	339.14	775.05	470.14	316.37	775.05	447.82	242.88	371.22	902.89	1008.9	1051.79	1151.06	1233.75	642.59	1088.92	1191.69	995.0	1096.5	1199.98	1216.75	1135.2	1286.18	1806.78	1127.35	1561.89	1277.29	961.07	1216.75	1233.75	2193.99	1151.06	1225.22	1457.23	954.43	1685.71	890.44	1350.18	813.63	1135.2	775.05	915.51	493.56	995.0	1159.07	1844.76	1340.84	1437.15	854.13	1313.23	947.83	974.5	1487.87	848.22	1322.37	669.92	395.18	490.14	457.25	229.72	503.95	403.5	647.07	441.64	463.65	429.54	473.41	316.37	426.57	1143.1	563.18	902.89	532.74	583.07	336.79	429.54	521.76	743.43	525.39	1191.69	995.0	902.89	1008.9	733.19	525.39	1427.22	759.08	1467.37	808.0	708.18	660.68	988.12	1051.79	624.99	718.08	1350.18	1073.91	902.89	1199.98	698.41
CLK3	1191.69	967.76	1191.69	902.89	1001.93	854.13	947.83	1259.69	1143.1	842.36	1001.93	1286.18	1359.57	1151.06	1073.91	1216.75	1135.2	1437.15	1331.57	1331.57	1685.71	1870.53	1359.57	1295.13	1208.34	1583.71	1111.82	1794.29	1487.87	1594.73	1529.73	1674.06	1936.53	1437.15	1923.14	1781.89	1135.2	1388.16	1697.45	1407.55	1250.98	1397.83	1304.15	1369.04	1540.37	1721.16	1397.83	1977.24	1651.0	1519.15	1259.69	1417.35	1044.52	1794.29	1896.65	1407.55	1340.84	1295.13	995.0	928.3	1457.23	1135.2	1051.79	902.89	1030.12	1059.11	1023.0	1216.75	780.44	995.0	961.07	1437.15	1369.04	1457.23	941.27	954.43	1015.93	1044.52	921.88	1088.92	981.29	1331.57	1529.73	1651.0	1191.69	1044.52	813.63	1216.75	1127.35	1721.16	1015.93	1331.57	915.51	1259.69	1709.26	764.36	1051.79	1437.15	1250.98	1447.15	1617.0	1159.07
CRTC2	620.67	713.11	684.02	412.0	679.29	476.71	551.56	713.11	708.18	379.04	486.75	775.05	775.05	1081.39	1073.91	981.29	698.41	954.43	802.41	775.05	1369.04	1199.98	830.75	808.0	718.08	1119.56	713.11	1457.23	902.89	1151.06	1008.9	1081.39	1594.73	780.44	1268.46	1369.04	842.36	1119.56	890.44	872.1	536.45	854.13	878.17	813.63	1119.56	1135.2	796.86	1417.35	1104.13	1135.2	718.08	947.83	733.19	1313.23	1191.69	718.08	842.36	603.67	567.1	579.04	543.96	620.67	555.41	470.14	616.37	612.11	426.57	521.76	547.75	460.44	420.68	1073.91	753.83	854.13	532.74	551.56	511.0	633.73	486.75	813.63	674.59	836.53	825.0	878.17	693.58	583.07	543.96	854.13	813.63	1073.91	743.43	693.58	587.13	819.3	1225.22	525.39	599.49	909.17	743.43	896.64	947.83	629.35
CSAD	194.36	159.9	269.6	149.12	351.14	199.85	132.44	231.32	183.82	147.06	176.29	497.0	708.18	733.19	723.08	1709.26	638.15	1745.2	2451.44	796.86	2720.15	3018.3	1313.23	1870.53	1313.23	2004.85	961.07	2816.11	1628.26	2104.58	2468.49	2163.77	3081.75	1359.57	2627.46	3303.0	796.86	2384.37	1769.57	1950.0	511.0	1519.15	995.0	728.11	2119.22	2434.5	1304.15	2895.31	2133.97	1977.24	718.08	1709.26	902.89	2664.15	2178.83	1167.14	1127.35	273.37	185.11	176.29	138.1	255.0	224.97	152.28	346.29	246.28	173.85	228.13	117.6	120.94	166.73	1295.13	514.56	796.86	90.77	212.78	31.0	198.47	500.46	579.04	152.28	780.44	389.72	299.25	457.25	224.97	167.9	555.41	555.41	890.44	220.32	267.73	366.09	444.72	866.07	229.72	325.29	567.1	392.44	351.14	579.04	119.26
CUL9	470.14	470.14	551.56	447.82	591.22	366.09	420.68	529.06	559.28	339.14	447.82	476.71	483.38	988.12	665.29	780.44	591.22	872.1	733.19	633.73	1250.98	1175.27	743.43	563.18	723.08	961.07	607.87	1167.14	684.02	1183.45	934.76	878.17	1167.14	723.08	1331.57	2061.24	571.05	1044.52	921.88	638.15	525.39	825.0	366.09	473.41	1151.06	1350.18	733.19	1477.58	1104.13	775.05	521.76	836.53	571.05	1437.15	1088.92	470.14	718.08	483.38	429.54	325.29	420.68	400.71	511.0	366.09	543.96	409.15	353.59	400.71	295.11	297.17	249.73	575.03	457.25	532.74	293.07	303.44	155.5	194.36	201.25	409.15	423.61	575.03	525.39	587.13	444.72	356.05	204.07	665.29	429.54	674.59	503.95	327.56	368.65	567.1	941.27	291.04	363.56	713.11	486.75	476.71	525.39	249.73
CXXC1	764.36	536.45	813.63	642.59	981.29	785.88	748.61	884.29	759.08	460.44	791.35	1191.69	1096.5	1605.83	961.07	1417.35	1135.2	1397.83	1617.0	1183.45	2627.46	2384.37	1794.29	1051.79	1277.29	2367.9	1259.69	2609.3	1923.14	2240.11	1697.45	1950.0	2976.74	1225.22	2417.67	2935.74	1508.65	1896.65	1417.35	1457.23	974.5	1662.49	1143.1	1304.15	1561.89	2032.85	1651.0	3039.3	2255.7	1794.29	1066.48	1832.01	1378.57	2303.12	2319.15	1143.1	1923.14	1044.52	595.34	698.41	728.11	493.56	830.75	708.18	921.88	947.83	575.03	718.08	579.04	642.59	511.0	1111.82	825.0	967.76	674.59	607.87	454.09	532.74	540.19	796.86	808.0	1369.04	1259.69	1331.57	995.0	988.12	819.3	1322.37	928.3	1457.23	1051.79	981.29	878.17	1096.5	1896.65	1008.9	967.76	1794.29	1159.07	1175.27	1498.22	819.3
DENND4B	473.41	279.14	202.66	358.54	555.41	275.28	353.59	303.44	297.17	244.57	239.52	414.87	493.56	660.68	723.08	1119.56	473.41	819.3	872.1	769.69	1199.98	1216.75	915.51	825.0	698.41	1119.56	842.36	1407.55	872.1	1561.89	1313.23	1397.83	1639.59	1030.12	1340.84	1313.23	708.18	1233.75	860.08	909.17	490.14	1127.35	432.53	1015.93	1088.92	1617.0	785.88	1529.73	961.07	1037.29	651.58	941.27	802.41	1427.22	1008.9	633.73	688.78	353.59	329.84	249.73	283.05	180.02	226.54	258.57	389.72	253.23	163.28	177.53	231.32	193.01	191.67	723.08	303.44	392.44	567.1	409.15	239.52	255.0	363.56	647.07	220.32	669.92	343.89	381.68	346.29	325.29	267.73	447.82	285.03	414.87	476.71	246.28	275.28	521.76	567.1	264.03	332.14	728.11	454.09	412.0	376.41	316.37
DGCR8	255.0	397.93	356.05	343.89	339.14	295.11	256.78	303.44	262.2	244.57	258.57	406.31	450.94	493.56	444.72	547.75	441.64	591.22	759.08	518.15	688.78	708.18	703.28	559.28	647.07	872.1	563.18	780.44	723.08	791.35	620.67	665.29	909.17	532.74	651.58	902.89	575.03	791.35	473.41	679.29	454.09	743.43	450.94	579.04	483.38	842.36	620.67	928.3	591.22	718.08	536.45	518.15	507.46	571.05	587.13	466.88	629.35	334.46	329.84	299.25	228.13	89.51	303.44	293.07	320.8	189.02	224.97	260.38	303.44	255.0	237.86	511.0	395.18	363.56	202.66	256.78	175.07	224.97	299.25	414.87	255.0	514.56	417.77	371.22	432.53	444.72	334.46	480.04	432.53	665.29	381.68	351.14	395.18	460.44	384.34	323.03	395.18	620.67	441.64	483.38	521.76	320.8
