	GTEX.ZZPT.1426.SM.5N9C5	TCGA.BP.4988.01A.01R.1334.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.69.8254.01A.11R.2287.07	TCGA.44.3919.01A.02R.1107.07	TCGA.91.A4BC.01A.11R.A24H.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.69.7978.01A.11R.2187.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.55.8621.01A.11R.2403.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.MP.A4T4.01A.11R.A262.07	TCGA.L9.A743.01A.43R.A39D.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.63.A5MN.01A.22R.A27Q.07	TCGA.22.4596.01A.01R.1201.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.37.A5EM.01A.21R.A27Q.07	TCGA.85.8048.01A.11R.2247.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.98.A53C.01A.11R.A262.07
RBM5	6079.61	5791.62	848.22	223.41	287.01	571.05	438.59	624.99	397.93	579.04	543.96	356.05	748.61	417.77	808.0	454.09	679.29	629.35	603.67	629.35	629.35	563.18	521.76	429.54	490.14	665.29	447.82	688.78	400.71	728.11	507.46	563.18	733.19	480.04	356.05	4239.45	3395.89	1674.06	1923.14	2451.44	2796.65	1.22	1477.58	2520.38	2224.63	2997.45	2573.36	2133.97	2816.11	2287.2	1540.37	3419.52	1359.57	1733.13	2720.15	1583.71	3589.58
RNF44	1477.58	1721.16	438.59	81.71	43.32	142.01	108.9	320.8	129.69	187.71	80.57	70.51	153.34	151.22	329.84	173.85	198.47	109.66	206.94	258.57	127.89	206.94	132.44	134.3	123.5	242.88	140.04	234.57	73.54	116.78	142.01	223.41	251.48	147.06	237.86	1277.29	1605.83	878.17	791.35	1151.06	954.43	0.61	1030.12	848.22	713.11	967.76	802.41	780.44	988.12	896.64	819.3	651.58	1143.1	1832.01	866.07	713.11	995.0
RP11-574K11.31	55.1	63.0	16.75	5.59	5.11	14.89	12.55	7.28	8.99	17.13	6.78	9.13	8.06	10.31	6.67	14.24	18.84	7.75	7.46	14.78	8.78	10.16	10.55	7.17	10.16	15.8	6.11	4.82	18.29	10.79	2.61	14.89	18.16	8.19	6.16	53.95	40.93	24.81	15.34	54.72	44.25	0.58	23.59	31.67	19.39	40.64	38.67	37.32	46.5	31.45	22.43	41.52	41.52	22.26	40.93	15.56	54.33
RP11-5A19.5	493.56	381.68	19.82	0.67	0.69	29.48	8.99	19.97	17.38	3.92	2.86	4.5	30.34	13.12	21.32	5.54	26.47	9.78	25.17	27.05	15.91	16.39	35.5	2.39	16.88	23.59	19.68	23.59	9.85	18.43	7.46	21.32	21.47	32.82	18.97	134.3	99.43	87.65	16.27	130.6	381.68	1.19	31.67	135.24	61.25	148.09	61.25	63.45	87.03	118.43	60.39	141.02	43.63	44.25	94.67	49.56	71.0
SEC31B	753.83	599.49	71.0	13.83	8.78	25.91	24.99	53.95	33.54	37.85	23.76	18.7	59.97	37.59	64.34	45.85	60.39	23.93	69.52	37.32	69.03	46.84	43.32	16.75	33.78	43.94	39.79	78.89	32.13	39.22	31.9	67.59	59.13	37.05	53.95	417.77	309.83	85.22	101.54	540.19	301.33	1.28	101.54	277.2	187.71	256.78	156.59	185.11	339.14	193.01	100.83	351.14	49.21	173.85	218.79	93.35	368.65
SFI1	1806.78	2075.59	163.28	27.64	21.78	97.36	69.03	99.43	34.51	123.5	31.22	35.0	90.77	57.49	113.56	65.72	120.94	43.63	147.06	117.6	90.14	62.56	65.72	66.65	97.36	82.29	68.55	84.04	36.01	104.42	51.35	88.88	157.68	31.22	59.55	947.83	947.83	392.44	373.81	961.07	878.17	0.84	392.44	1378.57	575.03	1135.2	974.5	698.41	1135.2	466.88	376.41	708.18	387.02	497.0	909.17	323.03	947.83
STAMBPL1	212.78	651.58	64.8	20.11	45.85	50.63	30.12	67.12	34.02	25.17	73.54	10.96	49.56	12.36	19.25	37.59	33.3	6.11	17.13	13.22	19.11	18.84	27.05	13.72	41.52	17.9	19.25	4.39	75.11	28.45	6.01	34.51	25.35	47.84	16.39	215.77	309.83	221.86	116.78	228.13	412.0	0.27	205.5	181.28	114.36	260.38	162.14	161.02	209.84	211.31	153.34	97.36	96.68	231.32	185.11	115.97	199.85
SUGP2	2032.85	1651.0	334.46	173.85	152.28	215.77	206.94	301.33	172.65	314.17	162.14	171.45	307.69	202.66	249.73	171.45	358.54	264.03	346.29	209.84	312.0	262.2	253.23	183.82	381.68	244.57	211.31	384.34	253.23	262.2	182.55	295.11	403.5	260.38	183.82	1322.37	1023.0	551.56	748.61	1498.22	1030.12	1.25	785.88	1572.76	884.29	1104.13	866.07	854.13	1572.76	660.68	753.83	1397.83	1175.27	896.64	1277.29	503.95	1277.29
TAZ	2915.45	1733.13	307.69	163.28	194.36	289.02	215.77	256.78	202.66	237.86	155.5	141.02	295.11	253.23	248.0	162.14	351.14	236.21	339.14	242.88	211.31	281.09	236.21	159.9	260.38	293.07	190.34	273.37	211.31	312.0	166.73	242.88	371.22	265.87	251.48	1216.75	1304.15	483.38	679.29	1225.22	1359.57	0.97	629.35	1437.15	872.1	928.3	878.17	775.05	1242.34	718.08	536.45	878.17	733.19	669.92	1081.39	503.95	1081.39
TBRG1	1127.35	1135.2	346.29	226.54	285.03	381.68	303.44	363.56	406.31	229.72	329.84	332.14	371.22	279.14	325.29	242.88	316.37	387.02	329.84	255.0	283.05	329.84	297.17	387.02	466.88	303.44	234.57	329.84	309.83	346.29	267.73	373.81	371.22	309.83	299.25	974.5	764.36	698.41	543.96	878.17	1008.9	118.43	563.18	796.86	651.58	674.59	647.07	718.08	830.75	629.35	679.29	836.53	420.68	483.38	698.41	460.44	934.76
TRADD	884.29	967.76	392.44	228.13	239.52	251.48	275.28	348.71	215.77	275.28	60.39	128.79	384.34	307.69	265.87	253.23	358.54	108.9	249.73	332.14	209.84	291.04	155.5	199.85	183.82	234.57	295.11	307.69	239.52	242.88	194.36	346.29	287.01	253.23	368.65	684.02	713.11	708.18	463.65	497.0	1769.57	0.74	769.69	1111.82	624.99	878.17	738.29	819.3	872.1	733.19	660.68	551.56	318.57	536.45	791.35	450.94	660.68
TTLL3	2400.97	2777.33	215.77	43.63	26.86	101.54	50.27	85.22	33.3	94.67	45.85	21.78	104.42	52.08	121.79	59.55	115.16	66.18	94.01	158.79	100.83	75.11	84.04	44.89	95.34	51.35	78.34	96.01	69.52	99.43	39.5	87.03	92.7	71.0	55.49	1832.01	995.0	480.04	563.18	808.0	1096.5	1.08	366.09	1268.46	759.08	878.17	679.29	642.59	1259.69	703.28	532.74	1277.29	264.03	381.68	1001.93	305.55	1081.39
TUBGCP6	1467.37	1991.0	301.33	80.57	90.14	248.0	169.07	267.73	191.67	236.21	125.24	133.36	293.07	198.47	215.77	194.36	214.27	242.88	226.54	164.42	217.27	220.32	264.03	164.42	220.32	211.31	151.22	297.17	253.23	236.21	141.02	277.2	249.73	204.07	157.68	1359.57	866.07	607.87	336.79	860.08	1051.79	1.22	429.54	1233.75	733.19	896.64	651.58	775.05	1096.5	536.45	414.87	928.3	476.71	599.49	934.76	400.71	1104.13
UBLCP1	463.65	327.56	211.31	356.05	265.87	318.57	265.87	283.05	273.37	236.21	343.89	303.44	285.03	212.78	155.5	173.85	323.03	260.38	144.01	157.68	265.87	151.22	224.97	281.09	246.28	151.22	162.14	173.85	273.37	169.07	93.35	253.23	217.27	191.67	152.28	551.56	674.59	698.41	679.29	400.71	414.87	157.68	551.56	420.68	529.06	514.56	423.61	536.45	435.55	693.58	802.41	493.56	679.29	629.35	575.03	493.56	583.07
ULK1	1135.2	967.76	395.18	185.11	253.23	595.34	325.29	429.54	186.4	587.13	206.94	301.33	406.31	363.56	353.59	269.6	435.55	450.94	616.37	371.22	316.37	555.41	251.48	351.14	348.71	389.72	318.57	497.0	204.07	647.07	432.53	547.75	665.29	665.29	397.93	902.89	1340.84	447.82	555.41	909.17	802.41	0.56	915.51	769.69	567.1	921.88	638.15	684.02	1277.29	813.63	423.61	583.07	660.68	915.51	738.29	684.02	669.92
ULK3	2032.85	1437.15	457.25	293.07	260.38	316.37	256.78	373.81	289.02	414.87	144.01	209.84	329.84	356.05	316.37	234.57	265.87	567.1	457.25	267.73	275.28	493.56	320.8	381.68	242.88	327.56	237.86	551.56	353.59	307.69	128.79	395.18	466.88	353.59	346.29	1001.93	796.86	1096.5	579.04	708.18	1001.93	0.68	591.22	1051.79	723.08	872.1	802.41	728.11	1066.48	669.92	713.11	890.44	848.22	842.36	967.76	642.59	954.43
XPO6	1340.84	1832.01	909.17	633.73	624.99	1104.13	579.04	954.43	713.11	660.68	435.55	633.73	928.3	854.13	457.25	571.05	934.76	1508.65	708.18	579.04	759.08	769.69	813.63	1044.52	872.1	476.71	647.07	854.13	1015.93	769.69	529.06	1111.82	769.69	819.3	733.19	2075.59	2367.9	1508.65	1950.0	3124.78	2061.24	1008.9	2520.38	2417.67	1721.16	2090.03	2701.35	2255.7	2163.77	2739.08	2104.58	2468.49	3190.46	2209.26	2609.3	1769.57	2209.26
ZNF215	36.01	34.75	6.06	6.57	2.46	38.4	2.63	8.71	4.62	1.79	2.73	12.74	5.23	1.69	5.59	1.01	9.7	3.69	0.0	0.0	1.17	12.74	14.24	8.92	1.2	0.0	2.81	10.96	2.61	5.73	6.21	1.23	5.15	28.65	0.42	13.22	63.89	16.75	32.13	62.56	45.85	0.37	44.25	25.35	38.95	35.25	41.22	47.17	117.6	55.1	16.15	17.25	38.95	26.28	22.26	29.91	68.55
ZNF276	1572.76	1407.55	289.02	68.55	60.82	185.11	116.78	156.59	181.28	151.22	76.17	116.78	223.41	149.12	199.85	105.15	218.79	193.01	205.5	121.79	154.42	153.34	148.09	123.5	186.4	190.34	111.99	226.54	144.01	167.9	137.14	173.85	197.09	152.28	113.56	1051.79	796.86	532.74	289.02	854.13	878.17	1.0	376.41	1119.56	563.18	842.36	848.22	693.58	1051.79	591.22	493.56	791.35	486.75	529.06	703.28	392.44	921.88
ZNF746	255.0	297.17	110.43	66.18	61.25	193.01	80.01	129.69	159.9	108.14	58.71	92.7	156.59	73.03	93.35	139.07	139.07	180.02	190.34	96.68	118.43	85.82	68.07	253.23	57.49	92.05	113.56	106.63	120.1	69.52	29.27	149.12	102.97	86.43	193.01	291.04	269.6	215.77	239.52	341.51	248.0	0.58	356.05	397.93	251.48	251.48	320.8	309.83	191.67	212.78	339.14	287.01	237.86	214.27	325.29	244.57	251.48
ZNF783	420.68	358.54	84.63	8.58	2.03	55.1	12.0	49.21	14.78	31.0	9.63	29.48	83.45	18.43	46.5	13.32	27.05	66.65	21.16	54.72	33.78	36.79	34.75	22.26	22.43	58.3	30.56	29.48	23.42	22.75	9.56	28.65	42.11	59.13	15.91	314.17	279.14	71.0	208.38	480.04	255.0	309.83	273.37	403.5	195.72	343.89	316.37	234.57	323.03	100.13	255.0	279.14	387.02	167.9	264.03	195.72	295.11
