	TCGA.VS.A9V4.01A.12R.A42T.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.S95S.0326.SM.4B66U	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.6456.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.S7SF.0626.SM.4AD4V
SNX21	209.84	1088.92	813.63	642.59	503.95	540.19	0.0	612.11	209.84	189.02	392.44	277.2	473.41	791.35	348.71	275.28	909.17	480.04	343.89	974.5	518.15	318.57	1066.48	361.04	239.52	249.73	334.46	854.13
SOX10	0.58	343.89	733.19	279.14	232.94	371.22	0.0	41.52	22.59	1.16	29.27	48.18	3.63	297.17	4.24	3.14	583.07	67.12	50.27	384.34	182.55	16.75	486.75	56.28	3.96	25.91	75.64	220.32
SPIRE1	82.87	323.03	397.93	323.03	579.04	318.57	0.0	312.0	74.58	351.14	220.32	116.78	226.54	409.15	329.84	356.05	395.18	129.69	58.71	271.48	156.59	135.24	368.65	91.41	108.14	63.89	135.24	497.0
ST5	825.0	2573.36	3235.01	3039.3	3690.52	1709.26	0.0	1250.98	1268.46	1378.57	1605.83	1709.26	941.27	2935.74	2240.11	1023.0	3146.52	2047.0	1487.87	3060.45	2384.37	2133.97	3349.13	1936.53	1561.89	595.34	1529.73	3742.05
STON1	15.45	2682.69	3146.52	1359.57	961.07	961.07	0.0	223.41	33.3	36.01	450.94	244.57	49.56	1781.89	651.58	77.25	1936.53	241.19	35.0	860.08	295.11	58.71	2537.92	49.56	33.06	34.26	33.3	1674.06
STON1-GTF2A1L	1.55	728.11	1143.1	195.72	368.65	169.07	0.0	71.5	4.31	6.06	53.95	12.74	3.03	35.76	135.24	0.0	193.01	8.25	2.39	466.88	42.71	2.14	187.71	4.98	0.0	0.0	0.0	201.25
STRN3	186.4	599.49	764.36	417.77	620.67	514.56	429.54	281.09	220.32	339.14	406.31	285.03	138.1	595.34	457.25	339.14	656.11	297.17	162.14	409.15	255.0	231.32	796.86	164.42	181.28	218.79	154.42	616.37
SUN1	1359.57	3589.58	3589.58	2976.74	4010.71	2240.11	1359.57	2855.44	1561.89	1295.13	2090.03	1407.55	1104.13	3190.46	2209.26	3639.7	3395.89	1883.54	995.0	3372.43	2075.59	1397.83	2255.7	1044.52	1159.07	1359.57	1104.13	1923.14
TEAD3	583.07	5672.41	7589.61	1819.35	1896.65	2555.58	208.38	813.63	264.03	376.41	529.06	595.34	633.73	2193.99	967.76	493.56	2485.67	854.13	381.68	1870.53	878.17	314.17	3146.52	283.05	277.2	120.1	209.84	2075.59
TECPR2	61.25	733.19	954.43	379.04	473.41	426.57	132.44	295.11	275.28	146.03	242.88	108.14	139.07	607.87	325.29	195.72	575.03	176.29	194.36	368.65	320.8	205.5	435.55	158.79	127.89	35.25	165.57	529.06
TES	1909.85	3716.2	4736.79	4450.27	3467.27	4419.52	733.19	1697.45	1407.55	1135.2	1519.15	1617.0	698.41	2104.58	1159.07	1001.93	3124.78	1508.65	1044.52	1519.15	1757.34	1437.15	3349.13	902.89	1407.55	1295.13	595.34	3794.3
TGFB1I1	231.32	20451.65	42346.82	6426.31	4704.07	4903.87	0.0	1936.53	435.55	303.44	2468.49	1397.83	629.35	8538.88	2451.44	647.07	11664.82	2502.97	473.41	7537.18	2855.44	406.31	13033.07	934.76	486.75	447.82	728.11	7589.61
TMEM240	2.61	500.46	1073.91	234.57	215.77	147.06	0.0	36.79	8.99	2.01	52.82	21.78	12.74	198.47	47.17	20.56	269.6	38.67	14.14	185.11	65.26	9.85	392.44	27.64	5.73	18.84	4.94	265.87
TMEM8B	244.57	723.08	1135.2	961.07	890.44	738.29	0.0	262.2	231.32	162.14	214.27	253.23	316.37	470.14	289.02	162.14	854.13	297.17	325.29	909.17	555.41	281.09	884.29	341.51	255.0	193.01	373.81	723.08
TMTC1	10.96	1037.29	463.65	583.07	836.53	529.06	0.0	154.42	48.87	44.89	309.83	151.22	62.12	819.3	384.34	89.51	995.0	166.73	38.95	514.56	185.11	87.03	1037.29	55.49	49.91	50.27	59.55	819.3
TNRC6C	23.08	373.81	287.01	221.86	279.14	187.71	0.0	215.77	103.69	111.21	157.68	130.6	115.16	403.5	191.67	212.78	291.04	80.01	100.83	183.82	133.36	112.77	307.69	75.11	41.22	28.04	71.0	206.94
TNS1	113.56	25179.16	29124.6	7180.15	12502.12	7803.01	0.0	2434.5	507.46	381.68	3212.66	1963.57	796.86	11267.44	1909.85	819.3	14867.79	1685.71	511.0	6887.62	3395.89	525.39	11112.3	438.59	273.37	231.32	567.1	9474.59
TUBA1A	312.0	24660.96	122293.5	10659.59	7485.11	11827.67	0.0	5006.93	1008.9	909.17	4769.75	3039.3	1594.73	16496.96	3928.15	3146.52	16727.26	3419.52	1111.82	11035.54	4450.27	1286.18	20737.16	2119.22	1225.22	3212.66	1457.23	12502.12
TULP3	170.25	708.18	624.99	669.92	638.15	470.14	320.8	532.74	236.21	420.68	529.06	351.14	336.79	813.63	470.14	647.07	974.5	351.14	129.69	825.0	320.8	251.48	974.5	208.38	226.54	164.42	201.25	669.92
TWSG1	90.77	1923.14	2271.4	981.29	1350.18	738.29	0.0	738.29	236.21	633.73	915.51	466.88	612.11	1081.39	934.76	718.08	1175.27	435.55	132.44	674.59	417.77	414.87	1242.34	297.17	392.44	403.5	169.07	884.29
UNC45A	775.05	2400.97	2855.44	2090.03	2075.59	1769.57	0.0	1104.13	830.75	1191.69	961.07	802.41	988.12	1498.22	884.29	1242.34	1709.26	1001.93	743.43	1674.06	1295.13	890.44	1628.26	764.36	688.78	571.05	679.29	1857.6
VPS13D	177.53	967.76	1023.0	738.29	915.51	1104.13	144.01	346.29	447.82	381.68	470.14	486.75	320.8	802.41	483.38	620.67	825.0	371.22	397.93	583.07	500.46	490.14	808.0	395.18	214.27	150.17	332.14	616.37
WASF3	17.25	205.5	163.28	239.52	305.55	244.57	17.13	260.38	68.07	68.07	127.89	53.19	31.22	251.48	166.73	217.27	353.59	120.1	47.84	260.38	118.43	117.6	312.0	66.18	83.45	80.57	64.8	209.84
WDR47	55.89	295.11	305.55	176.29	244.57	189.02	0.0	189.02	87.65	132.44	149.12	138.1	70.01	197.09	152.28	142.01	244.57	115.97	51.35	251.48	98.73	132.44	234.57	83.45	90.14	75.11	76.17	295.11
WFS1	387.02	3794.3	5219.6	1844.76	2163.77	1143.1	187.71	624.99	1023.0	483.38	642.59	426.57	769.69	1540.37	688.78	974.5	2061.24	941.27	624.99	2502.97	1104.13	743.43	2004.85	599.49	521.76	183.82	525.39	1733.13
WNT9A	3.53	460.44	656.11	500.46	96.01	291.04	0.0	108.9	9.41	4.86	51.35	80.01	24.28	329.84	76.71	100.83	193.01	50.63	20.86	242.88	100.83	18.97	309.83	15.11	6.26	7.4	10.79	267.73
ZCCHC24	71.0	4010.71	4736.79	995.0	995.0	1991.0	0.0	629.35	236.21	163.28	796.86	521.76	285.03	1745.2	669.92	343.89	1551.09	463.65	156.59	1199.98	769.69	312.0	1883.54	214.27	189.02	172.65	231.32	1199.98
ZFPM2	4.54	384.34	323.03	182.55	287.01	138.1	0.0	75.11	13.12	14.56	81.71	43.32	9.78	303.44	94.67	35.5	444.72	65.26	19.82	234.57	72.52	31.67	435.55	16.63	14.24	28.86	24.63	242.88
ZFYVE9	103.69	323.03	358.54	343.89	651.58	269.6	0.0	167.9	129.69	176.29	229.72	132.44	149.12	253.23	202.66	215.77	275.28	202.66	115.97	246.28	221.86	239.52	256.78	167.9	111.99	81.71	115.16	381.68
ZHX3	125.24	2178.83	1277.29	1023.0	1721.16	860.08	0.0	348.71	209.84	170.25	587.13	215.77	248.0	1175.27	866.07	194.36	1059.11	202.66	271.48	780.44	339.14	166.73	665.29	150.17	129.69	125.24	183.82	902.89
ZNF106	175.07	1769.57	2520.38	934.76	2335.28	1369.04	0.0	291.04	336.79	305.55	480.04	400.71	221.86	860.08	567.1	575.03	665.29	253.23	255.0	540.19	457.25	356.05	603.67	273.37	220.32	84.63	291.04	511.0
ZRANB1	164.42	457.25	559.28	525.39	595.34	435.55	0.0	339.14	214.27	281.09	361.04	239.52	145.02	518.15	373.81	273.37	551.56	226.54	132.44	339.14	217.27	289.02	629.35	191.67	125.24	148.09	199.85	497.0
