	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
CDC27	571.05	1605.83	995.0	825.0	373.81	234.57	842.36	532.74	305.55	353.59	211.31	591.22	303.44	376.41	616.37	567.1	599.49	187.71	341.51	514.56	1259.69	361.04	454.09	258.57	497.0	429.54	293.07	579.04	674.59	669.92	420.68	507.46	249.73	264.03	587.13	507.46	603.67	332.14	417.77	612.11	239.52	397.93	426.57	387.02	327.56	289.02	460.44	638.15	314.17	251.48	603.67	353.59	412.0	339.14	460.44	525.39	327.56	283.05	351.14	738.29	356.05	872.1	185.11	197.09	167.9	277.2	297.17	234.57	217.27	215.77	178.77	264.03	299.25	246.28	244.57	287.01	307.69	198.47	305.55	142.01	277.2	128.79	303.44	271.48	265.87	234.57	234.57	381.68	265.87	202.66	348.71	256.78	277.2	236.21	159.9	320.8	366.09	764.36	1015.93
CDK12	521.76	825.0	854.13	587.13	343.89	237.86	599.49	460.44	291.04	353.59	173.85	400.71	323.03	483.38	366.09	503.95	351.14	165.57	242.88	353.59	679.29	395.18	493.56	327.56	457.25	693.58	258.57	368.65	529.06	684.02	223.41	358.54	211.31	199.85	395.18	361.04	624.99	287.01	336.79	547.75	90.77	226.54	429.54	231.32	206.94	299.25	543.96	480.04	432.53	86.43	500.46	297.17	343.89	209.84	389.72	432.53	156.59	277.2	417.77	728.11	297.17	743.43	151.22	161.02	105.15	241.19	151.22	170.25	93.35	221.86	165.57	248.0	406.31	285.03	226.54	327.56	237.86	329.84	379.04	220.32	191.67	211.31	476.71	291.04	241.19	285.03	336.79	246.28	353.59	228.13	343.89	204.07	246.28	297.17	54.72	136.19	236.21	575.03	718.08
CHUK	384.34	444.72	500.46	363.56	287.01	178.77	361.04	248.0	281.09	201.25	127.89	281.09	186.4	212.78	244.57	409.15	341.51	134.3	173.85	262.2	368.65	211.31	295.11	161.02	356.05	199.85	102.25	473.41	493.56	417.77	125.24	226.54	264.03	193.01	361.04	241.19	395.18	195.72	253.23	450.94	137.14	242.88	417.77	224.97	128.79	228.13	441.64	287.01	420.68	162.14	351.14	283.05	255.0	353.59	256.78	327.56	101.54	100.83	356.05	392.44	299.25	389.72	159.9	166.73	137.14	215.77	162.14	181.28	135.24	143.01	140.04	102.97	149.12	154.42	171.45	234.57	197.09	209.84	253.23	215.77	148.09	116.78	151.22	159.9	194.36	125.24	131.51	167.9	187.71	127.0	170.25	144.01	154.42	145.02	170.25	205.5	221.86	497.0	595.34
CNOT2	1159.07	1127.35	1051.79	1066.48	547.75	432.53	1151.06	651.58	518.15	503.95	314.17	599.49	638.15	339.14	423.61	974.5	647.07	295.11	595.34	536.45	974.5	551.56	575.03	591.22	995.0	651.58	460.44	603.67	612.11	988.12	414.87	563.18	432.53	329.84	651.58	536.45	947.83	591.22	759.08	796.86	299.25	559.28	665.29	559.28	371.22	332.14	511.0	665.29	656.11	281.09	567.1	575.03	480.04	457.25	607.87	1044.52	346.29	412.0	802.41	866.07	647.07	620.67	307.69	318.57	260.38	371.22	368.65	366.09	536.45	387.02	187.71	928.3	397.93	371.22	555.41	743.43	497.0	299.25	432.53	279.14	239.52	353.59	703.28	255.0	412.0	603.67	480.04	412.0	497.0	435.55	486.75	547.75	665.29	555.41	164.42	323.03	395.18	1051.79	1037.29
CNOT6	341.51	603.67	423.61	503.95	66.65	48.87	414.87	161.02	96.01	120.94	47.84	175.07	148.09	75.11	153.34	139.07	157.68	31.9	170.25	71.5	223.41	115.16	141.02	48.52	143.01	187.71	69.03	122.64	148.09	234.57	76.71	144.01	100.13	112.77	126.12	229.72	224.97	102.25	91.41	237.86	34.75	121.79	125.24	102.97	56.28	48.18	116.78	130.6	125.24	78.34	111.99	108.9	155.5	170.25	117.6	251.48	59.13	63.0	141.02	167.9	108.9	118.43	53.57	35.5	25.17	54.72	57.08	50.27	29.7	42.71	26.47	151.22	36.27	45.21	77.79	63.89	97.36	20.56	82.29	61.25	30.12	37.05	81.71	38.67	67.12	55.1	85.82	36.79	63.89	65.26	66.18	95.34	46.84	69.03	9.48	37.32	88.88	348.71	381.68
COG2	651.58	733.19	785.88	447.82	180.02	164.42	483.38	417.77	271.48	441.64	420.68	480.04	295.11	417.77	351.14	688.78	223.41	267.73	358.54	312.0	703.28	320.8	297.17	379.04	551.56	269.6	239.52	444.72	417.77	543.96	400.71	336.79	400.71	361.04	346.29	450.94	412.0	373.81	780.44	366.09	138.1	329.84	293.07	275.28	228.13	155.5	420.68	660.68	718.08	242.88	224.97	264.03	447.82	547.75	381.68	392.44	262.2	241.19	406.31	540.19	353.59	457.25	140.04	97.36	150.17	163.28	156.59	136.19	53.95	120.94	120.94	255.0	423.61	149.12	327.56	166.73	93.35	110.43	123.5	125.24	114.36	201.25	152.28	144.01	150.17	167.9	122.64	96.68	132.44	88.88	144.01	146.03	226.54	320.8	37.59	72.01	124.37	429.54	796.86
CPSF6	1561.89	1519.15	1233.75	1066.48	358.54	242.88	813.63	629.35	493.56	579.04	406.31	629.35	470.14	438.59	688.78	764.36	693.58	189.02	607.87	470.14	693.58	493.56	476.71	447.82	1167.14	647.07	348.71	633.73	669.92	1008.9	353.59	507.46	536.45	444.72	612.11	723.08	866.07	669.92	571.05	848.22	384.34	555.41	830.75	480.04	503.95	285.03	708.18	669.92	514.56	312.0	473.41	743.43	423.61	961.07	532.74	612.11	432.53	450.94	813.63	830.75	486.75	764.36	327.56	198.47	232.94	287.01	260.38	265.87	249.73	426.57	234.57	332.14	248.0	327.56	244.57	305.55	273.37	175.07	363.56	198.47	373.81	189.02	295.11	271.48	299.25	255.0	285.03	316.37	248.0	325.29	325.29	316.37	314.17	363.56	150.17	173.85	336.79	1096.5	1037.29
CREB3L2	1151.06	2240.11	785.88	647.07	198.47	124.37	902.89	854.13	253.23	441.64	202.66	307.69	107.38	226.54	234.57	144.01	379.04	72.52	271.48	325.29	490.14	131.51	351.14	139.07	599.49	555.41	122.64	182.55	536.45	412.0	143.01	217.27	209.84	220.32	397.93	371.22	423.61	260.38	256.78	483.38	139.07	403.5	444.72	239.52	195.72	295.11	295.11	376.41	447.82	269.6	688.78	332.14	323.03	258.57	289.02	336.79	186.4	191.67	514.56	791.35	389.72	454.09	167.9	108.9	127.0	220.32	172.65	149.12	177.53	206.94	81.71	500.46	234.57	115.16	144.01	201.25	376.41	88.26	108.9	155.5	187.71	120.1	373.81	85.82	201.25	183.82	91.41	158.79	95.34	155.5	287.01	147.06	108.9	107.38	83.45	198.47	214.27	583.07	688.78
CSNK1G1	139.07	162.14	181.28	118.43	35.25	23.59	244.57	144.01	55.1	40.93	48.87	47.84	43.02	37.32	60.82	95.34	63.0	45.53	70.51	53.19	113.56	59.55	60.39	39.22	54.72	74.58	29.91	23.76	67.59	102.97	52.08	73.54	49.91	40.64	67.12	50.27	111.21	59.97	43.32	92.05	36.53	72.01	69.03	38.67	44.25	25.54	88.26	48.18	82.87	45.53	63.45	68.55	65.26	62.56	45.85	77.79	31.22	38.95	110.43	128.79	44.57	69.52	22.59	19.11	17.38	37.05	25.17	28.04	31.22	41.52	14.45	30.78	14.89	24.63	23.76	53.95	30.12	22.1	33.3	18.97	35.0	30.12	32.13	21.78	33.3	18.43	31.22	39.22	21.16	39.5	83.45	24.28	18.43	23.25	16.39	38.12	37.32	171.45	197.09
CSNK2A1	1561.89	1883.54	3124.78	1397.83	429.54	323.03	1561.89	1096.5	281.09	493.56	343.89	507.46	507.46	423.61	497.0	1191.69	830.75	281.09	543.96	571.05	1037.29	616.37	684.02	521.76	974.5	796.86	447.82	466.88	723.08	1508.65	201.25	753.83	497.0	447.82	723.08	647.07	1127.35	473.41	366.09	1250.98	193.01	536.45	909.17	420.68	397.93	368.65	802.41	476.71	819.3	457.25	703.28	624.99	575.03	703.28	483.38	974.5	397.93	348.71	1674.06	1233.75	703.28	642.59	289.02	299.25	312.0	444.72	318.57	368.65	332.14	271.48	301.33	316.37	264.03	332.14	323.03	460.44	309.83	323.03	583.07	379.04	204.07	289.02	334.46	358.54	275.28	246.28	327.56	507.46	563.18	232.94	511.0	275.28	246.28	314.17	190.34	260.38	473.41	1378.57	1963.57
CWF19L1	616.37	642.59	612.11	521.76	177.53	204.07	420.68	241.19	336.79	260.38	218.79	279.14	358.54	204.07	187.71	708.18	316.37	165.57	204.07	145.02	361.04	258.57	316.37	214.27	500.46	229.72	172.65	353.59	323.03	329.84	217.27	309.83	291.04	167.9	212.78	195.72	392.44	283.05	293.07	339.14	226.54	325.29	389.72	189.02	211.31	133.36	356.05	309.83	348.71	198.47	269.6	281.09	217.27	480.04	209.84	368.65	113.56	180.02	579.04	285.03	429.54	251.48	149.12	142.01	155.5	208.38	131.51	173.85	116.78	202.66	237.86	253.23	161.02	193.01	108.9	145.02	145.02	204.07	218.79	197.09	169.07	204.07	237.86	154.42	169.07	215.77	167.9	177.53	140.04	165.57	158.79	145.02	149.12	178.77	77.79	206.94	136.19	438.59	500.46
DBR1	353.59	438.59	267.73	269.6	114.36	96.01	361.04	208.38	157.68	146.03	97.36	162.14	94.67	100.13	133.36	186.4	172.65	44.57	186.4	127.0	255.0	154.42	149.12	103.69	255.0	197.09	108.14	152.28	191.67	346.29	109.66	136.19	153.34	107.38	159.9	163.28	299.25	118.43	156.59	325.29	151.22	183.82	202.66	169.07	124.37	102.97	178.77	145.02	127.0	148.09	170.25	214.27	104.42	134.3	158.79	158.79	100.83	113.56	214.27	246.28	151.22	183.82	85.22	63.0	66.18	73.54	81.14	84.63	148.09	99.43	80.57	72.52	71.5	94.67	97.36	127.0	108.14	67.12	118.43	108.9	59.97	91.41	93.35	42.41	67.12	93.35	116.78	101.54	111.99	90.14	68.55	95.34	71.0	167.9	13.72	80.57	70.51	309.83	353.59
DDX50	988.12	1498.22	909.17	802.41	248.0	211.31	647.07	389.72	358.54	376.41	273.37	316.37	295.11	214.27	275.28	607.87	414.87	237.86	387.02	358.54	514.56	305.55	358.54	251.48	470.14	264.03	202.66	450.94	480.04	500.46	170.25	400.71	334.46	191.67	366.09	361.04	743.43	325.29	327.56	473.41	220.32	392.44	454.09	265.87	226.54	246.28	420.68	414.87	490.14	242.88	412.0	444.72	301.33	559.28	239.52	450.94	183.82	199.85	329.84	612.11	246.28	332.14	187.71	228.13	107.38	221.86	228.13	237.86	208.38	248.0	175.07	221.86	187.71	173.85	152.28	260.38	258.57	231.32	289.02	187.71	165.57	139.07	205.5	170.25	193.01	249.73	204.07	373.81	309.83	136.19	358.54	194.36	197.09	194.36	161.02	204.07	269.6	583.07	780.44
DDX52	395.18	591.22	483.38	376.41	198.47	135.24	363.56	327.56	189.02	220.32	125.24	327.56	172.65	209.84	232.94	583.07	303.44	164.42	165.57	206.94	591.22	183.82	187.71	178.77	348.71	212.78	182.55	256.78	316.37	500.46	171.45	231.32	195.72	113.56	241.19	320.8	336.79	209.84	239.52	368.65	82.29	167.9	197.09	239.52	146.03	147.06	318.57	307.69	246.28	82.87	180.02	218.79	223.41	195.72	181.28	229.72	180.02	146.03	185.11	318.57	155.5	426.57	112.77	130.6	60.39	123.5	124.37	102.97	108.14	110.43	114.36	115.97	114.36	128.79	93.35	201.25	136.19	112.77	162.14	147.06	109.66	67.12	128.79	51.71	102.97	145.02	141.02	159.9	153.34	124.37	181.28	134.3	121.79	126.12	56.28	102.97	178.77	417.77	497.0
DESI2	1721.16	2271.4	441.64	620.67	158.79	131.51	414.87	285.03	234.57	289.02	351.14	309.83	316.37	167.9	269.6	323.03	260.38	142.01	271.48	414.87	1127.35	204.07	195.72	205.5	387.02	255.0	120.1	332.14	366.09	684.02	228.13	165.57	221.86	414.87	314.17	441.64	373.81	234.57	429.54	384.34	106.63	206.94	353.59	229.72	177.53	122.64	371.22	420.68	575.03	249.73	229.72	309.83	518.15	457.25	195.72	291.04	204.07	164.42	299.25	660.68	236.21	334.46	123.5	108.9	74.06	136.19	138.1	112.77	156.59	127.89	96.68	156.59	84.04	114.36	156.59	189.02	223.41	89.51	111.21	136.19	113.56	111.21	141.02	171.45	146.03	139.07	118.43	82.29	114.36	110.43	201.25	142.01	144.01	147.06	107.38	114.36	89.51	612.11	669.92
DHX15	3257.52	2178.83	2104.58	1397.83	738.29	555.41	1594.73	1208.34	1044.52	947.83	674.59	1143.1	1467.37	624.99	954.43	1437.15	995.0	536.45	1059.11	540.19	780.44	872.1	669.92	928.3	1340.84	1286.18	764.36	988.12	1081.39	1340.84	890.44	759.08	1183.45	738.29	1066.48	1175.27	1561.89	493.56	848.22	1467.37	718.08	616.37	1331.57	579.04	633.73	567.1	1191.69	1322.37	1066.48	688.78	1119.56	954.43	796.86	738.29	1023.0	1199.98	718.08	551.56	1561.89	1467.37	1313.23	902.89	567.1	599.49	406.31	540.19	563.18	476.71	457.25	591.22	674.59	974.5	447.82	392.44	497.0	674.59	679.29	379.04	603.67	503.95	463.65	563.18	555.41	480.04	466.88	775.05	493.56	441.64	595.34	476.71	500.46	647.07	791.35	718.08	265.87	532.74	595.34	1909.85	2335.28
DNM1L	967.76	1119.56	738.29	780.44	297.17	269.6	928.3	583.07	693.58	490.14	236.21	438.59	346.29	223.41	463.65	603.67	571.05	151.22	748.61	332.14	995.0	256.78	371.22	392.44	1151.06	540.19	228.13	738.29	397.93	595.34	339.14	432.53	176.29	205.5	551.56	346.29	579.04	320.8	463.65	769.69	208.38	420.68	591.22	381.68	301.33	297.17	507.46	540.19	612.11	211.31	466.88	381.68	384.34	316.37	447.82	813.63	525.39	307.69	387.02	647.07	414.87	698.41	202.66	155.5	81.14	186.4	217.27	180.02	226.54	218.79	105.15	265.87	152.28	175.07	147.06	260.38	287.01	198.47	185.11	191.67	147.06	91.41	239.52	105.89	269.6	295.11	202.66	211.31	305.55	176.29	253.23	241.19	314.17	208.38	55.49	163.28	173.85	1135.2	1313.23
E2F6	376.41	540.19	332.14	607.87	147.06	82.29	395.18	343.89	120.94	187.71	83.45	236.21	138.1	133.36	199.85	435.55	249.73	110.43	253.23	133.36	444.72	163.28	171.45	176.29	312.0	226.54	104.42	303.44	285.03	327.56	127.89	220.32	154.42	163.28	215.77	182.55	312.0	155.5	275.28	397.93	115.97	205.5	387.02	186.4	143.01	115.97	195.72	353.59	223.41	183.82	239.52	295.11	305.55	444.72	241.19	258.57	141.02	107.38	164.42	260.38	172.65	356.05	104.42	108.9	73.54	96.01	124.37	100.13	74.58	88.26	98.73	132.44	172.65	75.11	125.24	162.14	120.1	106.63	111.99	105.89	115.97	102.97	124.37	73.54	93.35	75.64	128.79	61.25	130.6	121.79	120.94	116.78	137.14	156.59	43.32	163.28	130.6	647.07	336.79
ECT2	1369.04	733.19	490.14	490.14	32.36	15.45	1066.48	148.09	102.97	126.12	23.93	318.57	120.1	48.18	180.02	358.54	231.32	32.82	82.87	85.82	414.87	41.22	147.06	78.34	320.8	211.31	118.43	329.84	303.44	323.03	115.16	103.69	63.45	102.97	149.12	157.68	231.32	112.77	358.54	497.0	147.06	234.57	289.02	109.66	173.85	52.08	191.67	189.02	426.57	57.08	101.54	133.36	111.21	204.07	185.11	239.52	141.02	43.02	183.82	281.09	127.0	412.0	33.54	9.27	7.34	21.16	29.48	8.32	17.9	13.93	7.28	21.01	18.7	1.95	12.64	35.0	22.92	15.22	36.53	2.43	15.0	7.11	24.99	17.77	36.01	38.67	11.04	57.08	27.25	19.53	37.05	15.34	9.06	21.01	11.04	14.89	21.32	447.82	1832.01
EIF3A	2555.58	3639.7	2875.3	1844.76	1023.0	813.63	2090.03	1674.06	1313.23	1175.27	718.08	1225.22	1008.9	1225.22	1081.39	1639.59	1662.49	395.18	1135.2	1388.16	1923.14	1143.1	1896.65	583.07	1388.16	1059.11	981.29	1073.91	1151.06	1508.65	1059.11	1819.35	1216.75	703.28	1870.53	1769.57	1923.14	842.36	1295.13	1870.53	612.11	1733.13	1605.83	1143.1	733.19	1199.98	1721.16	1819.35	2193.99	878.17	1991.0	1066.48	1268.46	1151.06	1457.23	1331.57	447.82	723.08	2178.83	2018.8	1199.98	2004.85	703.28	693.58	441.64	1001.93	813.63	842.36	665.29	802.41	759.08	802.41	753.83	995.0	591.22	1295.13	1059.11	830.75	1594.73	802.41	620.67	567.1	633.73	1044.52	796.86	915.51	718.08	1313.23	1250.98	579.04	1417.35	688.78	878.17	860.08	743.43	599.49	1519.15	2047.0	2935.74
EP400	299.25	241.19	229.72	336.79	82.29	66.65	281.09	204.07	100.13	115.97	77.25	145.02	99.43	90.14	116.78	172.65	159.9	47.5	127.0	75.64	190.34	108.14	128.79	104.42	239.52	139.07	49.21	109.66	159.9	248.0	108.14	159.9	91.41	69.52	147.06	150.17	186.4	103.69	193.01	239.52	41.81	125.24	138.1	106.63	81.14	62.12	134.3	144.01	191.67	52.08	141.02	95.34	127.89	141.02	129.69	231.32	44.89	89.51	142.01	156.59	93.35	128.79	50.98	47.5	36.53	81.14	51.35	56.28	42.41	33.3	34.26	100.13	60.39	36.79	61.25	80.57	40.64	42.41	73.54	43.63	41.52	49.21	91.41	65.26	82.87	55.49	61.68	49.91	55.1	28.04	108.14	51.71	48.52	57.49	12.55	40.93	65.26	358.54	426.57
ESF1	281.09	525.39	579.04	186.4	194.36	136.19	264.03	170.25	94.67	209.84	89.51	166.73	167.9	159.9	186.4	287.01	248.0	105.15	154.42	165.57	273.37	162.14	215.77	211.31	312.0	177.53	128.79	181.28	293.07	376.41	125.24	265.87	170.25	215.77	303.44	279.14	339.14	135.24	162.14	309.83	44.25	214.27	283.05	194.36	131.51	170.25	325.29	320.8	297.17	198.47	193.01	181.28	198.47	241.19	201.25	279.14	157.68	164.42	438.59	275.28	182.55	303.44	120.94	104.42	27.44	105.89	136.19	97.36	105.15	129.69	127.89	175.07	115.97	82.29	98.04	190.34	139.07	78.89	177.53	138.1	90.14	90.77	166.73	83.45	122.64	129.69	89.51	115.16	144.01	118.43	84.04	110.43	120.94	154.42	49.21	60.82	134.3	341.51	483.38
FAM175B	412.0	583.07	490.14	293.07	180.02	142.01	379.04	182.55	214.27	206.94	138.1	205.5	195.72	195.72	189.02	220.32	246.28	96.01	154.42	167.9	289.02	199.85	242.88	126.12	267.73	151.22	128.79	281.09	167.9	255.0	186.4	212.78	187.71	156.59	215.77	258.57	277.2	176.29	189.02	253.23	126.12	275.28	249.73	175.07	116.78	162.14	258.57	232.94	356.05	147.06	232.94	211.31	202.66	209.84	177.53	204.07	80.57	121.79	220.32	299.25	92.05	223.41	137.14	130.6	82.87	139.07	162.14	145.02	163.28	127.0	165.57	92.05	202.66	140.04	115.16	209.84	173.85	137.14	211.31	193.01	128.79	126.12	153.34	108.9	140.04	120.94	182.55	202.66	242.88	135.24	186.4	111.99	120.94	140.04	67.59	96.68	173.85	339.14	336.79
FAM204A	1322.37	1487.87	1617.0	1088.92	567.1	514.56	902.89	830.75	679.29	723.08	503.95	728.11	480.04	583.07	567.1	674.59	830.75	366.09	921.88	616.37	1457.23	571.05	669.92	373.81	743.43	514.56	536.45	1030.12	769.69	684.02	591.22	647.07	785.88	483.38	738.29	1059.11	1059.11	785.88	738.29	780.44	500.46	1135.2	718.08	518.15	521.76	432.53	698.41	660.68	1066.48	493.56	603.67	642.59	620.67	679.29	629.35	808.0	400.71	339.14	684.02	769.69	583.07	733.19	429.54	420.68	162.14	441.64	518.15	571.05	587.13	441.64	312.0	480.04	371.22	460.44	432.53	473.41	514.56	441.64	591.22	371.22	351.14	318.57	483.38	414.87	423.61	476.71	435.55	463.65	595.34	376.41	423.61	486.75	473.41	555.41	444.72	703.28	463.65	1059.11	988.12
FAM21C	483.38	1044.52	954.43	698.41	239.52	140.04	591.22	543.96	164.42	190.34	176.29	242.88	307.69	206.94	244.57	480.04	309.83	29.7	559.28	303.44	748.61	291.04	447.82	202.66	356.05	309.83	205.5	269.6	316.37	412.0	135.24	529.06	234.57	185.11	423.61	351.14	559.28	329.84	358.54	476.71	119.26	341.51	363.56	214.27	186.4	158.79	358.54	339.14	395.18	102.25	314.17	197.09	368.65	231.32	409.15	348.71	185.11	144.01	312.0	412.0	226.54	400.71	81.71	83.45	46.5	159.9	57.08	142.01	111.21	119.26	42.71	242.88	65.72	78.34	146.03	239.52	142.01	105.89	267.73	73.03	85.22	148.09	194.36	105.89	223.41	204.07	171.45	165.57	271.48	131.51	293.07	116.78	96.01	228.13	66.18	82.29	248.0	647.07	583.07
FAM53C	463.65	848.22	353.59	457.25	140.04	96.01	351.14	540.19	363.56	166.73	180.02	231.32	134.3	218.79	327.56	351.14	279.14	133.36	334.46	181.28	167.9	208.38	220.32	165.57	175.07	251.48	114.36	172.65	211.31	323.03	111.99	260.38	169.07	124.37	303.44	279.14	239.52	148.09	183.82	191.67	72.52	157.68	307.69	185.11	171.45	127.0	293.07	226.54	177.53	236.21	215.77	346.29	234.57	249.73	228.13	273.37	146.03	127.89	299.25	262.2	209.84	329.84	87.03	138.1	114.36	138.1	105.15	129.69	169.07	129.69	105.15	151.22	70.51	93.35	111.21	147.06	108.14	123.5	104.42	132.44	137.14	97.36	163.28	137.14	136.19	123.5	88.26	128.79	166.73	137.14	158.79	133.36	148.09	87.65	90.77	101.54	115.16	406.31	305.55
FBXO11	819.3	1268.46	872.1	896.64	423.61	260.38	603.67	547.75	429.54	454.09	265.87	389.72	262.2	312.0	368.65	503.95	406.31	218.79	555.41	417.77	718.08	514.56	429.54	356.05	802.41	525.39	366.09	529.06	466.88	775.05	412.0	473.41	327.56	267.73	450.94	547.75	688.78	353.59	341.51	624.99	182.55	543.96	441.64	314.17	255.0	297.17	423.61	620.67	490.14	271.48	463.65	447.82	429.54	395.18	392.44	555.41	301.33	253.23	579.04	603.67	647.07	525.39	273.37	256.78	119.26	258.57	303.44	255.0	301.33	309.83	251.48	642.59	260.38	291.04	332.14	426.57	275.28	209.84	316.37	316.37	221.86	224.97	389.72	318.57	334.46	397.93	358.54	336.79	329.84	228.13	329.84	336.79	277.2	438.59	153.34	231.32	323.03	830.75	813.63
FBXW8	186.4	215.77	121.79	236.21	66.18	42.11	239.52	229.72	98.04	118.43	95.34	134.3	105.89	88.26	45.85	116.78	122.64	67.59	133.36	77.79	147.06	73.54	136.19	89.51	155.5	76.17	109.66	112.77	110.43	124.37	65.26	57.08	96.68	65.26	111.21	110.43	161.02	154.42	100.13	190.34	32.59	143.01	190.34	60.82	67.59	64.8	138.1	111.99	178.77	37.32	122.64	120.94	99.43	103.69	89.51	180.02	52.08	63.45	82.29	133.36	73.03	110.43	42.11	28.04	52.82	81.14	36.01	42.41	37.32	42.41	50.63	70.01	54.72	55.89	51.71	68.55	53.95	33.78	77.25	40.36	42.41	41.22	67.59	45.53	67.59	44.25	31.22	60.39	75.64	41.22	64.8	50.27	53.95	36.27	23.59	40.36	74.06	183.82	189.02
