	GTEX.WRHU.0326.SM.3MJFY	GTEX.WZTO.1726.SM.4PQYV	TCGA.A3.3378.01A.02R.1325.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.Q2AG.1026.SM.33HBW	GTEX.QEG4.0526.SM.48TZD	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WH7G.1726.SM.4LVKY	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.1399R.0526.SM.5IJEF	GTEX.11TUW.2126.SM.5GU7B	GTEX.QV31.1026.SM.4R1K3	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD	TCGA.IN.AB1V.11A.11R.A414.31
RPS19BP1	848.22	1857.6	1757.34	1745.2	1685.71	988.12	1268.46	4358.66	2976.74	1709.26	2915.45	1519.15	3768.09	4298.64	3349.13	3395.89	1674.06	3060.45	3665.02	2351.53	2835.7	2627.46	3639.7	4298.64	3614.55	3690.52	3280.18	2351.53	3372.43	3303.0	2835.7	2956.17	2664.15	1757.34	7382.04	4450.27	3589.58	3257.52	3395.89	2004.85	1923.14	2417.67	4123.49	4903.87	4328.55	2271.4	1909.85	3901.01	5006.93	3467.27	4328.55	3257.52	2133.97	3794.3	2047.0	2417.67	2935.74	3103.19	4010.71	4481.23	2935.74	4388.98	3491.39	1950.0	2855.44	2720.15	2835.7	2018.8	1781.89	3716.2	4181.07	3168.41	4066.71	3349.13	3303.0	3235.01	3081.75	3257.52	3589.58	4210.15	2502.97	2400.97	2935.74	3419.52	2163.77	4358.66	3395.89	2591.27	4123.49	3168.41	2609.3	4575.41	1127.35
RPUSD2	80.57	48.87	83.45	57.89	69.03	52.08	74.06	120.1	118.43	90.77	195.72	113.56	176.29	149.12	171.45	146.03	101.54	148.09	166.73	123.5	118.43	115.97	177.53	181.28	162.14	166.73	186.4	189.02	178.77	180.02	155.5	132.44	111.99	123.5	205.5	197.09	153.34	151.22	138.1	152.28	110.43	91.41	189.02	163.28	189.02	115.16	123.5	155.5	176.29	144.01	138.1	150.17	147.06	176.29	98.73	142.01	156.59	154.42	165.57	176.29	147.06	153.34	198.47	158.79	130.6	147.06	141.02	173.85	76.71	133.36	172.65	133.36	148.09	135.24	157.68	181.28	171.45	206.94	208.38	163.28	182.55	100.83	175.07	146.03	155.5	157.68	71.0	164.42	159.9	194.36	82.87	152.28	129.69
SF3B5	1923.14	1896.65	2090.03	842.36	1175.27	1457.23	1745.2	4512.4	3018.3	2351.53	4268.94	2664.15	4575.41	5041.77	4358.66	4836.35	2520.38	3716.2	4869.99	3081.75	3190.46	3168.41	4038.61	5441.3	4671.57	4010.71	4181.07	4450.27	4802.93	4419.52	3874.05	3614.55	3280.18	1628.26	6745.86	5517.27	3491.39	4769.75	4181.07	3690.52	2855.44	3103.19	5403.7	5555.65	5479.15	2664.15	2816.11	4268.94	6607.01	4152.18	4450.27	4328.55	2855.44	4268.94	2555.58	3280.18	4802.93	4419.52	4704.07	8247.98	4152.18	5255.91	5147.73	2720.15	3589.58	3325.99	4239.45	2895.31	3467.27	6037.61	6699.25	3982.99	6121.9	3690.52	4736.79	3874.05	4543.8	6121.9	5076.84	6699.25	3564.78	4481.23	4769.75	5441.3	2855.44	6121.9	4972.34	3303.0	5711.87	4512.4	3589.58	7382.04	2193.99
SGTA	896.64	1191.69	866.07	1225.22	796.86	660.68	921.88	2075.59	1225.22	934.76	1583.71	909.17	1605.83	1806.78	1477.58	1721.16	775.05	974.5	1651.0	1167.14	1225.22	1233.75	1388.16	1745.2	1350.18	1447.15	1540.37	1304.15	1407.55	1457.23	1340.84	1242.34	1208.34	1015.93	1242.34	1832.01	1467.37	1639.59	1721.16	1199.98	909.17	1250.98	1721.16	1794.29	1757.34	1001.93	1088.92	1437.15	1806.78	1331.57	1498.22	1216.75	1250.98	1617.0	1119.56	1208.34	1551.09	1304.15	1467.37	1127.35	1437.15	1870.53	1143.1	1199.98	1295.13	1322.37	1350.18	1151.06	1135.2	1225.22	1721.16	1331.57	1529.73	1313.23	1216.75	1369.04	1378.57	1561.89	1781.89	2104.58	1104.13	1208.34	1277.29	1304.15	1388.16	1508.65	1331.57	1199.98	1844.76	1331.57	1216.75	1457.23	961.07
SNF8	1359.57	1540.37	1359.57	890.44	1233.75	723.08	1313.23	2351.53	1369.04	1407.55	2133.97	1561.89	2400.97	2047.0	2609.3	2335.28	1467.37	1923.14	2417.67	1447.15	1733.13	1709.26	2104.58	2319.15	2133.97	2104.58	2090.03	2061.24	3124.78	2468.49	2018.8	1977.24	1977.24	1388.16	2758.13	2485.67	2384.37	1991.0	2367.9	1529.73	1651.0	1709.26	2537.92	2537.92	2997.45	1674.06	1508.65	2720.15	2384.37	2032.85	2609.3	1923.14	1498.22	1909.85	1407.55	1639.59	1923.14	1733.13	2032.85	2384.37	1819.35	2303.12	1991.0	1617.0	1757.34	2032.85	1674.06	1487.87	1991.0	2367.9	2645.74	1639.59	2701.35	2018.8	2537.92	2163.77	2417.67	2224.63	2520.38	2434.5	1757.34	1991.0	2739.08	2018.8	1407.55	2209.26	2018.8	1733.13	2047.0	1806.78	1733.13	2485.67	1417.35
SNRPG	1519.15	1135.2	1498.22	2133.97	1167.14	954.43	1191.69	2682.69	1628.26	2520.38	1685.71	2287.2	2303.12	2434.5	2520.38	1819.35	2400.97	2178.83	2573.36	1794.29	2255.7	1857.6	2468.49	2468.49	2758.13	2502.97	1709.26	2193.99	3146.52	2224.63	2271.4	2075.59	2004.85	2335.28	3235.01	2148.82	2367.9	2520.38	2664.15	1628.26	2148.82	2163.77	2384.37	3039.3	3395.89	2047.0	1950.0	2224.63	2240.11	1781.89	3742.05	2739.08	1806.78	1662.49	1628.26	2018.8	2119.22	2855.44	1936.53	4802.93	2075.59	2090.03	3794.3	1721.16	2004.85	1745.2	2047.0	1709.26	2004.85	2627.46	2502.97	1662.49	2303.12	1529.73	3039.3	2417.67	3372.43	2895.31	4358.66	2739.08	2777.33	1844.76	3257.52	2739.08	1250.98	2075.59	1844.76	1857.6	2255.7	2367.9	2224.63	3467.27	1540.37
SPCS1	2997.45	1991.0	2193.99	890.44	1447.15	1295.13	2090.03	5633.22	4388.98	4903.87	4543.8	4328.55	4937.99	5872.48	4481.23	4607.24	4358.66	4802.93	5751.61	4066.71	4869.99	5112.16	4802.93	5555.65	5219.6	5517.27	4903.87	4481.23	6840.04	4836.35	3665.02	5147.73	4802.93	4769.75	9540.5	5633.22	4607.24	5041.77	5633.22	3874.05	5751.61	4972.34	5791.62	6250.56	5831.91	4937.99	4298.64	5147.73	5995.9	5751.61	6250.56	5913.33	3665.02	4802.93	3589.58	4481.23	5366.37	5112.16	5329.3	8191.0	4328.55	5791.62	6887.62	3325.99	5633.22	3742.05	4575.41	4010.71	4239.45	5954.47	6699.25	5147.73	5517.27	4736.79	7230.1	6121.9	7130.55	6516.03	4769.75	6337.83	5006.93	5954.47	5831.91	7589.61	6381.92	6699.25	5995.9	4239.45	6983.79	6699.25	4210.15	7695.57	2209.26
SSNA1	651.58	1127.35	684.02	620.67	796.86	620.67	1143.1	2400.97	1350.18	1487.87	2417.67	1250.98	2351.53	2956.17	2209.26	2075.59	1127.35	2163.77	2739.08	1561.89	1857.6	1844.76	2287.2	2956.17	2468.49	2061.24	2287.2	1883.54	3372.43	2468.49	1551.09	1819.35	1781.89	1304.15	4095.0	3039.3	2367.9	2895.31	2520.38	1819.35	1561.89	1639.59	2537.92	2303.12	2997.45	1369.04	1417.35	2573.36	3515.68	2209.26	3081.75	2384.37	1628.26	2485.67	1359.57	1857.6	2400.97	2224.63	2664.15	3103.19	2032.85	2895.31	2451.44	1277.29	1857.6	1896.65	2133.97	1572.76	1769.57	3018.3	3349.13	1909.85	2835.7	2271.4	2255.7	2163.77	2645.74	2645.74	2178.83	2758.13	1977.24	1685.71	2417.67	2627.46	1551.09	3081.75	2609.3	1991.0	2855.44	2209.26	1397.83	2609.3	1096.5
SSSCA1	684.02	753.83	769.69	1135.2	836.53	708.18	947.83	1540.37	954.43	902.89	1561.89	1059.11	1199.98	1277.29	1350.18	1340.84	830.75	1561.89	1508.65	1167.14	1073.91	1159.07	1369.04	1572.76	1388.16	1540.37	1662.49	1250.98	1857.6	1331.57	1397.83	995.0	1350.18	947.83	1697.45	1540.37	1388.16	1417.35	1487.87	1233.75	1037.29	1208.34	1844.76	1709.26	1745.2	1015.93	1242.34	1175.27	1651.0	1508.65	1378.57	1447.15	1183.45	1572.76	1059.11	1175.27	1605.83	1437.15	1487.87	1794.29	1259.69	1331.57	1617.0	1304.15	1268.46	1378.57	1457.23	1119.56	1233.75	1359.57	1519.15	1167.14	1685.71	1208.34	1417.35	1268.46	1427.22	1870.53	1857.6	1844.76	896.64	1159.07	1359.57	1250.98	1096.5	1529.73	1044.52	1044.52	2004.85	1111.82	921.88	1685.71	532.74
TACO1	236.21	228.13	334.46	135.24	111.99	115.16	212.78	438.59	320.8	307.69	358.54	403.5	409.15	450.94	389.72	361.04	295.11	351.14	420.68	336.79	305.55	336.79	400.71	503.95	351.14	409.15	466.88	432.53	551.56	444.72	353.59	371.22	366.09	325.29	397.93	483.38	417.77	361.04	363.56	400.71	320.8	277.2	480.04	493.56	559.28	358.54	341.51	373.81	518.15	361.04	406.31	363.56	314.17	400.71	293.07	348.71	412.0	441.64	348.71	591.22	379.04	435.55	460.44	353.59	348.71	332.14	348.71	341.51	320.8	414.87	480.04	373.81	457.25	400.71	417.77	454.09	435.55	507.46	486.75	457.25	406.31	289.02	486.75	435.55	397.93	417.77	299.25	414.87	336.79	444.72	303.44	486.75	264.03
TIMM50	660.68	616.37	902.89	447.82	466.88	353.59	616.37	1519.15	988.12	954.43	1151.06	988.12	1313.23	1388.16	1119.56	1369.04	915.51	1127.35	1159.07	1051.79	967.76	1127.35	1159.07	1583.71	1250.98	1151.06	1175.27	1088.92	1594.73	1313.23	1175.27	1135.2	1001.93	909.17	1617.0	1286.18	1119.56	1225.22	995.0	1104.13	941.27	941.27	1304.15	1950.0	1331.57	921.88	896.64	1051.79	1295.13	1199.98	1407.55	1096.5	1015.93	1088.92	961.07	1059.11	1277.29	1159.07	1225.22	1551.09	1199.98	1322.37	1313.23	1037.29	1037.29	1159.07	947.83	995.0	1015.93	1111.82	1477.58	995.0	1216.75	1233.75	1359.57	1277.29	1457.23	1628.26	1427.22	1896.65	1167.14	688.78	1304.15	1233.75	1051.79	1259.69	1066.48	995.0	1594.73	1059.11	698.41	1151.06	848.22
TMEM208	733.19	595.34	1051.79	514.56	624.99	368.65	583.07	1127.35	1143.1	1119.56	1583.71	884.29	1909.85	2163.77	1617.0	1963.57	1233.75	1551.09	1832.01	1066.48	1159.07	988.12	1561.89	2417.67	1709.26	1572.76	1583.71	1487.87	2645.74	1844.76	1417.35	1378.57	1331.57	988.12	476.71	1844.76	1583.71	1832.01	1487.87	743.43	1250.98	1199.98	1794.29	2104.58	2061.24	1143.1	954.43	1628.26	1757.34	1594.73	1883.54	1572.76	1037.29	1745.2	878.17	1183.45	1685.71	1388.16	1757.34	2384.37	1151.06	1923.14	1923.14	872.1	1447.15	1051.79	1397.83	961.07	1508.65	1936.53	2609.3	1208.34	2209.26	1427.22	1540.37	1794.29	2335.28	2303.12	2417.67	2997.45	1313.23	1561.89	1844.76	1923.14	1781.89	2193.99	1427.22	1104.13	2555.58	1936.53	947.83	2468.49	665.29
TRAPPC3	1529.73	1015.93	1572.76	1119.56	890.44	1096.5	921.88	1757.34	1295.13	1369.04	1674.06	1498.22	1769.57	1857.6	1832.01	1674.06	1457.23	1697.45	1745.2	1417.35	1467.37	1529.73	1870.53	1883.54	1794.29	1697.45	1583.71	1733.13	2004.85	1883.54	1745.2	1583.71	1605.83	1369.04	2434.5	1832.01	1769.57	1628.26	1639.59	1487.87	1605.83	1417.35	1745.2	2133.97	2287.2	1378.57	1467.37	1832.01	2075.59	1819.35	1923.14	1896.65	1388.16	1594.73	1331.57	1594.73	1757.34	1857.6	1832.01	2835.7	1685.71	2061.24	2303.12	1508.65	1674.06	1540.37	1540.37	1417.35	1457.23	1883.54	2148.82	1685.71	1870.53	1561.89	2240.11	1757.34	2018.8	1819.35	1909.85	2193.99	1437.15	1583.71	1870.53	1662.49	1498.22	2047.0	1437.15	1508.65	1709.26	1857.6	1561.89	2163.77	1216.75
TSSC4	547.75	599.49	429.54	521.76	902.89	500.46	536.45	1286.18	684.02	563.18	1191.69	723.08	1277.29	1104.13	1167.14	1359.57	540.19	921.88	981.29	723.08	775.05	830.75	915.51	1119.56	1151.06	934.76	1059.11	988.12	1674.06	1259.69	1143.1	591.22	848.22	698.41	1447.15	1350.18	1051.79	1225.22	995.0	819.3	587.13	860.08	954.43	1417.35	1369.04	688.78	848.22	1119.56	1832.01	967.76	1066.48	802.41	830.75	1073.91	723.08	836.53	1008.9	791.35	1059.11	860.08	915.51	1135.2	988.12	878.17	759.08	981.29	947.83	808.0	967.76	1059.11	1183.45	813.63	1388.16	909.17	878.17	995.0	830.75	1044.52	1457.23	1733.13	796.86	688.78	934.76	915.51	698.41	1159.07	753.83	796.86	1572.76	884.29	748.61	1167.14	540.19
TUSC2	483.38	503.95	343.89	483.38	579.04	258.57	514.56	974.5	555.41	476.71	703.28	497.0	743.43	669.92	728.11	638.15	529.06	638.15	780.44	525.39	540.19	660.68	759.08	802.41	669.92	708.18	688.78	595.34	981.29	802.41	642.59	660.68	679.29	511.0	1059.11	769.69	718.08	753.83	785.88	624.99	660.68	679.29	769.69	995.0	941.27	579.04	571.05	698.41	796.86	785.88	753.83	775.05	638.15	780.44	521.76	651.58	698.41	713.11	684.02	967.76	703.28	703.28	890.44	583.07	713.11	684.02	669.92	607.87	575.03	842.36	884.29	591.22	587.13	860.08	796.86	665.29	748.61	974.5	915.51	791.35	733.19	624.99	878.17	934.76	567.1	848.22	848.22	688.78	718.08	1008.9	583.07	1037.29	356.05
U2AF1	3303.0	1923.14	1369.04	2555.58	2485.67	2104.58	2417.67	3820.7	1685.71	1991.0	2468.49	1781.89	2758.13	3103.19	2875.3	3280.18	1977.24	2047.0	2591.27	1427.22	2645.74	2255.7	2520.38	3039.3	2664.15	2997.45	2061.24	2335.28	4972.34	3081.75	3018.3	1697.45	1977.24	2119.22	3124.78	2796.65	2875.3	2609.3	2609.3	1909.85	1936.53	2303.12	2240.11	2573.36	3467.27	1794.29	2004.85	2796.65	3168.41	2367.9	3955.48	2018.8	2335.28	2468.49	2018.8	2240.11	2075.59	2240.11	2240.11	2163.77	2178.83	3039.3	2303.12	2224.63	2163.77	2193.99	2119.22	2004.85	2664.15	2351.53	2976.74	2119.22	3190.46	2287.2	3280.18	2591.27	3257.52	3395.89	5041.77	3467.27	2417.67	1977.24	3564.78	2682.69	2645.74	2451.44	2645.74	2061.24	3443.31	2271.4	2133.97	3081.75	1721.16
UFD1L	1350.18	791.35	1111.82	733.19	1359.57	1651.0	1015.93	1991.0	1322.37	1769.57	1519.15	1088.92	1540.37	1936.53	1388.16	1498.22	1313.23	1745.2	1639.59	1467.37	1417.35	1467.37	1709.26	1844.76	1769.57	1870.53	1594.73	1175.27	1457.23	1583.71	1909.85	1427.22	1250.98	1350.18	2224.63	1651.0	1819.35	1674.06	1447.15	1457.23	1268.46	1250.98	1896.65	1388.16	1605.83	1250.98	1340.84	1437.15	1844.76	1721.16	2485.67	2018.8	1388.16	1340.84	1529.73	1447.15	1757.34	2061.24	1733.13	2573.36	1662.49	1551.09	2133.97	1477.58	1519.15	1583.71	1359.57	1417.35	1498.22	1662.49	1844.76	1540.37	1769.57	1551.09	2351.53	1572.76	1870.53	1721.16	1870.53	1936.53	1427.22	1331.57	2335.28	1781.89	1427.22	1745.2	1617.0	1191.69	2255.7	1540.37	1225.22	2032.85	954.43
UQCR10	1923.14	1605.83	2119.22	1304.15	1457.23	1674.06	1923.14	5441.3	2796.65	2061.24	3589.58	3146.52	4903.87	5831.91	4239.45	4671.57	3467.27	3690.52	4802.93	2555.58	3419.52	3018.3	4450.27	5954.47	5006.93	4181.07	3589.58	4512.4	4268.94	4298.64	3190.46	4095.0	3124.78	3146.52	7485.11	5594.3	4066.71	4607.24	4123.49	3303.0	4298.64	3257.52	4328.55	6381.92	7280.4	3124.78	3081.75	4010.71	6121.9	4181.07	5479.15	4419.52	2434.5	3639.7	2351.53	3081.75	4450.27	4181.07	5329.3	8022.41	3589.58	5672.41	5711.87	2502.97	3982.99	3235.01	3614.55	2400.97	2997.45	6745.86	7081.29	4038.61	5711.87	4038.61	5076.84	4038.61	4038.61	6121.9	4607.24	6652.97	3690.52	4575.41	5006.93	5006.93	3303.0	5555.65	6294.04	4010.71	4937.99	4419.52	3982.99	5292.48	1781.89
WBSCR22	1561.89	1030.12	1268.46	878.17	1191.69	896.64	1277.29	2816.11	1561.89	1617.0	2148.82	1457.23	2287.2	2502.97	2047.0	2224.63	1628.26	2240.11	2271.4	1757.34	2004.85	2032.85	2104.58	2573.36	2367.9	2061.24	2090.03	1896.65	3639.7	2271.4	2224.63	1721.16	1963.57	1594.73	3955.48	2417.67	1923.14	2255.7	2240.11	2004.85	1936.53	1721.16	2335.28	2287.2	2367.9	1721.16	1685.71	2163.77	2303.12	2163.77	2335.28	2061.24	1832.01	2061.24	1561.89	1883.54	1950.0	1909.85	2148.82	2573.36	1883.54	2319.15	2335.28	1709.26	1870.53	1628.26	1936.53	1651.0	1909.85	2104.58	2573.36	1832.01	2645.74	1909.85	2573.36	2351.53	3146.52	2997.45	2627.46	2816.11	1963.57	2104.58	2935.74	2682.69	2018.8	2119.22	1936.53	1757.34	3124.78	2609.3	1844.76	2367.9	1008.9
YIF1A	1159.07	1111.82	1096.5	616.37	1030.12	684.02	1268.46	2997.45	1923.14	1447.15	2287.2	1583.71	2609.3	2915.45	2400.97	2976.74	1378.57	2287.2	2287.2	1950.0	1781.89	1991.0	2255.7	3212.66	2287.2	2417.67	2796.65	1832.01	4095.0	2119.22	2104.58	1936.53	2104.58	1583.71	3190.46	2739.08	2148.82	2287.2	2367.9	2303.12	1674.06	1806.78	2720.15	3794.3	2997.45	1508.65	1572.76	2163.77	3639.7	3146.52	2664.15	2384.37	1407.55	2384.37	1477.58	1594.73	2682.69	1923.14	2351.53	3190.46	1819.35	2835.7	2319.15	1322.37	2061.24	1745.2	2032.85	1397.83	1757.34	2047.0	3190.46	1832.01	2591.27	2163.77	2047.0	2319.15	2664.15	2682.69	3716.2	4038.61	1697.45	2573.36	2537.92	2384.37	2287.2	2682.69	2434.5	1417.35	2997.45	2303.12	1340.84	2502.97	1127.35
ZBTB8OS	698.41	486.75	748.61	395.18	395.18	376.41	547.75	1250.98	674.59	909.17	819.3	688.78	988.12	954.43	902.89	890.44	684.02	1030.12	902.89	656.11	738.29	660.68	988.12	1023.0	981.29	961.07	607.87	915.51	1059.11	1066.48	947.83	733.19	651.58	819.3	1369.04	808.0	866.07	981.29	825.0	669.92	915.51	679.29	802.41	1304.15	1216.75	660.68	733.19	988.12	1208.34	785.88	1167.14	884.29	651.58	669.92	733.19	884.29	802.41	961.07	819.3	1199.98	802.41	909.17	1104.13	872.1	748.61	713.11	684.02	638.15	825.0	1233.75	921.88	713.11	1151.06	660.68	1051.79	1073.91	769.69	961.07	1191.69	1225.22	684.02	679.29	1199.98	954.43	825.0	825.0	759.08	624.99	928.3	723.08	723.08	1143.1	713.11
ZNF593	153.34	115.97	85.82	80.01	104.42	64.34	70.01	796.86	248.0	120.94	334.46	177.53	480.04	454.09	384.34	669.92	142.01	343.89	363.56	231.32	241.19	305.55	339.14	651.58	299.25	460.44	387.02	329.84	728.11	426.57	412.0	220.32	480.04	171.45	642.59	532.74	291.04	346.29	303.44	371.22	127.89	323.03	356.05	825.0	536.45	264.03	211.31	358.54	764.36	323.03	409.15	363.56	241.19	309.83	156.59	249.73	255.0	218.79	283.05	483.38	226.54	463.65	346.29	142.01	232.94	267.73	285.03	209.84	248.0	255.0	507.46	204.07	444.72	363.56	384.34	262.2	332.14	466.88	836.53	769.69	244.57	226.54	400.71	325.29	239.52	429.54	327.56	173.85	616.37	327.56	314.17	567.1	145.02
ZNF622	339.14	194.36	426.57	217.27	301.33	248.0	295.11	723.08	536.45	540.19	629.35	514.56	669.92	567.1	620.67	679.29	595.34	642.59	651.58	555.41	497.0	514.56	656.11	607.87	339.14	674.59	638.15	688.78	934.76	688.78	612.11	595.34	616.37	529.06	878.17	529.06	638.15	563.18	476.71	733.19	511.0	607.87	775.05	651.58	836.53	575.03	563.18	647.07	723.08	688.78	483.38	583.07	603.67	638.15	507.46	616.37	660.68	688.78	368.65	759.08	651.58	567.1	679.29	563.18	612.11	571.05	567.1	647.07	555.41	525.39	647.07	555.41	688.78	599.49	665.29	713.11	698.41	674.59	808.0	769.69	587.13	514.56	679.29	674.59	620.67	587.13	379.04	603.67	559.28	669.92	361.04	802.41	381.68
