	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.139TS.1426.SM.5IFJD	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.11NUK.0826.SM.5HL4U	GTEX.11P81.0226.SM.5HL5M	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	TCGA.43.6143.01A.11R.1820.07	TCGA.77.8007.11A.01R.2187.07	TCGA.51.4081.11A.01R.1758.07
PDPK1	587.13	329.84	384.34	239.52	208.38	194.36	208.38	236.21	166.73	194.36	314.17	223.41	111.21	177.53	129.69	132.44	83.45	384.34	384.34	336.79	341.51	417.77	381.68	356.05	460.44	244.57	486.75	493.56	447.82	460.44	255.0	435.55
PDS5B	629.35	122.64	164.42	34.75	205.5	101.54	172.65	122.64	169.07	92.7	119.26	118.43	61.68	104.42	46.5	90.77	88.88	267.73	226.54	186.4	218.79	171.45	320.8	417.77	376.41	384.34	470.14	441.64	551.56	507.46	223.41	267.73
PDZD2	642.59	9.63	42.41	8.92	17.25	8.45	9.27	4.03	16.27	13.22	5.32	8.32	11.55	5.19	6.11	4.46	43.63	6.01	264.03	24.81	194.36	31.67	87.65	1639.59	878.17	384.34	486.75	866.07	392.44	255.0	151.22	265.87
PIKFYVE	289.02	87.65	101.54	32.36	70.51	75.11	51.71	39.22	59.55	35.0	46.5	68.55	48.18	30.56	19.97	53.95	34.75	82.29	170.25	98.73	116.78	88.26	153.34	264.03	161.02	183.82	140.04	273.37	312.0	244.57	133.36	149.12
PJA2	1844.76	775.05	825.0	366.09	563.18	579.04	525.39	423.61	547.75	303.44	447.82	521.76	320.8	454.09	287.01	813.63	728.11	947.83	738.29	314.17	1111.82	669.92	1135.2	2075.59	1794.29	1208.34	890.44	1199.98	1467.37	1143.1	743.43	915.51
PKD1	1407.55	559.28	624.99	616.37	599.49	616.37	423.61	575.03	551.56	536.45	583.07	647.07	152.28	291.04	287.01	318.57	195.72	256.78	785.88	490.14	299.25	540.19	599.49	1304.15	1059.11	1096.5	684.02	1250.98	698.41	878.17	409.15	1359.57
PPIP5K2	728.11	454.09	275.28	76.17	327.56	363.56	251.48	228.13	343.89	211.31	209.84	301.33	162.14	140.04	246.28	301.33	253.23	221.86	466.88	291.04	463.65	563.18	656.11	607.87	395.18	555.41	507.46	444.72	314.17	718.08	567.1	406.31
PRDM2	698.41	242.88	271.48	176.29	126.12	127.89	91.41	101.54	51.71	138.1	75.11	112.77	103.69	51.71	102.97	152.28	171.45	88.26	444.72	246.28	258.57	262.2	358.54	583.07	567.1	848.22	450.94	417.77	642.59	571.05	316.37	500.46
PRKCE	132.44	58.71	84.04	87.65	267.73	62.56	127.89	58.71	106.63	63.45	99.43	72.52	47.5	38.95	20.86	132.44	71.5	45.21	248.0	162.14	283.05	283.05	281.09	420.68	684.02	351.14	583.07	339.14	348.71	260.38	271.48	231.32
PRSS12	101.54	9.41	7.4	0.37	2.76	9.93	0.53	0.0	13.12	1.38	3.69	104.42	4.5	10.16	0.44	17.0	0.0	13.03	43.63	599.49	108.9	23.76	232.94	435.55	96.68	435.55	525.39	114.36	341.51	819.3	82.87	98.04
RAB6C	51.71	1.81	4.58	1.08	0.44	1.89	0.75	0.85	2.32	0.0	0.0	0.35	0.0	0.0	0.29	0.0	0.0	2.05	0.73	1.25	3.23	3.63	4.54	1.66	5.19	3.53	4.35	2.07	0.85	10.96	1.75	1.91
RALGAPA1	728.11	159.9	156.59	52.82	275.28	89.51	94.67	68.07	129.69	120.1	138.1	134.3	120.1	134.3	55.1	112.77	101.54	152.28	297.17	194.36	193.01	99.43	212.78	567.1	332.14	660.68	211.31	532.74	633.73	356.05	229.72	281.09
RASA2	275.28	88.88	89.51	19.53	59.97	58.71	51.71	26.47	49.91	28.04	42.11	45.85	36.79	23.59	30.56	67.12	52.08	38.12	194.36	88.88	140.04	128.79	167.9	182.55	157.68	187.71	142.01	133.36	175.07	218.79	135.24	162.14
RASAL2	303.44	88.26	108.14	30.56	99.43	68.07	30.34	15.45	99.43	31.9	22.43	32.13	52.08	46.18	27.05	12.64	8.71	21.32	176.29	62.56	70.51	108.9	158.79	387.02	251.48	830.75	194.36	397.93	173.85	301.33	105.15	151.22
RBMS1	1175.27	497.0	660.68	157.68	146.03	166.73	197.09	61.25	60.82	126.12	145.02	27.64	171.45	88.88	25.91	256.78	260.38	180.02	1096.5	656.11	1159.07	1427.22	1870.53	1498.22	1096.5	1498.22	1277.29	1250.98	947.83	1008.9	1081.39	1159.07
RNF138	470.14	141.02	215.77	40.64	172.65	163.28	177.53	149.12	145.02	94.01	147.06	148.09	152.28	74.58	111.21	178.77	189.02	318.57	269.6	283.05	457.25	221.86	312.0	500.46	368.65	175.07	327.56	226.54	211.31	988.12	366.09	343.89
RNF38	723.08	212.78	312.0	176.29	133.36	170.25	165.57	84.63	170.25	80.57	74.06	136.19	127.89	102.25	80.57	100.83	84.63	138.1	341.51	187.71	271.48	229.72	376.41	902.89	825.0	500.46	587.13	591.22	353.59	497.0	236.21	320.8
RP11-529K1.3	143.01	4.9	5.59	0.0	49.56	0.0	22.43	82.29	14.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.99	0.0	61.25	106.63	133.36	88.88	84.63	123.5	209.84	70.51	0.0	63.89	161.02	54.72	75.11
RUNX1	1674.06	384.34	395.18	145.02	187.71	256.78	151.22	29.91	76.71	104.42	133.36	116.78	119.26	171.45	85.82	187.71	93.35	66.18	603.67	400.71	323.03	1551.09	934.76	518.15	480.04	1250.98	723.08	651.58	511.0	796.86	651.58	902.89
SEMA3D	125.24	2.16	13.42	0.72	3.66	5.02	5.68	1.95	0.87	1.91	14.14	0.35	1.33	1.48	0.0	7.34	10.08	3.2	32.13	19.11	39.79	31.67	117.6	199.85	77.25	253.23	54.72	99.43	59.55	141.02	37.85	68.07
SENP7	435.55	135.24	90.14	13.03	94.67	58.71	59.97	45.21	113.56	59.13	71.5	65.72	35.0	41.22	30.34	55.1	47.5	39.5	229.72	128.79	120.1	76.71	141.02	264.03	226.54	229.72	172.65	251.48	158.79	264.03	152.28	191.67
SETBP1	309.83	46.84	72.52	20.56	47.17	34.26	33.06	40.07	31.22	29.27	28.65	59.55	71.5	17.25	13.52	37.85	40.36	36.01	90.77	56.28	43.02	42.11	351.14	518.15	144.01	162.14	77.25	262.2	142.01	287.01	80.57	133.36
SLC35E2	262.2	49.21	43.63	11.82	26.1	20.71	24.81	25.91	11.91	16.39	6.16	48.52	8.92	3.06	47.17	32.13	13.52	98.04	118.43	20.26	30.12	129.69	112.77	212.78	164.42	96.68	183.82	204.07	106.63	138.1	40.93	102.25
SMIM10	189.02	78.34	166.73	25.35	51.35	128.79	55.49	15.45	7.4	48.52	29.06	9.06	50.63	29.7	5.87	25.17	21.16	13.22	125.24	33.06	138.1	96.68	224.97	169.07	353.59	158.79	150.17	77.25	73.54	167.9	171.45	171.45
SNIP1	264.03	94.01	91.41	93.35	102.97	82.87	76.71	96.01	64.8	58.71	43.02	135.24	93.35	78.34	76.17	129.69	90.77	77.79	116.78	102.25	141.02	133.36	124.37	144.01	178.77	169.07	157.68	212.78	211.31	161.02	95.34	138.1
SNN	785.88	921.88	872.1	366.09	208.38	206.94	242.88	126.12	109.66	150.17	129.69	189.02	105.89	191.67	204.07	165.57	77.79	209.84	647.07	341.51	674.59	293.07	316.37	497.0	429.54	674.59	356.05	500.46	674.59	1096.5	490.14	599.49
SP1	1331.57	529.06	432.53	275.28	248.0	228.13	226.54	220.32	277.2	183.82	167.9	305.55	204.07	189.02	144.01	229.72	197.09	309.83	551.56	325.29	339.14	669.92	518.15	1127.35	884.29	974.5	947.83	728.11	334.46	808.0	381.68	540.19
STAM2	599.49	154.42	151.22	39.5	161.02	127.0	115.97	101.54	138.1	80.57	104.42	112.77	101.54	84.63	106.63	127.89	123.5	114.36	273.37	323.03	309.83	397.93	318.57	429.54	441.64	316.37	444.72	309.83	170.25	426.57	275.28	229.72
STRN	348.71	96.01	100.13	42.11	50.27	71.5	69.03	42.41	58.3	37.32	43.63	47.5	61.25	33.54	40.07	61.25	46.5	87.03	143.01	134.3	137.14	144.01	176.29	353.59	199.85	186.4	190.34	187.71	161.02	307.69	117.6	123.5
SYNGAP1	346.29	90.77	195.72	60.82	46.5	46.18	29.48	9.27	27.64	21.78	29.48	39.79	38.4	17.9	11.73	23.42	17.9	31.67	190.34	67.59	82.29	325.29	323.03	529.06	273.37	218.79	307.69	234.57	170.25	341.51	155.5	371.22
SYNJ1	178.77	140.04	143.01	45.53	66.65	114.36	44.57	37.59	73.03	43.94	35.0	58.71	48.52	37.85	31.22	56.28	55.1	73.03	241.19	107.38	147.06	223.41	161.02	256.78	244.57	199.85	190.34	187.71	198.47	223.41	169.07	190.34
SZT2	346.29	190.34	153.34	176.29	194.36	201.25	127.0	117.6	108.14	172.65	87.65	258.57	123.5	159.9	183.82	159.9	136.19	96.01	346.29	120.94	129.69	283.05	197.09	336.79	334.46	454.09	236.21	454.09	460.44	325.29	197.09	361.04
TAF3	155.5	76.71	87.65	24.99	53.57	66.18	45.85	36.01	50.98	45.21	36.01	47.84	61.68	33.06	48.87	68.55	40.36	78.34	87.65	100.83	69.03	137.14	108.9	172.65	208.38	88.88	138.1	115.16	92.05	141.02	79.45	102.97
TCF4	1059.11	114.36	269.6	25.35	116.78	26.1	87.03	43.94	49.56	59.97	49.91	14.78	82.29	56.28	13.83	27.84	37.32	39.22	441.64	125.24	441.64	381.68	1242.34	1709.26	819.3	947.83	454.09	909.17	624.99	2367.9	366.09	521.76
TEPP	50.63	15.8	1.28	0.0	0.51	0.0	0.0	0.0	0.0	3.03	0.0	0.4	0.0	0.87	0.0	0.0	2.1	2.1	47.5	2.66	29.27	14.14	26.1	4.7	12.09	236.21	47.84	77.79	7.4	51.35	28.86	18.7
TET2	197.09	73.54	48.52	10.39	34.75	23.42	16.51	17.9	17.77	15.11	17.0	28.45	22.92	8.71	7.4	53.57	25.35	23.59	129.69	80.01	83.45	96.01	156.59	224.97	151.22	186.4	224.97	110.43	123.5	197.09	98.04	148.09
TNKS2	713.11	236.21	271.48	129.69	211.31	155.5	127.0	108.14	198.47	105.89	94.01	82.87	109.66	115.97	59.97	176.29	118.43	158.79	395.18	189.02	403.5	329.84	339.14	555.41	463.65	518.15	397.93	521.76	595.34	457.25	363.56	400.71
TRIOBP	1427.22	1407.55	988.12	1457.23	426.57	325.29	450.94	409.15	638.15	291.04	379.04	934.76	500.46	480.04	237.86	237.86	267.73	244.57	1059.11	718.08	909.17	679.29	1572.76	1073.91	1870.53	1304.15	1331.57	764.36	366.09	1487.87	1023.0	1340.84
TTBK2	172.65	60.82	62.56	11.04	29.91	17.9	20.86	13.72	31.0	14.24	22.92	25.35	18.97	11.55	9.93	38.67	35.0	36.79	77.79	49.56	43.02	63.0	71.0	197.09	109.66	138.1	90.77	77.25	115.16	82.29	54.33	69.03
TTC37	909.17	486.75	295.11	49.56	454.09	532.74	316.37	329.84	368.65	295.11	255.0	253.23	180.02	127.89	341.51	186.4	134.3	366.09	497.0	271.48	454.09	532.74	764.36	1096.5	529.06	830.75	454.09	708.18	791.35	454.09	444.72	417.77
TULP4	142.01	92.7	125.24	54.72	57.08	51.71	39.79	57.89	50.98	34.26	39.5	48.52	48.52	36.79	43.63	35.0	21.94	46.84	102.25	108.14	45.21	148.09	94.01	73.54	147.06	110.43	63.89	156.59	141.02	126.12	50.63	107.38
UTP14C	395.18	131.51	154.42	54.33	125.24	52.82	105.89	47.17	105.89	72.01	90.14	65.72	74.06	90.77	23.76	169.07	128.79	237.86	159.9	223.41	165.57	307.69	199.85	318.57	384.34	117.6	283.05	204.07	95.34	198.47	161.02	170.25
VWC2L	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.39	0.56	0.0	1.22	0.28	0.61	2.39	0.6	0.0	0.61	0.0	0.42
WDR1	3742.05	3443.31	4512.4	5751.61	2133.97	2400.97	3060.45	890.44	2434.5	1709.26	2485.67	1277.29	2384.37	1757.34	1572.76	1277.29	1191.69	2032.85	3349.13	1721.16	3690.52	5366.37	3614.55	2777.33	5076.84	6561.36	4328.55	3614.55	3257.52	6607.01	3982.99	4671.57
WDR6	3124.78	2434.5	1051.79	1769.57	1151.06	1551.09	698.41	785.88	1437.15	529.06	860.08	2018.8	599.49	872.1	1143.1	1208.34	780.44	1044.52	3060.45	830.75	878.17	2224.63	1467.37	2777.33	3146.52	1427.22	2591.27	2178.83	872.1	2451.44	1225.22	2287.2
WDR7	191.67	103.69	125.24	66.18	66.65	58.3	41.22	45.21	41.22	52.08	29.91	60.82	35.25	31.45	26.67	72.52	61.68	130.6	115.16	101.54	121.79	109.66	164.42	299.25	234.57	147.06	194.36	154.42	164.42	226.54	96.01	162.14
ZBTB1	743.43	327.56	320.8	78.89	209.84	178.77	128.79	139.07	141.02	124.37	139.07	153.34	177.53	101.54	82.29	189.02	256.78	113.56	473.41	241.19	438.59	551.56	629.35	813.63	808.0	376.41	555.41	493.56	432.53	473.41	447.82	476.71
ZBTB40	316.37	105.89	92.05	64.34	100.83	146.03	64.34	76.17	101.54	58.3	43.32	104.42	64.34	68.55	103.69	39.79	30.56	36.27	234.57	90.14	80.57	142.01	126.12	157.68	206.94	242.88	201.25	363.56	208.38	258.57	105.15	209.84
ZC3H7A	836.53	674.59	543.96	182.55	540.19	384.34	476.71	368.65	358.54	463.65	435.55	612.11	325.29	281.09	309.83	518.15	373.81	281.09	738.29	587.13	669.92	536.45	878.17	1159.07	753.83	934.76	688.78	743.43	1417.35	909.17	633.73	780.44
ZDHHC17	665.29	209.84	154.42	34.26	118.43	101.54	66.18	74.06	146.03	70.01	75.11	102.25	47.5	46.5	44.25	111.21	59.13	116.78	327.56	128.79	156.59	164.42	320.8	647.07	320.8	412.0	299.25	346.29	176.29	309.83	217.27	246.28
ZDHHC21	122.64	65.26	43.32	17.0	35.25	49.56	31.0	10.47	31.45	22.1	19.25	30.78	20.56	12.18	17.13	22.59	31.0	25.91	214.27	143.01	112.77	208.38	153.34	101.54	155.5	162.14	231.32	114.36	82.29	223.41	169.07	90.77
ZFYVE26	281.09	358.54	295.11	175.07	146.03	82.29	77.79	87.03	162.14	81.71	79.45	113.56	88.88	86.43	77.25	52.82	29.48	98.73	429.54	149.12	165.57	656.11	287.01	248.0	480.04	417.77	483.38	334.46	289.02	265.87	201.25	341.51
ZMYM4	718.08	204.07	191.67	53.19	164.42	236.21	123.5	132.44	100.83	108.14	94.67	128.79	146.03	104.42	157.68	150.17	82.87	142.01	264.03	273.37	224.97	414.87	320.8	656.11	518.15	353.59	334.46	848.22	543.96	466.88	299.25	314.17
ZNF33A	603.67	146.03	142.01	84.63	291.04	224.97	215.77	170.25	172.65	198.47	155.5	403.5	231.32	283.05	329.84	209.84	206.94	197.09	305.55	241.19	163.28	201.25	241.19	285.03	256.78	392.44	353.59	629.35	287.01	454.09	246.28	218.79
ZNF391	122.64	47.17	16.75	6.67	2.76	3.56	2.36	2.16	1.31	2.12	1.11	0.0	3.41	1.62	1.6	0.95	1.43	0.64	45.21	66.18	26.28	33.3	84.04	164.42	50.27	48.52	77.79	12.0	29.06	125.24	29.27	31.45
ZNF426	239.52	40.36	48.52	22.1	6.41	15.34	21.78	7.69	16.51	8.58	11.13	5.45	18.56	13.32	3.53	16.63	3.72	23.25	66.18	38.12	63.45	69.03	105.15	417.77	120.94	144.01	127.89	204.07	165.57	204.07	91.41	108.14
ZNF501	161.02	34.26	44.57	4.39	3.08	9.56	12.93	3.82	26.1	11.21	5.28	15.8	13.93	2.34	2.43	11.55	2.27	17.77	31.67	8.32	38.12	24.28	54.33	108.9	111.99	77.79	94.67	31.67	40.07	90.77	28.04	35.0
ZNF518B	189.02	88.26	72.52	36.01	16.63	5.82	10.08	6.46	5.5	10.08	10.31	2.01	16.27	10.96	3.76	8.32	14.78	35.0	71.0	96.68	88.26	133.36	78.34	218.79	244.57	80.57	214.27	87.03	52.45	323.03	80.57	104.42
ZNF678	114.36	22.1	26.1	8.0	7.63	31.22	27.44	6.78	42.71	14.03	6.01	22.59	17.51	23.76	27.64	22.75	9.85	33.54	39.79	37.32	57.89	71.5	71.0	117.6	75.11	54.33	89.51	47.84	32.59	128.79	50.98	33.78
ZNF782	83.45	25.72	14.24	10.71	25.91	21.47	17.9	36.01	32.59	31.9	11.64	35.0	10.79	28.86	17.51	21.78	19.82	22.75	25.91	29.48	18.97	33.3	15.68	33.78	52.45	29.48	62.56	39.79	17.51	68.55	26.28	37.05
ZNF852	85.82	34.02	22.1	12.09	31.9	35.0	21.78	21.63	42.41	13.42	17.38	15.45	10.47	32.59	25.72	9.41	12.45	38.12	39.79	44.25	26.47	23.08	48.52	72.52	69.03	37.05	93.35	37.85	25.72	59.55	34.02	53.95
ZNF879	114.36	36.01	30.34	8.13	7.75	13.93	9.93	3.0	18.16	7.17	5.68	17.13	13.22	4.24	0.78	8.19	2.14	31.67	43.94	16.51	38.95	38.12	29.06	69.03	104.42	36.53	68.07	14.89	16.75	85.82	29.7	32.36
ZSCAN23	66.18	5.36	3.66	0.35	1.08	0.0	0.53	1.03	4.94	0.0	0.0	1.62	0.0	0.0	0.0	2.48	1.43	0.0	10.96	14.45	3.38	81.14	42.41	38.4	41.52	50.27	57.49	18.43	7.11	50.27	4.31	21.47
