	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.Y3IK.2326.SM.4WWDT	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.MA.AA3Y.01A.11R.A38B.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.CN.4734.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07	GTEX.13OVI.1026.SM.5L3EM
PRRT1	20.11	98.04	122.64	253.23	84.63	205.5	65.72	96.68	202.66	325.29	176.29	171.45	138.1	239.52	110.43	90.14	98.73	147.06	186.4	101.54	127.0	228.13	91.41	128.79	96.68	450.94	198.47	177.53	129.69	31.22	100.13	124.37	236.21	13.72	22.43	67.59	111.21	170.25	125.24	185.11	44.25	55.1	202.66	106.63	17.13	31.0	72.01	17.64	19.25	0.0	0.53	33.3	46.18	647.07
PTCH1	67.12	60.39	126.12	65.26	139.07	239.52	134.3	89.51	185.11	262.2	150.17	112.77	187.71	190.34	148.09	142.01	167.9	119.26	241.19	172.65	145.02	173.85	60.82	104.42	92.7	204.07	387.02	299.25	211.31	72.01	121.79	79.45	414.87	46.84	115.16	100.83	66.18	59.97	220.32	559.28	17.38	27.25	185.11	211.31	27.64	17.64	57.89	25.91	33.78	0.0	0.29	36.01	9.56	718.08
RABL2A	63.89	128.79	242.88	123.5	140.04	414.87	224.97	120.1	500.46	429.54	246.28	193.01	283.05	563.18	241.19	206.94	244.57	231.32	256.78	204.07	149.12	493.56	181.28	228.13	131.51	603.67	480.04	318.57	332.14	142.01	176.29	149.12	460.44	121.79	104.42	125.24	144.01	223.41	329.84	295.11	105.15	50.98	156.59	130.6	43.32	34.02	42.11	39.22	105.89	0.0	0.13	232.94	35.76	283.05
RRAGB	119.26	429.54	406.31	312.0	395.18	540.19	400.71	414.87	583.07	480.04	457.25	423.61	423.61	603.67	303.44	397.93	624.99	463.65	507.46	575.03	343.89	733.19	341.51	339.14	289.02	476.71	521.76	316.37	395.18	291.04	209.84	226.54	669.92	217.27	154.42	339.14	251.48	332.14	480.04	511.0	140.04	107.38	336.79	264.03	69.03	102.25	56.68	79.45	85.22	0.0	0.61	334.46	209.84	1457.23
SALL2	1.55	77.79	226.54	59.55	99.43	351.14	63.45	40.07	435.55	518.15	191.67	137.14	265.87	450.94	86.43	65.72	141.02	115.97	232.94	81.14	76.71	780.44	124.37	262.2	43.94	1233.75	414.87	264.03	275.28	21.16	42.11	86.43	444.72	9.93	24.99	66.18	73.54	139.07	199.85	167.9	44.89	10.31	55.1	37.32	6.67	23.59	11.91	19.25	66.65	0.0	0.31	66.65	2.46	414.87
SCAF8	289.02	320.8	647.07	246.28	466.88	743.43	463.65	406.31	819.3	660.68	466.88	429.54	540.19	830.75	483.38	417.77	555.41	450.94	567.1	473.41	432.53	915.51	529.06	514.56	392.44	718.08	733.19	759.08	493.56	353.59	414.87	264.03	684.02	368.65	295.11	403.5	346.29	567.1	674.59	759.08	258.57	299.25	463.65	384.34	323.03	208.38	307.69	237.86	273.37	0.0	0.45	232.94	129.69	2520.38
SEMA3D	24.28	45.85	79.45	26.47	92.05	329.84	130.6	36.01	253.23	80.01	154.42	180.02	112.77	275.28	76.71	131.51	157.68	131.51	185.11	76.71	182.55	260.38	95.34	135.24	45.85	334.46	172.65	591.22	185.11	4.86	10.16	10.63	287.01	1.91	8.13	13.72	21.47	103.69	150.17	19.68	4.62	1.58	22.75	46.5	14.35	21.32	5.87	28.86	4.7	0.0	0.21	18.29	10.0	555.41
SENP7	69.52	113.56	287.01	92.05	195.72	387.02	309.83	126.12	500.46	356.05	256.78	249.73	256.78	480.04	209.84	211.31	348.71	265.87	334.46	281.09	187.71	603.67	271.48	277.2	185.11	571.05	353.59	339.14	275.28	170.25	182.55	163.28	358.54	92.05	169.07	205.5	172.65	155.5	242.88	591.22	65.26	48.18	221.86	171.45	69.03	37.05	33.78	111.21	36.53	0.0	0.4	92.7	40.07	603.67
SIN3A	325.29	351.14	633.73	285.03	555.41	1008.9	454.09	392.44	1023.0	954.43	642.59	555.41	775.05	1119.56	518.15	518.15	703.28	575.03	825.0	583.07	551.56	1143.1	708.18	591.22	358.54	1350.18	785.88	884.29	780.44	305.55	438.59	295.11	947.83	486.75	303.44	551.56	587.13	591.22	866.07	743.43	273.37	423.61	463.65	327.56	441.64	332.14	607.87	463.65	684.02	309.83	63.89	420.68	80.57	1286.18
SLC25A21-AS1	20.71	50.98	87.03	78.89	78.89	119.26	37.32	68.07	85.82	129.69	82.87	76.71	115.16	142.01	39.79	67.12	120.1	44.89	73.54	93.35	39.22	220.32	94.67	54.33	25.72	157.68	116.78	101.54	55.49	28.65	41.52	58.71	262.2	9.2	26.47	23.42	66.18	52.08	21.94	102.25	9.48	2.46	27.05	30.34	11.73	0.0	4.5	17.77	12.64	0.0	0.16	23.42	7.88	239.52
SLC25A27	23.76	106.63	295.11	130.6	237.86	583.07	384.34	208.38	567.1	723.08	363.56	371.22	301.33	624.99	202.66	251.48	409.15	392.44	392.44	447.82	253.23	1183.45	232.94	309.83	186.4	836.53	551.56	400.71	684.02	178.77	121.79	186.4	808.0	9.2	84.63	180.02	269.6	121.79	426.57	423.61	63.45	63.89	218.79	145.02	27.84	1.71	18.56	31.9	15.8	0.0	1.06	87.03	6.06	1119.56
SLC4A5	5.68	5.41	25.72	4.58	10.39	39.22	17.51	12.09	48.52	44.57	17.64	11.38	43.02	77.25	26.47	8.99	20.86	36.53	21.94	15.22	12.36	34.02	12.09	20.56	8.65	47.84	51.35	25.91	36.27	5.02	18.56	9.41	40.36	6.21	10.79	4.54	11.82	27.05	24.28	31.22	4.98	7.06	22.92	20.11	7.28	4.17	6.89	1.97	5.5	0.0	0.27	18.43	5.28	107.38
SPATA6	3.66	119.26	175.07	86.43	126.12	273.37	148.09	103.69	251.48	285.03	161.02	170.25	231.32	318.57	135.24	126.12	229.72	189.02	258.57	223.41	116.78	348.71	234.57	86.43	95.34	334.46	246.28	273.37	152.28	72.01	79.45	98.73	291.04	55.1	55.1	89.51	66.18	145.02	297.17	178.77	55.49	12.64	140.04	102.25	15.68	23.25	4.86	3.5	22.1	0.0	0.37	78.34	5.45	660.68
SUN1	1250.98	1498.22	2018.8	1417.35	1685.71	2664.15	2351.53	1191.69	3212.66	2400.97	2178.83	2104.58	1883.54	2720.15	2777.33	2193.99	2193.99	2664.15	2537.92	2417.67	1923.14	2796.65	1745.2	2287.2	1378.57	2075.59	2502.97	2520.38	2193.99	1104.13	1685.71	1250.98	2018.8	1250.98	1151.06	1733.13	1662.49	2591.27	2485.67	4419.52	1322.37	1417.35	2287.2	1639.59	866.07	1340.84	974.5	967.76	1286.18	1359.57	215.77	836.53	532.74	3820.7
TMEM80	334.46	420.68	665.29	941.27	603.67	638.15	567.1	486.75	616.37	928.3	616.37	521.76	633.73	775.05	583.07	579.04	567.1	698.41	633.73	571.05	457.25	802.41	612.11	497.0	775.05	928.3	884.29	587.13	842.36	309.83	591.22	426.57	1127.35	94.67	277.2	343.89	447.82	412.0	473.41	738.29	336.79	281.09	414.87	466.88	96.68	256.78	165.57	299.25	277.2	0.0	0.42	323.03	158.79	1447.15
TSHZ1	81.14	224.97	329.84	226.54	381.68	563.18	297.17	251.48	612.11	466.88	417.77	320.8	450.94	540.19	387.02	323.03	361.04	387.02	420.68	297.17	295.11	420.68	248.0	633.73	234.57	674.59	551.56	540.19	447.82	98.73	208.38	305.55	450.94	395.18	303.44	182.55	435.55	967.76	381.68	647.07	90.14	84.63	293.07	218.79	104.42	79.45	78.34	96.68	101.54	104.42	78.34	141.02	19.53	1295.13
VASH2	3.63	66.65	38.67	10.47	24.99	67.12	61.68	26.86	68.07	55.89	41.81	63.45	37.59	102.25	120.1	27.44	41.81	36.27	93.35	43.32	20.41	96.68	64.34	57.08	27.64	236.21	84.04	54.72	16.27	8.85	19.39	50.98	62.56	5.06	3.26	8.92	27.64	21.32	50.98	29.91	8.45	6.57	21.01	22.75	13.83	16.88	3.0	2.89	4.24	0.0	0.28	14.24	2.43	339.14
WDR19	82.29	457.25	660.68	400.71	599.49	738.29	599.49	507.46	688.78	718.08	599.49	674.59	693.58	703.28	514.56	612.11	1001.93	743.43	753.83	830.75	620.67	961.07	599.49	444.72	316.37	836.53	713.11	603.67	642.59	353.59	543.96	454.09	785.88	555.41	320.8	624.99	373.81	567.1	612.11	334.46	186.4	116.78	320.8	281.09	70.51	52.45	39.5	76.17	59.97	0.0	0.74	312.0	56.68	1519.15
WRN	85.22	98.73	224.97	61.25	161.02	249.73	201.25	132.44	297.17	253.23	169.07	145.02	176.29	265.87	182.55	149.12	183.82	181.28	289.02	165.57	164.42	265.87	146.03	108.14	150.17	176.29	186.4	231.32	334.46	82.29	135.24	92.7	260.38	281.09	112.77	201.25	130.6	176.29	232.94	220.32	78.34	80.57	123.5	120.1	146.03	64.8	97.36	83.45	98.73	0.0	0.43	73.03	33.3	595.34
XPC	143.01	395.18	780.44	406.31	441.64	830.75	507.46	351.14	1088.92	974.5	713.11	507.46	718.08	1286.18	595.34	532.74	665.29	688.78	769.69	638.15	529.06	1119.56	563.18	543.96	389.72	954.43	921.88	884.29	1015.93	281.09	395.18	320.8	1023.0	358.54	314.17	463.65	583.07	669.92	728.11	684.02	312.0	236.21	454.09	336.79	262.2	189.02	167.9	133.36	182.55	0.0	0.65	231.32	60.82	1044.52
ZC3H12B	0.61	5.54	14.67	5.11	6.52	24.99	14.24	5.63	25.54	32.59	16.03	15.11	22.1	31.9	9.2	8.92	19.82	14.03	19.25	11.55	8.92	34.51	15.68	14.14	5.32	25.35	24.46	15.91	20.56	2.41	9.13	3.56	21.63	2.76	2.29	3.89	12.36	10.71	20.26	18.03	1.77	0.82	6.31	5.92	1.1	2.07	0.62	1.01	1.28	0.0	0.14	13.12	0.47	26.28
ZFP14	19.97	59.13	108.9	37.59	51.35	127.0	80.01	44.57	167.9	146.03	92.7	90.14	106.63	157.68	73.54	51.35	94.67	93.35	127.0	71.0	53.95	194.36	80.57	125.24	84.63	171.45	144.01	130.6	100.83	43.02	74.06	68.07	156.59	15.8	29.06	53.19	77.25	90.14	75.11	128.79	12.18	9.13	27.64	35.0	4.62	11.04	10.47	10.47	7.57	0.0	0.24	68.55	1.33	125.24
ZMAT1	2.14	80.01	295.11	96.01	157.68	409.15	237.86	115.16	454.09	314.17	237.86	232.94	287.01	500.46	180.02	166.73	320.8	281.09	220.32	332.14	191.67	1015.93	397.93	363.56	120.1	684.02	417.77	307.69	271.48	97.36	122.64	92.7	642.59	55.89	120.94	120.94	145.02	249.73	189.02	314.17	8.06	6.26	113.56	94.67	3.59	4.28	2.92	4.74	7.94	0.0	0.65	125.24	1.58	571.05
ZNF10	39.79	69.52	162.14	38.4	100.13	269.6	118.43	71.0	297.17	226.54	142.01	100.13	127.89	332.14	102.97	92.05	119.26	146.03	163.28	96.01	122.64	426.57	144.01	113.56	95.34	387.02	265.87	201.25	185.11	72.52	72.52	57.49	249.73	49.21	56.68	87.03	86.43	128.79	175.07	158.79	71.5	55.89	111.99	108.9	7.28	23.08	5.63	20.71	39.79	0.0	0.25	64.8	15.68	218.79
ZNF136	81.71	123.5	209.84	78.89	94.01	281.09	140.04	103.69	289.02	224.97	170.25	121.79	178.77	334.46	155.5	117.6	199.85	153.34	205.5	180.02	102.97	392.44	130.6	141.02	106.63	299.25	318.57	295.11	202.66	67.12	129.69	87.03	267.73	72.01	75.11	94.01	100.83	187.71	228.13	253.23	48.87	55.49	135.24	75.11	55.89	44.25	49.56	21.78	26.28	0.0	0.32	134.3	11.47	293.07
ZNF155	2.76	42.41	106.63	77.79	83.45	165.57	139.07	82.29	220.32	190.34	138.1	120.94	111.99	159.9	112.77	126.12	105.89	137.14	141.02	117.6	125.24	379.04	86.43	85.22	78.34	309.83	67.12	187.71	167.9	49.91	110.43	30.56	269.6	77.79	96.68	198.47	121.79	119.26	100.13	180.02	36.01	23.25	63.89	43.32	38.4	47.17	32.13	34.26	61.25	0.0	0.36	52.08	6.94	309.83
ZNF302	92.05	403.5	571.05	265.87	432.53	698.41	536.45	438.59	775.05	878.17	595.34	612.11	642.59	713.11	420.68	441.64	616.37	665.29	693.58	591.22	389.72	1001.93	813.63	551.56	525.39	1111.82	921.88	595.34	775.05	325.29	507.46	414.87	872.1	199.85	420.68	483.38	423.61	511.0	490.14	669.92	130.6	113.56	262.2	269.6	42.41	44.25	69.03	73.03	63.89	113.56	1721.16	264.03	59.55	1340.84
ZNF333	35.25	135.24	234.57	96.01	154.42	334.46	220.32	146.03	395.18	366.09	229.72	189.02	182.55	400.71	258.57	204.07	253.23	204.07	204.07	202.66	224.97	297.17	145.02	117.6	106.63	217.27	275.28	214.27	249.73	103.69	206.94	138.1	323.03	171.45	66.65	163.28	140.04	277.2	206.94	406.31	56.68	48.52	191.67	138.1	52.82	59.13	26.67	22.43	52.82	0.0	0.77	102.97	43.02	599.49
ZNF354C	19.25	57.08	90.77	38.4	63.89	122.64	106.63	59.97	153.34	140.04	90.14	98.73	97.36	133.36	71.0	73.54	121.79	96.01	125.24	88.88	73.03	242.88	94.01	90.77	69.52	260.38	159.9	87.65	127.0	46.5	53.57	33.3	175.07	29.7	48.18	63.45	38.95	75.64	110.43	209.84	16.75	14.67	41.22	22.59	7.82	12.0	3.47	4.9	25.54	0.0	0.38	39.79	1.51	334.46
ZNF420	49.91	164.42	262.2	142.01	201.25	267.73	205.5	123.5	332.14	305.55	209.84	180.02	206.94	287.01	151.22	144.01	220.32	195.72	291.04	136.19	162.14	435.55	165.57	211.31	119.26	346.29	237.86	305.55	301.33	94.67	163.28	131.51	248.0	70.51	69.52	206.94	155.5	244.57	191.67	223.41	47.84	39.5	107.38	91.41	16.51	43.02	9.63	8.19	18.16	0.0	0.3	130.6	11.04	450.94
ZNF554	8.71	47.5	98.04	48.18	63.45	118.43	59.55	53.57	143.01	127.0	96.68	75.64	100.13	133.36	50.27	66.65	84.04	81.14	93.35	55.89	71.5	161.02	85.82	50.98	57.49	155.5	126.12	115.16	89.51	49.56	58.3	42.41	121.79	37.05	39.79	82.87	66.65	70.01	89.51	104.42	42.11	37.59	45.85	38.95	17.51	10.96	24.46	8.13	48.52	0.0	0.01	43.02	12.45	185.11
ZNF566	47.84	143.01	172.65	96.01	151.22	201.25	154.42	120.1	175.07	173.85	159.9	154.42	126.12	173.85	133.36	111.21	176.29	155.5	187.71	121.79	119.26	262.2	137.14	181.28	111.21	163.28	206.94	138.1	114.36	81.14	116.78	66.18	170.25	67.12	73.03	99.43	108.14	115.16	155.5	190.34	29.7	29.48	75.11	127.0	11.13	18.84	18.29	23.08	36.01	0.0	0.35	118.43	12.55	414.87
ZNF568	3.35	99.43	170.25	80.01	111.99	228.13	115.97	105.89	255.0	241.19	144.01	111.99	149.12	256.78	113.56	109.66	166.73	164.42	208.38	120.94	90.77	346.29	169.07	164.42	73.03	312.0	291.04	214.27	177.53	57.89	173.85	60.82	182.55	52.82	55.1	77.25	122.64	220.32	152.28	256.78	13.12	9.13	94.01	53.19	16.75	20.41	4.24	3.72	11.91	0.0	0.45	79.45	4.98	327.56
ZNF585B	46.5	72.52	177.53	84.63	139.07	239.52	180.02	82.29	260.38	256.78	150.17	130.6	149.12	212.78	148.09	113.56	134.3	172.65	173.85	140.04	123.5	295.11	158.79	149.12	127.0	366.09	275.28	255.0	223.41	73.54	164.42	115.97	249.73	41.81	76.71	135.24	131.51	147.06	137.14	158.79	21.63	57.49	91.41	78.89	16.88	64.34	10.88	33.06	12.0	0.0	0.35	94.01	4.78	381.68
ZNF606	53.57	67.59	181.28	64.8	68.55	220.32	84.63	91.41	264.03	256.78	146.03	101.54	151.22	256.78	102.25	88.88	129.69	137.14	157.68	104.42	119.26	397.93	110.43	81.14	58.3	327.56	191.67	175.07	198.47	56.68	105.89	76.71	271.48	37.59	66.65	70.51	73.54	141.02	120.94	158.79	53.95	43.94	61.25	90.14	12.45	29.48	9.7	26.67	50.98	0.0	0.44	57.49	3.76	507.46
ZNF607	44.25	60.39	100.13	36.01	48.52	149.12	61.25	40.36	125.24	115.97	88.88	81.71	90.77	129.69	51.35	43.32	109.66	86.43	119.26	61.68	58.3	231.32	75.11	98.73	39.79	199.85	152.28	85.82	102.25	35.25	84.63	45.53	147.06	38.95	31.67	54.33	86.43	95.34	74.06	73.54	4.54	22.59	33.54	40.36	11.04	16.51	3.03	10.47	4.62	0.0	0.4	35.76	2.34	303.44
ZNF610	1.85	33.78	97.36	30.34	43.63	142.01	53.57	29.06	119.26	119.26	61.25	55.1	87.03	100.83	26.1	47.5	79.45	65.26	89.51	40.64	43.32	185.11	55.1	81.71	29.7	231.32	221.86	117.6	81.14	29.7	40.36	34.02	143.01	16.88	25.35	34.75	53.19	73.03	66.65	96.01	3.69	2.51	17.77	15.11	6.46	5.45	3.38	2.48	3.23	0.0	0.21	50.27	1.89	144.01
ZNF662	4.86	65.72	133.36	74.06	65.26	175.07	114.36	79.45	269.6	206.94	139.07	107.38	113.56	260.38	98.73	80.57	115.16	111.99	104.42	131.51	88.88	400.71	108.9	107.38	25.91	802.41	323.03	98.73	143.01	37.85	50.98	47.84	358.54	23.08	37.05	56.28	44.57	131.51	107.38	215.77	3.47	17.0	52.45	59.13	4.1	5.23	3.03	20.26	12.18	0.0	0.53	9.34	0.96	279.14
ZNF667	0.64	40.36	100.83	33.78	33.06	156.59	44.57	32.59	180.02	185.11	97.36	55.1	71.0	181.28	49.21	34.75	72.52	60.39	117.6	50.27	46.5	507.46	65.26	85.22	19.39	409.15	226.54	108.9	199.85	20.41	37.85	38.4	303.44	5.06	15.34	21.32	33.54	57.49	78.34	57.89	2.89	1.91	16.51	21.47	3.44	10.55	3.29	0.67	3.92	0.0	0.48	6.46	1.31	64.8
ZNF766	170.25	237.86	363.56	152.28	197.09	429.54	236.21	223.41	384.34	379.04	341.51	255.0	301.33	403.5	242.88	239.52	265.87	291.04	366.09	241.19	185.11	540.19	283.05	231.32	198.47	500.46	414.87	400.71	339.14	146.03	176.29	163.28	384.34	100.13	127.89	193.01	180.02	293.07	271.48	409.15	98.04	112.77	115.97	90.14	98.73	93.35	232.94	92.05	124.37	0.0	0.41	194.36	45.21	457.25
ZNF829	0.93	24.28	53.95	15.8	29.06	82.29	42.11	27.64	81.14	75.64	44.89	38.12	46.5	86.43	32.82	28.86	48.18	39.22	53.19	34.26	23.59	134.3	41.81	56.68	33.54	154.42	98.73	84.63	37.59	11.04	36.01	33.3	102.25	9.78	20.11	14.89	21.78	51.35	46.84	54.72	2.94	2.05	20.11	26.86	6.84	5.11	1.27	2.32	3.32	0.0	0.22	10.31	1.89	221.86
ZXDA	14.78	51.71	77.79	44.25	53.57	103.69	78.34	37.05	120.1	95.34	74.06	74.06	83.45	104.42	65.72	70.51	73.54	66.18	101.54	74.58	63.89	140.04	56.68	78.89	42.11	109.66	94.67	98.73	71.0	29.06	54.33	52.82	97.36	20.86	33.78	42.41	37.05	87.03	68.07	116.78	15.0	13.52	35.25	25.35	32.13	12.27	26.67	15.91	21.78	0.0	0.02	41.22	6.73	104.42
ZXDB	57.89	79.45	162.14	76.71	110.43	183.82	122.64	71.5	202.66	153.34	126.12	111.99	135.24	208.38	113.56	86.43	142.01	122.64	177.53	116.78	98.73	327.56	178.77	131.51	81.71	215.77	167.9	242.88	211.31	53.95	59.13	63.45	197.09	60.82	57.49	62.12	76.17	101.54	158.79	102.25	37.59	38.95	93.35	78.89	61.68	56.68	58.71	51.35	50.98	0.0	0.38	64.34	27.64	244.57
