	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.VS.A8EH.01A.11R.A36F.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.67.3771.01A.01R.0946.07	TCGA.55.A4DF.01A.11R.A24H.07	TCGA.05.4384.01A.01R.1755.07	TCGA.05.4422.01A.01R.1206.07	TCGA.86.8358.01A.11R.2326.07	TCGA.55.7995.01A.11R.2187.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.145MF.0726.SM.5Q5BT	TCGA.22.5485.01A.01R.1635.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.46.3768.01A.01R.0980.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.33.6738.01A.11R.1949.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.22.5473.01A.01R.1635.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	GTEX.11DXX.1326.SM.5GIDZ	TCGA.BJ.A28X.11A.11R.A22L.07
PLXNC1	137.14	155.5	14.35	28.86	10.08	58.71	13.22	33.06	31.9	78.89	17.64	6.73	32.59	155.5	24.28	271.48	65.26	47.5	79.45	384.34	208.38	169.07	211.31	181.28	228.13	255.0	67.59	256.78	228.13	98.04	109.66	57.08	101.54	144.01	95.34	115.16	15.91	36.53	101.54	42.41	125.24	66.65	13.22	281.09	281.09	102.25	231.32
PPP1R16B	10.71	73.54	8.32	16.51	5.5	8.13	7.22	7.46	11.21	13.52	6.01	4.17	8.85	221.86	28.65	94.01	34.51	13.32	50.63	52.82	84.63	114.36	63.89	96.68	70.51	209.84	29.91	134.3	197.09	214.27	232.94	17.9	16.03	34.26	22.43	58.71	3.08	43.94	16.03	17.51	27.44	24.99	22.75	532.74	417.77	256.78	341.51
PRRT2	44.89	49.56	5.15	8.78	18.16	10.63	9.27	33.3	16.51	6.57	3.69	1.23	16.88	246.28	14.24	96.01	51.71	30.34	45.53	4.94	51.35	162.14	106.63	65.72	150.17	214.27	24.99	58.71	29.27	22.75	72.52	4.17	13.52	14.89	10.39	13.03	8.13	22.92	13.52	4.17	13.03	3.79	0.67	98.73	220.32	84.04	146.03
PTAR1	132.44	329.84	79.45	156.59	183.82	104.42	94.67	72.01	155.5	177.53	78.34	84.63	157.68	409.15	148.09	148.09	217.27	173.85	473.41	543.96	361.04	327.56	285.03	241.19	314.17	229.72	389.72	125.24	139.07	236.21	387.02	195.72	279.14	189.02	224.97	206.94	165.57	70.01	279.14	172.65	120.1	115.16	63.89	384.34	532.74	170.25	293.07
PTGDR	0.71	7.63	0.31	0.71	1.3	1.81	1.58	1.25	2.18	5.41	0.88	1.58	16.03	93.35	3.63	22.1	4.28	4.28	4.94	3.63	6.11	12.09	2.66	21.32	16.15	27.05	3.86	42.41	3.41	17.64	11.55	2.41	1.68	14.56	1.3	1.33	0.95	3.23	1.68	2.05	5.54	4.46	0.0	38.67	31.67	14.24	72.01
PYHIN1	15.8	165.57	1.81	7.57	3.56	13.12	0.96	5.28	8.25	4.82	1.87	0.84	2.07	514.56	10.79	116.78	30.56	4.54	23.25	51.35	67.59	70.51	29.91	101.54	36.79	181.28	18.7	116.78	31.0	58.71	82.29	5.11	33.54	35.25	11.64	88.26	1.99	15.34	33.54	11.55	25.91	21.01	3.99	381.68	305.55	133.36	248.0
RASAL3	66.65	231.32	16.75	28.24	14.89	49.21	13.93	22.75	49.56	22.92	19.11	7.06	33.06	1350.18	40.64	395.18	94.01	37.85	81.14	148.09	151.22	318.57	140.04	363.56	156.59	493.56	49.91	551.56	189.02	73.54	95.34	47.84	51.71	88.88	35.5	129.69	16.15	76.17	51.71	48.52	87.03	52.08	16.39	647.07	1143.1	571.05	1119.56
RASSF2	75.11	165.57	91.41	26.67	15.0	46.84	12.74	30.78	35.25	46.5	10.0	4.5	26.67	575.03	21.16	289.02	163.28	16.27	120.1	140.04	163.28	198.47	201.25	463.65	123.5	353.59	102.97	409.15	248.0	208.38	343.89	59.55	52.08	107.38	218.79	115.16	18.43	262.2	52.08	36.79	100.13	69.03	63.0	514.56	775.05	262.2	563.18
RBM33	305.55	363.56	285.03	275.28	466.88	153.34	316.37	139.07	260.38	223.41	194.36	136.19	379.04	1135.2	237.86	476.71	336.79	211.31	277.2	684.02	314.17	825.0	420.68	500.46	651.58	780.44	366.09	285.03	392.44	432.53	320.8	327.56	171.45	381.68	283.05	336.79	450.94	329.84	171.45	237.86	348.71	267.73	239.52	665.29	1051.79	423.61	633.73
RCSD1	63.45	195.72	37.32	38.12	8.51	35.25	10.16	38.12	42.11	34.51	14.14	7.46	20.86	1044.52	52.45	221.86	87.03	44.89	108.9	166.73	223.41	148.09	236.21	249.73	199.85	318.57	108.9	1037.29	507.46	813.63	47.17	49.21	70.51	145.02	68.07	171.45	14.24	67.12	70.51	46.84	80.57	42.71	39.79	463.65	842.36	579.04	759.08
RNF166	172.65	460.44	204.07	155.5	205.5	275.28	148.09	202.66	248.0	195.72	208.38	74.06	381.68	1605.83	111.21	769.69	194.36	339.14	423.61	417.77	314.17	1015.93	376.41	638.15	575.03	723.08	361.04	713.11	981.29	543.96	490.14	480.04	332.14	301.33	371.22	392.44	265.87	366.09	332.14	409.15	303.44	346.29	74.06	988.12	1135.2	629.35	802.41
RP11-89K11.1	8.32	11.55	1.53	14.78	8.06	14.67	7.22	11.47	11.38	2.68	0.0	13.22	15.8	314.17	67.59	26.28	7.94	23.42	15.56	26.47	109.66	84.63	10.96	23.25	83.45	40.36	6.21	37.05	100.13	22.43	33.3	9.63	22.26	13.52	2.73	35.25	2.78	29.06	22.26	0.0	14.45	17.64	3.79	68.07	65.72	25.54	181.28
RUNX1T1	19.25	16.39	1.22	5.19	6.78	9.93	1.3	7.75	3.86	9.13	4.54	1.35	11.55	81.71	2.76	18.29	12.45	7.51	18.16	22.59	22.75	26.67	53.19	13.72	78.34	25.17	15.8	153.34	28.04	54.33	74.58	12.36	5.15	21.94	10.08	8.99	3.0	10.96	5.15	3.0	16.03	6.16	2.81	172.65	305.55	35.5	111.99
SCIMP	17.9	100.13	2.73	11.04	7.11	16.75	4.13	24.11	13.62	10.88	0.48	0.48	4.54	356.05	29.27	127.89	38.12	14.89	57.89	130.6	149.12	140.04	81.71	110.43	64.8	218.79	43.94	583.07	796.86	842.36	301.33	61.68	46.5	55.1	41.52	111.21	5.92	18.56	46.5	21.01	66.65	20.71	3.92	269.6	473.41	307.69	218.79
SCML4	2.78	26.1	1.2	3.11	1.95	5.73	0.33	0.95	3.92	2.66	0.82	0.0	2.36	163.28	3.69	54.72	7.63	1.23	8.45	36.53	26.28	29.91	20.11	69.03	29.48	55.89	15.22	74.58	28.04	43.63	37.85	2.86	6.31	10.96	7.46	24.81	1.07	17.25	6.31	2.51	14.78	5.54	0.0	156.59	420.68	149.12	165.57
SEC31B	75.64	111.99	13.93	127.0	38.4	21.32	10.24	43.94	78.34	8.85	18.03	6.78	29.27	599.49	24.63	163.28	37.05	79.45	45.21	52.45	66.18	117.6	186.4	281.09	115.97	152.28	20.41	104.42	131.51	78.89	57.89	14.67	25.17	57.89	16.27	22.26	28.04	18.16	25.17	6.57	44.57	17.51	6.16	260.38	329.84	111.99	463.65
SEPT6	275.28	493.56	100.83	209.84	77.79	525.39	64.8	269.6	159.9	132.44	90.77	178.77	99.43	1388.16	392.44	423.61	303.44	159.9	293.07	373.81	500.46	693.58	529.06	595.34	1183.45	988.12	368.65	587.13	447.82	435.55	830.75	206.94	279.14	343.89	209.84	571.05	82.29	567.1	279.14	264.03	271.48	293.07	67.59	1498.22	2758.13	1417.35	1540.37
SETDB2	53.57	151.22	25.54	54.72	60.82	65.26	50.27	77.25	47.5	66.65	28.24	27.05	89.51	226.54	102.97	119.26	69.03	49.91	123.5	182.55	144.01	125.24	147.06	119.26	116.78	78.89	80.01	134.3	187.71	217.27	110.43	46.5	97.36	70.01	100.83	127.89	71.0	55.49	97.36	49.56	84.63	55.89	69.52	226.54	273.37	87.65	229.72
SFMBT2	33.78	73.03	140.04	42.71	36.01	27.25	20.41	11.55	9.78	18.16	11.13	2.78	47.5	211.31	9.63	85.82	90.77	53.19	27.05	135.24	66.65	134.3	123.5	103.69	231.32	112.77	162.14	25.17	59.97	81.71	260.38	81.71	14.03	47.84	12.36	23.08	5.28	42.11	14.03	9.7	26.47	20.26	1.93	193.01	199.85	48.52	173.85
SLAMF6	12.45	121.79	2.41	7.22	0.67	10.24	1.6	8.06	10.24	9.63	3.82	0.84	4.24	638.15	6.11	151.22	40.36	26.67	40.64	73.03	155.5	137.14	64.34	152.28	54.33	186.4	39.5	231.32	120.94	202.66	57.08	15.0	53.57	111.21	31.45	86.43	5.82	41.81	53.57	22.75	51.71	32.59	4.82	486.75	629.35	287.01	307.69
SLC25A45	46.18	85.82	11.38	38.67	16.15	41.81	37.85	61.25	111.21	31.22	25.91	9.78	71.5	612.11	156.59	134.3	97.36	126.12	100.13	214.27	214.27	134.3	249.73	244.57	217.27	228.13	96.68	234.57	316.37	483.38	195.72	112.77	81.71	112.77	46.5	58.3	71.5	102.97	81.71	67.12	63.45	69.52	23.76	197.09	341.51	173.85	688.78
SLC2A6	49.91	88.26	1529.73	19.68	48.87	11.64	23.25	81.71	35.76	92.05	74.06	38.95	90.14	180.02	79.45	232.94	76.71	56.28	34.51	98.04	172.65	236.21	87.03	90.14	76.17	327.56	138.1	232.94	183.82	107.38	177.53	62.56	50.27	144.01	52.45	119.26	27.25	136.19	50.27	62.12	80.01	120.94	5.82	115.97	366.09	181.28	180.02
SOWAHD	9.63	27.05	10.96	4.82	3.56	12.27	4.74	4.98	25.17	10.39	2.92	6.36	8.51	65.26	6.21	20.86	9.56	0.78	12.74	14.89	25.54	28.86	28.86	41.81	19.25	63.45	9.56	66.18	420.68	100.13	70.01	18.29	10.88	7.82	15.22	26.47	6.41	13.52	10.88	12.83	15.68	7.94	0.0	50.63	126.12	42.11	36.53
STARD9	13.22	33.54	7.51	9.06	27.64	9.41	7.94	10.0	15.22	11.13	11.21	10.16	18.29	332.14	20.26	24.99	18.97	7.06	13.52	31.0	25.35	73.54	67.59	41.81	69.52	48.18	10.71	175.07	74.58	84.63	70.51	6.67	2.23	10.0	4.17	4.7	3.86	6.06	2.23	4.66	9.34	5.73	13.03	115.97	152.28	58.71	122.64
STX16-NPEPL1	52.08	57.49	104.42	14.03	32.59	16.75	17.51	40.64	23.08	4.39	3.59	0.0	15.11	363.56	27.64	81.14	48.87	63.0	42.71	37.85	17.13	100.13	85.22	231.32	100.13	104.42	35.25	11.47	53.57	55.89	88.88	12.93	8.65	33.06	2.39	4.21	4.74	3.69	8.65	5.87	37.85	3.72	1.57	144.01	229.72	49.91	384.34
TAGAP	41.52	119.26	7.4	13.42	9.63	12.83	26.28	16.39	12.74	21.63	10.47	3.11	4.46	551.56	11.38	87.03	45.21	29.06	49.21	127.0	92.05	165.57	103.69	181.28	74.06	211.31	37.05	242.88	127.0	353.59	318.57	41.22	57.49	87.65	33.54	74.06	6.31	37.32	57.49	25.35	90.77	48.52	3.17	336.79	684.02	423.61	444.72
TBC1D10C	62.56	358.54	19.11	24.46	12.0	52.08	15.11	45.53	52.45	20.56	20.71	2.43	19.53	1369.04	28.65	373.81	76.71	74.58	108.14	264.03	195.72	314.17	153.34	457.25	129.69	521.76	66.18	1127.35	1651.0	854.13	403.5	52.08	115.16	126.12	45.85	249.73	11.47	80.57	115.16	57.08	128.79	82.87	14.14	743.43	1295.13	669.92	1378.57
TRIM61	5.82	2.43	1.79	1.38	2.25	0.91	1.89	1.55	0.0	1.62	1.3	0.36	1.53	7.94	1.06	8.71	2.97	4.24	7.94	7.34	8.13	6.89	15.0	5.32	4.35	6.94	2.66	31.0	22.26	15.56	5.96	2.94	3.99	3.14	3.89	1.89	1.87	3.86	3.99	1.87	8.71	7.46	0.0	11.38	16.15	8.58	40.07
VASH1	63.0	187.71	59.55	50.63	31.45	59.97	24.46	95.34	69.52	74.06	37.05	12.64	111.99	2104.58	46.84	291.04	131.51	25.72	164.42	140.04	127.0	303.44	303.44	176.29	226.54	403.5	91.41	343.89	603.67	599.49	157.68	114.36	41.22	83.45	70.01	84.63	29.27	69.03	41.22	30.34	87.65	81.14	26.47	248.0	185.11	105.15	392.44
VPS13C	454.09	447.82	157.68	223.41	244.57	205.5	131.51	231.32	303.44	181.28	98.04	167.9	170.25	1191.69	185.11	698.41	262.2	679.29	483.38	1015.93	620.67	708.18	607.87	571.05	518.15	599.49	647.07	518.15	665.29	603.67	1417.35	246.28	163.28	299.25	194.36	206.94	228.13	242.88	163.28	105.89	291.04	156.59	62.12	1286.18	1340.84	624.99	896.64
ZAP70	30.34	178.77	7.22	20.41	12.36	30.78	8.85	43.63	46.84	12.09	19.25	3.11	14.03	1936.53	22.26	423.61	96.01	17.9	63.0	191.67	297.17	351.14	108.9	397.93	156.59	497.0	46.5	348.71	96.01	121.79	202.66	20.26	68.55	98.04	27.44	163.28	8.71	63.0	68.55	27.64	87.65	55.49	6.94	693.58	1572.76	363.56	1277.29
ZNF154	9.34	16.39	6.57	5.23	4.24	6.36	1.62	6.26	2.1	5.54	1.45	1.06	7.11	246.28	7.63	39.5	12.93	5.82	9.48	57.89	90.77	80.01	19.82	24.63	30.12	41.81	20.26	47.84	33.3	40.64	15.91	11.13	4.9	16.39	7.34	4.9	5.96	8.06	4.9	3.35	9.7	8.99	2.03	132.44	217.27	62.12	251.48
ZNF224	291.04	287.01	543.96	191.67	107.38	116.78	106.63	226.54	140.04	76.17	75.11	54.33	70.01	1023.0	172.65	400.71	185.11	94.67	329.84	205.5	211.31	591.22	332.14	297.17	325.29	607.87	115.16	141.02	215.77	341.51	320.8	178.77	80.01	95.34	166.73	162.14	134.3	107.38	80.01	73.03	163.28	78.89	26.67	450.94	693.58	269.6	629.35
ZNF441	33.54	62.56	40.64	28.65	11.38	23.76	11.13	34.02	18.29	2.48	13.42	14.56	28.24	130.6	17.25	37.32	51.35	21.16	76.71	81.71	76.17	88.26	45.53	49.21	71.5	26.1	22.43	53.95	78.34	231.32	113.56	23.08	19.97	39.79	43.32	29.27	29.06	7.17	19.97	26.67	29.48	22.75	8.13	181.28	187.71	39.22	231.32
ZNF449	48.18	66.18	49.91	47.17	32.59	40.93	29.91	29.48	46.84	36.27	25.91	32.13	40.93	303.44	49.56	120.94	52.45	87.03	85.82	73.03	43.94	156.59	98.04	102.97	112.77	92.05	76.17	70.51	97.36	96.01	50.63	52.45	59.13	50.98	66.65	65.72	79.45	23.42	59.13	33.3	58.3	49.56	22.75	208.38	173.85	77.79	96.01
ZNF483	6.57	27.64	10.31	4.82	2.61	2.14	4.74	6.84	2.78	1.5	2.63	3.0	8.92	43.63	3.56	7.82	12.36	35.25	46.5	78.34	13.42	31.22	14.03	8.78	26.86	13.12	8.32	10.96	8.65	35.5	71.5	14.24	6.31	10.39	7.63	6.01	3.2	5.87	6.31	8.45	4.66	4.35	0.13	44.89	65.26	660.68	48.18
ZNF76	361.04	567.1	361.04	314.17	301.33	426.57	253.23	414.87	429.54	279.14	363.56	206.94	381.68	1651.0	775.05	688.78	426.57	414.87	1104.13	486.75	540.19	679.29	1023.0	1088.92	1030.12	830.75	309.83	708.18	693.58	674.59	493.56	356.05	660.68	476.71	191.67	447.82	486.75	435.55	660.68	318.57	638.15	358.54	127.0	638.15	759.08	616.37	1457.23
ZNF831	1.71	10.0	0.0	0.69	0.33	0.6	0.0	0.62	0.37	1.2	0.35	0.0	0.33	59.55	0.73	18.7	3.35	1.39	2.81	5.41	8.06	12.09	6.31	15.68	5.59	23.93	3.0	18.16	5.73	18.56	7.46	1.17	1.48	5.19	2.68	7.22	0.0	3.14	1.48	1.79	2.86	1.89	1.07	53.57	111.21	32.36	52.08
