	GTEX.11P81.1026.SM.5GU54	GTEX.XGQ4.1626.SM.4AT6J	GTEX.11DYG.1926.SM.5H12I	GTEX.13O61.1226.SM.5KM21	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.QEL4.1526.SM.447AB	GTEX.T8EM.0626.SM.4DM62	GTEX.X5EB.1426.SM.46MVW	GTEX.S95S.0326.SM.4B66U	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L	TCGA.VQ.A927.01A.12R.A414.31	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.ZVP2.1626.SM.5GU5D	GTEX.13FTW.1726.SM.5KM2B	GTEX.S95S.0826.SM.4B64N	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	GTEX.ZVT3.2126.SM.59HL2
PRPF39	967.76	1127.35	995.0	567.1	896.64	769.69	1066.48	579.04	713.11	540.19	181.28	27.64	30.34	511.0	521.76	256.78	392.44	242.88	273.37	125.24	142.01	267.73	169.07	265.87	228.13	346.29	211.31	146.03	441.64	206.94	264.03	325.29	217.27	463.65
RABL2B	647.07	791.35	884.29	500.46	967.76	915.51	1001.93	775.05	703.28	674.59	231.32	153.34	87.65	470.14	447.82	387.02	540.19	373.81	346.29	264.03	305.55	376.41	287.01	251.48	289.02	420.68	191.67	95.34	376.41	248.0	532.74	221.86	220.32	381.68
RAPGEF3	1059.11	1175.27	1540.37	961.07	3168.41	1151.06	1662.49	1088.92	974.5	988.12	197.09	25.54	16.51	595.34	173.85	423.61	473.41	400.71	358.54	232.94	185.11	414.87	231.32	120.1	258.57	329.84	285.03	214.27	358.54	186.4	285.03	144.01	299.25	703.28
RNPC3	1397.83	1096.5	915.51	651.58	1183.45	967.76	1216.75	791.35	669.92	563.18	152.28	26.47	35.76	389.72	591.22	199.85	283.05	152.28	244.57	186.4	137.14	201.25	187.71	133.36	341.51	301.33	152.28	185.11	309.83	144.01	241.19	105.89	171.45	423.61
RUFY1	1183.45	1340.84	1030.12	981.29	1286.18	928.3	1508.65	1023.0	884.29	934.76	100.13	334.46	251.48	854.13	848.22	759.08	748.61	674.59	703.28	329.84	551.56	651.58	559.28	356.05	483.38	748.61	444.72	237.86	647.07	463.65	595.34	420.68	351.14	563.18
S100PBP	414.87	599.49	493.56	297.17	536.45	503.95	400.71	470.14	444.72	403.5	35.76	30.78	65.26	417.77	490.14	205.5	316.37	271.48	177.53	145.02	157.68	189.02	177.53	148.09	197.09	323.03	84.04	60.39	262.2	131.51	361.04	95.34	90.77	277.2
SETD2	579.04	466.88	518.15	507.46	447.82	599.49	607.87	454.09	703.28	507.46	33.06	60.82	165.57	665.29	559.28	397.93	483.38	376.41	397.93	214.27	323.03	379.04	332.14	139.07	283.05	384.34	241.19	267.73	301.33	420.68	309.83	329.84	231.32	476.71
SFSWAP	769.69	1023.0	1051.79	738.29	780.44	934.76	995.0	743.43	791.35	718.08	71.5	142.01	112.77	559.28	620.67	429.54	507.46	373.81	417.77	287.01	285.03	493.56	392.44	155.5	457.25	334.46	327.56	173.85	587.13	356.05	457.25	256.78	147.06	470.14
SIN3B	1477.58	1781.89	1508.65	1135.2	1583.71	1639.59	1651.0	1268.46	1709.26	1216.75	56.28	150.17	69.03	813.63	607.87	450.94	995.0	518.15	438.59	249.73	301.33	571.05	414.87	114.36	246.28	426.57	285.03	285.03	825.0	287.01	486.75	348.71	264.03	703.28
SLC25A29	1066.48	1015.93	928.3	1088.92	2502.97	1322.37	1143.1	1088.92	1030.12	1242.34	147.06	93.35	162.14	669.92	638.15	371.22	633.73	361.04	466.88	234.57	269.6	435.55	423.61	214.27	237.86	555.41	301.33	476.71	166.73	195.72	802.41	339.14	620.67	688.78
SLC7A6OS	384.34	358.54	320.8	262.2	403.5	312.0	297.17	297.17	327.56	327.56	101.54	51.35	21.47	229.72	232.94	241.19	258.57	214.27	197.09	112.77	180.02	204.07	187.71	193.01	181.28	153.34	107.38	70.51	249.73	182.55	181.28	111.99	84.04	314.17
SLMO1	151.22	144.01	169.07	106.63	154.42	189.02	320.8	86.43	182.55	120.94	6.78	4.17	3.47	26.47	38.67	25.54	103.69	50.63	17.0	9.27	27.64	29.27	16.63	35.5	15.8	23.25	22.75	10.71	11.55	12.45	20.56	14.35	20.11	40.36
SMG1	656.11	536.45	420.68	358.54	466.88	591.22	500.46	460.44	567.1	529.06	9.06	33.78	52.82	575.03	693.58	221.86	363.56	281.09	236.21	134.3	208.38	253.23	165.57	76.71	142.01	223.41	226.54	414.87	327.56	162.14	204.07	197.09	363.56	591.22
SON	5913.33	6983.79	4671.57	5041.77	6935.54	6561.36	5329.3	4010.71	5633.22	5006.93	633.73	665.29	417.77	3515.68	3928.15	2047.0	2758.13	1991.0	2468.49	2209.26	2090.03	2163.77	2555.58	1250.98	3060.45	2609.3	1477.58	941.27	2758.13	1781.89	2193.99	1487.87	988.12	3742.05
STK36	1487.87	2271.4	1111.82	1051.79	1745.2	1733.13	2271.4	909.17	884.29	890.44	26.28	107.38	44.25	902.89	532.74	363.56	587.13	320.8	320.8	147.06	305.55	373.81	301.33	185.11	358.54	463.65	258.57	60.82	693.58	303.44	728.11	137.14	269.6	305.55
TAF15	3325.99	4543.8	2758.13	2367.9	4268.94	4095.0	3768.09	3768.09	6887.62	4328.55	92.05	1437.15	1467.37	2319.15	3103.19	2417.67	2701.35	2351.53	2061.24	1508.65	2178.83	1806.78	2573.36	583.07	1844.76	1628.26	2209.26	1498.22	1628.26	2451.44	2032.85	1628.26	1277.29	1733.13
TAF6	1322.37	1135.2	1066.48	1051.79	1417.35	1191.69	1457.23	1208.34	941.27	1066.48	307.69	305.55	134.3	947.83	988.12	947.83	1286.18	961.07	688.78	603.67	660.68	981.29	780.44	297.17	629.35	764.36	476.71	205.5	703.28	638.15	769.69	423.61	366.09	595.34
TBC1D17	2351.53	2209.26	1551.09	2303.12	2367.9	2468.49	2664.15	2209.26	1709.26	1594.73	299.25	1051.79	651.58	688.78	575.03	1088.92	2018.8	1233.75	1030.12	764.36	718.08	1340.84	1208.34	441.64	808.0	890.44	638.15	251.48	934.76	836.53	1242.34	603.67	490.14	854.13
TIA1	2609.3	2682.69	1832.01	1397.83	2609.3	2004.85	1963.57	1322.37	1857.6	1674.06	78.89	108.14	149.12	2287.2	1977.24	728.11	1088.92	476.71	587.13	228.13	363.56	507.46	343.89	358.54	287.01	1073.91	444.72	242.88	1583.71	514.56	1073.91	341.51	285.03	708.18
TMUB2	1001.93	1340.84	1037.29	884.29	1447.15	1159.07	1119.56	1143.1	1037.29	1088.92	224.97	476.71	457.25	688.78	785.88	802.41	1096.5	825.0	743.43	669.92	718.08	860.08	753.83	579.04	555.41	878.17	587.13	299.25	1023.0	708.18	981.29	381.68	486.75	651.58
TNPO2	1378.57	1359.57	1073.91	988.12	1572.76	1388.16	1191.69	1295.13	1605.83	1066.48	183.82	231.32	91.41	555.41	775.05	514.56	1151.06	848.22	507.46	293.07	466.88	620.67	447.82	273.37	339.14	536.45	429.54	251.48	759.08	493.56	497.0	366.09	312.0	575.03
TOP2B	1936.53	2061.24	1950.0	2119.22	1233.75	2061.24	1477.58	1721.16	2417.67	1857.6	532.74	260.38	651.58	1617.0	1733.13	1066.48	1340.84	848.22	1073.91	529.06	738.29	947.83	974.5	607.87	902.89	1457.23	483.38	1143.1	733.19	684.02	1008.9	559.28	381.68	1268.46
TPR	1037.29	1304.15	607.87	808.0	961.07	1225.22	884.29	1001.93	1037.29	988.12	189.02	99.43	133.36	1233.75	1030.12	525.39	769.69	559.28	480.04	297.17	384.34	567.1	555.41	277.2	603.67	563.18	366.09	267.73	651.58	457.25	616.37	187.71	291.04	555.41
TTC21B	246.28	239.52	217.27	191.67	221.86	220.32	209.84	137.14	237.86	153.34	34.51	45.53	50.27	164.42	195.72	108.14	170.25	110.43	120.1	41.52	53.95	105.15	98.73	93.35	123.5	124.37	48.87	45.85	159.9	40.36	75.11	52.45	80.57	114.36
TTF1	371.22	271.48	353.59	253.23	293.07	339.14	351.14	309.83	361.04	316.37	64.34	68.55	77.25	155.5	265.87	176.29	214.27	129.69	181.28	69.03	105.89	147.06	141.02	95.34	113.56	142.01	112.77	187.71	124.37	120.94	143.01	70.51	102.25	199.85
UHRF2	748.61	825.0	599.49	660.68	759.08	775.05	743.43	738.29	660.68	759.08	102.25	82.87	67.59	733.19	511.0	403.5	450.94	373.81	334.46	128.79	267.73	376.41	273.37	363.56	199.85	466.88	242.88	373.81	607.87	180.02	483.38	221.86	305.55	497.0
UNKL	791.35	890.44	283.05	854.13	651.58	728.11	547.75	669.92	450.94	435.55	26.67	58.3	56.68	253.23	343.89	226.54	426.57	256.78	223.41	127.89	155.5	224.97	187.71	145.02	241.19	191.67	190.34	60.39	551.56	244.57	246.28	59.55	147.06	260.38
USP34	1685.71	1896.65	1844.76	1369.04	1457.23	1583.71	1551.09	1427.22	1923.14	1572.76	77.79	273.37	363.56	1909.85	1870.53	848.22	1313.23	921.88	1135.2	563.18	866.07	1175.27	1059.11	361.04	813.63	1233.75	718.08	860.08	1015.93	665.29	1088.92	656.11	389.72	1769.57
VPS11	1259.69	1127.35	947.83	988.12	1159.07	1096.5	988.12	961.07	1044.52	967.76	743.43	529.06	262.2	638.15	665.29	674.59	961.07	743.43	708.18	301.33	759.08	688.78	599.49	507.46	500.46	624.99	457.25	148.09	708.18	567.1	866.07	334.46	273.37	507.46
WDR52	514.56	334.46	307.69	135.24	435.55	277.2	490.14	197.09	172.65	217.27	0.45	2.58	4.13	389.72	211.31	64.34	101.54	65.26	136.19	95.34	31.22	80.57	85.82	28.24	120.94	87.65	58.71	14.45	229.72	62.56	166.73	45.53	40.64	98.73
WDR53	275.28	189.02	236.21	198.47	231.32	198.47	176.29	253.23	277.2	260.38	152.28	66.65	38.12	105.15	229.72	143.01	110.43	140.04	109.66	64.34	109.66	100.83	126.12	103.69	77.25	92.05	96.68	49.91	84.63	102.25	144.01	52.45	49.56	141.02
ZBTB40	281.09	438.59	211.31	265.87	309.83	450.94	353.59	212.78	307.69	248.0	8.99	15.68	4.9	220.32	267.73	97.36	187.71	163.28	108.9	63.89	105.15	138.1	103.69	40.07	90.14	105.15	66.18	14.67	251.48	88.88	126.12	82.29	45.53	128.79
ZCCHC8	583.07	703.28	555.41	457.25	738.29	497.0	563.18	473.41	490.14	426.57	113.56	138.1	108.14	483.38	624.99	420.68	336.79	289.02	356.05	187.71	234.57	329.84	316.37	299.25	269.6	343.89	236.21	236.21	466.88	248.0	269.6	185.11	198.47	392.44
ZMYND11	1769.57	1313.23	1437.15	1407.55	1008.9	1397.83	1322.37	1594.73	1819.35	1508.65	368.65	220.32	264.03	961.07	1199.98	988.12	1359.57	866.07	813.63	297.17	669.92	718.08	490.14	518.15	547.75	703.28	583.07	507.46	536.45	575.03	587.13	595.34	267.73	728.11
ZNF133	473.41	447.82	536.45	281.09	674.59	329.84	511.0	318.57	463.65	346.29	56.68	92.7	42.71	224.97	223.41	189.02	265.87	197.09	165.57	74.06	162.14	153.34	143.01	206.94	133.36	190.34	101.54	57.89	217.27	111.99	197.09	124.37	61.68	151.22
ZNF225	88.26	73.54	100.83	47.84	88.88	58.3	70.01	61.68	66.18	53.19	3.11	8.58	8.0	68.55	74.58	41.81	45.85	53.95	61.25	14.67	25.91	46.5	43.32	29.7	33.54	56.68	14.14	9.63	63.0	36.53	33.54	21.78	8.99	42.71
ZNF337	698.41	518.15	890.44	483.38	954.43	698.41	708.18	543.96	928.3	642.59	34.51	36.79	26.28	293.07	246.28	122.64	249.73	100.13	98.73	54.72	115.97	138.1	124.37	37.32	82.29	134.3	63.89	70.01	125.24	74.58	156.59	39.22	60.39	212.78
ZNF354A	303.44	229.72	384.34	191.67	297.17	293.07	366.09	277.2	295.11	264.03	40.93	5.73	1.71	201.25	246.28	114.36	180.02	122.64	100.13	66.18	76.17	107.38	98.73	121.79	50.98	123.5	52.45	39.22	197.09	99.43	98.04	28.65	52.45	142.01
ZNF354C	169.07	94.67	101.54	72.52	59.13	84.04	92.7	98.04	92.05	70.01	1.57	1.64	1.83	27.84	61.25	31.9	57.08	36.53	29.27	8.25	16.51	27.64	24.46	17.9	22.43	25.35	5.45	5.11	17.13	10.0	19.25	2.94	3.38	25.72
ZNF594	161.02	124.37	123.5	41.22	123.5	92.7	157.68	81.14	105.89	72.01	3.14	1.13	1.19	38.95	72.01	40.07	64.8	41.52	24.99	9.34	20.41	30.56	26.28	7.28	9.13	63.0	15.11	2.41	29.7	13.83	26.86	7.22	17.38	53.19
ZNF7	571.05	543.96	599.49	447.82	633.73	536.45	532.74	679.29	511.0	466.88	110.43	156.59	82.87	438.59	412.0	316.37	368.65	253.23	244.57	177.53	234.57	258.57	239.52	305.55	305.55	273.37	166.73	113.56	389.72	273.37	312.0	94.01	96.68	267.73
ZNF766	265.87	173.85	208.38	206.94	197.09	212.78	149.12	223.41	264.03	264.03	43.94	48.52	57.49	209.84	297.17	156.59	163.28	147.06	197.09	57.49	120.1	120.1	141.02	117.6	129.69	140.04	63.45	92.7	111.21	106.63	186.4	67.59	62.12	135.24
ZNF783	316.37	450.94	363.56	269.6	603.67	435.55	358.54	441.64	297.17	361.04	7.57	12.45	9.56	175.07	193.01	105.89	198.47	111.21	89.51	66.18	80.57	156.59	94.67	29.91	53.95	102.97	60.39	28.65	122.64	64.8	114.36	37.32	50.98	81.14
ZNF829	45.21	31.0	34.75	25.72	27.84	32.36	40.07	45.53	36.01	34.26	4.98	1.27	3.35	17.25	18.7	27.84	36.53	19.39	17.77	7.17	9.27	19.53	21.01	17.77	19.25	5.06	5.06	14.78	12.93	7.28	21.94	1.03	3.92	44.25
ZNF84	486.75	403.5	435.55	336.79	441.64	429.54	423.61	397.93	432.53	314.17	89.51	44.25	65.72	323.03	503.95	158.79	283.05	285.03	128.79	103.69	112.77	208.38	151.22	163.28	147.06	81.14	146.03	94.67	191.67	88.88	172.65	90.77	64.8	242.88
ZNF862	435.55	483.38	329.84	351.14	575.03	384.34	514.56	351.14	395.18	332.14	37.85	30.34	18.7	275.28	208.38	112.77	249.73	194.36	148.09	50.27	91.41	142.01	86.43	87.03	57.08	105.15	91.41	18.43	173.85	78.89	244.57	43.02	70.01	217.27
ZSCAN30	316.37	395.18	486.75	239.52	470.14	339.14	316.37	316.37	368.65	327.56	43.32	32.13	28.04	206.94	303.44	115.97	180.02	127.0	172.65	51.35	122.64	102.97	84.04	53.95	142.01	176.29	58.3	33.06	161.02	89.51	193.01	36.79	70.51	121.79
