	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.CH.5743.01A.21R.1580.07	TCGA.HC.8264.01B.11R.2403.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.EJ.A46E.01A.31R.A250.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.J4.AATV.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.HC.A631.01A.11R.A29R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.S95S.1026.SM.4B64M	GTEX.11TT1.2026.SM.5EQM8	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11NSD.0826.SM.5986S	GTEX.1399T.1226.SM.5P9J5	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.13OW8.0426.SM.5J2NR	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.117YW.1426.SM.5EGGO	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD
NR4A1	87.65	180.02	5791.62	12943.04	5255.91	4210.15	4543.8	34158.52	27174.14	3039.3	2367.9	17804.06	1572.76	3190.46	18950.18	6652.97	4704.07	3955.48	5594.3	7857.29	1340.84	9474.59	20593.91	95286.54	4736.79	3395.89	3018.3	25179.16	1721.16	16496.96	11909.94	41763.8	2193.99	1286.18	6164.49	6561.36	1225.22	8598.28	1487.87	2875.3	2591.27	1977.24	2133.97	30785.28	24490.61	3146.52	4543.8	16383.0	2032.85	8778.97	4972.34	6561.36	698.41	25530.66	6079.61	6745.86	5441.3	5633.22	4298.64	25354.3	3589.58	10084.54	17078.76	2018.8	4298.64	28328.16	1015.93	1605.83	16496.96	8134.41	19082.0	11267.44	3212.66	69271.73	2502.97	4575.41	5954.47	15392.14	7032.37	15499.21	8538.88	10014.87	28923.41	20170.07	49322.93	7280.4	6250.56	4836.35	6426.31	7857.29	6250.56	8191.0	5791.62	14065.74	4038.61	7749.1	14867.79	10225.32	3639.7	29943.43	7230.1	5831.91	38164.99	26986.43	9151.82	4736.79	13968.57	70727.3	101420.22	29943.43	1977.24
NR4A2	3.53	11.64	92.7	312.0	217.27	90.77	111.21	878.17	2682.69	48.18	129.69	1427.22	83.45	146.03	941.27	51.35	95.34	106.63	150.17	145.02	95.34	155.5	1143.1	4419.52	241.19	138.1	139.07	1819.35	28.24	1662.49	733.19	1572.76	57.49	18.84	220.32	232.94	66.65	563.18	70.01	59.55	90.14	46.84	55.1	1159.07	728.11	84.04	134.3	1081.39	70.01	206.94	86.43	181.28	19.97	896.64	309.83	529.06	297.17	65.26	53.19	1806.78	94.01	114.36	698.41	35.5	114.36	303.44	44.25	46.18	902.89	947.83	1340.84	318.57	85.22	2895.31	75.64	98.73	507.46	1359.57	100.83	258.57	110.43	301.33	1498.22	769.69	3639.7	400.71	232.94	341.51	100.13	84.63	237.86	248.0	209.84	264.03	249.73	289.02	1685.71	988.12	166.73	1096.5	244.57	291.04	2133.97	1662.49	141.02	106.63	567.1	7081.29	8901.53	599.49	86.43
NR4A3	0.0	3.47	68.07	146.03	22.43	28.65	13.83	579.04	974.5	18.43	22.75	145.02	15.91	40.93	392.44	10.31	10.0	20.56	40.36	53.57	17.25	29.27	1794.29	866.07	165.57	39.79	73.03	543.96	5.32	215.77	167.9	961.07	15.91	6.46	283.05	76.17	17.64	59.97	51.35	16.51	12.83	25.72	8.92	536.45	366.09	8.51	66.18	1183.45	12.64	157.68	7.17	33.54	4.9	334.46	91.41	248.0	166.73	42.71	41.22	769.69	7.17	16.27	414.87	11.73	28.86	150.17	3.99	3.79	551.56	57.08	1151.06	98.04	37.05	571.05	23.59	21.01	285.03	723.08	46.5	457.25	21.32	234.57	312.0	693.58	1119.56	67.12	87.03	92.05	31.9	7.22	212.78	214.27	205.5	84.04	232.94	185.11	3146.52	1242.34	26.47	450.94	223.41	150.17	3639.7	878.17	26.28	24.11	35.25	2796.65	915.51	620.67	74.06
NRARP	46.18	70.51	112.77	201.25	323.03	161.02	212.78	457.25	1167.14	228.13	273.37	638.15	85.82	75.11	470.14	176.29	127.0	145.02	157.68	173.85	283.05	204.07	318.57	1023.0	136.19	170.25	155.5	486.75	183.82	713.11	638.15	633.73	197.09	204.07	327.56	199.85	123.5	500.46	381.68	122.64	241.19	241.19	106.63	490.14	348.71	141.02	187.71	251.48	483.38	221.86	228.13	181.28	180.02	295.11	269.6	420.68	316.37	90.14	121.79	599.49	96.68	229.72	373.81	239.52	111.99	241.19	167.9	120.1	567.1	463.65	185.11	423.61	152.28	1963.57	246.28	161.02	301.33	420.68	149.12	169.07	183.82	154.42	567.1	258.57	1277.29	231.32	256.78	176.29	182.55	190.34	162.14	158.79	214.27	185.11	133.36	295.11	171.45	414.87	392.44	265.87	157.68	195.72	389.72	314.17	107.38	191.67	514.56	651.58	1594.73	285.03	108.14
ODF3L1	0.39	14.35	5.02	12.0	7.46	6.46	2.43	101.54	53.57	5.06	3.59	24.46	3.53	1.48	28.45	1.97	2.63	7.51	0.93	9.41	0.66	5.54	38.4	198.47	3.72	0.65	9.2	27.25	0.0	12.0	8.13	41.81	1.28	2.16	14.14	13.62	1.23	7.11	4.62	0.3	3.82	1.23	1.64	8.99	57.89	0.93	4.86	121.79	3.89	4.74	1.23	1.55	0.0	22.92	4.28	2.34	12.55	3.2	1.53	45.53	0.58	5.36	16.88	0.0	1.87	20.11	0.82	1.23	11.38	19.68	38.67	8.06	5.54	60.82	1.31	20.11	15.68	36.01	6.16	82.29	3.5	21.32	25.72	29.7	108.9	6.41	9.27	8.45	3.2	0.0	3.56	8.51	10.39	9.13	18.03	8.06	41.52	19.25	14.45	12.93	5.77	15.8	46.5	41.52	2.14	2.03	8.99	100.13	16.63	6.46	3.56
PLK3	51.71	36.53	194.36	100.83	142.01	88.88	65.26	476.71	638.15	85.22	155.5	169.07	74.58	44.25	201.25	77.79	43.32	81.14	94.67	63.0	94.67	65.72	460.44	1008.9	167.9	45.21	138.1	287.01	27.05	134.3	417.77	551.56	66.18	56.68	269.6	94.01	68.55	112.77	234.57	44.89	112.77	137.14	25.54	249.73	432.53	72.01	67.59	255.0	80.01	205.5	82.87	42.41	63.0	267.73	63.89	170.25	101.54	67.59	47.5	291.04	39.22	106.63	249.73	108.14	72.01	129.69	26.67	35.25	392.44	115.16	332.14	170.25	78.34	753.83	108.9	84.63	303.44	343.89	53.19	265.87	50.27	255.0	228.13	265.87	1233.75	144.01	106.63	120.1	89.51	86.43	82.87	309.83	209.84	95.34	152.28	273.37	529.06	228.13	159.9	204.07	93.35	236.21	896.64	170.25	37.85	71.0	109.66	201.25	182.55	312.0	88.26
PPP1R15A	181.28	142.01	723.08	961.07	1088.92	624.99	1191.69	5183.54	4010.71	890.44	1008.9	2645.74	967.76	450.94	2976.74	974.5	575.03	684.02	848.22	1685.71	753.83	647.07	2645.74	8421.31	1059.11	947.83	656.11	2303.12	444.72	1991.0	2178.83	3690.52	551.56	334.46	1073.91	780.44	624.99	718.08	1594.73	497.0	698.41	825.0	536.45	2701.35	5076.84	412.0	651.58	2701.35	1051.79	1359.57	647.07	579.04	395.18	3060.45	902.89	1183.45	679.29	620.67	476.71	3081.75	444.72	934.76	2075.59	555.41	723.08	2018.8	612.11	406.31	1977.24	2319.15	2255.7	1540.37	708.18	7695.57	872.1	1447.15	1225.22	2133.97	896.64	4210.15	791.35	1685.71	2796.65	2319.15	7589.61	866.07	775.05	738.29	934.76	860.08	493.56	1001.93	1417.35	1183.45	1242.34	1175.27	1963.57	3742.05	1857.6	3257.52	1674.06	1066.48	2417.67	1883.54	507.46	417.77	1151.06	2682.69	8598.28	5219.6	866.07
RASD1	264.03	320.8	1037.29	1286.18	759.08	1030.12	1769.57	1709.26	860.08	981.29	444.72	2061.24	80.01	438.59	1183.45	346.29	684.02	575.03	595.34	1096.5	277.2	412.0	507.46	5006.93	1066.48	981.29	414.87	1508.65	283.05	3955.48	3190.46	2935.74	323.03	329.84	379.04	1111.82	669.92	825.0	575.03	275.28	775.05	848.22	708.18	1508.65	2451.44	368.65	301.33	476.71	1883.54	620.67	802.41	1135.2	80.57	2240.11	1199.98	878.17	1096.5	587.13	603.67	1508.65	255.0	785.88	1191.69	698.41	441.64	1369.04	620.67	575.03	1388.16	974.5	2627.46	1268.46	775.05	2335.28	947.83	842.36	819.3	1388.16	503.95	583.07	587.13	1769.57	2018.8	1378.57	1313.23	775.05	748.61	796.86	532.74	830.75	348.71	1216.75	612.11	1844.76	441.64	780.44	2609.3	2367.9	1030.12	1378.57	802.41	1088.92	16843.62	2319.15	769.69	723.08	1277.29	5147.73	2485.67	1233.75	289.02
RGS16	14.35	17.64	65.26	25.54	27.25	9.93	11.38	231.32	202.66	24.63	90.77	162.14	31.45	17.38	178.77	21.47	8.51	9.2	28.04	15.68	49.21	14.35	460.44	115.97	63.0	22.59	28.65	116.78	4.03	120.94	320.8	327.56	12.64	6.73	44.89	34.02	14.35	26.1	64.34	12.64	28.86	40.07	3.11	208.38	262.2	21.01	26.67	156.59	43.32	51.35	18.84	3.89	21.32	140.04	21.32	111.99	22.92	14.14	8.92	115.97	15.56	26.67	150.17	58.3	17.25	104.42	5.19	7.88	241.19	40.07	204.07	74.58	12.09	323.03	30.78	12.93	267.73	255.0	24.11	224.97	32.59	111.99	76.71	224.97	521.76	26.28	16.27	52.08	22.43	22.75	34.75	55.49	154.42	30.12	82.29	89.51	397.93	151.22	88.26	159.9	95.34	62.12	209.84	147.06	12.27	29.06	31.22	162.14	229.72	575.03	57.89
RNF122	87.65	16.27	111.21	172.65	73.03	90.14	109.66	348.71	293.07	106.63	94.67	136.19	37.05	81.71	159.9	57.08	81.14	82.29	100.13	123.5	82.87	76.71	511.0	231.32	100.13	145.02	153.34	217.27	66.18	108.9	161.02	490.14	61.25	99.43	221.86	175.07	69.03	87.65	90.77	49.21	97.36	80.57	100.13	170.25	320.8	79.45	63.45	361.04	90.14	148.09	88.26	71.0	35.5	208.38	93.35	151.22	215.77	92.05	88.26	320.8	27.64	88.88	198.47	50.63	52.08	170.25	31.67	105.15	205.5	112.77	583.07	126.12	84.04	400.71	94.01	88.26	176.29	371.22	91.41	341.51	79.45	305.55	180.02	486.75	414.87	159.9	136.19	197.09	91.41	75.11	130.6	260.38	147.06	103.69	112.77	153.34	753.83	127.0	163.28	170.25	151.22	155.5	878.17	134.3	85.22	91.41	127.0	444.72	295.11	403.5	96.01
SIK1	59.55	43.63	293.07	1331.57	1037.29	341.51	262.2	2875.3	4769.75	221.86	486.75	2209.26	91.41	173.85	1104.13	525.39	307.69	890.44	470.14	599.49	120.1	603.67	1467.37	11992.79	559.28	466.88	748.61	3190.46	131.51	1242.34	1167.14	3124.78	351.14	147.06	450.94	1769.57	96.68	796.86	283.05	764.36	159.9	193.01	176.29	1757.34	1950.0	171.45	759.08	1340.84	134.3	808.0	941.27	414.87	92.05	2133.97	775.05	1088.92	1111.82	536.45	376.41	2777.33	241.19	1519.15	1508.65	154.42	693.58	1909.85	64.8	99.43	1498.22	2485.67	1832.01	2303.12	432.53	6381.92	185.11	665.29	890.44	1832.01	1037.29	921.88	836.53	884.29	4181.07	2119.22	6516.03	1096.5	921.88	420.68	665.29	332.14	647.07	1388.16	902.89	1498.22	521.76	1159.07	3690.52	1639.59	309.83	1639.59	514.56	1151.06	3901.01	2956.17	1015.93	417.77	1250.98	5711.87	13776.25	1467.37	264.03
SOCS3	11.3	30.12	808.0	470.14	514.56	176.29	764.36	4802.93	4419.52	98.73	1167.14	3820.7	96.68	171.45	2664.15	194.36	149.12	323.03	403.5	571.05	237.86	141.02	5711.87	7485.11	1268.46	293.07	693.58	2303.12	62.56	1529.73	2367.9	5366.37	108.14	75.64	684.02	1088.92	156.59	612.11	432.53	82.29	511.0	303.44	50.98	4066.71	6561.36	156.59	525.39	4903.87	902.89	1417.35	177.53	43.02	53.57	3235.01	403.5	1104.13	429.54	303.44	54.33	3349.13	51.35	708.18	2935.74	303.44	150.17	2004.85	42.11	108.9	1781.89	1096.5	4704.07	1216.75	314.17	9876.98	555.41	450.94	2075.59	3639.7	759.08	4450.27	373.81	3146.52	2351.53	6745.86	13776.25	995.0	332.14	669.92	500.46	723.08	186.4	1909.85	2451.44	493.56	1832.01	1313.23	13586.57	1388.16	384.34	1844.76	2335.28	988.12	6652.97	2956.17	356.05	267.73	2004.85	2104.58	2224.63	9344.14	1397.83
USP2	50.27	224.97	133.36	65.72	38.12	30.12	16.03	63.45	159.9	16.27	13.62	28.45	6.01	21.94	32.13	23.93	16.39	21.63	18.16	26.47	12.0	23.08	70.51	256.78	15.22	33.54	60.39	48.87	15.91	34.02	31.22	293.07	11.91	15.45	46.84	58.3	14.78	24.63	15.11	18.7	28.24	19.11	26.47	25.72	35.5	5.23	22.75	87.03	16.88	42.11	23.59	20.56	4.62	34.51	41.52	47.17	39.22	13.72	36.01	98.04	15.91	46.84	32.59	7.4	11.55	12.83	14.45	15.11	64.34	62.56	77.79	41.81	28.24	137.14	15.8	26.1	38.4	80.01	40.64	40.36	23.93	154.42	45.85	64.8	154.42	39.22	52.08	148.09	53.95	27.25	47.17	84.63	44.89	86.43	47.5	47.5	169.07	39.79	54.72	50.27	23.42	69.03	215.77	107.38	30.78	34.02	11.73	323.03	51.71	36.01	43.02
ZBTB21	33.78	24.99	88.88	148.09	80.01	76.71	63.45	205.5	329.84	87.65	75.11	98.04	120.94	58.3	228.13	86.43	70.51	80.01	111.21	108.9	87.65	89.51	358.54	212.78	128.79	110.43	94.01	218.79	109.66	129.69	141.02	195.72	55.49	33.54	165.57	70.51	71.0	103.69	138.1	173.85	78.89	80.01	72.52	267.73	130.6	69.52	133.36	301.33	63.89	105.89	53.57	68.07	70.01	177.53	127.89	205.5	99.43	118.43	79.45	176.29	113.56	83.45	139.07	73.03	104.42	99.43	66.18	99.43	248.0	124.37	343.89	169.07	104.42	180.02	76.17	88.88	182.55	185.11	109.66	171.45	132.44	197.09	170.25	218.79	251.48	87.03	110.43	131.51	94.67	100.13	138.1	129.69	121.79	183.82	170.25	162.14	265.87	361.04	87.03	143.01	151.22	120.1	336.79	158.79	95.34	67.12	91.41	368.65	258.57	218.79	88.88
