	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BR.8060.01A.11R.2343.13	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8686.01A.11R.2402.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13
SIN3B	432.53	438.59	483.38	195.72	297.17	327.56	473.41	612.11	463.65	486.75	181.28	56.28	366.09	271.48	314.17	341.51	232.94	521.76	301.33	351.14	420.68	255.0	460.44	361.04	264.03	633.73	426.57	693.58	1295.13	941.27	591.22	854.13	1617.0	1066.48	1167.14	961.07	1096.5	1051.79	728.11
SMCHD1	142.01	171.45	215.77	80.57	153.34	204.07	154.42	142.01	190.34	158.79	102.97	34.02	144.01	231.32	123.5	195.72	159.9	205.5	199.85	112.77	176.29	202.66	191.67	115.97	183.82	182.55	155.5	1127.35	1104.13	775.05	599.49	579.04	1191.69	567.1	624.99	476.71	718.08	738.29	368.65
SNRNP70	2335.28	2271.4	2875.3	1583.71	1896.65	1477.58	2875.3	2271.4	1662.49	2682.69	748.61	314.17	2255.7	1721.16	1388.16	1561.89	1594.73	2075.59	1119.56	1844.76	2502.97	1674.06	1819.35	2609.3	995.0	3280.18	2319.15	3280.18	4543.8	4769.75	4671.57	3589.58	3443.31	3901.01	4704.07	5791.62	6607.01	3540.14	5479.15
SPDYE1	3.99	4.74	3.41	1.75	3.72	5.28	2.92	6.78	1.66	6.73	5.32	0.4	2.05	2.73	2.07	3.82	1.66	7.4	3.56	1.83	5.19	2.73	3.11	3.59	1.85	7.11	7.4	11.64	78.89	80.01	11.55	26.28	52.45	25.54	17.25	25.17	84.63	27.64	41.22
SPDYE2	21.94	14.67	14.24	1.5	19.39	17.77	9.27	42.41	23.25	7.28	22.26	0.0	18.97	11.3	7.94	27.25	7.57	27.25	18.56	6.16	19.68	4.46	18.03	5.59	10.24	30.78	20.26	68.07	297.17	228.13	49.21	127.89	241.19	101.54	68.07	53.57	170.25	89.51	107.38
SPDYE2B	4.98	1.11	2.05	0.49	4.7	2.23	5.02	8.13	5.28	0.91	4.9	0.0	1.71	1.38	0.0	2.97	1.33	2.25	1.08	6.11	6.67	3.41	4.13	0.8	1.83	11.3	7.0	21.94	70.01	69.52	11.38	30.56	47.5	21.78	26.28	31.67	75.11	31.9	43.32
SSBP4	1529.73	947.83	1104.13	341.51	1304.15	728.11	1397.83	872.1	909.17	1135.2	343.89	514.56	928.3	629.35	684.02	543.96	551.56	603.67	583.07	713.11	836.53	607.87	802.41	1216.75	412.0	1073.91	848.22	1806.78	2004.85	2018.8	1127.35	1605.83	1295.13	2367.9	1605.83	1857.6	1896.65	1397.83	1909.85
TAPBP	1250.98	995.0	995.0	525.39	1167.14	1023.0	1259.69	1096.5	1447.15	961.07	1268.46	299.25	1167.14	1143.1	928.3	1417.35	1066.48	1388.16	967.76	1199.98	1378.57	738.29	1286.18	1233.75	780.44	1359.57	1397.83	5633.22	4152.18	3742.05	3325.99	4181.07	4704.07	3235.01	3349.13	4769.75	4388.98	3820.7	2240.11
TBC1D3F	58.3	38.95	76.71	17.0	32.59	23.93	125.24	41.22	20.11	71.5	9.85	0.0	29.48	24.46	11.55	31.67	7.28	72.01	15.56	6.46	62.12	18.16	27.25	40.36	9.93	107.38	42.41	91.41	351.14	351.14	191.67	145.02	285.03	301.33	251.48	473.41	277.2	157.68	234.57
TJAP1	426.57	395.18	490.14	185.11	258.57	312.0	490.14	414.87	297.17	287.01	256.78	46.84	269.6	309.83	206.94	256.78	214.27	373.81	267.73	229.72	336.79	206.94	281.09	343.89	206.94	497.0	373.81	866.07	738.29	890.44	860.08	854.13	633.73	2701.35	780.44	813.63	718.08	679.29	642.59
TNFAIP3	285.03	187.71	201.25	211.31	70.01	248.0	79.45	215.77	780.44	109.66	144.01	46.5	182.55	129.69	159.9	102.25	105.15	358.54	318.57	1304.15	275.28	123.5	205.5	121.79	318.57	665.29	209.84	1529.73	1467.37	1191.69	1044.52	1417.35	3564.78	1651.0	872.1	1639.59	1950.0	1769.57	256.78
UBAP1L	16.27	24.28	26.28	3.14	11.3	11.13	30.34	9.63	9.78	14.45	9.56	2.46	4.58	14.35	2.18	13.03	4.1	21.63	4.82	1.91	16.03	6.01	6.06	12.27	2.68	41.81	22.43	15.56	70.51	85.82	25.91	52.08	112.77	32.59	55.49	67.12	74.06	65.72	28.86
UMOD	602247.76	443937.41	299043.36	34396.12	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	225066.78	21.78	336441.4	292889.12	101420.22	585779.24	301123.38	434801.29	431797.89	345900.08	422911.59	228208.61	636586.81	502929.67	267651.2	381149.17	641014.63	0.0	2.53	0.0	1.79	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0
USP42	138.1	124.37	149.12	63.89	102.97	117.6	135.24	119.26	141.02	121.79	100.13	28.65	93.35	127.89	64.34	103.69	79.45	122.64	105.89	74.58	118.43	85.82	111.99	97.36	112.77	148.09	99.43	246.28	169.07	201.25	195.72	173.85	214.27	239.52	242.88	251.48	256.78	201.25	320.8
ZNF276	201.25	273.37	316.37	79.45	132.44	132.44	400.71	197.09	186.4	226.54	60.82	55.1	123.5	129.69	57.49	141.02	82.87	151.22	146.03	113.56	205.5	105.15	161.02	178.77	69.03	264.03	177.53	1540.37	872.1	764.36	358.54	384.34	1199.98	532.74	547.75	583.07	713.11	507.46	490.14
ZNF324	105.15	125.24	163.28	62.56	80.01	129.69	89.51	138.1	98.73	94.67	114.36	25.72	110.43	106.63	71.0	71.5	81.71	116.78	95.34	74.06	75.64	102.97	77.79	104.42	90.14	172.65	102.25	128.79	133.36	120.1	175.07	134.3	181.28	172.65	154.42	170.25	185.11	167.9	111.21
ZNF335	204.07	170.25	214.27	90.77	212.78	139.07	260.38	152.28	126.12	198.47	107.38	19.82	104.42	120.1	59.97	117.6	63.89	169.07	128.79	97.36	181.28	79.45	141.02	130.6	81.71	206.94	185.11	384.34	454.09	463.65	392.44	348.71	679.29	514.56	381.68	432.53	629.35	366.09	435.55
ZNF408	157.68	154.42	177.53	82.29	131.51	142.01	189.02	138.1	130.6	164.42	108.9	91.41	116.78	123.5	102.25	114.36	85.82	127.0	105.15	84.63	129.69	98.73	110.43	158.79	99.43	161.02	153.34	214.27	209.84	199.85	285.03	208.38	262.2	314.17	166.73	307.69	325.29	159.9	204.07
ZNF628	85.82	60.82	81.71	38.95	80.57	100.13	111.21	86.43	71.0	69.03	59.55	14.03	88.26	73.03	57.89	32.36	42.41	105.15	56.28	65.72	73.54	40.93	65.26	75.64	33.54	95.34	95.34	175.07	163.28	217.27	214.27	226.54	215.77	361.04	187.71	163.28	329.84	241.19	122.64
ZNF74	68.55	96.01	129.69	70.01	96.68	96.68	180.02	90.14	107.38	110.43	66.65	18.16	94.01	115.97	55.49	97.36	88.26	99.43	97.36	38.4	72.52	106.63	84.04	105.15	54.72	102.97	115.97	197.09	115.97	141.02	297.17	212.78	189.02	420.68	242.88	329.84	141.02	182.55	303.44
ZNF865	150.17	102.97	187.71	47.17	186.4	95.34	256.78	109.66	94.01	173.85	67.59	15.0	132.44	134.3	42.11	102.97	67.12	120.1	74.58	50.27	117.6	60.39	83.45	136.19	48.87	164.42	141.02	269.6	381.68	414.87	273.37	368.65	536.45	651.58	400.71	320.8	595.34	323.03	346.29
