	TCGA.AR.A2LE.01A.11R.A180.07	GTEX.YFC4.1426.SM.5IFJG	TCGA.CV.7421.01A.11R.2081.07	TCGA.CQ.7072.01A.21R.A30B.07	GTEX.RN64.1626.SM.48FD7	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EP.1026.SM.4QAS5	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	TCGA.55.8614.01A.11R.2403.07	TCGA.50.6591.01A.11R.1755.07	TCGA.33.4589.01A.01R.1443.07	TCGA.56.7580.01A.11R.2045.07	TCGA.94.A5I4.01A.11R.A26W.07	TCGA.77.8145.01A.11R.2247.07	TCGA.85.8071.01A.11R.2247.07	TCGA.21.5782.01A.01R.1635.07	TCGA.60.2695.01A.01R.0851.07	TCGA.68.A59I.01A.11R.A262.07	TCGA.43.6770.01A.11R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.NC.A5HT.01A.11R.A26W.07	TCGA.33.4587.01A.11R.2125.07	TCGA.58.8388.01A.11R.2326.07	TCGA.34.5929.01A.11R.1820.07	TCGA.43.7657.01A.31R.2125.07	TCGA.85.6798.01A.11R.1949.07	TCGA.56.8628.01A.11R.2403.07	TCGA.43.7656.01A.11R.2125.07	TCGA.66.2789.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.AJ.A23N.01A.11R.A22K.07	TCGA.N6.A4V9.01A.11R.A28V.07	TCGA.N6.A4VG.01A.31R.A28V.07	GTEX.PWN1.2026.SM.48TD9
RBM12B	353.59	563.18	93.35	220.32	414.87	46.84	118.43	96.01	105.89	16.27	31.67	17.25	34.26	40.93	53.19	13.22	18.03	10.71	44.57	25.54	16.15	17.25	23.59	29.06	93.35	10.71	27.44	239.52	277.2	31.67	173.85	241.19	183.82	175.07	120.1	194.36	218.79	177.53	167.9	368.65	412.0	368.65	183.82	156.59	73.54	267.73	283.05	157.68	361.04	115.16	223.41	220.32	277.2	59.13
RCOR3	1923.14	836.53	239.52	656.11	1111.82	187.71	620.67	454.09	285.03	163.28	287.01	159.9	197.09	157.68	194.36	97.36	121.79	105.15	229.72	130.6	320.8	125.24	191.67	303.44	343.89	189.02	195.72	532.74	718.08	236.21	579.04	447.82	988.12	713.11	463.65	921.88	890.44	688.78	629.35	525.39	1015.93	915.51	356.05	417.77	507.46	612.11	775.05	559.28	1073.91	947.83	450.94	1259.69	836.53	366.09
RERE	1378.57	1819.35	575.03	651.58	1662.49	329.84	309.83	265.87	361.04	248.0	253.23	232.94	209.84	265.87	194.36	269.6	154.42	236.21	277.2	177.53	301.33	80.01	332.14	271.48	356.05	265.87	224.97	1322.37	1794.29	45.53	708.18	358.54	723.08	503.95	842.36	1639.59	1015.93	579.04	713.11	669.92	1111.82	995.0	981.29	679.29	503.95	1457.23	1135.2	571.05	2255.7	1015.93	2664.15	599.49	1594.73	1529.73
RNF44	878.17	915.51	403.5	529.06	884.29	285.03	273.37	248.0	389.72	98.04	175.07	149.12	162.14	143.01	124.37	81.71	43.32	129.69	454.09	70.51	353.59	157.68	134.3	242.88	182.55	334.46	158.79	674.59	1030.12	79.45	511.0	684.02	525.39	571.05	733.19	1030.12	775.05	647.07	718.08	555.41	723.08	1508.65	813.63	1135.2	403.5	884.29	1233.75	356.05	1781.89	679.29	1909.85	1135.2	2004.85	176.29
RP11-166B2.1	175.07	107.38	22.1	76.17	297.17	31.0	55.1	21.32	100.83	37.59	10.88	6.11	43.63	21.78	49.56	2.2	4.94	6.52	24.99	34.75	57.89	14.03	27.64	9.34	22.92	11.55	25.72	95.34	86.43	8.0	69.52	172.65	123.5	116.78	69.52	228.13	109.66	96.01	39.79	269.6	224.97	148.09	81.71	34.51	50.63	176.29	108.9	56.28	540.19	224.97	75.11	92.05	161.02	22.59
RP11-287D1.3	5.5	9.63	0.0	1.43	5.06	0.46	0.92	0.0	0.0	0.0	0.0	0.52	0.49	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.64	0.84	1.22	0.0	0.0	0.0	0.27	7.4	1.16	0.0	0.0	1.66	3.11	1.0	0.0	3.59	1.99	1.14	2.16	2.81	6.46	5.59	0.0	2.16	0.0	1.16	2.86	2.48	13.62	3.76	1.16	5.23	6.41	0.89
SART3	612.11	723.08	633.73	616.37	665.29	366.09	414.87	373.81	285.03	260.38	220.32	178.77	312.0	199.85	185.11	182.55	206.94	236.21	620.67	309.83	329.84	295.11	353.59	271.48	236.21	312.0	189.02	457.25	819.3	158.79	866.07	796.86	536.45	753.83	988.12	1208.34	435.55	624.99	511.0	703.28	1167.14	1135.2	785.88	708.18	460.44	733.19	902.89	616.37	825.0	1037.29	775.05	813.63	1208.34	371.22
SETD6	281.09	796.86	173.85	423.61	620.67	258.57	251.48	332.14	183.82	195.72	242.88	189.02	299.25	166.73	205.5	129.69	198.47	199.85	156.59	136.19	151.22	170.25	205.5	264.03	264.03	221.86	128.79	536.45	307.69	143.01	339.14	373.81	490.14	260.38	392.44	563.18	420.68	417.77	497.0	454.09	587.13	395.18	269.6	285.03	215.77	341.51	866.07	90.14	521.76	423.61	303.44	232.94	723.08	215.77
SETDB1	884.29	1143.1	299.25	620.67	961.07	332.14	555.41	406.31	389.72	202.66	297.17	182.55	239.52	226.54	205.5	93.35	133.36	206.94	447.82	212.78	420.68	248.0	211.31	291.04	323.03	224.97	199.85	679.29	1304.15	265.87	728.11	457.25	629.35	647.07	543.96	1572.76	698.41	836.53	674.59	688.78	1447.15	1233.75	708.18	483.38	607.87	708.18	1096.5	473.41	1119.56	1295.13	842.36	802.41	1508.65	285.03
SFSWAP	543.96	842.36	555.41	713.11	738.29	414.87	463.65	323.03	511.0	241.19	255.0	142.01	271.48	147.06	149.12	99.43	104.42	171.45	220.32	138.1	314.17	249.73	171.45	183.82	193.01	429.54	163.28	591.22	599.49	94.67	633.73	503.95	540.19	728.11	629.35	878.17	669.92	432.53	555.41	674.59	728.11	819.3	629.35	329.84	480.04	723.08	791.35	392.44	1104.13	921.88	620.67	698.41	563.18	457.25
SH3BP5L	403.5	638.15	303.44	343.89	358.54	211.31	208.38	339.14	246.28	134.3	224.97	228.13	138.1	204.07	279.14	163.28	220.32	95.34	267.73	158.79	171.45	164.42	166.73	142.01	180.02	73.54	173.85	493.56	684.02	140.04	371.22	301.33	536.45	559.28	500.46	728.11	473.41	656.11	346.29	327.56	785.88	796.86	599.49	417.77	426.57	373.81	733.19	420.68	547.75	444.72	503.95	733.19	748.61	285.03
SNX30	163.28	256.78	80.57	142.01	156.59	63.45	77.25	88.88	36.01	39.79	47.5	39.5	38.95	57.08	33.78	61.68	60.39	74.06	49.91	71.5	45.85	74.58	115.16	75.11	56.68	41.22	35.25	129.69	131.51	18.56	37.85	346.29	67.59	93.35	52.82	178.77	105.15	117.6	99.43	52.45	98.73	209.84	87.03	143.01	47.84	183.82	89.51	108.9	218.79	186.4	111.21	58.71	92.05	82.87
TAF1	514.56	693.58	127.0	287.01	368.65	67.59	144.01	185.11	95.34	45.53	105.89	39.79	100.13	76.71	72.01	54.33	37.05	84.04	116.78	123.5	84.04	237.86	170.25	98.04	186.4	126.12	43.02	327.56	358.54	26.67	281.09	297.17	262.2	341.51	237.86	356.05	387.02	503.95	316.37	341.51	476.71	493.56	283.05	131.51	120.1	327.56	447.82	181.28	503.95	171.45	358.54	323.03	253.23	279.14
TAF1C	291.04	1127.35	571.05	669.92	961.07	264.03	532.74	432.53	267.73	293.07	384.34	291.04	312.0	167.9	194.36	99.43	115.16	180.02	217.27	148.09	403.5	265.87	244.57	361.04	339.14	197.09	234.57	1233.75	575.03	117.6	607.87	616.37	921.88	603.67	392.44	669.92	1277.29	447.82	1037.29	723.08	1447.15	1037.29	314.17	361.04	314.17	1216.75	1322.37	389.72	1304.15	1259.69	563.18	518.15	1674.06	669.92
TCFL5	201.25	212.78	246.28	371.22	249.73	53.95	204.07	138.1	147.06	49.56	91.41	69.03	56.68	77.79	84.04	60.82	55.49	58.3	42.71	43.63	54.72	39.5	31.67	72.52	94.67	44.57	42.11	129.69	403.5	204.07	92.05	178.77	102.25	186.4	150.17	226.54	150.17	142.01	220.32	269.6	287.01	256.78	152.28	267.73	119.26	176.29	346.29	255.0	387.02	187.71	154.42	244.57	507.46	149.12
TCHP	323.03	301.33	169.07	202.66	373.81	190.34	186.4	291.04	152.28	94.01	102.25	104.42	129.69	85.22	50.98	106.63	157.68	82.29	89.51	77.25	38.95	80.57	111.99	159.9	110.43	30.56	39.79	208.38	264.03	32.59	253.23	325.29	182.55	327.56	309.83	392.44	264.03	353.59	221.86	244.57	444.72	339.14	277.2	255.0	164.42	312.0	457.25	214.27	234.57	595.34	258.57	241.19	426.57	110.43
TMEM51	493.56	293.07	320.8	194.36	947.83	51.35	55.1	40.93	34.51	99.43	138.1	32.36	249.73	53.95	70.01	224.97	53.57	55.49	796.86	31.22	70.01	40.93	52.82	31.45	98.04	105.15	64.8	397.93	163.28	356.05	358.54	249.73	483.38	191.67	432.53	796.86	915.51	249.73	555.41	536.45	624.99	447.82	236.21	155.5	82.87	457.25	1233.75	612.11	1001.93	1950.0	454.09	197.09	258.57	164.42
TOMM34	603.67	486.75	759.08	988.12	620.67	503.95	406.31	379.04	368.65	258.57	361.04	336.79	409.15	285.03	185.11	476.71	406.31	285.03	525.39	232.94	384.34	353.59	162.14	346.29	291.04	339.14	397.93	1259.69	954.43	463.65	665.29	571.05	587.13	312.0	457.25	1159.07	575.03	713.11	607.87	555.41	1127.35	633.73	866.07	511.0	830.75	620.67	2591.27	612.11	1844.76	1369.04	1498.22	909.17	1477.58	579.04
TRIM52	246.28	620.67	36.27	124.37	684.02	45.85	154.42	118.43	204.07	55.1	108.14	54.72	102.97	64.8	149.12	25.91	60.82	27.84	99.43	36.27	38.4	49.91	36.27	79.45	153.34	34.02	65.26	131.51	202.66	16.63	95.34	202.66	118.43	150.17	118.43	175.07	189.02	143.01	163.28	135.24	187.71	256.78	73.54	186.4	49.56	198.47	176.29	88.88	363.56	171.45	199.85	163.28	327.56	88.26
TSSK4	52.45	71.0	12.27	13.03	50.98	11.47	5.41	7.88	5.23	1.87	5.59	3.82	0.0	4.28	7.46	2.03	0.83	3.29	3.44	12.83	3.92	11.3	15.68	4.62	3.2	2.05	2.07	31.9	26.86	0.0	29.27	23.59	9.7	24.63	26.86	28.24	21.47	21.16	64.34	53.19	25.35	41.81	9.2	9.06	5.87	44.57	32.36	10.88	58.3	40.07	24.46	5.32	20.71	24.99
TTC3	1127.35	3564.78	674.59	1066.48	2061.24	258.57	967.76	1208.34	320.8	356.05	376.41	82.87	323.03	395.18	426.57	248.0	454.09	612.11	316.37	633.73	314.17	583.07	343.89	435.55	343.89	353.59	395.18	884.29	1331.57	77.79	665.29	307.69	698.41	476.71	616.37	599.49	1088.92	1378.57	660.68	854.13	1135.2	1066.48	848.22	759.08	532.74	1081.39	713.11	1167.14	1208.34	1073.91	1447.15	1697.45	2178.83	688.78
URB1	202.66	185.11	193.01	109.66	152.28	119.26	124.37	148.09	28.86	31.9	53.57	64.34	49.56	66.18	42.11	49.56	68.07	115.97	72.52	81.14	44.57	103.69	57.08	73.03	37.85	46.18	59.13	214.27	158.79	25.91	224.97	151.22	144.01	122.64	150.17	269.6	181.28	249.73	145.02	234.57	226.54	150.17	211.31	260.38	92.05	283.05	159.9	124.37	279.14	269.6	166.73	157.68	241.19	158.79
VPS52	1216.75	1769.57	791.35	764.36	1674.06	796.86	660.68	1081.39	866.07	620.67	909.17	836.53	780.44	591.22	599.49	336.79	497.0	476.71	507.46	438.59	791.35	486.75	579.04	748.61	785.88	559.28	651.58	1369.04	1605.83	303.44	1059.11	674.59	878.17	1159.07	1199.98	1359.57	884.29	1096.5	1208.34	1208.34	1794.29	1651.0	848.22	651.58	1199.98	1378.57	1508.65	733.19	1427.22	954.43	1397.83	1030.12	1191.69	738.29
WDR35	199.85	218.79	111.99	64.34	420.68	9.56	32.13	53.19	22.92	28.65	29.06	13.93	32.82	21.94	16.75	9.13	20.86	28.24	36.01	25.17	8.13	47.5	33.54	45.21	22.92	7.82	35.76	87.65	100.13	30.78	77.79	80.57	49.56	31.9	40.93	137.14	79.45	45.85	54.72	87.65	149.12	189.02	64.8	77.79	36.27	127.89	119.26	107.38	178.77	81.71	122.64	183.82	205.5	183.82
ZBTB40	303.44	183.82	82.87	120.94	312.0	76.17	74.06	110.43	77.25	24.63	55.49	15.68	35.5	48.87	26.47	19.11	18.97	19.53	49.91	39.79	25.17	30.12	34.26	38.67	24.11	16.63	24.63	166.73	232.94	8.19	146.03	118.43	120.1	126.12	115.16	297.17	253.23	121.79	153.34	98.04	234.57	253.23	157.68	78.89	72.52	193.01	297.17	116.78	373.81	237.86	166.73	111.21	339.14	96.68
ZDHHC17	414.87	583.07	165.57	301.33	656.11	74.06	172.65	185.11	131.51	76.17	104.42	34.02	106.63	89.51	94.67	68.55	45.85	63.0	231.32	127.0	89.51	108.14	121.79	127.0	129.69	92.7	147.06	206.94	414.87	66.18	281.09	231.32	244.57	287.01	129.69	329.84	361.04	329.84	228.13	221.86	314.17	536.45	191.67	145.02	73.54	403.5	309.83	267.73	303.44	275.28	159.9	470.14	417.77	248.0
ZKSCAN8	248.0	318.57	52.45	190.34	358.54	46.84	190.34	115.97	86.43	37.32	66.18	24.63	63.0	43.32	74.06	15.0	23.42	50.27	66.65	53.57	61.25	78.89	38.67	56.68	80.01	24.99	35.0	246.28	423.61	13.93	279.14	146.03	152.28	237.86	83.45	228.13	112.77	163.28	152.28	361.04	299.25	444.72	197.09	124.37	70.51	293.07	297.17	149.12	559.28	248.0	201.25	305.55	438.59	287.01
ZMYM4	660.68	583.07	307.69	316.37	575.03	132.44	237.86	199.85	131.51	114.36	115.16	49.91	135.24	141.02	94.01	115.97	134.3	115.97	166.73	111.99	164.42	64.34	182.55	105.15	124.37	87.03	88.26	412.0	708.18	50.27	454.09	208.38	339.14	470.14	301.33	551.56	497.0	412.0	281.09	384.34	753.83	703.28	463.65	287.01	229.72	414.87	575.03	567.1	591.22	521.76	438.59	432.53	612.11	414.87
ZNF10	170.25	366.09	96.68	46.84	507.46	20.26	88.26	120.94	102.97	110.43	75.11	16.27	73.03	33.54	85.82	21.63	14.89	29.7	43.94	59.55	75.64	49.56	37.32	46.84	90.14	102.25	50.98	132.44	142.01	15.68	99.43	105.15	79.45	161.02	81.71	224.97	220.32	106.63	104.42	277.2	239.52	204.07	163.28	53.19	50.98	177.53	271.48	124.37	275.28	164.42	98.04	193.01	111.21	93.35
ZNF248	140.04	384.34	71.0	128.79	444.72	63.45	89.51	105.15	64.8	34.02	38.67	22.43	29.27	35.0	55.1	21.94	30.12	16.27	70.01	23.93	22.75	22.26	14.24	47.17	52.45	18.7	41.52	110.43	157.68	28.24	88.88	100.13	102.25	90.14	85.22	177.53	211.31	89.51	115.16	368.65	267.73	236.21	100.13	92.7	42.71	180.02	198.47	175.07	141.02	165.57	231.32	158.79	808.0	124.37
ZNF33A	764.36	497.0	193.01	132.44	651.58	170.25	253.23	353.59	224.97	161.02	232.94	94.67	217.27	202.66	334.46	165.57	127.0	138.1	224.97	161.02	258.57	135.24	206.94	231.32	293.07	104.42	246.28	172.65	273.37	143.01	256.78	194.36	275.28	151.22	260.38	423.61	291.04	212.78	320.8	483.38	571.05	395.18	334.46	208.38	115.16	339.14	403.5	291.04	236.21	316.37	371.22	271.48	612.11	237.86
ZNF354B	177.53	346.29	54.33	123.5	412.0	35.0	75.11	72.01	122.64	32.59	82.29	4.31	94.67	12.55	64.34	11.13	19.11	40.93	47.5	16.39	44.89	46.18	12.0	48.87	82.87	29.91	31.45	125.24	232.94	23.08	135.24	167.9	108.9	136.19	95.34	211.31	303.44	115.16	170.25	228.13	146.03	343.89	82.87	146.03	26.86	195.72	193.01	105.89	307.69	318.57	277.2	228.13	412.0	150.17
ZNF496	323.03	480.04	348.71	368.65	457.25	16.51	97.36	94.01	37.05	94.01	102.97	50.98	67.59	67.12	76.17	50.63	6.89	23.76	246.28	30.78	53.95	189.02	70.01	24.81	102.25	108.14	27.05	493.56	896.64	63.0	463.65	239.52	547.75	242.88	346.29	540.19	353.59	426.57	255.0	392.44	480.04	723.08	384.34	371.22	303.44	279.14	483.38	395.18	579.04	616.37	490.14	713.11	802.41	318.57
ZNF587	921.88	967.76	84.04	208.38	353.59	56.28	120.1	84.63	68.07	50.63	52.45	35.25	58.3	38.67	108.14	12.18	13.03	22.1	77.25	33.06	49.56	39.5	24.81	65.72	58.3	25.35	20.71	339.14	208.38	30.56	246.28	149.12	371.22	279.14	181.28	463.65	223.41	205.5	336.79	271.48	454.09	802.41	212.78	90.14	69.03	303.44	426.57	379.04	438.59	231.32	234.57	273.37	450.94	76.17
ZNF605	283.05	293.07	23.59	60.82	218.79	53.57	81.71	52.08	64.8	13.93	39.5	8.45	30.12	21.78	34.51	5.73	25.17	14.14	25.35	14.24	17.51	11.82	8.13	31.9	59.97	10.96	18.29	36.01	134.3	3.29	114.36	140.04	90.77	144.01	80.57	155.5	129.69	109.66	63.45	145.02	193.01	244.57	101.54	56.68	38.12	111.99	126.12	82.87	281.09	139.07	96.68	157.68	131.51	77.79
ZNF646	224.97	256.78	85.82	171.45	239.52	59.55	175.07	98.04	71.0	30.78	49.21	31.0	31.22	41.81	39.22	19.25	30.56	30.56	40.93	20.26	42.41	26.47	28.45	28.65	40.36	14.24	31.9	166.73	202.66	15.8	100.13	90.14	152.28	220.32	147.06	218.79	140.04	175.07	180.02	314.17	271.48	400.71	232.94	104.42	143.01	208.38	125.24	96.68	237.86	144.01	275.28	154.42	293.07	88.26
ZNF76	497.0	1286.18	323.03	480.04	1529.73	389.72	256.78	490.14	567.1	305.55	444.72	325.29	346.29	244.57	297.17	178.77	175.07	190.34	229.72	162.14	346.29	189.02	256.78	361.04	412.0	262.2	320.8	769.69	896.64	239.52	511.0	397.93	426.57	785.88	329.84	825.0	480.04	567.1	389.72	825.0	1183.45	1183.45	271.48	379.04	483.38	791.35	733.19	341.51	934.76	450.94	518.15	563.18	769.69	277.2
ZNF789	166.73	312.0	110.43	197.09	423.61	121.79	95.34	111.21	108.9	70.51	101.54	47.84	81.14	51.71	103.69	47.5	50.98	40.93	54.72	28.86	45.21	39.22	40.36	50.27	102.25	73.03	69.03	336.79	183.82	132.44	273.37	363.56	161.02	279.14	98.04	356.05	397.93	205.5	291.04	423.61	620.67	551.56	183.82	262.2	98.04	336.79	395.18	281.09	497.0	356.05	181.28	224.97	447.82	195.72
ZNF84	483.38	830.75	156.59	329.84	460.44	34.51	158.79	169.07	150.17	109.66	120.1	44.25	154.42	88.88	162.14	38.95	63.89	63.0	162.14	60.82	120.1	69.52	63.89	105.15	114.36	101.54	145.02	209.84	435.55	80.57	432.53	387.02	234.57	447.82	297.17	612.11	669.92	356.05	271.48	486.75	1023.0	583.07	476.71	199.85	209.84	363.56	624.99	348.71	616.37	239.52	305.55	665.29	305.55	204.07
