	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
PBRM1	656.11	587.13	753.83	392.44	665.29	155.5	299.25	511.0	303.44	620.67	289.02	361.04	138.1	412.0	733.19	323.03	802.41	361.04	249.73	1225.22	193.01	161.02	262.2	547.75	217.27	493.56	255.0	457.25	291.04	825.0	171.45	223.41	140.04	76.71	77.25	67.59	92.7	107.38	72.01	78.34	78.89	88.26	102.97	119.26	96.01	59.55
PDCD10	1498.22	915.51	1015.93	1001.93	1388.16	656.11	1295.13	1529.73	1457.23	1225.22	1477.58	1175.27	878.17	1088.92	1037.29	1583.71	2351.53	1073.91	1008.9	2400.97	1304.15	1331.57	2664.15	1167.14	1183.45	1923.14	1030.12	1350.18	1250.98	1191.69	1037.29	1001.93	616.37	454.09	291.04	583.07	470.14	412.0	571.05	384.34	384.34	493.56	529.06	723.08	339.14	190.34
PDS5A	1295.13	802.41	718.08	708.18	1008.9	708.18	638.15	1259.69	688.78	967.76	551.56	718.08	457.25	854.13	1127.35	941.27	1651.0	555.41	633.73	1407.55	928.3	490.14	830.75	1059.11	941.27	988.12	514.56	629.35	688.78	1127.35	567.1	607.87	323.03	236.21	209.84	204.07	260.38	293.07	199.85	215.77	194.36	217.27	275.28	309.83	309.83	157.68
PEX1	660.68	373.81	466.88	379.04	529.06	314.17	307.69	392.44	323.03	234.57	303.44	406.31	429.54	339.14	271.48	400.71	536.45	127.89	241.19	420.68	325.29	281.09	283.05	426.57	389.72	620.67	387.02	275.28	320.8	802.41	244.57	293.07	237.86	148.09	258.57	140.04	130.6	211.31	163.28	110.43	124.37	194.36	114.36	197.09	193.01	116.78
PHC3	307.69	444.72	366.09	244.57	406.31	132.44	164.42	473.41	187.71	540.19	172.65	273.37	74.58	279.14	384.34	351.14	878.17	275.28	173.85	616.37	166.73	96.68	403.5	348.71	220.32	414.87	211.31	297.17	181.28	547.75	169.07	176.29	46.5	33.3	19.11	40.07	38.67	43.94	19.25	47.5	50.27	35.25	50.27	80.57	40.93	32.82
PIK3CA	301.33	332.14	289.02	155.5	325.29	103.69	195.72	579.04	191.67	316.37	226.54	201.25	115.97	116.78	299.25	234.57	457.25	267.73	199.85	447.82	201.25	152.28	295.11	220.32	267.73	258.57	115.97	246.28	170.25	255.0	181.28	158.79	77.79	37.32	36.79	70.01	66.18	59.13	34.26	45.85	47.5	64.34	57.49	107.38	60.82	32.13
PKN2	356.05	392.44	236.21	110.43	381.68	303.44	224.97	525.39	295.11	234.57	275.28	258.57	148.09	348.71	271.48	366.09	540.19	262.2	224.97	497.0	287.01	181.28	503.95	273.37	214.27	366.09	262.2	271.48	314.17	583.07	214.27	154.42	172.65	79.45	70.01	91.41	111.99	144.01	78.34	70.51	77.25	122.64	91.41	178.77	199.85	65.72
PMS1	234.57	186.4	246.28	127.89	137.14	189.02	228.13	295.11	187.71	138.1	122.64	113.56	111.21	135.24	151.22	121.79	202.66	151.22	105.89	265.87	181.28	191.67	122.64	269.6	121.79	115.97	206.94	186.4	147.06	166.73	70.51	77.25	130.6	78.34	118.43	89.51	66.18	70.01	63.45	52.08	114.36	71.0	67.12	88.26	76.17	29.48
POGLUT1	325.29	231.32	265.87	149.12	172.65	154.42	318.57	281.09	195.72	171.45	151.22	124.37	83.45	194.36	249.73	133.36	223.41	271.48	171.45	316.37	214.27	336.79	291.04	137.14	156.59	289.02	94.01	291.04	145.02	194.36	249.73	133.36	98.73	57.89	87.03	60.39	71.0	57.49	84.63	37.85	112.77	115.97	65.72	105.89	106.63	53.95
PPP1CC	2209.26	2047.0	1936.53	2061.24	1721.16	1896.65	1561.89	3212.66	1844.76	1950.0	1769.57	2209.26	1151.06	2047.0	2796.65	2739.08	4869.99	2090.03	2032.85	1896.65	2591.27	1583.71	1427.22	2645.74	1721.16	2537.92	1674.06	2417.67	1674.06	1769.57	1781.89	1051.79	1407.55	1111.82	753.83	540.19	753.83	1159.07	743.43	981.29	759.08	941.27	954.43	1143.1	890.44	583.07
PPP1R12A	679.29	713.11	511.0	346.29	647.07	432.53	271.48	1250.98	281.09	718.08	341.51	493.56	185.11	368.65	647.07	373.81	759.08	642.59	353.59	1081.39	373.81	226.54	397.93	733.19	400.71	497.0	351.14	679.29	325.29	909.17	423.61	189.02	187.71	106.63	84.63	75.11	105.15	105.89	91.41	73.03	70.01	76.71	126.12	221.86	118.43	30.34
PPP1R2	921.88	591.22	607.87	769.69	775.05	947.83	884.29	974.5	915.51	1208.34	1277.29	753.83	796.86	417.77	878.17	813.63	1143.1	1066.48	599.49	1417.35	928.3	647.07	1457.23	764.36	1709.26	1096.5	1605.83	848.22	909.17	1104.13	1104.13	791.35	327.56	226.54	195.72	273.37	341.51	332.14	237.86	211.31	361.04	514.56	303.44	493.56	258.57	124.37
PUM1	988.12	1304.15	1081.39	423.61	1350.18	435.55	688.78	1143.1	769.69	743.43	723.08	656.11	476.71	688.78	995.0	921.88	954.43	830.75	647.07	1066.48	693.58	511.0	1059.11	1104.13	629.35	775.05	785.88	567.1	555.41	796.86	532.74	420.68	356.05	236.21	164.42	228.13	262.2	316.37	251.48	287.01	212.78	339.14	226.54	341.51	283.05	228.13
QTRTD1	341.51	327.56	414.87	253.23	291.04	289.02	202.66	400.71	223.41	205.5	193.01	178.77	167.9	329.84	403.5	307.69	981.29	325.29	173.85	339.14	334.46	152.28	356.05	251.48	262.2	287.01	323.03	248.0	169.07	409.15	220.32	208.38	101.54	69.52	57.89	92.05	92.05	102.25	39.5	69.52	81.14	62.56	92.7	91.41	82.87	52.82
RALBP1	1167.14	1081.39	1119.56	718.08	1857.6	1191.69	836.53	1088.92	961.07	1088.92	967.76	1268.46	860.08	961.07	1242.34	1008.9	947.83	1331.57	642.59	555.41	872.1	1030.12	1104.13	1208.34	607.87	1111.82	1806.78	902.89	1781.89	981.29	1001.93	1111.82	412.0	426.57	406.31	476.71	460.44	480.04	373.81	612.11	379.04	486.75	473.41	420.68	303.44	197.09
RBM27	361.04	293.07	258.57	198.47	267.73	165.57	181.28	441.64	297.17	309.83	220.32	206.94	150.17	264.03	473.41	289.02	733.19	283.05	234.57	400.71	212.78	117.6	314.17	236.21	234.57	269.6	190.34	299.25	177.53	341.51	201.25	166.73	113.56	63.89	63.45	59.97	64.34	81.14	58.3	71.0	56.28	87.65	86.43	96.68	105.15	22.26
RFC4	967.76	336.79	723.08	1151.06	463.65	559.28	368.65	476.71	698.41	595.34	346.29	511.0	361.04	791.35	392.44	698.41	651.58	221.86	435.55	400.71	587.13	234.57	532.74	808.0	409.15	633.73	583.07	599.49	647.07	559.28	454.09	392.44	358.54	368.65	202.66	226.54	206.94	366.09	234.57	269.6	132.44	211.31	244.57	318.57	358.54	105.89
RIF1	201.25	255.0	395.18	94.67	279.14	121.79	120.94	441.64	102.97	194.36	108.9	165.57	68.07	164.42	277.2	169.07	384.34	206.94	122.64	260.38	131.51	83.45	122.64	178.77	176.29	151.22	206.94	195.72	142.01	454.09	120.94	94.67	72.52	48.87	39.79	33.78	45.85	60.39	38.95	32.59	37.85	38.67	45.21	59.13	68.07	14.03
RNF13	1617.0	1030.12	1208.34	896.64	836.53	988.12	860.08	1963.57	1119.56	1268.46	1447.15	1151.06	988.12	1277.29	1277.29	1819.35	1870.53	1143.1	802.41	2573.36	1447.15	1096.5	1769.57	759.08	1639.59	1936.53	1023.0	1313.23	1143.1	1794.29	1331.57	1397.83	785.88	684.02	432.53	571.05	629.35	571.05	819.3	607.87	599.49	808.0	769.69	1066.48	796.86	389.72
RNF38	264.03	309.83	476.71	176.29	361.04	175.07	289.02	567.1	177.53	316.37	277.2	242.88	232.94	206.94	194.36	289.02	536.45	226.54	253.23	543.96	748.61	185.11	228.13	483.38	371.22	435.55	241.19	435.55	289.02	412.0	264.03	156.59	133.36	80.57	35.5	66.65	103.69	100.13	74.58	102.25	100.83	154.42	108.14	148.09	68.55	100.83
RNMT	571.05	397.93	368.65	339.14	684.02	511.0	435.55	470.14	392.44	429.54	511.0	463.65	457.25	314.17	466.88	607.87	802.41	490.14	287.01	325.29	486.75	307.69	438.59	555.41	571.05	470.14	647.07	559.28	381.68	591.22	441.64	435.55	316.37	387.02	420.68	258.57	271.48	343.89	206.94	325.29	379.04	320.8	376.41	283.05	135.24	136.19
RPE	633.73	629.35	921.88	466.88	769.69	371.22	480.04	954.43	532.74	684.02	575.03	612.11	336.79	575.03	981.29	633.73	718.08	688.78	587.13	1208.34	674.59	423.61	432.53	665.29	728.11	395.18	748.61	872.1	703.28	595.34	420.68	412.0	341.51	236.21	244.57	366.09	312.0	277.2	307.69	256.78	242.88	258.57	277.2	376.41	241.19	258.57
RYK	1167.14	921.88	532.74	551.56	791.35	503.95	603.67	909.17	1350.18	638.15	764.36	693.58	381.68	629.35	579.04	915.51	1081.39	723.08	620.67	902.89	872.1	473.41	708.18	860.08	688.78	660.68	703.28	921.88	529.06	629.35	599.49	599.49	320.8	226.54	152.28	186.4	264.03	307.69	258.57	231.32	265.87	327.56	343.89	346.29	162.14	149.12
SCYL2	703.28	432.53	583.07	228.13	587.13	236.21	285.03	733.19	332.14	547.75	336.79	444.72	255.0	507.46	708.18	466.88	1745.2	547.75	389.72	775.05	473.41	249.73	341.51	540.19	571.05	713.11	412.0	543.96	540.19	525.39	343.89	289.02	267.73	120.94	129.69	152.28	165.57	147.06	161.02	105.89	163.28	163.28	176.29	281.09	163.28	111.21
SEH1L	543.96	423.61	624.99	595.34	723.08	423.61	500.46	490.14	547.75	511.0	620.67	547.75	460.44	353.59	656.11	860.08	1242.34	525.39	376.41	579.04	497.0	525.39	669.92	599.49	336.79	651.58	656.11	718.08	281.09	633.73	607.87	334.46	389.72	444.72	299.25	303.44	348.71	307.69	224.97	273.37	341.51	267.73	400.71	341.51	138.1	251.48
SENP5	260.38	176.29	215.77	158.79	312.0	237.86	157.68	351.14	185.11	234.57	190.34	269.6	165.57	177.53	154.42	258.57	441.64	223.41	172.65	318.57	258.57	143.01	334.46	341.51	258.57	316.37	147.06	258.57	249.73	325.29	307.69	229.72	156.59	103.69	194.36	100.83	127.89	108.9	97.36	94.67	105.89	104.42	124.37	143.01	105.89	60.39
SETD2	830.75	536.45	540.19	417.77	603.67	226.54	366.09	551.56	420.68	563.18	318.57	551.56	264.03	457.25	420.68	575.03	587.13	392.44	329.84	775.05	318.57	236.21	363.56	620.67	256.78	551.56	444.72	486.75	368.65	775.05	379.04	341.51	215.77	148.09	127.89	140.04	194.36	150.17	156.59	148.09	165.57	171.45	197.09	190.34	215.77	60.82
SMC3	1111.82	842.36	934.76	1151.06	1001.93	384.34	688.78	836.53	802.41	866.07	579.04	591.22	361.04	759.08	796.86	842.36	1159.07	775.05	536.45	1936.53	651.58	450.94	842.36	1437.15	748.61	878.17	575.03	878.17	514.56	1242.34	1135.2	406.31	265.87	212.78	131.51	162.14	195.72	228.13	157.68	201.25	140.04	234.57	183.82	260.38	239.52	73.54
SP1	988.12	974.5	830.75	728.11	1313.23	785.88	521.76	1096.5	603.67	909.17	555.41	718.08	438.59	825.0	878.17	830.75	1183.45	830.75	651.58	954.43	638.15	435.55	679.29	928.3	656.11	878.17	579.04	708.18	500.46	854.13	353.59	435.55	248.0	183.82	149.12	127.0	185.11	186.4	154.42	189.02	171.45	164.42	221.86	237.86	197.09	142.01
SRSF1	3018.3	3443.31	4512.4	3235.01	3467.27	3190.46	2502.97	3467.27	3190.46	4066.71	2520.38	3419.52	1883.54	2875.3	3443.31	3794.3	5329.3	4239.45	2720.15	3901.01	2997.45	1508.65	3467.27	3212.66	3419.52	2855.44	2609.3	4181.07	2255.7	3280.18	4450.27	3349.13	1662.49	1167.14	723.08	1233.75	1143.1	1208.34	860.08	1191.69	1030.12	1111.82	1467.37	1498.22	1427.22	866.07
SRSF10	2400.97	2090.03	1806.78	1225.22	1757.34	1119.56	1551.09	2335.28	1447.15	1561.89	1304.15	1605.83	848.22	1225.22	1572.76	1883.54	2271.4	1794.29	1143.1	3168.41	1583.71	1015.93	1561.89	1295.13	1467.37	1572.76	1757.34	1417.35	1359.57	1340.84	1487.87	928.3	884.29	656.11	295.11	733.19	738.29	708.18	723.08	503.95	463.65	642.59	665.29	1081.39	830.75	514.56
TBC1D23	583.07	480.04	343.89	392.44	414.87	323.03	314.17	521.76	373.81	361.04	543.96	187.71	273.37	435.55	387.02	444.72	733.19	376.41	262.2	559.28	417.77	314.17	470.14	295.11	473.41	521.76	269.6	387.02	327.56	454.09	329.84	325.29	241.19	185.11	183.82	241.19	226.54	299.25	251.48	151.22	239.52	258.57	285.03	281.09	269.6	135.24
TBCCD1	236.21	190.34	285.03	169.07	186.4	133.36	178.77	277.2	169.07	239.52	127.89	194.36	108.14	198.47	198.47	244.57	234.57	170.25	204.07	151.22	293.07	112.77	229.72	170.25	193.01	255.0	130.6	186.4	178.77	176.29	164.42	99.43	140.04	78.34	111.21	105.89	81.71	107.38	91.41	115.16	117.6	119.26	108.9	113.56	102.97	92.7
TDG	438.59	423.61	620.67	348.71	493.56	358.54	267.73	591.22	242.88	450.94	253.23	336.79	194.36	299.25	521.76	387.02	1051.79	366.09	447.82	713.11	547.75	186.4	277.2	633.73	346.29	320.8	237.86	536.45	511.0	373.81	358.54	197.09	249.73	182.55	135.24	132.44	142.01	122.64	116.78	129.69	108.14	81.71	156.59	248.0	159.9	87.65
TFAM	656.11	483.38	376.41	450.94	607.87	403.5	381.68	723.08	599.49	651.58	447.82	392.44	234.57	406.31	674.59	579.04	1250.98	587.13	438.59	1313.23	457.25	320.8	629.35	718.08	423.61	555.41	444.72	493.56	368.65	802.41	307.69	265.87	215.77	191.67	107.38	191.67	195.72	208.38	153.34	129.69	155.5	226.54	237.86	241.19	172.65	114.36
TMEM241	753.83	759.08	379.04	599.49	1175.27	679.29	511.0	587.13	463.65	547.75	633.73	796.86	507.46	387.02	647.07	785.88	713.11	457.25	287.01	400.71	620.67	441.64	454.09	764.36	265.87	1066.48	555.41	669.92	392.44	642.59	373.81	775.05	61.25	79.45	135.24	76.71	70.51	62.12	54.72	69.03	24.81	24.63	59.13	63.45	36.27	57.08
TMX3	599.49	493.56	624.99	343.89	854.13	297.17	358.54	647.07	206.94	358.54	384.34	536.45	287.01	395.18	387.02	384.34	890.44	299.25	267.73	395.18	303.44	191.67	325.29	1143.1	249.73	551.56	258.57	559.28	406.31	1119.56	409.15	287.01	309.83	142.01	94.67	110.43	132.44	135.24	111.99	73.54	105.89	116.78	106.63	271.48	195.72	44.25
TNPO1	1073.91	599.49	830.75	435.55	1015.93	305.55	607.87	1340.84	503.95	775.05	567.1	647.07	417.77	665.29	1457.23	728.11	2384.37	890.44	612.11	1498.22	460.44	397.93	854.13	647.07	842.36	764.36	599.49	738.29	587.13	1088.92	567.1	397.93	275.28	157.68	181.28	231.32	195.72	152.28	170.25	127.0	131.51	75.64	156.59	303.44	166.73	116.78
TOMM70A	1199.98	1175.27	651.58	1015.93	679.29	961.07	713.11	1119.56	860.08	796.86	780.44	587.13	536.45	1127.35	1286.18	1286.18	1709.26	860.08	559.28	1806.78	1088.92	836.53	1111.82	1096.5	1073.91	1066.48	684.02	1183.45	642.59	1417.35	1008.9	551.56	638.15	587.13	540.19	603.67	607.87	738.29	624.99	547.75	503.95	660.68	775.05	624.99	540.19	483.38
TOP2B	2895.31	2255.7	2090.03	2758.13	2777.33	2701.35	2367.9	2976.74	1977.24	2287.2	2287.2	1745.2	1322.37	1662.49	1781.89	2417.67	3794.3	2555.58	1437.15	2758.13	2555.58	1572.76	1340.84	2224.63	1250.98	1896.65	1617.0	2537.92	1572.76	2367.9	2004.85	1313.23	934.76	819.3	397.93	460.44	698.41	684.02	620.67	559.28	791.35	684.02	1119.56	961.07	902.89	260.38
TRRAP	269.6	366.09	412.0	169.07	571.05	194.36	202.66	351.14	167.9	231.32	204.07	220.32	181.28	285.03	301.33	283.05	397.93	208.38	212.78	295.11	211.31	107.38	242.88	312.0	231.32	223.41	208.38	185.11	208.38	532.74	162.14	180.02	137.14	87.65	73.03	76.17	74.58	111.21	70.01	83.45	57.49	77.79	87.65	85.82	87.03	73.03
U2SURP	1519.15	1044.52	1111.82	890.44	1008.9	764.36	579.04	1561.89	656.11	947.83	753.83	1066.48	473.41	1096.5	1277.29	1259.69	1331.57	909.17	616.37	1467.37	1081.39	392.44	1313.23	1259.69	796.86	988.12	723.08	796.86	802.41	1909.85	1051.79	759.08	521.76	483.38	299.25	279.14	341.51	361.04	289.02	366.09	253.23	327.56	285.03	397.93	432.53	61.25
UBP1	1950.0	1143.1	954.43	934.76	1350.18	400.71	981.29	1551.09	1259.69	1417.35	884.29	1295.13	1096.5	1208.34	878.17	1540.37	1388.16	1119.56	693.58	1350.18	1233.75	607.87	748.61	1340.84	642.59	1295.13	748.61	2485.67	1001.93	1191.69	693.58	1119.56	540.19	368.65	198.47	358.54	454.09	351.14	432.53	417.77	295.11	358.54	669.92	543.96	366.09	255.0
UBXN7	285.03	214.27	279.14	136.19	281.09	157.68	154.42	332.14	142.01	224.97	141.02	149.12	64.8	149.12	236.21	237.86	457.25	226.54	123.5	332.14	204.07	96.68	183.82	209.84	208.38	231.32	115.16	182.55	133.36	289.02	180.02	124.37	55.89	38.67	22.26	39.79	42.41	38.4	32.59	38.4	29.7	35.5	48.18	55.49	45.21	39.22
UHRF1BP1L	361.04	297.17	187.71	258.57	241.19	81.14	267.73	353.59	256.78	414.87	239.52	217.27	146.03	289.02	334.46	429.54	860.08	316.37	384.34	514.56	228.13	229.72	253.23	457.25	258.57	447.82	182.55	255.0	358.54	273.37	241.19	133.36	218.79	189.02	173.85	132.44	154.42	177.53	162.14	122.64	129.69	146.03	131.51	237.86	155.5	83.45
VPS4B	819.3	1073.91	1268.46	878.17	1709.26	339.14	718.08	1151.06	785.88	974.5	988.12	934.76	563.18	728.11	1143.1	915.51	1151.06	2133.97	497.0	753.83	647.07	591.22	860.08	1242.34	480.04	1388.16	785.88	583.07	599.49	1832.01	563.18	638.15	316.37	289.02	191.67	293.07	255.0	325.29	265.87	232.94	169.07	255.0	285.03	387.02	131.51	258.57
WDR7	170.25	151.22	185.11	115.97	224.97	51.35	111.99	226.54	106.63	199.85	111.99	177.53	125.24	116.78	237.86	130.6	236.21	94.01	88.26	166.73	87.65	90.14	134.3	149.12	98.04	149.12	115.16	148.09	112.77	361.04	149.12	89.51	66.65	52.08	44.89	43.02	42.11	51.71	42.11	31.45	42.41	54.72	38.95	53.95	23.08	67.12
XRCC5	3280.18	4328.55	3540.14	2777.33	4298.64	4328.55	3928.15	4769.75	3665.02	3794.3	3372.43	3039.3	2351.53	3257.52	4298.64	3901.01	4512.4	5517.27	3564.78	7537.18	3491.39	2935.74	2537.92	3768.09	4419.52	2209.26	3060.45	3982.99	2255.7	4239.45	3716.2	1794.29	1721.16	1487.87	2240.11	1417.35	1447.15	909.17	1397.83	1551.09	1617.0	2777.33	3190.46	1628.26	1388.16	2555.58
YEATS2	231.32	251.48	305.55	124.37	231.32	191.67	193.01	301.33	153.34	236.21	127.89	187.71	122.64	155.5	218.79	215.77	232.94	218.79	180.02	171.45	262.2	88.26	178.77	307.69	178.77	182.55	117.6	182.55	136.19	193.01	149.12	116.78	145.02	102.25	49.91	108.14	78.89	80.01	65.26	98.73	50.98	42.11	87.03	120.94	92.7	29.48
ZBTB11	279.14	198.47	256.78	157.68	140.04	125.24	164.42	353.59	172.65	171.45	134.3	251.48	94.01	199.85	241.19	239.52	358.54	186.4	147.06	351.14	167.9	117.6	297.17	148.09	249.73	232.94	112.77	221.86	162.14	275.28	172.65	154.42	106.63	52.45	48.52	55.49	76.71	82.87	56.28	45.53	53.57	64.34	67.59	106.63	81.14	23.25
ZNF148	470.14	403.5	379.04	197.09	476.71	141.02	166.73	486.75	201.25	420.68	251.48	142.01	110.43	305.55	395.18	371.22	466.88	260.38	157.68	397.93	223.41	165.57	403.5	291.04	307.69	305.55	218.79	251.48	135.24	642.59	202.66	205.5	94.67	63.45	48.87	52.45	69.52	87.03	64.34	47.5	41.52	75.64	72.01	110.43	81.71	34.26
ZNF35	130.6	100.13	124.37	96.01	129.69	58.3	118.43	121.79	109.66	122.64	138.1	117.6	94.01	109.66	106.63	71.0	136.19	144.01	66.65	118.43	91.41	89.51	77.79	151.22	91.41	142.01	29.48	122.64	98.04	169.07	130.6	56.28	18.97	19.11	13.12	7.94	13.72	40.93	15.68	22.59	17.77	15.22	16.27	21.47	18.97	16.39
ZNF644	555.41	323.03	267.73	208.38	559.28	438.59	305.55	660.68	327.56	248.0	397.93	450.94	231.32	543.96	309.83	420.68	587.13	320.8	248.0	559.28	567.1	332.14	503.95	291.04	255.0	466.88	371.22	231.32	339.14	785.88	299.25	176.29	246.28	236.21	260.38	165.57	289.02	239.52	275.28	135.24	220.32	218.79	279.14	323.03	277.2	88.88
