	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07
HSPBP1	291.04	165.57	194.36	229.72	205.5	166.73	84.04	1437.15	1340.84	1199.98	995.0	1437.15	1242.34	1427.22	1135.2	764.36	1066.48	486.75	759.08	669.92	842.36	748.61	429.54	738.29	1143.1	540.19	387.02	1008.9	713.11	896.64	884.29	1250.98	698.41	1498.22	1208.34	1242.34	1001.93	884.29	1208.34	1199.98
ITPA	647.07	351.14	497.0	470.14	395.18	507.46	507.46	1757.34	1498.22	1233.75	1001.93	1781.89	1015.93	1508.65	2133.97	679.29	981.29	713.11	884.29	842.36	1001.93	813.63	674.59	974.5	1304.15	802.41	713.11	928.3	753.83	928.3	825.0	1304.15	909.17	1487.87	1561.89	1697.45	1369.04	928.3	1015.93	1225.22
JOSD2	229.72	241.19	295.11	327.56	126.12	76.71	105.89	961.07	954.43	785.88	813.63	819.3	651.58	921.88	753.83	507.46	693.58	348.71	579.04	379.04	441.64	532.74	279.14	470.14	579.04	381.68	251.48	480.04	595.34	438.59	470.14	890.44	320.8	1151.06	1051.79	954.43	848.22	866.07	743.43	759.08
LENG1	82.29	45.85	65.72	123.5	23.25	67.12	51.71	251.48	318.57	262.2	287.01	205.5	157.68	229.72	223.41	191.67	208.38	163.28	159.9	118.43	167.9	217.27	113.56	178.77	218.79	108.14	139.07	255.0	172.65	206.94	197.09	283.05	146.03	218.79	312.0	223.41	232.94	182.55	205.5	209.84
LRSAM1	218.79	209.84	177.53	204.07	126.12	195.72	212.78	500.46	642.59	409.15	417.77	518.15	305.55	669.92	426.57	318.57	591.22	307.69	346.29	343.89	358.54	470.14	253.23	275.28	480.04	314.17	208.38	441.64	303.44	353.59	332.14	454.09	305.55	595.34	426.57	490.14	414.87	379.04	497.0	490.14
LSMD1	1127.35	1427.22	1216.75	1023.0	890.44	825.0	842.36	4239.45	7382.04	4836.35	4298.64	7857.29	3443.31	4298.64	5219.6	2351.53	4836.35	1819.35	2627.46	3395.89	3212.66	2664.15	1561.89	2645.74	3768.09	2537.92	1015.93	3564.78	3589.58	2555.58	3212.66	5076.84	2303.12	5255.91	5711.87	5711.87	3928.15	3257.52	4298.64	3639.7
MAP2K2	1250.98	1447.15	1081.39	1233.75	1295.13	974.5	796.86	2319.15	2915.45	1909.85	2319.15	2664.15	1721.16	3168.41	1883.54	1662.49	2384.37	1378.57	1870.53	1662.49	1572.76	1857.6	1225.22	1583.71	1936.53	1651.0	934.76	1923.14	1583.71	1628.26	1936.53	2351.53	1359.57	2796.65	2451.44	3103.19	2255.7	1950.0	2468.49	2303.12
MBLAC1	16.39	17.64	12.93	13.52	10.79	6.16	2.32	65.72	124.37	51.35	75.64	73.03	100.13	72.52	65.72	40.93	95.34	37.05	53.19	43.02	75.64	58.3	24.46	67.12	84.04	43.94	10.39	68.55	49.21	50.63	92.7	79.45	57.89	98.04	47.17	81.71	65.26	64.8	67.12	76.17
MFSD10	612.11	392.44	450.94	432.53	454.09	417.77	480.04	1594.73	2417.67	1119.56	1096.5	1151.06	638.15	1407.55	967.76	836.53	1059.11	500.46	896.64	808.0	1059.11	674.59	435.55	555.41	1216.75	507.46	688.78	848.22	693.58	842.36	1001.93	1183.45	511.0	2240.11	1081.39	2104.58	1096.5	684.02	872.1	1268.46
MRPL23	684.02	674.59	738.29	915.51	423.61	532.74	384.34	2335.28	2796.65	2319.15	1963.57	3372.43	1870.53	2271.4	1674.06	1594.73	2287.2	1561.89	1605.83	1369.04	1709.26	1605.83	1081.39	1896.65	2018.8	1388.16	629.35	2209.26	1819.35	1529.73	1651.0	2758.13	1477.58	2555.58	2935.74	2777.33	2303.12	2075.59	2224.63	2047.0
