	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.E9.A1RI.11A.41R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.S32W.2026.SM.4AD6E	GTEX.Y114.2026.SM.4TT7L	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B0.5695.01A.11R.1541.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.HE.7129.01A.11R.1965.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15
PCDP1	13.52	2.1	41.22	16.63	42.41	7.57	12.36	6.16	47.84	28.86	29.7	108.14	12.09	2.16	0.0	1.25	5.36	0.43	12.27	3.41	0.78	2.18	3.89	9.93	7.34	5.06	3.86	8.13	202.66	110.43	87.65	151.22	61.25	202.66	273.37	74.06	110.43	99.43	283.05	327.56	202.66	341.51	332.14	518.15	67.59	121.79	332.14	181.28	215.77	358.54	291.04	295.11	381.68	293.07	363.56	567.1	379.04	320.8	688.78	194.36	206.94	303.44	228.13	532.74	476.71	129.69	232.94	187.71	86.43	127.0	417.77	275.28	329.84	244.57	64.8	267.73	150.17	301.33	260.38	194.36	381.68	194.36	204.07	341.51	249.73	271.48	529.06	563.18	211.31	493.56	169.07	285.03	111.99	164.42	612.11	197.09	35.76	149.12	156.59	156.59	206.94	190.34	371.22	251.48	241.19	57.08	53.57	279.14	71.5	159.9	66.18	55.89	246.28	205.5	127.89	486.75	194.36	366.09	262.2	205.5	165.57	93.35	348.71	334.46	209.84	540.19	57.89	190.34	318.57	99.43	237.86	356.05	231.32	368.65	248.0	206.94	307.69	0.0	0.21	16.75	1.71	3.96	0.0	5.45	281.09
PCSK4	32.82	10.79	4.98	21.94	7.34	13.22	15.91	2.63	4.06	3.2	21.78	1.46	9.93	4.03	21.16	15.8	8.85	7.69	6.21	6.52	13.93	14.45	11.13	9.48	19.68	14.56	11.04	12.18	18.03	18.84	54.33	100.83	72.01	45.53	195.72	146.03	34.51	24.46	60.82	624.99	100.13	105.15	185.11	209.84	41.52	125.24	147.06	140.04	480.04	426.57	381.68	334.46	309.83	187.71	212.78	283.05	173.85	406.31	473.41	106.63	269.6	178.77	123.5	246.28	194.36	132.44	251.48	94.01	148.09	180.02	201.25	169.07	135.24	348.71	94.01	231.32	94.01	150.17	100.83	246.28	131.51	334.46	52.45	283.05	211.31	128.79	150.17	426.57	232.94	177.53	41.22	603.67	52.08	130.6	400.71	95.34	53.57	90.14	165.57	102.97	400.71	199.85	511.0	224.97	307.69	55.89	74.58	251.48	43.63	198.47	82.29	31.67	211.31	112.77	186.4	185.11	120.94	426.57	190.34	190.34	74.58	40.36	291.04	297.17	50.27	251.48	55.49	90.14	68.07	102.97	204.07	212.78	218.79	559.28	148.09	70.51	281.09	0.0	0.51	31.9	8.71	6.89	18.43	4.06	281.09
PIGQ	429.54	154.42	211.31	327.56	450.94	361.04	275.28	343.89	281.09	255.0	248.0	161.02	473.41	356.05	483.38	348.71	444.72	379.04	607.87	426.57	392.44	457.25	244.57	293.07	303.44	363.56	346.29	457.25	738.29	1191.69	921.88	1008.9	647.07	743.43	1242.34	934.76	647.07	1127.35	559.28	3419.52	1467.37	1199.98	2148.82	2701.35	1073.91	1183.45	2018.8	2119.22	2956.17	3190.46	2287.2	2090.03	2627.46	3325.99	1397.83	2956.17	2178.83	3060.45	2240.11	1037.29	3018.3	1721.16	1191.69	2335.28	1268.46	4066.71	2935.74	2047.0	1572.76	2178.83	1963.57	2520.38	1583.71	2816.11	2664.15	2367.9	1051.79	2502.97	928.3	1331.57	674.59	4123.49	890.44	2520.38	2319.15	1529.73	1397.83	2367.9	2351.53	1594.73	1119.56	4802.93	1617.0	2133.97	2835.7	1359.57	1008.9	1757.34	854.13	1259.69	2664.15	1896.65	3639.7	2351.53	2163.77	928.3	1225.22	2645.74	842.36	2047.0	1870.53	825.0	1605.83	2004.85	2417.67	1857.6	1119.56	2400.97	1991.0	1991.0	1044.52	1447.15	3515.68	2758.13	1159.07	2777.33	981.29	1427.22	1135.2	1259.69	1857.6	2367.9	1628.26	3690.52	1037.29	1870.53	2178.83	0.0	0.73	285.03	366.09	269.6	346.29	236.21	1127.35
PKHD1	0.46	0.0	0.37	0.96	0.95	1.46	0.0	0.0	0.96	0.0	1.43	0.96	0.0	0.0	0.39	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	239.52	166.73	22.75	61.25	17.51	13.52	105.89	61.68	205.5	27.44	89.51	373.81	119.26	93.35	202.66	182.55	140.04	242.88	293.07	325.29	543.96	503.95	400.71	336.79	220.32	147.06	147.06	403.5	334.46	167.9	1066.48	45.21	432.53	114.36	80.57	332.14	454.09	101.54	244.57	84.63	136.19	307.69	221.86	371.22	239.52	291.04	42.71	368.65	60.82	316.37	397.93	127.0	100.83	384.34	164.42	483.38	559.28	102.25	450.94	218.79	348.71	376.41	64.34	397.93	25.35	392.44	397.93	155.5	135.24	389.72	43.32	204.07	616.37	124.37	607.87	329.84	232.94	24.63	81.71	264.03	72.52	74.58	32.82	60.39	287.01	297.17	102.97	273.37	229.72	239.52	267.73	195.72	88.26	3.69	665.29	291.04	193.01	273.37	97.36	183.82	171.45	205.5	246.28	108.14	45.53	336.79	72.01	124.37	511.0	0.0	0.0	3.23	1.93	9.06	0.54	0.66	0.71
PNMAL1	37.32	38.4	60.39	211.31	3.47	42.71	92.05	9.78	156.59	10.47	57.08	23.93	171.45	4.9	31.0	2.89	5.19	7.17	20.26	21.32	1.03	92.7	38.67	30.56	108.9	113.56	6.89	163.28	121.79	18.29	403.5	195.72	87.65	281.09	236.21	305.55	35.76	231.32	447.82	616.37	309.83	447.82	341.51	470.14	258.57	325.29	497.0	217.27	555.41	587.13	511.0	718.08	612.11	384.34	497.0	660.68	514.56	536.45	450.94	99.43	555.41	176.29	525.39	764.36	603.67	96.68	149.12	486.75	660.68	220.32	371.22	703.28	532.74	241.19	112.77	759.08	466.88	253.23	392.44	356.05	830.75	656.11	325.29	629.35	480.04	842.36	1073.91	432.53	269.6	412.0	95.34	500.46	466.88	733.19	490.14	607.87	163.28	273.37	251.48	120.1	60.82	218.79	420.68	486.75	165.57	389.72	79.45	289.02	813.63	480.04	497.0	273.37	454.09	228.13	361.04	579.04	490.14	555.41	764.36	336.79	314.17	432.53	780.44	559.28	909.17	305.55	358.54	708.18	231.32	379.04	603.67	366.09	483.38	417.77	271.48	366.09	967.76	0.0	0.16	136.19	54.72	10.63	24.81	262.2	878.17
RAB36	56.28	3.5	38.95	122.64	8.38	44.89	22.26	18.03	32.59	21.47	30.34	7.4	27.44	58.3	36.53	42.11	21.94	131.51	43.63	26.1	22.26	69.03	14.24	15.45	20.26	42.11	58.71	39.79	392.44	497.0	40.93	264.03	199.85	397.93	253.23	215.77	195.72	131.51	361.04	583.07	303.44	336.79	490.14	567.1	253.23	299.25	532.74	412.0	642.59	738.29	555.41	265.87	500.46	400.71	204.07	738.29	656.11	441.64	743.43	221.86	417.77	307.69	423.61	599.49	559.28	397.93	285.03	368.65	224.97	470.14	381.68	651.58	336.79	363.56	343.89	595.34	267.73	563.18	269.6	444.72	164.42	674.59	389.72	532.74	500.46	392.44	769.69	283.05	435.55	579.04	297.17	463.65	314.17	529.06	607.87	409.15	273.37	387.02	114.36	392.44	555.41	346.29	934.76	559.28	595.34	223.41	153.34	848.22	91.41	395.18	303.44	299.25	348.71	503.95	305.55	497.0	395.18	536.45	791.35	348.71	314.17	182.55	379.04	540.19	521.76	426.57	159.9	497.0	332.14	158.79	579.04	403.5	323.03	571.05	341.51	325.29	733.19	0.0	0.0	73.54	74.58	34.02	65.26	30.56	371.22
RABL5	698.41	503.95	591.22	791.35	457.25	540.19	559.28	460.44	665.29	587.13	656.11	379.04	336.79	258.57	231.32	301.33	457.25	336.79	669.92	299.25	246.28	309.83	450.94	397.93	656.11	532.74	447.82	819.3	1896.65	1674.06	934.76	1208.34	896.64	2047.0	1540.37	1151.06	825.0	1467.37	1819.35	2224.63	1721.16	1883.54	3190.46	3589.58	1104.13	1605.83	2520.38	1651.0	1572.76	1950.0	2400.97	1340.84	2935.74	1977.24	2609.3	1674.06	1950.0	2627.46	2335.28	1457.23	2520.38	1757.34	1844.76	3257.52	2178.83	1277.29	2816.11	2855.44	1135.2	2075.59	1950.0	2468.49	1487.87	1617.0	1111.82	1617.0	915.51	2701.35	1216.75	1427.22	1883.54	3146.52	1529.73	1923.14	1662.49	2384.37	2520.38	2104.58	2255.7	3395.89	884.29	1498.22	1127.35	1844.76	3168.41	2032.85	1697.45	1529.73	1674.06	1639.59	2193.99	1709.26	1977.24	2271.4	1832.01	1369.04	1216.75	2090.03	974.5	2224.63	1721.16	1551.09	1519.15	2287.2	1519.15	2720.15	1991.0	2209.26	2224.63	1628.26	1561.89	1286.18	1594.73	2287.2	2018.8	2133.97	1508.65	2032.85	1806.78	1950.0	2209.26	2367.9	2303.12	1651.0	1407.55	1896.65	2255.7	0.0	0.06	551.56	441.64	486.75	417.77	603.67	1331.57
RIBC1	24.11	6.57	17.13	45.53	10.0	29.48	14.35	12.18	16.03	10.24	25.54	6.62	13.42	8.38	11.47	3.0	9.34	12.55	17.77	7.34	6.41	7.06	18.84	26.67	20.11	32.13	30.78	21.63	172.65	72.52	53.19	102.25	33.78	131.51	76.17	56.68	73.03	88.26	103.69	152.28	204.07	113.56	120.1	224.97	67.12	69.03	137.14	137.14	132.44	142.01	198.47	152.28	159.9	140.04	226.54	164.42	123.5	100.83	181.28	111.99	164.42	127.0	169.07	144.01	150.17	123.5	98.73	120.1	88.88	124.37	119.26	139.07	106.63	106.63	58.71	220.32	38.12	153.34	226.54	170.25	114.36	159.9	67.59	169.07	144.01	129.69	202.66	202.66	166.73	267.73	35.0	118.43	43.94	146.03	198.47	89.51	19.11	90.77	80.57	127.0	183.82	65.26	154.42	149.12	125.24	18.29	41.22	159.9	64.8	136.19	86.43	26.47	96.68	130.6	137.14	131.51	110.43	182.55	130.6	191.67	80.57	59.55	93.35	173.85	77.25	155.5	65.72	75.64	102.25	45.21	119.26	175.07	92.05	163.28	51.71	113.56	190.34	0.0	0.0	13.62	35.5	27.44	23.93	18.56	220.32
RP11-368I7.4	2.63	0.0	4.06	4.46	4.66	7.11	1.66	0.0	1.64	0.0	6.84	6.46	3.11	2.66	5.82	5.28	2.32	0.0	6.67	3.5	4.1	0.0	6.26	0.0	0.0	3.76	3.53	0.0	59.13	50.27	27.44	7.22	6.89	43.94	37.85	18.29	6.62	11.38	53.57	124.37	78.34	46.5	23.59	146.03	115.97	52.08	52.45	59.13	115.16	92.05	127.0	40.64	127.0	54.33	18.84	151.22	101.54	87.03	305.55	18.7	73.03	73.03	33.3	92.05	42.71	73.54	49.56	38.95	21.63	66.65	77.25	90.77	40.64	57.89	82.87	33.3	19.25	98.73	24.63	33.06	22.1	151.22	19.53	69.03	85.82	62.56	88.88	32.36	154.42	63.89	36.01	72.01	29.7	110.43	169.07	76.17	8.78	47.84	21.01	63.89	275.28	10.79	71.5	89.51	45.85	5.87	38.4	89.51	5.45	81.14	56.68	10.08	42.11	58.3	115.97	75.64	36.79	137.14	49.91	68.55	43.02	15.56	52.45	87.03	45.21	90.14	20.86	53.57	23.25	69.03	73.03	119.26	39.22	68.55	18.7	40.93	99.43	0.0	0.0	0.0	9.13	8.38	8.99	5.11	20.56
RTDR1	4.43	0.0	32.82	7.28	6.16	2.2	1.48	1.38	1.17	1.97	1.58	43.63	1.62	0.0	2.51	1.19	2.43	7.63	0.0	7.82	0.38	2.92	7.4	3.92	3.08	10.16	15.8	2.86	283.05	251.48	31.9	66.65	78.34	194.36	256.78	224.97	81.71	193.01	229.72	447.82	339.14	397.93	503.95	466.88	246.28	145.02	518.15	309.83	480.04	420.68	426.57	206.94	409.15	591.22	115.97	476.71	351.14	395.18	435.55	267.73	183.82	309.83	343.89	351.14	414.87	466.88	281.09	412.0	72.52	339.14	318.57	473.41	426.57	327.56	312.0	753.83	109.66	476.71	191.67	591.22	218.79	356.05	255.0	384.34	256.78	400.71	426.57	187.71	420.68	314.17	194.36	412.0	307.69	299.25	371.22	371.22	119.26	265.87	85.82	358.54	432.53	251.48	521.76	507.46	366.09	74.58	131.51	703.28	39.79	555.41	435.55	208.38	285.03	341.51	234.57	376.41	251.48	540.19	583.07	373.81	277.2	53.57	198.47	454.09	299.25	376.41	25.72	320.8	305.55	72.01	373.81	525.39	543.96	497.0	329.84	358.54	486.75	0.0	0.0	46.18	31.45	12.18	6.62	5.73	28.04
SH2B1	764.36	521.76	305.55	708.18	638.15	384.34	521.76	420.68	579.04	229.72	417.77	376.41	518.15	314.17	483.38	115.97	384.34	346.29	503.95	389.72	239.52	387.02	612.11	647.07	703.28	638.15	486.75	698.41	633.73	579.04	928.3	947.83	483.38	555.41	1167.14	1008.9	698.41	480.04	450.94	2935.74	808.0	842.36	1397.83	1529.73	791.35	1175.27	1685.71	1583.71	2895.31	2047.0	1781.89	2555.58	1963.57	1781.89	1617.0	1870.53	1781.89	2018.8	1781.89	884.29	1757.34	1250.98	1051.79	1572.76	1417.35	1369.04	1159.07	1037.29	1286.18	1605.83	1225.22	1322.37	1233.75	2032.85	1199.98	1508.65	1127.35	2104.58	1388.16	1529.73	1457.23	2090.03	733.19	1806.78	1819.35	1350.18	1199.98	3103.19	2047.0	1594.73	738.29	3515.68	836.53	1508.65	2193.99	1104.13	684.02	1233.75	651.58	1037.29	1617.0	981.29	2047.0	1467.37	1127.35	624.99	780.44	1721.16	483.38	1225.22	775.05	607.87	1340.84	1540.37	1051.79	947.83	1001.93	1745.2	1806.78	1685.71	854.13	753.83	2351.53	1605.83	1081.39	1628.26	651.58	961.07	764.36	624.99	1427.22	1088.92	1088.92	2627.46	1051.79	928.3	2061.24	0.0	0.84	444.72	540.19	665.29	693.58	633.73	1487.87
SPATA33	100.13	31.67	58.71	150.17	151.22	72.52	96.01	87.65	77.79	68.07	108.9	42.41	48.52	94.67	102.25	54.72	139.07	127.0	99.43	74.58	76.17	63.45	85.22	105.15	47.17	81.71	121.79	36.53	279.14	251.48	106.63	136.19	127.0	171.45	204.07	153.34	182.55	124.37	137.14	902.89	368.65	224.97	616.37	791.35	279.14	293.07	612.11	457.25	954.43	599.49	551.56	947.83	825.0	507.46	239.52	775.05	473.41	603.67	813.63	400.71	387.02	426.57	232.94	361.04	389.72	334.46	447.82	368.65	147.06	441.64	267.73	708.18	384.34	480.04	307.69	599.49	215.77	532.74	397.93	379.04	348.71	518.15	173.85	473.41	878.17	432.53	603.67	348.71	532.74	559.28	183.82	759.08	206.94	532.74	703.28	307.69	129.69	271.48	158.79	187.71	825.0	265.87	693.58	466.88	336.79	121.79	195.72	575.03	142.01	447.82	223.41	92.05	305.55	389.72	267.73	351.14	260.38	514.56	802.41	438.59	348.71	159.9	1001.93	579.04	295.11	547.75	116.78	229.72	262.2	201.25	417.77	332.14	384.34	796.86	277.2	283.05	1030.12	0.0	0.23	71.0	93.35	89.51	74.58	84.04	232.94
SPEF1	1.77	0.0	0.84	5.77	0.67	0.32	4.86	4.5	0.71	0.65	6.89	0.0	1.25	0.74	0.0	0.44	0.45	1.16	1.2	0.0	0.0	0.46	1.93	1.04	2.12	1.55	3.76	2.34	83.45	48.52	21.32	72.01	23.93	27.84	63.0	10.55	9.85	12.83	102.97	228.13	94.01	146.03	195.72	460.44	61.25	20.26	137.14	195.72	260.38	221.86	162.14	297.17	173.85	236.21	98.04	221.86	217.27	167.9	265.87	60.82	144.01	197.09	105.89	215.77	80.01	82.29	139.07	112.77	49.21	94.01	169.07	307.69	118.43	100.13	77.79	518.15	15.68	228.13	27.25	153.34	62.56	133.36	44.57	123.5	177.53	180.02	297.17	151.22	148.09	212.78	15.45	320.8	81.71	141.02	346.29	120.1	53.57	83.45	22.1	69.03	358.54	68.07	267.73	170.25	202.66	51.35	28.45	214.27	5.19	96.01	115.97	30.34	94.01	220.32	132.44	194.36	57.89	164.42	231.32	170.25	80.57	52.08	206.94	256.78	114.36	194.36	37.59	68.55	70.01	37.85	197.09	128.79	84.63	256.78	37.59	102.97	242.88	0.0	0.0	1.85	2.46	4.54	6.62	1.83	100.83
TCTN1	486.75	134.3	620.67	612.11	249.73	483.38	575.03	371.22	693.58	183.82	595.34	403.5	368.65	122.64	81.14	151.22	220.32	329.84	320.8	72.01	189.02	221.86	169.07	190.34	249.73	395.18	251.48	444.72	1617.0	2004.85	902.89	909.17	1073.91	2075.59	1508.65	915.51	1127.35	1096.5	1662.49	2664.15	1936.53	1794.29	3190.46	3039.3	1378.57	1529.73	3103.19	2018.8	2255.7	3257.52	2240.11	1519.15	1806.78	2591.27	1733.13	2855.44	2502.97	2224.63	4671.57	1639.59	1674.06	2133.97	1950.0	4575.41	2075.59	2367.9	2351.53	1757.34	2240.11	2255.7	2018.8	3146.52	1268.46	2573.36	1044.52	2875.3	1519.15	3515.68	1378.57	1794.29	2720.15	2573.36	1081.39	1923.14	2090.03	1923.14	2163.77	2777.33	2935.74	2573.36	1151.06	1950.0	1617.0	1674.06	4066.71	2224.63	1037.29	1304.15	988.12	1199.98	2720.15	2018.8	2875.3	2468.49	2255.7	1135.2	1135.2	3190.46	967.76	1651.0	2193.99	819.3	2976.74	1883.54	3146.52	2976.74	1551.09	3982.99	2627.46	2119.22	2816.11	1183.45	1757.34	2178.83	2178.83	1857.6	947.83	2047.0	1561.89	1359.57	2209.26	3103.19	1685.71	2664.15	1191.69	2956.17	2451.44	0.0	0.39	305.55	232.94	470.14	277.2	237.86	2090.03
TPK1	93.35	66.18	130.6	90.14	146.03	175.07	82.29	141.02	139.07	114.36	182.55	111.99	120.94	42.71	47.84	106.63	101.54	19.82	102.25	94.67	44.25	31.45	53.95	52.82	84.63	53.19	43.02	108.9	669.92	123.5	323.03	156.59	197.09	120.94	281.09	201.25	273.37	819.3	287.01	1639.59	336.79	555.41	3349.13	698.41	201.25	229.72	1733.13	1583.71	1369.04	947.83	1081.39	1331.57	1359.57	1844.76	325.29	1111.82	651.58	1159.07	2287.2	642.59	1151.06	551.56	607.87	1127.35	1378.57	463.65	660.68	981.29	1199.98	1832.01	2075.59	3928.15	728.11	1407.55	353.59	2384.37	224.97	1427.22	934.76	1628.26	389.72	1242.34	258.57	1844.76	1508.65	2303.12	1674.06	567.1	1175.27	1037.29	450.94	2178.83	293.07	836.53	1081.39	1427.22	206.94	2018.8	295.11	1268.46	921.88	251.48	1498.22	1540.37	293.07	135.24	361.04	743.43	157.68	1143.1	332.14	166.73	607.87	525.39	988.12	1437.15	414.87	1427.22	2720.15	878.17	507.46	208.38	2664.15	1757.34	928.3	1467.37	293.07	309.83	583.07	163.28	1832.01	808.0	493.56	2875.3	289.02	1167.14	3349.13	0.0	0.41	31.9	48.52	54.72	48.87	33.3	120.94
TSNAXIP1	26.86	7.11	5.73	27.44	22.75	13.42	34.51	22.92	21.32	4.46	36.53	15.0	23.59	2.56	3.41	1.97	2.48	1.45	6.21	2.81	3.79	5.36	3.38	8.92	9.34	7.34	4.9	6.57	50.63	47.5	53.19	73.03	56.68	25.91	128.79	65.26	20.56	6.26	105.15	473.41	72.52	53.19	166.73	241.19	29.27	55.49	105.15	70.51	450.94	358.54	271.48	131.51	293.07	167.9	162.14	366.09	125.24	256.78	500.46	35.5	96.01	182.55	69.03	242.88	129.69	39.22	149.12	72.01	96.01	102.25	139.07	135.24	91.41	167.9	28.45	264.03	30.12	158.79	169.07	71.5	206.94	159.9	16.39	218.79	231.32	92.05	249.73	265.87	173.85	327.56	21.01	371.22	25.91	77.25	447.82	42.11	78.34	32.13	19.53	33.78	457.25	80.01	267.73	136.19	135.24	18.16	15.11	186.4	21.63	73.03	37.59	84.04	125.24	224.97	70.51	111.99	85.82	389.72	130.6	237.86	72.52	10.88	224.97	283.05	25.54	287.01	19.82	44.89	43.63	29.48	64.34	127.89	69.52	490.14	38.95	59.13	244.57	0.0	0.06	3.86	39.79	15.34	15.34	18.29	102.97
UBXN11	140.04	48.52	85.82	237.86	291.04	287.01	563.18	209.84	111.99	130.6	332.14	62.12	218.79	97.36	161.02	120.1	221.86	120.1	186.4	91.41	106.63	145.02	117.6	156.59	120.94	156.59	170.25	153.34	529.06	1008.9	267.73	332.14	379.04	441.64	473.41	368.65	320.8	177.53	341.51	1685.71	563.18	575.03	909.17	1350.18	339.14	583.07	860.08	633.73	1447.15	1183.45	1340.84	1191.69	1331.57	1111.82	507.46	1487.87	967.76	1250.98	1963.57	400.71	674.59	1242.34	587.13	1111.82	915.51	748.61	435.55	693.58	444.72	780.44	718.08	583.07	674.59	1340.84	555.41	708.18	356.05	1447.15	420.68	665.29	454.09	435.55	403.5	878.17	1037.29	674.59	921.88	896.64	1331.57	1437.15	450.94	1216.75	551.56	748.61	1963.57	642.59	651.58	426.57	361.04	476.71	2739.08	563.18	769.69	836.53	591.22	414.87	518.15	1447.15	269.6	780.44	708.18	371.22	1073.91	1757.34	454.09	890.44	638.15	1233.75	1015.93	1037.29	866.07	332.14	426.57	1268.46	493.56	1208.34	242.88	518.15	587.13	466.88	791.35	638.15	414.87	1508.65	660.68	647.07	1216.75	0.0	0.67	126.12	116.78	194.36	156.59	131.51	1594.73
