	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07
TMEM14A	813.63	934.76	674.59	896.64	674.59	358.54	642.59	825.0	791.35	642.59	656.11	551.56	954.43	866.07	563.18	693.58	974.5	842.36	1001.93	909.17	872.1	896.64	1008.9
TMEM176A	318.57	4095.0	155.5	223.41	76.71	40.36	346.29	1397.83	195.72	273.37	181.28	97.36	265.87	429.54	73.03	159.9	1427.22	1378.57	1216.75	1806.78	981.29	1806.78	854.13
TMEM176B	830.75	5594.3	353.59	738.29	158.79	51.35	599.49	2997.45	323.03	353.59	718.08	599.49	397.93	1159.07	336.79	563.18	2335.28	2367.9	3212.66	2855.44	1857.6	3103.19	1508.65
TMEM74	33.54	17.13	0.0	1.87	1.38	0.0	0.0	6.36	1.75	0.0	1.03	1.01	4.54	3.38	0.61	1.75	12.09	1.81	4.9	12.0	4.74	4.66	1.79
TMLHE	197.09	182.55	17.13	129.69	30.34	5.02	50.98	99.43	38.4	20.41	39.22	29.48	96.68	74.58	7.63	28.65	293.07	228.13	249.73	253.23	205.5	309.83	258.57
TTC40	54.72	37.05	5.41	12.09	0.48	0.45	3.63	6.62	3.72	8.92	2.94	3.26	4.1	8.0	0.44	0.87	5.36	12.0	12.18	9.85	9.93	14.78	8.19
TWF2	1977.24	1286.18	483.38	872.1	500.46	332.14	665.29	1304.15	642.59	547.75	579.04	532.74	825.0	813.63	595.34	511.0	1008.9	878.17	941.27	1143.1	878.17	1104.13	1073.91
UPB1	0.0	0.62	2.25	3.56	0.62	0.97	1.5	5.32	1.07	2.32	1.48	3.66	4.28	0.62	1.35	1.97	3.38	7.28	7.11	4.58	4.43	6.73	7.17
VAV3	2032.85	2335.28	10.31	52.82	22.43	9.27	46.5	101.54	44.25	32.13	13.03	10.08	31.9	37.85	6.52	19.25	246.28	62.56	297.17	389.72	248.0	220.32	54.72
VWA5A	1088.92	571.05	87.65	356.05	78.34	6.89	176.29	426.57	154.42	98.73	132.44	41.52	194.36	186.4	29.27	91.41	698.41	647.07	854.13	633.73	483.38	1001.93	567.1
WIF1	153.34	2701.35	1.91	265.87	17.13	1.28	23.59	26.28	10.0	33.3	29.91	14.45	224.97	57.08	9.7	17.0	106.63	656.11	293.07	579.04	356.05	157.68	848.22
ZNF492	36.27	4.98	0.24	1.28	0.26	0.0	0.26	1.53	0.57	0.84	0.56	0.0	0.58	0.25	0.0	0.26	3.47	1.27	4.35	3.0	2.92	2.86	3.14
