	TCGA.38.7271.01A.11R.2039.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11DZ1.0426.SM.5H11A	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2697.01A.11R.2125.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.43.6773.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.QLQ7.1326.SM.4R1JY	GTEX.11O72.2726.SM.5HL6K	TCGA.EL.A3CY.01A.11R.A19O.07
MFNG	738.29	500.46	728.11	1030.12	450.94	638.15	518.15	947.83	860.08	124.37	18.7	22.59	59.97	64.34	103.69	84.04	120.1	175.07	52.08	67.59	129.69	129.69	142.01	140.04	59.97	82.29	244.57	57.89	58.71	269.6	228.13	166.73	183.82	100.13	299.25	92.05	211.31	283.05	108.14	141.02	438.59	150.17	139.07	193.01	131.51	88.26	97.36	81.14	101.54	297.17	54.33	98.73	175.07	74.06	351.14	228.13	1001.93
MMP19	536.45	1277.29	1051.79	733.19	1697.45	866.07	591.22	3639.7	1175.27	114.36	19.39	21.32	49.21	55.1	75.64	54.33	62.56	95.34	8.45	43.32	94.01	45.21	190.34	82.29	23.76	59.13	75.11	130.6	21.01	158.79	384.34	105.15	63.0	55.49	104.42	77.25	157.68	197.09	32.82	102.25	214.27	186.4	58.3	100.13	48.18	46.18	59.97	58.3	30.78	152.28	23.08	48.18	74.58	102.25	432.53	190.34	1498.22
MOCS1	229.72	201.25	769.69	1104.13	291.04	209.84	287.01	547.75	363.56	104.42	38.67	35.0	111.21	109.66	122.64	111.21	129.69	143.01	22.59	100.13	64.34	124.37	82.29	113.56	172.65	111.21	100.83	52.45	76.17	262.2	279.14	163.28	155.5	116.78	228.13	131.51	77.25	277.2	104.42	117.6	262.2	157.68	114.36	209.84	142.01	96.68	120.1	142.01	84.63	191.67	82.87	95.34	96.01	122.64	312.0	314.17	312.0
MSMB	13.52	45701.96	95.34	19.39	125731.67	633.73	44761.41	303.44	2.16	800198.39	9540.5	12415.75	212926.09	894051.48	783730.52	569761.05	711250.37	1019901.63	40904.3	811368.76	778316.89	691801.16	706337.4	659036.03	363097.14	554180.87	845824.19	1212874.47	459592.86	92040.7	172949.54	554180.87	778316.89	1264380.15	242898.5	1308968.45	1139523.1	169390.27	1171559.48	919186.72	70727.3	581732.96	958220.73	437825.58	577714.63	919186.72	565825.41	550352.86	1645391.11	165904.25	894051.48	619179.28	762299.34	654483.73	149521.18	397335.0	6.26
MVP	4769.75	5147.73	2645.74	7966.99	3443.31	3955.48	4671.57	5292.48	6037.61	1001.93	353.59	493.56	571.05	902.89	1199.98	1175.27	1167.14	1467.37	209.84	1088.92	1151.06	1457.23	941.27	1350.18	854.13	1051.79	1561.89	1023.0	753.83	2178.83	1870.53	1628.26	1051.79	620.67	1594.73	954.43	872.1	1991.0	1059.11	1477.58	2104.58	1651.0	1015.93	1487.87	967.76	825.0	934.76	693.58	1322.37	1977.24	733.19	753.83	1088.92	1030.12	2573.36	2104.58	4671.57
NCF2	591.22	748.61	1794.29	1143.1	967.76	591.22	679.29	3060.45	1639.59	64.34	13.52	11.38	22.59	17.77	50.98	38.12	15.56	90.14	23.25	52.08	141.02	98.73	119.26	51.35	42.71	41.81	82.29	11.47	29.27	223.41	162.14	131.51	59.13	71.0	123.5	16.88	143.01	209.84	59.97	72.01	281.09	78.34	98.04	118.43	53.95	37.05	33.3	42.41	54.33	166.73	49.56	33.54	120.1	56.68	189.02	171.45	638.15
PDLIM1	6516.03	8247.98	8134.41	9279.58	15499.21	7032.37	7081.29	9474.59	14971.21	1519.15	269.6	457.25	1340.84	1832.01	2104.58	1508.65	1883.54	1733.13	341.51	1508.65	1685.71	2271.4	2335.28	2537.92	909.17	1662.49	2555.58	1104.13	1551.09	4152.18	3742.05	3039.3	2537.92	2915.45	3081.75	2434.5	2627.46	4210.15	1963.57	2573.36	3564.78	5751.61	1487.87	2915.45	2061.24	2758.13	1313.23	1806.78	2148.82	6337.83	1685.71	1487.87	1769.57	3257.52	7382.04	10959.3	14163.58
PLAUR	1417.35	1378.57	1923.14	1844.76	5147.73	2075.59	1561.89	3060.45	2537.92	217.27	44.57	57.89	72.01	94.01	77.79	104.42	98.73	157.68	41.22	73.03	595.34	170.25	205.5	98.73	37.59	80.01	117.6	75.11	48.18	660.68	656.11	241.19	98.04	146.03	209.84	67.59	890.44	638.15	64.8	248.0	334.46	1088.92	121.79	258.57	92.7	122.64	98.04	77.25	172.65	511.0	103.69	96.68	144.01	234.57	460.44	738.29	4095.0
PLSCR1	1662.49	1909.85	1388.16	1639.59	3540.14	2434.5	2148.82	5672.41	2591.27	764.36	441.64	115.16	260.38	460.44	674.59	607.87	343.89	620.67	218.79	575.03	974.5	723.08	669.92	500.46	507.46	366.09	854.13	470.14	395.18	1388.16	1059.11	961.07	830.75	954.43	1167.14	490.14	1066.48	1242.34	480.04	860.08	1151.06	1242.34	476.71	890.44	647.07	665.29	703.28	229.72	848.22	1159.07	438.59	265.87	583.07	624.99	1519.15	2133.97	2303.12
PLTP	4239.45	3081.75	4066.71	4869.99	2104.58	3564.78	6121.9	6381.92	6699.25	587.13	111.99	84.63	217.27	1685.71	373.81	796.86	1313.23	1709.26	121.79	825.0	674.59	579.04	1378.57	802.41	2090.03	674.59	947.83	813.63	759.08	1819.35	2777.33	1111.82	791.35	759.08	1250.98	1397.83	651.58	2935.74	473.41	1023.0	2209.26	1167.14	866.07	1896.65	599.49	791.35	624.99	830.75	866.07	2520.38	647.07	466.88	941.27	656.11	2061.24	1304.15	2303.12
PPP1R18	2645.74	1388.16	2956.17	2018.8	5995.9	2701.35	2351.53	2178.83	2520.38	389.72	87.03	73.03	170.25	361.04	312.0	262.2	366.09	543.96	120.94	275.28	612.11	483.38	373.81	320.8	218.79	281.09	429.54	248.0	260.38	890.44	890.44	454.09	463.65	409.15	660.68	476.71	638.15	1015.93	264.03	454.09	1277.29	825.0	460.44	785.88	323.03	363.56	336.79	279.14	400.71	759.08	325.29	242.88	336.79	371.22	1340.84	1044.52	2075.59
PRKCE	180.02	325.29	432.53	514.56	1030.12	159.9	223.41	500.46	376.41	41.52	41.52	59.13	48.18	47.5	56.28	56.68	56.68	60.82	37.85	59.13	84.04	40.93	49.91	38.67	43.63	51.71	76.17	41.22	69.52	121.79	118.43	94.01	71.0	36.01	120.94	79.45	66.65	103.69	74.58	73.03	113.56	79.45	63.89	94.01	85.22	64.34	76.17	56.28	76.17	108.9	85.22	68.55	56.28	134.3	88.88	143.01	99.43
RBMS1	1051.79	825.0	1242.34	1268.46	1857.6	1340.84	1030.12	1388.16	1583.71	260.38	27.64	30.34	100.83	332.14	417.77	267.73	289.02	397.93	123.5	417.77	493.56	293.07	246.28	228.13	273.37	224.97	460.44	239.52	320.8	934.76	896.64	629.35	400.71	334.46	748.61	346.29	503.95	780.44	454.09	525.39	928.3	660.68	486.75	587.13	351.14	486.75	332.14	253.23	356.05	819.3	332.14	232.94	234.57	497.0	988.12	921.88	1191.69
RELT	255.0	199.85	220.32	170.25	414.87	412.0	406.31	260.38	432.53	29.91	9.34	16.39	10.24	13.83	20.86	21.16	18.43	26.67	8.19	16.88	50.98	33.78	28.86	21.16	9.78	15.91	33.3	11.3	16.39	69.03	64.8	35.76	23.25	18.56	45.85	8.13	67.12	67.59	12.93	31.22	137.14	45.21	19.11	43.94	15.45	16.63	18.97	19.25	24.81	49.56	18.29	11.64	27.44	47.17	76.17	80.01	348.71
RGS3	1044.52	1721.16	1561.89	1477.58	4066.71	1685.71	1844.76	1242.34	4095.0	872.1	738.29	158.79	518.15	587.13	447.82	540.19	395.18	674.59	104.42	260.38	283.05	624.99	656.11	327.56	291.04	253.23	426.57	587.13	412.0	780.44	775.05	532.74	476.71	723.08	665.29	480.04	503.95	1119.56	450.94	529.06	1119.56	638.15	612.11	647.07	476.71	325.29	312.0	559.28	470.14	733.19	299.25	447.82	872.1	483.38	1350.18	1242.34	1378.57
RNASE2	102.97	63.45	34.51	57.89	25.91	132.44	155.5	780.44	236.21	1.46	0.0	0.0	2.53	2.2	2.68	2.25	1.97	12.74	1.23	5.96	30.12	48.87	11.21	3.92	4.35	1.83	6.67	2.71	6.16	38.4	119.26	17.25	2.27	9.48	19.53	0.0	10.39	48.87	1.03	10.47	21.32	7.28	3.92	21.01	16.39	8.71	8.25	2.03	5.82	28.86	10.16	15.0	6.21	1.93	16.39	0.0	100.13
SERPINB9	669.92	211.31	212.78	412.0	808.0	808.0	447.82	414.87	395.18	54.72	6.89	9.7	15.11	33.78	53.95	41.22	55.89	71.5	10.55	78.34	122.64	73.54	69.52	40.07	35.5	47.84	89.51	34.51	43.63	215.77	183.82	156.59	65.72	48.18	166.73	38.67	163.28	142.01	55.89	108.9	297.17	161.02	84.04	115.97	49.91	81.14	82.87	39.22	45.85	142.01	43.02	30.34	63.45	98.73	212.78	309.83	796.86
SERPINH1	7180.15	3589.58	3303.0	2875.3	3419.52	7485.11	7857.29	6426.31	9344.14	1167.14	417.77	400.71	848.22	1605.83	1378.57	1457.23	1295.13	1540.37	486.75	819.3	1350.18	1594.73	1081.39	1313.23	947.83	1015.93	1685.71	1388.16	988.12	2104.58	2400.97	1233.75	1331.57	1111.82	1832.01	1963.57	1044.52	2609.3	1096.5	1340.84	2400.97	1350.18	1259.69	2148.82	1066.48	1477.58	954.43	2335.28	1437.15	1794.29	748.61	1208.34	1277.29	1183.45	2537.92	2701.35	4152.18
SH2B3	336.79	351.14	325.29	444.72	728.11	444.72	384.34	688.78	674.59	137.14	19.97	27.84	73.03	62.56	96.01	97.36	101.54	143.01	50.27	96.68	187.71	80.01	136.19	88.88	69.52	81.14	157.68	65.26	75.11	277.2	264.03	166.73	108.9	52.45	214.27	82.87	166.73	242.88	117.6	139.07	366.09	159.9	131.51	202.66	88.26	139.07	72.01	93.35	110.43	202.66	72.01	113.56	94.67	165.57	251.48	244.57	684.02
SIGLEC5	70.01	16.88	53.19	132.44	28.24	63.0	49.21	336.79	51.71	1.68	0.0	0.0	2.86	3.63	2.68	6.06	1.39	9.13	4.66	2.81	21.32	12.36	8.78	2.34	0.99	4.31	9.85	1.35	1.6	23.08	32.59	12.55	16.15	10.16	25.54	6.67	7.34	39.22	4.74	9.06	10.63	8.32	5.5	28.24	11.55	12.83	8.13	7.4	7.34	16.15	5.77	6.36	14.35	1.71	34.51	9.34	23.76
SLC43A3	1313.23	698.41	1417.35	1233.75	1340.84	995.0	947.83	1572.76	2047.0	175.07	24.46	36.27	56.68	126.12	169.07	194.36	142.01	273.37	61.68	173.85	191.67	176.29	175.07	162.14	93.35	149.12	297.17	81.14	185.11	457.25	450.94	267.73	223.41	191.67	361.04	169.07	228.13	493.56	186.4	249.73	543.96	258.57	194.36	406.31	212.78	249.73	154.42	143.01	189.02	387.02	103.69	193.01	125.24	178.77	500.46	395.18	1477.58
SLFN11	507.46	551.56	753.83	563.18	1119.56	559.28	559.28	1477.58	981.29	76.71	9.7	9.2	28.24	36.53	228.13	62.12	63.0	159.9	14.35	82.87	139.07	65.26	137.14	58.3	44.25	48.52	104.42	45.85	60.39	356.05	420.68	163.28	149.12	132.44	241.19	49.21	256.78	323.03	113.56	197.09	476.71	220.32	87.03	258.57	127.0	93.35	95.34	120.94	185.11	277.2	33.54	59.97	81.71	214.27	507.46	444.72	616.37
SMAD7	483.38	583.07	660.68	353.59	825.0	473.41	457.25	974.5	896.64	246.28	104.42	86.43	181.28	258.57	275.28	205.5	236.21	314.17	103.69	334.46	429.54	420.68	186.4	264.03	104.42	173.85	281.09	171.45	267.73	738.29	819.3	381.68	348.71	249.73	511.0	392.44	295.11	603.67	265.87	493.56	607.87	507.46	406.31	460.44	232.94	275.28	231.32	234.57	316.37	647.07	178.77	239.52	348.71	226.54	713.11	825.0	769.69
SPNS2	693.58	599.49	884.29	612.11	6250.56	511.0	638.15	642.59	1191.69	77.79	26.67	25.72	81.71	53.19	108.9	77.79	103.69	144.01	22.1	53.95	111.21	92.05	78.89	98.73	61.68	69.52	258.57	72.52	48.18	466.88	356.05	186.4	134.3	53.19	279.14	43.32	205.5	275.28	119.26	162.14	420.68	170.25	108.9	143.01	95.34	87.65	108.9	72.01	98.04	287.01	120.1	83.45	142.01	135.24	262.2	273.37	723.08
TEAD2	791.35	583.07	764.36	1183.45	1806.78	1051.79	791.35	842.36	1023.0	239.52	336.79	83.45	307.69	638.15	607.87	595.34	529.06	447.82	241.19	336.79	412.0	291.04	325.29	384.34	318.57	423.61	563.18	236.21	447.82	633.73	713.11	480.04	579.04	693.58	684.02	591.22	500.46	836.53	450.94	450.94	748.61	567.1	507.46	743.43	463.65	395.18	305.55	363.56	493.56	884.29	237.86	381.68	228.13	389.72	1066.48	1030.12	748.61
TGM2	9606.86	10808.41	5594.3	19892.37	12676.65	7230.1	9025.81	19082.0	12076.21	2148.82	273.37	191.67	775.05	769.69	3325.99	813.63	2240.11	1685.71	379.04	1331.57	2148.82	2915.45	1806.78	2224.63	1519.15	896.64	1794.29	733.19	688.78	7382.04	9474.59	3419.52	2777.33	842.36	3540.14	575.03	1709.26	6840.04	2555.58	3081.75	9540.5	2240.11	2451.44	4010.71	941.27	1242.34	1119.56	718.08	2303.12	5711.87	497.0	518.15	890.44	1457.23	11345.82	5479.15	5219.6
TNFRSF1B	1498.22	802.41	808.0	1359.57	1883.54	1250.98	1073.91	1697.45	1561.89	205.5	35.76	26.28	74.58	92.7	125.24	119.26	151.22	215.77	56.28	108.14	361.04	269.6	312.0	150.17	99.43	137.14	246.28	82.29	75.64	567.1	575.03	323.03	148.09	98.04	397.93	119.26	339.14	473.41	137.14	264.03	775.05	279.14	177.53	423.61	134.3	141.02	124.37	108.14	147.06	620.67	147.06	87.65	182.55	204.07	638.15	559.28	1540.37
TREM1	376.41	1322.37	791.35	1322.37	12415.75	381.68	500.46	4210.15	2816.11	4.54	0.27	1.25	18.7	2.36	17.51	11.3	1.45	9.85	0.0	12.55	57.49	16.63	15.0	11.3	1.69	2.71	18.03	10.71	5.68	64.8	96.68	9.78	7.57	14.35	59.55	3.26	42.41	98.04	15.34	12.64	25.91	87.03	17.51	17.38	13.72	18.7	10.08	0.0	17.9	45.53	25.54	0.0	23.93	12.0	59.55	40.36	819.3
TSPEAR	7.51	2.84	9.63	3.99	9.41	4.13	4.54	2.25	4.35	0.51	0.0	0.0	0.91	1.38	0.96	0.95	0.53	0.0	0.0	0.53	0.52	0.53	0.58	0.51	0.51	0.49	1.51	0.52	0.0	2.89	1.93	0.93	0.0	0.0	1.75	0.48	1.33	1.0	1.36	1.35	1.91	2.05	0.47	1.89	0.72	0.03	1.81	1.14	0.73	1.66	0.49	0.46	1.81	2.84	1.41	3.17	10.31
WIPF1	1757.34	718.08	1457.23	1397.83	1225.22	1697.45	1059.11	1457.23	1023.0	237.86	27.44	32.59	56.68	165.57	204.07	223.41	246.28	307.69	61.68	291.04	316.37	267.73	312.0	143.01	147.06	209.84	353.59	145.02	195.72	842.36	728.11	463.65	368.65	242.88	543.96	271.48	473.41	713.11	253.23	366.09	1233.75	341.51	244.57	616.37	287.01	318.57	249.73	197.09	262.2	651.58	297.17	169.07	194.36	351.14	1175.27	733.19	1508.65
ZNF385D	65.26	120.1	135.24	75.11	220.32	223.41	170.25	161.02	289.02	119.26	32.36	9.06	8.25	26.67	64.34	34.75	48.87	29.06	3.69	42.41	38.4	23.59	67.59	50.98	23.42	33.54	47.17	29.91	10.31	220.32	84.04	148.09	50.27	22.75	88.26	31.45	66.18	53.57	76.71	43.32	87.03	60.82	90.14	46.5	44.89	34.75	30.56	17.38	30.56	42.11	8.92	20.71	27.05	56.28	118.43	244.57	153.34
