	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PWOO.0726.SM.2I3EB	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
EVI5	81.14	59.55	50.27	80.57	87.03	52.82	44.89	59.55	43.02	77.79	58.3	89.51	43.32	76.17	100.13	169.07	116.78	75.64	132.44	139.07	117.6	231.32	98.73	56.68	133.36	89.51	147.06	99.43	145.02	115.16	226.54	161.02	128.79	113.56	180.02	123.5	132.44	88.88	178.77	186.4	122.64	97.36	86.43	113.56	180.02	126.12	106.63	185.11	172.65	90.77	105.15	166.73	151.22	106.63	98.04	90.14	124.37	127.0	130.6	85.82	182.55	193.01	115.16	206.94	102.97
EXOC6B	96.01	57.49	46.84	48.52	75.64	59.55	45.53	44.57	58.71	27.84	52.45	93.35	31.22	90.77	66.65	218.79	285.03	218.79	339.14	307.69	211.31	595.34	237.86	262.2	183.82	177.53	403.5	204.07	303.44	194.36	612.11	323.03	332.14	287.01	432.53	283.05	246.28	202.66	529.06	329.84	256.78	155.5	289.02	242.88	397.93	228.13	151.22	279.14	343.89	164.42	223.41	318.57	120.94	291.04	115.16	341.51	323.03	277.2	205.5	173.85	271.48	392.44	173.85	379.04	269.6
FAS	221.86	170.25	98.04	551.56	151.22	162.14	128.79	110.43	172.65	22.92	78.34	193.01	150.17	532.74	122.64	316.37	145.02	194.36	1135.2	802.41	878.17	1127.35	583.07	412.0	85.22	400.71	866.07	248.0	665.29	236.21	1008.9	808.0	915.51	251.48	947.83	242.88	466.88	332.14	934.76	728.11	339.14	301.33	915.51	703.28	1183.45	480.04	269.6	723.08	698.41	176.29	497.0	708.18	273.37	532.74	521.76	896.64	733.19	780.44	665.29	403.5	412.0	1119.56	265.87	1001.93	543.96
FBXW7	102.25	55.89	142.01	105.89	120.1	75.64	83.45	60.39	115.16	84.04	128.79	156.59	56.68	166.73	381.68	457.25	275.28	191.67	358.54	348.71	376.41	341.51	239.52	162.14	241.19	228.13	403.5	215.77	312.0	417.77	346.29	376.41	251.48	323.03	454.09	197.09	320.8	275.28	420.68	412.0	371.22	327.56	346.29	379.04	353.59	366.09	295.11	423.61	262.2	208.38	242.88	334.46	325.29	381.68	303.44	239.52	412.0	309.83	417.77	249.73	476.71	339.14	463.65	438.59	248.0
FCHO2	157.68	100.13	107.38	85.82	130.6	97.36	84.63	121.79	102.97	111.21	85.22	381.68	48.18	395.18	98.73	454.09	305.55	273.37	591.22	669.92	470.14	941.27	371.22	248.0	423.61	669.92	723.08	420.68	583.07	417.77	842.36	466.88	511.0	447.82	693.58	511.0	669.92	325.29	769.69	688.78	536.45	295.11	547.75	339.14	543.96	595.34	406.31	728.11	559.28	368.65	454.09	591.22	423.61	503.95	406.31	848.22	743.43	674.59	759.08	314.17	514.56	759.08	366.09	559.28	486.75
FCHSD2	199.85	71.0	204.07	201.25	157.68	146.03	127.89	55.1	153.34	117.6	132.44	309.83	90.77	133.36	159.9	384.34	299.25	262.2	417.77	389.72	336.79	503.95	277.2	305.55	242.88	256.78	555.41	325.29	460.44	332.14	466.88	532.74	387.02	351.14	480.04	329.84	476.71	301.33	343.89	507.46	429.54	260.38	314.17	392.44	384.34	473.41	291.04	435.55	373.81	223.41	366.09	417.77	232.94	358.54	256.78	325.29	420.68	497.0	361.04	299.25	384.34	438.59	341.51	540.19	361.04
FMNL2	713.11	30.78	58.3	224.97	47.17	56.68	84.04	64.8	40.64	117.6	22.59	356.05	24.11	305.55	346.29	819.3	111.99	123.5	1674.06	988.12	1151.06	967.76	1030.12	665.29	215.77	941.27	1259.69	540.19	1233.75	738.29	769.69	1340.84	1397.83	575.03	1295.13	454.09	902.89	836.53	1350.18	1066.48	665.29	239.52	928.3	1015.93	1457.23	921.88	764.36	1674.06	1191.69	236.21	890.44	884.29	256.78	1304.15	536.45	1870.53	2178.83	1369.04	1721.16	866.07	866.07	830.75	511.0	1268.46	1183.45
GABRB2	0.0	0.0	2.01	1.27	0.0	0.0	0.0	0.0	1.99	0.0	1.31	0.0	0.49	4.31	3.76	21.78	29.48	6.94	909.17	728.11	651.58	1037.29	438.59	473.41	27.64	607.87	764.36	31.0	947.83	28.65	878.17	878.17	802.41	12.93	796.86	19.68	38.67	239.52	808.0	909.17	417.77	111.99	599.49	403.5	728.11	785.88	138.1	1111.82	660.68	17.38	698.41	896.64	24.11	679.29	518.15	698.41	480.04	775.05	688.78	389.72	169.07	890.44	21.63	890.44	708.18
GBX2	0.0	0.78	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.6	0.0	1.38	0.0	5.23	1.6	2.58	2.41	1.58	2.66	12.83	1.01	10.0	1.53	1.85	0.0	0.0	2.39	0.0	12.64	1.85	45.21	2.29	2.61	0.6	3.89	1.01	1.87	4.5	4.24	8.85	0.59	0.0	2.73	1.75	0.64	1.81	0.84	3.06	1.75	0.0	3.72	3.23	0.69	0.95	2.76	3.03	1.71	2.2	0.0	4.06	1.48	4.82	1.06	1.3	2.27
GNB4	4.66	9.41	15.11	10.47	6.52	4.54	11.13	2.76	8.71	4.54	12.36	132.44	7.4	89.51	56.68	100.13	68.55	34.75	158.79	93.35	81.71	283.05	29.91	38.67	26.47	29.27	156.59	41.22	109.66	60.39	191.67	256.78	127.0	53.57	148.09	80.01	92.05	35.25	190.34	135.24	148.09	54.72	34.51	80.57	131.51	166.73	36.79	114.36	98.73	55.89	47.5	103.69	65.72	45.21	32.36	126.12	95.34	166.73	109.66	42.71	110.43	232.94	58.3	191.67	69.03
GPR161	3.0	6.31	16.88	5.96	8.25	10.96	10.24	3.17	10.16	2.73	11.38	38.4	2.63	68.07	38.4	87.03	52.45	42.11	101.54	55.1	59.97	96.01	78.89	94.67	26.28	25.72	92.05	29.7	87.65	58.3	94.01	193.01	136.19	44.25	87.03	50.63	26.67	46.5	51.71	56.28	58.3	34.26	56.28	71.0	142.01	108.9	75.11	63.45	108.9	37.59	63.45	84.63	41.81	59.97	62.12	80.01	103.69	96.68	94.67	71.5	87.65	96.01	32.36	96.68	59.97
GPX8	34.51	28.24	82.29	18.97	48.52	40.93	45.21	8.71	39.79	17.51	20.56	166.73	15.0	339.14	176.29	435.55	400.71	358.54	909.17	909.17	698.41	450.94	866.07	595.34	665.29	400.71	909.17	591.22	559.28	420.68	1030.12	647.07	698.41	507.46	629.35	547.75	599.49	389.72	825.0	483.38	343.89	813.63	511.0	536.45	518.15	414.87	182.55	466.88	915.51	483.38	603.67	511.0	896.64	559.28	470.14	665.29	866.07	540.19	412.0	974.5	289.02	497.0	551.56	848.22	624.99
GREB1L	16.15	37.32	26.28	0.0	38.95	24.11	24.46	19.68	17.51	0.0	55.49	26.47	16.03	0.55	8.0	19.11	5.73	11.13	64.8	52.45	35.25	150.17	42.71	29.7	25.72	49.56	52.08	42.41	60.39	22.59	103.69	57.49	53.95	23.42	77.79	46.84	59.97	14.56	100.83	99.43	34.51	23.08	36.79	31.67	97.36	45.53	32.59	66.65	100.83	29.91	56.28	58.71	43.02	47.84	18.16	54.72	54.33	42.71	73.03	43.32	43.63	90.77	28.86	70.01	49.21
GRIK3	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.44	0.0	0.0	0.0	0.46	0.0	0.0	1.45	12.55	12.45	4.06	16.15	8.38	3.56	19.82	5.82	11.55	5.59	2.25	37.59	2.51	20.71	2.66	43.63	43.02	27.05	5.19	14.35	19.53	9.7	3.17	26.47	19.39	1.79	2.48	6.36	10.0	11.38	9.34	8.58	5.54	17.38	25.35	13.52	13.22	8.25	20.86	1.71	5.96	45.53	14.14	6.89	9.56	23.42	14.45	3.69	11.64	9.27
GRM1	0.4	0.42	0.0	0.0	0.46	0.0	0.0	0.38	0.0	0.0	0.0	0.75	0.0	0.18	6.52	0.27	0.74	0.39	2.03	1.08	0.73	1.87	0.99	0.62	0.36	0.0	2.58	0.3	2.61	0.34	4.31	1.1	1.1	0.27	1.6	0.3	0.64	0.24	0.27	3.03	0.61	1.16	0.25	0.31	0.72	0.99	0.87	0.26	0.92	0.73	1.77	1.79	2.94	0.65	0.55	1.43	0.3	0.65	1.33	0.62	1.68	1.0	0.33	0.67	0.67
HIF1A	289.02	234.57	529.06	703.28	295.11	420.68	327.56	162.14	204.07	273.37	470.14	954.43	197.09	2956.17	4095.0	1304.15	1388.16	1457.23	2915.45	2104.58	2609.3	3124.78	1487.87	1745.2	1313.23	1651.0	2997.45	1498.22	3467.27	878.17	2976.74	3060.45	2061.24	1519.15	3124.78	1322.37	1167.14	1268.46	2627.46	4358.66	1674.06	748.61	2148.82	2627.46	2303.12	2271.4	1427.22	3124.78	2240.11	1286.18	1923.14	2855.44	1721.16	2287.2	1519.15	3419.52	3168.41	4038.61	2664.15	1322.37	1427.22	2367.9	1250.98	2303.12	2609.3
HIPK3	220.32	116.78	164.42	172.65	181.28	122.64	94.67	85.22	185.11	111.21	151.22	318.57	133.36	182.55	223.41	567.1	624.99	463.65	665.29	665.29	397.93	1073.91	320.8	172.65	616.37	708.18	713.11	486.75	780.44	441.64	813.63	551.56	490.14	571.05	642.59	500.46	791.35	303.44	669.92	825.0	473.41	392.44	441.64	435.55	603.67	660.68	366.09	638.15	599.49	466.88	486.75	591.22	426.57	493.56	409.15	647.07	743.43	503.95	493.56	289.02	476.71	866.07	409.15	674.59	532.74
HOOK3	66.18	103.69	98.04	102.25	159.9	36.27	34.51	23.93	33.3	25.54	134.3	78.89	11.73	53.19	215.77	480.04	183.82	220.32	836.53	660.68	497.0	1023.0	368.65	529.06	120.94	423.61	525.39	287.01	713.11	490.14	1008.9	629.35	567.1	242.88	769.69	221.86	698.41	267.73	698.41	854.13	432.53	351.14	358.54	351.14	921.88	543.96	239.52	848.22	718.08	137.14	503.95	743.43	265.87	441.64	241.19	629.35	624.99	620.67	819.3	392.44	447.82	941.27	262.2	896.64	551.56
HRH1	4.78	5.96	8.92	2.92	4.1	6.01	11.38	1.5	5.54	8.85	5.23	29.48	2.39	43.32	54.72	35.76	46.5	46.5	271.48	156.59	253.23	215.77	211.31	204.07	37.85	59.97	314.17	32.13	283.05	52.08	334.46	521.76	146.03	37.85	139.07	66.18	47.84	51.35	420.68	146.03	52.82	34.75	236.21	181.28	172.65	62.56	57.89	162.14	133.36	38.4	104.42	189.02	62.12	267.73	33.06	273.37	293.07	164.42	87.03	124.37	90.77	167.9	48.18	96.01	96.68
IGSF3	49.21	58.3	7.57	1.85	6.16	6.06	52.45	3.92	4.06	150.17	12.09	36.53	4.86	163.28	98.73	271.48	1242.34	947.83	490.14	529.06	376.41	684.02	329.84	409.15	483.38	224.97	457.25	194.36	575.03	206.94	802.41	616.37	341.51	244.57	511.0	511.0	764.36	269.6	620.67	595.34	381.68	87.65	244.57	303.44	417.77	450.94	67.12	536.45	423.61	444.72	429.54	363.56	255.0	392.44	96.68	406.31	353.59	480.04	303.44	356.05	126.12	555.41	209.84	571.05	514.56
IL6ST	651.58	587.13	599.49	928.3	759.08	571.05	575.03	532.74	575.03	392.44	698.41	995.0	301.33	255.0	412.0	775.05	1369.04	665.29	1175.27	1605.83	902.89	2591.27	825.0	599.49	1059.11	909.17	1628.26	848.22	1508.65	842.36	2032.85	1388.16	1127.35	1151.06	1427.22	1015.93	1369.04	684.02	1519.15	2018.8	1104.13	941.27	1023.0	941.27	1437.15	1369.04	785.88	1447.15	1457.23	1073.91	1111.82	1447.15	1304.15	988.12	642.59	1359.57	1437.15	1208.34	1151.06	796.86	1529.73	1950.0	884.29	1674.06	1225.22
ITGAV	279.14	221.86	171.45	246.28	140.04	155.5	182.55	106.63	145.02	226.54	124.37	703.28	49.21	420.68	612.11	638.15	348.71	738.29	1991.0	1594.73	1216.75	2303.12	974.5	607.87	389.72	723.08	1991.0	1259.69	1709.26	612.11	3060.45	2163.77	1331.57	1015.93	1745.2	1313.23	1359.57	796.86	1572.76	1745.2	718.08	854.13	1037.29	1088.92	1487.87	1175.27	473.41	1909.85	1594.73	432.53	1199.98	1950.0	723.08	1167.14	902.89	1733.13	1639.59	2032.85	1651.0	961.07	813.63	1857.6	791.35	1662.49	1477.58
KCNQ3	1.62	0.92	0.55	0.56	0.57	0.54	0.0	0.48	1.36	0.43	0.58	3.69	0.0	131.51	23.08	24.46	13.83	23.25	204.07	163.28	208.38	336.79	206.94	176.29	8.58	139.07	312.0	20.11	316.37	29.91	363.56	540.19	208.38	38.95	264.03	15.68	55.1	63.89	303.44	392.44	19.25	12.93	177.53	180.02	318.57	110.43	50.63	199.85	244.57	18.84	129.69	241.19	20.86	244.57	59.55	246.28	269.6	211.31	146.03	139.07	42.41	201.25	21.63	176.29	241.19
KCTD10	244.57	151.22	217.27	145.02	223.41	156.59	199.85	94.01	185.11	183.82	217.27	387.02	140.04	688.78	389.72	1030.12	624.99	543.96	878.17	708.18	890.44	1127.35	723.08	764.36	808.0	511.0	808.0	836.53	1066.48	884.29	974.5	974.5	808.0	723.08	941.27	854.13	830.75	733.19	890.44	1208.34	836.53	728.11	532.74	769.69	1030.12	954.43	902.89	860.08	902.89	723.08	836.53	878.17	954.43	723.08	500.46	791.35	665.29	764.36	909.17	698.41	1322.37	1151.06	759.08	1059.11	872.1
KIAA1671	343.89	450.94	279.14	283.05	277.2	234.57	221.86	363.56	343.89	158.79	320.8	232.94	346.29	129.69	244.57	277.2	420.68	460.44	318.57	305.55	343.89	718.08	220.32	341.51	307.69	392.44	392.44	387.02	624.99	412.0	1096.5	679.29	323.03	212.78	518.15	521.76	363.56	307.69	521.76	836.53	432.53	275.28	260.38	358.54	432.53	547.75	289.02	441.64	525.39	373.81	521.76	379.04	718.08	295.11	217.27	299.25	363.56	642.59	392.44	429.54	633.73	665.29	420.68	409.15	356.05
KIDINS220	224.97	140.04	120.1	135.24	159.9	108.14	100.83	94.01	120.94	82.87	146.03	253.23	76.17	193.01	341.51	571.05	406.31	361.04	651.58	547.75	529.06	819.3	403.5	334.46	336.79	346.29	679.29	454.09	679.29	429.54	836.53	612.11	647.07	507.46	688.78	547.75	486.75	303.44	567.1	819.3	651.58	397.93	381.68	518.15	665.29	651.58	529.06	642.59	669.92	293.07	514.56	624.99	339.14	490.14	368.65	540.19	595.34	525.39	607.87	381.68	633.73	708.18	392.44	684.02	500.46
LAMA1	0.0	1.27	7.94	366.09	3.41	1.64	5.23	0.0	0.51	0.39	2.63	10.0	7.88	52.82	11.21	165.57	91.41	20.41	273.37	312.0	68.07	480.04	159.9	163.28	68.07	295.11	361.04	480.04	476.71	70.51	669.92	211.31	341.51	190.34	285.03	248.0	258.57	132.44	271.48	525.39	123.5	95.34	177.53	158.79	429.54	209.84	79.45	208.38	406.31	111.99	256.78	291.04	100.13	253.23	358.54	72.52	118.43	154.42	353.59	309.83	34.51	327.56	34.26	162.14	138.1
LDLRAD3	27.84	10.47	30.12	11.64	24.81	15.11	24.11	3.32	30.56	20.71	15.11	75.64	21.01	81.71	91.41	137.14	100.83	45.53	181.28	146.03	126.12	172.65	126.12	99.43	27.25	69.52	115.16	52.82	117.6	115.16	106.63	130.6	149.12	68.55	154.42	59.55	53.19	106.63	132.44	98.73	275.28	87.03	155.5	138.1	143.01	141.02	97.36	140.04	137.14	40.93	127.89	145.02	26.1	150.17	122.64	112.77	143.01	147.06	126.12	118.43	76.71	131.51	103.69	150.17	134.3
LNPEP	64.34	19.68	42.11	49.21	36.79	26.1	30.34	38.95	29.06	32.59	31.67	75.11	21.47	68.55	52.08	111.21	80.01	64.8	119.26	127.89	111.99	223.41	63.45	50.63	91.41	71.0	148.09	89.51	150.17	94.01	209.84	163.28	104.42	106.63	145.02	99.43	96.68	74.06	135.24	165.57	102.25	74.06	76.71	102.97	161.02	186.4	100.83	138.1	145.02	81.71	110.43	170.25	126.12	107.38	85.82	100.83	109.66	138.1	126.12	73.54	130.6	165.57	103.69	195.72	103.69
LRRC49	7.51	7.51	24.11	17.0	18.97	10.63	8.71	2.46	8.58	2.12	10.96	28.86	7.11	76.71	49.91	41.81	90.77	123.5	115.16	111.21	81.71	56.28	87.03	54.72	44.89	97.36	84.63	63.89	81.14	84.63	94.67	92.7	88.26	70.01	93.35	59.55	69.03	60.39	58.3	102.97	81.71	58.3	114.36	102.97	85.82	81.71	74.58	73.54	107.38	95.34	111.21	100.13	76.71	86.43	37.59	111.99	114.36	82.29	92.7	92.7	61.25	97.36	92.05	92.7	91.41
LRRN1	0.0	0.0	2.43	0.0	0.0	0.33	0.0	0.28	0.0	0.49	0.0	4.28	5.59	10.39	2.34	194.36	51.71	42.41	159.9	113.56	63.0	94.67	137.14	46.18	896.64	14.35	157.68	97.36	147.06	53.95	91.41	110.43	108.9	101.54	80.57	209.84	50.63	41.22	100.83	127.0	293.07	341.51	67.12	62.56	149.12	51.71	34.75	94.01	91.41	248.0	86.43	90.77	1733.13	45.53	44.25	66.18	79.45	48.52	84.63	52.08	567.1	124.37	39.22	90.77	36.27
LRRN3	0.64	0.0	1.1	0.32	2.01	1.43	2.97	0.0	1.08	0.48	0.0	2.76	3.0	14.56	9.78	94.01	1.57	0.73	75.64	18.16	38.12	74.58	124.37	16.15	7.75	15.8	36.27	14.67	64.34	10.79	97.36	63.0	76.71	17.51	50.98	19.68	26.86	28.45	75.11	82.87	1.08	76.71	36.79	81.71	111.21	54.33	40.64	13.83	127.0	27.64	54.33	50.98	199.85	16.75	8.45	15.68	125.24	44.89	48.52	85.22	202.66	57.49	7.82	167.9	82.29
LTBP2	16.88	49.91	239.52	21.94	121.79	54.72	147.06	2.76	33.3	46.18	77.25	447.82	37.59	1477.58	376.41	738.29	896.64	693.58	2303.12	1388.16	1721.16	1963.57	1519.15	1685.71	1477.58	1088.92	2224.63	540.19	2119.22	563.18	1259.69	3820.7	2061.24	693.58	1806.78	466.88	981.29	842.36	1628.26	2319.15	595.34	363.56	1216.75	1857.6	2047.0	1909.85	995.0	2075.59	1819.35	503.95	1369.04	1819.35	559.28	1794.29	343.89	1769.57	1508.65	1757.34	1685.71	1268.46	947.83	1909.85	738.29	2240.11	1832.01
MAML2	4.94	7.34	24.28	11.38	10.79	6.62	10.24	2.25	21.63	3.11	9.41	51.71	7.06	63.45	86.43	154.42	90.77	107.38	171.45	175.07	147.06	271.48	138.1	105.89	34.75	117.6	231.32	64.8	223.41	77.25	239.52	169.07	205.5	88.26	195.72	98.73	133.36	111.99	193.01	287.01	73.03	33.78	106.63	146.03	176.29	236.21	135.24	218.79	177.53	56.68	138.1	183.82	58.3	124.37	95.34	173.85	164.42	169.07	148.09	127.89	131.51	217.27	77.25	226.54	140.04
MAP4	2090.03	1081.39	860.08	669.92	934.76	1151.06	1208.34	1477.58	884.29	1008.9	693.58	2104.58	967.76	1936.53	698.41	1745.2	1572.76	2193.99	3146.52	2255.7	2004.85	3540.14	2351.53	2468.49	1191.69	1832.01	2627.46	1081.39	2271.4	1437.15	2520.38	3168.41	3146.52	1304.15	2956.17	1605.83	1369.04	1508.65	3540.14	3146.52	1529.73	1508.65	2335.28	2271.4	2701.35	2119.22	1498.22	2682.69	2739.08	1685.71	2133.97	2367.9	1806.78	2193.99	1529.73	2468.49	2591.27	2816.11	2090.03	2255.7	2591.27	2720.15	1561.89	2976.74	3146.52
MDFIC	12.93	113.56	87.03	28.04	98.73	159.9	82.87	7.22	76.17	11.91	42.41	395.18	48.18	301.33	70.01	197.09	275.28	159.9	830.75	642.59	595.34	915.51	575.03	429.54	348.71	438.59	775.05	336.79	842.36	221.86	819.3	808.0	684.02	253.23	599.49	346.29	279.14	329.84	674.59	961.07	312.0	185.11	624.99	703.28	808.0	620.67	265.87	629.35	909.17	334.46	587.13	802.41	318.57	693.58	253.23	738.29	1008.9	559.28	660.68	341.51	285.03	708.18	265.87	660.68	656.11
MED13	177.53	120.94	114.36	115.97	94.67	80.01	107.38	123.5	124.37	89.51	134.3	143.01	62.56	94.67	281.09	332.14	379.04	237.86	441.64	429.54	381.68	688.78	366.09	234.57	285.03	279.14	543.96	307.69	802.41	271.48	753.83	708.18	450.94	314.17	463.65	249.73	327.56	273.37	521.76	848.22	327.56	264.03	327.56	432.53	518.15	559.28	285.03	525.39	665.29	265.87	514.56	669.92	320.8	438.59	363.56	536.45	684.02	507.46	457.25	273.37	392.44	775.05	241.19	521.76	473.41
METTL9	289.02	348.71	591.22	343.89	423.61	275.28	441.64	204.07	444.72	351.14	363.56	1051.79	198.47	884.29	1242.34	2434.5	2758.13	2133.97	2468.49	2816.11	2178.83	2209.26	2417.67	2645.74	1870.53	2417.67	2485.67	1781.89	2796.65	1806.78	2720.15	1977.24	2417.67	2047.0	2664.15	2645.74	2520.38	2209.26	3325.99	1832.01	2485.67	2319.15	2004.85	2018.8	2895.31	2319.15	2573.36	2682.69	3257.52	1936.53	2209.26	2573.36	1909.85	2119.22	2351.53	2895.31	2875.3	3124.78	2451.44	1977.24	2209.26	2591.27	1757.34	2895.31	2520.38
MEX3C	50.98	107.38	147.06	44.25	108.14	134.3	76.71	75.64	135.24	92.05	144.01	190.34	57.49	70.51	208.38	343.89	226.54	248.0	473.41	493.56	454.09	603.67	323.03	320.8	198.47	314.17	603.67	202.66	532.74	208.38	587.13	532.74	447.82	384.34	559.28	255.0	242.88	239.52	547.75	603.67	287.01	195.72	392.44	444.72	563.18	392.44	361.04	547.75	595.34	204.07	438.59	511.0	239.52	435.55	373.81	457.25	525.39	466.88	460.44	323.03	406.31	775.05	234.57	507.46	384.34
MMP16	0.0	0.0	0.82	0.0	0.44	0.78	1.51	0.0	0.0	0.59	0.45	6.57	0.0	1.16	10.96	5.92	5.82	2.03	104.42	127.0	92.7	336.79	86.43	56.28	1.35	20.11	121.79	2.36	122.64	2.48	139.07	108.14	111.99	2.71	142.01	5.36	6.89	42.11	161.02	143.01	22.75	16.27	76.71	49.56	138.1	20.86	9.2	76.71	120.1	4.35	47.17	101.54	4.24	59.97	16.39	49.56	46.18	108.14	33.78	38.4	26.28	232.94	7.51	92.05	84.63
MRAS	105.89	58.3	146.03	444.72	107.38	105.89	163.28	67.59	186.4	86.43	76.17	441.64	49.91	211.31	145.02	909.17	551.56	1467.37	708.18	595.34	532.74	813.63	379.04	480.04	420.68	514.56	638.15	698.41	684.02	579.04	688.78	679.29	532.74	1104.13	536.45	743.43	825.0	616.37	708.18	896.64	507.46	470.14	480.04	587.13	571.05	642.59	295.11	507.46	483.38	620.67	802.41	660.68	620.67	521.76	521.76	514.56	412.0	483.38	529.06	579.04	341.51	718.08	629.35	603.67	679.29
MYH10	49.91	71.0	138.1	102.97	149.12	74.58	124.37	76.17	81.71	100.13	171.45	163.28	204.07	287.01	305.55	743.43	483.38	490.14	1096.5	1088.92	1096.5	1745.2	1073.91	961.07	503.95	1030.12	1051.79	389.72	1159.07	309.83	1605.83	1447.15	1127.35	409.15	1225.22	384.34	206.94	575.03	1857.6	1697.45	638.15	389.72	525.39	713.11	1519.15	775.05	503.95	1225.22	1159.07	332.14	1175.27	1111.82	397.93	974.5	543.96	1167.14	988.12	1295.13	1030.12	540.19	995.0	1331.57	368.65	1295.13	981.29
MYO5C	102.97	40.36	59.13	39.22	43.32	39.22	53.95	38.67	42.41	42.71	37.85	65.26	15.68	303.44	151.22	447.82	289.02	297.17	460.44	514.56	435.55	684.02	435.55	291.04	242.88	297.17	420.68	376.41	500.46	435.55	679.29	423.61	490.14	373.81	583.07	387.02	493.56	307.69	567.1	738.29	426.57	267.73	332.14	376.41	583.07	417.77	226.54	483.38	463.65	381.68	503.95	612.11	358.54	414.87	316.37	447.82	514.56	429.54	599.49	363.56	457.25	595.34	334.46	486.75	361.04
MYO6	197.09	148.09	193.01	206.94	134.3	98.04	248.0	106.63	95.34	395.18	271.48	197.09	94.67	291.04	748.61	708.18	559.28	325.29	1529.73	995.0	934.76	1183.45	660.68	656.11	486.75	693.58	1199.98	514.56	688.78	547.75	866.07	1242.34	1259.69	525.39	1519.15	551.56	412.0	454.09	1551.09	825.0	866.07	409.15	890.44	872.1	1242.34	651.58	532.74	1304.15	1143.1	356.05	607.87	967.76	432.53	934.76	414.87	1167.14	1216.75	1250.98	1350.18	444.72	651.58	1030.12	483.38	1208.34	995.0
NAPEPLD	183.82	55.49	46.5	90.14	87.65	87.65	52.45	124.37	105.15	82.87	101.54	84.04	76.17	161.02	454.09	336.79	234.57	170.25	281.09	339.14	264.03	336.79	185.11	122.64	339.14	307.69	226.54	406.31	289.02	368.65	361.04	242.88	253.23	273.37	229.72	269.6	316.37	218.79	309.83	256.78	348.71	244.57	183.82	277.2	262.2	343.89	205.5	450.94	204.07	180.02	277.2	283.05	297.17	186.4	289.02	305.55	277.2	395.18	327.56	171.45	426.57	281.09	209.84	341.51	229.72
