	TCGA.BP.4974.01A.01R.1334.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
SHANK3	1721.16	579.04	775.05	432.53	718.08	748.61	543.96	587.13	796.86	463.65	532.74	444.72	563.18	466.88	183.82	283.05	95.34	463.65	371.22	169.07	387.02	256.78	293.07	299.25	303.44	189.02	215.77	181.28	141.02	316.37	232.94	142.01	132.44	85.22	162.14	285.03	187.71	244.57	305.55
SLC16A1	813.63	71.0	111.99	88.88	67.12	70.01	69.52	93.35	190.34	76.17	84.04	115.97	68.07	53.95	39.79	32.13	20.41	59.13	36.79	64.8	88.26	40.93	48.18	42.11	76.17	46.84	49.21	77.79	32.59	69.03	35.5	41.22	26.67	42.41	24.63	63.45	66.18	19.68	67.12
SLC16A6	55.49	22.1	68.55	88.26	74.06	52.82	63.45	60.82	50.98	59.55	46.5	68.07	52.82	49.91	24.28	10.96	41.52	35.25	13.72	31.22	39.79	13.93	54.72	37.85	29.48	42.41	27.25	6.26	15.45	22.43	49.56	21.01	32.59	4.78	18.29	14.35	27.64	15.11	36.01
SLC5A4	68.07	24.28	27.05	24.81	47.84	39.22	31.67	50.98	28.45	19.25	19.11	31.9	37.85	17.25	21.32	13.72	8.71	57.89	6.89	6.57	43.63	13.22	11.55	3.63	12.55	19.39	3.59	6.16	4.1	7.75	8.0	12.83	6.16	0.55	12.18	6.78	6.67	10.39	16.39
SMOX	543.96	248.0	830.75	166.73	275.28	341.51	312.0	267.73	547.75	226.54	231.32	267.73	185.11	221.86	122.64	110.43	180.02	239.52	70.01	181.28	186.4	122.64	169.07	255.0	180.02	206.94	108.14	74.58	99.43	156.59	124.37	87.03	68.07	60.82	59.55	121.79	92.7	119.26	178.77
SPATA18	161.02	239.52	187.71	264.03	283.05	161.02	47.17	201.25	60.39	157.68	114.36	329.84	244.57	157.68	6.41	5.87	15.56	82.87	4.5	22.26	82.87	51.71	27.44	23.08	14.89	97.36	7.57	34.75	5.82	4.74	10.24	55.89	8.58	18.56	43.63	56.68	29.27	64.34	16.63
SPRY4	2351.53	825.0	1167.14	633.73	713.11	1427.22	656.11	1225.22	1487.87	890.44	836.53	1199.98	1259.69	785.88	320.8	295.11	193.01	384.34	104.42	198.47	381.68	246.28	271.48	271.48	555.41	336.79	157.68	165.57	68.55	206.94	180.02	187.71	105.89	49.91	173.85	368.65	215.77	136.19	165.57
ST8SIA4	466.88	47.84	75.11	98.73	72.52	90.77	89.51	101.54	133.36	63.0	100.83	159.9	105.15	55.49	25.54	31.0	5.73	100.83	16.39	14.89	90.14	23.08	32.13	38.12	66.65	55.1	24.63	34.75	13.22	48.52	16.63	12.27	16.03	18.16	22.75	57.08	39.22	19.82	48.87
STK3	303.44	320.8	262.2	307.69	249.73	267.73	217.27	332.14	323.03	253.23	332.14	223.41	260.38	275.28	236.21	198.47	155.5	209.84	226.54	211.31	229.72	244.57	180.02	226.54	251.48	217.27	165.57	212.78	178.77	251.48	194.36	215.77	201.25	167.9	244.57	221.86	220.32	198.47	161.02
TG	36.01	654483.73	386469.83	945028.61	900270.11	857631.47	731246.37	1048575.0	577714.63	1085552.95	1147449.11	978355.0	1026995.62	606436.73	2247670.86	2126426.15	2111737.85	1622738.51	1838374.44	1997825.68	1535204.12	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	1402917.72	1929772.37	2636147.11	2263304.65	1775752.63	2111737.85	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	2672946.37	1864037.21
TGFBR1	397.93	260.38	633.73	303.44	221.86	224.97	295.11	339.14	551.56	275.28	260.38	470.14	348.71	215.77	134.3	138.1	60.39	157.68	79.45	78.89	307.69	103.69	130.6	92.7	159.9	170.25	151.22	138.1	91.41	141.02	156.59	117.6	108.9	105.15	96.01	130.6	111.99	134.3	153.34
THSD7B	120.1	43.02	18.84	30.34	43.32	26.47	19.53	34.02	36.79	25.35	17.25	26.47	26.86	23.25	3.86	11.73	13.83	30.56	10.08	7.69	26.67	4.1	16.63	2.97	19.11	18.16	2.94	6.21	9.06	8.38	4.54	9.27	7.22	2.25	6.67	18.03	7.34	8.19	20.41
TMC7	117.6	29.48	59.55	38.67	48.87	67.59	40.64	44.25	32.59	41.22	33.3	24.99	49.91	30.34	6.78	12.09	2.89	38.67	5.68	8.32	40.93	10.55	13.32	9.56	14.89	6.84	10.31	7.34	12.09	11.73	4.66	11.13	8.38	5.96	10.71	17.0	8.51	8.25	18.03
TMEM173	2255.7	1991.0	2133.97	981.29	1397.83	1857.6	2075.59	1313.23	2224.63	1721.16	1143.1	2400.97	1617.0	2178.83	647.07	540.19	107.38	1081.39	376.41	381.68	1322.37	497.0	967.76	607.87	624.99	665.29	543.96	470.14	186.4	587.13	493.56	384.34	209.84	267.73	403.5	884.29	432.53	591.22	860.08
TMEM255B	1313.23	373.81	769.69	358.54	738.29	1081.39	466.88	808.0	703.28	409.15	432.53	540.19	521.76	460.44	221.86	204.07	175.07	409.15	318.57	151.22	231.32	198.47	297.17	229.72	193.01	131.51	185.11	229.72	109.66	241.19	202.66	124.37	83.45	117.6	130.6	136.19	193.01	226.54	273.37
TMEM44	836.53	289.02	420.68	285.03	316.37	332.14	361.04	435.55	287.01	320.8	228.13	366.09	368.65	316.37	170.25	176.29	111.99	256.78	191.67	176.29	246.28	193.01	234.57	182.55	190.34	218.79	155.5	131.51	162.14	178.77	148.09	127.0	143.01	167.9	136.19	221.86	204.07	165.57	262.2
TMOD2	780.44	78.34	178.77	81.14	111.99	147.06	101.54	109.66	218.79	93.35	82.29	158.79	124.37	63.89	41.52	51.35	56.28	90.77	46.18	45.53	112.77	61.68	85.22	32.59	85.22	59.13	39.5	48.52	19.97	48.87	33.54	23.08	50.63	19.53	32.82	52.82	36.01	77.79	49.21
TNFAIP8L1	703.28	187.71	206.94	153.34	215.77	187.71	180.02	295.11	341.51	199.85	229.72	309.83	194.36	133.36	47.5	85.22	39.22	126.12	104.42	66.65	111.99	125.24	108.14	40.36	249.73	85.22	115.16	79.45	47.84	127.89	104.42	38.4	72.01	74.58	42.41	117.6	59.97	60.39	97.36
TRPC4	68.07	27.05	43.32	37.32	41.81	84.63	38.95	24.99	41.22	32.59	72.01	70.01	45.85	33.3	3.82	2.84	14.89	11.38	4.31	3.03	8.19	2.94	6.01	15.56	6.57	6.21	3.11	1.68	0.3	6.21	3.35	8.32	4.94	2.14	3.17	6.89	5.82	7.22	5.63
UNC5B	1151.06	178.77	389.72	226.54	189.02	141.02	173.85	353.59	753.83	255.0	226.54	303.44	332.14	127.89	58.3	87.03	31.22	183.82	66.65	76.71	220.32	51.35	153.34	50.63	209.84	127.89	71.0	59.55	24.81	93.35	45.21	47.17	77.79	22.1	28.04	86.43	71.0	43.02	106.63
VASH1	1617.0	262.2	325.29	183.82	267.73	206.94	229.72	246.28	307.69	351.14	185.11	301.33	329.84	143.01	77.25	112.77	45.53	186.4	98.04	84.04	214.27	85.22	119.26	92.7	194.36	108.14	76.71	72.01	45.21	224.97	65.72	50.63	86.43	47.5	73.03	137.14	115.16	49.21	132.44
VWA1	5255.91	2956.17	4095.0	2351.53	4704.07	6887.62	4328.55	3146.52	5403.7	3716.2	4388.98	3716.2	5041.77	3589.58	1340.84	2061.24	493.56	2240.11	583.07	974.5	2468.49	1447.15	1388.16	878.17	2287.2	1233.75	785.88	2032.85	1081.39	1127.35	543.96	866.07	669.92	1417.35	1167.14	2701.35	1529.73	785.88	1709.26
