	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.MP.A4T9.01A.11R.A24X.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.98.A53C.01A.11R.A262.07
NPIPA2	55.49	97.36	36.27	74.06	22.92	74.58	242.88	68.55	191.67	22.92	145.02	53.19	27.25	189.02	40.64	4.82	0.0	8.99	6.41	15.45	3.59	0.0	2.73	0.68	10.39	9.93	9.56	9.34	10.31	14.24	3.69	0.0	7.82	10.0	14.78	0.39	4.5	8.71	5.02	12.74	9.27	4.66	12.36	6.78	60.82	89.51	58.3	39.22	23.76
NRG3	92.7	34.75	50.98	15.8	16.51	105.89	26.28	90.14	87.03	71.5	69.03	143.01	18.97	142.01	20.56	0.0	14.56	0.0	1.01	2.41	85.82	5.82	23.93	8.38	6.78	1.53	0.0	0.75	20.11	15.11	5.02	0.39	8.45	5.77	0.0	2.34	4.58	4.13	11.47	10.88	0.48	6.01	8.19	6.78	6.57	9.34	9.78	5.96	14.67
OSBPL2	603.67	543.96	420.68	480.04	320.8	397.93	438.59	395.18	366.09	361.04	348.71	373.81	356.05	688.78	409.15	201.25	205.5	406.31	480.04	301.33	323.03	145.02	400.71	287.01	287.01	186.4	376.41	289.02	316.37	336.79	239.52	214.27	351.14	221.86	341.51	229.72	256.78	285.03	314.17	246.28	177.53	351.14	441.64	353.59	429.54	463.65	409.15	450.94	450.94
PAPLN	361.04	872.1	438.59	271.48	226.54	599.49	974.5	802.41	651.58	981.29	836.53	2645.74	241.19	1397.83	307.69	10.39	62.56	30.56	16.88	40.93	132.44	21.47	73.03	88.26	134.3	34.02	25.91	327.56	47.17	105.89	10.31	8.32	71.5	78.34	46.84	258.57	141.02	25.54	152.28	108.9	14.78	61.68	114.36	39.79	532.74	403.5	231.32	583.07	808.0
PKDCC	1457.23	3325.99	1088.92	2434.5	414.87	607.87	486.75	607.87	764.36	473.41	2075.59	748.61	1015.93	4210.15	1605.83	733.19	67.12	463.65	236.21	108.9	194.36	43.94	133.36	170.25	102.25	88.26	211.31	358.54	120.94	86.43	109.66	100.83	161.02	152.28	175.07	153.34	312.0	226.54	271.48	90.14	356.05	86.43	255.0	82.87	796.86	995.0	1051.79	1277.29	1540.37
PLXNA3	480.04	669.92	187.71	559.28	178.77	444.72	743.43	246.28	406.31	571.05	967.76	486.75	228.13	373.81	173.85	55.89	34.51	94.67	92.05	24.99	39.79	14.78	244.57	31.67	208.38	50.27	21.01	32.36	63.0	31.45	36.79	37.32	48.52	52.45	53.19	23.93	66.18	60.82	162.14	24.63	6.26	31.67	60.39	16.27	928.3	463.65	728.11	514.56	684.02
PRPF39	420.68	423.61	438.59	547.75	301.33	423.61	830.75	587.13	633.73	470.14	490.14	698.41	327.56	624.99	490.14	131.51	140.04	116.78	223.41	155.5	251.48	150.17	201.25	150.17	241.19	104.42	105.15	84.63	151.22	236.21	85.22	141.02	198.47	139.07	211.31	115.16	171.45	178.77	236.21	287.01	30.34	78.34	226.54	171.45	450.94	547.75	490.14	438.59	603.67
PTGFRN	1745.2	1073.91	941.27	651.58	470.14	507.46	684.02	1088.92	438.59	1199.98	688.78	1096.5	656.11	2163.77	575.03	409.15	165.57	51.35	283.05	301.33	186.4	110.43	241.19	241.19	48.52	141.02	38.67	579.04	133.36	144.01	72.52	141.02	400.71	232.94	157.68	231.32	77.79	145.02	320.8	140.04	84.04	348.71	249.73	170.25	1081.39	698.41	866.07	1806.78	1096.5
RP11-1407O15.2	327.56	559.28	356.05	813.63	295.11	400.71	884.29	514.56	500.46	507.46	728.11	723.08	318.57	1208.34	323.03	97.36	132.44	60.82	141.02	102.25	211.31	128.79	187.71	76.71	323.03	91.41	108.9	92.7	148.09	162.14	144.01	128.79	110.43	169.07	255.0	121.79	208.38	141.02	211.31	297.17	51.71	34.51	218.79	69.52	551.56	463.65	486.75	387.02	447.82
RUNDC3A	48.52	25.17	98.73	8.58	23.59	12.64	169.07	37.59	12.93	31.45	13.03	19.97	15.8	161.02	12.27	19.53	0.21	0.69	0.51	3.5	1.19	0.52	7.0	10.71	3.2	0.0	1.22	9.2	0.0	0.56	0.0	1.66	8.71	5.82	4.82	11.55	4.24	8.38	8.99	0.65	9.41	2.03	6.78	10.96	232.94	17.13	12.55	26.67	16.15
SEC14L6	60.82	332.14	114.36	223.41	22.59	447.82	406.31	273.37	358.54	438.59	265.87	642.59	47.84	193.01	131.51	3.69	5.82	49.56	2.92	6.26	37.05	3.82	6.46	93.35	9.06	1.79	2.86	16.27	1.91	31.67	0.0	8.51	4.82	0.87	12.36	48.87	4.7	15.11	20.26	12.74	0.0	0.19	3.63	41.52	85.82	148.09	177.53	64.34	165.57
SEPT3	43.32	154.42	16.27	67.12	1.75	13.72	4.39	5.59	2.84	8.99	16.88	24.99	10.47	251.48	5.32	5.36	0.59	0.16	0.06	1.07	10.16	1.2	2.94	0.06	3.38	0.0	7.17	2.76	0.0	12.18	1.58	2.78	16.88	4.43	1.68	3.53	2.63	0.0	1.01	0.95	0.0	1.55	0.0	0.0	92.7	131.51	209.84	28.65	33.3
SMOX	1191.69	583.07	395.18	563.18	166.73	363.56	339.14	299.25	612.11	532.74	293.07	1447.15	253.23	1081.39	226.54	88.88	69.03	64.8	40.64	42.41	50.27	54.72	104.42	49.21	54.72	19.25	53.19	41.81	68.55	23.93	400.71	142.01	69.52	42.11	116.78	27.25	106.63	76.17	134.3	69.52	35.0	239.52	74.58	111.21	273.37	269.6	146.03	429.54	262.2
SOGA1	137.14	167.9	103.69	122.64	27.05	281.09	183.82	173.85	234.57	239.52	262.2	214.27	68.07	171.45	93.35	5.82	12.64	9.34	13.93	4.35	41.52	8.13	14.35	15.45	12.93	4.17	4.31	8.25	11.73	45.53	2.76	12.27	16.88	9.93	9.7	5.23	11.13	10.16	16.63	28.65	3.66	16.63	13.62	9.7	186.4	249.73	293.07	228.13	170.25
STK36	476.71	1594.73	753.83	1191.69	348.71	473.41	1936.53	470.14	967.76	563.18	1519.15	2417.67	429.54	1617.0	368.65	105.15	92.7	80.57	186.4	121.79	406.31	146.03	318.57	137.14	223.41	97.36	134.3	164.42	256.78	299.25	98.73	116.78	158.79	163.28	262.2	152.28	145.02	145.02	264.03	267.73	44.25	80.57	239.52	162.14	830.75	703.28	723.08	995.0	854.13
STX1A	620.67	291.04	169.07	186.4	108.14	49.21	143.01	75.64	100.13	84.63	170.25	85.82	301.33	267.73	117.6	8.0	36.79	18.29	19.68	32.13	36.53	14.56	36.01	27.44	47.5	6.26	8.78	40.93	26.67	8.19	44.89	46.18	53.57	39.5	38.95	29.7	55.1	34.75	45.85	29.48	4.43	13.42	29.27	36.79	1277.29	208.38	251.48	327.56	303.44
SYNJ2	214.27	136.19	166.73	253.23	87.03	133.36	181.28	158.79	162.14	181.28	232.94	117.6	189.02	607.87	228.13	31.9	110.43	41.52	117.6	39.5	65.26	47.84	101.54	52.82	166.73	26.1	114.36	50.63	121.79	60.39	339.14	39.5	35.0	65.72	43.32	48.52	93.35	40.64	113.56	86.43	31.9	53.95	91.41	40.07	305.55	125.24	341.51	215.77	156.59
TAF1C	728.11	1350.18	1096.5	1369.04	679.29	532.74	3039.3	785.88	1397.83	1015.93	1896.65	1745.2	616.37	1286.18	551.56	194.36	305.55	173.85	214.27	155.5	733.19	353.59	334.46	209.84	480.04	248.0	234.57	255.0	348.71	429.54	218.79	273.37	269.6	339.14	423.61	232.94	376.41	334.46	438.59	507.46	138.1	197.09	246.28	189.02	1008.9	947.83	941.27	1111.82	1322.37
TAOK2	669.92	813.63	684.02	813.63	406.31	915.51	1250.98	660.68	1225.22	753.83	1073.91	848.22	693.58	796.86	457.25	186.4	226.54	176.29	185.11	212.78	412.0	215.77	291.04	187.71	255.0	172.65	214.27	214.27	220.32	293.07	142.01	234.57	281.09	199.85	348.71	194.36	229.72	237.86	255.0	325.29	79.45	130.6	256.78	208.38	860.08	961.07	647.07	830.75	1073.91
TAS2R5	15.11	132.44	58.3	58.71	8.25	26.1	105.89	54.72	43.94	36.79	112.77	75.64	31.9	78.89	25.72	0.71	5.02	1.45	4.86	0.0	4.35	0.21	4.13	3.69	2.29	3.66	2.27	0.46	4.24	8.0	2.56	5.32	9.13	2.78	6.67	4.86	2.63	4.39	5.11	2.14	0.0	0.0	2.46	4.28	29.91	15.56	23.42	17.51	37.85
TBC1D3	198.47	329.84	248.0	358.54	295.11	217.27	651.58	226.54	303.44	348.71	420.68	295.11	229.72	1073.91	140.04	59.13	52.82	84.63	140.04	80.01	175.07	61.25	197.09	60.39	332.14	29.06	65.72	117.6	190.34	88.26	44.25	50.63	155.5	50.63	218.79	34.02	37.05	83.45	31.22	77.25	50.98	42.41	175.07	56.68	368.65	265.87	191.67	204.07	217.27
TBC1D3B	26.67	25.91	23.08	18.84	5.54	16.39	42.71	6.16	42.11	39.5	43.02	23.76	10.88	120.94	14.78	1.35	1.58	0.0	8.51	5.45	3.14	2.71	2.2	0.0	16.75	0.0	2.16	2.71	1.17	4.35	1.55	0.62	2.71	4.82	7.46	0.0	11.64	4.46	3.5	1.23	1.25	6.11	10.31	1.85	22.75	6.84	23.93	12.74	21.16
TBC1D3F	297.17	444.72	518.15	624.99	194.36	166.73	941.27	329.84	327.56	373.81	651.58	708.18	194.36	1340.84	205.5	69.03	74.58	81.14	143.01	38.67	218.79	100.13	246.28	66.18	283.05	85.22	36.79	118.43	205.5	162.14	83.45	58.71	115.16	139.07	348.71	95.34	136.19	118.43	71.0	195.72	46.84	40.93	224.97	103.69	379.04	334.46	186.4	198.47	307.69
TBC1D3G	136.19	281.09	145.02	460.44	96.01	115.16	309.83	299.25	197.09	183.82	285.03	463.65	117.6	802.41	146.03	29.27	14.67	13.83	35.76	5.92	83.45	10.47	39.5	15.56	80.57	22.1	23.08	18.7	30.12	40.36	69.03	36.53	17.25	57.08	166.73	17.9	23.08	63.45	53.57	31.67	13.52	11.73	37.59	13.12	299.25	171.45	51.71	169.07	223.41
TBC1D3H	64.8	289.02	43.94	228.13	44.57	73.03	242.88	87.65	84.63	136.19	187.71	237.86	31.9	236.21	47.5	2.66	9.27	1.31	24.28	7.94	10.88	9.93	3.41	7.11	40.93	13.32	13.83	4.31	8.38	7.94	38.4	7.34	6.06	15.34	53.19	17.51	18.43	8.85	35.5	51.35	3.69	6.67	6.84	2.92	178.77	71.5	27.05	85.22	91.41
TINAGL1	5329.3	995.0	974.5	1378.57	842.36	4903.87	3257.52	2061.24	6745.86	3928.15	7331.05	2777.33	1617.0	2701.35	1088.92	249.73	941.27	202.66	127.89	116.78	669.92	237.86	309.83	343.89	309.83	177.53	59.13	191.67	165.57	438.59	540.19	135.24	279.14	536.45	162.14	332.14	480.04	511.0	239.52	796.86	224.97	525.39	241.19	152.28	1721.16	1437.15	1008.9	1794.29	1963.57
TLDC2	138.1	152.28	185.11	253.23	34.51	74.06	223.41	33.3	81.71	90.77	215.77	88.26	50.27	624.99	62.56	4.66	24.81	2.27	11.47	1.35	9.78	6.84	42.71	9.06	58.3	5.28	1.55	16.51	20.26	32.59	0.17	18.43	52.45	25.35	4.21	42.71	15.91	17.9	29.7	105.89	2.63	10.24	30.12	12.36	101.54	129.69	120.94	137.14	186.4
TMC7	89.51	70.01	33.78	107.38	15.45	72.52	45.85	57.08	74.58	51.71	33.3	32.82	26.47	152.28	66.18	2.18	7.94	1.95	2.12	8.71	4.39	3.26	16.63	0.29	1.57	1.41	0.87	2.14	5.96	2.78	5.02	3.35	5.02	14.45	3.47	3.44	2.12	9.93	7.11	6.73	0.0	0.93	5.15	2.05	71.0	47.5	73.03	38.67	45.53
TMEM218	723.08	473.41	447.82	603.67	444.72	540.19	507.46	555.41	500.46	483.38	454.09	575.03	514.56	1066.48	253.23	299.25	454.09	262.2	356.05	381.68	336.79	353.59	293.07	353.59	299.25	454.09	279.14	429.54	336.79	457.25	239.52	285.03	295.11	420.68	480.04	312.0	285.03	231.32	441.64	361.04	209.84	159.9	318.57	343.89	595.34	493.56	514.56	651.58	629.35
TMEM43	1199.98	703.28	583.07	698.41	460.44	1127.35	1096.5	1583.71	1183.45	1216.75	1313.23	819.3	759.08	872.1	633.73	234.57	209.84	376.41	339.14	285.03	460.44	312.0	303.44	281.09	420.68	180.02	341.51	307.69	329.84	432.53	256.78	334.46	825.0	251.48	480.04	253.23	291.04	303.44	312.0	336.79	81.71	387.02	346.29	438.59	1268.46	1216.75	981.29	1183.45	1378.57
TP53BP1	363.56	629.35	260.38	599.49	178.77	353.59	703.28	323.03	525.39	438.59	583.07	555.41	215.77	318.57	190.34	76.71	85.82	34.51	110.43	67.59	114.36	44.57	97.36	95.34	91.41	47.84	34.26	102.97	72.52	108.9	74.06	73.54	99.43	100.83	85.82	61.25	113.56	74.58	131.51	120.1	31.45	64.34	67.12	53.57	429.54	409.15	555.41	612.11	450.94
TRA2A	1340.84	2090.03	1447.15	1883.54	1407.55	1963.57	4736.79	2271.4	3303.0	1709.26	4123.49	2351.53	1183.45	1844.76	1250.98	909.17	819.3	642.59	1111.82	878.17	1447.15	540.19	988.12	791.35	1216.75	860.08	743.43	915.51	872.1	1233.75	660.68	674.59	1044.52	934.76	1096.5	884.29	884.29	723.08	1037.29	1242.34	507.46	616.37	954.43	775.05	2148.82	2032.85	2255.7	1977.24	2209.26
TRAF5	457.25	406.31	318.57	197.09	55.49	265.87	1561.89	255.0	329.84	379.04	718.08	414.87	151.22	493.56	209.84	21.32	48.87	21.32	33.3	12.74	33.54	10.47	43.32	37.05	44.57	14.45	13.32	31.9	15.22	68.07	4.58	13.22	53.57	20.26	39.22	53.95	39.22	64.34	37.32	24.81	14.24	34.26	33.78	12.36	253.23	197.09	438.59	429.54	540.19
TRDMT1	72.52	41.52	38.12	44.89	34.26	100.13	81.14	127.0	99.43	100.83	64.8	90.77	31.45	67.59	53.57	16.51	28.24	12.93	13.42	36.79	6.67	21.16	10.55	28.24	47.17	102.97	26.47	24.63	28.45	42.11	33.54	15.45	31.0	14.14	3.41	19.39	31.67	21.01	17.25	20.56	5.11	11.38	9.27	21.94	56.68	49.91	70.51	68.55	82.87
TSPAN7	384.34	171.45	1030.12	866.07	497.0	1857.6	988.12	1561.89	2875.3	769.69	791.35	1477.58	463.65	2591.27	941.27	223.41	836.53	117.6	123.5	341.51	796.86	518.15	329.84	256.78	267.73	141.02	49.91	95.34	75.64	599.49	559.28	178.77	275.28	961.07	165.57	191.67	665.29	412.0	279.14	1119.56	172.65	325.29	178.77	267.73	480.04	1277.29	988.12	813.63	1359.57
TTC34	6.11	9.13	13.22	13.12	2.78	26.67	39.79	26.86	71.5	35.25	58.71	84.63	7.28	13.42	2.56	4.21	0.59	6.01	0.58	1.04	8.71	4.24	1.25	1.43	2.25	0.99	5.32	1.14	4.62	8.71	0.22	5.41	1.77	4.9	7.82	0.0	0.0	0.0	5.45	0.95	0.0	0.96	0.13	3.79	14.35	27.64	9.56	38.67	8.85
TTLL3	521.76	540.19	669.92	624.99	460.44	450.94	2777.33	406.31	1313.23	775.05	1883.54	1639.59	555.41	575.03	366.09	85.82	154.42	98.73	156.59	74.06	358.54	80.01	221.86	135.24	153.34	85.22	78.34	147.06	180.02	173.85	81.14	155.5	197.09	144.01	256.78	108.14	153.34	137.14	172.65	198.47	39.5	151.22	166.73	94.67	688.78	902.89	629.35	1001.93	1081.39
TUBG2	575.03	579.04	571.05	514.56	221.86	432.53	961.07	507.46	764.36	629.35	830.75	1023.0	406.31	1023.0	318.57	95.34	106.63	190.34	241.19	133.36	215.77	107.38	221.86	100.13	195.72	77.25	105.15	128.79	171.45	138.1	77.79	109.66	241.19	125.24	199.85	116.78	96.68	111.21	151.22	251.48	53.95	33.06	98.04	130.6	633.73	693.58	603.67	470.14	500.46
UCP3	22.43	31.22	73.03	40.64	17.77	27.05	84.63	27.64	32.13	25.35	62.12	35.5	25.54	66.65	14.89	2.43	13.93	8.25	8.65	5.02	25.17	15.8	10.08	5.02	14.78	3.47	15.68	5.41	20.56	23.59	9.41	13.62	6.67	3.69	16.03	3.23	4.66	6.36	11.91	10.08	1.19	11.47	11.55	11.91	19.82	53.95	36.79	31.22	35.0
VAV3	112.77	295.11	373.81	473.41	27.44	387.02	327.56	651.58	287.01	269.6	167.9	281.09	153.34	723.08	175.07	1.0	68.55	7.69	4.06	6.21	32.36	13.52	40.64	33.06	29.91	3.96	3.0	27.64	10.24	48.52	27.44	5.68	23.42	9.41	4.74	45.21	15.56	28.45	65.72	37.05	7.57	32.82	13.93	9.93	65.26	181.28	111.99	198.47	131.51
VPS13A	166.73	197.09	181.28	208.38	162.14	239.52	616.37	251.48	271.48	299.25	693.58	713.11	269.6	463.65	246.28	121.79	106.63	124.37	163.28	161.02	187.71	72.01	119.26	98.73	81.71	68.55	172.65	108.14	98.04	171.45	61.68	149.12	119.26	108.9	122.64	95.34	115.97	102.25	117.6	176.29	27.44	52.45	82.29	132.44	215.77	206.94	253.23	226.54	277.2
WDR52	92.7	341.51	187.71	202.66	133.36	125.24	318.57	162.14	271.48	120.1	316.37	346.29	156.59	595.34	139.07	40.36	35.5	37.05	46.18	45.85	116.78	34.51	41.22	15.8	39.5	27.84	24.99	32.36	54.72	67.12	19.39	36.53	49.21	47.17	50.63	24.28	47.5	50.63	71.0	51.35	4.13	27.64	50.27	44.25	180.02	214.27	129.69	547.75	229.72
WDR73	521.76	703.28	603.67	693.58	320.8	521.76	909.17	476.71	624.99	480.04	825.0	674.59	341.51	633.73	351.14	148.09	132.44	142.01	186.4	114.36	414.87	131.51	237.86	163.28	265.87	151.22	151.22	172.65	228.13	323.03	84.63	118.43	183.82	204.07	329.84	142.01	218.79	155.5	237.86	221.86	66.18	108.9	172.65	161.02	490.14	543.96	507.46	684.02	529.06
WDR91	327.56	540.19	334.46	579.04	312.0	1088.92	1721.16	1467.37	1096.5	866.07	1674.06	934.76	325.29	1250.98	309.83	232.94	98.73	223.41	205.5	258.57	336.79	116.78	169.07	140.04	318.57	193.01	229.72	102.25	279.14	242.88	171.45	151.22	269.6	221.86	202.66	142.01	295.11	185.11	199.85	371.22	52.45	167.9	237.86	88.26	878.17	460.44	368.65	674.59	595.34
WTIP	234.57	115.97	246.28	232.94	75.11	426.57	204.07	236.21	397.93	267.73	397.93	131.51	158.79	348.71	88.88	15.91	15.22	19.97	21.01	9.13	38.67	21.32	37.05	52.82	33.06	6.84	26.67	39.22	22.26	41.81	12.18	14.45	27.84	82.29	14.35	13.42	9.78	31.45	53.57	77.25	13.42	36.79	39.5	11.21	264.03	379.04	185.11	223.41	325.29
ZC2HC1B	2.84	1.68	10.31	0.0	3.38	1.73	2.36	5.92	4.94	2.89	1.69	2.43	2.63	14.35	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	10.96	2.01	1.79	4.1
ZNF19	122.64	126.12	162.14	144.01	64.34	115.16	171.45	146.03	105.89	119.26	242.88	208.38	62.12	126.12	70.01	31.0	32.36	19.53	40.07	49.21	64.8	30.78	56.28	31.45	46.18	35.76	52.45	20.41	83.45	94.01	22.26	40.36	29.06	66.18	56.28	39.22	50.98	30.78	57.89	43.94	18.29	11.38	61.68	55.1	86.43	119.26	100.83	145.02	75.64
ZNF23	195.72	214.27	187.71	303.44	180.02	186.4	353.59	211.31	189.02	187.71	373.81	208.38	163.28	397.93	149.12	108.14	72.01	115.97	90.77	110.43	161.02	90.77	147.06	71.5	92.7	77.25	158.79	71.5	112.77	157.68	58.71	99.43	136.19	98.73	185.11	66.18	70.51	93.35	108.9	142.01	47.5	71.0	144.01	134.3	169.07	198.47	187.71	147.06	171.45
ZNF785	199.85	221.86	150.17	246.28	74.58	173.85	293.07	133.36	197.09	217.27	275.28	208.38	105.15	187.71	107.38	39.79	41.22	39.22	31.67	35.25	49.21	25.91	53.19	28.65	33.78	24.11	31.22	39.22	27.05	61.25	22.75	40.07	53.95	46.84	55.89	35.5	45.53	37.05	41.52	47.17	13.72	13.62	29.06	35.76	152.28	166.73	133.36	172.65	181.28
ZNF836	201.25	199.85	201.25	420.68	89.51	175.07	309.83	180.02	154.42	191.67	249.73	244.57	105.15	414.87	68.55	88.88	50.27	44.57	47.84	56.68	119.26	49.56	69.03	40.36	91.41	52.45	47.5	57.89	72.52	65.72	53.95	63.0	57.49	58.3	76.71	55.49	39.79	26.67	70.51	67.12	26.86	28.04	79.45	38.4	145.02	193.01	195.72	138.1	177.53
