	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.W5.AA2U.11A.11R.A41I.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CW.6088.01A.11R.1672.07	TCGA.A3.3322.01A.02R.1325.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B2.4102.01A.02R.1325.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.4R.AA8I.01A.11R.A38B.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GZ.01A.11R.A39D.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.AADL.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.SL.A6J9.01A.11R.A31O.07
PIKFYVE	46.18	26.47	14.67	32.59	68.55	486.75	275.28	217.27	224.97	258.57	218.79	81.71	214.27	48.87	42.11	38.95	108.14	50.63	100.83	159.9	156.59	109.66	19.97	50.63	68.55	31.9	99.43	80.57	153.34	112.77	56.68	59.97	56.28	61.25	101.54	53.95	109.66	133.36	58.3	63.0	66.65	71.0	96.68	59.13	54.72	89.51	74.58	34.75	47.5	81.71	63.0	38.12	75.64	121.79	30.78	69.52	134.3	79.45	49.56	73.54	77.25	57.89	52.08	117.6	98.73	42.41	47.84	71.0	110.43	44.57	0.0	18.56	30.56
PLS1	49.21	25.72	271.48	38.12	239.52	2075.59	409.15	323.03	318.57	688.78	884.29	366.09	403.5	161.02	77.25	131.51	339.14	191.67	351.14	323.03	460.44	429.54	368.65	223.41	187.71	143.01	529.06	351.14	785.88	595.34	162.14	169.07	153.34	265.87	267.73	156.59	121.79	323.03	138.1	164.42	176.29	130.6	329.84	237.86	493.56	202.66	381.68	195.72	212.78	186.4	239.52	525.39	197.09	165.57	139.07	295.11	242.88	103.69	150.17	191.67	291.04	201.25	151.22	591.22	181.28	167.9	91.41	215.77	500.46	120.1	0.0	55.1	84.04
R3HDM2	249.73	161.02	299.25	171.45	551.56	981.29	728.11	848.22	902.89	713.11	808.0	647.07	909.17	273.37	175.07	339.14	497.0	466.88	500.46	647.07	878.17	698.41	155.5	316.37	297.17	371.22	575.03	981.29	543.96	708.18	521.76	406.31	457.25	334.46	540.19	447.82	713.11	435.55	376.41	603.67	397.93	674.59	470.14	866.07	314.17	525.39	480.04	480.04	486.75	616.37	620.67	358.54	688.78	521.76	575.03	500.46	796.86	563.18	412.0	260.38	713.11	547.75	521.76	698.41	638.15	232.94	325.29	536.45	607.87	420.68	518.15	58.71	373.81
RANBP9	392.44	353.59	353.59	248.0	387.02	708.18	511.0	395.18	450.94	603.67	591.22	616.37	848.22	493.56	256.78	381.68	450.94	356.05	373.81	674.59	420.68	470.14	236.21	514.56	395.18	224.97	497.0	785.88	599.49	703.28	239.52	305.55	314.17	265.87	397.93	159.9	346.29	486.75	249.73	363.56	358.54	638.15	447.82	426.57	281.09	379.04	332.14	358.54	420.68	656.11	435.55	718.08	314.17	414.87	299.25	343.89	521.76	255.0	429.54	441.64	289.02	435.55	318.57	463.65	497.0	145.02	262.2	486.75	332.14	309.83	0.0	187.71	314.17
RAPGEF2	63.0	49.91	40.93	47.5	295.11	2119.22	2047.0	988.12	1001.93	1073.91	1388.16	432.53	620.67	91.41	64.34	110.43	497.0	316.37	669.92	316.37	384.34	547.75	32.13	166.73	123.5	84.63	348.71	466.88	423.61	674.59	169.07	167.9	190.34	258.57	271.48	341.51	373.81	463.65	229.72	281.09	289.02	273.37	336.79	325.29	269.6	363.56	934.76	154.42	332.14	511.0	389.72	368.65	379.04	287.01	154.42	334.46	346.29	329.84	132.44	281.09	279.14	277.2	291.04	563.18	409.15	113.56	281.09	435.55	660.68	103.69	0.0	14.78	26.67
RFX7	58.3	29.06	33.3	38.95	32.82	381.68	167.9	139.07	214.27	218.79	167.9	74.58	111.21	20.41	28.24	18.29	51.35	26.28	74.58	122.64	127.89	92.05	18.03	33.3	24.11	21.01	87.65	87.03	255.0	84.04	25.54	22.26	25.54	39.22	47.84	33.3	67.59	70.01	11.04	59.55	42.11	47.17	60.39	46.5	28.65	45.85	35.25	22.75	26.28	78.34	28.24	57.89	74.06	44.57	16.88	40.07	73.03	54.33	27.64	55.1	46.5	49.21	19.53	75.11	38.12	6.94	8.38	41.81	52.45	17.51	0.0	23.76	39.22
RP11-407N17.3	0.0	0.57	0.0	0.0	62.12	217.27	341.51	154.42	102.25	277.2	72.01	236.21	159.9	8.71	25.35	26.86	157.68	44.89	209.84	136.19	167.9	193.01	9.34	42.11	42.11	12.36	136.19	124.37	158.79	115.97	22.43	38.67	43.02	101.54	80.57	60.39	46.84	59.13	25.72	79.45	96.68	167.9	47.5	30.34	89.51	59.97	105.89	8.92	57.89	205.5	64.8	116.78	117.6	96.01	50.63	119.26	72.52	52.45	15.8	158.79	138.1	150.17	55.89	163.28	81.71	30.78	32.13	63.45	75.64	39.22	0.0	0.0	0.0
RTF1	223.41	211.31	169.07	211.31	221.86	607.87	503.95	463.65	454.09	563.18	435.55	327.56	327.56	220.32	185.11	183.82	395.18	273.37	381.68	540.19	403.5	412.0	158.79	283.05	194.36	162.14	403.5	392.44	579.04	392.44	205.5	215.77	191.67	172.65	348.71	153.34	169.07	341.51	215.77	336.79	237.86	297.17	231.32	197.09	172.65	314.17	205.5	162.14	283.05	237.86	299.25	237.86	273.37	275.28	170.25	327.56	323.03	253.23	223.41	170.25	314.17	226.54	157.68	334.46	275.28	486.75	279.14	356.05	339.14	157.68	0.0	131.51	201.25
SCARB2	995.0	2915.45	2018.8	961.07	1769.57	2895.31	2796.65	2664.15	2645.74	2384.37	2537.92	3235.01	2573.36	1340.84	1023.0	1088.92	2739.08	1572.76	1806.78	2047.0	2193.99	3212.66	1340.84	1407.55	1015.93	1295.13	1605.83	1769.57	3639.7	2032.85	1331.57	1350.18	1572.76	1583.71	1977.24	1151.06	1127.35	1685.71	974.5	1487.87	1519.15	1437.15	2004.85	1331.57	2075.59	2163.77	1963.57	1388.16	1359.57	1769.57	2335.28	1427.22	1721.16	1447.15	1199.98	2047.0	1757.34	1073.91	1662.49	3190.46	1529.73	1617.0	1295.13	1857.6	1605.83	575.03	1030.12	1487.87	2271.4	1685.71	1183.45	947.83	928.3
SECISBP2L	44.89	51.35	47.17	32.82	159.9	1508.65	679.29	529.06	567.1	612.11	555.41	159.9	323.03	75.11	46.18	65.72	223.41	105.15	242.88	217.27	312.0	226.54	40.07	158.79	80.01	48.18	262.2	246.28	279.14	197.09	147.06	134.3	120.94	127.89	183.82	166.73	164.42	287.01	193.01	211.31	154.42	293.07	205.5	208.38	183.82	264.03	269.6	114.36	159.9	211.31	148.09	98.73	185.11	185.11	118.43	363.56	366.09	204.07	113.56	209.84	271.48	120.1	120.94	277.2	191.67	81.14	75.11	191.67	373.81	104.42	0.0	33.54	44.25
SENP7	31.22	27.25	39.5	60.39	98.73	551.56	234.57	226.54	361.04	376.41	339.14	104.42	128.79	60.82	37.85	42.71	126.12	57.49	84.04	193.01	126.12	82.87	30.34	63.0	89.51	47.84	137.14	131.51	224.97	186.4	64.34	62.56	68.07	43.02	98.04	40.93	69.52	71.5	50.98	147.06	72.01	94.67	73.54	70.01	52.45	64.8	63.45	47.5	74.58	97.36	65.26	31.0	63.89	75.11	40.93	103.69	157.68	82.87	119.26	53.57	80.01	51.71	50.27	134.3	116.78	31.45	44.89	87.65	82.87	88.26	0.0	40.07	32.59
SLC17A4	0.0	0.0	0.0	0.0	323.03	112.77	1044.52	2434.5	1508.65	1175.27	1111.82	909.17	1963.57	454.09	43.94	503.95	1407.55	599.49	808.0	860.08	2609.3	684.02	291.04	669.92	18.43	92.7	1051.79	1617.0	1277.29	1331.57	287.01	339.14	84.04	642.59	1662.49	713.11	1745.2	1781.89	312.0	1733.13	769.69	1529.73	684.02	3419.52	571.05	327.56	507.46	273.37	1183.45	1059.11	105.89	780.44	718.08	1896.65	116.78	529.06	1950.0	1519.15	387.02	1857.6	490.14	1119.56	271.48	2061.24	2018.8	70.51	241.19	1857.6	1051.79	162.14	0.0	0.89	0.0
SLC25A34	3.56	9.63	20.71	4.62	69.03	134.3	221.86	86.43	99.43	111.21	73.03	87.65	51.71	35.25	13.72	26.86	211.31	55.89	309.83	12.83	154.42	85.22	6.41	68.55	6.89	4.66	91.41	124.37	32.13	24.28	69.52	13.62	59.97	100.83	57.89	50.98	21.47	60.39	3.5	218.79	52.82	76.71	16.63	38.12	21.78	190.34	11.13	51.35	70.01	104.42	87.65	109.66	76.71	34.51	18.03	80.01	88.88	80.57	70.51	73.54	49.21	27.05	19.11	66.18	63.0	6.01	5.19	59.13	61.25	8.13	0.0	1.03	11.13
SPG11	447.82	454.09	435.55	351.14	854.13	1044.52	884.29	1127.35	1183.45	1135.2	1159.07	1073.91	1023.0	607.87	384.34	529.06	1183.45	928.3	995.0	934.76	769.69	954.43	450.94	819.3	507.46	713.11	909.17	1127.35	1268.46	860.08	624.99	543.96	674.59	693.58	633.73	547.75	825.0	743.43	587.13	679.29	738.29	764.36	579.04	713.11	684.02	688.78	669.92	536.45	836.53	775.05	633.73	409.15	708.18	934.76	603.67	967.76	961.07	896.64	447.82	785.88	1015.93	638.15	540.19	769.69	780.44	285.03	575.03	890.44	651.58	444.72	0.0	295.11	466.88
TADA1	110.43	181.28	101.54	190.34	376.41	332.14	253.23	256.78	198.47	212.78	206.94	1119.56	490.14	432.53	191.67	172.65	392.44	297.17	785.88	728.11	733.19	447.82	172.65	341.51	320.8	220.32	429.54	441.64	688.78	514.56	376.41	260.38	312.0	420.68	460.44	371.22	409.15	551.56	146.03	571.05	536.45	486.75	507.46	503.95	409.15	460.44	450.94	262.2	423.61	603.67	301.33	511.0	493.56	638.15	152.28	536.45	642.59	483.38	248.0	490.14	361.04	318.57	226.54	470.14	587.13	113.56	96.01	698.41	583.07	177.53	0.0	162.14	224.97
TCF12	157.68	143.01	105.89	167.9	211.31	1127.35	988.12	665.29	921.88	854.13	813.63	320.8	514.56	191.67	88.88	120.94	251.48	205.5	262.2	693.58	341.51	358.54	105.15	197.09	134.3	107.38	273.37	341.51	769.69	454.09	155.5	143.01	161.02	165.57	209.84	112.77	223.41	229.72	84.04	316.37	161.02	234.57	253.23	183.82	177.53	341.51	175.07	127.0	127.0	480.04	271.48	151.22	185.11	366.09	114.36	297.17	285.03	171.45	287.01	94.67	291.04	164.42	123.5	353.59	209.84	67.12	166.73	293.07	297.17	139.07	0.0	162.14	94.67
TJP1	139.07	148.09	193.01	327.56	400.71	1295.13	1175.27	684.02	688.78	718.08	684.02	417.77	638.15	251.48	120.1	224.97	540.19	312.0	463.65	718.08	785.88	743.43	100.83	500.46	197.09	178.77	802.41	1151.06	1008.9	525.39	232.94	241.19	215.77	139.07	303.44	185.11	366.09	262.2	348.71	323.03	158.79	256.78	438.59	231.32	140.04	301.33	301.33	143.01	163.28	312.0	211.31	226.54	148.09	285.03	218.79	215.77	267.73	218.79	323.03	165.57	348.71	256.78	183.82	392.44	211.31	351.14	642.59	269.6	215.77	208.38	307.69	189.02	142.01
TRIM26	511.0	387.02	733.19	406.31	836.53	1167.14	830.75	785.88	698.41	1151.06	1023.0	1639.59	2178.83	1104.13	642.59	764.36	1991.0	607.87	1369.04	1286.18	1378.57	1277.29	616.37	1199.98	780.44	693.58	1268.46	2018.8	2351.53	1199.98	872.1	669.92	836.53	848.22	954.43	813.63	1250.98	902.89	540.19	1151.06	1151.06	802.41	764.36	1397.83	536.45	896.64	802.41	775.05	674.59	698.41	759.08	1733.13	866.07	1551.09	693.58	638.15	988.12	825.0	748.61	1651.0	743.43	1096.5	728.11	808.0	890.44	438.59	587.13	1081.39	830.75	353.59	890.44	139.07	486.75
TRPM7	98.04	65.72	41.22	140.04	197.09	656.11	426.57	473.41	435.55	417.77	389.72	295.11	954.43	100.13	75.64	115.16	318.57	146.03	346.29	444.72	363.56	403.5	56.68	128.79	119.26	90.77	397.93	902.89	397.93	387.02	149.12	130.6	148.09	167.9	389.72	500.46	400.71	277.2	136.19	241.19	149.12	215.77	201.25	356.05	205.5	208.38	848.22	98.04	226.54	403.5	164.42	249.73	417.77	236.21	171.45	244.57	366.09	376.41	120.94	133.36	379.04	387.02	514.56	395.18	353.59	98.73	186.4	208.38	457.25	118.43	166.73	49.21	38.12
TTBK2	22.92	19.39	13.42	43.63	35.5	133.36	156.59	128.79	121.79	137.14	133.36	45.85	57.89	27.44	19.11	11.82	58.3	30.34	49.56	70.51	63.0	44.57	9.93	24.99	17.64	11.82	43.94	58.3	79.45	59.13	24.81	15.34	22.92	42.41	26.47	13.12	37.32	18.84	23.76	44.25	24.81	70.01	27.84	29.48	31.9	33.54	15.68	35.0	27.84	41.81	37.32	20.56	30.12	36.53	33.06	38.12	54.72	42.11	30.12	32.82	38.4	27.44	43.02	53.57	36.27	9.34	39.5	40.36	35.76	29.06	32.36	12.64	8.65
TUBGCP4	130.6	86.43	215.77	169.07	107.38	366.09	356.05	441.64	384.34	389.72	381.68	224.97	348.71	147.06	155.5	102.97	209.84	211.31	166.73	327.56	181.28	237.86	122.64	100.83	59.13	122.64	153.34	307.69	351.14	244.57	108.9	76.71	98.73	94.67	77.25	118.43	133.36	52.82	153.34	305.55	107.38	135.24	73.54	83.45	93.35	105.89	45.21	89.51	61.68	108.14	167.9	131.51	172.65	75.64	51.71	170.25	111.21	190.34	156.59	88.26	194.36	105.15	151.22	124.37	140.04	87.65	113.56	100.13	67.59	104.42	148.09	41.81	133.36
UBE3A	249.73	145.02	182.55	460.44	490.14	1008.9	872.1	660.68	642.59	830.75	743.43	476.71	603.67	318.57	148.09	249.73	417.77	409.15	532.74	511.0	547.75	414.87	149.12	426.57	229.72	287.01	503.95	708.18	616.37	514.56	363.56	339.14	320.8	305.55	674.59	361.04	327.56	536.45	312.0	612.11	351.14	507.46	507.46	457.25	334.46	500.46	555.41	309.83	414.87	603.67	305.55	316.37	332.14	470.14	260.38	441.64	583.07	414.87	356.05	353.59	559.28	346.29	363.56	624.99	500.46	264.03	258.57	559.28	660.68	325.29	417.77	239.52	173.85
UBN2	15.68	15.34	18.84	16.75	36.01	102.25	105.89	175.07	120.94	100.83	114.36	48.52	56.68	43.94	24.81	15.11	75.64	23.59	70.01	109.66	70.01	54.72	19.39	35.5	26.86	27.25	72.01	69.03	109.66	78.34	41.22	20.11	28.45	37.85	27.05	22.92	55.89	38.67	19.68	48.52	29.06	54.33	47.17	49.91	25.35	45.85	43.63	38.12	37.05	73.54	43.63	18.43	37.59	56.68	25.91	42.11	55.1	52.08	23.76	32.36	47.17	41.52	46.18	54.72	50.27	12.18	20.11	48.18	41.52	28.04	39.22	4.98	20.86
UBR1	55.49	49.56	72.01	52.82	75.64	295.11	279.14	209.84	239.52	287.01	224.97	111.21	132.44	47.84	33.78	43.02	131.51	59.13	91.41	72.52	117.6	78.34	61.25	47.84	45.21	47.5	83.45	127.0	140.04	148.09	52.82	64.8	60.39	163.28	65.72	47.84	47.5	73.54	61.68	63.89	35.25	66.18	146.03	35.76	49.56	70.51	57.08	43.94	34.51	90.77	105.15	129.69	43.94	72.52	70.01	71.0	111.99	40.36	68.07	45.21	76.71	69.03	89.51	78.89	64.8	61.68	146.03	86.43	68.55	77.79	0.0	47.5	41.22
UBR2	127.89	71.5	167.9	55.1	228.13	536.45	373.81	327.56	389.72	444.72	376.41	241.19	379.04	146.03	139.07	115.97	656.11	175.07	242.88	198.47	265.87	232.94	104.42	214.27	141.02	110.43	223.41	450.94	493.56	211.31	166.73	144.01	183.82	198.47	236.21	182.55	158.79	211.31	165.57	267.73	164.42	253.23	170.25	295.11	226.54	224.97	239.52	147.06	234.57	343.89	152.28	165.57	159.9	217.27	142.01	325.29	299.25	277.2	154.42	190.34	239.52	171.45	153.34	267.73	291.04	110.43	244.57	269.6	215.77	145.02	173.85	95.34	123.5
USP8	220.32	275.28	173.85	412.0	316.37	854.13	866.07	665.29	748.61	669.92	651.58	414.87	616.37	320.8	182.55	258.57	444.72	366.09	476.71	441.64	514.56	447.82	156.59	417.77	262.2	279.14	486.75	624.99	486.75	486.75	260.38	285.03	314.17	314.17	255.0	323.03	318.57	432.53	366.09	381.68	206.94	373.81	423.61	395.18	343.89	447.82	371.22	265.87	301.33	368.65	379.04	289.02	273.37	521.76	162.14	473.41	486.75	341.51	332.14	309.83	429.54	438.59	379.04	536.45	423.61	135.24	332.14	435.55	426.57	305.55	0.0	237.86	161.02
ZBTB14	74.58	69.52	83.45	64.34	127.0	420.68	356.05	318.57	275.28	371.22	281.09	134.3	182.55	97.36	61.68	47.17	176.29	108.14	183.82	202.66	105.89	211.31	52.08	88.88	101.54	84.63	159.9	180.02	159.9	175.07	107.38	93.35	105.89	100.13	128.79	109.66	167.9	138.1	61.25	217.27	131.51	150.17	88.26	115.97	130.6	137.14	134.3	101.54	104.42	206.94	107.38	78.89	195.72	166.73	66.18	128.79	182.55	217.27	106.63	119.26	92.7	119.26	63.0	177.53	151.22	38.95	60.39	151.22	197.09	85.82	0.0	82.29	70.01
ZBTB37	9.63	12.74	12.45	8.25	21.94	119.26	63.89	54.72	83.45	72.01	72.52	80.01	61.25	22.1	17.51	16.27	48.52	37.32	62.12	53.57	78.89	58.71	19.68	18.84	28.65	31.67	36.79	47.84	50.27	65.72	21.78	15.91	20.71	38.12	19.68	15.68	23.08	18.56	16.63	34.51	26.1	25.72	19.53	34.51	21.16	37.59	14.78	21.32	27.44	44.25	28.65	20.41	34.02	26.86	10.79	29.27	50.98	45.53	11.04	31.22	39.22	33.3	34.26	49.56	34.26	10.79	9.7	26.1	26.28	16.39	18.56	4.1	19.97
ZFP14	18.84	12.18	29.06	16.39	19.11	143.01	124.37	130.6	119.26	114.36	107.38	64.8	73.54	34.26	37.32	7.22	45.21	17.9	75.11	63.89	89.51	38.12	13.03	28.45	24.81	11.91	69.03	43.02	115.16	44.57	24.11	12.64	24.28	33.54	32.13	19.39	28.24	38.95	10.0	44.89	34.51	42.71	27.84	39.5	20.56	33.3	22.1	24.28	26.47	40.93	24.99	22.43	36.01	46.18	18.16	31.67	49.91	33.78	14.14	36.79	39.79	37.85	16.03	46.18	40.93	4.24	4.78	35.5	37.32	8.65	0.0	1.33	22.1
ZKSCAN1	114.36	63.89	84.63	48.52	665.29	483.38	444.72	607.87	507.46	435.55	423.61	878.17	1331.57	525.39	279.14	239.52	796.86	423.61	1073.91	1023.0	764.36	961.07	191.67	507.46	180.02	264.03	836.53	1388.16	1277.29	796.86	460.44	194.36	454.09	395.18	674.59	514.56	884.29	693.58	325.29	974.5	511.0	819.3	389.72	1044.52	540.19	423.61	738.29	414.87	693.58	1088.92	486.75	356.05	476.71	679.29	226.54	583.07	738.29	934.76	305.55	412.0	511.0	540.19	417.77	620.67	759.08	129.69	143.01	1001.93	616.37	182.55	206.94	59.13	167.9
ZNF181	50.27	56.28	49.56	77.79	215.77	339.14	438.59	363.56	316.37	325.29	323.03	348.71	339.14	232.94	62.12	115.97	232.94	312.0	260.38	277.2	285.03	251.48	53.57	255.0	130.6	77.25	231.32	318.57	273.37	224.97	123.5	111.21	195.72	148.09	236.21	204.07	180.02	237.86	125.24	325.29	244.57	183.82	111.21	133.36	187.71	197.09	260.38	165.57	154.42	236.21	269.6	104.42	141.02	183.82	107.38	172.65	197.09	287.01	169.07	86.43	269.6	151.22	131.51	269.6	281.09	134.3	37.85	236.21	208.38	102.97	0.0	53.19	80.57
ZNF197	115.97	58.3	78.34	70.51	106.63	291.04	177.53	136.19	190.34	267.73	146.03	137.14	204.07	117.6	111.21	68.07	199.85	116.78	139.07	269.6	121.79	175.07	111.99	106.63	87.03	84.63	150.17	130.6	234.57	148.09	107.38	105.89	151.22	88.88	155.5	135.24	185.11	146.03	120.94	214.27	94.01	166.73	124.37	133.36	127.0	134.3	177.53	76.17	132.44	126.12	180.02	53.95	97.36	135.24	69.03	139.07	165.57	144.01	135.24	118.43	191.67	96.68	163.28	197.09	133.36	70.01	36.01	181.28	146.03	95.34	0.0	33.06	98.04
ZNF236	17.25	13.32	15.45	17.64	26.1	145.02	67.12	75.11	102.25	94.67	83.45	48.52	49.21	15.45	23.93	10.47	27.05	18.29	63.89	78.34	25.91	54.33	12.36	15.34	25.91	17.25	43.63	42.71	73.03	79.45	18.7	19.68	19.97	22.1	58.3	23.59	54.33	32.82	16.39	55.49	24.46	36.79	33.54	38.4	35.25	25.91	35.76	29.06	22.92	61.68	17.51	20.86	50.63	35.25	16.51	30.78	54.33	50.63	28.24	19.82	29.27	34.75	26.1	41.22	43.94	7.69	21.78	36.79	37.32	11.82	0.0	6.16	13.93
ZNF253	46.5	29.48	27.25	3.69	60.39	232.94	217.27	170.25	183.82	248.0	172.65	71.0	148.09	34.51	115.97	38.67	113.56	35.76	114.36	156.59	93.35	93.35	74.06	47.84	94.01	29.7	97.36	58.71	165.57	59.55	52.45	30.56	48.87	66.65	78.89	85.22	54.33	60.82	43.32	90.14	40.64	106.63	53.95	63.45	58.71	67.59	61.25	41.22	71.5	86.43	97.36	33.06	37.85	31.9	34.51	77.25	100.13	117.6	71.5	63.0	105.15	32.36	54.72	121.79	82.29	17.9	11.38	150.17	80.01	29.7	0.0	7.06	47.84
ZNF41	27.84	21.16	27.25	23.42	49.56	127.89	157.68	137.14	169.07	138.1	134.3	58.71	74.06	36.01	24.28	14.35	57.08	33.54	81.14	83.45	63.89	69.03	18.43	38.67	33.54	24.81	59.97	64.34	127.0	63.89	37.05	31.9	29.48	44.57	42.71	30.56	76.17	40.07	29.91	83.45	43.63	57.49	30.34	44.25	27.84	52.08	34.02	28.04	34.02	59.13	36.79	41.81	37.05	51.71	24.63	42.71	73.54	126.12	53.95	35.5	46.84	26.28	39.22	48.52	41.22	25.54	28.04	47.5	34.02	36.53	0.0	18.56	28.86
ZNF429	64.34	41.81	49.56	4.94	127.0	480.04	480.04	237.86	271.48	358.54	231.32	202.66	287.01	47.84	56.68	35.0	253.23	94.67	309.83	154.42	197.09	197.09	27.84	76.17	66.65	47.84	109.66	177.53	198.47	60.39	82.87	93.35	94.01	164.42	162.14	101.54	172.65	172.65	79.45	202.66	232.94	316.37	145.02	191.67	182.55	146.03	127.0	155.5	201.25	202.66	109.66	108.9	201.25	189.02	84.04	214.27	236.21	253.23	119.26	144.01	218.79	141.02	116.78	223.41	159.9	59.55	34.75	201.25	271.48	89.51	0.0	9.34	105.15
ZNF546	8.92	9.56	6.57	5.06	24.46	63.0	105.89	100.83	131.51	131.51	92.7	38.67	88.88	31.22	11.47	13.22	43.63	31.22	59.55	69.03	52.08	55.49	8.32	30.56	18.97	19.97	53.95	76.17	90.77	45.85	19.25	11.55	45.53	21.94	43.32	19.53	30.78	34.75	11.73	48.52	19.25	58.71	17.77	48.18	33.78	28.65	23.76	25.17	30.56	87.03	25.17	16.75	22.43	39.22	19.39	32.36	52.08	43.32	39.5	30.34	38.12	20.56	15.22	26.67	41.22	8.13	9.85	46.18	21.47	32.59	0.0	3.56	13.83
ZNF564	64.34	31.0	57.49	55.49	75.11	116.78	157.68	148.09	159.9	190.34	137.14	104.42	155.5	142.01	42.11	62.12	129.69	127.0	147.06	121.79	108.14	123.5	56.28	84.63	48.87	63.89	130.6	80.01	147.06	62.12	87.65	55.1	94.67	94.67	129.69	96.01	124.37	102.25	65.72	118.43	44.25	119.26	76.71	72.52	75.11	102.97	109.66	83.45	95.34	121.79	111.99	40.07	60.82	75.11	43.02	59.97	100.83	76.71	88.88	111.99	90.14	61.68	63.0	63.89	86.43	52.45	52.45	115.97	85.82	57.08	0.0	73.54	76.17
ZNF658	7.69	8.78	14.56	17.51	16.51	103.69	102.25	102.97	98.73	88.26	77.25	18.03	56.28	34.51	12.64	12.09	33.54	23.76	47.84	42.11	24.81	29.48	8.38	12.55	16.27	9.85	21.16	33.06	68.07	39.79	14.35	8.45	17.51	26.47	23.93	19.25	20.41	16.15	8.13	44.57	31.67	39.79	17.77	35.25	18.29	19.82	34.51	9.13	16.63	38.4	22.59	7.0	19.39	32.82	11.04	36.79	40.07	32.82	26.1	9.7	23.25	17.64	12.93	34.75	25.35	9.06	4.13	30.56	28.45	13.32	0.0	13.12	11.13
ZNF770	40.36	25.54	17.64	35.76	126.12	836.53	567.1	571.05	612.11	511.0	426.57	275.28	267.73	50.63	26.67	50.98	199.85	79.45	307.69	197.09	265.87	420.68	27.25	112.77	73.03	60.82	291.04	234.57	273.37	285.03	92.05	91.41	73.54	94.67	72.01	98.73	123.5	166.73	109.66	186.4	154.42	59.13	185.11	111.21	151.22	356.05	175.07	121.79	62.56	212.78	108.9	85.22	260.38	106.63	74.06	244.57	221.86	167.9	90.14	128.79	176.29	75.11	90.77	224.97	226.54	64.34	36.79	139.07	244.57	66.18	0.0	59.55	37.85
