	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.E2.A15I.01A.21R.A137.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.AN.A0XL.01A.11R.A10J.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AZ.4313.01A.01R.1410.07	TCGA.D5.6540.01A.11R.1723.07	TCGA.F4.6856.01A.11R.1928.07	TCGA.CM.5861.01A.01R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6930.01A.11R.1928.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.AA.3663.01A.01R.1723.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.CM.6674.01A.11R.1839.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6882.01A.11R.1928.07	TCGA.VQ.A91V.01A.11R.A414.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6802.11A.01R.1884.13
PUM1	1685.71	1407.55	1519.15	1059.11	1457.23	1242.34	860.08	1167.14	1457.23	1651.0	1498.22	967.76	961.07	476.71	743.43	775.05	915.51	587.13	665.29	595.34	698.41	514.56	555.41	624.99	1037.29	221.86	320.8	540.19	95.34	1015.93	1037.29	1111.82	748.61	941.27	371.22
PUM2	2090.03	1794.29	1769.57	1208.34	1561.89	1519.15	1151.06	1721.16	1733.13	1832.01	1745.2	872.1	1183.45	518.15	629.35	660.68	825.0	579.04	555.41	638.15	651.58	543.96	507.46	723.08	1167.14	381.68	244.57	0.0	0.65	1199.98	656.11	902.89	633.73	1001.93	525.39
RAB2B	414.87	679.29	603.67	303.44	612.11	432.53	409.15	563.18	607.87	642.59	890.44	379.04	476.71	249.73	236.21	147.06	175.07	157.68	111.99	190.34	271.48	258.57	208.38	149.12	295.11	110.43	63.89	262.2	141.02	341.51	265.87	269.6	198.47	271.48	291.04
RAB39B	13.32	7.94	105.89	10.47	65.26	7.51	2.03	15.56	21.47	39.79	57.08	55.89	21.47	0.25	1.3	1.73	1.14	0.27	3.82	0.28	1.95	8.38	0.53	9.7	1.36	0.78	0.32	0.0	0.19	4.5	0.84	1.91	25.54	14.67	6.57
RALGAPA1	1769.57	642.59	1923.14	521.76	860.08	660.68	379.04	748.61	748.61	1059.11	743.43	368.65	381.68	262.2	206.94	312.0	289.02	191.67	217.27	178.77	361.04	205.5	164.42	152.28	363.56	127.89	55.1	0.0	0.78	381.68	497.0	327.56	291.04	346.29	251.48
RELL1	1561.89	303.44	1447.15	217.27	728.11	224.97	217.27	325.29	305.55	187.71	518.15	35.0	103.69	44.89	90.14	63.0	61.68	36.53	51.35	73.54	49.56	85.82	58.3	66.18	226.54	23.59	12.45	0.0	0.29	120.1	136.19	185.11	371.22	376.41	178.77
REST	947.83	511.0	1605.83	348.71	444.72	376.41	307.69	420.68	476.71	392.44	587.13	186.4	253.23	114.36	121.79	212.78	183.82	132.44	116.78	145.02	120.1	131.51	98.04	171.45	223.41	32.82	52.08	0.0	0.23	314.17	291.04	249.73	150.17	441.64	109.66
RHBDD1	780.44	493.56	679.29	480.04	423.61	616.37	339.14	532.74	450.94	371.22	540.19	204.07	303.44	128.79	273.37	232.94	258.57	158.79	181.28	164.42	175.07	229.72	8.45	291.04	21.01	211.31	146.03	0.0	0.28	348.71	295.11	273.37	323.03	237.86	136.19
RICTOR	769.69	400.71	941.27	231.32	275.28	217.27	329.84	351.14	511.0	454.09	265.87	172.65	137.14	69.03	92.7	82.87	122.64	127.89	67.12	72.01	106.63	85.22	81.71	82.87	163.28	47.5	28.86	0.0	0.31	164.42	299.25	194.36	121.79	178.77	61.25
RPS6KA6	163.28	73.54	395.18	57.89	81.71	34.75	51.35	59.97	130.6	158.79	131.51	52.82	82.87	3.72	0.0	1.1	0.0	0.0	0.0	0.0	14.35	1.66	2.46	0.0	0.57	0.0	0.0	0.0	0.17	2.78	1.33	3.38	17.13	0.69	12.64
RUNDC1	743.43	961.07	836.53	674.59	633.73	764.36	915.51	353.59	665.29	791.35	902.89	287.01	400.71	151.22	215.77	262.2	249.73	237.86	208.38	239.52	246.28	159.9	190.34	226.54	303.44	102.25	71.0	147.06	186.4	297.17	514.56	389.72	289.02	490.14	183.82
SALL2	376.41	612.11	323.03	327.56	642.59	503.95	251.48	271.48	463.65	780.44	1233.75	400.71	256.78	4.24	14.35	10.16	7.06	2.34	46.84	4.35	10.0	2.23	5.41	35.76	12.64	8.58	6.62	0.0	0.31	14.67	11.13	19.97	27.84	44.89	12.18
SCAF8	1233.75	743.43	1081.39	616.37	718.08	551.56	536.45	738.29	802.41	915.51	718.08	363.56	638.15	201.25	253.23	371.22	262.2	329.84	251.48	316.37	289.02	156.59	236.21	301.33	463.65	98.73	86.43	0.0	0.45	507.46	403.5	397.93	281.09	438.59	172.65
SCOC	1819.35	2061.24	2573.36	1977.24	2777.33	1540.37	1628.26	2075.59	2664.15	1923.14	1883.54	848.22	1250.98	1378.57	543.96	842.36	460.44	848.22	624.99	1447.15	1127.35	1259.69	351.14	1001.93	587.13	571.05	665.29	0.0	0.49	1498.22	1806.78	1359.57	974.5	1709.26	1857.6
SETD7	1167.14	748.61	909.17	620.67	848.22	563.18	813.63	1199.98	1096.5	1008.9	1059.11	599.49	928.3	224.97	540.19	571.05	785.88	289.02	669.92	540.19	376.41	698.41	336.79	518.15	591.22	255.0	248.0	356.05	110.43	1051.79	511.0	620.67	450.94	723.08	202.66
SLC35E2	162.14	371.22	214.27	125.24	201.25	414.87	145.02	231.32	253.23	229.72	466.88	155.5	141.02	45.53	114.36	177.53	40.36	94.01	18.16	49.21	36.79	68.07	49.56	47.84	177.53	9.85	47.17	0.0	0.41	69.52	104.42	224.97	128.79	366.09	40.93
SMG1	1639.59	878.17	1870.53	441.64	928.3	493.56	358.54	607.87	813.63	638.15	785.88	167.9	237.86	119.26	336.79	291.04	221.86	229.72	218.79	232.94	237.86	156.59	211.31	221.86	490.14	62.12	59.55	0.0	0.83	454.09	480.04	371.22	260.38	395.18	76.71
SOCS7	267.73	279.14	251.48	113.56	215.77	277.2	80.01	532.74	262.2	497.0	511.0	41.52	92.7	38.12	118.43	113.56	23.08	66.65	63.0	74.58	69.52	62.12	58.71	80.57	182.55	23.42	18.7	0.0	0.16	166.73	76.17	141.02	186.4	277.2	32.36
SOS2	612.11	463.65	518.15	392.44	713.11	500.46	363.56	651.58	579.04	651.58	638.15	277.2	363.56	117.6	172.65	194.36	194.36	140.04	123.5	124.37	171.45	137.14	135.24	150.17	239.52	79.45	47.84	0.0	0.53	248.0	281.09	228.13	162.14	314.17	212.78
STAM2	819.3	629.35	988.12	432.53	743.43	486.75	497.0	555.41	624.99	651.58	854.13	293.07	426.57	165.57	166.73	208.38	167.9	120.1	128.79	190.34	165.57	181.28	151.22	172.65	305.55	136.19	106.63	149.12	251.48	305.55	500.46	373.81	392.44	269.6	334.46
SYNRG	624.99	454.09	426.57	406.31	447.82	414.87	420.68	503.95	775.05	791.35	1051.79	343.89	334.46	81.14	175.07	182.55	155.5	118.43	135.24	147.06	141.02	124.37	141.02	149.12	283.05	117.6	73.03	105.15	120.94	244.57	397.93	346.29	358.54	332.14	172.65
TAOK1	1721.16	476.71	1023.0	318.57	441.64	387.02	327.56	1183.45	733.19	420.68	387.02	239.52	242.88	84.63	175.07	147.06	173.85	129.69	122.64	151.22	154.42	108.14	115.97	151.22	260.38	82.29	47.17	148.09	275.28	279.14	316.37	218.79	178.77	406.31	70.51
TBC1D5	1304.15	764.36	1540.37	466.88	629.35	679.29	363.56	902.89	728.11	703.28	1088.92	392.44	532.74	74.06	246.28	258.57	253.23	144.01	171.45	154.42	241.19	138.1	137.14	279.14	295.11	117.6	118.43	0.0	0.39	400.71	209.84	341.51	277.2	384.34	149.12
TBC1D9	4639.29	7081.29	4937.99	3955.48	5913.33	7280.4	2287.2	1487.87	4736.79	6164.49	26800.01	902.89	988.12	10.79	28.86	15.22	13.32	10.88	44.25	26.1	38.67	35.25	14.45	36.27	56.68	56.28	96.68	0.0	0.48	59.55	224.97	217.27	242.88	371.22	132.44
TBX3	1322.37	1883.54	2417.67	1551.09	703.28	981.29	293.07	743.43	1037.29	1175.27	7537.18	2758.13	3874.05	40.93	507.46	309.83	187.71	353.59	217.27	348.71	483.38	656.11	314.17	234.57	503.95	221.86	73.54	0.0	0.83	688.78	137.14	214.27	150.17	176.29	47.84
TEAD1	708.18	373.81	647.07	400.71	323.03	231.32	447.82	708.18	660.68	420.68	511.0	287.01	450.94	68.07	246.28	158.79	90.77	199.85	175.07	206.94	253.23	108.14	138.1	202.66	483.38	106.63	59.97	0.0	0.43	353.59	299.25	159.9	139.07	320.8	44.89
THAP6	384.34	341.51	358.54	316.37	395.18	334.46	273.37	392.44	525.39	444.72	444.72	170.25	246.28	133.36	172.65	198.47	149.12	127.0	87.03	145.02	103.69	212.78	198.47	183.82	260.38	72.52	82.87	0.0	0.09	234.57	214.27	220.32	139.07	239.52	198.47
TMED8	395.18	285.03	934.76	191.67	503.95	267.73	167.9	211.31	397.93	329.84	361.04	165.57	285.03	72.52	98.04	81.71	83.45	80.57	93.35	112.77	81.71	66.65	57.89	118.43	158.79	20.71	20.11	0.0	0.4	156.59	116.78	127.0	116.78	145.02	50.63
TNKS2	896.64	708.18	1159.07	497.0	297.17	271.48	532.74	860.08	1322.37	1167.14	813.63	426.57	769.69	197.09	187.71	293.07	215.77	211.31	241.19	239.52	175.07	214.27	87.03	205.5	493.56	116.78	59.97	0.0	0.48	547.75	507.46	384.34	307.69	438.59	212.78
TP53INP1	1073.91	995.0	2075.59	1030.12	1529.73	854.13	1417.35	567.1	1008.9	1304.15	866.07	575.03	348.71	33.3	116.78	93.35	178.77	62.12	167.9	57.49	111.21	62.56	79.45	79.45	224.97	941.27	825.0	0.0	0.23	212.78	134.3	267.73	334.46	363.56	186.4
TRAPPC11	854.13	607.87	915.51	414.87	563.18	376.41	420.68	551.56	743.43	819.3	616.37	307.69	287.01	242.88	303.44	279.14	341.51	285.03	166.73	246.28	291.04	234.57	231.32	293.07	348.71	125.24	165.57	309.83	177.53	392.44	438.59	406.31	336.79	376.41	199.85
TRAPPC8	1359.57	796.86	1388.16	616.37	830.75	808.0	460.44	769.69	796.86	679.29	591.22	363.56	480.04	231.32	366.09	293.07	232.94	447.82	234.57	334.46	368.65	277.2	301.33	314.17	480.04	309.83	141.02	0.0	0.57	379.04	507.46	327.56	348.71	325.29	423.61
TTC8	733.19	660.68	813.63	728.11	1417.35	780.44	607.87	679.29	836.53	1037.29	1233.75	529.06	665.29	267.73	260.38	297.17	363.56	244.57	265.87	275.28	231.32	287.01	172.65	363.56	620.67	189.02	101.54	0.0	0.06	287.01	197.09	287.01	139.07	205.5	231.32
USP47	1605.83	536.45	1883.54	1023.0	1088.92	860.08	981.29	884.29	974.5	981.29	1674.06	563.18	579.04	255.0	454.09	603.67	514.56	500.46	466.88	486.75	457.25	267.73	397.93	521.76	1081.39	356.05	389.72	273.37	285.03	836.53	764.36	447.82	563.18	603.67	336.79
WDFY3	1295.13	432.53	1175.27	325.29	361.04	301.33	314.17	567.1	647.07	493.56	559.28	157.68	358.54	84.63	199.85	139.07	193.01	125.24	125.24	59.55	141.02	143.01	165.57	151.22	273.37	22.26	82.29	0.0	0.6	223.41	264.03	176.29	148.09	336.79	108.9
WNK1	4419.52	2400.97	2720.15	1331.57	1572.76	1030.12	1277.29	1781.89	2335.28	981.29	1191.69	476.71	595.34	170.25	543.96	647.07	616.37	329.84	493.56	400.71	536.45	228.13	348.71	353.59	1639.59	202.66	171.45	1417.35	483.38	674.59	511.0	679.29	802.41	1733.13	217.27
XRN1	718.08	295.11	529.06	183.82	343.89	223.41	195.72	371.22	426.57	361.04	348.71	147.06	187.71	66.18	138.1	84.63	104.42	74.58	90.14	85.22	102.25	87.65	88.26	112.77	242.88	65.26	39.79	0.0	0.23	234.57	251.48	149.12	131.51	211.31	65.26
ZBTB33	708.18	371.22	555.41	363.56	460.44	353.59	271.48	412.0	500.46	713.11	612.11	232.94	256.78	88.88	115.97	152.28	190.34	126.12	121.79	121.79	127.89	145.02	102.25	157.68	167.9	83.45	69.52	0.0	0.29	253.23	251.48	209.84	173.85	303.44	96.68
ZBTB38	1135.2	896.64	872.1	607.87	775.05	981.29	563.18	1331.57	995.0	1477.58	1378.57	521.76	713.11	334.46	339.14	334.46	295.11	202.66	289.02	307.69	316.37	264.03	283.05	325.29	493.56	144.01	122.64	0.0	0.54	909.17	1073.91	543.96	642.59	463.65	234.57
ZKSCAN3	237.86	149.12	112.77	82.87	116.78	156.59	68.55	109.66	141.02	130.6	147.06	57.08	102.25	33.54	69.52	84.04	37.32	74.06	23.93	29.48	32.59	51.71	44.57	64.8	65.26	45.85	46.5	52.08	77.79	83.45	58.71	55.89	55.89	76.71	52.45
ZMYM4	1111.82	825.0	890.44	620.67	791.35	656.11	624.99	743.43	848.22	988.12	1001.93	579.04	848.22	153.34	215.77	281.09	194.36	239.52	237.86	248.0	269.6	249.73	208.38	320.8	447.82	73.03	157.68	0.0	0.56	432.53	339.14	403.5	287.01	397.93	171.45
ZNF148	603.67	629.35	748.61	423.61	532.74	536.45	332.14	579.04	480.04	500.46	599.49	155.5	371.22	88.26	127.0	143.01	122.64	91.41	138.1	100.13	105.89	110.43	107.38	133.36	209.84	45.21	68.55	0.0	0.47	255.0	297.17	239.52	161.02	269.6	121.79
ZNF24	1936.53	1331.57	2875.3	896.64	1369.04	1477.58	836.53	1216.75	1709.26	1781.89	1467.37	403.5	466.88	264.03	466.88	327.56	329.84	441.64	269.6	281.09	339.14	277.2	269.6	297.17	693.58	186.4	140.04	0.0	0.53	503.95	327.56	414.87	303.44	603.67	414.87
ZNF322	476.71	507.46	872.1	363.56	429.54	514.56	273.37	341.51	536.45	417.77	460.44	199.85	420.68	127.0	180.02	199.85	157.68	234.57	100.13	120.94	155.5	231.32	108.14	151.22	299.25	50.27	30.12	0.0	0.71	297.17	191.67	214.27	143.01	291.04	163.28
ZNF396	201.25	189.02	323.03	151.22	224.97	241.19	154.42	125.24	209.84	283.05	236.21	244.57	258.57	33.54	57.89	29.91	43.94	67.12	19.11	22.59	22.92	14.03	32.13	53.57	29.7	24.11	18.43	0.0	0.06	48.52	31.0	45.21	45.53	78.89	115.97
ZNF484	429.54	162.14	348.71	73.54	103.69	98.04	84.04	92.7	142.01	87.03	102.97	30.56	64.34	32.82	40.64	34.75	33.54	32.82	24.81	32.59	38.4	73.54	31.9	31.45	53.19	14.67	11.91	0.0	0.27	54.72	75.64	48.87	38.12	57.49	46.84
ZNF510	363.56	239.52	217.27	211.31	244.57	305.55	146.03	237.86	277.2	234.57	264.03	121.79	237.86	87.65	95.34	73.03	63.45	77.79	71.0	66.65	27.64	56.28	70.01	64.8	156.59	14.78	16.39	0.0	0.16	129.69	105.89	64.8	69.52	127.89	137.14
ZNF770	848.22	500.46	961.07	379.04	511.0	379.04	267.73	703.28	703.28	563.18	651.58	181.28	336.79	85.22	185.11	194.36	204.07	112.77	137.14	172.65	108.14	163.28	86.43	147.06	265.87	38.95	27.25	0.0	0.53	236.21	204.07	258.57	165.57	409.15	91.41
ZNF845	299.25	212.78	353.59	178.77	181.28	166.73	95.34	162.14	217.27	171.45	209.84	101.54	73.03	42.71	69.03	56.68	48.18	61.25	43.02	49.56	56.28	43.63	35.76	47.5	71.0	4.03	11.38	0.0	0.0	151.22	132.44	37.59	67.12	90.14	90.77
ZSCAN20	237.86	98.04	98.73	59.55	58.71	50.98	36.79	42.41	59.55	49.56	76.17	17.64	20.86	7.94	36.27	23.08	17.0	18.84	11.55	20.26	27.05	16.51	9.13	20.56	16.75	4.58	15.11	0.0	0.0	34.75	37.05	28.45	30.12	46.84	9.56
ZYG11B	444.72	287.01	381.68	198.47	269.6	189.02	180.02	329.84	379.04	339.14	305.55	159.9	232.94	93.35	102.97	69.52	96.68	77.25	66.18	71.0	141.02	73.54	57.08	82.87	140.04	89.51	88.88	0.0	0.36	248.0	108.9	155.5	100.83	154.42	78.34
