	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QJ3.1926.SM.5QGQM	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.ZYVF.2526.SM.5E45C	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.Y111.1826.SM.4SOIR	GTEX.VUSG.1026.SM.4KKZN	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.NPJ8.2026.SM.3TW91	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYY3.1626.SM.5EGJF	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A4NG.01A.11R.A27V.07	GTEX.11ZUS.2526.SM.59872	GTEX.1269C.0626.SM.5FQSS	GTEX.13O3O.1826.SM.5IFGW	GTEX.R55D.0926.SM.3GAEU	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF
JMJD6	543.96	656.11	1216.75	1037.29	1295.13	954.43	1508.65	890.44	1015.93	1322.37	1467.37	1331.57	1216.75	2319.15	2119.22	1199.98	1340.84	1819.35	1073.91	1088.92	642.59	332.14	429.54	275.28	334.46	356.05	660.68	373.81	351.14	708.18	684.02	1167.14	329.84	466.88	325.29	638.15	366.09	343.89	708.18	575.03	525.39	438.59	532.74	808.0	934.76	547.75	400.71	303.44	444.72	718.08	764.36	529.06
KCNIP2	94.67	65.26	149.12	147.06	145.02	131.51	175.07	128.79	217.27	142.01	316.37	253.23	387.02	177.53	177.53	108.14	173.85	98.04	163.28	215.77	7.0	6.06	3.06	3.11	6.41	5.02	5.02	2.53	3.56	19.68	83.45	44.57	3.96	32.59	33.3	18.56	15.45	12.74	44.89	8.32	37.05	21.16	27.84	24.46	13.72	13.93	24.28	19.39	27.44	33.3	62.12	29.48
KCNT2	7.11	10.24	112.77	59.97	132.44	68.55	110.43	124.37	85.82	125.24	66.18	52.82	81.14	98.04	74.58	91.41	108.14	53.19	157.68	82.29	2.76	1.39	0.53	0.0	1.95	0.47	4.9	0.52	1.01	6.62	43.02	36.27	0.45	27.84	73.54	4.1	36.27	11.47	96.68	36.27	21.01	2.25	9.34	7.17	4.86	6.16	13.93	6.84	2.94	56.68	61.68	28.65
KIAA1377	102.25	90.77	214.27	163.28	242.88	125.24	146.03	120.1	190.34	265.87	152.28	273.37	366.09	170.25	320.8	320.8	341.51	217.27	373.81	291.04	4.58	2.76	8.78	0.46	11.04	1.36	11.38	9.13	6.89	65.26	119.26	113.56	1.31	67.12	28.65	20.71	2.36	5.19	19.82	1.35	73.03	19.25	37.32	18.56	27.84	2.94	26.47	29.91	6.89	75.64	37.05	22.75
KIF7	70.01	66.18	239.52	142.01	231.32	147.06	229.72	146.03	217.27	251.48	224.97	256.78	220.32	351.14	180.02	217.27	281.09	152.28	214.27	187.71	7.34	6.41	4.46	25.54	19.25	11.13	11.47	45.21	22.26	28.45	102.97	71.0	27.05	28.86	5.32	5.15	22.1	5.73	25.17	26.67	10.24	45.21	74.58	109.66	17.13	8.13	17.77	16.27	13.83	114.36	64.8	28.65
KXD1	1857.6	1605.83	2367.9	2224.63	2701.35	2303.12	2400.97	2163.77	2758.13	2303.12	2351.53	2816.11	2367.9	3349.13	2701.35	2502.97	2240.11	2591.27	2720.15	2351.53	1991.0	1225.22	1175.27	1628.26	1498.22	1709.26	1066.48	1757.34	1498.22	1697.45	2032.85	2061.24	2090.03	1191.69	1457.23	1572.76	1322.37	1304.15	1159.07	1605.83	1313.23	1963.57	2047.0	1674.06	2047.0	1685.71	1745.2	1529.73	1594.73	1844.76	2573.36	1540.37
LSMEM1	28.04	38.12	155.5	97.36	164.42	121.79	115.97	83.45	157.68	236.21	173.85	177.53	149.12	301.33	190.34	77.79	146.03	72.01	221.86	88.88	9.34	10.71	27.05	52.08	59.13	6.41	4.66	27.64	97.36	51.35	205.5	84.04	45.53	77.79	107.38	26.47	74.06	44.25	53.19	38.67	17.51	42.11	111.99	31.0	163.28	3.35	8.85	14.35	19.97	63.0	46.18	31.22
LZTR1	1331.57	723.08	1721.16	1757.34	1487.87	1685.71	1540.37	1617.0	2178.83	1896.65	1662.49	2287.2	1794.29	2796.65	1508.65	1639.59	1936.53	1331.57	2255.7	1991.0	260.38	316.37	234.57	571.05	403.5	358.54	395.18	543.96	454.09	775.05	1407.55	974.5	551.56	656.11	854.13	802.41	679.29	400.71	381.68	297.17	624.99	607.87	909.17	444.72	1081.39	336.79	583.07	435.55	409.15	612.11	872.1	423.61
MAP3K12	256.78	232.94	848.22	1037.29	1304.15	921.88	674.59	669.92	884.29	775.05	995.0	947.83	1167.14	1030.12	633.73	842.36	1015.93	466.88	1388.16	872.1	97.36	53.95	43.63	52.82	85.82	85.22	66.18	90.77	104.42	269.6	915.51	620.67	127.89	187.71	186.4	102.97	76.17	23.76	69.03	11.55	309.83	151.22	285.03	177.53	176.29	41.81	146.03	98.04	82.87	351.14	293.07	185.11
MIR3654	65.26	40.93	68.07	65.72	51.35	87.03	43.94	63.89	63.45	98.73	67.59	85.22	54.72	228.13	52.08	63.89	77.25	41.22	76.17	54.72	44.25	9.2	21.16	17.64	38.95	14.67	32.59	18.56	26.86	32.82	83.45	71.5	21.01	27.05	11.04	11.38	46.5	15.91	24.11	8.85	20.56	77.79	41.22	64.8	36.27	34.26	44.89	56.68	39.5	47.17	41.22	39.5
MPHOSPH8	587.13	775.05	1037.29	1268.46	1407.55	1143.1	1175.27	1242.34	1295.13	1498.22	1250.98	1143.1	1350.18	1721.16	1167.14	1242.34	1051.79	872.1	1721.16	1388.16	242.88	651.58	212.78	336.79	420.68	226.54	301.33	299.25	665.29	551.56	1066.48	476.71	90.77	693.58	674.59	483.38	295.11	275.28	339.14	199.85	878.17	791.35	1268.46	733.19	1832.01	438.59	638.15	665.29	759.08	1088.92	1037.29	819.3
MSS51	33.54	31.0	131.51	87.65	161.02	74.58	116.78	106.63	126.12	98.73	115.16	136.19	161.02	84.63	68.55	89.51	155.5	69.52	137.14	113.56	3.29	3.76	6.52	6.94	3.47	6.31	5.82	3.47	13.03	10.55	87.03	22.26	9.48	24.99	26.28	4.7	20.11	7.17	5.19	2.89	41.81	35.25	41.22	38.12	40.64	13.03	14.45	10.08	27.25	24.99	38.67	25.91
MT-ND2	1679964.3	1578364.61	1155430.26	1085552.95	1212874.47	1131651.83	1246973.04	1229805.58	839981.65	978355.0	1825675.85	1171559.48	1026995.62	869603.57	1422501.74	1048575.0	1282030.25	1364554.84	794671.01	1255646.43	1903204.61	1715263.94	2528761.3	1984025.69	2786455.11	1929772.37	1668359.93	5972898.43	1679964.3	1864037.21	1503610.06	2039804.27	1556634.79	1751305.3	1600397.78	1668359.93	1727194.55	1622738.51	2082664.91	1622738.51	1943195.01	1813064.98	2011721.67	1984025.69	1929772.37	1545882.32	1715263.94	1800541.22	1503610.06	2025714.3	1600397.78	2247670.86
MTCH1	3103.19	3235.01	4328.55	3639.7	3768.09	4639.29	3614.55	4388.98	3794.3	4802.93	3280.18	3768.09	4038.61	6337.83	5041.77	4066.71	3614.55	3614.55	4671.57	3955.48	2777.33	2664.15	1819.35	3820.7	2468.49	2816.11	2351.53	2351.53	2645.74	2468.49	3349.13	2224.63	3146.52	4066.71	3443.31	2627.46	4239.45	1721.16	1447.15	1857.6	3794.3	2720.15	2004.85	2627.46	3349.13	2645.74	2875.3	2627.46	3103.19	2796.65	2720.15	2351.53
MUM1	656.11	708.18	1111.82	884.29	974.5	808.0	1030.12	825.0	1295.13	1551.09	1066.48	1208.34	1104.13	2319.15	1167.14	921.88	1030.12	1015.93	1457.23	1233.75	316.37	165.57	483.38	860.08	366.09	343.89	480.04	417.77	447.82	392.44	830.75	624.99	379.04	563.18	412.0	154.42	607.87	684.02	381.68	137.14	397.93	540.19	836.53	403.5	1023.0	346.29	395.18	339.14	409.15	688.78	808.0	438.59
NAALAD2	18.43	18.16	82.87	303.44	423.61	121.79	127.0	224.97	139.07	93.35	253.23	117.6	128.79	44.25	143.01	307.69	82.29	108.14	81.71	199.85	4.5	4.06	0.49	2.12	14.67	3.92	6.01	4.31	10.71	19.53	46.18	19.11	1.69	43.94	9.56	1.53	5.15	14.35	21.47	1.11	17.9	9.27	20.26	17.77	16.75	3.79	12.93	6.46	6.84	53.57	38.12	18.03
NLGN2	154.42	220.32	854.13	514.56	748.61	961.07	563.18	723.08	802.41	1268.46	791.35	830.75	738.29	1617.0	540.19	624.99	830.75	483.38	796.86	543.96	43.63	28.04	21.94	81.71	61.68	38.95	36.53	76.71	79.45	156.59	397.93	190.34	76.71	162.14	265.87	78.34	130.6	24.81	115.16	13.72	67.59	103.69	281.09	115.97	135.24	123.5	144.01	82.87	106.63	387.02	400.71	137.14
NPIPA1	1135.2	1359.57	6037.61	4769.75	7485.11	4769.75	5329.3	4239.45	5954.47	6745.86	4972.34	7382.04	5791.62	7911.95	6652.97	5751.61	7032.37	2835.7	5711.87	5041.77	567.1	165.57	511.0	612.11	775.05	483.38	708.18	647.07	1359.57	1008.9	5255.91	2004.85	575.03	624.99	1896.65	595.34	633.73	587.13	521.76	289.02	995.0	723.08	1844.76	2104.58	1709.26	339.14	713.11	476.71	438.59	1015.93	1044.52	603.67
NRN1L	19.97	22.92	54.72	54.33	67.12	39.5	66.18	67.12	120.94	23.93	45.85	99.43	73.03	83.45	96.01	47.17	79.45	64.34	63.0	112.77	12.36	0.96	4.98	14.24	8.71	2.71	7.0	4.43	3.03	18.16	76.71	63.0	17.13	10.71	28.65	13.32	2.41	76.71	34.26	33.78	59.55	19.97	3.14	17.13	34.75	1.57	14.56	14.24	21.78	11.64	17.13	23.59
OR5K2	2.92	6.52	8.78	4.24	11.3	18.7	11.3	12.45	7.57	12.0	12.74	7.28	8.92	9.41	2.14	5.59	8.0	3.29	18.97	6.89	0.0	0.0	0.0	0.0	1.45	0.0	1.23	0.0	1.0	1.43	9.48	4.13	0.87	1.03	2.81	0.0	1.19	1.77	0.87	0.0	6.41	2.92	1.58	2.36	0.0	0.72	3.53	0.89	1.93	1.81	1.75	3.41
PAN2	759.08	878.17	1991.0	2018.8	1709.26	2485.67	1369.04	2119.22	2434.5	2224.63	2367.9	2739.08	3124.78	4607.24	2224.63	1769.57	2645.74	1135.2	3168.41	2240.11	279.14	239.52	205.5	503.95	473.41	211.31	397.93	450.94	497.0	551.56	2537.92	1651.0	486.75	733.19	748.61	251.48	708.18	518.15	718.08	265.87	1417.35	1066.48	941.27	1498.22	1096.5	312.0	518.15	669.92	429.54	567.1	785.88	420.68
PCDHGA11	6.01	8.92	28.45	24.11	35.25	31.22	23.42	39.22	30.34	19.11	25.72	19.82	33.06	62.56	29.27	35.0	19.39	25.54	25.91	27.25	3.11	20.26	6.21	4.62	13.12	10.71	1.6	3.79	6.73	14.24	28.04	13.93	79.45	19.25	15.68	2.01	1.81	1.27	3.69	1.11	17.77	2.81	11.64	9.48	3.47	13.12	6.21	3.69	12.36	17.38	21.01	7.17
PCDHGC4	3.79	5.73	15.8	10.63	24.28	10.63	13.93	11.47	24.63	39.79	14.89	19.53	34.26	71.0	20.11	13.12	24.46	17.38	60.82	26.47	0.47	0.0	0.0	3.41	0.51	0.0	0.0	0.99	1.99	12.64	20.11	10.47	1.3	3.03	43.94	7.11	0.8	1.25	0.16	0.0	1.13	1.38	22.59	2.97	3.59	1.27	4.58	2.71	5.23	11.04	6.62	4.06
PCDHGC5	3.63	5.87	50.98	29.91	60.39	46.5	50.63	37.85	106.63	61.68	45.85	56.28	108.14	232.94	66.18	65.72	78.34	52.82	121.79	84.63	0.0	0.0	0.0	2.2	0.53	0.0	0.45	1.01	2.03	16.15	38.95	23.08	3.03	3.08	60.82	14.35	2.84	3.66	1.36	0.0	7.46	4.31	30.56	6.31	9.78	1.16	6.52	0.34	0.0	15.0	7.22	2.18
PITX2	1044.52	9.06	361.04	151.22	105.89	52.82	50.98	108.9	389.72	214.27	0.0	693.58	420.68	206.94	323.03	363.56	447.82	318.57	180.02	536.45	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.99	68.55	151.22	0.92	0.0	19.82	6.31	128.79	0.0	0.0	6.57	0.0	0.0	4.13	7.63	5.15	19.53	0.0	3.06	0.0	5.19	29.91	0.0	11.55
PNISR	1304.15	1447.15	4210.15	4836.35	5872.48	3847.29	3742.05	4419.52	5292.48	5751.61	5995.9	4704.07	5831.91	5112.16	5479.15	3847.29	4512.4	3257.52	6037.61	4152.18	400.71	500.46	325.29	518.15	688.78	406.31	693.58	563.18	698.41	1135.2	3235.01	1191.69	149.12	1417.35	1111.82	647.07	665.29	536.45	698.41	248.0	1447.15	1819.35	1923.14	1605.83	2240.11	915.51	733.19	1143.1	915.51	2384.37	1437.15	921.88
POGZ	529.06	693.58	1721.16	1697.45	1950.0	1359.57	1977.24	1991.0	2720.15	1896.65	2240.11	2875.3	3039.3	1769.57	1950.0	2075.59	2178.83	1143.1	2004.85	2193.99	228.13	275.28	204.07	287.01	229.72	356.05	361.04	182.55	314.17	660.68	1583.71	728.11	299.25	723.08	684.02	211.31	629.35	297.17	265.87	111.21	723.08	796.86	1104.13	1111.82	1104.13	381.68	547.75	567.1	432.53	808.0	633.73	532.74
PRICKLE2	91.41	142.01	244.57	232.94	260.38	412.0	384.34	392.44	500.46	435.55	275.28	414.87	447.82	339.14	381.68	483.38	287.01	309.83	291.04	444.72	7.69	6.36	7.82	3.86	17.64	8.78	13.32	4.86	22.43	141.02	163.28	71.0	23.42	162.14	96.01	53.95	22.26	9.2	26.86	6.62	191.67	40.64	180.02	31.67	46.18	66.65	54.72	102.97	67.12	389.72	379.04	91.41
PRRT1	325.29	273.37	343.89	579.04	830.75	358.54	603.67	463.65	616.37	543.96	884.29	620.67	525.39	444.72	529.06	674.59	620.67	579.04	486.75	688.78	109.66	40.07	49.56	100.13	74.06	62.56	42.41	94.01	141.02	177.53	220.32	127.89	64.8	157.68	118.43	262.2	56.68	149.12	132.44	15.91	63.45	212.78	205.5	490.14	112.77	95.34	248.0	181.28	177.53	466.88	332.14	177.53
PRRT2	118.43	140.04	688.78	988.12	1233.75	381.68	599.49	947.83	1183.45	1059.11	1457.23	1088.92	1359.57	587.13	813.63	954.43	802.41	463.65	753.83	764.36	6.62	4.78	7.11	11.91	10.96	13.72	9.7	7.51	36.27	55.49	624.99	138.1	9.27	55.49	63.45	30.78	12.18	5.87	10.88	1.17	53.57	87.65	226.54	58.3	40.07	18.43	77.25	33.06	31.22	115.16	158.79	60.82
PRSS53	10.16	22.1	101.54	157.68	152.28	84.63	91.41	149.12	176.29	231.32	155.5	189.02	197.09	237.86	118.43	82.29	127.89	67.12	166.73	114.36	1.95	1.01	1.08	3.59	3.06	1.45	2.61	4.06	4.13	10.79	130.6	193.01	4.46	14.03	8.78	4.82	11.38	173.85	108.14	63.0	31.0	26.28	52.08	30.12	38.67	3.5	7.17	17.0	17.77	21.63	15.45	15.91
PTBP2	236.21	343.89	543.96	420.68	507.46	511.0	656.11	575.03	497.0	587.13	684.02	476.71	624.99	500.46	518.15	547.75	563.18	406.31	476.71	507.46	85.82	69.52	48.52	98.04	89.51	102.25	170.25	86.43	104.42	305.55	470.14	329.84	115.16	255.0	253.23	72.01	110.43	38.4	129.69	41.81	291.04	127.89	381.68	176.29	209.84	148.09	137.14	158.79	111.21	256.78	220.32	180.02
RAD52	336.79	258.57	503.95	518.15	500.46	607.87	493.56	500.46	536.45	813.63	571.05	503.95	612.11	884.29	525.39	387.02	651.58	373.81	693.58	563.18	52.82	42.71	50.98	110.43	70.01	83.45	52.45	64.34	164.42	130.6	559.28	242.88	127.0	165.57	173.85	54.72	111.99	94.01	104.42	20.41	115.97	175.07	215.77	198.47	358.54	64.34	138.1	120.1	125.24	236.21	253.23	130.6
RBM5	2796.65	2255.7	4639.29	4450.27	5006.93	3540.14	3847.29	4450.27	5479.15	4736.79	4869.99	6207.38	6037.61	5076.84	4450.27	4358.66	5751.61	2796.65	5147.73	4704.07	435.55	791.35	414.87	921.88	909.17	624.99	866.07	629.35	1295.13	1015.93	3081.75	1709.26	1030.12	1594.73	1651.0	438.59	1008.9	718.08	703.28	409.15	2287.2	1561.89	1857.6	2627.46	1359.57	1322.37	1151.06	1628.26	1143.1	1781.89	1447.15	1191.69
RBM6	1322.37	1529.73	5292.48	5147.73	5555.65	2895.31	4972.34	4123.49	6207.38	6426.31	4736.79	8247.98	5112.16	4671.57	4704.07	3491.39	5995.9	3955.48	5479.15	4328.55	669.92	441.64	536.45	1037.29	836.53	842.36	1008.9	656.11	1259.69	551.56	2855.44	1909.85	551.56	1111.82	1151.06	447.82	1073.91	540.19	1044.52	624.99	1617.0	1447.15	1350.18	1806.78	2032.85	1191.69	1322.37	748.61	1066.48	1304.15	1167.14	884.29
RNF217	65.72	113.56	256.78	348.71	248.0	490.14	130.6	583.07	175.07	318.57	260.38	146.03	209.84	253.23	441.64	277.2	353.59	125.24	665.29	368.65	43.63	113.56	41.52	30.56	43.63	51.35	51.35	36.79	43.94	113.56	287.01	115.97	40.36	78.34	86.43	63.89	113.56	85.22	130.6	18.16	125.24	28.24	102.97	129.69	80.57	147.06	152.28	108.9	78.34	145.02	232.94	76.71
RP11-1212A22.4	974.5	1322.37	3443.31	1950.0	4671.57	3212.66	3690.52	3146.52	3235.01	4095.0	5403.7	4268.94	3280.18	7433.4	4268.94	3820.7	4038.61	3768.09	4575.41	4450.27	571.05	141.02	684.02	384.34	890.44	312.0	928.3	480.04	2609.3	947.83	4358.66	2075.59	490.14	733.19	1662.49	743.43	674.59	486.75	769.69	384.34	3280.18	825.0	733.19	1769.57	1909.85	332.14	1151.06	567.1	258.57	1151.06	1388.16	540.19
RP11-574K11.31	18.03	24.81	45.53	143.01	63.0	47.84	47.5	40.64	90.77	91.41	50.27	64.34	145.02	126.12	72.52	77.25	82.87	59.55	111.21	53.95	3.72	6.01	6.94	11.21	12.09	12.93	9.85	7.34	7.46	15.68	62.56	24.99	8.13	19.39	13.72	12.36	14.03	10.39	12.45	11.82	24.81	40.93	29.27	43.02	24.28	19.11	16.27	18.97	15.8	14.35	25.17	11.82
RP11-793H13.10	82.87	74.06	303.44	314.17	277.2	356.05	273.37	237.86	432.53	460.44	291.04	435.55	295.11	642.59	197.09	251.48	429.54	180.02	381.68	332.14	7.57	3.82	4.13	18.56	17.38	19.11	5.54	8.06	36.01	29.7	194.36	57.89	15.34	31.0	76.17	7.46	29.06	24.99	10.96	3.86	112.77	105.15	129.69	55.1	49.56	10.31	15.8	10.47	30.56	69.03	75.11	19.39
RP11-830F9.6	8.92	19.25	27.64	52.45	8.45	33.78	9.41	19.82	19.25	13.52	22.1	27.64	12.36	77.25	7.69	35.5	30.56	19.25	22.59	21.47	3.59	1.36	0.49	0.43	3.32	0.89	0.82	3.35	3.41	18.56	5.11	1.38	3.35	2.53	1.6	1.03	0.0	0.82	2.29	0.0	34.75	3.41	3.92	2.39	1.2	0.16	5.23	5.5	0.07	9.2	18.03	13.42
SAFB	1572.76	1540.37	1844.76	1832.01	2018.8	1844.76	1963.57	1819.35	2133.97	2209.26	2451.44	2351.53	2018.8	2976.74	2163.77	1697.45	1950.0	1605.83	2224.63	1883.54	884.29	842.36	785.88	934.76	1051.79	902.89	1073.91	1037.29	1066.48	1340.84	1936.53	1378.57	733.19	1175.27	866.07	748.61	961.07	915.51	1088.92	633.73	988.12	1081.39	1457.23	961.07	1594.73	884.29	769.69	981.29	733.19	1225.22	1081.39	915.51
SAFB2	1023.0	1225.22	1870.53	2032.85	2061.24	1685.71	1605.83	1639.59	1857.6	2303.12	2271.4	2047.0	2224.63	3395.89	2163.77	1447.15	1896.65	1487.87	2224.63	1909.85	1268.46	571.05	854.13	1015.93	1023.0	909.17	902.89	1427.22	1225.22	1286.18	1977.24	1397.83	743.43	1183.45	1378.57	2090.03	473.41	688.78	988.12	507.46	808.0	1030.12	1605.83	848.22	1397.83	647.07	540.19	713.11	748.61	1191.69	890.44	872.1
SCN2B	12.83	17.13	22.43	45.85	32.82	18.03	26.28	28.04	66.65	18.7	36.53	42.41	31.45	22.43	30.12	43.94	34.02	32.82	48.87	83.45	0.0	0.42	0.0	0.0	0.45	0.41	0.0	0.45	0.0	2.27	0.4	0.88	0.39	16.15	0.38	0.48	0.0	0.44	0.36	0.0	15.34	0.65	4.1	0.49	0.87	0.0	3.29	3.38	1.07	11.55	14.89	4.24
SCNN1D	38.95	65.72	291.04	497.0	571.05	94.01	193.01	289.02	575.03	271.48	629.35	921.88	497.0	293.07	346.29	490.14	497.0	183.82	297.17	341.51	17.38	8.99	27.64	13.72	8.51	10.55	11.82	12.0	16.27	65.26	144.01	148.09	10.16	31.67	26.1	71.5	60.82	218.79	60.39	26.1	11.73	25.35	50.27	55.49	59.13	47.17	43.63	100.83	84.63	59.55	137.14	63.0
SEC31B	447.82	218.79	429.54	543.96	420.68	395.18	376.41	325.29	587.13	753.83	555.41	728.11	878.17	775.05	497.0	426.57	638.15	264.03	669.92	356.05	99.43	38.4	25.91	73.03	54.33	146.03	26.1	29.48	103.69	43.94	450.94	177.53	49.21	185.11	115.97	59.13	384.34	115.97	58.71	28.86	480.04	182.55	79.45	110.43	51.71	36.53	78.89	74.58	82.29	116.78	53.57	48.18
SH3BGR	199.85	260.38	728.11	426.57	651.58	563.18	780.44	866.07	620.67	796.86	954.43	723.08	693.58	279.14	665.29	748.61	1135.2	733.19	651.58	896.64	529.06	175.07	77.79	269.6	148.09	603.67	249.73	148.09	115.16	189.02	175.07	82.87	74.58	318.57	251.48	152.28	56.28	180.02	94.01	78.34	125.24	55.89	123.5	241.19	148.09	90.14	149.12	187.71	82.29	348.71	129.69	253.23
SHC4	14.67	12.64	81.14	81.71	53.95	64.8	29.27	130.6	91.41	62.12	61.68	84.04	65.72	91.41	56.68	69.03	73.54	24.81	83.45	92.05	1.77	2.23	2.39	1.68	0.93	0.0	1.58	1.89	1.93	3.23	31.45	10.79	0.83	6.41	5.5	1.5	0.0	5.32	1.91	0.6	6.94	5.5	18.03	7.63	6.46	10.79	2.71	5.87	0.95	11.91	23.93	2.39
SLC25A28	1127.35	1175.27	2193.99	2075.59	2224.63	2417.67	2004.85	1617.0	2104.58	2468.49	2591.27	2520.38	2255.7	5366.37	2004.85	1950.0	2163.77	1794.29	2682.69	1806.78	802.41	480.04	688.78	612.11	669.92	1030.12	406.31	713.11	612.11	1388.16	2133.97	1242.34	780.44	954.43	1561.89	591.22	1199.98	961.07	2271.4	4769.75	1359.57	753.83	974.5	536.45	642.59	954.43	759.08	743.43	848.22	1313.23	1104.13	1135.2
SLC25A37	483.38	251.48	698.41	1467.37	974.5	647.07	525.39	896.64	802.41	759.08	583.07	836.53	796.86	1407.55	1447.15	733.19	764.36	647.07	1407.55	656.11	215.77	154.42	82.29	119.26	140.04	108.14	267.73	155.5	218.79	620.67	785.88	743.43	144.01	307.69	429.54	454.09	234.57	246.28	813.63	336.79	395.18	525.39	483.38	490.14	507.46	518.15	457.25	241.19	239.52	928.3	723.08	260.38
SLC25A41	8.65	14.67	13.12	6.26	29.91	33.3	46.18	4.24	110.43	20.41	58.3	123.5	169.07	38.12	43.94	31.0	20.71	30.12	24.63	53.19	4.98	0.0	2.43	2.56	8.58	9.2	1.62	6.73	1.48	4.74	0.43	13.32	0.85	0.52	2.01	8.65	0.0	9.2	11.21	0.17	19.39	3.99	0.0	0.0	22.59	3.76	0.73	4.06	7.69	7.0	3.72	9.27
SLC26A10	43.63	73.54	353.59	688.78	656.11	497.0	808.0	400.71	878.17	733.19	981.29	1277.29	1066.48	651.58	808.0	660.68	540.19	309.83	575.03	616.37	5.73	13.22	0.0	1.41	8.0	6.01	5.54	4.06	28.86	22.92	320.8	187.71	4.03	18.29	0.0	1.13	12.45	11.38	12.64	2.51	29.48	16.03	42.41	25.35	24.28	7.28	11.91	10.16	12.36	37.59	33.06	14.56
SLFNL1	6.36	9.63	31.9	11.82	21.78	25.72	8.32	32.13	29.91	48.87	38.12	30.56	28.24	99.43	20.26	15.45	35.5	13.83	51.35	45.53	0.51	1.89	3.03	5.68	2.97	2.29	3.35	2.48	5.54	8.65	36.53	31.0	4.78	6.67	8.58	19.53	2.1	6.36	4.24	3.82	54.33	13.32	27.05	7.06	7.94	4.74	3.2	14.24	6.01	12.0	18.97	12.64
SNRNP70	4358.66	3639.7	5441.3	7331.05	5995.9	7749.1	5255.91	5751.61	8247.98	9088.59	8598.28	9344.14	7537.18	13492.72	6652.97	6426.31	5751.61	3515.68	8658.09	4736.79	1923.14	1519.15	1651.0	2591.27	2384.37	1870.53	2163.77	2319.15	2816.11	2104.58	6471.02	3303.0	1594.73	2384.37	2739.08	2061.24	2520.38	3081.75	2319.15	1709.26	3325.99	4038.61	4512.4	2351.53	5479.15	3303.0	3257.52	2468.49	3039.3	3372.43	3146.52	2119.22
SOX15	54.72	118.43	153.34	281.09	289.02	145.02	248.0	387.02	234.57	144.01	454.09	287.01	332.14	128.79	183.82	329.84	149.12	260.38	97.36	291.04	38.4	6.78	31.22	5.54	3.38	28.65	7.28	9.13	1.99	8.92	24.81	10.55	5.92	23.08	27.05	3.56	7.63	14.45	11.38	12.27	17.51	78.89	102.25	3.11	25.91	23.08	31.67	63.89	38.67	480.04	162.14	102.25
STARD13	154.42	208.38	638.15	432.53	587.13	514.56	540.19	555.41	674.59	665.29	785.88	738.29	753.83	842.36	551.56	688.78	753.83	381.68	669.92	679.29	44.57	70.51	16.03	9.85	53.57	25.35	140.04	32.13	65.26	299.25	363.56	301.33	75.11	206.94	94.01	68.55	117.6	71.0	159.9	77.79	262.2	195.72	353.59	438.59	379.04	241.19	84.63	201.25	53.95	267.73	248.0	127.89
TMEM108	25.54	35.5	89.51	182.55	146.03	48.87	72.52	119.26	190.34	109.66	64.8	237.86	329.84	59.13	175.07	265.87	169.07	120.94	115.97	275.28	14.89	6.62	4.78	22.75	78.89	3.0	6.31	33.06	19.11	15.56	39.5	38.95	54.33	14.24	0.79	4.46	9.2	2.63	29.27	0.0	208.38	18.84	22.75	12.27	7.17	17.0	58.3	112.77	78.89	185.11	50.63	115.16
