	GTEX.14E6E.1526.SM.5RQIG	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.3M.AB47.01A.22R.A414.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
FLI1	39.5	208.38	543.96	68.55	118.43	139.07	199.85	802.41	271.48	55.1	148.09	139.07	358.54	94.01	61.68	82.29	36.79	55.89	49.21	68.07	36.01	301.33	24.28	53.95	136.19	90.77	50.63	748.61	26.86	63.89	318.57	149.12	50.27	191.67	265.87	444.72	329.84	191.67	223.41	603.67	567.1	532.74	733.19	239.52	166.73	341.51	460.44	417.77
FLT1	25.91	55.49	521.76	128.79	115.16	500.46	314.17	2485.67	733.19	40.07	103.69	106.63	743.43	53.95	24.63	52.82	110.43	27.05	19.39	20.41	20.26	59.55	11.3	14.35	66.65	36.53	16.27	242.88	66.18	72.52	305.55	212.78	43.94	124.37	241.19	1104.13	890.44	651.58	769.69	1015.93	1844.76	1359.57	563.18	743.43	480.04	1225.22	1331.57	775.05
FLT4	14.24	74.06	414.87	121.79	183.82	279.14	279.14	1059.11	368.65	35.5	51.71	42.71	559.28	63.0	93.35	62.56	90.14	30.78	22.43	39.5	38.67	236.21	15.45	27.84	108.14	74.58	12.09	150.17	22.1	76.71	228.13	51.71	29.7	104.42	148.09	629.35	447.82	307.69	366.09	743.43	547.75	638.15	275.28	441.64	283.05	529.06	651.58	490.14
GJA4	56.68	108.9	1088.92	307.69	525.39	329.84	718.08	5479.15	518.15	157.68	571.05	215.77	1340.84	152.28	358.54	170.25	406.31	96.01	133.36	85.22	77.25	500.46	51.71	167.9	301.33	175.07	26.67	571.05	84.63	201.25	587.13	157.68	136.19	112.77	353.59	1883.54	1977.24	656.11	1167.14	2271.4	1844.76	1447.15	1594.73	1639.59	525.39	1233.75	1662.49	2468.49
GPR4	18.97	36.01	368.65	76.71	134.3	150.17	269.6	2090.03	246.28	29.06	95.34	51.35	493.56	29.06	39.22	37.59	28.86	35.0	24.11	28.86	19.53	58.71	19.11	25.35	63.45	29.06	24.28	165.57	64.8	102.25	381.68	99.43	44.25	75.64	65.72	555.41	518.15	273.37	346.29	400.71	607.87	796.86	769.69	392.44	127.89	616.37	1030.12	403.5
GUCY1B3	15.11	102.97	547.75	29.7	46.18	182.55	249.73	1175.27	392.44	547.75	381.68	389.72	463.65	97.36	51.71	93.35	39.5	41.81	95.34	68.55	38.67	218.79	36.53	90.77	111.21	140.04	23.25	656.11	14.89	229.72	559.28	86.43	38.67	102.97	189.02	194.36	170.25	108.14	116.78	234.57	190.34	199.85	688.78	189.02	56.28	167.9	201.25	170.25
HCFC1R1	1044.52	1233.75	10154.69	3349.13	4512.4	1605.83	1794.29	8963.45	2720.15	29124.6	11584.24	5711.87	1857.6	733.19	1159.07	915.51	642.59	1350.18	1322.37	1594.73	1073.91	1447.15	1359.57	1561.89	703.28	830.75	954.43	1498.22	642.59	1340.84	1806.78	1594.73	1617.0	1572.76	2303.12	2163.77	2816.11	1498.22	1923.14	2777.33	2645.74	1733.13	6337.83	3146.52	2240.11	2004.85	2400.97	2682.69
HECTD2	16.51	65.26	206.94	44.89	39.22	73.03	46.18	112.77	129.69	39.22	45.53	43.32	72.01	21.63	6.52	19.53	9.13	21.94	50.27	32.13	30.34	28.65	52.45	33.3	41.52	25.54	8.45	189.02	123.5	69.03	162.14	50.27	45.85	87.65	81.14	74.58	89.51	79.45	108.14	96.01	116.78	84.04	129.69	68.07	100.13	107.38	73.03	84.04
HEG1	21.78	115.97	718.08	72.52	111.99	224.97	279.14	934.76	624.99	94.01	229.72	175.07	239.52	61.25	56.28	82.87	36.27	35.76	43.32	70.51	51.35	150.17	25.54	24.11	59.55	58.71	18.97	780.44	98.04	105.89	693.58	329.84	75.11	271.48	234.57	1001.93	1044.52	603.67	1088.92	1519.15	2485.67	1551.09	1437.15	693.58	660.68	1757.34	915.51	497.0
HSPA12B	27.05	110.43	417.77	42.41	81.71	81.71	96.01	249.73	141.02	22.26	71.0	37.59	248.0	65.26	36.01	19.53	39.22	32.59	4.24	17.38	18.7	74.06	14.14	18.7	38.67	26.86	5.23	279.14	18.84	61.68	178.77	58.71	40.07	78.89	109.66	189.02	145.02	73.54	134.3	297.17	176.29	260.38	312.0	195.72	102.25	275.28	181.28	260.38
HSPG2	819.3	1662.49	7911.95	1208.34	1651.0	2032.85	2468.49	7331.05	1437.15	412.0	1088.92	890.44	3665.02	435.55	480.04	351.14	253.23	189.02	182.55	281.09	145.02	1233.75	155.5	224.97	532.74	205.5	65.26	4639.29	1191.69	1977.24	5831.91	2032.85	1651.0	2255.7	2645.74	5006.93	4836.35	1674.06	2502.97	3874.05	4736.79	5076.84	4836.35	3847.29	1119.56	4869.99	3716.2	4181.07
IL3RA	97.36	105.15	226.54	38.12	48.52	25.72	100.83	447.82	57.49	30.78	45.85	57.49	301.33	16.15	9.85	10.96	18.03	15.22	15.0	13.83	3.79	28.04	7.06	10.96	20.26	6.73	4.94	147.06	17.25	44.57	130.6	121.79	26.47	48.87	130.6	164.42	123.5	56.68	98.04	132.44	267.73	165.57	329.84	96.68	84.63	124.37	148.09	253.23
ITGA11	11.47	46.18	480.04	4.43	25.54	28.24	50.98	45.53	127.89	19.25	111.21	6.84	224.97	8.78	6.52	12.64	1.55	4.94	23.93	6.26	4.17	29.48	2.48	12.55	64.34	12.45	1.33	178.77	14.14	56.28	733.19	67.59	31.9	119.26	103.69	114.36	86.43	18.16	41.52	54.72	28.65	43.63	312.0	37.32	72.01	46.5	18.97	66.18
ITGB1	3039.3	2895.31	5954.47	1757.34	2468.49	3847.29	2537.92	9606.86	4388.98	2367.9	4038.61	4972.34	7280.4	3982.99	2335.28	2895.31	2720.15	1295.13	2645.74	1216.75	2335.28	3874.05	1551.09	1896.65	3614.55	2193.99	2701.35	5594.3	4268.94	3419.52	5594.3	2384.37	1883.54	2645.74	3325.99	3982.99	2855.44	2701.35	2682.69	3060.45	4769.75	4239.45	9279.58	3039.3	2682.69	4268.94	3515.68	2193.99
JAM2	80.57	215.77	2075.59	57.89	69.03	54.33	120.94	708.18	136.19	28.86	95.34	87.65	198.47	40.36	38.95	58.71	87.03	25.91	12.0	63.0	36.27	142.01	29.27	27.25	67.59	22.1	5.63	486.75	15.91	77.79	503.95	432.53	104.42	267.73	389.72	246.28	226.54	141.02	220.32	808.0	423.61	400.71	974.5	147.06	144.01	295.11	201.25	301.33
KCNK2	2.97	8.25	98.04	0.0	1.39	0.4	0.0	7.4	6.46	0.0	0.0	0.0	3.82	0.0	1.33	0.52	0.0	0.67	2.58	4.98	2.43	13.72	0.0	0.0	0.0	0.58	12.36	77.79	1.46	4.39	33.06	3.32	23.25	6.21	5.77	6.84	4.46	33.78	21.32	2.84	4.03	46.5	37.32	25.35	1.14	23.25	25.54	1.03
LCA5	3.26	17.64	64.34	10.08	8.45	86.43	22.1	85.82	96.01	14.45	35.5	23.42	22.92	4.98	2.53	9.27	1.3	6.73	3.47	5.45	3.89	22.26	7.57	6.06	22.59	9.34	3.72	56.68	8.58	34.75	35.5	21.01	9.7	18.56	32.36	54.72	47.84	52.08	103.69	87.65	120.1	73.54	167.9	52.45	25.17	61.25	68.07	30.34
LHFP	56.68	264.03	2645.74	119.26	336.79	301.33	693.58	3257.52	934.76	158.79	684.02	152.28	1806.78	102.25	60.39	149.12	43.63	148.09	131.51	113.56	105.89	679.29	92.7	178.77	267.73	132.44	55.49	1167.14	55.1	264.03	1277.29	234.57	127.0	264.03	669.92	934.76	842.36	476.71	759.08	1477.58	1259.69	981.29	2816.11	909.17	457.25	808.0	954.43	1030.12
LOXL1	49.91	176.29	2224.63	400.71	473.41	214.27	423.61	148.09	607.87	128.79	1407.55	1104.13	665.29	51.35	82.29	80.01	21.94	56.28	201.25	67.12	25.17	297.17	28.86	119.26	110.43	40.93	14.35	1175.27	194.36	318.57	1794.29	111.99	165.57	356.05	314.17	89.51	72.52	57.08	183.82	256.78	301.33	103.69	4152.18	175.07	43.02	157.68	125.24	75.11
LRRC70	24.99	51.71	169.07	28.86	37.32	13.42	68.07	170.25	93.35	2.56	6.84	12.09	98.73	17.77	10.24	21.78	5.77	22.26	37.59	20.86	37.59	72.52	1.22	30.12	22.75	35.5	59.13	81.71	14.03	24.46	140.04	26.47	34.75	20.56	113.56	228.13	212.78	89.51	183.82	150.17	187.71	173.85	205.5	120.1	63.0	119.26	141.02	217.27
LRRC8C	11.82	57.89	232.94	23.08	21.16	53.57	62.56	271.48	86.43	13.03	38.95	45.21	92.7	15.45	6.78	18.29	5.68	9.34	16.27	18.43	11.73	57.49	8.32	16.27	20.56	19.53	10.47	329.84	24.63	76.17	163.28	62.56	25.91	31.45	90.77	103.69	133.36	68.55	76.17	128.79	138.1	138.1	151.22	107.38	71.5	134.3	127.0	109.66
LTBP2	23.42	141.02	1175.27	134.3	246.28	36.01	293.07	79.45	251.48	41.52	400.71	130.6	361.04	55.89	37.59	36.53	11.13	22.1	69.03	19.53	19.11	104.42	15.45	25.54	71.0	36.79	22.59	521.76	39.22	198.47	1397.83	72.01	53.95	161.02	307.69	896.64	693.58	1477.58	540.19	563.18	563.18	466.88	2133.97	503.95	525.39	559.28	738.29	1199.98
MAGI2	19.39	37.05	80.57	40.93	116.78	177.53	62.12	53.57	223.41	34.26	49.91	37.05	19.97	11.55	14.14	16.27	13.22	14.14	13.32	10.96	15.56	27.44	19.97	28.65	17.0	41.22	3.2	28.04	2.92	64.34	46.5	43.02	21.32	24.11	28.04	56.68	55.49	44.57	51.35	59.55	70.01	53.57	65.72	90.77	20.41	121.79	60.39	42.11
MEF2C	34.51	134.3	466.88	121.79	73.54	400.71	262.2	1119.56	397.93	81.14	242.88	89.51	536.45	37.85	23.93	72.52	42.11	46.5	33.54	43.32	39.79	126.12	17.25	56.68	67.12	63.0	10.08	934.76	46.5	307.69	373.81	98.04	35.76	123.5	239.52	373.81	301.33	234.57	320.8	353.59	547.75	406.31	536.45	269.6	241.19	295.11	435.55	343.89
MMP16	1.11	4.31	72.01	2.86	1.39	1.2	4.31	26.86	5.87	1.0	2.68	0.48	10.55	0.0	0.0	0.54	0.42	0.57	0.49	1.19	0.0	3.96	0.0	1.97	0.47	0.49	0.44	24.63	0.82	16.15	25.91	1.89	1.17	5.68	2.27	5.82	2.03	1.35	2.36	2.48	1.81	5.36	105.89	4.35	1.31	4.24	7.51	3.72
MMRN2	43.63	214.27	934.76	206.94	260.38	336.79	466.88	1936.53	583.07	111.99	305.55	236.21	612.11	125.24	110.43	107.38	95.34	122.64	54.33	87.03	74.58	228.13	56.68	43.02	176.29	77.79	7.88	599.49	64.8	112.77	723.08	301.33	102.25	178.77	397.93	743.43	607.87	497.0	536.45	915.51	1088.92	1030.12	934.76	575.03	368.65	738.29	995.0	813.63
MT-CO1	1943195.01	2845004.48	1739208.14	3551506.25	4282434.24	3290783.22	3383299.76	2294899.22	2786455.11	5420519.65	3526974.2	4342214.81	3454390.1	2025714.3	1877002.62	1715263.94	1890058.21	2805836.45	2375828.71	2247670.86	2845004.48	2425749.94	1984025.69	2216726.5	2359417.65	1984025.69	2392353.91	3049200.37	2294899.22	3651352.71	2691538.19	3091765.64	2654482.97	2924988.47	3995652.37	3832885.91	7202167.89	4885245.74	2904784.09	3676749.88	2511293.86	2186208.16	6956835.58	2884719.27	5308966.95	3676749.88	3526974.2	9307742.35
MXRA5	16.75	64.34	616.37	4.28	35.76	819.3	32.59	135.24	221.86	6.41	10.63	86.43	64.8	14.56	18.7	34.51	3.86	10.71	161.02	9.34	8.38	54.72	9.48	80.01	46.5	44.89	24.63	1225.22	74.06	236.21	633.73	202.66	198.47	136.19	89.51	414.87	595.34	148.09	100.13	75.11	214.27	221.86	1540.37	182.55	185.11	215.77	208.38	299.25
MYCT1	27.84	87.65	651.58	81.71	48.52	63.89	201.25	595.34	215.77	16.03	67.12	40.07	299.25	56.28	43.63	67.59	55.1	35.0	19.68	32.36	47.84	176.29	18.29	28.24	75.11	66.65	22.92	170.25	23.93	42.11	166.73	108.14	53.19	55.89	158.79	356.05	336.79	208.38	236.21	368.65	412.0	392.44	381.68	234.57	122.64	273.37	323.03	348.71
MYOZ3	2.29	19.25	17.51	0.51	8.92	7.75	2.94	8.85	19.53	1.03	5.87	8.65	13.62	0.71	0.67	0.74	0.3	4.24	0.37	1.01	6.89	5.5	2.39	0.99	6.01	3.82	0.0	74.06	0.79	36.53	36.27	20.56	1.03	2.43	10.31	5.19	1.91	0.69	0.62	10.24	13.32	5.19	18.16	4.66	1.71	3.5	2.23	14.89
NOTCH3	29.27	139.07	1519.15	94.67	500.46	334.46	915.51	2720.15	616.37	90.77	547.75	77.25	1674.06	50.98	29.91	118.43	13.42	46.84	13.03	31.45	53.95	307.69	14.03	29.7	78.89	44.57	10.47	1388.16	514.56	603.67	1617.0	242.88	95.34	242.88	647.07	981.29	718.08	426.57	470.14	1259.69	842.36	967.76	1794.29	1340.84	376.41	1183.45	921.88	638.15
NOVA2	6.73	21.32	111.21	22.92	34.75	34.75	72.52	271.48	76.71	5.15	15.56	7.88	187.71	7.28	11.21	10.16	6.62	2.86	2.2	7.46	3.17	23.42	5.82	4.24	12.93	6.31	3.08	73.54	10.16	44.57	102.25	25.72	12.09	21.63	80.01	162.14	166.73	80.57	91.41	190.34	166.73	189.02	103.69	108.9	43.32	128.79	186.4	163.28
PLVAP	293.07	2335.28	3190.46	2075.59	5112.16	2855.44	5995.9	42054.3	2104.58	665.29	1277.29	1015.93	7433.4	567.1	206.94	162.14	182.55	95.34	73.54	117.6	61.68	267.73	55.89	98.04	435.55	125.24	41.52	2976.74	909.17	1208.34	5751.61	2682.69	995.0	1950.0	5112.16	12676.65	14561.8	8963.45	11584.24	10512.82	23169.48	16611.71	10883.59	9876.98	7081.29	15499.21	15499.21	15075.35
PREX2	6.62	22.59	239.52	10.63	10.88	28.65	27.05	177.53	77.79	3.56	12.27	19.68	75.64	5.19	1.57	8.13	4.7	1.3	2.12	6.11	2.48	12.64	0.96	2.48	7.28	3.69	17.9	113.56	7.4	15.11	126.12	21.32	7.94	23.42	42.71	108.14	125.24	61.68	153.34	178.77	165.57	110.43	78.34	67.12	28.04	81.14	169.07	47.5
PRICKLE1	1.93	24.81	218.79	20.26	23.93	62.56	20.86	38.67	223.41	31.0	90.14	224.97	27.64	9.34	15.45	17.13	2.63	12.64	43.63	10.08	2.92	63.45	1.2	21.47	32.13	20.11	0.0	175.07	7.51	47.17	88.88	26.28	16.88	34.26	48.18	99.43	66.18	54.33	78.34	166.73	161.02	157.68	713.11	92.7	112.77	158.79	87.03	42.71
PRRX1	9.85	28.65	529.06	15.91	31.45	4.5	134.3	69.03	62.56	11.04	59.97	5.32	197.09	2.81	1.85	3.76	0.84	2.76	8.85	4.03	5.96	25.72	0.19	3.44	5.63	7.75	0.25	995.0	9.48	94.01	532.74	25.35	23.25	57.89	140.04	173.85	191.67	100.13	223.41	307.69	180.02	136.19	3443.31	309.83	116.78	265.87	195.72	244.57
PTPRB	128.79	204.07	860.08	92.05	95.34	264.03	242.88	1088.92	624.99	33.06	138.1	105.15	220.32	68.55	43.94	77.25	64.34	26.47	29.06	51.35	31.9	150.17	17.38	59.55	99.43	46.18	6.67	368.65	41.22	155.5	587.13	155.5	47.17	140.04	329.84	423.61	293.07	275.28	318.57	633.73	587.13	674.59	463.65	301.33	260.38	463.65	529.06	323.03
RAMP2	171.45	718.08	4512.4	708.18	995.0	497.0	1594.73	7433.4	1769.57	373.81	848.22	514.56	2520.38	400.71	429.54	334.46	373.81	228.13	104.42	186.4	154.42	1030.12	120.94	323.03	267.73	253.23	75.11	1519.15	221.86	728.11	2956.17	1540.37	651.58	1540.37	1883.54	2224.63	1991.0	860.08	1340.84	3540.14	2720.15	2537.92	3955.48	1529.73	785.88	2255.7	2400.97	2451.44
RECK	28.86	85.82	473.41	73.03	59.55	85.22	217.27	201.25	161.02	49.56	69.52	79.45	131.51	33.54	22.43	46.84	8.99	18.56	77.79	13.83	7.63	71.0	12.74	25.72	44.89	23.59	14.14	291.04	8.99	43.32	183.82	55.49	37.59	94.01	105.89	88.88	116.78	93.35	107.38	143.01	190.34	134.3	320.8	108.14	33.54	94.01	123.5	115.16
RGCC	199.85	693.58	2720.15	813.63	669.92	307.69	1794.29	6840.04	802.41	237.86	395.18	224.97	1073.91	131.51	94.01	209.84	153.34	105.89	178.77	176.29	72.52	182.55	71.0	85.22	242.88	182.55	228.13	1081.39	100.13	1199.98	1340.84	1388.16	3039.3	2148.82	1437.15	6607.01	6792.79	3039.3	4937.99	3168.41	8840.04	4358.66	3124.78	4836.35	2520.38	7032.37	3639.7	6607.01
RGS5	84.04	567.1	6337.83	884.29	995.0	1651.0	4066.71	61571.56	2209.26	842.36	2417.67	543.96	6792.79	320.8	84.63	389.72	86.43	376.41	92.7	314.17	231.32	928.3	175.07	314.17	265.87	612.11	137.14	2271.4	693.58	1447.15	3060.45	1870.53	376.41	3665.02	8538.88	5255.91	3280.18	2351.53	4512.4	11112.3	8134.41	7857.29	7331.05	8658.09	2997.45	7433.4	9088.59	5594.3
RHOJ	33.06	81.14	642.59	47.17	60.82	63.0	165.57	633.73	138.1	24.63	70.51	47.5	334.46	25.17	21.16	28.86	38.95	15.91	12.45	12.0	11.3	97.36	6.11	14.78	61.25	23.25	9.78	312.0	21.16	77.25	287.01	120.94	73.54	134.3	173.85	277.2	218.79	129.69	135.24	283.05	241.19	265.87	438.59	182.55	106.63	163.28	237.86	229.72
ROBO4	26.1	162.14	728.11	115.97	291.04	339.14	438.59	1250.98	493.56	83.45	134.3	128.79	579.04	78.89	137.14	68.07	65.72	25.35	30.34	41.81	50.27	140.04	19.68	47.5	153.34	74.58	29.27	400.71	82.29	92.7	493.56	204.07	77.25	159.9	366.09	1104.13	995.0	395.18	483.38	866.07	890.44	921.88	571.05	713.11	291.04	1119.56	819.3	813.63
RP11-248J23.6	0.0	0.68	6.89	0.0	0.0	2.03	0.0	6.52	1.0	0.51	0.91	0.96	1.62	0.0	0.0	0.62	0.0	0.0	0.0	0.97	0.62	1.0	0.88	1.6	0.0	0.67	0.0	20.41	0.34	0.4	3.69	5.32	2.76	0.61	3.47	0.99	0.0	3.44	30.56	33.06	24.46	10.16	13.62	1.53	2.73	4.03	29.7	4.9
RP11-690P14.4	0.32	0.87	6.73	0.97	1.43	0.83	0.99	3.29	2.01	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.89	0.53	1.68	7.57	0.64	0.0	0.95	0.36	2.78	1.93	0.0	25.91	42.71	33.78	6.31	5.59	1.71	2.36	3.63	13.93	3.66
S1PR1	71.5	279.14	1721.16	134.3	171.45	265.87	323.03	2502.97	417.77	49.21	218.79	223.41	733.19	242.88	156.59	384.34	173.85	785.88	248.0	567.1	277.2	403.5	514.56	158.79	297.17	105.89	122.64	1143.1	84.63	116.78	1051.79	563.18	148.09	423.61	1159.07	1096.5	830.75	312.0	830.75	713.11	1096.5	1199.98	2104.58	802.41	325.29	836.53	1233.75	1191.69
SCARF2	14.24	81.71	303.44	7.46	47.5	21.63	44.89	63.45	131.51	34.75	167.9	35.76	201.25	32.36	32.36	37.59	16.15	64.8	52.45	23.59	23.42	131.51	39.22	48.87	55.49	36.79	25.35	406.31	54.33	291.04	669.92	38.95	65.72	116.78	132.44	66.18	63.45	26.86	60.39	84.63	90.14	101.54	339.14	97.36	29.06	79.45	68.55	59.13
SEPT7	1277.29	1561.89	2976.74	1216.75	1369.04	1457.23	1733.13	3235.01	1832.01	1096.5	1745.2	2090.03	2148.82	1073.91	432.53	836.53	738.29	536.45	981.29	579.04	860.08	1225.22	665.29	775.05	1059.11	878.17	753.83	3443.31	921.88	2004.85	2701.35	1191.69	988.12	1369.04	1685.71	1963.57	1359.57	2133.97	1617.0	1540.37	1857.6	1572.76	3018.3	1540.37	1844.76	1733.13	1529.73	1832.01
SHISA4	38.95	185.11	718.08	281.09	785.88	684.02	237.86	170.25	412.0	136.19	447.82	241.19	205.5	256.78	198.47	205.5	218.79	351.14	518.15	397.93	221.86	167.9	231.32	264.03	141.02	134.3	155.5	251.48	24.11	185.11	258.57	249.73	389.72	215.77	255.0	420.68	825.0	915.51	981.29	1397.83	1233.75	796.86	1008.9	748.61	802.41	708.18	1151.06	2573.36
SLC5A4	2.86	1.33	3.79	5.32	37.85	7.34	8.25	37.85	20.41	1.53	0.47	3.41	14.89	0.71	0.0	0.0	2.94	2.48	0.02	2.12	0.34	4.78	0.0	0.0	3.2	3.35	0.0	8.45	0.71	3.03	7.17	0.0	1.89	13.52	5.28	25.35	17.64	19.97	16.88	59.13	18.16	12.27	11.3	17.38	11.04	26.86	17.64	10.79
TCF4	23.93	172.65	1127.35	63.45	60.39	153.34	248.0	1277.29	279.14	23.59	100.83	63.0	366.09	119.26	11.47	51.71	15.91	41.22	47.17	49.21	22.1	128.79	28.65	33.78	94.67	38.4	16.03	780.44	70.51	136.19	551.56	181.28	63.0	167.9	285.03	575.03	432.53	277.2	329.84	373.81	624.99	642.59	974.5	348.71	193.01	547.75	429.54	397.93
TEK	16.15	83.45	339.14	62.12	58.71	215.77	126.12	460.44	591.22	20.86	81.14	55.49	92.05	43.94	45.85	46.84	42.11	23.59	19.97	19.25	18.84	74.06	17.25	22.59	63.0	45.85	13.12	190.34	24.11	25.35	277.2	159.9	27.05	80.57	157.68	299.25	223.41	115.16	169.07	293.07	361.04	460.44	406.31	146.03	142.01	287.01	217.27	229.72
THBS4	10.31	102.97	7485.11	13.12	543.96	58.3	82.29	10808.41	49.21	15.22	47.5	52.45	743.43	83.45	0.88	9.93	5.45	8.38	15.91	2.27	11.64	9.13	3.08	3.69	0.0	15.11	11.82	3564.78	0.0	679.29	5594.3	18.29	13.93	13.03	41.81	2351.53	2645.74	1977.24	113.56	307.69	1066.48	1769.57	1806.78	74.58	209.84	665.29	974.5	884.29
TIMP3	275.28	1883.54	11189.6	1857.6	1561.89	2255.7	6935.54	15607.02	8363.13	703.28	1143.1	941.27	2485.67	1183.45	791.35	954.43	693.58	493.56	1697.45	503.95	381.68	1721.16	473.41	713.11	1487.87	656.11	540.19	3794.3	70.01	1030.12	5219.6	1135.2	656.11	1977.24	3768.09	4937.99	7966.99	7911.95	11992.79	5995.9	7695.57	19482.97	7749.1	9606.86	3103.19	18052.61	10084.54	4869.99
TM4SF18	16.88	73.03	172.65	104.42	71.0	215.77	289.02	2032.85	514.56	723.08	262.2	507.46	356.05	49.56	32.36	49.21	30.56	10.96	11.38	14.35	18.16	97.36	11.38	14.14	46.84	30.78	13.93	155.5	49.21	46.84	167.9	140.04	30.78	76.71	86.43	575.03	536.45	267.73	271.48	669.92	995.0	591.22	473.41	269.6	241.19	379.04	571.05	532.74
TMEM204	51.71	309.83	1350.18	180.02	665.29	371.22	525.39	2997.45	684.02	122.64	299.25	130.6	1119.56	148.09	237.86	139.07	159.9	159.9	275.28	72.01	48.18	351.14	108.9	241.19	423.61	244.57	76.71	454.09	74.06	289.02	915.51	381.68	316.37	363.56	638.15	1487.87	1104.13	638.15	1001.93	1561.89	1709.26	1350.18	1159.07	1322.37	579.04	1417.35	1540.37	1733.13
TREM2	3.76	45.85	21.94	567.1	493.56	444.72	161.02	642.59	18.84	293.07	819.3	559.28	69.52	6.73	18.43	12.64	0.0	0.0	34.51	0.0	14.14	17.77	0.0	0.0	23.42	0.0	10.79	1250.98	11.21	647.07	185.11	19.82	47.84	39.5	3.2	78.34	145.02	52.08	27.44	170.25	199.85	78.34	199.85	85.22	201.25	121.79	181.28	540.19
UNC5C	38.12	48.87	22.75	8.13	3.76	8.85	13.42	49.91	65.26	0.52	2.71	1.93	28.04	2.97	3.86	10.71	3.41	7.75	9.06	5.73	2.46	16.75	3.86	15.0	9.48	6.11	2.36	62.56	15.22	5.77	48.52	19.39	11.3	30.34	37.85	92.7	16.15	31.22	74.58	48.52	182.55	81.14	129.69	71.5	43.02	87.65	99.43	12.27
VEGFC	32.59	76.71	575.03	529.06	334.46	94.67	486.75	575.03	110.43	42.71	147.06	120.94	507.46	34.26	34.02	81.14	34.26	31.45	104.42	39.5	36.27	161.02	30.34	68.55	111.21	78.89	18.7	248.0	12.0	85.22	264.03	72.52	11.21	80.57	120.94	426.57	295.11	616.37	395.18	583.07	674.59	591.22	878.17	423.61	159.9	674.59	656.11	343.89
WWTR1	63.45	384.34	1467.37	346.29	293.07	723.08	612.11	2351.53	1359.57	511.0	775.05	1143.1	493.56	54.33	100.13	281.09	105.15	88.26	395.18	199.85	112.77	162.14	76.17	140.04	190.34	151.22	50.63	1350.18	172.65	559.28	1143.1	486.75	258.57	423.61	688.78	718.08	759.08	444.72	624.99	656.11	819.3	995.0	941.27	503.95	521.76	723.08	738.29	483.38
ZNF366	0.92	9.93	49.91	6.21	12.09	35.0	17.77	82.87	43.32	0.52	10.31	15.22	31.45	3.89	2.34	3.63	2.1	0.65	2.34	2.25	0.0	9.2	0.52	1.66	6.46	4.21	1.07	52.08	6.36	10.24	59.55	37.85	2.97	17.51	41.22	90.14	46.18	43.32	38.4	106.63	98.04	81.14	50.98	42.41	30.12	59.55	67.12	50.63
